"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",13.8874193548387,"Down",95907000,-50572000,45335000,-35978000,-28880000,-7098000,9357000,-45000,-71000,-128000,57000,26000,9312000,9037000,-1811000,7226000,7226000,7226000,7226000,9465000,9465000,47720000,47720000,78795000,12898000,4371000,1553000,3269000,148878000,215946000,309260000,-93314000,154362000,48723000,65854000,34420000,370308000,519186000,51899000,27050000,842000,24007000,52529000,64500000,21124000,5422000,2135000,13567000,85624000,138153000,171440000,209777000,-184000,381033000,381033000,519186000,7226000,6401000,-413000,-2614000,10600000,-14764000,-8785000,-22406000,7881000,2790000,2790000,643000,11314000,-492000,-492000,39000,-453000,15758000,64500000,191000,0.4727,0.09756,0.07534,0.01896,0.01392,0.02643,2.83421,0.36257,0.12423,0.17121,0.16925,2.27241,9.02815,0.00453,6,0.01548,0.00041,3.49251,5.88169
"12","2013_Q1",13.2136666666667,"Down",102231000,-56768000,45463000,-41133000,-33468000,-7665000,4330000,-2480000,-202000,-252000,50000,-2278000,1850000,1850000,-1209000,641000,641000,641000,641000,9719000,9719000,53402000,53402000,84599000,14276000,4133000,2326000,2841000,161996000,234803000,330356000,-95553000,308510000,87332000,175108000,41833000,543313000,705309000,62453000,34637000,547000,27269000,73004000,227566000,23162000,5956000,2373000,14833000,250728000,323732000,172341000,210418000,-1182000,381577000,381577000,705309000,641000,5810000,3404000,4921000,14776000,-15746000,-169207000,-184953000,173066000,429000,429000,-3013000,170482000,305000,305000,-51000,254000,10140000,237566000,524000,0.44471,0.04236,0.00627,0.00168,0.000910000000000003,0.817470000000001,2.219,0.84841,0.33683,0.0151,0.01497,2.40867,8.99034,0.01235,3,0.001,0.00082,22.47012,52.62055
"13","2013_Q2",10.7184375,"Down",103948000,-60955000,42993000,-41236000,-32128000,-9108000,1757000,-1545000,-1482000,-1539000,57000,-63000,212000,212000,459000,671000,671000,671000,671000,9017000,9017000,54624000,54624000,82450000,16047000,5344000,2985000,2744000,162138000,243530000,343176000,-99646000,306471000,85968000,175108000,41158000,550001000,712139000,50602000,25296000,507000,24799000,61229000,244254000,23324000,6237000,2305000,14782000,267578000,328807000,173424000,211089000,-1181000,383332000,383332000,712139000,671000,7683000,584000,-6045000,2893000,-20347000,-1e+06,-21347000,16687000,571000,571000,783999.999999999,18042000,-412000,-412000,-290000,-702000,9440000,254254000,-17411000,0.4136,0.0169,0.00646,0.00175,0.00094,-25.94784,2.64806,0.85776,0.35703,0.01578,0.01566,2.44468,9.01533,-0.40948,4,0.00102,-0.02634,25.9785,139.57712
"14","2013_Q3",12.87578125,"Up",109875000,-62890000,46985000,-40205000,-31557000,-8648000,6780000,-1775000,-1768000,-1842000,74000,-6999.99999999977,5005000,5005000,-1253000,3752000,3752000,3752000,3752000,13143000,13143000,58416000,58416000,81560000,14181000,4761000,1753000,2685000,167300000,256018000,359697000,-103679000,305066000,83749000,175108000,41972000,561084000,728384000,59122000,34622000,999000,23501000,69808000,246828000,22199000,6603000,2338000,13258000,269027000,338835000,173974000,214841000,734000,389549000,389549000,728384000,3752000,8046000,447000,-772999.999999998,11472000,-10650000,-1.49011611938477e-08,-10650000,2575000.00000001,305000,305000,31000,2910999.99999999,3733000,3733000,393000,4126000,14826000,256828000,4656000,0.42762,0.06171,0.03415,0.00963,0.00515,1.24094,2.39657,0.86981,0.3526,0.08815,0.08793,2.58153,9.15251,0.10939,3,0.00561,0.00696,16.43633,35.94174
"15","2013_Q4",15.1740625,"Up",115210000,-64180000,51030000,-38625000,-31317000,-7308000,12405000,-1951000,-1847000,-1916000,69000,-104000,10454000,6440000,-833000,5607000,5607000,5607000,5607000,9115000,9115000,57279000,57279000,81057000,15030000,4922000,2368000,2751000,162481000,261963000,369956000,-107993000,293739000,73887000,175489000,40126000,555702000,718183000,52816000,23637000,1871000,27308000,63545000,241157000,17855000,6821000,2436000,8598000,259012000,322557000,174551000,220448000,627000,395626000,395626000,718183000,5607000,8197000,8655000,-3200000,19259000,-18109000,0,-18109000,-5671000,283000,283000,149000,-5239000,-4089000,-4089000,61000,-4028000,20602000,251157000,126000,0.44293,0.10767,0.04867,0.01417,0.00781,0.02247,2.55694,0.81531,0.34971,0.13163,0.13078,2.70459,9.28743,0.00296,3,0.00844,0.00019,11.74847,19.51165
"16","2014_Q1",14.8519672131148,"Down",120016000,-66657000,53359000,-42462000,-33640000,-8822000,10897000,-2734000,-2692000,-2747000,55000,-42000,8163000,8182000,-1642000,6540000,6540000,6540000,6540000,7459000,7459000,60186000,60186000,82378000,15892000,5121000,1630000,3503000,165915000,243270000,351946000,-108676000,319098000,91052000,184505000,42741000,562368000,728283000,55302000,26511000,1089000,27702000,65594000,238854000,18129000,7833000,2548000,7748000,256983000,322577000,177775000,226988000,943000,405706000,405706000,728283000,6540000,8616000,1972000,621000.000000001,17749000,-11903000,-30600000,-18503000,-2304000,2570000,2570000,-1212000,-946000,-1700000,-1700000,43999.9999999999,-1656000,19513000,248854000,9873000,0.4446,0.0908,0.05449,0.01612,0.00898,1.50963,2.52942,0.7951,0.3417,0.15299,0.15154,2.80752,9.49064,0.23096,5,0.00972,0.01468,12.37098,22.15243
"17","2014_Q2",13.8487301587302,"Down",119236000,-67193000,52043000,-45543000,-36763000,-8780000,6500000,-2603000,-2539000,-2606000,67000,-64000,3897000,3886000,-1063000,2823000,2823000,2823000,2823000,12591000,12591000,64326000,64326000,84730000,15851000,5767000,1443000,3024000,177498000,247985000,361348000,-113363000,316327000,88427000,184505000,42595000,564312000,741810000,58645000,27236000,912000,30497000,69448000,244441000,18292000,8116000,2548000,7628000,262733000,332181000,178866000,229811000,952000,409629000,409629000,741810000,2823000,8702000,519000,-4084000,7960000,-9123000,-24132669.4002687,-9123000,5587000,803000,803000,-76000,6314000,5151000,5151000,-19000,5132000,15202000,254441000,3058000,0.43647,0.05451,0.02368,0.00689,0.00381,1.08324,2.55584,0.81093,0.343,0.06586,0.0653,2.78166,9.55626,0.07134,6,0.00414,0.00448,15.90909,37.20769
"18","2014_Q3",13.26125,"Down",128865000,-73241000,55624000,-48232000,-38591000,-9641000,7392000,-2302000,-2274000,-2353000,79000,-28000,5090000,5082000,-1366000,3716000,3716000,3716000,3716000,9401000,9401000,67345000,67345000,86471000,16836000,5477000,1527000,4213000,180053000,250873000,369382000,-118509000,313194000,85763000,184505000,42126000,564067000,744120000,60482000,28180000,1161000,31141000,71142000,238375000,18702000,8365000,2533000,7804000,257077000,328219000,181983000,233527000,391000,415901000,415901000,744120000,3716000,8891000,741000,-1169000,12179000,-10497000,-1449999.99999999,-11947000,-6066000,2725000,2725000,54000,-3287000,-3055000,-3055000,-135000,-3190000,16283000,248375000,5983000,0.43165,0.05736,0.02884,0.00893,0.00499,1.61006,2.5309,0.78918,0.33378,0.0863,0.0858,2.99262,9.65841,0.13894,6,0.00544,0.00876,14.67629,32.32873
"19","2014_Q4",14.79125,"Up",128808000,-71387000,57421000,-45016000,-36328000,-8688000,12405000,-1823000,-1967000,-2008000,41000,144000,10582000,10253000,-2489000,7764000,7764000,7764000,7764000,6438000,6438000,69387000,69387000,92931000,17229000,5687000,1514000,4402000,185985000,247655000,368761000,-121106000,312869000,81892000,184505000,45673000,560524000,746509000,63206000,26709000,3805000,32692000,74100000,230484000,17674000,8477000,2335000,6862000,248158000,322258000,182614000,241291000,346000,424251000,424251000,746509000,7764000,9126000,1836000,-7280000,11446000,-5948000,-2752000,-5516000,-8511000,283000,283000,-10000,-8238000,-2308000,-2308000,-655000,-2963000,21531000,240484000,10792000,0.44579,0.09631,0.06028,0.0183,0.0104,1.39001,2.50992,0.75959,0.32214,0.17959,0.17889,2.97939,9.81313,0.24962,6,0.01138,0.01581,10.87019,18.86707
"20","2015_Q1",17.82,"Up",132780000,-72646000,60134000,-45735000,-36212000,-9523000,14399000,-1866000,-1832000,-1862000,30000,-34000,12533000,12351000,-3680000,8671000,8671000,8671000,8671000,7355000,7355000,72717000,72717000,91773000,20495000,5012000,1428000,7680000,192340000,244171000,365454000,-121283000,310654000,79172000,184464000,47009000,554825000,747165000,65049000,29810000,1413000,33826000,75430000,214490000,21986000,8635000,6385000,6966000,236476000,311906000,187709000,249962000,-2412000,435259000,435259000,747165000,8671000,9210000,4813000,-954000,21740000,-10229000,-1725000,-9617000,-16384000,4335000,4335000,292000,-11757000,366000,366000,551000,917000,23609000,224490000,16106000,0.45288,0.10844,0.0653,0.01992,0.01161,1.85746,2.54991,0.7166,0.30046,0.19973,0.19846,3.05853,10.02601,0.37099,8,0.01272,0.02363,9.19713,15.07987
"21","2015_Q2",20.2980952380952,"Up",129577000,-74194000,55383000,-46557000,-36885000,-9672000,8826000,-1241000,-1521000,-1574000,53000,280000,7585000,7463000,-2289000,5174000,5174000,5174000,5174000,9908000,9908000,70499000,70499000,88256000,19247000,4999000,1906000,5973000,187910000,245155000,371118000,-125963000,306959000,76237000,184405000,46308000,552114000,740024000,60980000,24525000,1953000,34502000,71741000,202878000,22705000,9108000,6082000,7515000,225583000,297324000,192730000,255136000,-5166000,442700000,442700000,740024000,5174000,9068000,377000,4653000,19272000,-9984000,-1250000,-9411000,-11612000,4021000,4021000,314000,-7277000,2584000,2584000,-31000,2553000,17894000,212878000,14852000,0.42741,0.06811,0.03993,0.01169,0.00699,2.87051,2.61928,0.67162,0.28766,0.11839,0.1172,2.96495,10.12974,0.33984,7,0.00763,0.0219,11.34291,22.99683
"22","2015_Q3",23.53578125,"Up",138082000,-77196000,60886000,-48523000,-39321000,-9202000,12363000,-1719000,-1634000,-1713000,79000,-84999.9999999999,10644000,10523000,-3122000,7401000,7401000,7401000,7401000,12102000,12102000,67397000,67397000,92721000,20137000,5637000,1508000,6617000,192357000,254404000,385928000,-131524000,308361000,73679000,184423000,50250000,562765000,755122000,68704000,27793000,2978000,37933000,79346000,199774000,23204000,9458000,6177000,7569000,222978000,302324000,194698000,262537000,-4437000,452798000,452798000,755122000,7401000,9188000,147000,4374000,21110000,-16251000,-1e+06,-17057000,-3105000,1123000,1123000,267000,-1715000,2338000,2338000,-144000,2194000,21551000,209774000,12796000,0.44094,0.08953,0.0536,0.01635,0.0098,1.72896,2.42428,0.66768,0.2778,0.16799,0.16624,3.13417,10.27755,0.29044,7,0.01079,0.01866,9.17229,15.989
"23","2015_Q4",20.12234375,"Down",136086000,-76881000,59205000,-49716000,-39201000,-10515000,9489000,-1887000,-1411000,-1489000,78000,-476000,7602000,6660000,-1842000,4818000,4818000,4818000,4818000,5859000,5859000,68003000,68003000,100318000,20167000,5491000,1612000,6833000,194347000,262561000,399149000,-136588000,311131000,72611000,184484000,54027000,573692000,768039000,75351000,32324000,3528000,39499000,85891000,200218000,23373000,8934000,6179000,8260000,223591000,309482000,196330000,267355000,-5128000,458557000,458557000,768039000,4818000,9489000,1935000,381000,16623000,-14609000,-9618000,-24227000,445000,780000,780000,279000,1504000,-6100000,-6100000,-143000,-6243000,18978000,210218000,6592000,0.43506,0.06973,0.0354,0.01051,0.00627,1.3682,2.26272,0.6749,0.27371,0.10908,0.1077,3.0811,10.38211,0.14925,5,0.00696,0.00952,10.76821,21.53641
"24","2016_Q1",17.344262295082,"Down",138404000,-78097000,60307000,-52362000,-40941000,-11421000,7945000,-1496000,-1391000,-1453000,62000,-105000,6449000,6554000,-145000,6409000,6409000,6409000,6409000,4177000,4177000,70292000,70292000,105999000,23535000,5634000,3860000,7016000,204003000,267778000,407831000,-140053000,306947000,69861000,184472000,52614000,574725000,778728000,77321000,37977000,1498000,37846000,87910000,197593000,27122000,8500000,10985000,7637000,224715000,312625000,197826000,273764000,-5487000,466103000,466103000,778728000,6409000,9680000,3044000,-6680000,12453000,-10824000,-500000.000000004,-11324000,-2625000,744000,744000,-866000,-2747000,-1618000,-1618000,-64000,-1682000,17625000,207593000,266000,0.43573,0.0574,0.04631,0.01375,0.00823,0.0414999999999999,2.32059,0.67072,0.26658,0.14495,0.14356,3.13018,10.5415,0.00602,5,0.00915,0.000380000000000002,11.54133,25.60302
"25","2016_Q2",19.2265625,"Up",138077000,-77977000,60100000,-52292000,-41704000,-10588000,7808000,-1800000,-1320000,-1329000,9000,-480000,6008000,5906000,-1555000,4351000,4351000,4351000,4351000,5162000,5162000,71574000,71574000,110726000,22547000,6181000,3553000,5764000,210009000,272891000,418948000,-146057000,320520000,79168000,187047000,54305000,593411000,803420000,75115000,39104000,2145000,33866000,85322000,218402000,27372000,8195000,11099000,8078000,245774000,331096000,199003000,278115000,-4794000,472324000,472324000,803420000,4351000,9705000,1040000,-3513000,11583000,-11473000,-21500000,-31884000,20808000,557000,557000,-170000,21195000,894000,894000,91000,985000,17513000,228402000,4082000,0.43526,0.05655,0.03151,0.00921,0.00542,0.93818,2.46137,0.70099,0.28429,0.09827,0.0976,3.11862,10.66796,0.0922,6,0.00598,0.00561,12.7471,28.59119
"26","2016_Q3",23.09796875,"Up",151071000,-84216000,66855000,-55082000,-43654000,-11428000,11773000,-1719000,-1752000,-1768000,16000,32999.9999999999,10054000,9863000,-2573000,7290000,7290000,7290000,7290000,10487000,10487000,76792000,76792000,109858000,22840000,7829000,3087000,4907000,219977000,276486000,428114000,-151628000,318502000,76111000,187034000,55357000,594988000,814965000,74620000,31286000,3138000,40196000,85093000,221719000,28163000,9103000,11024000,8036000,249882000,334975000,200015000,285405000,-5430000,479990000,479990000,814965000,7290000,1e+07,1193000,-4622000,13861000,-10738000,-1300000,-12038000,3317000.00000001,234000,234000,-25000,3526000,5349000,5349000,-24000,5325000,21773000,231719000,8986000,0.44254,0.07793,0.04826,0.01519,0.00895,1.23265,2.58514,0.69788,0.28433,0.16449,0.16303,3.40872,10.83034,0.20276,6,0.00985,0.01215,10.16084,18.79147
"27","2016_Q4",24.1474603174603,"Up",156975000,-89161000,67814000,-64622000,-53198000,-11424000,3192000,-2991000,-2993000,-3023000,30000,2000,201000,-5000,979000,974000,974000,974000,974000,17318000,17318000,79697000,79697000,116908000,20371000,7005000,3432000,3526000,234294000,278626000,436423000,-157797000,415679000,139613000,213069000,62997000,694305000,928599000,75928000,30192000,809000,44927000,86472000,317760000,38427000,9e+06,21886000,7541000,356187000,442659000,204601000,286378000,-5039000,485940000,485940000,928599000,974000,11889000,682000,-2651000,10894000,-5870000,-97008000,-102878000,96695000,3631000,3631000,-1511000,98815000,6831000,6831000,0,6831000,15081000,327760000,5581000,0.43201,0.02033,0.0062,0.002,0.00105,5.72998,2.70948,0.91093,0.35296,0.02192,0.02165,3.53197,10.93376,0.12557,5,0.00114,0.00655,20.58497,97.25627
"28","2017_Q1",27.9974193548387,"Up",157715000,-87459000,70256000,-57631000,-45842000,-11789000,12625000,-2980000,-2652000,-2678000,26000,-328000,9645000,9622000,-2116000,7506000,7506000,7506000,7506000,19171000,19171000,80521000,80521000,120695000,23036000,6226000,2948000,5643000,243423000,276573000,438634000,-162061000,422807000,135358000,211927000,75351000,699380000,942803000,78331000,30619000,2193000,45519000,88331000,314373000,41910000,9211000,25981000,6718000,356283000,444614000,206186000,293885000,-1882000,498189000,498189000,942803000,7506000,12161000,-166000,-2240000,17261000,-6954000,-5353000,-12307000,-3412999.99999999,848999.999999993,848999.999999993,123000,-2441000,2513000,2513000,-660000,1853000,24786000,324373000,17708000,0.44546,0.08005,0.04759,0.01507,0.00796,2.35918,2.7558,0.89246,0.34405,0.16832,0.16621,3.53669,11.17166,0.39709,6,0.00868,0.02048,12.31348,24.17442
