"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",1222.28852459016,"Down",990912,-638913,351999,-3280612,-1795225,-422377,-1372848,-1485387,-2928613,-55973,-59531,15,-2984586,-2964661,-2964661,-2964661,-2964661,-2964661,1847171,1847171,809540,809540,533425,311644,311644,3501780,835537,2282597,328601,3118134,6619914,3599350,1691712,1907638,179281,154839,4789592,130153,429325,5218917,150114671,-148710427,-3247,1400997,1400997,6619914,-2964661,169437,288952,-595942,-3102214,-134263,-134263,-157835,411144,411144,253309,-2983168,-2983168,-3006860,-2759176,1141114,0.35523,-2.95547,-2.99185,-2.11611,-0.44784,0.73112,3.72515,0.17238,-534.10194,-534.10194,178.5189,252.39824,-1.04342,0.25589,0.24109
"12","2018_Q2",805.00625,"Down",846226,-511385,334841,-3350724,-2120295,-329773,-1790522,-1230429,-3015883,-40367,-57846,5298,-3056250,-3048084,-3048084,-3048084,-3048084,-3048084,10291532,10291532,591492,591492,509057,237997,237997,11630078,828120,2153154,266112,2981274,14611352,3546261,1443857,2102404,214795,191755,4744187,305163,567241,5311428,161044015,-151758511,14419.9999999999,9299924,9299924,14611352,-3048084,156335,273904,385814,-2232031,10440.0000000001,10440,-98617,10721401,10721401,10622784,8401193,8401193,8387671,-2859548,1288294,0.39569,-3.56392,-3.60197,-0.32775,-0.20861,2.45144,0.57113,0.08817,-300.62112,-300.62112,83.46011,917.21672,-0.280920000000001,3.14848,2.98527
"13","2018_Q3",774.380952380952,"Down",788901,-483065,305836,-3561748,-2257360,-426297,-1831063,-1304388,-3255912,-76290,-54533,5,-3332202,-3332213,-3332213,-3332213,-3332213,-3332213,7428993,7428993,516472,516472,614423,525484,525484,9085372,932215,2109120,289032,3041335,12126707,3529326,1283469,2245857,262427,248305,4268320,1229202,1459622,5727942,161449185,-155090724,40304,6398765,6398765,12126707,-3332213,161317,259362,-414971,-3326505,-4457,-4457,245064,199050,199050,444114,-2886848,-2886848,-2867739,-3094595,1705769,0.38767,-4.12715,-4.22387,-0.52076,-0.27478,2.12856,0.89516,0.14066,-328.6437,-328.6437,77.80635,631.08626,-0.39979,1.84943,1.75779
"14","2018_Q4",531.231746031746,"Down",552221,-391173,161048,-3391246,-2104946,-361310,-1743636,-1286300,-3230198,-25142,-28074,-93,-3255340,-3255425,-3255425,-3255425,-3255425,-3255425,4735506,4735506,315612,315612,529815,457929,457929,6038862,1150238,2033786,280652,3184024,9222886,3024760,1036005,1988755,368927,358604,3864598,1131796,1328737,5193335,162330283,-158346149,45417,4029551,4029551,9222886,-3255425,190510,220153,26903.9999999999,-2817858,-37453,-37453,-241542,405424,405424,163881.999999998,-2691429,-2691429,-2689597,-3039688,1602707,0.29164,-5.84947,-5.89515,-0.80789,-0.35297,1.56261,1.28881,0.17377,-243.8548,-243.8548,41.36533,301.84242,-0.55847,1.03063,0.96985
"15","2019_Q1",544.632786885246,"Up",758959,-462812,296147,-3974396,-2118270,-414176,-1704094,-1856126,-3678249,-54443,-50742,174,-3732692,-3732376,-3732376,-3732376,-3732376,-3732376,4572487,4572487,373858,373858,543747,292918,292918,5783010,1221827,1945526,259346,3167353,8950363,3567343,1623751,1943592,415169,399345,4381107,660340,1260515,5641622,165396036,-162078525,-8770,3308741,3308741,8950363,-3732376,222722,229025,583026,-2697603,-105857,-105857,-187947,2802269,2802269,2614322,-189138,-189138,-183679,-3455527,1058935,0.3902,-4.84644,-4.91776,-1.12804,-0.41701,1.31999,1.70507,0.11831,-186.23655,-186.23655,37.87022,165.09819,-0.75131,1.01679,0.95522
"16","2019_Q2",195.434920634921,"Down",1020177,-365184,654993,-3896200,-2119818,-372233,-1747585,-1776382,-3241207,-91217,-56444,-24422,-3332424,-3853116,-3853116,-3853116,-3853116,-3853116,6011508,6011508,813260,813260,498852,162178,162178,7485798,248167,4357109,2737883,4605276,12091074,3702053,1528814,2173239,1433180,1423187,5483011,494285,2269070,7752081,170104444,-165931641,166190,4338993,4338993,12091074,-3853116,223115,672429,-28207.0000000001,-2985779,-7242.99999999999,-7243.00000000001,-334022,4782509,4782509,4448487,1455465,1455465,1459681,-3018092,842063,0.64204,-3.1771,-3.77691,-0.88802,-0.31867,1.36527,1.78661,0.06964,-164.91468,-164.91468,43.66392,185.71038,-0.55394,1.71282,1.59491
"17","2019_Q3",132.360625,"Down",1009543,-450474,559069,-3139996,-1986412,-393567,-1592845,-1153584,-2580927,-12084,-37129,15166,-2593011,-2593011,-2593011,-2593011,-2593011,-2593011,3055894,3055894,772914,772914,567422,178356,178356,4574586,197502,4160026,2607754,4357528,8932114,3270075,1258908,2011167,1545307,1535314,5158712,494897,1946399,7105111,170190415,-168524652,161240,1827003,1827003,8932114,-2593011,227837,85542,-558747,-2838379,11813,11813,-123511,0,0,-123511,-2950077,-2950077,-2955614,-2353090,838227,0.55378,-2.55653,-2.5685,-1.41927,-0.2903,0.88677,3.88894,0.09384,-58.62707,-58.62707,22.82542,41.3079,-0.62987,0.94245,0.85925
"18","2019_Q4",52.3896875,"Down",648220,-458557,189663,-3077030,-1937661,-376955,-1560706,-1139369,-2887367,-57010,-49099,1043.00000000001,-2944377,-3482438,-3482438,-3482438,-3482438,-3482438,626420,626420,377284,377284,468374,533411,533411,2005489,201762,4222901,2737583,4424663,6430152,4300822,1872762,2428060,1625261,1615453,6434375,328843,1552747,7987122,170449216,-172007090,904,-1556970,-1556970,6430152,-3482438,236155,50455,964024,-2231804,-47927,-47927,-155605,0,0,-155605,-2435336,-2435336,-2429474,-2651212,837135,0.29259,-4.4543,-5.37231,2.23668,-0.54158,0.31168,-5.12991,0.13019,-78.73929,-78.73929,14.65651,-35.2037,-6.90865,-0.07948,-0.07298
"19","2020_Q1",41.7735483870968,"Down",820674,-357506,463168,-2725105,-1673272,-321966,-1351306,-1051833,-2261937,-14969,-44877,18072,-2276906,-2517893,-2517893,-2517893,-2517893,-2517893,2708223,2708223,567811,567811,473030,2918239,396760,6667303,130759,3623762,2205398,3754521,10421824,2958690,1056035,1902655,1606252,1596444,4938541,329456,1189944,6128485,178779814,-174524983,38508,4293339,4293339,10421824,-2517893,234272,86719,-1252575,-3449477,40781,-2459219,-281124,8279899,8279899,7998775,2090079,2090079,2081803,-2027665,703055,0.56438,-2.75619,-3.06808,-0.58646,-0.2416,1.35006,1.42744,0.06746,-11.90115,-11.90115,3.87902,20.29303,-0.4299,0.9889,0.88648
"20","2020_Q2",42.7174603174603,"Up",616933,-414220,202713,-3201281,-1983725,-282277,-1701448,-1217556,-2998568,45192.0000000001,-38267,87335,-2953376,-3949294,-3949294,-3949294,-3949294,-3949294,11469455,11469455,165931,165931,436683,5072725,264013,17144794,102579,2516151,1915337,2618730,19763524,3089571,1054261,2035310,1474460,1464652,4912525,163401,768305,5680830,192410127,-178474277,146844,14082694,14082694,19763524,-3949294,228538,747500,628514,-2344742,-1057,-2201057,-354225,13619432,13619432,13265207,8719408,8719408,8761232,-2770030,511895,0.32858,-4.86044,-6.4015,-0.28044,-0.19983,3.49002,0.403390000000001,0.0259,-10.68354,-10.68354,1.66891,38.09618,-0.259830000000001,3.95575,3.65426
"21","2020_Q3",44.51875,"Up",1188385,-966571,221814,-6514628,-3535603,-1044032,-2491571,-2979025,-6292814,-1340335,-1044891,-5656,-7633149,-7475638,-7475638,-7475638,-7475638,-7475638,12886547,12886547,231427,231427,2898185,810391,810391,16826550,3587341,25876453,2659283,29463794,46290344,5990619,1745499,4245120,2097933,1704194,9466932,16794652,18094868,27561800,204154419,-185949915,524040,18728544,18728544,46290344,-7475638,684905,457047,-554313,-6887999,0,1266849,961997,5898201,5898201,6860198,1239048,1239048,1523132,-5607909,18173032,0.18665,-5.29527,-6.29059,-0.39916,-0.16149,1.7774,1.47165,0.39259,-9.67006,-9.67006,1.53723,24.22618,-0.19569,-0.94268,-0.84008
"22","2020_Q4",41.428125,"Down",1056765,-1510090,-453325,-5722637,-3289084,-932671,-2356413,-2433553,-6175962,-1665130,-1183927,19965,-7841092,-7675595,-7675595,-7675595,-7675595,-7675595,10488072,10488072,423432,423432,2975060,1072364,1072364,14958928,3370847,26375065,2245491,29745912,44704840,5907934,1240351,4667583,1542057,1490435,8606508,18159433,19019384,27625892,208892463,-193625510,1811995,17078948,17078948,44704840,-7675595,709479,780381,-1039691,-7225426,-1398,-1398,-57119.0000000002,4147030,4147030,4089911,-3136913,-3136913,-2395923,-5466483,19315950,-0.42897,-5.84422,-7.26329,-0.44942,-0.17169,1.73809,1.61754,0.43208,-7.99706,-7.99706,1.10102,17.79424,-0.20603,-1.61491,-1.42939
"23","2021_Q1",50.7081967213115,"Up",1352358,-957610,394748,-6421927,-3087341,-835112,-2252229,-3334586,-6027179,-1802339,-1132299,3983,-7829518,-6977914,-7110317,-7110317,-7110317,-7110317,13360463,13360463,653104,653104,1485986,1388090,1388090,16887643,3259487,29603915,4998223,32863402,49751045,5432318,1868666,3563652,1240712,1230904,7372030,19378935,21187760,28559790,219129045,-200735827,2798037,21191255,21191255,49751045,-7110317,711817,225950,-765815,-6938365,-127899,-127899,-256556,10128388,10128388,9871832,2805568,2805568,3325211,-5315362,20077935,0.2919,-4.45679,-5.25772,-0.33553,-0.14292,2.29077,1.34772,0.40357,-6.72293,-6.72293,1.27868,20.0367,-0.16506,-1.26378,-1.11453
"24","2021_Q2",45.7555555555556,"Down",829716,-659038,170678,-6376400,-3562909,-899252,-2663657,-2813491,-6205722,-732442,-1164982,4925,-6938164,-14850591,-14850591,-14850591,-14850591,-14850591,39397437,39397437,485983,485983,1417440,1472666,1472666,42773526,3649747,28732325,5381273,32382072,75155598,5247910,1249461,3998449,1043236,1033428,6573201,19430641,22551116,29124317,259766331,-215586418,1851368,46031281,46031281,75155598,-14850591,546913,9042016,295734,-4965928,-850885,-850885,-518840,32823885,32823885,32305045,26488232,26488232,25859234,-5658809,19712696,0.20571,-7.47933,-17.8984,-0.32262,-0.1976,6.50726,0.63271,0.26229,-10.0733,-10.0733,0.5628,31.22345,-0.21565,3.4786,3.17203
"25","2021_Q3",54.375,"Up",811615,-480514,331101,-6354394,-3494804,-802549,-2692255,-2859590,-6023293,-1194382,-1188542,-4925,-7217675,-7086561,-7086561,-7086561,-7086561,-7086561,31182385,31182385,472567,472567,1333880,2081549,2081549,35070381,4223155,29268827,5815908,33491982,68562363,3886207,1207113,2679094,971062,971062,4857269,20670941,23969175,28826444,260027841,-222672979,2381057,39735919,39735919,68562363,-7086561,743226,1124871,-2374818,-7593282,-872179,-872179,-99978,0,0,-99978,-8565439,-8565439,-8232844,-5280067,20670941,0.40795,-7.42137,-8.73143,-0.17834,-0.10336,7.22019,0.72545,0.30149,-3.69893,-3.69893,0.42363,20.7407,-0.11124,1.99078,1.74513
"26","2021_Q4",33.02515625,"Down",1239132,-851612,387520,-5474106,-3091803,-795143.801973932,-2718201.24637184,-2382303,-5086586,-961949,-1191023,26034.0459432231,-6048535,-6056696,-6056696,-6056696,-6056696,-6056696,25352337,25352337,751065,751065,1356912,2319939,2319939,29780253,4290204,28218461,5562003,32508665,62288918,3818891,1146895,2671996,610336,610336,19166482,6484300,9823584,28990066,260244997,-228729675,1783530,33298852,33298852,62288918,-6056696,817184,1258736,-1150412,-5131188,-101701,-101701,-58821,3.72529029846191e-09,3.72529029846191e-09,-167614.999999996,-5400504,-5400504,-5831578,-4269402,21221555,0.31274,-4.10496,-4.88785,-0.18189,-0.09724,1.55377,0.8706,0.3407,-3.16126,-3.16126,0.64676,17.38015,-0.10468,0.96753,0.81209
"27","2022_Q1",17.5108064516129,"Down",1425568,-857284,568284,-6355005,-3499710,-903294.073983412,-2759586.60223662,-2855295,-5786721,-974156,-1254784,45179,-6760877,-6768036,-6811864,-6811864,-6811864,-13978616,36080392,36080392,1172396,1172396,1239456,1250331,1250331,39742575,4011748,27912210,5928994,31923958,71666533,4894714,1307081,3587633,445303.896952361,445004.161416054,19916769,7176251,10532684,30449453,276172993,-235541539,585626,41217080,41217080,71666533,-6811864,606584,1238340,1178061,-3788879,-158849,-158849,-29907,15335092,15335092,15413979,11466251,11466251,10730119,-5180137,22198306,0.39864,-4.05924,-9.80565,-0.33915,-0.19505,1.99543,0.73876,0.30974,-17.69358,-17.69358,1.80443,52.17094,-0.20935,2.67987,2.39896
"28","2022_Q2",10.8958064516129,"Down",469745,-322559,147186,-5992926,-3676485,-1051432,-2625053,-2316441,-5845740,-1067720,-1269581,3121,-6913460,-6803716,-6803716,-6803716,-6803716,-6803716,30653410,30653410,265885,265885,1361221,1212195,1212195,33492711,3721720,27045002,5673951,30766722,64259433,4143879,865440,3278439,447710,447710,19012875,7955483,11075424,30088299,275949034,-242345255,567355,34171134,34171134,64259433,-6803716,514269,1223718,24329,-5041400,-38713,-38713,-17529,19742197.0839386,19742197.0839386,-17528.9999999981,-5097642,-5097642,-5510735,-5331471,22376769,0.31333,-12.4445,-14.48385,-0.19911,-0.10588,1.76158,0.88052,0.34823,-3.55562,-3.55562,0.24549,17.85781,-0.11403,1.55241,1.41584
"29","2022_Q3",10.02828125,"Down",967205,-662039,305166,-5577371,-3303615,-1169349,-2134266,-2273756,-5272205,-494094,-762940,-3121,-5766299,-5840415,-5840415,-5840415,-5840415,-5840415,16586577,16586577,738148,738148,1196956,1687564,1687564,20209245,3209311,25390037,5535907,28599348,48808593,3095297,731845,2363452,394027,394027,14393524,4024413,7054089,21447613,276205778,-248185670,-659128,27360980,27360980,48808593,-5840415,464018,869317,-2152424,-6659504,-44850,-44850,-6829977,-4267477.7481841,-4267477.7481841,-6829977,-13534331,-13534331,-14093554,-4808187,14928613,0.31551,-5.45097,-6.03845,-0.21346,-0.11966,1.40405,0.78388,0.30586,-2.50799,-2.50799,0.41534,11.74934,-0.12887,0.34482,0.31447
