"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",21.91421875,"Up",112205000,-34104000,78101000,-60283000,-35500000,-24783000,17818000,-16633000,-16549000,1185000,1185000,-480000,705000,705000,705000,705000,22625000,22625000,92623000,92623000,18797000,11027000,134045000,214295000,687370000,167731000,291413000,901665000,1035710000,52423000,11285000,20179000,10522000,15856000,13461000,78801000,931122000,23233000,23233000,954355000,1033156000,410418000,-407864000,2554000,2554000,1035710000,705000,15970000,-209000,-3361000,13105000,-6780000,-127894000,69990000,1455000,1455000,499000,68415000,-46374000,-46374000,-46374000,33788000,941644000,24127000,0.69606,0.1588,0.00628,0.27604,0.00068,34.2227,1.70106,404.52467,0.90918,0.02393,0.0227,3.80859,0.08669,0.81895,0.00438,0.02494,27.19957,51.57812
"12","2013_Q3",29.78,"Up",126211000,-36461000,89750000,-61558000,-37565000,-23993000,28192000,-16987000,-16903000,11205000,11205000,-4838000.00000001,6367000,6366999.99999999,6367000.00000001,6367000.00000001,45625000,45625000,104359000,104359000,18386000,2691000,168370000,209518000,708878000,167838000,318549000,918396000,1086766000,43882000,13186000,22384000,10371000,9081000,6832000,63334000,990174000,27264000,27264000,1017438000,1080772000,407491000,-401497000,5994000,5994000,1086766000,6366999.99999999,15127000,-121000,-22676000,-1303000,-3196000,-36702000,65510000,-5569000,2853000,4592000,61005000,2.3e+07,2.3e+07,2.3e+07,43319000,1000545000,22285000,0.71111,0.22337,0.05045,1.06223,0.00585999999999999,3.50008,2.65845,180.30898,0.92066,0.21507,0.203260000000001,4.26331,0.20247,0.75277,0.00957,0.02156,22.04391,33.87202
"13","2013_Q4",39.9128125,"Up",125792000,-37270000,88522000,-63369000,-37587000,-25782000,25153000,-16984000,-16900000,8169000,7121000,-3526000,3595000,3595000,3595000,3595000,24619000,24619000,102064000,102064000,22634000,5862000,149317000,219263000,779408000,188108000,348479000,998671000,1147988000,56122000,13140000,23503000,11752000,31076000,31076000,98950000,1006749000,30931000,30931000,1037680000,1136630000,409260000,-397902000,11358000,11358000,1147988000,3595000,16594000,3523000,9285000,32997000,-4373000,-70583000,16699000,1854000,1854000,1624000,16580000,-21006000,-21006000,-21006000,41747000,1018501000,50185000,0.70372,0.19996,0.02858,0.31652,0.00313,13.95967,1.50901,100.07308,0.88721,0.11964,0.11409,4.18637,0.378,1.67016,0.00678,0.04731,23.80727,39.51346
"14","2014_Q1",36.3083606557377,"Down",138122000,-39876000,98246000,-66168000,-41561000,-24607000,32078000,-17098000,-15891000,14980000,-18696000,6244000,-12452000,-12452000,-12452000,-12452000,40028000,40028000,109430000,109430000,51708000,13123000,201166000,212259000,750297000,198052000,358626000,962556000,1163722000,39053000,10250000,24142000,13139000,31730000,31730000,83922000,1064262000,28769000,28769000,1093031000,1176953000,397123000,-410354000,-13231000,-13231000,1163722000,-12452000,16035000,32540000,-25219000,10904000,-4387000,-12939000,62584000,797000.000000001,797000,-42289000,17444000,15409000,15409000,15409000,48113000,1077401000,12263000,0.7113,0.23224,-0.09015,0.941119999999999,-0.0107,-0.984819999999999,2.39706,-88.9542,0.92582,-0.4086,-0.48451,4.53231,-0.43416,0.4024,-0.00806,0.01122,21.56118,32.33908
"15","2014_Q2",36.0096825396825,"Down",133833000,-41849000,91984000,-64284000,-41040000,-23244000,27700000,-15298000,-15170000,12402000,12402000,-5049000,7353000,7353000,7353000,7353000,50580000,50580000,104457000,104457000,49492000,10907000,204529000,205477000,738787000,198033000,357736000,944264000,1148793000,47363000,13651000,20119000,6174000,16317000,16317000,69854000,1061378000,26003000,26003000,1087381000,1157235000,394559000,-403001000,-8442000,-8442000,1148793000,7353000,14612000,7052000,15714000,44731000,-3969000,-26026000,-3869000,107000,107000,197000,-8153000,10552000,10552000,10552000,42312000,1067552000,59106000,0.6873,0.20697,0.05494,-0.871,0.0064,8.03835,2.92795,-137.08067,0.92928,0.24027,0.23044,4.3732,-0.27586,1.93138,0.011,0.05447,24.03507,36.71379
"16","2014_Q3",39.186875,"Up",146930000,-45257000,101673000,-66731000,-43796000,-22935000,34942000,-15466000,-15339000,19476000,19405000,-8461000,10944000,10944000,10944000,10944000,32113000,32113000,106851000,106851000,50676000,12091000,189640000,219155000,780257000,213880000,366500000,999412000,1189052000,50548000,12031000,33639000,6575000,16077000,16077000,73200000,1081805000,24587000,24587000,1106392000,1179592000,397517000,-392057000,5460000,9460000,1189052000,10944000,14655000,6033000,-2943000.00000001,28689000,-5063000,-68304000,20383000,1177000,1177000,4180000,21148000,-18467000,-18467000,-18467000,49597000,1088380000,50052000,0.69198,0.23781,0.07448,1.15687,0.0092,4.57346,2.59071,124.6926,0.91533,0.35717,0.34273,4.79521,0.17819,1.6335,0.01384,0.04459,21.29699,30.22915
"17","2014_Q4",39.2090625,"Up",157744000,-48395000,109349000,-67653000,-43652000,-24001000,41696000,-15702000,-15530000,25994000,25994000,-10590000,15404000,15404000,15404000,15404000,68676000,68676000,109017000,109017000,52432000,13847000,230125000,215594000,774372000,214453000,376851000,989966000,1220091000,52680000,10010000,28731000,7460000,22205000,22205000,82345000,1079980000,35567000,35567000,1115547000,1197892000,394852000,-376653000,18199000,22199000,1220091000,15404000,15230000,12203000,4385000,47222000,-4790000,-4790000,-1276000,7000,7000,32000,-5869000,36563000,36563000,36563000,56926000,1087440000,67111000,0.69321,0.26433,0.09765,0.69391,0.01263,4.35673,2.79464,53.96153,0.89128,0.4987,0.48037,5.10697,0.58919,2.17272,0.0175,0.0586,17.89629,24.43314
"18","2015_Q1",45.1429508196721,"Up",192804000,-51931000,140873000,-71974000,-46941000,-25033000,68899000,-16049000,-15920000,52850000,52850000,-22001000,30849000,30849000,30849000,30849000,131912000,131912000,127878000,127878000,16137000,5264000,275927000,237739000,900436000,256491000,449816000,1138175000,1414102000,63538000,17231000,41706000,27775000,5953000,5953000,97266000,1204529000,55770000,43894000,1260299000,1357565000,398341000,-345804000,52537000,56537000,1414102000,30849000,16400000,20259000,-21623000,45885000,-6478000,-130913000,148139000,740000,740000,4018000,148264000,63236000,63236000,63236000,85299000,1232304000,79199000,0.73065,0.35735,0.16,0.54564,0.02182,2.56731,2.83683,24.01197,0.87144,0.99629,0.96091,6.22671,1.69671,2.55778,0.02639,0.0589,12.90041,15.97109
"19","2015_Q2",48.9271428571429,"Up",201735000,-68029000,133706000,-95802000,-57289000,-38513000,37904000,-19411000,-19293000,18493000,18493000,-6581000,11912000,11912000,12907000,12907000,44584000,44584000,164581000,164581000,72473000,5692000,281638000,277837000,1343676000,441129000,554887000,1621513000,1903151000,94107000,20335000,57160000,35126000,7180000,7180000,136413000,1526830000,168471000,51273000,1695301000,1831714000,398432000,-332897000,65535000,71440000,1903154000,11912000,23932000,9485000,4297000,49626000,-5524000,-438698000,307434000,1465000,1465000,-1234000,301744000,-87328000,-87328000,-87328000,61836000,1561956000,67190000,0.66278,0.18789,0.06398,0.18067,0.00678,5.2057,2.0646,25.63989,0.82072,0.41374,0.40014,6.46669,2.10075,2.1538,0.01045,0.03729,24.53865,40.03198
"20","2015_Q3",43.41625,"Down",219349000,-73038000,146311000,-93769000,-56557000,-37212000,52542000,-20541000,-20391000,32001000,32001000,-12101000,19900000,19900000,20321000,20321000,26891000,26891000,171958000,171958000,68062000,3535000,266911000,276191000,1322601000,443855000,546296000,1598792000,1865703000,81094000,22487000,46860000,33966000,8289000,8289000,123349000,1481859000,164251000,45991000,1646110000,1769459000,403236000,-312576000,90660000,96244000,1865703000,19900000,22539000,9063000,-20535000,30967000,-5710000,-5422000,-45036000,1819000,1819000,5923000,-43238000,-17693000,-17693000,-17693000,75081000,1515825000,60937000,0.66702,0.23954,0.09264,0.21114,0.01089,2.99872,2.16387,18.38514,0.81247,0.64872,0.62754,7.00236,2.89417,1.94532,0.01479,0.03431,19.83104,28.33798
"21","2015_Q4",47.51015625,"Up",223031000,-78551000,144480000,-96165000,-56426000,-39739000,48315000,-20511000,-20396000,27804000,27804000,-10649000,17155000,17155000,17282000,17282000,23356000,23356000,174709000,174709000,91088000,7986000,289153000,271567000,1299486000,445187000,533200000,1571053000,1860206000,93106000,23683000,53657000,40896000,9016000,9016000,143018000,1465251000,190207000,50768000,1655458000,1798476000,399688000,-295294000,56273000,61730000,1860206000,17155000,24427000,14378000,4102000,60062000,-7842000,-9829000,754000,-48617000,43000,1e+05,-53768000,-3535000,-3535000,-3535000,72742000,1506147000,79651000,0.6478,0.21663,0.07749,0.27996,0.00929,4.6089,2.02179,29.13455,0.80967,0.55281,0.53753,7.13425,1.80004,2.54785,0.01325,0.04531,20.38425,30.69008
"22","2016_Q1",39.1080327868852,"Down",252262000,-82639000,169623000,-102277000,-62208000,-40069000,67346000,-20574000,-20440000,46772000,46772000,-19356000,27416000,27416000,27174000,27174000,43416000,43416000,192991000,192991000,23621000,7324000,260028000,266583000,1308523000,451662000,542500000,1575106000,1835134000,97434000,25936000,60559000,39649000,8978000,8978000,146061000,1454075000,148625000,46861000,1602700000,1748761000,396540000,-268120000,80674000,86373000,1835134000,27416000,24799000,30781000,-18343000,64653000,-6321000,-20392000,-10501000,30000.0000000075,29999.9999999998,-7914000,-24201000,20060000,20060000,20060000,92145000,1493724000,86837000,0.67241,0.26697,0.10772,0.31461,0.01481,3.19559,1.78027,20.24662,0.81396,0.88755,0.86062,8.23928,2.63494,2.83623,0.01908,0.05023,15.73941,21.53518
"23","2016_Q2",43.41078125,"Up",255658000,-90123000,165535000,-107606000,-68165000,-39441000,57929000,-20790000,-20654000,37139000,37139000,-14865000,22274000,22274000,21727000,21727000,12821000,12821000,199999000,199999000,21507000,6570000,234327000,287655000,1370203000,459924000,586324000,1657858000,1892185000,95108000,24925000,54350000,40089000,9914000,9914000,145111000,1489899000,139625000,45100000,1629524000,1774635000,402860000,-246393000,111404000,117550000,1892185000,22274000,24637000,10860000,-6116000,51655000,-7581000,-111552000,36757000,15143221.4616271,247639.834533156,-1e+05,29302000,-30595000,-30595000,-30595000,82566000,1529988000,83734000,0.64749,0.22659,0.08498,0.18483,0.01148,3.85391,1.61481,15.09685,0.80858,0.70869,0.68891,8.33903,3.63377,2.73123,0.01627,0.04685,18.3752,26.19011
"24","2016_Q3",46.00390625,"Up",261994000,-92935000,169059000,-105052000,-65772000,-39280000,64007000,-20724000,-20577000,43283000,43283000,-18484000,24799000,24799000,24529000,24529000,27182000,27182000,206830000,206830000,27920000,14820000,261932000,283863000,1352657000,459960000,580173000,1636520000,1898452000,105530000,29878000,64596000,40403000,10022000,10022000,155955000,1461730000,142659000,39724000,1604389000,1760344000,398370000,-221864000,131692000,138108000,1898452000,24799000,24058000,18576000,-9703000,57730000,-7119000,-7117000,-29004000,213000,213000,-1e+05,-36252000,14361000,14361000,14361000,88065000,1502133000,89727000,0.64528,0.24431,0.09362,0.17761,0.01292,3.658,1.67954,12.74614,0.79124,0.79951,0.77574,8.53957,4.29244,2.92461,0.01789,0.05033,16.74844,23.04359
"25","2016_Q4",50.2726984126984,"Up",275659000,-100744000,174915000,-102018000,-63602000,-38416000,72897000,-29748000,-29622000,43149000,43149000,-17533000,25616000,25616000,24799000,24799000,29256000,29256000,214404000,214404000,43361000,27866000,287021000,283600000,2350075000,488432000,1525237000,2633675000,2920696000,120503000,25388000,70364000,44843000,15804000,15804000,181150000,2320077000,151868000,40789000,2471945000,2653095000,393152000,-197065000,152468000,267601000,2920696000,25616000,24382000,16951000,88000,67037000,-10357000,-10358000,-25592000,174000,174000,-21825000,-54605000,2074000,2074000,2074000,97279000,2364920000,104543000,0.63453,0.26445,0.08996,0.09267,0.00849,4.21561,1.58444,9.91437,0.80971,0.80792,0.78235,8.98058,4.96719,3.40586,0.01155,0.03755,24.00995,32.04061
"26","2017_Q1",59.0564516129032,"Up",309879000,-98195000,211684000,-103947000,-66067000,-37880000,107737000,-45374000,-45228000,62363000,47101000,-26690000,20411000,20411000,20482000,20482000,87680000,87680000,218058000,218058000,57479000,30760000,363217000,276153000,2326715000,473304000,1528674000,2602868000,2966085000,135259000,19754000,71315000,44605000,9714000.00000001,9714000,189578000,2314326000,177827000,45819000,2492153000,2681731000,387237000,-176583000,169141000,284354000,2966085000,20411000,24795000,45924000,-6035000,85095000,-6095000,-11158000,-7559000,837999.999999999,838000,-1425000,-15513000.0000001,58424000,58424000,58424000,132532000,2358931000,147092000,0.68312,0.34767,0.0661,0.07203,0.00691,7.18153,1.91592,9.43096,0.7953,0.66684,0.64409,10.08885,5.50679,4.78893,0.00987,0.05214,17.13738,21.08144
"27","2017_Q2",55.4461904761905,"Down",540317000,-218729000,321588000,-271784000,-176933000,-94851000,49804000,-79344000,-79237000,-29540000,-997000,5941000,4944000,4944000,6049000,6049000,72892000,72892000,533931000,533931000,475357000,33748000,1082180000,741484000,5699436000,2121597000,2111322000,6440920000,7523100000,225960000,36048000,165508000,48011000,277249000,277249000,551220000,4481096000,1269983000,207861000,5751079000,6302299000,1389171000,-169426000,1212030000,1220801000,7523100000,4944000,70384000,-36917000,-86196000,-47785000,-13510000,-2502760000,1760588000,2841000,2841000,-141365000,1607958000,-942587000,-942587000,-942587000,120188000,4529107000,14541000,0.59518,0.09218,0.0112,0.00495,8e-04,2.40387,1.96325,5.16243,0.60203,0.13686,0.13318,12.22437,27.42149,0.32898,0.00287,0.00207,37.07704,89.47504
"28","2017_Q3",54.9206349206349,"Down",626115000,-252610000,373505000,-237976000,-147441000,-90535000,135529000,-56585000,-55685000,78944000,80777000,-32322000,48455000,48455000,43992000,43992000,85902000,85902000,503119000,503119000,489494000,30490000,1078515000,738727000,5652375000,2145868000,1900482000,6391102000,7469617000,434539000,27932000,371954000,74262000,285647000,285647000,794448000,4377670000,1093953000,207309000,5471623000,6266071000,1380508000,-125433000,1190312000,1203546000,7469617000,48455000,64849000,-158390000,203720000,158634000,394000,647000,-74103000,-57832000,462000,-173999.99999997,-146271000,13010000.0000002,13010000.0000002,13010000.0000002,200378000,4451932000,436814000,0.59654,0.21646,0.07026,0.03655,0.00589,9.9294,1.35757,5.20634,0.59601,0.93738,0.91279,13.34118,25.36302,9.30758,0.00862,0.06472,21.78897,32.21473
"29","2017_Q4",60.0234920634921,"Up",611870000,-257656000,354214000,-228298000,-140464000,-87834000,125916000,-53766000,-53605000,72150000,74085000,-32013000,42072000,42072000,46475000,46475000,135801000,135801000,518542000,518542000,375076000,34388000,1029419000,738222000,5736937000,2146797000,2015430000,6475159000,7504578000,279043000,61096000,189694000,121817000,363863000,363863000,764723000,4286622000,1254770000,353450000,5541392000,6306115000,1371159000,-78958000,1188973000,1198463000,7504578000,42072000,59965000,208943000,-358665000,-47685000,-19281000,459908000,-49637000,-40154000,560000,-258669000,-362324000,49899000,49899000,49899000,185881000,4408439000,-160052000,0.5789,0.20579,0.07596,0.03878,0.00619,-3.44383,1.34613,5.26184,0.58743,1.00798,0.97941,13.27065,25.78726,-3.47132,0.00879,-0.02333,22.98588,33.93245
"30","2018_Q1",66.0093442622951,"Up",653664000,-264410000,389254000,-219489000,-127148000,-92341000,169765000,-52784000,-52668000,116981000,87519000,292337000,379856000,379856000,378481000,378481000,115652000,115652000,562943000,562943000,377623000,71859000,1056218000,734138000,5691291000,2142846000,1966819000,6425429000,7481647000,246639000,31136000,175940000,92808000,331256000,331256000,670703000,4269652000,959982000,340541000,5229634000,5900337000,1343014000,299523000,1570614000,1581310000,7481647000,379856000,64960000,-434362000,63103000,73557000,-20038000,-19867000,867709000,4292000,4292000,-4281000.00000006,853960000,907650000,907650000,907650000,234725000,4362460000,-14547000,0.5955,0.25971,0.57901,0.23935,0.05059,-0.0384399999999996,1.57479,3.7313,0.58309,8.26775,7.96299,14.279,34.30936,-0.317770000000001,0.05682,-0.00210999999999998,18.0927,25.0158
