"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"19","2014_Q4",44.81046875,"Up",2.319e+09,-1.372e+09,9.47e+08,-6.63e+08,-6.63e+08,2.84e+08,-7.9e+07,-8e+07,-8e+07,1e+06,2.05e+08,2.05e+08,-7.3e+07,1.32e+08,1.32e+08,1.32e+08,1.32e+08,7.45e+08,7.45e+08,2.74e+08,2.74e+08,1.485e+09,3.14e+08,3.14e+08,2.818e+09,2.281e+09,2.05e+09,1.318e+09,3.1e+07,2.9e+08,4.331e+09,7.149e+09,1.586e+09,8.37e+08,1.4e+07,7.35e+08,1.799e+09,4.759e+09,1.024e+09,2.28e+08,7.96e+08,5.783e+09,7.582e+09,5.52e+08,-7.93e+08,-2.31e+08,3.8e+07,-4.34e+08,1e+06,-4.33e+08,7.149e+09,1.32e+08,9.8e+07,9e+06,-9e+06,-3.15e+08,-4.1e+07,-4.12e+08,2.06e+08,-6.8e+07,-7.6e+07,-2.36e+08,-2.36e+08,-2.36e+08,0,-2.36e+08,-1e+08,0,6e+06,6e+06,0,4e+06,-9e+07,-4.02e+08,-4.02e+08,0,-4.02e+08,3.82e+08,4.972e+09,-9.6e+07,0.40837,0.12247,0.05692,-0.30485,0.01846,-0.72727,1.56643,-17.51039,0.69548,0.45205,0.44295,7.94178,-1.4863,-0.32877,0.34247,6,0.0417,-0.01726,0.75758,11.06545,14.8838
"20","2015_Q1",53.3150819672131,"Up",4.069e+09,-2.234e+09,1.835e+09,-8.78e+08,-8.78e+08,9.57e+08,-7.7e+07,-7.8e+07,-7.8e+07,1e+06,8.8e+08,8.8e+08,-3.15e+08,5.65e+08,5.65e+08,5.65e+08,5.65e+08,1.681e+09,1.681e+09,2.52e+08,2.52e+08,1.036e+09,2.3e+08,2.3e+08,3.199e+09,2.277e+09,2e+09,1.318e+09,2.4e+07,2.47e+08,4.277e+09,7.476e+09,1.679e+09,6.13e+08,1.66e+08,9e+08,1.679e+09,4.722e+09,1.056e+09,2.36e+08,8.2e+08,5.778e+09,7.457e+09,5.82e+08,-8.32e+08,2.33e+08,3.5e+07,1.8e+07,1e+06,1.9e+07,7.476e+09,5.65e+08,1.01e+08,6.1e+07,4e+07,6.89e+08,2.1e+07,4.42e+08,-5.4e+07,2.8e+08,1.416e+09,-1.3e+08,-1.3e+08,-1.3e+08,1e+06,-1.29e+08,-99999999.9999999,-2.13e+08,-3.2e+07,7e+06,-3.9e+07,1e+06,-3.44e+08,9.43e+08,9.43e+08,-7e+06,9.36e+08,1.058e+09,4.722e+09,1.932e+09,0.45097,0.23519,0.13885,29.73684,0.07558,3.41947,1.9053,392.47368,0.63162,1.92833,1.88333,13.88737,0.0614300000000001,6.59386,0.3413,7,0.11471,0.33328,0.17699,2.87429,3.17764
"21","2015_Q2",53.7866666666667,"Up",2.512e+09,-1.456e+09,1.056e+09,-6.84e+08,-6.84e+08,3.72e+08,-3e+06,-8e+07,-8e+07,7.7e+07,3.69e+08,3.69e+08,-1.19e+08,2.5e+08,2.5e+08,2.5e+08,2.5e+08,6.49e+08,6.49e+08,2.39e+08,2.39e+08,1.139e+09,2.58e+08,2.58e+08,2.285e+09,2.306e+09,1.981e+09,1.318e+09,2.5e+07,2.27e+08,4.287e+09,6.572e+09,1.391e+09,6.39e+08,2.9e+07,7.23e+08,1.391e+09,4.719e+09,1.068e+09,2.48e+08,8.2e+08,5.787e+09,7.178e+09,6.14e+08,-1.003e+09,-2.5e+08,3.2e+07,-6.07e+08,1e+06,-6.06e+08,6.572e+09,2.5e+08,1.01e+08,-8.9e+07,1.1e+07,-4.18e+08,1.3e+07,-1e+08,-2.76e+08,-5.5e+07,-1.56e+08,-1.32e+08,-1.32e+08,-1.32e+08,1e+06,-9.6e+07,-7.34e+08,0,-9.5e+07,1.9e+07,-1.14e+08,4.8e+07,-7.81e+08,-1.033e+09,-1.033e+09,1e+06,-1.032e+09,4.73e+08,4.719e+09,4.2e+07,0.42038,0.14809,0.09952,-0.41254,0.03804,0.168,1.6427,-11.84488,0.71805,0.85324,0.83612,8.57338,-2.07167,0.14334,2.50512,3,0.18992,0.00811,2.936,8.60465,10.94086
"22","2015_Q3",52.13015625,"Down",2.765e+09,-1.651e+09,1.114e+09,-7.11e+08,-7.11e+08,4.03e+08,-7.9e+07,-7.8e+07,-7.8e+07,-999999.999999985,3.24e+08,3.24e+08,-1.21e+08,2.03e+08,2.03e+08,2.03e+08,2.03e+08,7.8e+08,7.8e+08,2.57e+08,2.57e+08,1.106e+09,3.2e+08,3.2e+08,2.463e+09,2.275e+09,2e+09,1.318e+09,2.7e+07,2.44e+08,4.275e+09,6.738e+09,1.57e+09,7.25e+08,5000000.00000001,8.4e+08,1.57e+09,4.72e+09,1.095e+09,2.46e+08,8.49e+08,5.815e+09,7.385e+09,6.39e+08,-1.134e+09,-1.94e+08,4.1e+07,-6.48e+08,1e+06,-6.47e+08,6.738e+09,2.03e+08,1.03e+08,1e+07,-4e+06,2.15e+08,-1.9e+07,28999999.9999999,2.4e+08,-3.5e+07,5.31e+08,-9.1e+07,-2.26e+08,-2.26e+08,-2.3283064365387e-10,-9.1e+07,-1.46e+08,0,-1.77e+08,4e+06,-1.81e+08,1.3e+07,-3.1e+08,1.3e+08,1.3e+08,1e+06,1.31e+08,5.06e+08,4.72e+09,7.51e+08,0.40289,0.14575,0.07342,-0.313759999999999,0.03013,3.69951,1.56879,-11.4142200000001,0.7005,0.69759,0.6835,9.50172,-2.2268,2.58076,0.50172,5,0.06753,0.14532,0.71921,7.78656,9.77667
"23","2015_Q4",58.7725,"Up",2.482e+09,-1.451e+09,1.031e+09,-6.92e+08,-6.92e+08,3.39e+08,-8e+07,-7.9e+07,-7.9e+07,-1e+06,2.59e+08,2.59e+08,-9.5e+07,1.64e+08,1.64e+08,1.64e+08,1.64e+08,1.311e+09,1.311e+09,2.83e+08,2.83e+08,1.62e+09,3.15e+08,3.15e+08,3.529e+09,2.35e+09,2.014e+09,1.318e+09,2.7e+07,2.58e+08,4.364e+09,7.893e+09,1.724e+09,9.13e+08,7e+06,8.04e+08,1.728e+09,5.713e+09,1.109e+09,2.41e+08,8.68e+08,6.822e+09,8.55e+09,6.71e+08,-1.195e+09,-1.75e+08,4.1e+07,-6.58e+08,1e+06,-6.57e+08,7.893e+09,1.64e+08,1e+08,1.5e+07,-4e+06,-3.92e+08,-2.4e+07,-5.15e+08,1.54e+08,-7e+06,-1.13e+08,-1.84e+08,-2.45e+08,-2.45e+08,-1e+06,-1.45e+08,-1.46e+08,9.93e+08,-6e+07,8e+06,-6.8e+07,2e+06,7.89e+08,5.31e+08,5.31e+08,0,5.31e+08,4.39e+08,5.717e+09,-4.2e+07,0.41539,0.13658,0.06608,-0.24962,0.02078,-0.2561,2.04225,-13.0137,0.72431,0.56357,0.55405,8.52921,-2.26117,-0.14433,0.50172,5,0.05025,-0.00681,0.89024,10.03645,12.99705
"24","2016_Q1",55.4227868852459,"Down",4.395e+09,-2.392e+09,2.003e+09,-9.25e+08,-9.25e+08,1.078e+09,-9.6e+07,-9.7e+07,-9.7e+07,1e+06,9.82e+08,9.82e+08,-3.46e+08,6.36e+08,6.36e+08,6.36e+08,6.36e+08,2.548e+09,2.548e+09,2.61e+08,2.61e+08,1.122e+09,2.25e+08,2.25e+08,4.156e+09,2.33e+09,2.007e+09,1.318e+09,3e+07,2.48e+08,4.337e+09,8.493e+09,1.869e+09,6.68e+08,2.24e+08,9.77e+08,1.875e+09,5.715e+09,1.161e+09,2.57e+08,9.04e+08,6.876e+09,8.751e+09,7.01e+08,-1.315e+09,3.15e+08,4e+07,-2.59e+08,1e+06,-2.58e+08,8.493e+09,6.36e+08,1.11e+08,9.6e+07,8e+06,9.22e+08,2e+07,4.94e+08,1.9e+07,3.89e+08,1.765e+09,-1.24e+08,-1.24e+08,-1.24e+08,1.3e+07,-1.11e+08,-1.45e+08,2e+06,-1.18e+08,2e+06,-1.2e+08,-1.53e+08,-4.14e+08,1.24e+09,1.24e+09,-3e+06,1.237e+09,1.189e+09,5.721e+09,2.333e+09,0.45575,0.24528,0.14471,-2.46512,0.07489,3.66824,2.21653,-33.9186,0.67361,2.20069,2.14865,15.20761,-0.89619,8.07266,0.50173,6,0.1179,0.3522,0.22799,2.66863,2.94341
"25","2016_Q2",46.121875,"Down",2.614e+09,-1.571e+09,1.043e+09,-7.2e+08,-7.2e+08,3.23e+08,-9e+07,-9.7e+07,-9.7e+07,7e+06,2.33e+08,2.33e+08,-8.1e+07,1.52e+08,1.52e+08,1.52e+08,1.52e+08,1.267e+09,1.267e+09,2.49e+08,2.49e+08,1.266e+09,2.09e+08,2.09e+08,2.991e+09,2.423e+09,2.012e+09,1.348e+09,2.9e+07,2.24e+08,4.435e+09,7.426e+09,1.597e+09,7.2e+08,4.4e+07,8.33e+08,1.605e+09,5.718e+09,1.189e+09,2.69e+08,9.2e+08,6.907e+09,8.512e+09,7.29e+08,-1.575e+09,-2.83e+08,4.2e+07,-1.087e+09,1e+06,-1.086e+09,7.426e+09,1.52e+08,1.1e+08,3.2e+07,1.5e+07,-3.37e+08,3e+06,-1.35e+08,-1.02e+08,-1.03e+08,-4.3e+07,-1.87e+08,-1.87e+08,-1.87e+08,3e+06,-2.05e+08,-7.5e+08,6e+06,-2.5e+08,1e+07,-2.6e+08,-4.1e+07,-1.035e+09,-1.283e+09,-1.283e+09,2e+06,-1.281e+09,4.33e+08,5.726e+09,-1e+07,0.39901,0.12357,0.05815,-0.13996,0.02047,-0.06579,1.86355,-7.83794,0.77107,0.52778,0.51877,9.07639,-3.77431,-0.03472,2.60417,3,0.15474,-0.00172,4.93421,10.29792,13.80495
"26","2016_Q3",46.87,"Up",2.89e+09,-1.777e+09,1.113e+09,-7.04e+08,-7.04e+08,4.09e+08,-2.9e+07,-1.02e+08,-1.02e+08,7.3e+07,3.8e+08,3.8e+08,-1.27e+08,2.53e+08,2.53e+08,2.53e+08,2.53e+08,1.273e+09,1.273e+09,2.66e+08,2.66e+08,1.204e+09,2.17e+08,2.17e+08,2.96e+09,2.586e+09,1.995e+09,1.348e+09,3e+07,2.06e+08,4.581e+09,7.541e+09,1.806e+09,7.93e+08,1.34e+08,8.79e+08,1.819e+09,5.706e+09,1.145e+09,2.68e+08,8.77e+08,6.851e+09,8.67e+09,7.54e+08,-1.703e+09,-2.03e+08,2.2e+07,-1.13e+09,1e+06,-1.129e+09,7.541e+09,2.53e+08,1.12e+08,-4.7e+07,1.86264514923096e-09,2.33e+08,-1.8e+07,57999999.9999999,1.19e+08,7.4e+07,5.51e+08,-3.1e+08,-3.1e+08,-3.1e+08,1.21e+08,-1.89e+08,-1.73e+08,-4.6e+07,-1.22e+08,3e+06,-1.25e+08,-9999999.99999997,-3.51e+08,11000000.0000002,11000000.0000002,-5e+06,6000000.00000048,5.21e+08,5.719e+09,5.71e+08,0.38512,0.14152,0.08754,-0.22409,0.03355,2.25692,1.62727,-7.67936,0.75839,0.88153,0.86942,10.06969,-3.93728,1.98955,0.60279,6,0.07428,0.09956,0.683790000000002,8.53359,10.87042
"27","2016_Q4",45.6060317460317,"Down",2.581e+09,-1.556e+09,1.025e+09,-7.42e+08,-7.42e+08,2.83e+08,-9.3e+07,-9.6e+07,-9.6e+07,3e+06,1.9e+08,1.9e+08,-6.9e+07,1.21e+08,1.21e+08,1.21e+08,1.21e+08,6.54e+08,6.54e+08,3.25e+08,3.25e+08,1.651e+09,2.56e+08,2.56e+08,2.886e+09,2.77e+09,2.007e+09,1.348e+09,3e+07,2.18e+08,4.777e+09,7.663e+09,1.984e+09,9.62e+08,1.13e+08,9.09e+08,2.007e+09,5.701e+09,1.143e+09,2.62e+08,8.81e+08,6.844e+09,8.851e+09,7.77e+08,-1.725e+09,-2.54e+08,1.2e+07,-1.19e+09,2e+06,-1.188e+09,7.663e+09,1.21e+08,1.21e+08,1.4e+07,-6e+06,-3.53e+08,-6e+07,-4.5e+08,2.07e+08,-5e+07,-9.7e+07,-3.28e+08,-3.28e+08,-3.28e+08,3e+06,-3.27e+08,-1.73e+08,6e+06,-2.1e+07,4e+06,-2.5e+07,-7e+06,-1.95e+08,-6.19e+08,-6.19e+08,0,-6.19e+08,4.04e+08,5.724e+09,-2.08e+08,0.39713,0.10965,0.04688,-0.10185,0.01579,-1.71901,1.43797,-7.45034,0.74697,0.42308,0.41724,9.02448,-4.16084,-0.72727,0.6049,3,0.05177,-0.03663,1.42975,12.5495,17.91519
"28","2017_Q1",36.498064516129,"Down",4.489e+09,-2.545e+09,1.944e+09,-9.56e+08,-9.56e+08,9.88e+08,-9.5e+07,-9.9e+07,-9.9e+07,3999999.99999999,8.93e+08,8.93e+08,-2.61e+08,6.32e+08,6.32e+08,6.32e+08,6.32e+08,1.934e+09,1.934e+09,2.94e+08,2.94e+08,1.096e+09,1.41e+08,1.41e+08,3.465e+09,2.741e+09,1.964e+09,1.348e+09,1.9e+07,1.86e+08,4.705e+09,8.17e+09,1.978e+09,6.83e+08,2.98e+08,9.97e+08,2.014e+09,5.7e+09,1.183e+09,3.52e+08,8.31e+08,6.883e+09,8.897e+09,8.07e+08,-1.753e+09,2.05e+08,1.2e+07,-7.29e+08,2e+06,-7.27e+08,8.17e+09,6.32e+08,1.29e+08,1.27e+08,1.01e+08,6.91e+08,3.1e+07,5.57e+08,-1.93e+08,2.96e+08,1.579e+09,-1.12e+08,-1.65e+08,-1.65e+08,0,-1.12e+08,-1.72e+08,1.3e+07,-2.2e+07,3e+06,-2.5e+07,-3e+06,-1.84e+08,1.283e+09,1.283e+09,-3e+06,1.28e+09,1.117e+09,5.736e+09,1.957e+09,0.43306,0.22009,0.14079,-0.86933,0.07736,3.09652,1.72046,-12.23796,0.70208,2.20209,2.17931,15.64111,-2.54007,6.81882,0.5993,5,0.12984,0.31605,0.27215,3.40376,3.84818
"29","2017_Q2",33.5026984126984,"Down",2.437e+09,-1.534e+09,9.03e+08,-6.94e+08,-6.94e+08,2.09e+08,-9.1e+07,-1.01e+08,-1.01e+08,1e+07,1.18e+08,1.18e+08,-2.4e+07,9.4e+07,9.4e+07,9.4e+07,9.4e+07,1.555e+09,1.555e+09,2.13e+08,2.13e+08,1.147e+09,2.37e+08,2.37e+08,3.152e+09,2.761e+09,1.969e+09,1.348e+09,2.3e+07,1.87e+08,4.73e+09,7.882e+09,1.787e+09,6.64e+08,3.1e+08,8.13e+08,1.831e+09,5.702e+09,1.184e+09,3.6e+08,8.24e+08,6.886e+09,8.717e+09,8.54e+08,-1.836e+09,1.28e+08,1.8e+07,-8.36e+08,1e+06,-8.35e+08,7.882e+09,9.4e+07,1.3e+08,2.1e+07,5e+06,-2.38e+08,8e+07,-5.2e+07,-2e+08,-6.6e+07,7e+06,-1.65e+08,-1.65e+08,-1.65e+08,1e+07,-1.55e+08,-1.72e+08,8e+06,-4.9e+07,3.6e+07,-8.5e+07,-1.7e+07,-2.3e+08,-3.78e+08,-3.78e+08,-1e+06,-3.79e+08,3.39e+08,5.746e+09,-4e+07,0.37054,0.08576,0.03857,-0.11257,0.01193,-0.42553,1.72146,-10.43952,0.729,0.32867,0.32526,8.52098,-2.92308,-0.13986,0.6014,4,0.04364,-0.00656,1.82979,12.36283,20.05263
"30","2017_Q3",27.8380952380952,"Down",2.755e+09,-1.727e+09,1.028e+09,-7.27e+08,-7.27e+08,3.01e+08,-8.3e+07,-1e+08,-1e+08,1.7e+07,2.18e+08,2.18e+08,-7.9e+07,1.39e+08,1.39e+08,1.39e+08,1.39e+08,1.36e+09,1.36e+09,2.45e+08,2.45e+08,1.118e+09,2.34e+08,2.34e+08,2.957e+09,2.841e+09,1.965e+09,1.348e+09,2.5e+07,1.81e+08,4.806e+09,7.763e+09,1.694e+09,7.58e+08,7.6e+07,8.6e+08,1.758e+09,5.704e+09,1.213e+09,3.69e+08,8.44e+08,6.917e+09,8.675e+09,8.66e+08,-1.885e+09,9.4e+07,1.1e+07,-9.14e+08,2e+06,-9.12e+08,7.763e+09,1.39e+08,1.28e+08,2.1e+07,7e+06,-7.4e+07,-3e+07,3.4e+07,1.27e+08,-2.05e+08,2.14e+08,-2.07e+08,-2.07e+08,-2.07e+08,1.2e+07,-1.95e+08,-1.72e+08,2e+07,-4.6e+07,1000000.00000001,-4.7e+07,-2.1e+07,-2.19e+08,-2e+08,-2e+08,5e+06,-1.95e+08,4.29e+08,5.768e+09,2.27e+08,0.37314,0.10926,0.05045,-0.15241,0.01791,1.63309,1.68203,-9.51206,0.74301,0.48432,0.48097,9.5993,-3.18467,0.79094,0.5993,6,0.05124,0.0374000000000001,1.23741,10.27506,14.64452
"31","2017_Q4",33.9773015873016,"Up",2.617e+09,-1.629e+09,9.88e+08,-7.56e+08,-7.56e+08,2.32e+08,-9.8e+07,-9.9e+07,-9.9e+07,1e+06,1.34e+08,1.34e+08,-4.8e+07,8.6e+07,8.6e+07,8.6e+07,8.6e+07,7.35e+08,7.35e+08,2.85e+08,2.85e+08,1.715e+09,1.95e+08,1.95e+08,2.93e+09,2.92e+09,1.966e+09,1.348e+09,2.3e+07,1.84e+08,4.886e+09,7.816e+09,1.939e+09,1.037e+09,6e+06,8.96e+08,2.019e+09,5.705e+09,1.211e+09,3.67e+08,8.44e+08,6.916e+09,8.935e+09,8.91e+08,-2.035e+09,8e+06,1.5e+07,-1.121e+09,2e+06,-1.119e+09,7.816e+09,8.6e+07,1.33e+08,2.3e+07,-1e+06,-3.25e+08,-4.1e+07,-5.98e+08,3.2e+08,-6e+06,-8.3e+07,-2.27e+08,-2.27e+08,-2.27e+08,-4e+06,-2.31e+08,-1.72e+08,1.6e+07,-1.51e+08,0,-1.51e+08,-2e+06,-3.09e+08,-6.23e+08,-6.23e+08,-2e+06,-6.25e+08,3.65e+08,5.785e+09,-1.39e+08,0.37753,0.08865,0.03286,-0.07685,0.011,-1.61628,1.45121,-7.98481,0.74015,0.30282,0.30175,9.21479,-3.94718,-0.48944,0.60563,5,0.0439,-0.02365,2,13.83562,21.76724
"32","2018_Q1",32.1554098360656,"Down",4.823e+09,-2.783e+09,2.04e+09,-1.054e+09,-1.054e+09,9.86e+08,-1.44e+08,-1.06e+08,-1.06e+08,-3.8e+07,8.42e+08,8.42e+08,-1.78e+08,6.64e+08,6.64e+08,6.64e+08,6.64e+08,1.515e+09,1.515e+09,3.1e+08,3.1e+08,1.24e+09,2.28e+08,2.28e+08,3.293e+09,2.893e+09,1.963e+09,1.348e+09,1.4e+07,1.9e+08,4.856e+09,8.149e+09,1.944e+09,7.17e+08,1.98e+08,1.029e+09,2.031e+09,5.707e+09,1.162e+09,2.38e+08,9.24e+08,6.869e+09,8.9e+09,8.19e+08,-1.62e+08,-1.434e+09,2.4e+07,-7.53e+08,2e+06,-7.51e+08,8.149e+09,6.64e+08,1.33e+08,-4.6e+07,-1.19e+08,5.17e+08,-2.2e+07,4.79e+08,-1.97e+08,2.57e+08,1.268e+09,-1.08e+08,-1.08e+08,-1.08e+08,1e+06,-1.17e+08,-1.7e+08,-3.7e+07,-1.62e+08,1e+06,-1.63e+08,0,-3.69e+08,7.82e+08,7.82e+08,-2e+06,7.8e+08,1.119e+09,5.794e+09,1.706e+09,0.42297,0.20444,0.13767,-0.88415,0.08148,2.56928,1.62137,-11.85087,0.71101,2.37993,2.32982,17.28674,-2.69892,6.1147,0.60932,6,0.13441,0.27494,0.25602,3.82395,4.33976
"33","2018_Q2",24.89265625,"Down",2.626e+09,-1.682e+09,9.44e+08,-7.89e+08,-7.89e+08,1.55e+08,-9.6e+07,-9.8e+07,-9.8e+07,2e+06,5.9e+07,5.9e+07,-1.1e+07,4.8e+07,4.8e+07,4.8e+07,4.8e+07,1.032e+09,1.032e+09,2.74e+08,2.74e+08,1.35e+09,2.34e+08,2.34e+08,2.89e+09,2.894e+09,1.965e+09,1.348e+09,2.2e+07,1.84e+08,4.859e+09,7.749e+09,1.769e+09,7.17e+08,2.04e+08,8.48e+08,1.858e+09,5.719e+09,1.141e+09,2.34e+08,9.07e+08,6.86e+09,8.718e+09,8.37e+08,-2.45e+08,-1.58e+09,1.7e+07,-9.71e+08,2e+06,-9.69e+08,7.749e+09,4.8e+07,1.37e+08,1.2e+07,-1.3e+07,-2.76e+08,4.1e+07,-1.14e+08,-2.19e+08,1.6e+07,-7.9e+07,-1.6e+08,-1.6e+08,-1.6e+08,1e+06,-1.59e+08,-1.68e+08,1.3e+07,-8e+07,1e+06,-8.1e+07,-8e+06,-2.43e+08,-4.81e+08,-4.81e+08,-2e+06,-4.83e+08,2.92e+08,5.808e+09,-1.33e+08,0.35948,0.05903,0.01828,-0.04954,0.00619,-2.77083,1.55544,-8.9969,0.74952,0.17204,0.17021,9.41219,-3.48029,-0.4767,0.60215,3,0.03612,-0.02224,3.5,16.35616,30.8129
"34","2018_Q3",21.9763492063492,"Down",2.984e+09,-1.925e+09,1.059e+09,-8.31e+08,-8.31e+08,2.28e+08,-9.9e+07,-9.8e+07,-9.8e+07,-1e+06,1.29e+08,1.29e+08,-3e+07,9.9e+07,98999999.9999999,98999999.9999999,98999999.9999999,8.43e+08,8.43e+08,3.1e+08,3.1e+08,1.315e+09,2.47e+08,2.47e+08,2.715e+09,2.949e+09,1.956e+09,1.348e+09,2.1e+07,1.76e+08,4.905e+09,7.62e+09,1.791e+09,8.21e+08,7e+06,9.63e+08,1.856e+09,5.712e+09,1.174e+09,2.37e+08,9.37e+08,6.886e+09,8.742e+09,8.6e+08,-3.48e+08,-1.648e+09,1.2e+07,-1.124e+09,2e+06,-1.122e+09,7.62e+09,98999999.9999999,1.37e+08,3.7e+07,1.3e+07,18000000.0000001,-4e+07,33000000.0000001,2.23e+08,-1.98e+08,2.91e+08,-1.85e+08,-1.85e+08,-1.85e+08,1.4e+07,-1.71e+08,-1.67e+08,-3.3e+07,-1.05e+08,-1.16415321826935e-10,-1.05e+08,-6e+06,-3.11e+08,-1.91e+08,-1.91e+08,2e+06,-1.89e+08,3.65e+08,5.777e+09,2.28e+08,0.35489,0.07641,0.03318,-0.08824,0.01299,2.30303,1.46282,-7.79144,0.75814,0.3574,0.35484,10.77256,-4.05776,0.8231,0.60289,5,0.04563,0.03911,1.68687,13.51781,21.64035
"35","2018_Q4",22.6187301587302,"Up",2.775e+09,-1.847e+09,9.28e+08,-8.74e+08,-8.74e+08,5.4e+07,-9.6e+07,-9.6e+07,-9.6e+07,0,-4.2e+07,-4.2e+07,-1e+06,-4.3e+07,-4.3e+07,-4.3e+07,-4.3e+07,3.48e+08,3.48e+08,3.21e+08,3.21e+08,1.963e+09,3.01e+08,3.01e+08,2.933e+09,2.934e+09,1.962e+09,1.348e+09,2e+07,1.83e+08,4.896e+09,7.829e+09,2.086e+09,1.06e+09,8e+06,1.018e+09,2.142e+09,5.814e+09,1.185e+09,2.34e+08,9.51e+08,6.999e+09,9.141e+09,8.89e+08,-3.58e+08,-1.856e+09,1.1e+07,-1.314e+09,2e+06,-1.312e+09,7.829e+09,-4.3e+07,1.38e+08,1.05e+08,-3e+06,-3.99e+08,-9e+06,-6.5e+08,2.96e+08,-3.6e+07,-1.99e+08,-2.16e+08,-2.16e+08,-2.16e+08,8e+06,-2.08e+08,-1.65e+08,9.2e+07,-1.2e+07,0,-1.2e+07,-4e+06,-8.9e+07,-4.96e+08,-4.96e+08,1e+06,-4.95e+08,1.92e+08,5.87e+09,-4.22e+08,0.33441,0.01946,-0.0155,0.03277,-0.00549,9.81395,1.36928,-6.96723,0.74978,-0.15636,-0.15636,10.09091,-4.77818,-1.53455,0.6,2,0.02124,-0.07348,-3.83721,28.76042,102.25926
"36","2019_Q1",20.0724590163934,"Down",4.852e+09,-2.884e+09,1.968e+09,-1.069e+09,-1.069e+09,8.99e+08,-8.9e+07,-9.3e+07,-9.3e+07,4e+06,8.1e+08,7.11e+08,-1.71e+08,5.4e+08,5.4e+08,5.4e+08,5.4e+08,1.413e+09,1.413e+09,3.67e+08,3.67e+08,1.248e+09,2.32e+08,2.32e+08,3.26e+09,2.818e+09,2.012e+09,1.348e+09,6.2e+07,1.91e+08,4.83e+09,8.09e+09,1.914e+09,7.11e+08,1.21e+08,1.082e+09,1.986e+09,5.739e+09,1.23e+09,2.26e+08,1.004e+09,6.969e+09,8.955e+09,9.12e+08,-3.58e+08,-1.482e+09,5.9e+07,-8.69e+08,4e+06,-8.65e+08,8.09e+09,5.4e+08,1.78e+08,4.8e+07,-4.9e+07,5.98e+08,-5.5e+07,6.91e+08,-2.71e+08,2.33e+08,1.364e+09,-6.8e+07,-6.8e+07,-6.8e+07,-3e+06,-7.1e+07,-1.66e+08,-2.33e+08,-1000000.00000001,-1e+06,0,1.71e+08,-2.29e+08,1.064e+09,1.064e+09,1e+06,1.065e+09,1.077e+09,5.811e+09,1.778e+09,0.40561,0.18528,0.11129,-0.62428,0.06675,3.29259,1.64149,-10.3526,0.71829,1.97802,1.92857,17.77289,-3.18315,6.51282,0.60806,6,0.11431,0.28789,0.307410000000001,4.08357,4.89209999999999
