"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",16.8466129032258,"Down",204901000,-149189000,55712000,-31642000,-7964000,-23678000,24070000,-6542000,-6542000,17528000,17528000,3222000,20750000,20750000,20750000,20750000,208058000,193383000,14675000,99471000,99471000,97901000,38616000,23844000,444046000,716330000,183888000,29591000,900218000,1344264000,112191000,46436000,65755000,10146000,6615000,6615000,128952000,364717000,85013000,85013000,449730000,578682000,244465000,571693000,765582000,765582000,1344264000,20750000,23678000,-8458000,-11421000,9774000,-10203000,-10992000,24549000,-28909000,-33903000,-2580000,-4187000,1000,-6766000,-16120000,-16120000,-16120000,47748000,374863000,4196000,0.2719,0.11747,0.10127,0.0271,0.01544,3.4435,0.75587,0.27886,0.4065,0.40547,4.01412,14.99818,0.0821999999999998,0.05054,0.01904,0.12434,3.49344,6.93
"12","2020_Q2",12.7588888888889,"Down",226720000,-159075000,67645000,-37148000,-8456000,-28692000,30497000,-5711000,-7533000,24786000,24786000,-3241000,21545000,21545000,21545000,21545000,265243000,256743000,8500000,131526000,131526000,117563000,50199000,25925000,564531000,706054000,168589000,17568000,874643000,1439174000,118096000,54620000,63476000,8022000,6608000,6608000,132726000,435469000,85857000,85857000,521326000,654052000,245058000,590640000,785122000,785122000,1439174000,21545000,28692000,6093000,-35308000,-32055000,-17326000,14073000,21022000,-22775000,-20219000,-2598000,66167000,-1012000,62557000,63360000,63360000,63360000,59189000,443491000,4347000,0.29836,0.13451,0.09503,0.02744,0.01497,4.25336,0.83306,0.30816,0.42157,0.4202,4.43627,15.36262,0.08506,0.05084,0.01837,0.12058,3.01151,5.84477
"13","2020_Q3",15.24625,"Up",163701000,-138419000,25282000,-30613000,-8457000,-22156000,-5331000,-8255000,-8255000,-13586000,-13586000,4425000,-9161000,-9161000,-9161000,-9161000,229165000,220663000,8502000,77009000,77009000,153905000,59241000,34967000,519320000,707075000,170794000,15343000,877869000,1397189000,116148000,55805000,60343000,7726000,7273000,7273000,131147000,404272000,86807000,86807000,491079000,622226000,246659000,578880000,774963000,774963000,1397189000,-9161000,22156000,-1349000,20318000,54517000,-28268000,-5931000,31964000,-25979000,-31033000,-2599000,-34152000,-260000,-37011000,-36080000,-36080000,-36080000,16825000,411998000,6739000,0.15444,-0.03257,-0.05596,-0.01182,-0.00656,3.95983,0.80291,0.29488,-0.17897,-0.1788,3.19803,15.13954,0.13165,0.05077,-0.00515,-0.2837,10.86675,-34.29619
"14","2020_Q4",16.57234375,"Up",180064000,-158434000,21630000,-36157000,-8192000,-27965000,-14527000,-8059000,-8059000,-22586000,-22586000,8152000,-14434000,-14434000,-14434000,-14434000,224917000,216413000,8504000,81417000,81417000,155667000,40017000,40017000,502018000,710285000,178710000,15145000,888995000,1391013000,117517000,50002000,67515000,11874000,9886000,9886000,139277000,404198000,87827000,87827000,492025000,631302000,248440000,561847000,759711000,759711000,1391013000,-14434000,27965000,-5055000,20691000,-4408000,1707000,23392000,29167000,-23305000,-27831000,-2599000,-2987000,-1.16415321826935e-10,-5586000,-4249999.99999999,-4249999.99999999,-4249999.99999999,13438000,416072000,2672000,0.12012,-0.08068,-0.08016,-0.019,-0.01038,3.60446,0.83098,0.29911,-0.28197,-0.28317,3.51763,14.84129,0.0522,0.05077,-0.00937,-0.18006,14.22496,-13.1586
"15","2021_Q1",19.9390163934426,"Up",212253000,-202978000,9275000,-47053000,-7774000,-39279000,-37778000,-6741000,-8463000,-44519000,-44519000,10808000,-33711000,-33711000,-33711000,-33711000,220420000,211916000,8504000,83298000,83298000,118713000,45052000,39910000,467483000,737963000,188490000,14118000,926453000,1393936000,145218000,59110000,86108000,14385000,10715000,10715000,170318000,403999000,94378000,94378000,498377000,668695000,250280000,525537000,725241000,725241000,1393936000,-33711000,39279000,-7985000,32890000,-23009027.0140338,-14335906.0368843,39055858.5431387,30473000,-15270000,-29106000,-2599000,-3265000,0,-5864000,-4497000,-4497000,-4497000,1501000,418384000,8313000,0.0437,-0.17799,-0.15882,-0.04648,-0.02418,2.74477,0.92203,0.30015,-0.65747,-0.65747,4.13958,14.14442,0.16213,0.05069,-0.02513,-0.0771,131.88807,-5.24019
"16","2021_Q2",16.5366666666667,"Down",213764000,-162145000,51619000,-40540000,-7637000,-32903000,11079000,-8802000,-8693000,2277000,2277000,-23632000,-21355000,-21355000,-21355000,-21355000,230451000,221947000,8504000,76120000,76120000,135696000,34859000,34859000,477126000,739127000,163738000,12997000,902865000,1379991000,128237000,65336000,62901000,23619000,9107000,9107000,160963000,420760000,97965000,97965000,518725000,679688000,249310000,501569000,700303000,700303000,1379991000,-21355000,32903000,26558000,7116000.00000001,7178000,-16107000,16045000,45222000,-9459000,-21792000,-2613000,-8247000,-2539000,-13399000,10031000,10031000,10031000,43982000,444379000,65271000,0.24148,0.05183,-0.0999,-0.03049,-0.01547,2.9642,0.97056,0.32202,-0.41649,-0.41649,4.16905,13.65805,1.27298,0.05096,-0.01508,-0.12236,4.86398999999997,19.30932
"17","2021_Q3",19.22921875,"Up",227440000,-161108000,66332000,-69162000,-29011000,-40151000,-2830000,-8477000,-8477000,-11307000,-11307000,6625999.99999999,-4681000,-4681000,-4681000,-4681000,275381000,266876000,8505000,65158000,65158000,76964000,34557000,34557000,452060000,725707000,169311000,11944000,895018000,1347078000,94675000,48032000,46643000,24849000,11146000,11146000,130670000,419533000,98721000,98721000,518254000,648924000,254458000,494272000,698154000,698154000,1347078000,-4681000,40151000,153000,33055000,10961000,49155000,-27061000,68678000,-1.4e+07,-15129000,-2616000,-5737000,-267000,-8620000,44929000,44929000,44929000,37321000,444382000,49750000,0.29165,-0.01244,-0.02058,-0.0067,-0.00347,3.45955,0.92949,0.32989,-0.09098,-0.09098,4.4206,13.56956,0.96696,0.05085,-0.00166,-0.55885,4.52831,-59.71767
"18","2021_Q4",22.913125,"Up",202467000,-107954000,94513000,-43269000,-14302000,-28967000,51244000,-7384000,-8784000,43860000,43860000,-5433000,38427000,38427000,38427000,38427000,276900000,268395000,8505000,73270000,73270000,94026000,35034000,35034000,479230000,701644000,163733000,11799000,865377000,1344607000,97252000,39138000,58114000,22421000,14721000,14721000,134394000,375296000,99554000,99554000,474850000,609244000,255853000,530086000,735363000,735363000,1344607000,38427000,28967000,16857000,-21321000,-47682825.2088271,54050816.8295668,-27435877.1580299,62930000,-10498000,-10498000,-2613000,-48300000,0,-50913000,1519000,1519000,1519000,80211000,397717000,53825000,0.46681,0.2531,0.18979,0.05226,0.02858,3.56586,0.82849,0.29579,0.75022,0.74546,3.95281,14.35667,1.05084,0.05101,0.03329,0.068,1.50624,2.35768
"19","2022_Q1",30.5041935483871,"Up",415545000,-185873000,229672000,-45412000,-6015000,-39397000,184260000,-9435000,-9435000,174825000,165147000,-26657000,138490000,138490000,138490000,138490000,497524000,489019000,8505000,122150000,122150000,59619000,41088000,33097000,720381000,603412000,140418000,15142000,743830000,1464211000,88676000,33829000,54847000,23622000,9830000,9830000,122128000,368240000,101860000,101860000,470100000,592228000,256596000,665963000,871983000,871983000,1464211000,138490000,39397000,31339000,-34513000,-120254688.769254,6039728.89154246,1301941.80852644,174713000,-23727000,-23727000,-2613000,-9341000,-11588000,-23542000,127444000,127444000,127444000,223657000,391862000,192074000,0.5527,0.44342,0.33327,0.15882,0.09458,5.89857,0.67917,0.26763,2.67774,2.65979,8.03467,16.86001,3.7138,0.05052,0.10332,0.01887,-0.47243,-0.57344
"20","2022_Q2",33.4083870967742,"Up",378652000,-142381000,236271000,-49422000,-23625000,-25797000,186849000,-7147000,-7822000,179702000,179702000,-33453000,146249000,146249000,146249000,146249000,533749000,525243000,8506000,260477000,260477000,110535000,26045000,26045000,930806000,606198000,106346000,13662000,712544000,1643350000,116182000,60446000,55736000,21910000,17592000,17592000,155684000,340078000,128980000,128980000,469058000,624742000,260098000,809086000,1018608000,1018608000,1643350000,146249000,25797000,53670000,-155575000,-138328000,-39446000,22199000,70141000,-10528000,-17888000,-3126000,-7203000,-3716000,-14045000,38208000,38208000,38208000,212646000,361988000,79996000,0.62398,0.49346,0.38624,0.14358,0.08899,5.97882,0.61333,0.22027,2.83802,2.83242,7.3479,19.76651,1.55236,0.06066,0.09895,0.02137,-0.80773,-0.91925
"21","2022_Q3",30.2634375,"Down",625156000,-201750000,423406000,-50875000,-20504000,-30371000,372531000,-7183000,-7183000,365348000,365348000,-68356000,296992000,296992000,296992000,296992000,745851000,737339000,8512000,295003000,295003000,140418000,24833000,24833000,1206105000,654645000,38169000,13978000,692814000,1898919000,111909000,46876000,65033000,22770000,9792000,9792000,144471000,340356000,123035000,123035000,463391000,607862000,264528000,1077105000,1291057000,1291057000,1898919000,296992000,30371000,66716000,-64494000,-34525000,-29499000,-470000,329585000,-68174000,-82910000,-28973000,-6897000,-3000,-35873000,210802000,210802000,210802000,402902000,363126000,338590000,0.67728,0.5959,0.47507,0.23004,0.1564,8.34842,0.47083,0.19123,5.76325,5.75187,12.13141,25.0535,6.57048,0.56223,0.18341,0.09755,-0.94992,-1.02736
