"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",21.4209375,"Down",258237000,-94821000,163416000,-128189000,-125633000,-2556000,35227000,91000,35318000,35318000,-11847000,23471000,23471000,23471000,23471000,142671000,84815000,14526000,14526000,30973000,20904000,7035000,8466000,209074000,91362000,28453000,2973000,158515000,367589000,80084000,80084000,61286000,61286000,141370000,15850000,15850000,15850000,157220000,27690000,182666000,210369000,210369000,367589000,23471000,6661000,-1357000,16247000,45022000,-14306000,-38291000,-7862000,2282000,-10144000,-1969000,-9831000,-3100000,-3100000,-3100000,41888000,0,55676000,0.63281,0.13641,0.09089,0.11157,0.06385,2.37212,1.47891,0.74735,0,0.42601,0.41725,4.68712,3.8183,1.01055,0.10375,0.24612,-3.40601,-4.05005
"12","2013_Q3",24.040625,"Up",207391000,-75993000,131398000,-116291000,-113731000,-2560000,15107000,78000,15185000,15185000,-5259000,9926000,9926000,9926000,9926000,111976000,58189000,14385000,14385000,34473000,25354000,9052000,10904000,186188000,105539000,26331000,4573000,160372000,346560000,63335000,63335000,52170000,52170000,115505000,16966000,16966000,16966000,132471000,21522000,192592000,214089000,214089000,346560000,9926000,7492000,4526000,-30823000,-8878999.99999998,-22673000,-10229000,-7574000,4313000,-11887000,56000.0000000009,-7518000,-26626000,-26626000,-26626000,22599000,4.44089209850063e-16,-25638000,0.63358,0.07284,0.04786,0.04636,0.02864,-2.58291,1.61195,0.61877,0,0.18038,0.17741,3.76876,3.89048,-0.4659,0.04296,-0.11096,-4.95491,-7.41219
"13","2013_Q4",20.98015625,"Down",263689000,-97269000,166420000,-135721000,-133362000,-2359000,30699000,74000,30773000,30773000,-10514000,20259000,20259000,20259000,20259000,138708000,81301000,15245000,15245000,41311000,25202000,8894000,10935000,220466000,117793000,25904000,4621000,169380000,389846000,85616000,75744000,59696000,59696000,145312000,18346000,18346000,18346000,163658000,13315000,212851000,226188000,226188000,389846000,20259000,8046000,1079000,24555000,53939000,-20724000,-21751000,-9510000,513000,-10023000,434000,-9076000,23112000,23112000,23112000,38745000,0,53090000,0.63112,0.11642,0.07683,0.08957,0.05197,2.62056,1.51719,0.72355,0,0.36934,0.36327,4.80728,4.12361,0.96788,0.08285,0.21711,-3.58002,-4.51832
"14","2014_Q1",17.375737704918,"Down",230854000,-90333000,140521000,-130866000,-128863000,-2003000,9654999.99999999,80000,9735000.00000001,9735000,-3310000,6425000,6425000,6425000,6425000,110382000,58223000,14979000,14979000,40152000,24026000,9216000,7874000,189539000,129542000,28052000,6286000,192226000,381765000,82824000,73391000,54358000,54358000,137182000,19363000,19363000,19363000,156545000,5931000,219276000,225220000,225220000,381765000,6425000,8612000,-1786000,-15228000,-1977000.00000001,-18991000,-17028000,-9160000,858000,-10018000,5087000,-4073000,-23078000,-23078000,-23078000,18267000,3.5527136788005e-15,-12642000,0.6087,0.04182,0.02783,0.02853,0.01683,-1.96763,1.38166,0.69508,0,0.11792,0.11631,4.23679,4.13339,-0.23201,0.02627,-0.0516899999999999,-6.0427,-11.43263
"15","2014_Q2",18.8706349206349,"Up",276412000,-105029000,171383000,-145581000,-143918000,-1663000,25802000,102000,25904000,25904000,-8912000,16992000,16992000,16992000,16992000,112556000,60409000,15579000,15579000,44590000,23462000,7923000,8613000,196187000,137567000,29238000,6229000,197274000,393461000,74122000,63385000,66594000,66594000,140716000,20622000,20622000,20622000,161338000,543000,231557000,232123000,232123000,393461000,16992000,9176000,-1579000,14275000,38864000,-16655000,-20778000,-9825000,411000,-10236000,-6075000,-15900000,2186000,2186000,2186000,34978000,0,41510000,0.62003,0.09335,0.06147,0.0732,0.04319,2.44291,1.39421,0.69505,0,0.31401,0.30982,5.10805,4.2896,0.7671,0.06723,0.16424,-3.21791,-4.3623
"16","2014_Q3",21.094375,"Up",234763000,-92366000,142397000,-129686000,-127977000,-1709000,12711000,78000,12789000,12789000,-4308000,8481000,8481000,8481000,8481000,82938000,37107000,14334000,14334000,43156000,28501000,12097000,9494000,168929000,151479000,30187000,6831000,219488000,388417000,68562000,59368000,65103000,65103000,133665000,21785000,21785000,21785000,155450000,537000,232387000,232967000,232967000,388417000,8481000,10037000,978000,-8782000,10714000,-23106000,-24340000,-10279000,955000,-11234000,603000,-9676000,-23302000,-23302000,-23302000,22748000,1.13686837721616e-13,-4832000.00000001,0.60656,0.05414,0.03613,0.0364,0.02183,-0.56974,1.26382,0.66726,1.05879118406788e-22,0.15809,0.1562,4.37607,4.34259,-0.0900700000000002,0.03329,-0.0189699999999999,-3.64595,-6.5249
"17","2014_Q4",24.91390625,"Up",323366000,-124782000,198584000,-163238000,-160885000,-2353000,35346000,96000,35442000,35442000,-11888000,23554000,23554000,23554000,23554000,133743000,78426000,29154000,29154000,48704000,26443000,9250000,10254000,238044000,159475000,33956000,8513000,236807000,474851000,100003000,85597000,100381000,100381000,200384000,25435000,25435000,25435000,225819000,533000,248491000,249032000,249032000,474851000,23554000,10366000,-50000,52387000,86257000,-18611000,-33920000,-9745000,265000,-10010000,-1273000,-11018000,41319000,41319000,41319000,45712000,0,91376000,0.61412,0.10931,0.07284,0.09458,0.0496,3.87943,1.18794,0.90679,0,0.44215,0.43672,6.07021,4.67481,1.7153,0.08582,0.33292,-2.92577,-3.78382
"18","2015_Q1",31.0667213114754,"Up",322216000,-127730000,194486000,-166599000,-164091000,-2508000,27887000,86000,27973000,27973000,-9026000,18947000,18947000,18947000,18947000,121604000,51995000,19693000,19693000,53535000,37763000,17792000,11185000,232595000,165453000,31698000,12279000,241592000,474187000,99459000,84197000,87593000,87593000,187052000,30228000,30228000,30228000,217280000,528000,256413000,256907000,256907000,474187000,18947000,10230000,6467000,-27011000,8633000,-18217000,-35394000,-13770000,1242000,-15012000,14100000,330000,-26431000,-26431000,-26431000,38117000,-9.09494701772928e-13,1915000.00000001,0.60359,0.08655,0.0588,0.07375,0.03996,0.10107,1.24348,0.84575,0,0.359,0.35284,6.10524,4.86778,0.0362799999999996,0.06599,0.00667000000000006,-3.19028,-4.3606
"19","2015_Q2",31.6461904761905,"Up",349809000,-133976000,215833000,-172108000,-168757000,-3351000,43725000,153000,43878000,43878000,-15079000,28799000,28799000,28799000,28799000,121386000,46351000,17886000,17886000,56004000,40222000,17670000,13807000,235498000,177734000,38356000,15735000,256964000,492462000,95335000,80170000,90989000,90989000,186324000,35884000,35884000,35884000,222208000,523000,269693000,270254000,270254000,492462000,28799000,10783000,-1314000,10596000,48864000,-17763000,-19714000,-19122000,1353000,-20475000,-15672000,-34794000,-5644000,-5644000,-5644000,54508000,0,62420000,0.617,0.125,0.08233,0.10656,0.05848,2.16744,1.26392,0.82222,0,0.55017,0.54006,6.68263,5.16284,1.19245,0.09407,0.20389,-2.22694,-2.77612
"20","2015_Q3",25.529375,"Down",275289000,-104750000,170539000,-153910000,-150507000,-3403000,16629000,133000,16762000,16762000,-5724000,11038000,11038000,11038000,11038000,88453000,26074000,20464000,20464000,68377000,40177000,20584000,10836000,217471000,186696000,42653000,19139000,258100000,475571000,100664000,87985000,78606000,78606000,179270000,40909000,40909000,40909000,220179000,514000,254860000,255392000,255392000,475571000,11038000,11120000,865999.999999999,-26834000,-3810000,-21134000,3443000,-30049000,1105000,-31154000,10139000,-19910000,-20277000,-20277000,-20277000,27749000,0,-14495000,0.61949,0.06041,0.0401,0.04322,0.02321,-1.31319,1.21309,0.86212,-2.71050543121376e-20,0.21362,0.21007,5.32762,4.94256,-0.28052,0.03725,-0.0489199999999999,-3.18761,-5.3192
"21","2015_Q4",22.8878125,"Down",373919000,-140283000,233636000,-188237000,-184716000,-3521000,45399000,78000,45477000,45477000,-13623000,31854000,31854000,31854000,31854000,105921000,72678000,26286000,26286000,77753000,36241000,14815000,12865000,246201000,197886000,113225000,17913000,319692000,565893000,134643000,115330000,108683000,108683000,243326000,50644000,50644000,50644000,293970000,506000,271410000,271923000,271923000,565893000,31854000,11791000,-4913000,47801000,86533000,-22497000,-30462000,-18471000,2e+05,-18671000,9004000,-9467000,46604000,46604000,46604000,57190000,0,96117000,0.62483,0.12141,0.08519,0.11714,0.05629,3.01742,1.01182,1.08108,0,0.62527,0.61611,7.3398,5.33768,1.88672,0.09875,0.29798,-1.85209,-2.33311
"22","2016_Q1",19.0934426229508,"Down",214682000,-93939000,120743000,-151400000,-145704000,-5696000,-30657000,-30000,-30687000,-30687000,9515000,-21172000,-21172000,-21172000,-21172000,27561000,20994000,29002000,29002000,86600000,39228000,10207000,13737000,182391000,204376000,105577000,19197000,318506000,500897000,124503000,103941000,100446000,100446000,224949000,53609000,53609000,53609000,278558000,494000,221859000,222339000,222339000,500897000,-21172000,13936000,18692000,-35101000,-23645000,-24120000,2456999.99999999,-29583000,318000,-29901000,-913000,-30496000,-51684000,-51684000,-51684000,-16721000,0,-85457000,0.56243,-0.1428,-0.09862,-0.09522,-0.04227,4.03632,0.81081,1.25285,-4.33680868994202e-19,-0.42305,-0.41651,4.28969,4.44269,-1.70757,-0.07672,-0.30969,1.64829,0.89901
"23","2016_Q2",21.811875,"Up",352980000,-143906000,209074000,-189176000,-181574000,-7602000,19898000,-97000,19801000,19801000,-6832000,12969000,12969000,12969000,12969000,29520000,29520000,20186000,20186000,80967000,41656000,12019000,14116000,172329000,203500000,105174000,22463000,308674000,481003000,119518000,96608000,100699000,100699000,220217000,73602000,59486000,73602000,293819000,467000,186717000,187184000,187184000,481003000,12969000,13854000,5363000,31795000,63981000,-12275000,2815000,-51234000,6000,-51240000,-7036000,-58270000,8526000,8526000,8526000,33752000,0,60104000,0.59231,0.05637,0.03674,0.06928,0.02696,4.63444,0.78254,1.56968,0,0.26963,0.26551,7.33846,3.89156,1.24956,0.04973,0.23047,-0.87461,-1.48357
"24","2016_Q3",24.62359375,"Up",276878000,-105617000,171261000,-168865000,-161803000,-7062000,2395999.99999999,-229000,2167000,2167000,-751000.000000002,1416000,1416000,1416000,1416000,2401000,2401000.00000001,23513000,23513000,73696000,47727000,16415000,15785000,147337000,202082000,105323000,23244000,307405000,454742000,101569000,85814000,88469000,88469000,206038000,74897000,61412000,74897000,280935000,459000,173348000,173807000,173807000,454742000,1416000,14106000,2763000,-35146000,-16861000,-11422000,-11422000,-18509000,1617000,-20126000,19673000,1164000.00000001,-27119000,-27119000,-27119000,16502000,1.6e+07,-29315000,0.61854,0.00864999999999999,0.00511,0.00814999999999998,0.00311,-20.70268,0.7151,1.61636,0.03518,0.0305200000000001,0.0301,5.96797,3.74632,-0.63187,0.00535000000000001,-0.11075,0.82408,5.67571
"25","2016_Q4",21.6303174603175,"Down",367988000,-135645000,232343000,-193299000,-186302000,-6997000,39044000,-255000,38789000,38789000,-13044000,25745000,25745000,25745000,25745000,51346000,45383000,23731000,23731000,70609000,45045000,11983000,17525000,190731000,203660000,108604000,27156000,312264000,502995000,124906000,106868000,120010000,120010000,244916000,81567000,69730000,81567000,326483000,449000,176063000,176512000,176512000,502995000,25745000,14595000,-34000,57835000,98141000,-15005000,-20973000,-24718000,326000,-25044000,-9468000,-34186000,42982000,42982000,42982000,53639000,0,109513000,0.63139,0.1061,0.06996,0.14585,0.05118,4.25376,0.77876,1.84964,0,0.56432,0.55546,8.0662,3.8691,2.4005,0.09976,0.42434,-0.95725,-1.31508
"26","2017_Q1",22.4167741935484,"Up",313445000,-115963000,197482000,-182170000,-175840000,-6330000,15312000,-136000,15176000,15176000,-3889000,11287000,11287000,11287000,11287000,11609000,11609000,19705000,19705000,75026000,31987000,8705000,23282000,138327000,208367000,110472000,24988000,318839000,457166000,120597000,105375000,104720000,104720000,225317000,71529000,71529000,71529000,296846000,436000,159884000,160320000,160320000,457166000,11287000,14617000,1739000,-21259000,6383999.99999999,-19058000,-13095000,-29934000,349000,-30283000,2871000,-27063000,-33774000,-33774000,-33774000,29929000,1.86264514923096e-09,-6499000,0.63004,0.04885,0.03601,0.0704,0.02469,-0.575800000000001,0.61392,1.85158,0,0.25363,0.24878,7.04355,3.60262,-0.14604,0.04868,-0.0280300000000001,-0.38788,-0.75816
"27","2017_Q2",29.9073015873016,"Up",393899000,-147440000,246459000,-210631000,-203035000,-7596000,35828000,-138000,35690000,35690000,-11229000,24461000,24461000,24461000,24461000,36452000,36452000,18227000,18227000,66858000,27485000,10673000,16812000,149022000,207192000,106531000,27308000,313723000,462745000,124862000,106661000,127327000,127327000,252189000,76405000,75409000,76405000,328594000,417000,133734000,134151000,134151000,462745000,24461000,16205000,9367000,36836000,86869000,-13211000,-13211000,-54334000,460000,-54794000,2369000,-51965000,21693000,21693000,21693000,52033000,0,86887000,0.62569,0.09096,0.0621,0.18234,0.05286,3.55206,0.59091,2.44943,0,0.57219,0.55959,9.21401,3.13804,2.03244,0.11617,0.41266,-0.70056,-1.01742
"28","2017_Q3",31.2452380952381,"Up",284673000,-108054000,176619000,-179680000,-173317000,-6363000,-3060999.99999999,-282000,-3343000.00000001,-3343000,2565000,-777999.999999993,-777999.999999993,-777999.999999993,-777999.999999993,2081999.99999999,2082000,24486000,24486000,69856000,32764000,10686000,18397000,129188000,205621000,105921000,27243000,311542000,440730000,118195000,105593000,120518000,120518000,252663000,73628000,73321000,73628000,326291000,411000,114028000,114439000,114439000,440730000,-777999.999999996,14972000,3485000,-15741000,1938000.00000001,-13921000,-13921000,-23106000,2194000,-25300000,718999.999999999,-22387000,-34370000,-34370000,-34370000,11911000,13950000,-20316000,0.62043,-0.01075,-0.00273,-0.0068,-0.00176999999999999,26.11311,0.51131,2.85122,0.03165,-0.0186500000000001,-0.0183300000000001,6.82407,2.74329,-0.48701,-0.00384999999999998,-0.10057,0.99639,-3.87716
"29","2017_Q4",34.0688888888889,"Up",402646000,-149181000,253465000,-214436000,-207445000,-6991000,39029000,-248000,38781000,38781000,-13178000,25603000,25603000,25603000,25603000,29914000,29914000,21107000,21107000,79217000,34011000,10208000,23803000,164249000,206690000,107969000,28898000,314659000,478908000,155076000,136628000,143361000,143361000,298437000,76174000,76174000,76174000,374611000,398000,103899000,104297000,104297000,478908000,25603000,14823000,2915000,43906000,87247000,-10445000,-10445000,-39678000,386000,-40064000,-9292000,-48970000,27832000,27832000,27832000,53852000,0,100491000,0.6295,0.09693,0.06359,0.24548,0.05346,3.92497,0.55036,3.59177,0,0.62823,0.61669,9.87991,2.55918,2.46579,0.14187,0.55683,-0.55549,-0.76646
"30","2018_Q1",36.5960655737705,"Up",363279000,-142475000,220804000,-200685000,-193829000,-6856000,20119000,-209000,19910000,19910000,-4119000,15791000,15791000,15791000,15791000,3651000.00000001,3650999.99999999,19312000,19312000,84298000,45230000,17565000,27665000,152491000,208646000,110697000,30484000,319343000,471834000,148464000,129194000,133425000,133425000,306389000,76289000,76289000,76289000,382678000,388000,88768000,89156000,89156000,471834000,15791000,15291000,2287000,-36816000,-3447000.00000001,-22216000,-22216000,-34886000,201000,-35087000,34286000,-6e+05,-26263000,-26263000,-26263000,35410000,24500000,-19503000,0.60781,0.05538,0.04347,0.17712,0.03347,-1.23507,0.4977,4.29223,0.05193,0.39848,0.38834,9.16723,2.24982,-0.49215,0.08313,-0.10268,0.58879,1.03628
"31","2018_Q2",30.485625,"Down",388633000,-151156000,237477000,-210576000,-203651000,-6925000,26901000,-525000,26376000,26376000,-5828000,20548000,20548000,20548000,20548000,2335000,2335000,21798000,21798000,86783000,31465000,9339000,22126000,142381000,204331000,111989000,33506000,316320000,458701000,135158000,116142000,134710000,134710000,345668000,77036000,77036000,77036000,422704000,369000,35628000,35997000,35997000,458701000,20548000,15680000,4198000,8830000,49256000,-8735000,-8735000,-76791000,857000,-77648000,34954000,-41837000,-1316000,-1316000,-1316000,42581000,75800000,48504000,0.61106,0.06922,0.05287,0.57083,0.0448,2.36052,0.4119,11.74276,0.16525,0.53729,0.52223,10.16193,0.94125,1.26828,0.10882,0.25686,1.7253,2.73094
"32","2018_Q3",32.4414285714286,"Up",316338000,-127450000,188888000,-186802000,-179934000,-6868000,2086000,-1453000,633000,633000,3111000,3744000,3744000,3744000,3744000,2407000,2407000,22065000,22065000,90241000,43506000,10580000,26399000,158219000,202378000,109753000,33256000,312131000,470350000,117523000,100996000,109967000,109967000,409990000,81514000,76927000,81514000,491504000,349000,-21503000,-21154000,-21154000,470350000,3744000,15409000,9771000,-49049000,-20125000,-12536000,-12536000,-64553000,739000,-65292000,97286000,32733000,72000,72000,72000,17495000,182500000,-47201000,0.59711,0.00659000000000001,0.01184,-0.17699,0.00796,-12.6071,0.38591,-23.23457,0.38801,0.1036,0.10161,8.75361,-0.58537,-1.30613,0.01542,-0.19435,10.29397,86.33413
