"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",10.20796875,"Up",151528000,-55052000,96476000,-68146000,-33305000,-34841000,28330000,-15923000,-24600000,8677000,12407000,12407000,-5549000,6858000,6882000,-99000,6783000,6783000,8624000,8624000,56229000,56229000,28788000,13444000,6344000,93641000,902260000,902260000,110752000,665263000,604988000,47300000,12975000,1678275000,1771916000,91840000,2272000,74029000,9612000,29153000,28433000,130605000,1206065000,304394000,153540000,140351000,10503000,1510459000,1641064000,169630000,-43052000,126578000,4274000,130852000,1771916000,36192000,-27485000,21000,21000,-27506000,-27506000,-27580000,-2395000,-17842000,-9230000,-9230000,-9230000,1215677000,0.63669,0.18696,0.04476,0.05184,0.00383,0.71698,12.54137,0.68608,0.17062,0.17062,3.81155,3.18395,0.01347,42.60688
"12","2013_Q3",10.28953125,"Up",151320000,-55942000,95378000,-68074000,-33365000,-34709000,27304000,-11922000,-20697000,8775000,15382000,15025000,-5465000,9560000,9288000,-94000,9194000,9194000,3520000,3520000,56527000,56527000,25413000,13761000,1954000,85460000,895597000,895597000,111800000,664432000,603446000,44994000,15992000,1671829000,1757289000,76368000,7630000,53200000,9849000,27110000,26739000,113327000,1214404000,302981000,149672000,140320000,12989000,1517385000,1630712000,164069000,-41859000,122210000,4367000,126577000,1757289000,28057000,-25088000,28999.9999999999,28999.9999999999,-25117000,-25117000,-25172000,7551000,-7989000,-5104000,-5104000,-5104000,1224253000,0.63031,0.18044,0.06076,0.07264,0.00523,0.7541,12.88316,0.69667,0.23127,0.23127,3.80631,3.07408,0.01496,44.70894
"13","2013_Q4",11.33515625,"Up",150773000,-55780000,94993000,-68471000,-33715000,-34756000,26522000,-11632000,-20632000,9e+06,14890000,14535000,-4205000,10330000,11755000,-61000,11694000,11694000,6291000,6291000,56849000,56849000,26105000,13267000,1546000,89245000,891006000,891006000,112913000,661300000,603446000,42539000,15315000,1665219000,1754464000,94112000,8060000,65118000,9870000,26572000,26572000,130554000,1202164000,297575000,143921000,142790000,10864000,1499739000,1630293000,161019000,-41277000,119742000,4429000,124171000,1754464000,56392000,-27900000,61000,61000,-27961000,-27961000,-25628000,-12454000,-27993000,2771000,2771000,2771000,1212034000,0.63004,0.17591,0.07756,0.09418,0.00667,0.68359,13.12942,0.69083,0.29415,0.29415,3.79255,3.012,0.01667,45.46199
"14","2014_Q1",12.0129508196721,"Up",147956000,-55678000,92278000,-69997000,-35029000,-34968000,22281000,-9051000,-19838000,10787000,13230000,5509000,-2293000,3216000,3216000,-76000,3140000,3140000,5551000,5551000,52033000,52033000,30136000,12380000,9796000,87720000,885362000,885362000,113099000,661197000,603446000,40084000,17667000,1659658000,1747378000,81354000,4885000,60949000,9751000,26594000,25934000,117699000,1212134000,265206000,75754000,179859000,9593000,1477340000,1595039000,148834000,-1e+06,147834000,4505000,152339000,1747378000,43715000,-26560000,219000,219000,-26779000,-26779000,-26725000,5271000,-17730000,-740000.000000001,-740000.000000001,-740000.000000001,1221885000,0.62369,0.15059,0.02122,0.02061,0.0018,0.74529,10.47033,0.69927,0.07891,0.07891,3.71833,3.71526,0.01139,54.59064
"15","2014_Q2",12.7280952380952,"Up",149648000,-55300000,94348000,-68117000,-32575000,-35542000,26231000,-12398000,-19831000,7433000,13833000,13544000,-5122000,8422000,8422000,-98000,8324000,8324000,6829000,6829000,52368000,52368000,26800000,14151000,4689000,85997000,875467000,875467000,112585000,658965000,603446000,37628000,17891000,1647017000,1733014000,83847000,7775000,60465000,9773000,27221000,26527000,120841000,1204873000,261089000,71066000,180023000,1e+07,1465962000,1586803000,142336000,-728000,141608000,4603000,146211000,1733014000,48394000,-24164000,1241000,1241000,-25405000,-25405000,-24164000,-7432000,-22952000,1278000,1278000,1278000,1214646000,0.63047,0.17528,0.05562,0.05693,0.0048,0.71165,10.85283,0.70089,0.20874,0.20874,3.75274,3.55112,0.0147,46.0454
"16","2014_Q3",15.0278125,"Up",151036000,-55918000,95118000,-68716000,-32711000,-36005000,26402000,-10667000,-19728000,9061000,15735000,14758000,-4871000,9887000,9887000,-80000,9807000,9807000,4882000,4882000,51079000,51079000,25341000,14413000,2968000,81302000,866982000,866982000,112852000,659381000,603446000,35248000,20687000,1639215000,1720517000,80456000,9644000,55205000,9796000,24452000,23153000,114704000,1207609000,256607000,65885000,179589000,11133000,1464216000,1578920000,137475000,-561000.000000001,136914000,4683000,141597000,1720517000,38651000,-25032000,9000,9000,-25041000,-25041000,-25032000,2564999.99999999,-15566000,-1947000,-1947000,-1947000,1217405000,0.62977,0.17481,0.06493,0.06926,0.0057,0.7088,11.1508,0.70758,0.24593,0.24593,3.78755,3.43341,0.01573,45.92542
"17","2014_Q4",17.36921875,"Up",149040000,-56435000,92605000,-67627000,-32659000,-34968000,24978000,-12113000,-20721000,8608000,12865000,12136000,-4387000,7749000,7749000,-107000,7642000,7642000,4890000,4890000,51388000,51388000,228268000,13756000,804000,284546000,859620000,859620000,113594000,655695000,603446000,33018000,19231000,1628909000,1913455000,83573000,4991000,62975000,9809000,24389000,23512000,117771000,1407354000,253489000,60822000,180204000,12463000,1660843000,1778614000,130458000,-407000,130051000,4790000,134841000,1913455000,46319000,-25279000,313000,313000,-25592000,-25592000,-175196000,199561000,128885000,8000,8000,8000,1417163000,0.62134,0.16759,0.05127,0.05667,0.00399,2.4161,13.19045,0.74063,0.19164,0.19164,3.73749,3.2613,0.01288,56.54068
"18","2015_Q1",15.2550819672131,"Down",186014000,-75008000,111006000,-85611000,-42691000,-42920000,25395000,-13811000,-22257000,8446000,11584000,-12023000,1353000,-10670000,-10670000,-36000,-10706000,-10706000,6679000,6679000,77536000,77536000,49930000.0000001,17616000,18940000,134145000,1137478000,1137478000,115376000,824844000,764630000,56322000,3892000,2077698000,2211843000,114293000,15277000,79506000,9849000,31933000,31933000,156075000,1341332000,383607000,122363000,246665000,14579000,1724939000,1881014000,357643000,-31640000,326003000,4826000,330829000,2211843000,54421000,-32728000,232000,232000,-32960000,-32960000,-22469000,-62624000,-30162999.9999999,1789000,1789000,1789000,1351181000,0.59676,0.13652,-0.05755,-0.03236,-0.00484,0.85949,5.68576,0.61088,-0.22138,-0.22138,3.84636,6.74103,0.00237,52.94357
"19","2015_Q2",14.0461904761905,"Down",192578000,-79892000,112686000,-85941000,-42385000,-43556000,26745000,-14290000,-20674000,6384000,12455000,12455000,-4626000,7829000,7829000,-19000,7810000,7810000,9339000,9339000,74672000,74672000,48382000,20892000,14116000,132393000,1129757000,1129757000,114641000,836565000,764630000,53228000,18707000,2080963000,2213356000,111700000,11433000,80740000,9931000,31544000,30961000,153175000,1359725000,379872000,117859000,246734000,15279000,1739597000,1892772000,347280000,-31541000,315739000,4845000,320584000,2213356000,52404000,-32523000,29000,29000,-32552000,-32552000,-32523000,2503000,-17221000,2660000,2660000,2660000,1369656000,0.58514,0.13888,0.04055,0.02436,0.00353,0.86433,5.90414,0.61881,0.15574,0.15574,3.84019,6.29614,0.0132,50.86248
"20","2015_Q3",13.721875,"Down",201010000,-86376000,114634000,-86959000,-43308000,-43651000,27675000,-11465000,-20429000,8964000,16210000,-25032000,9104000,-15928000,-15928000,-40000,-15968000,-15968000,6946000,6946000,87096000,87096000,58662000,20093000,25195000,152704000,1122652000,1122652000,115688000,831376000,764630000,50146000,16600000,2069716000,2222420000,112604000,23228000,69810000,10102000,31864000,31567000,154570000,1406566000,375152000,113154000,247031000,14967000,1781718000,1936288000,312332000,-31085000,281247000,4885000,286132000,2222420000,43412000,-32958000,28000.0000000002,28000.0000000002,-32986000,-32986000,-32112000,10409000,-13693000,-2393000,-2393000,-2393000,1416668000,0.57029,0.13768,-0.07944,-0.05581,-0.00718,0.98793,6.76711,0.63744,-0.31825,-0.31825,4.00626,5.60543,0.00173,50.93846
"21","2015_Q4",14.85375,"Up",193958000,-83209000,110749000,-97101000,-51044000,-46057000,13648000,-8683000,-19174000,10491000,4965000,4965000,-2220000,2745000,2745000,-150000,2595000,2595000,23854000,23854000,73304000,73304000,57942000,17528000,27198000,155100000,1113890000,1113890000,106183000,827912000,764630000,46909000,16373000,2047985000,2203085000,113133000,13903000,79664000,10120000,31769000,31407000,155022000,1406297000,371534000,104247000,251217000,16070000,1777831000,1932853000,296086000,-30889000,265197000,5035000,270232000,2203085000,71821000,-34520000,61000,61000,-34581000,-34581000,-34520000,-489000,-20393000,16908000,16908000,16908000,1416417000,0.57099,0.07037,0.01338,0.0096,0.00118,1.0005,7.15257,0.64292,0.05172,0.05172,3.86555,5.28534,0.01077,102.03422
"22","2016_Q1",15.3532786885246,"Up",188191000,-78923000,109268000,-88148000,-41490000,-46658000,21120000,-9991000,-19341000,9350000,11129000,9716000.00000001,-5033000,4683000,4683000,-1000,4682000,4682000,15878000,15878000,68848000,68848000,41682000,17815000,23867000,126408000,1093261000,1093261000,105543000,813314000,764630000,43497000,5187000,2012118000,2138526000,105747000,12576000,73620000,10937000,27616000,27616000,144300000,1377892000,365635000,112966000,236529000,16140000,1743527000,1887827000,282243000,-35699000,245663000,5036000,250699000,2138526000,51542000,-20385000,13430000,13430000,-33815000,-33815000,-20385000,-18724000,-39133000,-7976000,-7976000,-7976000,1388829000,0.58062,0.11223,0.02488,0.01868,0.00219,0.87601,7.53025,0.64943,0.09326,0.09326,3.74838,4.8931,0.01209,65.00715
"23","2016_Q2",18.055625,"Up",188846000,-79720000,109126000,-84816000,-40676000,-44140000,24310000,-11435000,-18646000,7211000,12875000,12875000,-4973000,7902000,7902000,-53000,7849000,7849000,24461000,24461000,63477000,63477000,39869000,21109000,18760000,127807000,1081323000,1081323000,106002000,810949000,764630000,40260000,6059000,1998274000,2126081000,105985000,10854000,75508000,11016000,27955000,27955000,144956000,1375945000,364898000,111545000,236786000,16567000,1740843000,1885799000,270494000,-35301000,235193000,5089000,240282000,2126081000,59541000,-28674000,14000,14000,-28688000,-28688000,-28674000,-2662000,-22284000,8583000,8583000,8583000,1386961000,0.57786,0.12873,0.04156,0.03267,0.00369,0.8817,7.84827,0.65236,0.15608,0.15608,3.75521,4.67683,0.01375,56.04689
"24","2016_Q3",19.02140625,"Up",186871000,-80763000,106108000,-82296000,-38805000,-43491000,23812000,-10474000,-19106000,8632000,13338000,12480000,-12323000,157000.000000001,157000.000000002,-81000,76000,76000,24555000,24555000,64524000,64524000,64570000,21922000,13959000,153649000,1062181000,1062181000,106931000,800078000,756373000,37023000,6682000,1969190000,2122839000,109593000,17295000,72675000,13171000,34667000,34667000,157431000,1378788000,364232000,110325000,237363000,16544000,1743020000,1900451000,251851000,-34633000,217218000,5170000,222388000,2122839000,55964000,-33547000,35999.9999999981,35999.9999999981,-33583000,-33583000,-33547000,-2700000,-22323000,94000.0000000037,94000.0000000037,94000.0000000037,1391959000,0.56781,0.12742,0.000410000000000001,0.00034,3.99999999999997e-05,0.97598,8.54565,0.65571,0.00151000000000001,0.00151000000000001,3.71565,4.31905,0.00996,57.425
"25","2016_Q4",19.5733333333333,"Up",191541000,-85646000,105895000,-83141000,-39917000,-43224000,22754000,-10656000,-19075000,8419000,12098000,12080000,-4991000,7089000,7089000,-77000,7012000,7012000,33403000,33403000,68447000,68447000,27213000,18081000,9132000,129063000,1065528000,1065528000,106916000,802652000,760998000,34758000,6896000,1975096000,2104159000,107920000,15010000,73287000,14429000,29255000,29255000,151604000,1377549000,363485000,109035000,238359000,16091000,1741034000,1892638000,240066000,-33792000,206274000,5247000,211521000,2104159000,58086000,-31866000,21000,21000,-31887000,-31887000,-24396000,-5220000,-24842000,8848000,8848000,8848000,1391978000,0.55286,0.11879,0.03661,0.03315,0.00333,0.85132,8.94775,0.66154,0.13942,0.13942,3.80843,4.10136,0.01354,59.70708
"26","2017_Q1",18.9079032258065,"Down",175919000,-75283000,100636000,-80277000,-37122000,-43155000,20359000,-12129000,-19999000,7870000,8230000,723000,-675000,48000,48000,-54000,-6000,-6000,27077000,27077000,56216000,56216000,49908000,28292000,21616000,133201000,1055186000,1055186000,106221000,798150000,756877000,31612000,9661000,1959557000,2092758000,108725000,6766000,82354000,14922000,26438000,26438000,150085000,1376754000,389664000,130793000,244298000,14573000,1766418000,1916503000,218231000,-47277000,170954000,5301000,176255000,2092758000,44642000,-30897000,137000,137000,-31034000,-31034000,-21670000,1397000,-29298000,-6326000,-6326000,-6326000,1391676000,0.57206,0.11573,-3.00000000000092e-05,-2.99999999999953e-05,0,0.8875,10.87347,0.665,-0.000120000000000037,-0.000120000000000037,3.49545,3.3968,0.01002,67.02682
"27","2017_Q2",16.8149206349206,"Down",169935000,-71032000,98903000,-78495000,-36300000,-42195000,20408000,-24958000,-29671000,4713000,-4550000,-5879000,2174000,-3705000,-3705000,20000,-3685000,-3685000,26629000,26629000,49770000,49770000,53072000,29014000,24058000,129471000,1047796000,1047796000,106035000,794938000,756877000,28521000,9540000,1948769000,2078240000,118017000,6436000,91928000,15830000,26544000,26544000,160391000,1375271000,385824000,128978000,242725000,14121000,1761095000,1921486000,201424000,-46266000,151473000,5281000,156754000,2078240000,51718000,-28982000,43000,43000,-29025000,-29025000,-28982000,-3539000,-23184000,-448000,-448000,-448000,1391101000,0.582,0.12009,-0.02168,-0.02351,-0.00177,0.80722,12.25797,0.66936,-0.0731,-0.0731,3.37106,3.00482,0.00823,66.85966
"28","2017_Q3",15.1031746031746,"Down",169950000,-71136000,98814000,-76067000,-35584000,-40483000,22747000,-24577000,-33918000,9341000,-1830000,-4025000,1399000,-2626000,-2626000,-102000,-2728000,-2728000,15859000,15859000,50338000,50338000,51909000,25853000,26056000,118106000,1042771000,1042771000,106504000,793688000,756877000,27211000,9600000,1942963000,2061069000,121829000,10107000,92069000,17830000,25040000,25040000,164699000,1376248000,386943000,126283000,241363000,19297000,1763191000,1927890000,182662000,-48453000,127796000,5383000,133179000,2061069000,41815000,-28978000,58000,58000,-29036000,-29036000,-28978000,-3954000,-23607000,-10770000,-10770000,-10770000,1394078000,0.58143,0.13385,-0.01605,-0.02048,-0.00132,0.7171,14.47593,0.67639,-0.05411,-0.05411,3.37122,2.53503,0.00884,60.58904
"29","2017_Q4",12.8679365079365,"Down",363329000,-148377000,214952000,-195504000,-91098000,-104406000,19448000,-26992000,-36307000,9315000,-7544000,-34683000,6289000,-28394000,-28394000,-54000,-28448000,-28448000,23314000,23314000,120844000,120844000,78752000,33852000,23494000,222910000,2058418000,2058418000,108268000,1371629000,1042285000,318487000,10857000,3538315000,3761225000,177926000,14154000,136332000,28824000,46161000,46161000,252911000,2311247000,695418000,340067000,321355000,33996000,3006665000,3259576000,578926000,-47853000,496212000,5437000,501649000,3761225000,31691000,-61033000,195000,195000,-61228000,-61228000,-923418000,943705000,899182000,7455000,7455000,7455000,2340071000,0.59162,0.05353,-0.0783,-0.05671,-0.00756,0.88138,6.49772,0.62216,-0.40615,-0.40615,5.18723,7.08439,-0.00028,119.12572
"30","2018_Q1",10.1283606557377,"Down",356360000,-155453000,200907000,-190948000,-86159000,-104789000,9959000,-22013000,-29890000,7877000,-12054000,-15041000,115065000,100024000,100024000,-218000,99806000,99806000,15657000,15657000,121528000,121528000,76474000,33318000,21846000,213659000,2037606000,2037606000,108858000,1359003000,1038032000,13483000,14188000,3505467000,3719126000,182715000,24143000,131154000,29696000,43529000,43529000,255940000,2311514000,577730000,334193000,209720000,33817000,2889244000,3145184000,616370000,-48083000,568287000,5655000,573942000,3719126000,84803000,-61333000,563000,563000,-61896000,-61896000,-61333000,-3157000,-31127000.0000001,-7657000,-7657000,-7657000,2341210000,0.56378,0.02795,0.28007,0.1739,0.02684,0.8348,5.47997,0.62951,1.41314,1.41314,5.04566,8.04631,0.03643,233.5127
