"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",95.37,"Up",3073000,-9699000,-6366000,-949000,-7333000,7103000,-4826000,11467000,3000,-230000,-5289000,-5519000,2542000,-2977000,-2977000,-2977000,-2977000,196753000,196753000,54987000,253195000,9349089000,9335451000,243000,9349604000,9602799000,8184000,8184000,10302000,8604000,617658000,506998000,506998000,1124656000,7952438000,517675000,8030000,8478143000,8478143000,9602799000,-2977000,949000,-7248000,7563000,-1713000,-9000,-3000,52235000,-49403000,-51119000,-51119000,-51119000,-6384000,599172000,-1371999.99999994,-2.38627,-0.96876,-0.00035,-0.00031,0.46087,0.40993,0.13265,0.0624,-0.01638,-0.01625,0.0169,46.63522,-0.00754999999999982,-0.00031,-0.000140000000000005,-63.03556,-54.87781
"12","2017_Q4",88.0574603174603,"Down",3430000,-8571000,-6189000,-942000,-5787000,-10367000.0000001,-5518000,-5280000.00000012,9000,-16154000.0000001,-1043000,-17197000,7333000,-9864000.00000012,-9864000.00000012,-9864000.00000012,-9864000.00000012,135425000,135425000,4319000,141977000,9339492000,9326871000,61000,9339917000,9481894000,4963000,4963000,7237000,6684000,12200000,502484000,999459000,1011659000,7954134000,507811000,8290000,8470235000,8470235000,9481894000,-9864000.00000012,942000,1434999.99999988,-4795000,-12282000,-18000,-10000,-104719000,-49036000,-61328000,-61328000,-61328000,-4845000,496975000,-16991000,-1.68717,-2.87580000000002,-0.00116000000000001,-0.00104000000000001,1.72253,11.63746,0.11944,0.05241,-0.0542499999999994,-0.05381,0.01887,46.5866,-0.09345,-0.00104000000000001,-0.00179,-74.62332,-62.47624
"13","2018_Q1",89.5316393442623,"Up",3449000,-678000,-5966000,-926000,-5996000,2479412000,-4671000,2483882000,1420000,2473416000,22715000,2496131000,-435178000,2060953000,2060953000,2060953000,2060953000,81257000,81257000,2797000,84054000,11847735000,11835613000,12122000,11847735000,11931789000,5381000,5381000,5168000,5168000,10549000,936969000,1434339000,1444888000,7909713000,2568764000,8424000,10486901000,10486901000,11931789000,2060953000,926000,-2070159000,1845000,-6435000,-43000,-42999.9999999851,155723000,-47690000,-54168000,-54168000,-54168000,-5070000,497370000,431910000,-1.73847,597.55088,0.19653,0.17273,0.20957,7.96796,0.13778,0.04168,11.34243,11.25638,0.01898,57.71452,2.37701,0.17288,0.03623,-82.07357,-69.39843
"14","2018_Q2",75.2978125,"Down",11791000,-7636000,-6727000,-909000,2246000,4489999.99999952,-5037000,9302000,1308924.47717382,6735999.99999952,-26757000,-20021000.0000005,4951000,-15070000,-15070000,-15070000,-15070000,78088000,78088000,1797000,79885000,11877662000,11866434000,49000,11877662000,11957547000,2703000,2703000,2515000,2515000,5218000.00000001,944696000,1442460000,1447678000,7940726000,2560719000,8424000,10509869000,10509869000,11957547000,-15070000,909000,14304000,-3839000,-3696000,-14000,-14000,540999.99999994,540999.999999993,-3168999.99999999,-3168999.99999999,-3168999.99999999,3155000,497764000,-5649000,0.19048,-1.27809000000002,-0.00142999999999999,-0.00126000000000004,0.37485,15.30951,0.13774,0.04163,-0.0831100000000013,-0.0824799999999986,0.06503,57.96438,-0.03116,-0.00126000000000001,-0.00047,133.01933,186.85485
"15","2018_Q3",79.5866666666667,"Up",3371000,-6413000,-5514000,-899000,-5071000,27069000,-6035000,32911000,418000,21998000,-7224000,14774000,-4194000,10580000,10580000,10580000,10580000,52462000,52462000,48523000,100985000,11901943000,11891637000,17000,11901943000,12002928000,2685000,2685000,9224000,9224000,11909000,946377000,1469536000,1481445000,7941932000,2571299000,8252000,10521483000,10521483000,12002928000,10580000,899000,-20044000,5668000,-2897000,-10000,-10000,46530000,-22719000,-25626000,-25626000,-25626000,-4172000,523159000,5680000,-1.5043,3.13853,0.00101,0.00088,0.53686,8.47972,0.1408,0.04359,0.05835,0.05798,0.01859,58.02651,0.0313300000000002,0.00088,0.00047,-112.82287,-92.82134
"16","2018_Q4",80.3,"Up",3518000,-5688000,-5187000,-501000,-4096000,79022000.0000001,-5967000,84739000,250000,74926000,2475000,77401000,-17762000,59638999.9999999,59638999.9999999,59638999.9999999,59638999.9999999,43268000,43268000,52210000,95478000,11987196000,11977368000,49000.0000000005,11987196000,12082674000,3091000,3091000,6908000,6908000,9999000,964763000,1487380000,1497379000,7941652000,2635865000,7778000,10585295000,10585295000,12082674000,59638999.9999999,501000,-67675000.0000001,-1951000,-9486000,-11000,-11000,48878000,303000,-9194000,-9194000,-9194000,-3595000,522617000,12205000,-1.1643,16.95253,0.00563,0.00493999999999999,0.20465,9.54875,0.14146,0.04325,0.3289,0.32666,0.0194,58.37651,0.06731,0.00493999999999999,0.00101,-133.33769,-117.02856
"17","2019_Q1",84.9681967213115,"Up",3576000,-6539000,-6069000,-470000,-5093000,33226000,-6263000,39194000,295000,28133000,-8410000,19723000,-4919000,14804000,14804000,14804000,14804000,83103000,83103000,1471000,84574000,12013863000,12004376000,9487000,12013863000,12098437000,3504000,3504000,4691000,4691000,8195000,968696000,1491624000,1499819000,7940171000,2650669000,7778000,10598618000,10598618000,12098437000,14804000,470000,-24043000,-1412000,-10181000,-6000,-6000.00000000006,-92802000,50022000,39835000,39835000,39835000,-4623000,522928000,-1122000,-1.42422,4.13982,0.0014,0.00122,-0.07579,10.3202,0.14151,0.04322,0.08164,0.08107,0.01972,58.44805,-0.00619000000000003,0.00122,-9e-05,-95.13844,-86.35873
"18","2019_Q2",98.2174603174603,"Up",3458000,-7406000,-6938000,-468000,-6201000,28729000,-6543000,34849000,423000,22528000,-41403000,-18875000,4574000,-14301000,-14301000,-14301000,-14301000,73178000,73178000,1121000,74299000,12009079000,11999494000,9585000,12009079000,12083378000,2922000,2922000,2902000,2902000,5824000,966087000,1489325000,1495149000,7944083000,2636368000,7778000,10588229000,10588229000,12083378000,-14301000,468000,4898000,-2626000,-11561000,-17000,-17000,1652999.99999999,1653000,-9925000,-9925000,-9925000,-5733000,523238000,-12950000,-1.79323,-4.13563,-0.00135,-0.00118,0.90553,12.75738,0.14121,0.0433,-0.07885,-0.07829,0.01907,58.38045,-0.0714,-0.00118,-0.00107,-78.5034,-72.57862
"19","2019_Q3",103.21265625,"Up",3747000,-8686000,-8217000,-469000,-7166000,39464000,-6342000,45400000,406000,32298000,-16322000,15976000,-3924000,12052000,12052000,12052000,12052000,67134000,67134000,7181000,74315000,12032854000,12023742000,9112000,12032854000,12107169000,19429000,19429000,9952000,9952000,29381000,967179000,1490728000,1520109000,7930862000,2648420000,7778000,10587060000,10587060000,12107169000,12052000,469000,-22357000,1323000,-8513000,-33000,-33000,2502000,2502000,-6044000,-6044000,-6044000,-6697000,523549000,-1483000,-1.91246,3.21644,0.00114,0.001,-0.12305,2.52936,0.14358,0.04324,0.06642,0.06592,0.02065,58.34634,-0.00817,0.001,-0.00012,-68.15216,-63.69174
"20","2019_Q4",115.793125,"Up",3713000,-8978000,-8507000,-471000,-7588000,55860000,-6123000,61633000,350000,48272000,-11652000,36620000,-9124000,27496000,27496000,27496000,27496000,46546000,46546000,48405000,94951000,12077096000,12067329000,9767000,12077096000,12172047000,4070000,4070000,7734000,7734000,11804000,975452000,1548071000,1559875000,7928478000,2675916000,7778000,10612172000,10612172000,12172047000,27496000,471000,-37886000,2761000,-7158000,-25000,-25000,-63405000,-13405000,-20588000,-20588000,-20588000,-7117000,572619000,4743000,-2.04363,7.40533,0.00259,0.00226,0.1725,8.04397,0.14699,0.04704,0.15157,0.15037,0.02047,58.4986,0.02615,0.00226,0.00039,-73.9178,-69.3296
"21","2020_Q1",122.491129032258,"Up",4082000,-9930000,-9338000,-592000,-8045000,137947000,-5992000,144118000,-179000,129902000,-8623000,121279000,-29526000,91753000,91753000,91753000,91753000,49724000,49724000,1193000,52133000,12203677000,12194674000,1618000,12204209000,12256342000,6107000,6107000,6032000,4840000,12139000,1003313000,1576257000,1588396000,7891903000,2767885000,8158000,10667946000,10667946000,12256342000,91753000,592000,-101655000,-458000,-9768000,-925000,-925000.000000001,14250000,14250000,3557000,3557000,3557000,-7453000,572944000,20690000,-1.97085,22.47746,0.0086,0.00749,0.2255,4.29467,0.14889,0.04675,0.50442,0.50199,0.02244,58.64828,0.11375,0.00749,0.00169,-70.2026,-65.03667
"22","2020_Q2",122.989682539683,"Up",4104000,-11379000,-8418000,-493000,-7275000,55984000,-5861000,61682000,163000,48709000,-59325000,-10616000,2774000,-7842000.00000001,-7842000.00000001,-7842000.00000001,-7842000.00000001,18357000,18357000,2665000,21022000,12204132000,12194726000,9406000,12204132000,12225154000,4260000,4260000,3850000,3850000,8110000,996804000,1570073000,1578183000,7878770000,2760043000,8158000,10646971000,10646971000,12225154000,-7842000.00000001,493000,-2894000.00000001,-4258000,-14501000,-15000,-14925000,-1941000.00000001,-1941000,-31367000,-31367000,-31367000,-6782000,573269000,-13829000,-1.77266,-1.91082,-0.000739999999999999,-0.000639999999999998,1.76345,2.59211,0.14823,0.04689,-0.0431099999999999,-0.0429,0.02256,58.53136,-0.07602,-0.000639999999999998,-0.00113,-81.82129,-76.27656
"23","2020_Q3",135.491875,"Up",4114000,-13946000,-10930000,-492000,-9832000,153025000,-5131000,158128000,28000,143193000,-46001000,97192000,-24978000,72214000,72214000,72214000,72214000,17162000,17162000,2544000,19706000,12315693000,12306593000,9100000,12315693000,12335399000,8562000,8562000,11544000,11544000,20106000,1020966000,1594559000,1614665000,7880319000,2832257000,8158000,10720734000,10720734000,12335399000,72214000,492000,-85027000,11124000,-1197000,-20000,-20000.0000000075,22000,22000,-1195000,-1195000,-1195000,-9340000,573593000,26742000,-2.38989,17.55323,0.00674,0.00585,0.37032,0.98011,0.15061,0.0465,0.39694,0.39494,0.02261,58.92909,0.14699,0.00586,0.00217,-59.57505,-56.59388
"24","2020_Q4",150.81875,"Up",4219000,-13032000,-17968000,-56000.0000000001,-16328000,184875000,-3719000,188586000,8000,168547000,-74608000,93939000,-24979000,68960000,68960000,68960000,68960000,400268000,400268000,2224000,402492000,12459197000,12450425000,8772000.00000001,12459197000,12861689000,7699000,7699000,8639999.99999999,8640000,16339000,1039436000,2358100000,2374439000,7589427000,2901217000,-3394000,10487250000,10487250000,12861689000,68960000,56000.0000000001,-86552000,-3578000,-21114000,-7000,-7000,-10051000,404227000,383106000,383106000,383106000,-16272000,1318664000,5122000,-3.87011,16.34511,0.00658,0.00536,0.07427,24.63382,0.22641,0.10253,0.38001,0.37786,0.02325,57.7915,0.02823,0.00537,4e-04,-56.44027,-56.24669
"25","2021_Q1",148.35868852459,"Down",38563000,-72643000,-38684000,-13959000,-26565000,294116000,-13289000,304604000,2801000,267551000,-87066000,180485000,84183000,264668000,264668000,264668000,264668000,1.418e+09,1.418e+09,7.9e+07,1.846e+09,1.8428e+10,1.6179e+10,2.68e+08,1.9527e+10,2.1373e+10,9.8e+07,9.8e+07,4.83e+08,2.5e+07,6.12e+08,2.368e+09,7.246e+09,7.858e+09,1.0322e+10,3.166e+09,1.5e+07,1.3503e+10,1.3515e+10,2.1373e+10,264668000,13959000,-298527000,-39288000,-59188000,-1958000,589952000,-11030000,501692000,1032456000,1032456000,1032456000,-12606000,4.909e+09,-138035000,-0.68887,6.86326,0.01958,0.01238,-0.52154,3.01634,0.58143,0.22968,1.44747,1.43195,0.2109,73.84782,-0.75491,0.01273,-0.00664,-276.93162,-131.41351
"26","2021_Q2",156.350793650794,"Up",2.47e+08,-1.69e+08,-1.05e+08,-6.4e+07,9000000.00000001,1.48e+08,-3.3e+07,1.89e+08,-8e+06,1.57e+08,-9.3e+07,6.4e+07,-1.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,1177161000,1177161000,82954000,1461343000,17957730000,15734862000,283226000,19029699000,20491042000,198045000,198045000,448616000,22244000,676086000,2356028000,7004724000,7680810000,9565192000,3217724000,15597000,12798513000,12810232000,20491042000,5.2e+07,6.4e+07,-7.7e+07,1.54e+08,1.93e+08,-2.8e+07,4.9e+08,-2e+06,-9.23e+08,-2.4e+08,-2.4e+08,-2.4e+08,7.3e+07,4678121000,2.11e+08,0.0364399999999999,0.210530000000001,0.00406,0.00254,4.05769,2.16148,0.59958,0.2283,0.26744,0.26515,1.27036,65.8248,1.08521,0.00262,0.01063,47.9583600000001,388.99556
"27","2021_Q3",174.620625,"Up",2.42e+08,-3.13e+08,-1.1e+08,-6.7e+07,-2e+06,2.43e+08,-2.9e+07,2.49e+08,2.3e+07,2.41e+08,-1.4e+08,1.01e+08,-4.5e+07,5.6e+07,5.6e+07,5.6e+07,5.6e+07,219241000,219241000,66237000,519049000,17209374000,14947277000,340755000,18256008000,18775057000,216508000,216508000,480426000,30488000,728873000,2415412000,6216132000,6945005000,8532525000,3273980000,11870000,11818375000,11830052000,18775057000,5.6e+07,6.7e+07,-1.28e+08,-7.7e+07,-8.2e+07,-2.2e+07,1.224e+09,0,-2.1e+09,-9.58e+08,-9.58e+08,-9.58e+08,6.5e+07,3832659000,1.1e+07,-0.00826,0.2314,0.00473,0.00298,0.19643,0.71213,0.58706,0.20414,0.28802,0.28555,1.24464,60.78379,0.05657,0.0031,0.000609999999999999,55.59105,-1806.709
"28","2021_Q4",162.1021875,"Down",2.5e+08,-2.49e+08,-1.1e+08,-6.8e+07,999999.999999998,2.89e+08,-2.8e+07,3.14e+08,3e+06,2.9e+08,8e+06,2.98e+08,-6.1e+07,2.37e+08,2.37e+08,2.37e+08,2.37e+08,319415000,319415000,177470000,742447000,16653434000,14386719000,365404000,17697265000,18439712000,228230000,228230000,504096000,28028000,767123000,2444699000,6541202000,7308325000,7595604000,3510849000,13298000,11119751000,11131387000,18439712000,2.37e+08,6.8e+07,-3.04e+08,2.4e+07,24999999.9999999,-4.1e+07,8.55e+08,1e+06,-6.7e+08,2.1e+08,2.1e+08,2.1e+08,6.9e+07,4131300000,1.13e+08,0.004,0.948,0.02129,0.01285,0.47679,0.96783,0.65655,0.22404,1.26236,1.25036,1.33161,59.22858,0.60189,0.01338,0.00638,55.24471,3811.885
"29","2022_Q1",142.507258064516,"Down",2.49e+08,-2.6e+08,-1.17e+08,-6.8e+07,-1.1e+07,3.91e+08,-2.7e+07,4.42e+08,-2.4e+07,3.8e+08,1.07e+08,4.87e+08,-1e+08,3.87e+08,3.87e+08,3.87e+08,3.87e+08,1.91e+08,1.91e+08,6.2e+07,4.59e+08,1.5478e+10,1.326e+10,3.33e+08,1.6509e+10,1.6968e+10,9.9e+07,9.9e+07,4.55e+08,2.5e+07,5.82e+08,2.222e+09,6.044e+09,6.626e+09,6.215e+09,3.898e+09,1.4e+07,1.033e+10,1.0342e+10,1.6968e+10,3.87e+08,6.8e+07,-6.39e+08,5.1e+07,-1.33e+08,-4.3e+07,1.493e+09,-1e+07,-1.599e+09,-2.39e+08,-2.39e+08,-2.39e+08,5.7e+07,3.85e+09,1.65e+08,-0.04418,1.55422,0.03742,0.02281,0.42636,0.78866,0.64069,0.2269,2.40482,2.36887,1.54729,62.92915,1.02531,0.02358,0.01005,64.19298,-332.63636
"30","2022_Q2",117.507741935484,"Down",2.38e+08,-1.65e+08,-1.01e+08,-6.4e+07,7e+06,2.56e+08,-2.6e+07,3.03e+08,-2.1e+07,2.63e+08,8.1e+07,3.44e+08,-4.5e+07,2.99e+08,2.99e+08,2.99e+08,2.99e+08,3e+08,3e+08,7.7e+07,5.46e+08,1.5074e+10,1.2902e+10,3.01e+08,1.6084e+10,1.663e+10,9.7e+07,9.7e+07,4.15e+08,2.2e+07,5.37e+08,2.417e+09,6.494e+09,7.031e+09,5.376e+09,4.197e+09,1e+07,9.583e+09,9.599e+09,1.663e+10,2.99e+08,6.4e+07,-3.7e+08,9.7e+07,9e+07,-3.2e+07,5.74e+08,-3e+06,-5.48e+08,1.16e+08,1.16e+08,1.16e+08,7.1e+07,4.102e+09,1.81e+08,0.02941,1.2563,0.03115,0.01798,0.60535,1.01676,0.73247,0.24666,1.65158,1.63387,1.31463,52.93335,0.99978,0.01855,0.01123,53.5493,543.14286
"31","2022_Q3",105.79359375,"Down",2.39e+08,-2.96e+08,-1.05e+08,-6.5e+07,9e+06,3.38e+08,-3e+07,3.86e+08,-1.8e+07,3.47e+08,2.35e+08,5.82e+08,-1.17e+08,4.65e+08,4.65e+08,4.65e+08,4.65e+08,3.01e+08,3.01e+08,7.1e+07,5.51e+08,1.4174e+10,1.2051e+10,2.72e+08,1.5187e+10,1.5738e+10,1e+08,1e+08,3.45e+08,2.1e+07,4.48e+08,2.404e+09,6.262e+09,6.71e+09,4.32e+09,4.662e+09,3e+07,9.012e+09,9.028e+09,1.5738e+10,4.65e+08,6.5e+07,-6.19e+08,1.7e+07,-7.2e+07,-4.6e+07,1.321e+09,0,-1.248e+09,1e+06,1e+06,1e+06,7.4e+07,3.861e+09,1.62e+08,0.03766,1.94561,0.05151,0.02955,0.34839,1.22991,0.74324,0.24533,2.56851,2.54097,1.32016,49.77933,0.89483,0.03041,0.01059,48.10811,395.55556
