"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",32.068064516129,"Up",1891688000,-1111898000,779790000,-424404000,-384951000,-39453000,355386000,8997000,12041000,-3044000,364383000,364383000,-87482000,276901000,276901000,276901000,276901000,2631748000,1324739000,1307009000,1363454000,1363454000,546329000,380165000,4541531000,878561000,686947000,87583000,301403000,154927000,143034000,1565508000,6107039000,1159161000,111420000,1047741000,116427000,116427000,1275588000,259081000,4593000,254488000,259081000,1534669000,0,407403000,404404000,4355010000,-190043000,4572370000,4572370000,6107039000,276901000,41366000,-66808000,22261000,-79019000,-10050000,133401000,-64588000,12201000,185788000,384860000,-69944000,-69944000,-69944000,2432000,-362245000,-19019000,-19019000,-86531000,-34756000,30356000,-65112000,-25649000,272680000,272680000,1814000,274494000,396752000,0,547691000,0.41222,0.18787,0.14638,0.06056,0.04534,1.97793,3.56034,0.33564,0,0.46295,0.45673,3.16273,7.6446,0.91569,5,0.05731,0.11336,-6.63323,-7.40532
"12","2013_Q1",35.8475,"Up",1948215000,-1150934000,797281000,-441028000,-401746000,-39282000,356253000,29606000,11417000,18189000,385859000,365844000,-87065000,278779000,278779000,278779000,278779000,2863758000,1570077000,1293681000,1345661000,1345661000,604875000,402981000,4814294000,971486000,735791000,87475000,309185000,178824000,160307000,1707277000,6521571000,1227634000,108707000,1118927000,149696000,149696000,1377330000,289858000,2777000,287081000,289858000,1667188000,0,460277000,457260000,4633789000,-239683000,4854383000,4854383000,6521571000,278779000,41164000,-44378000,27444000,-56018000,-15804000,86295000,25934000,-6612999.99999999,66974000,361860000,-125749000,-125749000,-125749000,1035000,-248834000,-15998000,-15998000,-140712000,651000.00000003,37601000,-36950000,24064000.0000001,245212000,245212000,126000,245338000,397417000,0,445028000,0.40924,0.18286,0.14309,0.05743,0.04275,1.59635,3.49538,0.34344,-4.2351647362715e-22,0.46393,0.45885,3.24215,8.07849,0.7406,5,0.05419,0.08651,-7.20593,-8.03855
"13","2013_Q2",30.813125,"Down",2020738000,-1199965000,820773000,-454866000,-413204000,-41662000,365907000,15027000,13247000,1780000,380934000,377183000,-92974000,284209000,284209000,284209000,284209000,2744446000,1474860000,1269586000,1495996000,1495996000,596198000,412702000,4836640000,1008198000,864464000,122501000,407349000,164967000,169647000,1872662000,6709302000,1087639000,132501000,955138000,138204000,138204000,1225843000,267525000,14841000,252684000,267525000,1493368000,0,506367000,503342000,4917998000,-208431000,5215934000,5215934000,6709302000,284209000,43601000,48018000,29093000,23030000,-4105000,-302360000,-149421000,16269000,-169208000,73468000,-72185000,-72185000,-72185000,25587000,-348692000,-139276000,-139276000,-185874000,9442000,31996000,-22554000,16932000,-95474000,-95474000,257000,-95217000,409508000,0,127937000,0.40617,0.18108,0.14065,0.05449,0.04236,0.45015,3.94556,0.28631,0,0.47077,0.46565,3.34721,8.63983,0.21192,3,0.05183,0.02333,-6.70181,-7.50039
"14","2013_Q3",34.4090625,"Up",2161240000,-1272013000,889227000,-462424000,-420526000,-41898000,426803000,12668000,13080000,-412000,439471000,420397000,-119987000,300410000,300410000,300410000,300410000,2900569000,1678205000,1222364000,1560856000,1560856000,672536000,444405000,5133961000,1017705000,860654000,121991000,412647000,165942000,160074000,1878359000,7012320000,1223105000,94069000,1129036000,134192000,134192000,1357297000,331275000,14548000,316727000,331275000,1688572000,1.29246970711411e-26,429942000,426929000,5218408000,-324602000,5323748000,5323748000,7012320000,300410000,43834000,35651000,30237000,-24027000,29441000,-14338000,-67873000,-28536000,82071000,365557000,-50325000,-50325000,-50325000,22286000,-574619000,-11861000,-11861000,-39900000,-108305000,16550000,-124855000,-106313000,219344000,219344000,-15999000,203345000,470637000,-1.16415321826935e-10,525961000,0.41144,0.19748,0.139,0.05643,0.04284,1.75081,3.78249,0.31718,1.35525271560688e-20,0.49791,0.49337,3.58213,8.82379,0.87175,6,0.05312,0.09301,-6.16307,-6.79604
"15","2013_Q4",42.225,"Up",2305723000,-1382336000,923387000,-486028000,-443376000,-42652000,437359000,11028000,10696000,332000,448387000,439198000,-119571000,319627000,319627000,319627000,319627000,3360599000,2031119000,1329480000,1637126000,1637126000,741480000,472845000,5739205000,1011803000,866141000,118141000,417959000,160746000,169295000,1877944000,7617149000,1460101000,114825000,1345276000,141937000,141937000,1602038000,366835000,14794000,352041000,366835000,1968873000,0,485330000,482306000,5538035000,-375089000,5648276000,5648276000,7617149000,319627000,44578000,21546000,27023000,-21847000,16370000,93127000,-56208000,15518000,133817000,478878000,-31836000,-31836000,-31836000,-119427000,-445501000,-1339000,-1339000,-152602000,21364000,28291000,-6927000,28332000,354608000,354608000,-1694000,352914000,481937000,0,662799000,0.40048,0.18968,0.13862,0.05659,0.04196,2.07366,3.58244,0.34858,0,0.52983,0.52523,3.82208,9.36286,1.09869,4,0.05314,0.11019,-6.97311,-7.68385
"16","2014_Q1",46.3331147540984,"Up",2355499000,-1411186000,944313000,-496482000,-450494000,-45988000,447831000,12377000,11877000,5e+05,460208000,451122000,-126768000,324354000,324354000,324354000,324354000,3747473000,2213006000,1534467000,1648785000,1648785000,751624000,495394000,6147882000,1081164000,905672000,131274000,444236000,147149000,183013000,1986836000,8134718000,1591615000,113394000,1478221000,182893000,182893000,1774508000,224419000,21170000,203249000,224419000,1998927000,2.06795153138257e-25,549683000,543606000,5862367000,-276259000,6135791000,6135791000,8134718000,324354000,47887000,-49015000,32447000,-65356000,-16106000,182671000,15002000,-15351000,183020000,505897000,-107254000,-107254000,-107254000,-203846000,-479988000,-41324000,-41324000,-352424000,15999000,40663000,-24664000,30149000,183622000,183622000,-1764000,181858000,495718000,-9.31322574615479e-10,697903000,0.4009,0.19012,0.1377,0.05286,0.03987,2.15167,3.46456,0.32578,1.0842021724855e-19,0.53551,0.53085,3.88896,10.13028,1.15225,3,0.051,0.10973,-7.55969,-8.36805
"17","2014_Q2",45.1885714285714,"Down",2422300000,-1432400000,989900000,-529900000,-485400000,-44500000,4.6e+08,14400000,13500000,9e+05,474400000,473200000,-124300000,348900000,348900000,348900000,348900000,3864984000,1935991000,1928993000,1703605000,1703605000,722151000,521721000,6290740000,1090885000,897674000,124735000,445182000,140568000,187189000,1988559000,8279299000,1336362000,176374000,1159988000,166504000,166504000,1502866000,153476000,20275000,133201000,153476000,1656342000,0,578997000,572913000,6211245000,-167285000,6622957000,6622957000,8279299000,348900000,46700000,58100000,35800000,36300000,-1.4e+07,-296400000,-52700000,65600000,-309300000,157300000,-43300000,-43300000,-43300000,-388800000,-779300000,-1600000,-1600000,-433700000,-12400000,26700000,-39100000,-6500000,-282900000,-282900000,5900000,-2.77e+08,506700000,0,291300000,0.40866,0.1899,0.14404,0.05268,0.04214,0.83491,4.18583,0.25009,0,0.57413,0.56926,3.98601,10.8984,0.47935,4,0.05149,0.04299,-7.62776,-8.40214
"18","2014_Q3",43.62515625,"Down",2517100000,-1499500000,1017600000,-529600000,-482900000,-46700000,4.88e+08,14600000,14100000,5e+05,502600000,501800000,-129900000,371900000,371900000,371900000,371900000,4129221000,1992442000,2136779000,1822636000,1822636000,788833000,554992000,6740690000,1086116000,860488000,120952000,449541000,123295000,166700000,1946604000,8687294000,1388002000,119145000,1268857000,179660000,179660000,1567662000,128803000,19862000,108941000,128803000,1696465000,3.30872245021211e-24,519136000,513057000,6583153000,-111460000,6990829000,6990829000,8687294000,371900000,48800000,4600000.00000001,33600000,-33900000,4900000,-16999999.9999999,-108500000,-57500000,1.49e+08,408300000,-38700000,-38700000,-38700000,-208900000,-628300000,-9899999.99999997,-9900000,-257500000,-99600000,23100000,-122700000,-93500000,57299999.9999999,57299999.9999999,-9e+05,56400000,536800000,1.49011611938477e-08,6.11e+08,0.40427,0.19387,0.14775,0.0532,0.04281,1.64291,4.29984,0.24267,0,0.61178,0.60748,4.14065,11.49997,1.0051,4,0.05224,0.08582,-7.69229,-8.46152
"19","2014_Q4",46.315,"Up",2581100000,-1569800000,1011300000,-553800000,-506100000,-47700000,457500000,17500000,16900000,6e+05,4.75e+08,463800000,-108200000,355600000,355600000,355600000,355600000,4618479000,2617619000,2000860000,1809038000,1809038000,832509000,573035000,7260026000,1101468000,865549000,109692000,437776000,142733000,175348000,1967017000,9227043000,1572079000,130040000,1442039000,169385000,169385000,1741464000,103869000,18041000,85828000,103869000,1845333000,0,566591000,560502000,6938777000,-123658000,7381710000,7381710000,9227043000,355600000,49700000,-4300000,31200000,-45800000,10300000,182200000,-6500000,36500000,152200000,583200000,-55500000,-55500000,-55500000,120100000,-772700000,0,0,64600000,-9400000,1e+05,-9500000,-8400000,639400000,639400000,-14200000,625200000,507200000,0,742100000,0.39181,0.17725,0.13777,0.04817,0.03854,2.0869,4.16892,0.24999,0,0.58477,0.58095,4.24453,12.13897,1.22036,4,0.0475,0.09914,-9.10583,-10.09504
"20","2015_Q1",54.6722950819672,"Up",2742500000,-1639300000,1103200000,-623700000,-562600000,-61100000,479500000,12500000,14500000,-2e+06,4.92e+08,485200000,-122600000,362600000,362600000,362600000,362600000,3774700000,2010100000,1764600000,1968700000,1968700000,677200000,677200000,6420600000,1247200000,3811200000,953700000,2413600000,234200000,209700000,5058400000,1.1479e+10,1.668e+09,145700000,1522300000,224100000,224100000,2592100000,209200000,11800000,116400000,1146700000,3738800000,5.29395592033938e-23,561700000,555600000,7301600000,-123100000,7740200000,7740200000,1.1479e+10,362600000,62800000,-11400000,34400000,-56600000,10800000,-89800000,-91300000,-18600000,20100000,324200000,-74500000,-74500000,-74500000,219600000,-317700000,-2679500000,-2679500000,-2534400000,-25600000,51100000,-76700000,1611400000,-598800000,-598800000,-8800000,-607600000,542300000,1637500000,500600000,0.40226,0.17484,0.13222,0.04685,0.03159,1.38058,2.47699,0.48304,0.14265,0.5957,0.59171,4.5055,12.71595,0.82241,3,0.03782,0.05222,-3.94099,-4.45714
"21","2015_Q2",58.1968253968254,"Up",2911400000,-1727200000,1184200000,-683900000,-610800000,-73100000,500300000,12500000,1.3e+07,-5e+05,512800000,510600000,-127700000,382900000,382900000,382900000,382900000,3349800000,1271400000,2078400000,2059900000,2059900000,996800000,725100000,6406500000,1.268e+09,3708900000,928400000,2403600000,153300000,223600000,4976900000,11383400000,1403200000,181400000,1221800000,330900000,330900000,1884100000,395800000,237300000,111200000,1320800000,3204900000,0,613300000,607200000,7684500000,-119300000,8178500000,8178500000,11383400000,382900000,75600000,57300000,45800000,2.9e+07,-17500000,-326500000,-110700000,28300000,-244100000,189300000,-5.8e+07,-5.8e+07,-5.8e+07,-3.06e+08,-719700000,0,0,-3.64e+08,-1700000,36700000,-38400000,-557300000,-7.32e+08,-7.32e+08,-6700000,-738700000,575900000,1.075e+09,319100000,0.40675,0.17184,0.13152,0.04682,0.03364,0.83338,3.4003,0.39187,0.09444,0.62812,0.62372,4.77592,13.41617,0.52346,2,0.03968,0.03307,-3.94999,-4.54687
"22","2015_Q3",58.1978125,"Up",3085100000,-1844800000,1240300000,-694800000,-6.12e+08,-82800000,545500000,13700000,13500000,2e+05,559200000,548800000,-128700000,420100000,420100000,420100000,420100000,3566500000,1089300000,2477200000,2162200000,2162200000,1042700000,709200000,6771400000,1277300000,3748900000,906100000,2405300000,159800000,277700000,5026200000,11797600000,1517700000,1.69e+08,1348700000,288800000,288800000,1956500000,387800000,233600000,103900000,1300300000,3256800000,-8.470329472543e-22,526700000,520600000,8104600000,-90500000,8540800000,8540800000,11797600000,420100000,8.4e+07,-7000000.00000001,49400000,-65900000,9500000,-4.1e+07,-7.5e+07,-8899999.99999999,42900000,456100000,-75600000,-75600000,-75600000,-413900000,-846100000,0,0,-489500000,-143800000,31800000,-175600000,-149100000,-182500000,-182500000,400000.000000001,-182100000,629500000,1062500000,641600000,0.40203,0.17682,0.13617,0.04919,0.03561,1.52726,3.46098,0.38132,0.09006,0.6888,0.68431,5.05837,14.00361,1.05198,3,0.04205,0.06422,-3.97776,-4.59028
"23","2015_Q4",59.75578125,"Up",3.187e+09,-1934600000,1252400000,-709600000,-627100000,-82500000,542800000,1.6e+07,16400000,-4e+05,558800000,5.43e+08,-145800000,397200000,397200000,397200000,397200000,4050700000,1476700000,2.574e+09,2135700000,2135700000,1051500000,685600000,7237900000,1278900000,3750800000,881400000,2403600000,203700000,262100000,5029700000,12267600000,1815700000,160100000,1655600000,262700000,262700000,2128400000,412200000,2.3e+08,129200000,1312200000,3440600000,0,438500000,432400000,8501800000,-113300000,8.827e+09,8.827e+09,12267600000,397200000,82400000,1300000,46400000,-70400000,25300000,3.37e+08,-4900000,-2600000,344500000,817900000,-65100000,-65100000,-65100000,-111800000,-528100000,0,0,-176900000,-138800000,30400000,-169200000,-248500000,392500000,392500000,-5100000,387400000,625200000,9.5e+08,1042900000,0.39297,0.17032,0.12463,0.045,0.03238,2.62563,3.40063,0.38978,0.07744,0.65243,0.64828,5.23489,14.49901,1.71304,4,0.03898,0.10235,-4.95953,-5.71242
"24","2016_Q1",53.9022950819672,"Down",3232500000,-1933400000,1299100000,-745700000,-659100000,-86600000,553400000,22800000,23100000,-3e+05,576200000,561600000,-137800000,423800000,423800000,423800000,423800000,4.949e+09,2.125e+09,2.824e+09,2.253e+09,2.253e+09,7.07e+08,7.07e+08,7.909e+09,1.271e+09,3.881e+09,8.64e+08,2.405e+09,3.48e+08,2.64e+08,5.152e+09,1.3061e+10,1.984e+09,1.65e+08,1.819e+09,3.24e+08,3.24e+08,2.714e+09,1.92e+08,3e+06,1.4e+08,1.069e+09,3.783e+09,0,4.59e+08,4.53e+08,8.925e+09,-1.06e+08,9.278e+09,9.278e+09,1.3061e+10,423800000,8.8e+07,39400000,50400000,-18700000,7700000,138500000,-131400000,2200000,267700000,689700000,-74300000,-74300000,-74300000,-264300000,-910100000,-2e+06,-1999999.99999997,-340600000,-44700000,32100000,-76800000,306900000,6.56e+08,6.56e+08,-7600000,648400000,641400000,1.283e+09,843400000,0.40189,0.1712,0.13111,0.04568,0.03245,1.99009,2.91415,0.40774,0.09823,0.69692,0.69169,5.31574,15.25736,1.38694,7,0.03941,0.07843,-5.71562,-6.6245
