"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"25","2018_Q2",10.3378125,"Down",6567720,-4950068,1617652,-1207568,-1207568,410084,3663,3663,413747,413747,-112000,301747,301747,301747,301747,301747,261584,56497,-1602897,-983069,-620789,-3321,-624110,119075,119075,119075,-1488104,-1488104,-1488104,671668,0,-1440018,0.2463,0.06244,0.04594,-4.77227,0.08763,0.08763,1.90729,-0.41819
"26","2018_Q3",11.5115873015873,"Up",4811774,-3550083,1261691,-1226607,-1226607,35083.9999999999,7063,7063,42147,42146.9999999999,10000,52147,52147,52147,52147,52147,245595,0,-303122,-5380,-116054,-7616,-123670,5546,5546,5546.00000000003,-123504,-123504,-123504,280679,4.44089209850063e-16,-148497,0.26221,0.00729,0.01084,-2.84766,0.01511,0.01511,1.3942,-0.0430300000000001
"27","2018_Q4",11.9403174603175,"Up",6573658,-5118242,1455416,-1318787,-1318787,136629,8954,8954,145583,145583,-169000,-23417,-23417,-23417,-23417,-23417,260547,164000,-801605,-400475,-13452,-3972,-17424,5419,5419,5419,-412480,-412480,-412480,397176,0,-248881,0.2214,0.02078,-0.00356,10.62822,-0.00677,-0.00677,1.9003,-0.07195
"28","2019_Q1",12.6473770491803,"Up",6410815,-4821367,1589448,-1523612,-1523612,65836.0000000001,9057,-17804,74893,74892.9999999999,38000,112893,112893,112893,112893,112893,228198,174434,1177870,1693395,-186538,9758,-193536,57618,57618,57618,1557477,1557477,1557477,294034,-7.105427357601e-15,1247366,0.24793,0.01027,0.01761,11.0491,0.03246,0.03134,1.84317,0.35863
"29","2019_Q2",11.4619047619048,"Down",7314094,-5007831,2306263,-1374617,-1374617,931646,-12814,-12814,918832,918832,-178000,740832,740832,740832,740832,740832,287014,57308,3271461,4356615,-100402,-4012,-104414,10088,10088,10088,4262289,4262289,4262289,1218660,0,4567719,0.31532,0.12738,0.10129,6.16566,0.21371,0.21371,2.10988,1.31764
"30","2019_Q3",10.93515625,"Down",9479159,-7329815,2149344,-1719418,-1719418,429926,26591,26591,456517,456517,-81000,375517,375517,375517,375517,375517,268953,1.45519152283669e-11,-2572065,-1927595,-225352,-7535,-232887,4246,4246,4245.99999999999,-2156236,-2156236,-2156236,698879,0,-2017538,0.22674,0.04535,0.03962,-5.37269,0.1083,0.1083,2.73378,-0.58186
"31","2019_Q4",10.5315625,"Down",7812496,-5833620,1978876,-1458061,-1458061,520815,23971,50331.070075482,544786,544786,-99000,445786,445786,445786,445786,445786,268953,0,-1260896,-546157,-125737,-5374,-131111,4232,4232,4232,-673036,-673036,-673036,789768,0,-497865,0.2533,0.06666,0.05706,-1.11683,0.12852,0.12852,2.25242,-0.14354
"32","2020_Q1",10.9241935483871,"Up",9013282,-6399989,2613293,-1493888,-1493888,1119405,19985,51586.926011832,1139390,1139390,-157000,982390,982390,982390,982390,982390,248039,272409,-728178,774660,-21346,11902,-25953,31775,31775,31775,780482,780482,780482,1367444,9.09494701772928e-13,774920,0.28994,0.1242,0.10899,0.78881,0.2823,0.27688,2.59011,0.22269
"33","2020_Q2",10.2874603174603,"Down",5708639,-4025762,1682877,-1290531,-1290531,392346,37231,37231,429577,429577,-75000,354577,354577,354577,354577,354577,280398,55437,1043632,1734044,-72919,-5685,-78604,3377,3377,3377,1658817,1658817,1658817,672744,0,1718457,0.29479,0.06873,0.06211,4.8465,0.10193,0.10193,1.64106,0.494
"34","2020_Q3",9.929375,"Down",7702425,-5060703,2641722,-1526327,-1526327,1115395,26611,26611,1142006,1142006,-225000,917006,917006,917006,917006,917006,280398,0,4435756,5633160,-244502,-1431,-245933,3476,3476,3476,5390703,5390703,5390703,1395793,0,5812047,0.34297,0.14481,0.11905,6.33807,0.263590000000001,0.26359,2.21400999999998,1.67063
"35","2020_Q4",9.76078125,"Down",7234195,-4861257,2372938,-1437981,-1437981,934957,36795,36795,971752,971752,-189000,782752,782752,782752,782752,782752,280398,0,1631756,2694906,-674851,-6805,-681656,3380,3380,3380,2016630,2016630,2016630,1215355,0,2361260,0.32802,0.12924,0.1082,3.01661,0.22496,0.22496,2.07909,0.67862
"36","2021_Q1",10.944262295082,"Up",7736282,-5196729,2539553,-1679571,-1679571,859982,12659,-98395,872641,872641,103000,975641,975641,975641,975641,975641,299916,286660,-1791041,-228824,-238886,9049,-246196,35375,35375,1496875,1021855,1021855,1021855,1159898,1461500,-973029,0.32827,0.11116,0.12611,-0.99732,280.27607,0.27701,2222.43091,-279.52571
"37","2021_Q2",11.9826984126984,"Up",5759457,-4204889,1554568,-1363203,-1363203,191365,9646,9646,201011,201011,-25000,176011,176011,176011,176011,176011,289485,49717,-8086,507127,-244458,-7233,-251691,3738,3738,3738,259174,259174,259174,480850,0,253306,0.26992,0.03323,0.03056,1.43915,0.05048,0.05048,1.65165,0.07264
"38","2021_Q3",11.53953125,"Down",4717597,-4141209,576388,-1246204,-1246204,-669816,1470106,1470106,800290,800290,-155000,645290,645290,645290,645290,827608,649008,-1461500,1502697,1517813,-844611,-15158,-859769,7673,7673,7673,665717,665717,665717,-20808,0,792278,0.12218,-0.14198,0.13678,1.22779,0.185029999999962,0.18503,1.35271000000033,0.227179999999997
"39","2021_Q4",11.160625,"Down",4772371,-4368784,403587,-1223275,-1223275,-819688,643006,643006,-176682,-176682,359000,182318,182318,182318,182318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-819688,0,-1178688,0.08457,-0.17176,0.0382,-6.46501,0.05226,0.05226,1.36791,-0.33785
"40","2022_Q1",10.2714516129032,"Down",7260216,-6620068,640148,-1694092,-1694092,-1053944,-2060411,-2114065,-3114355,-142724,202000,59276,59276,59276,59276,59276.0000000001,274220,1718626,2953095,5005217,-532748,17474,-540336,32005,32005,32005,4496886,4496886,4496886,-779724,1.45519152283669e-11,1438623,0.08817,-0.14517,0.00816,24.26991,0.0169500000000009,0.01692,2.07586,0.411330000000001
"41","2022_Q2",9.19709677419355,"Down",7307737,-5435558,1872179,-1754039,-1472099,118140,63737,63737,181877,181877,0,181877,181877,181877,181877,181877,313785,2183667.91155828,-466462,29200,-461953,-5848,-467801,3833,3833,3833,-434768,-434768,-434768,431925,0,-496490,0.25619,0.01617,0.02489,-2.72981,0.05202,0.05202,2.09,-0.142
"42","2022_Q3",9.26453125,"Up",7757986,-5167463,2590523,-1810137,-1608860,780386,7418,7418,787804,787804,-128000,659804,659804,659804,659804,659804,323578,125764,-2512557,-1403411,-98206,-1401,-99607,4266,4266,4266,-1498752,-1498752,-1498752,1103964,-9.09494701772928e-13,-1378799,0.33392,0.10059,0.08505,-2.08971,0.19,0.19,2.23402,-0.39704
