"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q4",0.120625,"Up",6086465,-3527918,2558547,-2034949,-1939851,-95098,523598,-21494,-21494,502104,446012,248165,248165,248165,248165,1449773,1449773,1924428,1924428,660421,132421,4034622,179295,916082,26575,1095377,5129999,2248731,2234039,14692,0,265004,2092852,2092852,4606587,0,0,285002,4891589,11018991,-10780582,238410,238410,5129999,248165,248165,95098,94056,167014,604333,0,0,-93101,-93101,511232,511232,511232,618696,550006,0.42037,0.08603,0.04077,1.04092,0.04838,0.87584,20.51755,0.10721,0.06289,0.06287,1.54247,0.06042,0.31476,-1.4543,-1.71843
"12","2015_Q1",2.01533333333333,"Up",5197742,-3536106,1661636,-1981770,-1879252,-102518,-320134,-14033,-14033,-334167,-345259,-235895,-235895,-235895,-235895,1308337,1308337,2097454,2097454,463779,195779,3869570,295054,892206,26725,1187260,5056830,2278414,1393541,14716,870157,239847,2215114,2215114,4733375,2.27373675443232e-13,2.27373675443232e-13,309848,5043223,11030083,-11016477,13606,13606,5056829,-235895,-235895,102518,87095,128407,82125,-70772,-142647,-80914,-80914,-141436,-141436,-141436,-217616,549695,0.31968,-0.06159,-0.04538,-17.33757,-0.04665,0.81751,370.66169,0.1087,-0.05963,-0.05966,1.314,0.00344,-0.41877,3.48615,2.36976
"13","2015_Q2",2.5715873015873,"Up",6483114,-3682842,2800272,-2211900,-2099944,-111956,588372,-12217,-12217,576155,545750,521167,521167,521167,521167,2384381,2384381,2304636,2304636,763111,207056,5452128,281716,1266220,28988,1547936,7000064,2508931,1512820,14484,981627,244710,2471104,2471104,5224745,0,0,398117,5622862,11872512,-10495310,1377202,1377202,7000064,521167,521167,111956,-160095,-22270,450758,-24869,-104869,-81868,730155,1076044,1076044,1076044,700328,642827,0.43193,0.09075,0.08039,0.37842,0.07445,1.04352,4.08282,0.09183,0.12893,0.12864,1.60381,0.3407,0.258,-2.48677,-2.95995
"14","2015_Q3",2.48671875,"Down",5931419,-3520685,2410734,-2316126,-2195773,-120353,94608.0000000002,-13280,-13280,81327.9999999999,70796,44601,44601,44601,44601,2062756,2062756,1995753,1995753,1168701,284492,5227210,305880,1173439,26260,1479319,6706529,2027968,1135952,14196,877820,208777,2606919,2606919,4843664,1.81898940354586e-12,1.81898940354586e-12,394230,5237894,11919344,-10450709,1468635,1468635,6706529,44601,44600.9999999999,120353,56332,-439127,-217841,0,0,-103784,-103784,-321625,-321625,-321625,214961,603007,0.40643,0.01595,0.00752000000000003,0.0303699999999993,0.00665,1.07919,3.56649999999999,0.08991,0.01027,0.01027,1.36617,0.33827,0.0215299999999999,-6.79076,-15.42945
"15","2015_Q4",2.176875,"Down",7199783,-4294777,2905006,-2848643,-2664016,-184627,56363,-14347,-14347,42016,34001,16464,16464,16464,16464,1139404,1139404,2345593,2345593,1401057,422006,4886054,378192,2264032,27759,2642224,7528278,2088275,1292533,14514,781228,320719,2542803,2542803,4951797,0,0,824141,5775938,12186585,-10434245,1752340,1752340,7528278,16464,16464,184628,17515,-557688,-339081,-17932,-501403,-82868,-82868,-923352,-923352,-923352,240991,1144860,0.40349,0.00783,0.00229,0.0094,0.00219,0.98672,3.29613,0.15207,0.00374,0.00374,1.63363,0.39761,0.00568,0.02264,0.0968
"16","2016_Q1",1.49114754098361,"Down",8027666,-5300144,2727522,-3048217,-2980062,-68155,-320695,116361,-17639,-204334,-216242,-207927,-207927,-207927,-207927,1193313,1193313,2477301,2477301,1223162,443619,4893776,425347,3164426,29889,3589773,8483549,2680787,1594100,14817,1071870,390200,2498433,2369999,5569420,272213,272213,1357808,6927228,12198493,-10642172,1556321,1556321,8483549,-207927,-207927,68155,137408,235187,232823,-24682,-37103.9999999999,-91830,-141810,53908.9999999998,53909,53909,-252540,1475795,0.33977,-0.03995,-0.0259,-0.1336,-0.02451,0.87869,4.45103,0.17396,-0.04709,-0.04648,1.81788,0.35243,-0.06293,-1.11856,-0.880839999999996
"17","2016_Q2",1.2621875,"Down",7784301,-4853272,2931029,-2774706,-2603812,-170894,156323,-9246,-19246,147077,135125,74277,74277,74277,74277,673536,673536,2576863,2576863,1023012,306329,4273411,516771,3084343,29889,3601114,7874525,2665321,1644252,16661,1004408,388018,2212713,2087063,5266052,241740,241740,1230622,6496674,11945746,-10567895,1377851,1377851,7874525,74277,74277,170893,21452,-197815,68807,-149231,-191734,-98894,-396850,-519777,-519777,-519777,327216,1376900,0.37653,0.02008,0.00954,0.05391,0.00943,0.8115,4.71508,0.17485,0.01684,0.01659,1.76485,0.31239,0.11312,2.14954,4.49943
"18","2016_Q3",1.27828125,"Up",8562890,-5212533,3350357,-2853006,-2681442,-171564,497351,-19470,-19470,477881,465929,547120,547120,547120,547120,671429,671429,2878154,2878154,872708,322883,4422291,526075,3376275,31770,3902350,8324641,2928583,1589327,16982,1322274,608103,1874506,1782881,5411192,241740,241740,976526,6387718,11957698,-10020775,1936923,1936923,8324641,547120,547120,171564,-288711,-253624,176349,-2362.99999999994,-45000,-99431,-133456,-2107.00000000012,-2107,-2107,668915,1342889,0.39126,0.05808,0.06389,0.28247,0.06572,0.81725,3.29787,0.16131,0.12404,0.1222,1.94137,0.43914,0.15536,1.0038,1.35007
"19","2016_Q4",1.9484126984127,"Up",9534092,-5980723,3553369,-3046374,-2875066,-171308,506995,-12879,-13760,494116,489369,2751406,2751406,2751406,2751406,1710419,1710419,2586539,2586539,1520226,285668,5817184,516036,4855793,29567,5371829,11189013,3253705,2217166,14560,1021979,616722,1737184,1701935,5607611,241741,241741,888226,6495837,11962445,-7269369,4693176,4693176,11189013,2751406,2751406,171308,-1918992,267313,1271035,-25233,-73138,-102632,-158907,1038990,1038990,1038990,678303,1263207,0.3727,0.05318,0.28859,0.58626,0.2459,1.03737,1.3841,0.1129,0.6238,0.61451,2.16156,1.06401,0.44391,-0.65931,-0.88208
"20","2017_Q1",2.90758064516129,"Up",8240687,-5348200,2892487,-2743018,-2572124,-170894,149469,-13083,-12202,136386,122242,63596,63596,63596,63596,1621049,1621049,2501621,2501621,794657,331094,4917327,466202,5275900,28887,5742102,10659429,2838661,1822071,15533,1001057,401391,1870176,1690147,5110228,31685,31685,578285,5688513,12176688,-7205773,4970915,4970915,10659428,63596,63596,170895,14144,29333.9999999999,277969,-7974.99999999999,-186847,-115216,-180492,-89370,-89370,-89370,320364,947991,0.351,0.01814,0.00771999999999995,0.01279,0.00597,0.96225,1.14436,0.08893,0.01437,0.01425,1.86156,1.12292,0.0106899999999999,-2.10092,-4.50299
"21","2017_Q2",2.86507936507937,"Down",8002572,-4615523,3387049,-3022468,-2851632,-170836,364581,-8461,-8461,356120,279731,153853,153853,153853,153853,1360929,1360929,2266606,2266606,1042105,335088,4669640,475144,5183074,42240,5658218,10327858,2409835,1526630,15718,867487,395894,1937198,1757198,4742927,23891,23891,473339,5216266,12163511,-7051920,5111591,5111591,10327857,153853,153853,170836,196389,-387561,133517,-64928,-193599,-102649,-200038,-260120,-260120,-260120,535417,845342,0.42325,0.04556,0.01923,0.0301,0.0149,0.98455,1.02048,0.08185,0.0343,0.03426,1.78384,1.13942,0.0407,-0.96296,-1.41419
"22","2017_Q3",3.16666666666667,"Up",8508640,-5104552,3404088,-3203542,-3054501,-149041,200546,-8977,-8977,191569,183136,120494,120494,120494,120494,1539051,1539051,2544434,2544434,931032,441538,5014517,553485,5189433,33330,5742918,10757435,2515935,1462748,15905,1037282,386501,2238712,2123029,5141148,59875,59875,465584,5606732,12082128,-6931426,5150702,5150702,10757434,120494,120494,149042,90736,294425,654697,-90368,-256314,-102111,-220261,178122,178122,178122,349588,792210,0.40007,0.02357,0.01416,0.02339,0.0112,0.97537,1.08854,0.07364,0.02684,0.02681,1.89506,1.14717,0.03504,-2.13635,-3.72404
"23","2017_Q4",3.07047619047619,"Down",9586900,-5799042,3787858,-3229997,-3084411,-145586,557861,-8123,-8123,549738,541305,317823,317823,317823,317823,1664210,1664210,3050022,3050022,1308528,558975,6022760,490085,5101833,33330,5591918,11614678,3099425,1965785,16094,1117546,366086,2287841,2194716,5753352,62083,62083,384367,6137719,12090561,-6613603,5476958,5476958,11614677,317823,317823,145585,180791,-227905,416294,0,-166944,-103842,-124191,125159,125159,125159,703446,688370,0.39511,0.05819,0.03315,0.05803,0.02736,1.04683,1.12064,0.05927,0.07079,0.07072,2.13521,1.21984,0.05104,-1.38723,-1.74925
"24","2018_Q1",2.91032786885246,"Down",8753916,-5467471,3286445,-3368487,-3213653,-154834,-82041.9999999999,-6135,-6135,-88176.9999999998,-96609.9999999999,-1078639,-1078639,-1078639,-1078639,2235347,2235347,2336481,2336481,832119,403911,5403947,567532,4440769,36312,5008301,10412248,3279192,2094297,16283,1168612,352289,2214151,2150771,5845632,42255,42255,339495,6185127,11919362,-7692242,4227120,4227120,10412247,-1078639,-1078639,154833,729821,1298302,1104317,-145934,-198653,-105322,-334527,571137,571137,571137,72791,649529,0.37543,-0.00937000000000001,-0.12322,-0.25517,-0.10359,0.92444,1.4632,0.06238,-0.24023,-0.24087,1.94961,0.94143,-0.18277,-21.78591,19.32934
"25","2018_Q2",2.9421875,"Up",9310074,-5369336,3940738,-3798676,-3656042,-142634,142062,-6689,-6689,135373,81633,58387,58387,58387,58387,1807171,1807171,3024865,3024865,1051109,344146,5883145,512728,4522672,36312,5035400,10918545,3316315,2289691,14062,1012562,272044,2727962,2673295,6316321,26056,26056,262977,6579298,11973101,-7633855,4339246,4339246,10918544,58387,58387,142634,90713,-408339,-116605,-16334,-190733,-95926,-120838,-428176,-428176,-428176,284696,508965,0.42328,0.01526,0.00627,0.01346,0.00535,0.93142,1.51623,0.04661,0.01299,0.01298,2.07184,0.96565,0.01198,-4.55997,-9.13831
"26","2018_Q3",2.84142857142857,"Down",9683225,-5657328,4025897,-3987431,-3813389,-174042,38466,-8109,-8109,30357,24218,17218,17218,17218,17218,1154132,1154132,2858601,2858601,946270,380905,4959003,753405,6134906,40934,6888311,11847314,2654672,1646067,16064,992541,575584,2799476,2763533,6029732,35943,35943,1454978,7484710,11979240,-7616637,4362603,4362603,11847313,17218,17218,174043,13139.0000000001,-297688,-93288,-16408,-471996,-78918,-87755,-653039,-653039,-653039,212509,1994619,0.41576,0.00396999999999999,0.00177999999999999,0.00395000000000001,0.00144999999999999,0.82243,1.71565,0.16836,0.00381999999999999,0.00372999999999999,2.15099,0.96909,0.00269000000000001,3.95507,21.85013
"27","2018_Q4",2.32174603174603,"Down",11287057,-6771541,4515516,-4253732,-4000283,-253449,261784,-15089,-15089,246695,239982,170932,170932,170932,170932,1808089,1808089,2086706,2086706,894110,311081,4788905,729645,6044784,40934,6774429,11563334,3091022,1876070,14562,1200390,538453,2091114,2053391,5720589,0,0,1302496,7023085,11985953,-7445705,4540248,4540248,11563333,170932,170932,253449,55713,550265,1030359,-67505,-188568,-153671,-187834,653957,653957,653957,515233,1840949,0.40006,0.02319,0.01514,0.03765,0.01478,0.83713,1.54685,0.15921,0.03797,0.03522,2.50726,1.00855,0.02679,0.06378,0.12552
"28","2019_Q1",2.26262295081967,"Down",10719956,-6281703,4438253,-4394500,-4261540,-132960,43753.0000000001,-11795,-11795,31958,25245,15894.9999999999,15895,15895,15895,1900857,1900857,2378144,2378144,606754,434307,4885755,688122,6170508,39791,6858630,11744385,3848152,2028218,14628,1805306,513705,1871369,1848821,6233226,0,0,1176999,7410225,11763969,-7429810,4334159,4334159,11744384,15894.9999999999,15895,132959,80712,244532,474098,-45754,-212249,-150245,-169081,92768,92768.0000000002,92768.0000000002,176712,1690704,0.41402,0.00408,0.00148,0.00367,0.00135,0.78382,1.70973,0.14396,0.00353,0.00326999999999997,2.38163,0.96291,0.00263999999999999,-1.18924,-4.80317
"29","2019_Q2",2.02301587301587,"Down",10492758,-6015866,4476892,-4330350,-4121211,-209139,146542,-16480,-16480,130062,123349,96036,96036,96036,96036,653116,653116,2950300,2950300,893628,490103,4497044,616131,7229227,885050,7845358,12342402,2859245,2056220,14812,788213,549741,2751081,2480107,6160067,0,0,1745426,7905493,11770682,-7333774,4436908,4436908,12342401,96036,96036,209139,98395,-1061237,-657667,-2394,-200608,-150234,-389466,-1247741,-1247741,-1247741,355681,2295167,0.42666,0.01397,0.00915,0.02164,0.00778,0.73003,1.78176,0.18596,0.02134,0.02001,2.33133,0.98581,0.04769,4.61664,11.20533
"30","2019_Q3",2.31171875,"Up",10425525,-6163790,4261735,-4236320,-4014839,-221481,25415,-24131,-24131,1284,-2114.00000000006,-2890.00000000006,-2890,-2890,-2890,527660,527660,3215441,3215441,1074858,415744,4817959,842639,7130948,885379,7973587,12791546,2820923,1702526,14999,1103398,629791,3118194,2843077,6568908,1.45519152283669e-11,1.45519152283669e-11,1785221,8354129,11774080,-7336664,4437416,4437416,12791545,-2890.00000000006,-2890,221482,106916,-225943,99565,-21299,-57445.0000000005,-159222,-167576,-125456,-125456,-125456,246897,2415012,0.40878,0.00243999999999999,-0.000279999999999994,-0.000650000000000005,-0.00022999999999999,0.73345,1.88266,0.1888,-0.000640000000000054,-0.000609999999999972,2.31639,0.98593,-0.000420000000000052,7.64429,74.26134
"31","2019_Q4",2.70796875,"Up",7616313,-5399595,2216718,-3645809,-3537522,-108287,-1429091,506,-18171,-1428585,-1668844,-1640755,7668841,7668841,7668841,10721629,10721629,2692052,2692052,1937577,383984,15351258,752545,5624741,812626,6377286,21728544,5182004,2179904,15188,2986912,438574,2246008,1977439,7866586,502325,502325,1752301,9618887,11777480,332177,12109657,12109657,21728544,-1640755,-1640755,108286,362980,526556,-642933,-1528,10223676,-158633,-158633,9422110,10193969,10193969,-1320805,1688550,0.29105,-0.18764,1.0069,0.63328,0.35294,1.95145,0.79432,0.07771,1.7039,1.94795,1.69223,2.69058,0.53626,6.83907,6.32086
"32","2020_Q1",2.48064516129032,"Down",9967886,-6244777,3723109,-4119266,-3938138,-181128,-396157,24296,18968,-371861,-375261,79745,-967761.000000002,-967761.000000002,-967761.000000002,8658401,8658401,2529545,2529545,1788918,455434,12976864,712627,5263781,890998,5976408,18953272,5818733,2210618,15378,3592737,571526,2269003,2006983,8659262,436820,436820,1399350,10058612,9530244,-635584.000000001,8894660,8894660,18953272,79745,79745.0000000002,181129,-418093,454947,297728,-45451,-1812833,-154495,-154495,-1669600,-2063228,-2063228,-215028,1534056,0.37351,-0.0397399999999999,-0.0970899999999997,-0.1088,-0.0510599999999999,1.49861,1.13086,0.08094,-0.21501,-0.21501,2.21457,1.97613,-0.0890699999999999,33.13217,17.98364
"33","2020_Q2",1.72936507936508,"Down",10079524,-6227314,3852210,-4244001,-4067465,-176536,-391791,13325,7600,-378466,-381865,-292115,-292115,-292115,-292115,6481183,6481183,2947447,2947447,1412993,382746,10841623,675077,6224807,1680997,6899884,17741507,3203973,1800664,15565,1387744,528941,3510456,3066600,7243370,1044983,1044983,1892193,9135563,9533643,-927699,8605944,8605944,17741507,-292115,-292115,176536,-136364,-44722,-296665,-47012,527988,-157905,-2408541,-2177218,-2177218,-2177218,-215255,1376151,0.38218,-0.03887,-0.02898,-0.03394,-0.01647,1.49677,1.06154,0.07757,-0.0649,-0.0649,2.23926,1.91189,0.17761,23.71621,13.02999
"34","2020_Q3",2.4359375,"Up",9672944,-5734340,3938604,-3894560,-3714719,-173043,44044,-2561,-8247,41483,44882,33514,33514.0000000005,33514.0000000005,33514.0000000005,5428740.77337654,5428740.77337654,1966582,1966582,8390481,295489,10357063,625852,6007963,1567346,6633815,16990878,3435804,1612286,15751,1807767,485849,2752394,2317871,6674047,0,0,1673974,8348021,9537042,-894185,8642857,8642857,16990878,33514,33514,173043,131517,228966,567040,-31846,-31846,-157347,-157347,377847,377847,377847,217087,2159823,0.40718,0.00454999999999999,0.00346000000000003,0.00387999999999999,0.00197000000000001,1.55184,0.96589,0.12712,0.00745000000000003,0.00745000000000003,2.14894,1.92009,0.00309999999999999,5.69472304310045,-1.09203770049509
"35","2020_Q4",2.56015625,"Up",10159151,-6107161,4051990,-3961249,-3778796,-179057,90741,-4058,-5816,86683,86683,55205,55205,55205,55205,5174508.15557328,5174508.15557328,2009375,2009375,7986221,314177,9995596,570143,6604375,1612343,7174518,17170114,3782659,1892513,15939,1874207,570168,2358532,1877635,6711359,169938.231428945,169938.231428945,1757297,8468656,9540438,-838980,8701458,8701458,17170114,55205,55205,179057,-17700,-239802,-23240,-19137,370863,-134058,-134058,213565,213565,213565,269798,2327465,0.39885,0.00893,0.00543,0.00634,0.00322,1.48935,0.97325,0.13555,0.01226,0.01226,2.25695,1.93311,0.00501,-5.85826875154696,-9.33484082322217
"36","2021_Q1",5.3083606557377,"Up",11308787,-6572610,4736177,-4255786,-4078490,-177296,480391,-7053,-7153,473338,473338,379043,379043,379043,379043,6595416,6595416,1580242,1580242,452892,400820,8628550,523040,6749818,1572446,7272858,15901408,3545138,1875115,21206,1648817,663658,2520491,2039241,6729287,892470,892470,1892129,8621416,7739929,-459937,7279992,7279992,15901408,379043,379043,177296,281926,643691,1481956,-26787,-27197.0000000001,-131429,-1931938,-477179,-477179,-477179,657687,1663317,0.41881,0.04248,0.03352,0.05207,0.02384,1.28224,1.18426,0.1046,0.08421,0.08421,2.51235,1.61732,0.22159,-7.49916,-10.26684
"37","2021_Q2",7.17507936507937,"Up",10879468,-6132931,4746537,-4253264,-4054226,-198046,493273,-10025,-10025,483248,483248,354679,354679,354679,354679,9356136,9356136,1904057,1904057,1443812,933049,12704005,534744,6373179,1444513,6907923,19611928,3140546,1447079,22442,1671025,399652,3037800,2575426,6577998,783413,783413,1345158,7923156,11794030,-105258,11688772,11688772,19611928,354679,354679,198541,257394,-1311075,-500461,-34032.6119563845,-342209.964255861,-121171,3261181,2760720,2760720,2760720,691814,961397,0.43628,0.04534,0.0326,0.03034,0.01808,1.93129,0.67784,0.04902,0.07443,0.07441,2.28306,2.4529,0.0264,-12.13439,-17.01844
"38","2021_Q3",8.25890625,"Up",10229209,-5958529,4270680,-4066776,-3807383,-210453,203904,-7167,-7167,196737,196737,130289,130289,130289,130289,9427360,9427360,1470391,1470391,1658165,1519417,12555916,661647,6969258,1429151,7630905,20186821,2310772,1142737,22629,1145406,604819,2985361,2469811,5900952,719782,719782,1695752,7596704,12565086,25031,12590117,12590117,20186821,130289,130289,210817,200750,-880219,-338363,-72121,-217824,-94705,627411.000000001,71223.9999999995,71223.9999999995,71223.9999999995,414721,1580789,0.4175,0.01993,0.01274,0.01035,0.00645,2.12778,0.60339,0.07831,0.02734,0.02733,2.14661,2.64205,0.00875,-18.92012,-38.48169
