"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",24.525,"Down",115931000,-47558000,-9335000,-36735000,-1488000,68373000,-29719000,-29719000,38654000,33159000,-405000,32754000,37458000,37458000,26976000,2794000,2794000,17187000,17187000,7110000,7110000,27091000,4727578000,5629079000,-901501000,281657000,264647000,5009235000,5036326000,1945124000,38026000,1907098000,39499000,39499000,2593623000,0,2593623000,2569871000,-736531000,2442703000,2442703000,5036326000,32754000,36735000,4783000,-26172000,52595000,-431073000,19152000,-411921000,-69649000,425181000,0,524000,356056000,-3270000,-3270000,-3270000,105108000,6.09e+08,-351732000,0.58977,0.23269,0.01104,0.00536,-13.0387,0.01045,1.06178,0.12092,0.19689,0.19664,0.84613,13.38074,-2.56714,0.50834,0.03166,-0.11526,2.58189,5.76746,8.86616
"12","2013_Q1",27.2701666666667,"Up",143772000,-68185000,-10348000,-41687000,-16150000,75587000,-35666000,-35666000,39921000,33878000,154000,34032000,39023000,39023000,28540000,5248000,5248000,21659000,21659000,19219000,19219000,46126000,5022918000,5920685000,-897767000,360304000,101234000,5383222000,5429348000,2806024000,70426000,2735598000,52530000,52530000,3016554000,-1.86264514923096e-09,3016554000,2572092000,-768661000,2412794000,2412794000,5429348000,34032000,41687000,5761000,33768000,117941000,-365098000,-17701000,-382799000,-71112000,348442000,2.98023223876953e-08,-10018000,267312000,2454000,2454000,2454000,117274000,1.58e+08,-214210000,0.52574,0.19851,0.01183,0.00526,-7.50561,0.01529,1.25023,0.0291,0.20741,0.20781,1.04484,13.10617,-1.55674,0.5168,0.03876,-0.08332,2.49166,1.30252,2.02088
"13","2013_Q2",29.8446875,"Up",175522000,-87949000,-11628000,-66749000,-9572000,87573000,-41599000,-41599000,45974000,33944000,-577000,33367000,73226000,73217000,62735000,4159000,4159000,24594000,24594000,10499000,10499000,39252000,7692418000,8639246000,-946828000,1031933000,167292000,8724351000,8763603000,3304977000,51724000,3253253000,130637000,130637000,3552214000,7e+07,3622214000,5325854000,-807626000,5127591000,5141389000,8763603000,33367000,66749000,2627000,-48761000,56274000,-100051000,10841000,-89210000,-95459000,-624719000,755495000,-3470000,31847000,-1089000,-1089000,-1089000,154322000,186600000,6087000,0.49893,0.35742,0.0122,0.00716,0.09703,0.01105,0.70452,0.02129,0.35413,0.35332,0.9908,25.50477,0.03436,0.53885,0.02969,0.00114000000000002,1.52162,1.18221,2.0833
"14","2013_Q3",26.513125,"Down",186443000,-93748000,-12088000,-73906000,-7754000,92695000,-39232000,-39232000,53463000,52568000,-624000,51944000,56517000,56440000,45957000,22575000,22575000,27507000,27507000,16808000,16808000,66890000,8213903000,9211982000,-998079000,1134740000,146857000,9348643000,9415533000,3393800000,77411000,3316389000,145647000,145647000,4240447000,7e+07,4310447000,5329715000,-870199000,5068879000,5105086000,9415533000,51944000,73906000,2528000,35137000,165159000,-648323000,38174000,-610149000,-117175000,582838000,-359000,-1898000,463406000,18416000,18416000,18416000,166601000,7.71e+08,-445961000,0.49718,0.24649,0.009,0.00488,-9.70388,0.01577,0.84434,0.08189,0.2277,0.22712,0.92375,22.09515,-2.20956,0.58056,0.02776,-0.07589,2.54967,4.49232,8.07406
"15","2013_Q4",25.46671875,"Down",202080000,-105927000,-16640000,-80821000,-8466000,96153000,-49836000,-49836000,46317000,46077000,-569000,45508000,51907000,51571000,41089000,9960000,9960000,32169000,32169000,17276000,17276000,59405000,8703802000,9755752000,-1051950000,1117720000,146088000,9821522000,9880927000,4119716000,69299000,4050417000,176485000,176485000,4764601000,7e+07,4834601000,5333761000,-932876000,5010248000,5046326000,9880927000,45508000,80821000,5231000,-8199000,124234000,-538010000,25964000,-512046000,-117357000,503867000,-51000,-11262000,375197000,-12615000,-12615000,-12615000,176974000,538400000,-368666000,0.47582,0.20333,0.00814,0.00416,-8.97238,0.01247,0.95804,0.05449,0.20338,0.20203,1.00023,21.78301,-1.82478,0.58088,0.02837,-0.06601,2.85617,2.98598,5.49582
"16","2014_Q1",26.6683606557377,"Up",216164000,-114877000,-16525000,-85293000,-13059000,101287000,-50775000,-50775000,50512000,50374000,-580000,49794000,64633000,64336000,53853000,10257000,10257000,39323000,39323000,12022000,12022000,61602000,8784587000,9899475000,-1114888000,1078252000,127133000,9862839000,9924441000,4112803000,102511000,4010292000,192280000,192280000,4433083000,7e+07,4503083000,5767878000,-991794000,5385447000,5421358000,9924441000,49794000,85293000,4140000,38821000,173239000,-143099000,22493000,-120606000,-121161000,-356796000,378489000,47132000,-52336000,297000,297000,297000.000000004,186580000,1.98e+08,82882000,0.46857,0.24913,0.00993,0.00543,1.53904,0.0139,0.83062,0.01995,0.25578,0.25843,1.02668,22.68422,0.39365,0.57546,0.03114,0.01475,2.24985,1.00623,1.85357
"17","2014_Q2",28.4579365079365,"Up",221572000,-113433000,-12886000,-89970000,-10577000,108139000,-51720000,-51720000,56419000,56007000,-1091000,54916000,57993000,57661000,47179000,14142000,14142000,40329000,40329000,12145000,12145000,66616000,9341080000,10520630000,-1179550000,1073085000,71424000,10414165000,10480781000,4119949000,70340000,4049609000,195964000,195964000,5056013000,7e+07,5126013000,5774395000,-1058120000,5325638000,5354768000,10480781000,54916000,89970000,2657000,-33347000,114196000,-603980000,10861000,-593119000,-123896000,610303000,655541300.80763,-3599000,482808000,3885000,3885000,3885000,198109000,810100000,-438127000,0.48805,0.21293,0.00881,0.0045,-9.28648,0.01318,0.95728,0.07729,0.22085,0.22051,1.03719,22.07704,-2.05089,0.57996,0.02775,-0.07107,2.62608,4.01778,7.36051
"18","2014_Q3",29.39625,"Up",228646000,-114608000,-11587000,-92894000,-10127000,114038000,-52712000,-52712000,61326000,62792000,-570000,62222000,62242000,61903000,51420000,8908000,8908000,43751000,43751000,9598000,9598000,62257000,9611531000,10860992000,-1249461000,1138614000,74919000,10750145000,10812402000,4595737000,98973000,4496764000,211451000,211451000,4877988000,7e+07,4947988000,6357084000,-1130746000,5835701000,5864414000,10812402000,62222000,92894000,-785000,30249000,184580000,-295425000,1198000,-294227000,-131712000,-339558000,528627000,47056000,104413000,-5234000,-5234000,-5234000,206932000,140800000,-57674000,0.49875,0.22489,0.00877,0.00476,-1.12163,0.01276,0.84373,0.01302,0.22538,0.22496,1.00217,22.90748,-0.25279,0.5773,0.0305,-0.0096,2.56149,0.63737,1.15656
"19","2014_Q4",30.93671875,"Up",235714000,-119056000,-11026000,-95260000,-12770000,116658000,-52814000,-52814000,63844000,74325000,-697000,73628000,73628000,73283000,57941000,16936000,16936000,47852000,47852000,15757000,15757000,80545000,9686084000,11003844000,-1317760000,1173211000,97797000,10859295000,10939840000,4768799000,78271000,4690528000,245655000,245655000,5059454000,7e+07,5129454000,6361400000,-1194987000,5781790000,5810386000,10939840000,73628000,95260000,-12241000,-15342000,141305000,-176986000,9975000,-167011000,-132574000,167230000,-12000,-910000,33734000,8028000,8028000,8028000,211918000,1.15e+08,20287000,0.49491,0.24581,0.00997,0.0053,0.35013,0.01592,0.88281,0.01051,0.25252,0.25219,1.0273,22.51653,0.08842,0.57779,0.03215,0.00342000000000001,2.28809,0.46275,0.84061
"20","2015_Q1",35.3314754098361,"Up",247573000,-132520000,-15586000,-96537000,-20397000,115053000,-59120000,-59120000,55933000,79477000,-1103000,78374000,78077000,77788000,71018000,3852000,3852000,64386000,64386000,14840000,14840000,83078000,9766700000,11153571000,-1386871000,1162844000,107650000,10929544000,11012622000,4804909000,123287000,4681622000,273614000,273614000,5301523000,7e+07,5371523000,6464987000,-1246964000,5613401000,5641099000,11012622000,78374000,96537000,-22806000,35506000,187611000,-151852000,31350000,-120502000,-129374000,170411000,0,-121230000,-80193000,-13084000,-13084000,-13084000,211590000,2.93e+08,96347000,0.46472,0.28686,0.01259,0.00645,1.35666,0.01567,0.95221,0.02661,0.30839,0.30772,1.07505,22.6585,0.41837,0.56179,0.03377,0.01624,1.82171,1.36655,2.51317
"21","2015_Q2",32.6547619047619,"Down",246867000,-124875000,-12862000,-98037000,-13976000,121992000,-58468000,-58468000,63524000,68655000,-1074000,67581000,67581000,67264000,60494000,12190000,12190000,66831000,66831000,9394000,9394000,88415000,9843747000,11303067000,-1459320000,1159991000,87721000,11003738000,11092153000,4708096000,77594000,4630502000,269595000,269595000,5347691000,7e+07,5417691000,6569610000,-1314952000,5650036000,5674462000,11092153000,67581000,98037000,-3704000,-44062000,117852000,-202781000,39012000,-163769000,-133452000,95704000,268255484.685379,92003000,54255000,8338000,8338000,8338000,220029000,4.4e+08,-25740000,0.49416,0.24505,0.01066,0.00545,-0.4255,0.01653,0.95475,0.03967,0.26012,0.25957,1.06153,22.59509,-0.11068,0.57385,0.03172,-0.00421,2.20604,1.94433,3.50687
"22","2015_Q3",32.6259375,"Down",253861000,-128648000,-12609000,-101101000,-14938000,125213000,-58680000,-58680000,66533000,66978000,-628000,66350000,66350000,66086000,59316000,18741000,18741000,70318000,70318000,8965000,8965000,98024000,10480701000,12015481000,-1534780000,1149589000,82490000,11630290000,11728314000,4715437000,112824000,4602613000,278404000,278404000,5423841000,3.2e+08,5743841000,6953679000,-1388854000,5960203000,5984473000,11728314000,66350000,101101000,3194000,33213000,203858000,-721760000,10286000,-711474000,-138365000,282005000,276430000,94097000,514167000,6551000,6551000,6551000,226314000,7.5e+08,-461605000,0.49323,0.23366,0.00991,0.00506,-7.78213,0.01807,0.95979,0.06395,0.24719,0.24675,1.05793,23.19066,-1.92368,0.57662,0.02935,-0.06854,2.33268,3.23117,5.84012
"23","2015_Q4",34.96953125,"Up",258889000,-128739000,-10860000,-104338000,-13541000,130150000,-63950000,-63950000,66200000,68559000,-746000,67813000,67813000,67475000,60705000,7074000,7074000,74977000,74977000,13346000,13346000,95397000,10495965000,12105879000,-1609914000,1147207000,88281000,11643172000,11738569000,4637612000,97219000,4540393000,278121000,278121000,5354733000,3.2e+08,5674733000,7107662000,-1463392000,6039648000,6063836000,11738569000,67813000,104338000,2047000,-22960000,151238000,-137330000,17316000,-120014000,-141260000,-52534000,0,150903000,-42891000,-11667000,-11667000,-11667000,234488000,7.59e+08,74944000,0.50273,0.23448,0.01001,0.00517,1.23456,0.01782,0.93583,0.06466,0.24879,0.24837,1.061,23.13187,0.30714,0.57892,0.0296,0.01098,2.32699,3.20667,5.77738
"24","2016_Q1",41.1852459016393,"Up",263668000,-131603000,-12967000,-105739000,-12897000,132065000,-51981000,-51981000,80084000,83832000,-721000,83111000,83111000,82941000,76171000,40294000,40294000,81678000,81678000,9767000,9767000,131739000,10609117000,12296782000,-1687665000,1104523000,54785000,11713640000,11845379000,4430330000,115826000,4314504000,304881000,304881000,4973211000,318835000,5292046000,7666428000,-1530210000,6531596000,6553333000,11845379000,83111000,105739000,-6831000,38600000,220619000,-205014000,-12338000,-217352000,-147241000,-408528000,517129000,36303000,-2337000.00000006,930000.000000007,930000.000000007,930000,237804000,556835000,72110999.9999999,0.50088,0.28889,0.01162,0.00643,0.946699999999999,0.02649,0.80754,0.04701,0.2967,0.29613,1.02703,23.90156,0.28088,0.57353,0.03142,0.01014,1.93303,2.17213,3.91126
"25","2016_Q2",45.339375,"Up",267116000,-135356000,-12318000,-107933000,-15105000,131760000,-60678000,-60678000,71082000,71448000,-964000,70484000,70484000,70243000,63473000,8695000,8695000,82990000,82990000,1778000,1778000,93463000,10866489000,12634761000,-1768272000,1077151000,44457000,11943640000,12037103000,4272001000,86328000,4185673000,292704000,292704000,5217705000,318908000,5536613000,7699837000,-1616216000,6478999000,6500490000,12037103000,70484000,107933000,6017000,-48144000,136290000,-313169000,18476000,-294693000,-154115000,250661000,673327337.440381,30258000,126804000,-31599000,-31599000,-31599000,239693000,971908000,-120656000,0.49327,0.23762,0.00976,0.00527,-1.9009,0.01791,0.85172,0.08074,0.24585,0.24533,1.03461,23.56354,-0.46733,0.59693,0.02912,-0.01615,2.42804,4.01853,7.31036
"26","2016_Q3",49.7840625,"Up",271039000,-138999000,-13986000,-110342000,-14671000,132040000,-57410000,-57410000,74630000,77020000,-953000,76067000,76067000,75815000,69045000,20443000,20443000,87166000,87166000,9991000,9991000,117600000,10998155000,12839945000,-1841790000,1133676000,55411000,12131831000,12249431000,4300670000,130024000,4170646000,297703000,297703000,5110373000,318981000,5429354000,8105229000,-1699966000,6800641000,6820077000,12249431000,76067000,110342000,2915000,35813000,225137000,-305171000,8776000,-296395000,-158006000,-157994000,383525000,15481000,83006000,11748000,11748000,11748000,242382000,830981000,-26023000,0.48716,0.25474,0.01012,0.00564,-0.3769,0.02301,0.79608,0.06784,0.26401,0.26332,1.03639,24.49231,-0.09951,0.60418,0.02968,-0.0034,2.28845,3.34405,6.13858
"27","2016_Q4",42.7107936507937,"Down",277174000,-141698000,-12103000,-113917000,-15678000,135476000,-52951000,-52951000,82525000,78097000,-895000,77202000,77202000,77072000,70302000,29801000,29801000,94498000,94498000,24815000,24815000,149114000,11238843000,13152423000,-1913580000,1148496000,45683000,12387339000,12536453000,4001952000,97541000,3904411000,362950000,362950000,5446902000,319054000,5765956000,8144983000,-1785630000,6754731000,6770497000,12536453000,77202000,113917000,4037000,22627000,217783000,-409577000,27296000,-382281000,-161963000,302599000,47000,33173000,173856000,9358000,9358000,9358000,249393000,1401054000,-136662000,0.48878,0.25364,0.01038,0.00561,-1.94393,0.02738,0.85163,0.11176,0.26376,0.26318,1.0399,23.85907,-0.51273,0.60765,0.02842,-0.01672,2.30382,5.49836,10.12174
"28","2017_Q1",44.5554838709677,"Up",287843000,-148721000,-13559000,-117751000,-17411000,139122000,-48935000,-48935000,90187000,93174000,-450000,92724000,92724000,92441000,85671000,9420000,9420000,104584000,104584000,26575000,26575000,140579000,11877216000,13864416000,-1987200000,1135076000,37689000,13012292000,13152871000,4576869000,121156000,4455713000,349822000,349822000,6046691000,319127000,6365818000,8228594000,-1857168000,6766804000,6787053000,13152871000,92724000,117751000,-8580000,18758000,220653000,-770975000,43637000,-727338000,-163512000,581980000,0,64058000,482526000,-24159000,-24159000,-24159000,256873000,1439127000,-494894000,0.48333,0.29763,0.01262,0.00651,-5.77668,0.02325,0.93794,0.10942,0.32126,0.32067,1.07938,23.89205,-1.85579,0.61315,0.03029,-0.06016,1.9086,5.56581,10.27664
"29","2017_Q2",43.0138095238095,"Down",298025000,-153737000,-13565000,-121097000,-19075000,144288000,-59305000,-59305000,84983000,90082000,-1047000,89035000,89035000,88870000,71586000,27598000,27598000,103759000,103759000,11790000,11790000,143147000,12084050000,14159761000,-2075711000,1194989000,71857000,13279039000,13422186000,5248949000,86638000,5162311000,390564000,390564000,5639513000,319200000,5958713000,8987933000,-1952990000,7443693000,7463473000,13422186000,89035000,121097000,-3259000,9146000,216019000,-374573000,27513000,-347060000,-168674000,-410308000,705012000,44329000,170359000,39318000,39318000,39318000,265385000,319200000,-98995000,0.48415,0.2402,0.00959,0.00533,-1.38288,0.02538,0.79838,0.02378,0.26341,0.26282,1.09662,25.8859,-0.36426,0.62066,0.03087,-0.01272,2.35624,1.09879,2.02097
"30","2017_Q3",43.6715873015873,"Up",300170000,-155356000,-15781000,-123089000,-16486000,144814000,-63680000,-63680000,81134000,81700000,-441000,81259000,81259000,81136000,81136000,10945000,10945000,107147000,107147000,12463000,12463000,130555000,12194735000,14362983000,-2168248000,1248826000,53643000,13443561000,13574116000,5194654000,115595000,5079059000,391137000,391137000,6233791000,319273000,6553064000,9046533000,-2045127000,7001406000,7021052000,13574116000,81259000,123089000,5830000,35642000,245820000,-321543000,7321000,-314222000,-172874000,563605000,-74000,-354843000,35814000,-32588000,-32588000,-32588000,267903000,967273000,-17557000,0.48244,0.2703,0.01156,0.00598,-0.216390000000001,0.02094,0.93335,0.07126,0.28829,0.28777,1.06657,24.87747,-0.06238,0.61426,0.0318,-0.0022,2.13067,3.56968,6.60384
"31","2017_Q4",43.1255555555556,"Down",306920000,-158717000,-13881000,-127569000,-17267000,148203000,-62950000,-62950000,85253000,89205000,-1133000,88072000,88072000,87940000,87940000,3199000,3199000,113721000,113721000,2874000,2874000,119794000,12344902000,14609937000,-2265035000,1236723000,56721000,13581625000,13701419000,4962731000,92947000,4869784000,387414000,387414000,6008145000,319347000,6327492000,9488043000,-2133614000,7354429000,7373927000,13701419000,88072000,127569000,-319000,-35613000,179709000,-268603000,35656000,-232947000,-174607000,-202009000,0,437805000,61189000,7951000,7951000,7951000,275772000,977347000,-27311000,0.48287,0.28652,0.01193,0.00642,-0.31056,0.01994,0.85809,0.07133,0.30908,0.30848,1.07871,25.84798,-0.09599,0.61368,0.03144,-0.00327,1.98552,3.53244,6.57307
