"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",11.3268253968254,"Down",7022000,-14615000,-7330000,-7285000,-11440000,-578000,-578000,-12018000,-12018000,-12018000,-12018000,-12018000,-12018000,37011000,37011000,10484000,6923000,3561000,57642000,4978000,18221000,23199000,80841000,16085000,16085000,2205000,2205000,18290000,4006000,4006000,23421000,41711000,178556000,-139426000,39130000,39130000,80841000,-12018000,583000,792000,-3201000,-13844000,-153000,-153000,-58000,20373000,6376000,6376000,6376000,-10857000,19415000,-1.62917,-1.71148,-0.30713,-0.14866,3.15156,1.06596,0.24016,-6.1057,-6.1057,3.5675,19.87984,-0.19213,1.62071,1.53811
"12","2019_Q3",10.935,"Down",7360000,-14271000,-6538000,-7733000,-12896000,-436000,-436000,-13332000,-13332000,-13332000,-13332000,-13332000,-13332000,20957000,20957000,8370000,5200000,3170000,43672000,4610000,17845000,22455000,66127000,14439000,14439000,2159000,2159000,16598000,3772000,3772000,23330000,39928000,178957000,-152758000,26199000,26199000,66127000,-13332000,573000,513000,-3645000,-15891000,0,4.65661287307739e-10,21000.0000000001,-113000,-16004000,-16004000,-16004000,-12323000,19558000,-1.75217,-1.81141,-0.50887,-0.20161,2.63116,1.52403,0.29576,-4.13178,-4.13178,2.28097,8.11944,-0.26918,0.11353,0.10848
"13","2019_Q4",8.48984375,"Down",-14382000,-4140000,1197000,-5337000,-8690000,-625000,-625000,-9315000,-9315000,-8316000,-6924000,-6924000,-6924000,17683000,17683000,3706000,2215000,1491000,36789000,4271000,19496000,23767000,60556000,15556000,15556000,1989000,1989000,37252000,3559000,3559000,3559000,40811000,179427000,-159682000,19745000,19745000,60556000,-6924000,546000,-3662000,2492000,-7548000,0,4250000,0,24000,-3274000,-3274000,-3274000,-8144000,19707000,0.60423,0.48144,-0.35067,-0.11434,0.98757,2.0669,0.32543,-2.14231,-2.14231,-4.44984,6.10917,-0.16098,-0.24853,-0.23291
"14","2020_Q1",6.73016129032258,"Down",-24370467.3890649,-7936000,-3528000,-4408000,-7936000,-463000,-463000,-8399000,-8399000,-9398000,-8174000,-8174000,-8174000,12448000,12448000,17547000,1078000,160000,29995000,3946000,19467000,23413000,53408000,9298000,9298000,944000,944000,30105000,11461000,11461000,11461000,41566000,179698000,-167856000,11842000,11842000,53408000,-8174000,533000,377999.999999999,2163000,-5100000,0,-1.86264514923096e-09,-21000,-135000,-5235000,-5235000,-5235000,-7403000,19863000,0.751181263794499,0.479757085514482,-0.69026,-0.15305,0.99635,3.51005,0.37191,-2.52563,-2.52563,-7.32252726472123,3.65898,-0.18936,-1.00162,-0.93435
"15","2020_Q2",5.39587301587302,"Down",-19064381.056391,-7622000,-3616000,-4006000,-7622000,-275000,-275000,-7897000,-10001000,-10001000,2897000,2897000,2897000,12258000,12258000,2567000,1343000,1224000,14825000,3629000,6790000,10419000,25244000,6086000,6086000,907000,907000,6993000,3099000,3099000,3099000,10092000,180111000,-164959000,15152000,15152000,25244000,2897000,455000,-11684000,-2843000,-11175000,-2135.72980808074,28120000,-11072374.9235669,-22104000,-5159000,-5159000,-5159000,-7167000,0,-1.29596750130039,-1.72004901045797,0.1912,0.11476,2.11998,0.66605,0,0.88591,0.88591,-5.65270360720868,4.63351,0.15873,1.71034,1.60824
"16","2020_Q3",8.1115625,"Up",-7455854.19552164,-7280000,-2840000,-4440000,-6807000,4000,4000,-6803000,-6803000,-6803000,-6803000,-6803000,-6803000,7599000,7599000,2889000,641000,2248000,10488000,3320000,4701000,8021000,18509000,6081000,6081000,921000,921000,7002000,2857000,2857000,2857000,9859000,180412000,-171762000,8650000,8650000,18509000,-6803000,309000,301000,1560000,-4633000,-23816.7315034673,0,-24545600.7465828,0,-4633000,-4633000,-4633000,-6498000,0,-3.61140251574508,-4.09992810120144,-0.78647,-0.36755,1.49786,1.13977,0,-2.08124,-2.08124,-2.15327814609179,2.64629,-0.59121,1.16944,1.11635
"17","2020_Q4",27.68953125,"Up",1462999.99999999,-7709000,-3215000,-4494000,-6246000,-702000,-702000,-6948000,-6948000,-6948000,-6791000,-6791000,-6791000,24942000,24942000,5711000,1487000,4224000,30653000,3020000,3747000,6767000,37420000,5993000,5993000,1424000,1424000,7417000,2602000,2602000,27801000,35218000,180755000,-178553000,2202000,2202000,37420000,-6791000,3e+05,812000,-1708000,-7387000,-55589.3674471202,0,-25754026.1963072,24730000,17343000,17343000,17343000,-5946000,25199000,-4.26931,-4.64183,-3.08401,-0.18148,4.1328,15.99364,0.67341,-2.1484,-2.1484,0.462839999999995,0.69663,-0.22634,-0.04322,-0.04115
"18","2021_Q1",34.2749180327869,"Up",2373000,-9192000,-4280000,-4912000,-6819000,-352000,-352000,-7171000,-7171000,-7171000,-7053000,-7053000,-7053000,39979000,39979000,7285000,2228000,5057000,47264000,2815000,3468000,6283000,53547000,8340000,8340000,1199000,1199000,14539000,2360000,2360000,22414000,36953000,202200000,-185606000,16594000,16594000,53547000,-7053000,342000,3000,584999.999999999,-6123000,-88000,-87999.9999999991,-10999.9999999851,21248000,15037000,15037000,15037000,-6477000,25054000,-2.87358,-2.97219,-0.42503,-0.13172,3.25084,2.22689,0.46789,-1.82536,-1.82536,0.61415,4.29462,-0.16027,2.30431,2.18874
"19","2021_Q2",25.42,"Down",2421000,-9309000,-3947000,-5362000,-6888000,-782000,-782000,-7670000,-7670000,-7670000,-7256000,-7256000,-7256000,57524000,57524000,5326000,1565000,3761000,62850000,2712000,3191000,5903000,68753000,6448000,6448000,12729000,12729000,29344000,24291000,24291000,28905000,58249000,203366000,-192862000,10504000,10504000,68753000,-7256000,294000,871000,-1413000,-7504000,-191000,-191000,33900000,23942000,16247000,16247000,16247000,-6594000,14781000,-2.84511,-2.99711,-0.69078,-0.10554,2.14183,5.54541,0.21499,-1.6422,-1.6422,0.54793,2.37729,-0.14636,6.4821,6.20543
"20","2021_Q3",18.21046875,"Down",3110000,-8832000,-4110000,-4722000,-5722000,-2342000,-2342000,-8064000,-8064000,-8064000,-7932000,-7932000,-7932000,60394000,60394000,5371000,936000,4435000,65765000,2804000,2905000,5709000,71474000,6399000,6399000,13798000,13798000,30864000,22406000,22406000,26729000,57593000,214675000,-200794000,13881000,13881000,71474000,-7932000,299000,2629000,-49000,-5053000,-391000,-391000,-2421000.00000001,8316000,2872000,2872000,2872000,-5423000,14990000,-1.83987,-2.55048,-0.57143,-0.11098,2.1308,4.14905,0.20973,-1.74823,-1.74823,0.68545,3.0594,-0.15469,8.37249,7.93499
"21","2021_Q4",11.69171875,"Down",3096000,-7846000,-3479000,-4367000,-4750000,-2327000,-2327000,-7077000,-7077000,-7077000,-6997000,-6997000,-6997000,52118000,52118000,6755000,2391000,4364000,58873000,2521000,2611000,5132000,64005000,5252000,5252000,15961000,15961000,32380000,20321000,20321000,24333000,56713000,215083000,-207791000,7292000,7292000,64005000,-6997000,295000,2352000,-892000,-5242000,-13000,-5544000,2421000,2510000,-8276000,-8276000,-8276000,-4455000,15179000,-1.53424,-2.26001,-0.95954,-0.10932,1.81819,7.77743,0.23715,-1.429,-1.429,0.6323,1.48925,-0.16351,8.29158,7.77663
"22","2022_Q1",5.90903225806452,"Down",3665000,-7705000,-3162000,-4543000,-4040000,-2557000,-2557000,-6597000,-6597000,-6597000,-6272000,-6272000,-6272000,45044000,45044000,7526000,1823000,5703000,52570000,2379000,1652000,4031000,56601000,5539000,2077000,17551000,17551000,34757000,16921000,16921000,20628000,55385000,215279000,-214063000,1216000,1216000,56601000,-6272000,256000,2437000,-301000,-3880000,-118000,5413000,-8627000,-8607000,-7074000,-7074000,-7074000,-3784000,15374000,-1.10232,-1.71132,-5.15789,-0.11081,1.5125,45.54688,0.27162,-1.94011,-1.94011,1.13369,0.37614,-0.18716,7.84091,7.34406
"23","2022_Q2",4.52,"Down",3114000,-8725000,-3859000,-4866000,-5611000,-2264000,-2264000,-7875000,-7875000,-7875000,-7697000,-7697000,-7697000,34991000,34991000,6681000,1431000,5250000,41672000,2138000,1374000,3512000,45184000,4950000,4950000,16907000,16907000,23857000,24407000,24407000,27211000,51068000,215876000,-221760000,-5884000,-5884000,45184000,-7697000,242000,2288000,50000,-5117000,-302884.313673245,14371947.2924453,5831000,-4936000,-10053000,-10053000,-10053000,-5369000,4804000,-1.80186,-2.47174,1.30812,-0.17035,1.74674,-8.67913,0.10632,-1.57342,-1.57342,0.63656,-1.20281,-0.32996,5.62246,5.37997
"24","2022_Q3",3.82828125,"Down",0,-7562000,-3697000,-3865000,-7562000,-1759000,-1759000,-9321000,27861000,27861000,28010000,28010000,28010000,29431000,29431000,1969000,655000,1314000,31400000,1887000,5512000,7399000,38799000,4973000,4973000,30000,30000,7003000,6390000,6390000,8749000,15752000,216797000,-193750000,23047000,23047000,38799000,28010000,276000,-35094000,3738000,-3070000,-25000,-25000,-3114000,-3178000,-6273000,-6273000,-6273000,-7286000,4359000,-5.07018014288142,-6.25571737854263,1.21534,0.72193,4.48379,0.68347,0.11235,5.57599,5.57599,0,4.588,0.8288,3.44112,3.31552
