"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",87.3512903225806,"Up",684169000,-302645000,381524000,-268437000,-268437000,113087000,774000,-1437000,2211000,113861000,113861000,-33984000,79877000,79877000,-3086000,76791000,76791000,143018000,142837000,290738000,290738000,589045000,152474000,104964000,1175275000,318172000,349560000,166879000,675800000,1851075000,202536000,144591000,57945000,5953000,177351000,177351000,385840000,178892000,123268000,89099000,34169000,302160000,6.88e+08,140510000,979136000,27769000,1147415000,15660000,1163075000,1851075000,79877000,16867000,4541000,-69172000,32113000,-29542000,6021000,-23530000,69968000,-77740000,-78599000,833000,-6939000,1644000,1644000,2357000,4001000,129954000,184845000,65224000,0.55765,0.16529,0.11224,0.06602,0.04148,0.84937,3.04602,0.59154,0.09986,1.26774,1.2598,11.29495,18.94268,1.07678,0.0522,0.04433,0.32186,0.36987
"12","2013_Q1",102.3265,"Up",947701000,-408023000,539678000,-334883000,-334883000,204795000,877000,-1480000,2357000,205672000,205672000,-52750000,152922000,152922000,-1790000,151132000,151132000,177236000,177236000,363456000,363456000,506314000,97106000,62868000,1144112000,335446000,355466000,170673000,697877000,1841989000,180826000,149561000,31265000,2794000,223158000,223158000,406778000,75140000,119607000,79756000,39851000,194747000,601525000,138693000,1066082000,28760000,1233535000,6929000,1240464000,1841989000,152922000,18390000,15876000,95911000,283099000,-52628000,-5608000,-58236000,-107333000,-64851000,-65662000,-17383000,-189567000,35296000,35296000,-897000,34399000,223185000,77934000,319218000,0.56946,0.2161,0.15947,0.12184,0.08205,2.11218,2.81262,0.48492,0.04231,2.52809,2.51279,15.85288,20.63423,5.33979,0.1051,0.22199,-0.44493,-0.48488
"13","2013_Q2",101.05484375,"Down",680899000,-302428000,378471000,-284150000,-284150000,94321000,8553000,-1231000,9784000,102874000,102874000,-28894000,73980000,73980000,-1794000,72186000,72186000,241452000,241396000,272860000,272860000,520306000,113040000,81598000,1147658000,329223000,379688000,178332000,708911000,1856569000,143166000,124859000,18307000,1600000,169552000,169552000,314318000,151129000,145768000,87292000,58476000,296897000,611215000,140675000,1083717000,12243000,1236635000,8719000,1245354000,1856569000,73980000,18758000,-3828000,-3007000,85903000,-19485000,-271000,-34921000,75380000,-59197000,-61188000,4078000,20261000,71243000,71243000,-7083000,64160000,113079000,152729000,119481000,0.55584,0.13852,0.10602,0.05796,0.03888,1.65518,3.65126,0.4908,0.08226,1.2154,1.20747,11.4643,20.82122,2.0117,0.04676,0.0773899999999999,-0.78461,-0.94065
"14","2013_Q3",114.28921875,"Up",706249000,-297348000,408901000,-301953000,-301953000,106948000,-2709000,-1748000,-961000,104239000,104239000,-33829000,70410000,70410000,-2696000,67714000,67714000,313352000,313308000,257668000,257668000,582114000,121180000,90312000,1274314000,334460000,380569000,178364000,715053000,1989367000,163827000,144661000,19166000,1567000,184486000,184486000,349880000,339434000,145988000,85430000,60558000,485422000,835302000,145743000,984768000,16814000,1147325000,6740000,1154065000,1989367000,70410000,19911000,-6304000,-11218000,72799000,-21502000,-4453000,-25686000,189372000,-168139000,-170682000,-2553000,18680000,65793000,65793000,6119000,71912000,126859000,341001000,127968000,0.57898,0.15143,0.09588,0.05867,0.03404,1.88983,3.64215,0.72379,0.17141,1.15553,1.14984,12.05203,19.57892,2.18375,0.04126,0.07798,0.21795,0.25853
"15","2013_Q4",123.4215625,"Up",810396000,-345427000,464969000,-323937000,-323937000,141032000,-2778000,-3037000,259000,138254000,138254000,-45881000,92373000,92373000,-2640000,89733000,89733000,228899000,228899000,360580000,360580000,656585000,109386000,74359000,1355450000,351626000,383090000,178115000,734741000,2090191000,197221000,164541000,32680000,14567000,225416000,225416000,437204000,468369000,145816000,81724000,64092000,614185000,1051389000,150462000,848002000,30958000,1029422000,9380000,1038802000,2090191000,92373000,20970000,4322000,-96414000,21251000,-23320000,-3811000,-27131000,141286000,-226874000,-228543000,1e+06,-84588000,-90468000,-90468000,6059000,-84409000,162002000,482936000,88149000,0.57376,0.17403,0.11073,0.08638,0.04293,0.98235,3.10027,1.01212,0.23105,1.58938,1.58248,14.35396,18.23341,1.56132,0.05381,0.05286,1.56811,1.80127
"16","2014_Q1",116.527704918033,"Down",1062427000,-453082000,609345000,-390050000,-390050000,219295000,-3195000,-3532000,337000,216100000,216100000,-64815000,151285000,151285000,-2766000,148519000,148519000,320479000,320479000,454762000,454762000,570719000,133502000,86516000,1479462000,355666000,395286000,188332000,750952000,2230414000,192180000,165433000,26747000,13443000,286283000,286283000,491906000,494711000,168430000,98168000,70262000,663141000,1155047000,154923000,877063000,36691000,1068677000,6690000,1075367000,2230414000,151285000,22297000,19411000,38736000,231729000,-28522000,-6283000,-35430000,24583000,-120448000,-121841000,-6737000,-102602000,93697000,93697000,-2117000,91580000,241592000,508154000,316621000,0.57354,0.20641,0.13979,0.13811,0.06659,2.13186,3.00761,1.0741,0.22783,2.69285,2.68439,19.26327,19.37659,5.74078,0.08477,0.18072,0.77683,0.85581
"17","2014_Q2",106.775238095238,"Down",776544000,-333324000,443220000,-338522000,-338522000,104698000,-4057000,-3706000,-351000,100641000,100641000,-31480000,69161000,69161000,-2818000,66343000,66343000,303418000,303418000,290089000,290089000,601862000,171028000,124432000,1366397000,356755000,391176000,184511000,747931000,2114328000,173238000,144411000,28827000,13600000,203447000,203447000,390285000,528345000,170487000,97748000,72739000,698832000,1089117000,158424000,826865000,35805000,1021094000,4117000,1025211000,2114328000,69161000,23377000,1263000,3174000,96975000,-21505000,-2165000,-23670000,33744000,-118956000,-119715000,-4453000,-89665000,-16360000,-16360000,-701000,-17061000,128075000,541945000,141224000,0.57076,0.13483,0.08543,0.06471,0.03138,2.12869,3.50102,1.06233,0.25632,1.22574,1.22064,14.34723,18.86548,2.60922,0.03818,0.08127,1.8624,2.27824
"18","2014_Q3",100.729375,"Down",773821000,-329218000,444603000,-359844000,-359844000,84759000,-4984000,-3887000,-1097000,79775000,79775000,-24875000,54900000,54900000,-2383000,52517000,52517000,272642000,272642000,304621000,304621000,664185000,168577000,122048000,1410025000,359917000,390644000,184279000,750561000,2160586000,198029000,176983000,21046000,13652000,222016000,222016000,433697000,533174000,178048000,97437000,80611000,711222000,1144919000,162959000,812824000,33385000,1009168000,6499000,1015667000,2160586000,54900000,25601000,7803000,-29783000,58521000,-21935000,-4023000,-25958000,4362000.00000001,-66694000,-67443000,11000,-62321000,-29758000,-29758000,-1018000,-30776000,110360000,546826000,83517000,0.57456,0.10953,0.06787,0.05171,0.02431,1.59029,3.25118,1.12726,0.25309,0.98131,0.97788,14.45935,18.85696,1.56057,0.03017,0.04798,2.48445,3.23487
"19","2014_Q4",104.44375,"Up",894481000,-385444000,509037000,-354105000,-354105000,154932000,-1597000,-3796000,2199000,153335000,153335000,-46931000,106404000,106404000,-2683000,103721000,103721000,218095000,218095000,395837000,395837000,695199000,186365000,148112000,1495496000,354924000,386433000,185460000,741357000,2236853000,235605000,196788000,38817000,15200000,242218000,242218000,493023000,607890000,174691000,98061000,76630000,782581000,1275604000,167181000,783207000,1679000,952067000,9182000,961249000,2236853000,106404000,24499000,9903000,-98391000,42415000,-27352000,-4988000,-32340000,76722000,-133652000,-134066000,-2007000,-58937000,-48862000,-48862000,-5685000,-54547000,179431000,623090000,100619000,0.56909,0.17321,0.11596,0.1079,0.04637,0.97009,3.03332,1.32703,0.27856,1.96848,1.96177,16.97597,18.06887,1.90961,0.05896,0.0572,2.25711,2.61402
"20","2015_Q1",92.0016393442623,"Down",1064845000,-460533000,604312000,-382165000,-382165000,222147000,2180000,-4509000,6689000,224327000,224327000,-68181000,156146000,156146000,-2020000,154126000,154126000,276261000,276261000,430498000,430498000,597281000,150532000,150532000,1454572000,345606000,377282000,179554000,722888000,2177460000,185893000,159267000,26626000,16646000,243769000,243769000,446308000,609666000,137685000,62282000,75403000,747351000,1193659000,172177000,822093000,-16410000,977860000,5941000,983801000,2177460000,156146000,22454000,16226000,-4853999.99999999,189972000,-23359000,2167000,-21192000,7488000,-118609000,-116687000,-3137000,-114258000,54522000,54522000,3644000,58166000,244601000,626312000,284569000,0.56751,0.20862,0.14474,0.15666,0.07078,1.84634,3.25912,1.21331,0.28763,3.01057,2.99897,20.79979,19.10069,5.55853,0.08818,0.16282,1.43111,1.57576
"21","2015_Q2",77.6792063492064,"Down",725085000,-324361000,400724000,-332482000,-332482000,68242000,3008000,-4178000,7186000,71250000,59162000,-18524000,40638000,40638000,-2568000,38070000,38070000,236843000,236843000,266139000,266139000,630590000,211752000,178292000,1345324000,331665000,366476000,170436000,698141000,2043465000,175650000,154806000,20844000,18471000,189418000,189418000,383539000,626373000,153292000,79081000,74211000,779665000,1163204000,174696000,746081000,-49855000,870922000,9339000,880261000,2043465000,40638000,22113000,5522000,16697000,84970000,-16860000,4566000,-17264000,14779000,-115603000,-116047000,-4702000,-105526000,-37820000,-37820000,-1598000,-39418000,90355000,644844000,108716000,0.55266,0.09412,0.0525,0.04325,0.01863,2.85569,3.50766,1.32143,0.31556,0.75695,0.75435,14.41693,17.31662,2.16161,0.02268,0.06477,4.51553,5.97874
"22","2015_Q3",63.38953125,"Down",739975000,-330509000,409466000,-332560000,-332560000,76906000,9278000,-5015000,14293000,86184000,79713000,-22893000,56820000,56820000,-2172000,54648000,54648000,249864000,249864000,254517000,254517000,669334000,192624000,157791000,1366339000,329160000,363942000,166201000,693102000,2059441000,176681000,161380000,15301000,20288000,184941000,184941000,381910000,674445000,158684000,87395000,71289000,833129000,1215039000,179116000,698372000,-44542000,832946000,11456000,844402000,2059441000,56820000,21537000,9065000,-9890999.99999999,77531000,-15604000,2000,-15452000,48225000,-102474000,-102612000,-184000,-54433000,7646000,7646000,5375000,13021000,98443000,694733000,95841000,0.55335,0.10393,0.07385,0.06472,0.02654,1.75379,3.57765,1.43893,0.33734,1.12366,1.12112,15.21518,17.12682,1.97066,0.03219,0.05645,4.51905,5.78458
"23","2015_Q4",45.5853125,"Down",771303000,-353569000,417734000,-338889000,-338889000,78845000,1729000,-5102000,6831000,80574000,77433000,-17304000,60129000,60129000,-2595000,57534000,57534000,301569000,301569000,330396000,330396000,746343000,186726000,150059000,1565034000,330420000,359423000,162171000,689843000,2254877000,194126000,180698000,13428000,21722000,217684000,217684000,433532000,785706000,151997000,87645000,64352000,937703000,1371235000,183455000,743572000,-57235000,869792000,13850000,883642000,2254877000,60129000,19771000,6862000,-114773000,-28011000,-20707000,663000,-20044000,113407000,-12485000,-12561000,-2292000,98630000,50575000,50575000,1130000,51705000,98616000,807428000,-19560000,0.5416,0.10222,0.07459,0.06511,0.02552,-0.33997,3.60996,1.5518,0.35808,1.19482,1.19261,16.01776,18.06309,-0.40621,0.03122,-0.01061,5.12958,6.41587
"24","2016_Q1",39.4491803278689,"Down",992473000,-466930000,525543000,-424786000,-424786000,100757000,6410000,-5723000,12133000,107167000,95351000,-23036000,72315000,72315000,-1930000,70385000,70385000,289275000,289275000,370761000,370761000,625344000,157290000,157290000,1442670000,326370000,586621000,227227000,912991000,2355661000,216580000,208083000,8497000,23159000,249790000,249790000,489529000,785076000,148513000,75165000,73348000,933589000,1423118000,187937000,813957000,-80506000,921388000,11155000,932543000,2355661000,72315000,24241000,21711000,108014000,226281000,-26417000,716000,-241070000,3831000.00000001,-719999.999999993,-62000,-5809000,-2698000,-17487000,-17487000,5193000,-12294000,124998000,808235000,229631000,0.52953,0.10152,0.07092,0.07548,0.02988,3.2625,2.94706,1.52606,0.3431,1.46273,1.45897,20.62539,19.14811,4.77215,0.03725,0.12154,4.15175,5.15061
"25","2016_Q2",33.6840625,"Down",659847000,-311510000,348337000,-333933000,-333933000,14404000,-3729000,-5999000,2270000,10675000,10675000,-3279000,7396000,7396000,-1603000,5793000,5793000,306750000,306750000,236792000,236792000,630004000,166956000,166956000,1340502000,332367000,587395000,224738000,919762000,2260264000,162657000,159852000,2805000,23288000,186952000,186952000,372897000,799939000,142995000,68437000,74558000,942934000,1315831000,192664000,815558000,-72003000,936219000,8214000,944433000,2260264000,7396000,24765000,-2749000,5122000,34534000,-19670000,607000,-19063000,14405000,-5548000,-5548000,-4482000,4375000,19846000,19846000,-2371000,17475000,39169000,823227000,27900000,0.52791,0.02183,0.00878,0.00613,0.00256,4.81616,3.59483,1.39325,0.36422,0.12036,0.12005,13.70911,19.45107,0.57966,0.00303,0.0146,13.18586,35.8565
"26","2016_Q3",29.551875,"Down",685369000,-329619000,355750000,-340300000,-340300000,15450000,-3879000,-6421000,2542000,11571000,11571000,-3499000,8072000,8072000,-2051000,6021000,6021000,231836000,231836000,257053000,257053000,661748000,161723000,161723000,1312360000,328004000,586174000,222016000,914178000,2226538000,195508000,195259000,249000,26302000,189891000,189891000,411701000,708664000,150659000,70692000,79967000,859323000,1271024000,201650000,820771000,-77172000,945249000,10265000,955514000,2226538000,8072000,24901000,-398999.999999996,4839000,37413000,-17688000,1719000,-15969000,-88453000,-870000,-870000,-8657000,-97980000,-76536000,-76536000,1622000,-74914000,40351000,734966000,31001000,0.51906,0.02254,0.00879,0.0063,0.0027,5.14881,3.18765,1.3302,0.33009,0.12513,0.1249,14.24321,19.64399,0.64426,0.00327,0.01684,12.46884,32.56505
"27","2016_Q4",30.0855555555556,"Up",737990000,-352910000,385080000,-339431000,-339431000,45649000,-5376000,-6966000,1590000,40273000,25800000,-6452000,19348000,19348000,-1992000,17356000,17356000,235952000,235952000,321289000,321289000,699648000,132731000,132731000,1389620000,290757000,577233000,212586000,867990000,2257610000,193560000,193560000,0,26382000,204194000,204194000,424136000,697409000,151146000,60693000,90453000,848555000,1272691000,208684000,838127000,-74150000,972661000,12258000,984919000,2257610000,19348000,23532000,3733000,-59200000,-12587000,28418000,1723000,30141000,-9581000,-30000,-30000,-2646000,-12257000,5297000,5297000,-1181000,4116000,69181000,723791000,44851000,0.5218,0.06186,0.02352,0.01762,0.00769,2.58418,3.27635,1.29218,0.3206,0.36061,0.3594,15.33326,20.20904,0.93187,0.00933,0.02412,7.05163,10.68674
"28","2017_Q1",21.2,"Down",959165000,-470146000,489019000,-409598000,-409598000,79421000,146000.000000001,-7508000,7654000,79567000,66262000,-15475000,50787000,50787000,-1089000,49698000,49698000,297330000,297330000,375520000,375520000,542487000,131953000,131953000,1347290000,273851000,565756000,210493000,839607000,2186897000,179743000,163644000,16099000,26368000,208474000,208474000,414585000,609961000,146913000,55877000,91036000,756874000,1171459000,213835000,887825000,-95424000,1006236000,9202000,1015438000,2186897000,50787000,21394000,12007000,66579000,150767000,-11826000,810000,-7516000.00000001,-87738000,-789000,-789000,-4105000,-92632000,50619000,50619000,10747000,61366000,100815000,636329000,171043000,0.50984,0.0828,0.05181,0.04894,0.02273,3.44165,3.24973,1.15365,0.29097,1.03187,1.0239,19.91498,20.8923,3.55134,0.02763,0.09509,3.36258,4.26838
"29","2017_Q2",13.5220634920635,"Down",581790000,-292271000,289519000,-308498000,-308498000,-18979000,-2746000,-8384000,5638000,-21725000,-48009000,1220000,-46789000,-46789000,-1397000,-48186000,-48186000,320748000,320748000,245311000,245311000,571507000,142765000,142765000,1280331000,260439000,560948000,204595000,821387000,2101718000,163601000,151225000,12376000,26386000,196728000,196728000,386715000,589740000,142949000,51863000,91086000,732689000,1119404000,219289000,839639000,-87030000,971898000,10416000,982314000,2101718000,-46789000,20886000,3595000,73683000,51375000,-4410000,144000,-4266000,-15589000,-882000,-882000,-5547000,-22018000,25091000,25091000,-1633000,23458000,1907000,616126000,69960000,0.49763,-0.03262,-0.08282,-0.04905,-0.02293,-1.45187,3.31079,1.13956,0.29315,-0.99737,-0.99737,12.0421,20.1167,1.44806,-0.02767,0.04017,154.89145,-15.56341
