"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",11.5816129032258,"Up",415773000,-216299000,199474000,-118482000,-93604000,-22369000,-2509000,80992000,-8094000,-8094000,72898000,72898000,-2021000,70877000,71365000,71365000,71365000,448723000,448723000,94241000,94241000,29687000,245239000,45426000,199813000,817890000,23701000,348190000,228786000,9301000,110103000,371891000,1189781000,253688000,42263000,211425000,27529000,26348000,281217000,13439000,12480000,343750000,624967000,820808000,-263303000,7309000,564814000,564814000,1189781000,70877000,2509000,14127000,36676000,123780000,-4296000,-4296000,202483889.740862,119484000,119484000,955000,120439000,83501000,330311000,117902000,0.47977,0.1948,0.17164,0.12635,0.05998,1.6521,2.90839,1.1065,0.27762,0.83232,0.83234,4.84912,6.58737,1.37508,0.07855,0.12977,-1.41809,-1.46202
"12","2013_Q1",14.1226666666667,"Up",299487000,-154320000,145167000,-116105000,-92116000,-21183000,-2806000,29062000,-7789000,-7789000,21273000,21273000,-103000,21170000,22473000,22473000,22473000,402502000,402502000,189596000,189596000,30218000,243836000,37392000,206444000,866152000,25362000,386325000,225992000,8827000,151506000,411687000,1277839000,308848000,79932000,228916000,28151000,26919000,336999000,17643000,17087000,352845000,689844000,833397000,-240830000,-4572000,587995000,587995000,1277839000,21170000,2806000,104944000,-175900000,-46029000,-4503000,-4503000,332939559.774354,-50532000,-50532000,4311000,-46221000,31868000,335202000,-148432000,0.48472,0.09704,0.07504,0.03822,0.01759,-6.6049,2.57019,1.17321,0.26232,0.26078,0.26077,3.47529,6.82319,-1.72243,0.02389,-0.15777,-2.11184,-2.31574
"13","2013_Q2",15.665,"Up",142667000,-93842000,48825000,-98389000,-74461000,-20871000,-3057000,-49564000,-11233000,-11233000,-60797000,-60797000,-1087000,-61884000,-61914000,-61914000,-61914000,646315000,646315000,35202000,35202000,27852000,310808000,56600000,254208000,1020177000,30285000,397643000,226289000,8666000,162688000,427928000,1448105000,220017000,25382000,194635000,68502000,27983000,416287000,15912000,15631000,424837000,841124000,915285000,-302744000,-5560000,606981000,606981000,1448105000,-61884000,3057000,-52732000,119132000,7201000,-7994000,-7994000,244207000,243414000,243414000,399000,243813000,-46507000,536693000,65718000,0.34223,-0.34741,-0.43398,-0.102,-0.04276,-1.06144,2.45066,1.38575,0.37062,-0.71172,-0.71172,1.64,6.97743,0.75545,-0.05339,0.05667,2.35711,2.21173
"14","2013_Q3",17.48875,"Up",148824000,-92463000,56361000,-174252000,-144365000,-26520000,-3367000,-117891000,-8836000,-8836000,-126727000,-132280000,8185000,-124095000,-124120000,-124120000,-124120000,661923000,661923000,1011391000,1011391000,84033000,493920000,72133000,421787000,2251267000,34271000,415776000,228006000,5743000,182027000,450047000,2701314000,582664000,287672000,294992000,1155542000,1154419000,1738206000,20720000,20720000,464246000,2202452000,923104000,-426864000,2622000,498862000,498862000,2701314000,-124095000,3367000,477396000,-228400000,127920000,-7458000,-7458000,-101055000,19407000.0000001,19407000.0000001,-3799000,15608000,-114524000,443526000,-358567000,0.37871,-0.79215,-0.83401,-0.24881,-0.04595,2.88887,1.29517,4.41495,0.16419,-1.3974,-1.3974,1.67553,5.61642,-4.03692,-0.12887,-0.3723,1.907,1.85253
"15","2013_Q4",17.29984375,"Down",1863869000,-1119734000,744135000,-137840000,-105194000,-29233000,-3413000,606295000,-5949000,-5949000,600346000,600346000,-21902000,578444000,578426000,578426000,578426000,972170000,972170000,189519000,189519000,45035000,338932000,246165000,92767000,1545656000,38768000,400927000,226835000,5297000,168795000,439695000,1985351000,641287000,42850000,598437000,52193000,51366000,693480000,21135000,21135000,469872000,1163352000,945058000,151562000,2215000,821999000,821999000,1985351000,578444000,3413000,424269000,-410140000,595672000,-8003000,-9003000,-276836000,309833000,309833000,414000,310247000,609708000,448737000,213467000,0.39924,0.32529,0.31034,0.70368,0.29135,0.36905,2.22884,1.41527,0.22602,6.79733,3.28636,21.90313,9.65967,2.50854,0.44774,0.16524,-0.8585,-0.86333
"16","2014_Q1",19.4380327868852,"Up",195208000,-108288000,86920000,-110504000,-78350000,-28632000,-3522000,-23584000,-7535000,-7535000,-31119000,-31119000,345000,-30774000,-30787000.0000001,-30787000.0000001,-30787000.0000001,935400000,935400000,53143000,53143000,29780000,381117000,66073000,315044000,1399440000,42572000,357618000,226705000,5113000,125800000,400190000,1799630000,413625000,16452000,397173000,61194999.9999999,61194999.9999999,474820000,68973000,50845000,523004000,997824000,955751000,120775000,2116000,801806000,801806000,1799630000,-30774000,3522000,-482789000,479794000,-30531000,-6358000,-6358000,0,-36889000,-36889000,119000,-36770000,-20062000.0000001,454031000,453029000,0.44527,-0.12081,-0.15771,-0.0384,-0.0171100000000001,-14.71494,2.94731,1.24447,0.25229,-0.255539999999998,-1.0485,1.62028,6.65521,3.76026,-0.02324,0.34196,23.99407,20.41083
"17","2014_Q2",20.4736507936508,"Up",125425000,-54156000,71269000,-104478000,-76198000,-24132000,-4148000,-33209000,-7719000,-7719000,-40928000,-40928000,5525000,-35403000,-35403000,-35403000,-35403000,841369000,8.22e+08,43165000,43165000,23147000,326671000,78140000,248531000,1234352000,47011000,326373000,227108000,5098000,94167000,373384000,1607736000,197898000,22575000,175323000,87371000,87371000,285269000,80022000,80022000,539430000,824699000,968408000,85372000,6093000,783037000,783037000,1607736000,-35403000,4148000,-53661000,-2600000,-87516000,-8392000,-27807000,75031014.5851926,-115323000,-115323000,1923000,-113400000,-29061000,459408000,-45578000,0.56822,-0.26477,-0.28226,-0.04521,-0.02202,1.28741,4.32698,1.05321,0.28575,-0.44606,-0.44606,1.58028,9.86578,-0.57425,-0.02677,-0.03446,13.14342,11.50173
"18","2014_Q3",22.685625,"Up",126277000,-52016000,74261000,-122774000,-93111000,-24533000,-5130000,-48513000,-7512000,-7512000,-56025000,-37049000,-4320000,-41369000,-41369000,-41369000,-41369000,803777000,754410000,25427000,25427000,55948000,381625000,78787000,302838000,1266777000,56214000,342221000,223968000,4854000,113399000,398435000,1665212000,271182000,85116000,186066000,107960000,107960000,379142000,66190000,66190000,531061000,910203000,993259000,44003000,-5417000,755009000,755009000,1665212000,-41369000,5130000,53002999.9999999,-61070000,-44306000,-14662000,-22862000,4843000,-62325000,-62325000,-5265000,-67590000,-43383000,464871000,-114795000,0.58808,-0.38418,-0.32761,-0.05479,-0.02484,2.7749,3.34117,1.20555,0.27917,-0.51483,-0.51483,1.57149,9.39592,-1.4286,-0.03217,-0.08926,7.81195,6.98588
"19","2014_Q4",25.52578125,"Up",531147000,-278013000,253134000,-187522000,-150456000,-31221000,-5845000,65612000,-9458000,-9458000,56154000,54654000,-14561000,40093000,40093000,40093000,40093000,976592000,897452000,435709000,435709000,24617000,369095000,116385000,252710000,1806013000,63436000,384369000,221071000,4793000,158505000,447805000,2253818000,369102000,113240000,255862000,338003000,338003000,707105000,260904000,62961000,731324000,1438429000,1025672000,84096000,-17543000,815389000,815389000,2253818000,40093000,5845000,274269000,-127859000,192348000,-13525000,-48611000,5509000,149246000,149246000,-6204000,143042000,71457000,470420000,-55366000,0.47658,0.12353,0.07548,0.04917,0.01779,-1.38094,2.55409,1.7641,0.20872,0.49706,0.49706,6.58501,10.10896,-0.68641,0.02592,-0.0358,-7.08359,-7.71463
"20","2015_Q1",27.2255737704918,"Up",300089000,-410682000,-110593000,-131760000,-90669000,-35157000,-5934000,-242353000,-7204000,-7204000,-249557000,-249557000,6766000,-242791000,-242791000,-242791000,-242791000,1098049000,911120000,217860000,217860000,20051000,443899000,54057000,389842000,1779859000,69792000,378422000,217288000,4769000,156365000,448214000,2228073000,483527000,38789000,444738000,482733000,482733000,966260000,225695000,61077000,698725000,1664985000,1029243000,-158695000,-30624000,563088000,563088000,2228073000,-242791000,5934000,38738000,350407000,152288000,-12922000,-120861000,-9424000,22003000,22003000,-8335000,13668000,-236419000,473030000,94300000,-0.36853,-0.8076,-0.80906,-0.43118,-0.10897,-0.3884,1.84201,2.95688,0.2123,-2.99431,-2.99431,3.70096,6.9445,1.16299,-0.19241,0.07473,2.64369,2.57896
"21","2015_Q2",26.2787301587302,"Down",275297000,-202615000,72682000,-135319000,-94602000,-34142000,-6575000,-62637000,-7534000,-7534000,-70171000,-70171000,3148000,-67023000,-67023000,-67023000,-67023000,1190797000,815784000,130915000,130915000,12453000,573811000,76763000,497048000,1907976000,83089000,361539000,219036000,4737000,137766000,444628000,2352604000,533860000,29531000,504329000,572440000,572440000,1106300000,237681000,64954000,719465000,1825765000,1050956000,-225718000,-21563000,526839000,526839000,2352604000,-67023000,6575000,41069000,124861000,105482000,-18769000,-206258000,1525000,-99251000,-99251000,3915000,-95336000,-56062000,481784000,46882000,0.26401,-0.22753,-0.24346,-0.12722,-0.02849,-0.69949,1.72465,3.46551,0.20479,-0.80913,-0.80913,3.32352,6.36025,0.56598,-0.05378,0.03762,12.64694,11.3194
"22","2015_Q3",29.71234375,"Up",346974000,-143940000,203034000,-136603000,-104837000,-24413000,-7353000,66431000,-8396000,-8396000,58035000,58035000,-3300000,54735000,54735000,54735000,54735000,1064674000,711713000,240859000,240859000,24020000,635055000,67615000,567440000,1964608000,81694000,370197000,217731000,4609000,147857000,451891000,2416499000,536994000,69138000,467856000,676891000,676891000,1213885000,150948000,65706000,638549000,1852434000,1067785000,-170983000,-29349000,564065000,564065000,2416499000,54735000,7353000,60335000,-207891000,-85468000,-7024000,13077000,-28934000,-101325000,-101325000,-2746000,-104071000,73784000,487601000,-137831000,0.58516,0.19146,0.15775,0.09704,0.02265,-2.51815,1.61845,3.28408,0.20178,0.65373,0.65373,4.14411,6.73695,-1.6462,0.04551,-0.11461,-7.82111,-8.6868
"23","2015_Q4",33.709375,"Up",414221000,-257861000,156360000,-215557000,-108907000,-99116000,-7534000,-59197000,-8018000,-8018000,-67215000,-67215000,24802000,-42413000,-42413000,-42413000,-42413000,1214681000,835241000,263690000,263690000,20207000,607730000,60129000,547601000,2106308000,76661000,402040000,216777000,4609000,180654000,478701000,2585009000,663216000,59603000,603613000,791758000,791758000,1454974000,111485000,71600000,603061000,2058035000,1078493000,-213396000,-34735000,526974000,526974000,2585009000,-42413000,7534000,213310000,-9622000,168809000,-2786000,-31716000,-12140000,124953000,124953000,-1425000,123528000,-51663000,491576000,-88873000,0.37748,-0.14291,-0.10239,-0.08048,-0.01641,2.09542,1.44766,3.90538,0.19016,-0.50822,-0.50822,4.96346,6.31454,-1.06493,-0.03753,-0.07865,13.99657,12.21523
"24","2016_Q1",34.6273770491803,"Up",377206000,-209457000,167749000,-123174000,-82415000,-33421000,-7338000,44575000,-6257000,-6257000,38318000,41001000,5398000,46399000,46399000,46399000,46399000,1269562000,798742000,168527000,168527000,15888000,591299000,53269000,538030000,2045276000,77127000,467874000,217080000,4609000,246185000,545001000,2590277000,637927000,30448000,607479000,582484000,582484000,1220411000,290546000,74227000,788481000,2008892000,1089666000,-166997000,-37896000,581385000,581385000,2590277000,46399000,7338000,-6756000.00000003,25501000,72482000,-8701000,-99619000,-8498000,-35635000,-35635000,-864000,-36499000,51913000,497935000,63315000,0.44471,0.11817,0.12301,0.07981,0.01791,1.36458,1.67589,3.45536,0.19223,0.55465,0.55465,4.50912,6.94988,0.75687,0.03387,0.04622,-14.86385,-17.31076
"25","2016_Q2",36.8303125,"Up",311552000,-191380000,120172000,-159155000,-117877000,-33900000,-7378000,-38983000,-4506000,-4506000,-43489000,-42139000,3572000,-38567000,-38567000,-38567000,-38567000,1188817000,796328000,141150000,141150000,12734000,634971000,56734000,578237000,1977672000,72414000,488641000,215622000,4609000,268410000,561055000,2538727000,657216000,37781000,619435000,604411000,604411000,1261627000,239175000,85263000,743560000,2005187000,1083811000,-205564000,-41319000,533540000,533540000,2538727000,-38567000,7378000,38501000,-54560000,-47248000,-4230000,72885000,-24279000,1358000,1358000,-3772000,-2414000,-31605000,504385000,-93967000,0.38572,-0.12513,-0.12379,-0.07229,-0.01519,2.43646,1.56756,3.75827,0.19868,-0.45594,-0.45594,3.68317,6.30751,-1.11088,-0.0302,-0.07358,21.65581,17.55719
"26","2016_Q3",42.15421875,"Up",420167000,-205605000,214562000,-167368000,-129872000,-30005000,-7491000,47194000,-7078000,-7078000,40116000,40116000,-3684000,36432000,36432000,36432000,36432000,1174594000,770003000,381587000,381587000,77561000,737028000,60894000,676134000,2370770000,68531000,539779000,215658000,4609000,319512000,608310000,2979080000,897825000,144756000,753069000,821409000,821409000,1719234000,165457000,110716000,677093000,2396327000,1098144000,-169132000,-42871000,582753000,582753000,2979080000,36432000,7491000,265989000,-313473000,-3561000,-4053000,-17027000,-5198999.99999999,-25787000,-25787000,-537999.999999999,-26325000,54685000,511636000,-259157000,0.51066,0.11232,0.08671,0.06252,0.01223,-7.11344,1.37897,4.11208,0.17174,0.42664,0.42664,4.92045,6.82444,-3.03491,0.02892,-0.20571,-12.12321,-14.04751
"27","2016_Q4",47.2277777777778,"Up",476473000,-311074000,165399000,-193808000,-148759000,-37589000,-7460000,-28409000,-3714000,-3714000,-32123000,-32123000,2281000,-29842000,-29842000,-29842000,-29842000,1443953000,1039430000,327430000,327430000,26665000,653128000,70456000,582672000,2451176000,65799000,572124000,213522000,3211000,355391000,637923000,3089099000,790424000,54248000,736176000,1073393000,1073393000,1863817000,145485000,134230000,404361000,2268178000,1371458000,-198974000,-48175000,820921000,820921000,3089099000,-29842000,7460000,110387000,202406000,290411000,-6086000,-7671000,-5757000,276983000,276983000,-7556000,269427000,-20949000,258876000,173090000,0.34713,-0.05962,-0.06263,-0.03635,-0.00966,-5.80021,1.31514,2.76297,0.0838,-0.33008,-0.33008,5.27025,9.08018,1.91454,-0.02436,0.14127,56.56962,41.71484
"28","2017_Q1",55.8558064516129,"Up",571556000,-314900000,256656000,-145153000,-100354000,-36421000,-8378000,111503000,-392000,-392000,111111000,111111000,-11831000,99280000,99280000,99280000,99280000,1392328000,943396000,219558000,219558000,16323000,567033000,59593000,507440000,2195242000,67300000,886612000,359115000,110262000,417235000,953912000,3149154000,782767000,31892000,750875000,903125000,903125000,1685892000,207605000,197199000,459534000,2145426000,1453952000,-99694000,-47142000,1003728000,1003728000,3149154000,99280000,8378000,105704000,-45061000.0000001,168301000,-6798000,-177217000,-14537000,-23452999.9999999,-23452999.9999999,4068000,-19384999.9999999,119881000,251929000,79853000,0.44905,0.19509,0.1737,0.09891,0.03153,0.804320000000001,1.30212,2.13746,0.08,0.92529,0.85657,5.32691,9.35476,0.744230000000001,0.06785,0.0545700000000001,-9.51276,-10.22752
"29","2017_Q2",68.4607936507936,"Up",418216000,-194569000,223647000,-173428000,-112817000,-52868000,-7743000,50219000,-2808000,-2808000,47411000,47411000,12865000,60276000,60276000,60276000,60276000,1281061000,828112000,229197000,229197000,11636000,591242000,84823000,506419000,2113136000,76613000,1029821000,369622000,133330000,526869000,1106434000,3219570000,846619000,36934000,809685000,619439000,619439000,1466058000,440893000,209367000,653757000,2119815000,1480373000,-39648000,-37582000,1099755000,1099755000,3219570000,60276000,7743000,116392000,-134521000,49890000,-41473000,-45415000,-57689000,-53214000,-53214000,6448000,-46766000,57962000,212864000,-130897000,0.53476,0.12008,0.14413,0.05481,0.01872,-2.17163,1.44137,1.92753,0.06612,0.57137,0.50745,3.96436,10.42481,-1.2408,0.03437,-0.07465,-18.42926,-21.27077
"30","2017_Q3",89.5385714285714,"Up",443562000,-246548000,197014000,-208333000,-137738000,-51712000,-18883000,-11319000,-2969000,-2969000,-14288000,-14288000,11552000,-2736000,-2736000.00000001,-2736000.00000001,-2736000.00000001,1263142000,749626000,429019000,429019000,36431000,726923000,100704000,626219000,2455515000,86689000,1154176000,381359000,116527000,656290000,1240865000,3696380000,1028378000,75810000,952568000,822126000,822126000,1850504000,321061000,153991000,373430000,2223934000,1846757000,-42451000,-28472000,1472446000,1472446000,3696380000,-2736000,7626000,292018000,-214446000,82462000,-17209000,-76060000,-28436000,-22034000,-22034000,6313000,-15721000,-3693000,52369000,-246900000,0.44416,-0.02552,-0.00617000000000001,-0.00186000000000001,-0.000740000000000001,90.24123,1.32694,1.51037,0.01417,-0.025,-0.025,4.05339,13.4556,-2.25624,-0.00148,-0.13376,327.85621,106.9682
