"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",8.38741935483871,"Up",93598000,-87194000,6404000,-4835000,-4835000,1569000,-84000,-84000,-102000,0,1485000,1455000,-561000,894000,894000,894000,894000,10000,10000,40714000,40714000,77388000,5326000,5326000,123438000,86937000,5646000,5646000,92583000,216021000,38093000,32226000,5867000,38093000,10191000,10191000,28806000,66899000,67594000,83543000,-2015000,149122000,149122000,216021000,894000,2460000,1067000,-14271000,-9850000,-356000,-29000,-385000,-531000,10615000,-72000,10012000,-223000,-223000,-223000,4029000,18615000,-10037000,0.06842,0.01676,0.00955,0.006,0.00414,-11.22707,3.24044,0.44862,0.08617,0.05054,0.04968,5.29101,8.42973,-0.56738,0.03002,2,0.00801,-0.05641,0.59396,4.61777,11.85787
"12","2013_Q1",11.145,"Up",97865000,-91964000,5901000,-4578000,-4578000,1323000,-174000,-148000,-149000,-26000,1149000,1149000,-316000,833000,833000,833000,833000,9999.99999999988,9999.99999999988,42138000,42138000,65774000,7146000,7146000,115068000,87716000,5768000,5768000,93484000,208552000,36003000,30126000,5877000,36003000,11574000,11574000,23049000,59052000,68096000,83845000,-2441000,149500000,149500000,208552000,833000,2467000,504000,7606000,11410000,-3496000,10000,-3486000,-531000,-7140000,-253000,-7924000,-2.3283064365387e-10,-2.3283064365387e-10,-2.3283064365387e-10,3790000,11475000,8216000,0.0603,0.01352,0.00851,0.00557,0.00399,9.86315,3.19607,0.395,0.05502,0.04705,0.0463,5.52722,8.44347,0.46402,0.02999,5,0.00791,0.04762,0.63745,3.02507,8.66591
"13","2013_Q2",12.67625,"Up",85887000,-77294000,8593000,-4842000,-4842000,3751000,-72000,-72000,-72000,181539.859015224,3679000,3679000,-1277000,2402000,2402000,2402000,2402000,4815000,4815000,35247000,35247000,56239000,5343000,5343000,101644000,88068000,6009000,6009000,94077000,195721000,36495000,30124000,6371000,36495000,11881000,11881000,11881000,48376000,68508000,81278000,-2441000,147345000,147345000,195721000,2402000,2332000,1552000,17187000,23473000,-2561000,537000,-2024000,-4969000,-11475000,-2e+05,-16644000,4805000,4805000,4805000,6083000,0,21986000,0.10005,0.04367,0.02797,0.0163,0.01227,9.15321,2.78515,0.32832,0,0.13552,0.1328,4.8458,8.3133,1.24046,0.28035,6,0.04629,0.13808,2.06869,-0.79155,-1.28366
"14","2013_Q3",12.399375,"Down",82873000,-71822000,11051000,-5245000,-5245000,5806000,34000,-51000,-53000,85000.0000000001,5840000,5840000,-2126000,3714000,3714000,3714000,3714000,7903000,7903000,33586000,33586000,66215000,4906000,4906000,112610000,86944000,6385000,6385000,93329000,205939000,39437000,33728000,5709000,39437000,12982000,12982000,12982000,52419000,71510000,84451000,-2441000,153520000,153520000,205939000,3714000.00000001,2407000.00000001,1771000,-5286000,2606000,-1063000,-55000,-1118000,-541000,0,2141000,1600000,3088000,3088000,3088000,8213000,0,3990000,0.13335,0.07006,0.04482,0.02419,0.01803,1.07431,2.85544,0.34145,0,0.20955,0.20533,4.67575,8.6617,0.22512,0.03052,7,0.02556,0.02396,0.14567,-0.96225,-1.36118
"15","2013_Q4",13.3253125,"Up",96946000,-86036000,10910000,-5373000,-5373000,5537000,-461000,-46000,-57000,-415000,5076000,5076000,-1802000,3274000,3274000,3274000,3274000,12084000,12084000,37387000,37387000,68552000,4996000,4996000,123019000,84955000,8208000,8208000,93163000,216182000,44923000,38019000,6904000,44923000,13410000,13410000,13410000,58333000,73108000,87182000,-2441000,157849000,157849000,216182000,3274000,2524000,947000,-761000,5984000,-2541000,44000,-2497000,-543000,0,1237000,694000,4181000,4181000,4181000,8061000,0,6561000,0.11254,0.05711,0.03377,0.02074,0.01514,2.00397,2.73844,0.36955,0,0.18312,0.179,5.42234,8.82874,0.36697,0.03037,7,0.02229,0.03831,0.16585,-1.49907,-2.18241
"16","2014_Q1",14.5467213114754,"Up",98190000,-89511000,8679000,-5222000,-5222000,3457000,-55000,-52000,-53000,-2999.99999999994,3402000,3402000,-1057000,2345000,2345000,2345000,2345000,15440000,15440000,41110000,41110000,58793000,5863000,5863000,121206000,83053000,8390000,6666000,91443000,212649000,37415000,30561000,6854000,37415000,14178000,14178000,14178000,51593000,73637000,88981000,-1562000,161056000,161056000,212649000,2344999.99999994,2569999.99999994,962000.000000015,-1112000.00000006,4765000.00000012,-645000,-10000,-654999.99999997,-546000.000000015,-4.65661287307739e-10,-208000,-753999.999999985,3356000,3356000,3356000,6027000,0,5327000.00000003,0.08839,0.03521,0.02388,0.01456,0.01103,2.27164,3.2395,0.32034,0,0.12917,0.12647,5.40843,8.87116,0.293419999999999,0.0300700000000007,8,0.0165,0.0304000000000001,0.232840000000004,-2.56181,-4.4663
"17","2014_Q2",14.9801587301587,"Up",87218000,-78163000,9055000,-4705000,-4705000,4350000,-19000,-51000,-56000,32000,4331000,4331000,-1584000,2747000,2747000,2747000,2747000,18985000,18985000,33754000,33754000,70026000,4804000,4804000,127569000,83447000,8379000,8379000,91826000,219395000,41557000,34861000,6696000,41557000,14349000,14349000,14349000,55906000,73869000,91182000,-1562000,163489000,163489000,219395000,2747000,2424000,378000,773000,6322000,-1984000,-71000,-2055000,-546000,0,-176000,-722000,3545000,3545000,3545000,6774000,0,7147000,0.10382,0.04988,0.0315,0.0168,0.01252,2.60175,3.06974,0.34196,0,0.15305,0.14968,4.85948,9.10904,0.39821,0.03042,6,0.01852,0.04019,0.19876,-2.80263,-4.36437
"18","2014_Q3",15.78109375,"Up",91436000,-79830000,11606000,-5984000,-5984000,5622000,-284000,-56000,-57000,-228000,5338000,5338000,-1816000,3522000,3522000,3522000,3522000,19181000,19181000,41175000,41175000,71399000,5114000,5114000,136869000,81169000,8413000,8413000,89582000,226451000,44645000,38318000,6327000,44645000,14486000,14486000,14486000,59131000,74726000,94156000,-1562000,167320000,167320000,226451000,6266253000,4899576000,1456622000,-4669773000,7952678000,-2962016000,-20929000,-2982945000,-1093454000,-5.82076609134674e-11,-138824000,-1232278000,3737455000,3737455000,3737455000,4905198000,2.91038304567337e-11,-2724775000,0.12693,0.06149,0.03852,0.02105,0.01555,-773.64424,3.06572,0.3534,0,0.19623,0.1919,5.0945,9.32249,-151.81497,60.92345,5,6.03377,-14.98727,310.46394,-0.00390999999999986,-3.41178
"19","2014_Q4",16.57515625,"Up",113227000,-98964000,14263000,-6219000,-6219000,8044000,797000,-52000,-56000,849000,8841000,8841000,-3044000,5797000,5797000,5797000,5797000,31449000,31449000,46645000,46645000,79167000,5682000,5682000,162943000,80745000,8351000,8351000,89096000,252039000,64322000,55276000,9046000,64322000,14378000,14378000,14378000,78700000,75496000,99405000,-1562000,173339000,173339000,252039000,-6256934000,-4894519000,-1456374000,4670960000,-7936867000,2958200000,22236000,2980436000,1092358000,0,139082000,1231440000,-3724991000,-3724991000,-3724991000,-4886475000,0,2745729000,0.12597,0.07104,0.0512,0.03344,0.023,473.64654,2.53324,0.45402,0,0.31752,0.31058,6.20184,9.49439,150.39322,-59.83228,4,-5.78829,14.62696,-188.43505,0.00644,-3.90962
"20","2015_Q1",15.834262295082,"Down",117097000,-103248000,13849000,-6463000,-6463000,7386000,1171000,-83000,-83000,1254000,8557000,6698000,-2123000,4575000,4575000,4575000,4575000,3050000,3050000,51211000,51211000,81899000,6433000,6433000,142593000,90386000,23816000,7035000,114202000,256795000,63186000,52811000,10375000,63186000,14726000,14726000,14726000,77912000,77244000,103429000,-1790000,178883000,178883000,256795000,4575000.00000191,2793000.00000191,-538000.000000477,269000,7098999.99999619,-3154000,1286000.00000001,-35811000.000001,-550999.999999762,-4.65661287307739e-10,864000.00000003,313000.000000477,-28399000.000001,-28399000.000001,-28399000.000001,10179000,-2.3283064365387e-10,9417000.00000095,0.11827,0.06308,0.03907,0.02558,0.01782,2.0583600000005,2.25672,0.43555,8.67361737988404e-19,0.25059,0.24511,6.41381,9.79805,0.51580000000007,0.0301800000000014,6,0.0264800000000021,0.0486400000000007,0.120439999999945,-0.29964,-0.41294
"21","2015_Q2",15.2201587301587,"Down",110628000,-98585000,12043000,-5652000,-5652000,6391000,-54000,-94000,-94000,40000,6337000,6337000,-2187000,4150000,4150000,4150000,4150000,11000,11000,40688000,40688000,87464000,4784000,4784000,132947000,91443000,23667000,7102000,115110000,248057000,39970000,30874000,9096000,39970000,15163000,15163000,25163000,65133000,77686000,107028000,-1790000,182924000,182924000,248057000,4150000,2869000,1190000,-17722000,-9513000,-3426000,40000,-2975000,-551000,1e+07,-54217666.3858739,9449000,-3039000,-3039000,-3039000,9260000,1e+07,-9701000,0.10886,0.05777,0.03751,0.02269,0.01673,-2.33759,3.32617,0.35607,0.04031,0.22583,0.22051,6.01992,9.95396,-0.52789,0.02998,5,0.02259,-0.04662,0.13277,1.07873,1.56298
"22","2015_Q3",12.82234375,"Down",101767000,-93065000,8702000,-5975000,-5975000,2727000,1489000,-110000,-114000,1599000,4216000,3883000,-1339000,2544000,2544000,2544000,2544000,6172000,6172000,44025000,44025000,83439000,4887000,4887000,138523000,87164000,27862000,10076000,115026000,253549000,42803000,36076000,6727000,42803000,14925000,14925000,24925000,67728000,78592000,109019000,-1790000,185821000,185821000,253549000,2543999.99999976,2928000.00000024,-909999.99999994,3123000.00000024,7685000,-2532000,1417000,-1046000.00000012,-553000,3.72529029846191e-09,75000,-478000,6161000.00000012,6161000.00000012,6161000.00000012,5655000.00000024,1e+07,7585000,0.08551,0.0268,0.025,0.01369,0.01003,2.98153,3.23629,0.36448,0.03944,0.13822,0.13516,5.52931,10.09622,0.412119999999994,0.0300500000000009,5,0.0147,0.0359899999999998,0.217369999999988,0.67692,1.40374
"23","2015_Q4",16.02703125,"Up",117016000,-101322000,15694000,-6427000,-6427000,9267000,-665000,-64000,-65000,-601000,8602000,8257000,-2865000,5392000,5392000,5392000,5392000,11433000,11433000,48215000,48215000,70793000,3923000,3923000,134364000,86642000,27835000,10338000,114477000,248841000,43087000,33312000,9775000,43087000,14844000,14844000,14844000,57931000,78842000,113858000,-1790000,190910000,190910000,248841000,5392000,2907000,-61000,9915000,18153000,-2165000,12000,-2153000,-553000,-1e+07,-186000,-10739000,5261000,5261000,5261000,12174000,0,22789000,0.13412,0.07919,0.04608,0.02824,0.02167,4.22645,3.11843,0.30345,0,0.29242,0.2864,6.34611,10.3536,1.23591,0.02999,5,0.02889,0.11076,0.10256,-0.93913,-1.23373
"24","2016_Q1",19.5670491803279,"Up",118093000,-96199000,21894000,-7770000,-7770000,14124000,34000,-41000,-47000,74999.9999999998,14158000,14487000,-4863000,9624000,9624000,9624000,9624000,33258000,33258000,46782000,46782000,66009000,5309000,5309000,151358000,84178000,24703000,7518000,108881000,260239000,45826000,32182000,13644000,45826000,14198000,14198000,14198000,60024000,79433000,122928000,-2146000,200215000,200215000,260239000,9624000,3230000,184000,6410999.99999999,19449000,3179000,-44000.0000000001,3134999.99999999,-554000.000000004,0,-205000,-759000,21825000,21825000,21825000,17354000,0,31807000,0.1854,0.1196,0.0815,0.04807,0.03698,3.30497,3.30288,0.2998,3.46944695195361e-18,0.5216,0.51347,6.40036,10.85117,1.72386,0.0300300000000003,6,0.04747,0.14834,0.057560000000001,-1.91645,-2.35472
"25","2016_Q2",22.20234375,"Up",92391000,-75968000,16423000,-6335000,-6335000,10088000,91000,-23000,-41000,114000,10179000,10254000,-3546000,6708000,6708000,6708000,6708000,45619000,45619000,40368000,40368000,69065000,2547000,2547000,157599000,83144000,24577000,7681000,107721000,265320000,62100000,31467000,12033000,62100000,13814000,13814000,13814000,75914000,81075000,110477000,-2146000,189406000,189406000,265320000,6708,2742,968,1973,12391,-701,-172,-873,-559,0,1402,843,12361,12361,12361,10090742,0,13638014,0.17776,0.10919,0.0726,0.03542,0.02528,2.0331,2.53783,0.4008,0,0.36211,0.35524,4.98737,10.22435,0.7362,3e-05,5,0.03301,0.06711,8e-05,-4.52088,-4.52211
"26","2016_Q3",26.4753125,"Up",107414000,-88799000,18615000,-7636000,-7636000,10979000,-37000,-8000,-40000,-29000,10942000,10842000,-3690000,7152000,7152000,7152000,7152000,36402000,36402000,48578000,48578000,56574000,2563000,2563000,144117000,83788000,24419000,7813000,108207000,252324000,39750000,30654000,9096000,39750000,13498000,13498000,13498000,53248000,84156000,117066000,-2146000,199076000,199076000,252324000,13853292,5617258,1070032,3195027.00000001,23735609,-4093298.99999999,-223828.000000001,-4317127.00000001,-19721441,2.3283064365387e-10,3434598,-16286843,3131638.99999999,3131638.99999999,3131638.99999999,16596258,-5.82076609134674e-11,19387986,0.1733,0.10221,0.06658,0.03593,0.02834,2.71084999999999,3.62558,0.26748,0,0.38293,0.37612,5.75114,10.65889,1.03807,1.05592,8,0.12642,0.09121,2.75747,-2.19339,-3.3156
"27","2016_Q4",26.8573015873016,"Up",115629000,-88082000,27547000,-6849000,-6849000,20698000,-210000,13000,-40000,-223000,20488000,20430000,-6899000,13531000,13531000,13531000,13531000,53838000,53838000,49426000,49426000,63914000,2208000,2208000,169386000,85779000,24252000,7935000,110031000,279417000,53114000,39738000,13376000,53114000,13212000,13212000,13212000,66326000,85207000,130030000,-2146000,213091000,213091000,279417000,13531000,2909000,-382000,5848000,21906000,-4743000,34000,-4709000,-567000,0,806000,239000,17436000,17436000,17436000,23607000,0,31611000,0.23824,0.179,0.11702,0.0635,0.04843,2.33619,3.1891,0.31126,0,0.71714,0.70713,6.12831,11.29378,1.67538,0.03005,6,0.0623,0.13968,0.0419,-2.28059,-2.60112
"28","2017_Q1",29.27,"Up",103113000,-80510000,22603000,-5249000,-5249000,17354000,-19000,26000,-37000,-45000.0000000001,17335000,14764000,-4910000,9854000,9854000,9854000,9854000,58873000,58873000,47389000,47389000,71186000,3039000,3039000,180487000,88193000,24212000,8184000,112405000,292892000,53783000,42759000,11024000,53783000,14543000,14543000,14543000,68326000,86793000,139314000,-1541000,224566000,224566000,292892000,9854000.00000012,3015000,2571999.99999994,-4841999.99999952,10599000,-3899999.99999976,-44999.9999999925,-3945000,-570000.000000477,-2.91038304567337e-11,-1049000,-1619000.00000024,5035000.00000006,5035000.00000006,5035000.00000006,20369000.0000001,3.63797880709171e-12,16537000.0000002,0.21921,0.1683,0.09557,0.04388,0.03364,1.67819999999996,3.35584,0.30426,0,0.52011,0.51358,5.44247,11.85295,0.87285000000001,0.0300899999999985,5,0.0436000000000001,0.0691600000000016,0.0578400000000574,-2.89032,-3.39247
"29","2017_Q2",27.1436507936508,"Down",93888000,-80878000,13010000,-6264000,-6264000,6746000,28000,18000,-34000,10000,6774000,6726000,-2266000,4460000,4460000,4460000,4460000,57020000,57020000,44155000,44155000,61590000,3258000,3258000,166023000,92332000,24202000,8463000,116534000,282557000,61693000,29001000,8394000,61693000,15888000,15888000,15888000,77581000,87041000,119476000,-1541000,204976000,204976000,282557000,4.46e+09,3.018e+09,1.423e+09,-5.007e+09,3.894e+09,-5.417e+09,-2.21e+08,-5.638e+09,-16642049297.8028,0,-1.09e+08,-1.09e+08,-1.853e+09,-1.853e+09,-1.853e+09,3024746000,0,-7396988000,0.13857,0.07185,0.0475,0.02176,0.01578,-1658.51749,2.69112,0.37849,0,0.23498,0.23218,4.94668,10.79958,-389.7254,875.870282441987,4,0.02019,-33.49114,2022.77403662965,-0.01885,-8.45242
"30","2017_Q3",21.9938095238095,"Down",101159000,-82865000,18294000,-7055000,-7055000,11239000,3000,13000,-35000,-10000,11242000,11217000,-3797000,7420000,7420000,7420000,7420000,40185000,40185000,49577000,49577000,59230000,3264000,3264000,152256000,94805000,24161000,8712000,118966000,271222000,42827000,35605000,7222000,42827000,15736000,15736000,15736000,58563000,87875000,126325000,-1541000,212659000,212659000,271222000,7.42e+09,2.711e+09,3.38e+08,3.213e+09,1.3682e+10,-5.239e+09,20999999.9999999,-5.218e+09,-2.4869e+10,0,-4.3e+08,-2.5299e+10,-1.6835e+10,-1.6835e+10,-1.6835e+10,2722239000,0,700036000,0.18084,0.1111,0.07335,0.03489,0.02736,94.34447,3.55514,0.27538,-1.6940658945086e-21,0.39044,0.38596,5.32304,11.19022,36.8362499999999,1308.61924,4,108.91841,3.06502,3351.61725,-0.0147600000000003,-3.5755
"31","2017_Q4",21.844126984127,"Down",96938000,-80262000,16676000,-6216000,-6216000,10460000,-9000,41000,-34000,-50000,10451000,10391000,-3522000,6869000,6869000,6869000,6869000,37848000,37848000,42307000,42307000,83682000,5182000,5182000,169019000,99383000,24094000,8934000,123477000,292496000,55685000,48079000,7606000,55685000,17644000,17644000,17644000,73329000,88085000,132623000,-1541000,219167000,219167000,292496000,6.869e+09,2.847e+09,1.816e+09,-7.069e+09,4.463e+09,-6.199e+09,-3e+07,-6.229e+09,-5.71e+08,0,0,-5.71e+08,-2.337e+09,-2.337e+09,-2.337e+09,2857460000,0,-10407018000,0.17203,0.1079,0.07086,0.03134,0.02348,-1515.07032,3.03527,0.33458,0,0.36105,0.35733,5.0953,11.51995,-547.01803,30.01314,3,2.44021,-43.94651,83.12709,-0.01325,-3.61836
