"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",35.6566129032258,"Up",483729000,-117123000,366606000,-233824000,-39551000,-4899000,-189374000,132782000,-38495000,-39205000,710000,94287000,-27260000,67027000,-22931000,44096000,44096000,44096000,44096000,259445000,259445000,852724000,852724000,47296000,34817000,28230000,6587000,1194282000,6922283000,109785000,57268000,7032068000,8226350000,1061874000,624370000,437504000,33675000,1097484000,2943741000,1259754000,1196313000,58839000,4203495000,5300979000,1210874000,1714497000,2925371000,2925371000,8226350000,44096000,185992000,226014000,-79035000,377067000,-817635000,-817635000,674527000,-617000,-617000,-3034000,670876000,230308000,230308000,230308000,318774000,2945676000,-554965000,0.75787,0.2745,0.09116,0.01507,0.00536,-12.58538,1.0882,1.81207,0.35808,0.1212,0.12066,1.32959,8.04075,-1.52539,0.00618000000000001,-0.07783,8.42676,20.23039
"12","2013_Q1",41.1378333333333,"Up",659039000,-93024000,566015000,-240582000,-42556000,-5755000,-192271000,325433000,-44717000,-45534000,817000,280716000,39787000,320503000,-99992000,220511000,220511000,220511000,220511000,35729000,35729000,837171000,837171000,46743000,27140000,8751000,18389000,946783000,8105269000,87957000,55726000,8193226000,9140009000,1104847000,687310000,417537000,19068000,1125865000,3537771000,1312674000,1262576000,47925000,4850445000,5976310000,1228691000,1935008000,3163699000,3163699000,9140009000,220511000,194339000,29465000,39853000,484168000,-1312243000,-1312243000,594522000,-5525000,-5525000,15362000,604359000,-223716000,-223716000,-223716000,519772000,3539721000,-652626000,0.85885,0.4938,0.33459,0.0697,0.02413,-2.95961,0.84094,1.88903,0.38728,0.59934,0.5991,1.79123,8.59874,-1.7738,0.02751,-0.08141,6.7414,10.76717
"13","2013_Q2",40.12953125,"Down",702643000,-126646000,575997000,-265906000,-42414000,-9814000,-213678000,310091000,-46929000,-47475000,546000,263162000,-39945000,223217000,-82590000,140627000,140627000,140627000,140627000,58546000,58546000,915513000,915513000,61739000,44794000,41244000,3550000.00000001,1080592000,8764624000,86960000,54096000,8851584000,9932176000,1130396000,734948000,395448000,84697000,1217058000,3976801000,1426237000,1376517000,47405000,5403038000,6620096000,1236445000,2075635000,3312080000,3312080000,9932176000,140627000,215464000,213449000,-111429000,458111000,-873153000,-873153000,439515000,-1488000,-1488000,-168000,437859000,22817000,22817000,22817000,525555000,3978766000,-376437000,0.81976,0.44132,0.20014,0.04246,0.01416,-2.67685,0.88787,1.99877,0.40059,0.38214,0.38078,1.90937,9.00027,-1.02293,0.01613,-0.04318,7.4592,12.64216
"14","2013_Q3",46.57046875,"Up",1093057000,-147993000,945064000,-291131000,-43190000,-11151000,-236790000,653933000,-60744000,-61378000,634000,593189000,-80061000,513128000,-189858000,323270000,323270000,323270000,323270000,220413000,220413000,939682000,939682000,42085000,91450000,14972000,76478000,1293630000,9440216000,166136000,74570000,9606352000,10899982000,1241196000,769249000,471947000,14249000,1257426000,4440820000,1558396000,1510511000,47885000,5999216000,7256642000,1244435000,2398905000,3643340000,3643340000,10899982000,323270000,233175000,76915000,65474000,698834000,-977024000,-977024000,443891000,-1771000,-1771000,-2063000,440057000,161867000,161867000,161867000,887108000,4442801000,165416000,0.86461,0.59826,0.29575,0.08873,0.02966,0.5117,1.02879,1.99176,0.4076,0.87826,0.87494,2.96963,9.89828,0.4494,0.03352,0.01715,4.75972,6.45691
"15","2013_Q4",54.33703125,"Up",814887000,-151384000,663503000,-293618000,-40724000,-8173000,-244721000,369885000,-62171000,-62756000,585000,307714000,-41842000,265872000,-98374000,167498000,167498000,167498000,167498000,91507000,91507000,1018221000,1018221000,55272000,48181000,30801000,17380000,1213181000,10112506000,94601000,72424000,10207107000,11420288000,1414089000,906688000,507401000,51985000,1468071000,4439825000,1691779000,1641589000,50033000,6131604000,7599675000,1254210000,2566403000,3820613000,3820613000,11420288000,167498000,246090000,312669000,95251000,821508000,-949211000,-949211000,-488000,-683000,-683000,-32000,-1203000,-128906000,-128906000,-128906000,615975000,4441822000,-139611000,0.81423,0.45391,0.20555,0.04384,0.01467,-0.83351,0.82638,1.98912,0.38894,0.45499,0.45299,2.21353,10.37818,-0.37923,0.01683,-0.01403,7.06249,11.76126
"16","2014_Q1",55.4039344262295,"Up",811220000,-154961000,656259000,-323981000,-47716000,-5809000,-270456000,332278000,-62874000,-63666000,792000,269404000,-58572000,210832000,-78008000,132824000,132824000,132824000,132824000,28482000,28482000,1006184000,1006184000,54440000,58160000,54544000,3616000,1147266000,10721272000,72644000,72644000,10793916000,11941182000,1375174000,885289000,489885000,95971000,1473156000,4713821000,1801087000,1736812000,56446000,6514908000,7988064000,1253891000,2699227000,3953118000,3953118000,11941182000,132824000,270708000,241481000,-60171000,584842000,-911623000,-911623000,274506000,-10748000,-10748000,-1999.99999999988,263756000,-63024999.9999999,-63024999.9999999,-63025000,602986000,4715832000,-290800000,0.80898,0.4096,0.16373,0.0336,0.01112,-2.18936,0.77878,2.0207,0.39492,0.36056,0.35875,2.2021,10.73094,-0.78939,0.01269,-0.02777,7.77356,14.10671
"17","2014_Q2",67.5512698412698,"Up",972495000,-155188000,817307000,-329284000,-51610000,-4813000,-272861000,488023000,-62216000,-62975000,759000,425807000,-66706000,359101000,-132867000,226234000,226234000,226234000,226234000,51535000,51535000,1057637000,1057637000,72109000,60294000,59495000,799000.000000002,1241575000,11443951000,79375000,76722000,11523326000,12764901000,1460964000,946123000,514841000,104721000,1567714000,5067814000,1941612000,1872457000,63038000,7009426000,8577140000,1262300000,2925461000,4187761000,4187761000,12764901000,226234000,281115000,217224000,-33911000,690662000,-1019480000,-1019480000,354501000,-2630000,-2630000,0,351871000,23053000,23053000,23053000,769138000,5069843000,-151386000,0.84042,0.50183,0.23263,0.05402,0.01772,-0.66916,0.79197,2.04814,0.39717,0.61367,0.61135,2.63793,11.35947,-0.41064,0.0202,-0.01352,6.52459,10.28293
"18","2014_Q3",72.409375,"Up",886095000,-181546000,704549000,-390974000,-52898000,-11205000,-326871000,313575000,-72048000,-72841000,793000,241527000,-77181000,164346000,-60808000,103538000,103538000,103538000,103538000,776963000,776963000,1148169000,1148169000,77959000,119945000,119945000,0,2123036000,12166106000,88364000,87815000,12254470000,14377506000,1584645000,1044099000,540546000,244030000,2129142000,5832872000,2111231000,1984802000,63035000,7944103000,10073245000,1275262000,3028999000,4304261000,4304261000,14377506000,103538000,325523000,356836000,-44106000,741791000,-1057807000,-1057807000,1051334000,-2016000,-2016000,-7874000,1041444000,725428000,725428000,725428000,639098000,6133339000,-402007000,0.79512,0.35388,0.11685,0.02405,0.0072,-3.8827,0.99713,2.3403,0.42659,0.28078,0.27958,2.403,11.6727,-1.0902,0.00825,-0.03204,8.38115,17.08164
"19","2014_Q4",47.84703125,"Down",1645328000,-194773000,1450555000,-425508000,-48317000,-13514000,-363677000,1025047000,-98036000,-73912000,-24124000,927011000,-80150000,846861000,-313340000,533521000,533521000,533521000,533521000,152290000,152290000,1193873000,1193873000,82564000,170149000,26881000,143268000,1598876000,12993789000,119422000,88420000,13113211000,14712087000,1791982000,1201082000,590900000,10473000,1804517000,5831860000,2227500000,2155442000,72058000,8059360000,9863877000,1285690000,3562520000,4848210000,4848210000,14712087000,533521000,363635000,-35240000,-16518000,845398000,-1148973000,-1148973000,-300504000,-2972000,-2972000,-17622000,-321098000,-624673000,-624673000,-624673000,1388682000,5833922000,536531000,0.88162,0.623,0.32426,0.11004,0.03626,1.00564,0.88604,2.03454,0.39654,1.44659,1.43989,4.46113,13.14541,1.45475,0.04133,0.04156,4.09138,5.5428
"20","2015_Q1",41.3345901639344,"Down",1297700000,-170725000,1126975000,-469496000,-53701000,-20535000,-395260000,657479000,-73498000,-74200000,702000,583981000,-392251000,191730000,-77681999.9999999,114048000,114048000,114048000,114048000,24381000,24381000,1133312000,1133312000,102179000,129729000,77306000,52423000,1389601000,13635852000,50580000,18588000,13686432000,15076033000,1795636000,1263724000,531912000,8950000,1806664000,5926800000,2374725000,2286796000,84820000,8301525000,10108189000,1291661000,3676568000,4967844000,4967844000,15076033000,114048000,398038000,597922000,-32144000,1077864000,-1361139000,-1361139000,164490000,-8965000,-8965000,-27000,155498000,-127777000,-127777000,-127909000,1055517000,5928878000,-260084000,0.86844,0.50665,0.0878800000000001,0.02296,0.00756,-2.28048,0.76915,2.03472,0.39327,0.30899,0.30649,3.51587,13.45942,-0.704649999999999,0.00859,-0.0196,5.59394,8.98051
"21","2015_Q2",46.2311111111111,"Up",625644000,-141303000,484341000,-448056000,-49274000,-14340000,-386512000,36285000,-74716000,-75063000,347000,-38431000,-147561000,-185992000,54021000,-131971000,-131971000,-131971000,-131971000,47645000,47645000,962285000,962285000,108347000,82603000,30211000,52392000,1200880000,14111154000,123230000,85811000,14234384000,15435264000,1591678000,1009133000,582545000,7168000.00000001,1600939000,6784816000,2208471000,2119281000,88614000,8993287000,10594226000,1299931000,3544597000,4841038000,4841038000,15435264000,-131971000,391026000,104070000,159065000,522190000,-1278404000,-1278404000,789485000,-3003000,-3003000,-2099000,784383000,28169000,28169000,23264000,427311000,6786909000,-746049000,0.77415,0.058,-0.21094,-0.02726,-0.00855,5.65313,0.75011,2.18842,0.4397,-0.35727,-0.35727,1.69375,13.10567,-2.01971,-0.00954,-0.05392,15.77133,185.7314
"22","2015_Q3",31.606875,"Down",796374000,-153280000,643094000,-506419000,-51283000,-109000,-452957000,136675000,-77903000,-78442000,539000.000000001,58772000,-54228000,4544000,-4140999.99999999,403000,403000,403000.000000015,403000.000000015,25458000,25458000,996490000,996490000,100173000,78192000,27978000,50214000,1200313000,14169202000,40336000,18321000,14209538000,15409851000,1312363000,776966000,535397000,1096000,1315569000,6988046000,2250209000,2156268000,93113000,9238255000,10553824000,1313892000,3.545e+09,4856027000,4856027000,15409851000,403000,447190000,97248000.0000001,-150219000,394622000,-684899000,-684899000,269483000,-2189000,-2189000,-11000,267283000,-22994000,-22994000,-22187000,583865000,6990156000,-247112000,0.80753,0.17162,0.00051000000000001,8e-05,3e-05,-613.18114,0.91239,2.17335,0.45362,0.00108999999999992,0.00108999999999998,2.15522,13.1418,-0.66876,3e-05,-0.01753,11.92861,50.9581
"23","2015_Q4",31.0715625,"Down",682669000,-131718000,550951000,-506896000,-57856000,-231000,-448809000,44055000,-78811000,-79399000,588000,-34756000,-96411000,-131167000,48743000,-82424000,-82424000,-82424000,-82424000,16955000,16955000,784704000,784704000,93010000,92239000,13629000,78610000,986908000,14173563000,45406000,18135000,14218969000,15205877000,1147209000,613780000,533429000,581000,1149917000,7108702000,2148681000,2048413000,100158000,9257383000,10407300000,1339304000,3462576000,4798577000,4798577000,15205877000,-82424000,447942000,17665000,115497000,498680000,-634396000,-634396000,119480000,-626000,-626000,13177000,132031000,-3685000,-3685000,-8503000,491997000,7110829000,-75645000,0.80705,0.06453,-0.12074,-0.01718,-0.00542,0.91775,0.85824,2.16883,0.46764,-0.22301,-0.22301,1.84705,12.9832,-0.20467,-0.00586,-0.00538,14.41853,161.02313
"24","2016_Q1",21.9575409836066,"Down",575480000,-123233000,452247000,-514281000,-48770000,-4733000,-460778000,-62034000,-79654000,-80175000,521000,-141688000,-80782000,-222470000,82794000,-139676000,-139676000,-139676000,-139676000,11463000,11463000,611037000,611037000,94151000,105688000,11766000,93922000,822339000,14063328000,34141000,19581000,14097469000,14919808000,917232000,553285000,363947000,3652000,923028000,7115644000,2212236000,2090228000,118302000,9327880000,10250908000,1349354000,3322900000,4668900000,4668900000,14919808000,-139676000,460296000,16710000,104279000,441609000,-448548000,-448548000,7473999.99999997,-1495000,-1495000,-2487000,3492000,-3447000,-3447000,-5492000,398262000,7117788000,-28801000,0.78586,-0.1078,-0.24271,-0.02992,-0.00936,0.206199999999955,0.89091,2.19557,0.47707,-0.37784,-0.37924,1.55676,12.63005,-0.07791,-0.00998,-0.00206,17.84334,-114.55532
"25","2016_Q2",38.18796875,"Up",453174000,-109133000,344041000,-502508000,-35450000,-3066000,-463992000,-158467000,-80569000,-80953000,384000,-239036000,-80636000,-319672000,121346000,-198326000,-198326000,-198326000,-198326000,12927000,12927000,544615000,544615000,92832000,109807000,15087000,94720000,760181000,13843132000,30076000,17527000,13873208000,14633389000,861290000,484901000,376389000,1906000,865358000,7203440000,2089471000,1968876000,118139000,9292911000,10158269000,1353474000,3124574000,4475120000,4475120000,14633389000,-198326000,465451000,-32677000,44454000,278902000,-358811000,-358811000,86470000,-5088000,-5088000,-40000,81342000,1433000,1433000,1464000,306984000,7205602000,-128719000,0.75918,-0.34968,-0.43764,-0.04432,-0.01355,0.64903,0.87846,2.26994,0.49241,-0.53593,-0.53593,1.22459,12.09289,-0.34783,-0.0144,-0.00935,23.43013,-45.3891
"26","2016_Q3",45.168125,"Up",451210000,-113225000,337985000,-483255000,-39822000,-1673000,-441760000,-145270000,-81487000,-81922000,435000,-226757000,34724000,-192033000,72632000,-119401000,-119401000,-119401000,-119401000,16560000,16560000,646363000,646363000,102896000,31393000,14700000,16693000,797212000,13541129000,21395000,18350000,13562524000,14359736000,791468000,412851000,378617000,24412000,818059000,7149279000,2025449000,1896238000,119921000,9174728000,9992787000,1364679000,3005173000,4366949000,4366949000,14359736000,-119401000,442570000,27686000,-132036000,218819000,-158983000,-158983000,-55534000,-647000,-647000,-9.31322574615479e-10,-56181000,3655000,3655000,3633000,297300000,7151458000,-66351000,0.74906,-0.32196,-0.26462,-0.02734,-0.00831,0.555700000000005,0.97452,2.28828,0.49802,-0.32233,-0.32233,1.21805,11.78871,-0.17912,-0.00882,-0.0049,23.99898,-49.11474
"27","2016_Q4",50.2528571428571,"Up",526200000,-101603000,424597000,-465653000,-46995000,-3987000,-414671000,-41056000,-81715000,-82074000,359000,-122771000,-52126000,-174897000,65276000,-109621000,-109621000,-109621000,-109621000,19496000,19496000,614133000,614133000,92894000,24352000,11765000,12587000,750875000,13094683000,19694000,18018000,13114377000,13865252000,786195000,413278000,372917000,13958000,802350000,6830141000,1972063000,1847947000,119817000,8802204000,9604554000,1367631000,2895552000,4260698000,4260698000,13865252000,-109621000,414259000,1431000,60098000,366167000,-32427000,-32427000,-320537000,-805000,-805000,-9460000,-330802000,2938000,2938000,2936000,373203000,6832338000,335598000,0.80691,-0.07802,-0.20833,-0.02573,-0.00791,-3.06144,0.93584,2.25422,0.49277,-0.29589,-0.29589,1.42031,11.50039,0.90584,-0.00839,0.02569,18.25506,-165.94023
"28","2017_Q1",45.7716129032258,"Down",549689000,-107716000,441973000,-455266000,-58699000,-8246000,-388321000,-13293000,-101149000,-75613000,-25536000,-114442000,168590000,54148000,-26479000,27669000,27669000,27669000,27669000,16643000,16643000,769699000,769699000,111987000,14904000,10843000,4061000,913233000,12881227000,17316000,17316000,12898543000,13811776000,870537000,476342000,394195000,59637000,932393000,6577697000,1999690000,1890305000,109385000,8577387000,9509780000,1379035000,2923221000,4301996000,4301996000,13811776000,27669000,387287000,-18193000,-134732000,262031000,17256000,17256000,-260543000,-2053000,-2053000,-19536000,-282132000,-2845000,-2845000,-2853000,373994000,6579916000,282997000,0.80404,-0.02418,0.05034,0.00643,0.002,10.22794,0.97945,2.21055,0.4764,0.07467,0.07467,1.48348,11.61007,0.76374,0.00215,0.02197,17.54914,-493.73904
"29","2017_Q2",38.4503174603175,"Down",685427000,-114088000,571339000,-437211000,-50057000,-4998000,-382156000,134128000,-70730000,-71172000,442000,63398000,-56907000,6491000,-6022000,469000,469000,469000,469000,17188000,17188000,791152000,791152000,98690000,22476000,14952000,7524000,929506000,12880357000,16197000,16197000,12896554000,13826060000,985226000,582565000,402661000,17859000,1005321000,6508209000,2003176000,1891177000,111999000,8511385000,9516706000,1380636000,2928840000,4309354000,4309354000,13826060000,469000,381385000,30570000,57777000,470201000,-389271000,-389271000,-70548000,-9837000,-9837000,0,-80385000,545000,545000,545000,515513000,6510445000,190041000,0.83355,0.19569,0.00068,0.000110000000000001,3.00000000000005e-05,405.20469,0.92459,2.20838,0.47088,0.00126,0.00126,1.84835,11.6208,0.51247,3.99999999999984e-05,0.01482,12.59572,48.4109
