"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",14.9088709677419,"Up",1302591000,-1044765000,257826000,-145769000,-125191000,-20578000,112057000,-6151000,-7453000,105906000,105906000,10727000,116633000,116633000,116633000,116633000,1563651000,1563651000,4600094000,368390000,340108000,6532135000,30794000,566597000,152523000,414074000,608445000,7140580000,1713417000,210332000,1503085000,4816254000,202280000,202280000,202280000,5018534000,2122046000,7140580000,116633000,7450000,14697000,70912000,209692000,-3522000,-408000,9925000,5995000,1.03e+08,27379000,-92893000,37486000,253173000,253173000,253173000,119507000,2999837000,176170000,0.19793,0.08603,0.08954,0.05496,0.01633,1.51046,1.35627,2.36495,0.42011,0.30584,0.30328,3.41569,0.46196,0.02191,0.03309,12.01759,12.81657
"12","2013_Q1",17.5401666666667,"Up",1566966000,-1261013000,305953000,-214363000,-141766000,-72597000,91590000,-40377000,-41728000,51213000,51213000,7528999.99999999,58742000,58742000,58742000,58742000,1404760000,1404760000,4305150000,390881000,390881000,6100791000,45629000,556923000,149248000,407675000,633618000,6734409000,1697520000,178274000,1519246000,4345928000,198865000,198865000,198865000,4544793000,2189616000,6734409000,58742000,7749000,52539000,219878000,338908000,-464000,-15190000,2990000,-12664000,35795000,5377000,-526307000,-485135000,-158891000,-158891000,-158891000,99339000,2509613000,311224000,0.19525,0.05845,0.03749,0.02683,0.00872,5.29815,1.40379,2.07561,0.37266,0.15308,0.15024,4.08345,0.81104,0.01199,0.06354,11.12205,12.06303
"13","2013_Q2",18.27609375,"Up",1162756000,-923488000,239268000,-152214000,-129626000,-22588000,87054000,-4704000,-4772000,82350000,82350000,-588000,81762000,81762000,81762000,81762000,1592924000,1592924000,4204950000,304781000,304781000,6102655000,44744000,554754000,145973000,408781000,638486000,6741141000,1700403000,176696000,1523707000,4268763000,196863000,196863000,196863000,4465626000,2275515000,6741141000,81762000,7339000,12199000,169320000,270620000,-5319000,-593000,4723000,-1189000,-82164000,1110000,-213000,-81267000,188164000,188164000,188164000,94393000,2511729000,258982000,0.20578,0.07487,0.07032,0.03593,0.01213,3.16751,1.42961,1.96247,0.3726,0.2128,0.20947,3.02621,0.67403,0.0164,0.05196,9.73383,10.55443
"14","2013_Q3",15.02953125,"Down",1279422000,-1011528000,267894000,-173566000,-150531000,-23035000,94328000,-55998000,-57339000,38330000,38330000,-1913000,36416999.9999999,36416999.9999999,36416999.9999999,36416999.9999999,1212668000,1212668000,4272834000,304038000,304038000,5789540000,44378000,584602000,142698000,441904000,662731000,6452271000,1781482000,207750000,1573732000,3923410000,200646000,200646000,200646000,4124056000,2328215000,6452271000,36416999.9999999,7745000,38710000,-18427000,64445000,-5689000,-214000.000000002,-283000,-6186000,3235000,10987000,-452737000,-438515000,-380256000,-380256000,-380256000,102073000,2082062000,79869999.9999999,0.20939,0.07373,0.0284599999999999,0.01564,0.00564,2.19321,1.47564,1.77134,0.32269,0.0944900000000001,0.0931000000000001,3.31982,0.20725,0.0079,0.01732,8.51737,9.21671
"15","2013_Q4",15.6896875,"Up",1582078000,-1230070000,352008000,-161881000,-138637000,-23244000,190127000,-15405000,-17055000,174722000,174722000,2107162000,2281884000,2281884000,2281884000,2281884000,1349994000,1349994000,4216064000,366343000,366343000,5932401000,45006000,2688703000,139423000,440524000,2761321000,8693722000,1833412000,214098000,1619314000,4005167000,196870000,196870000,196870000,4202037000,4491685000,8693722000,2281884000,8050000,-2095786000,25737000,219885000,-7337000,-250000,-3129000,-10716000,55232000,-83488000,-24270000,-71843000,137326000,137326000,137326000,198177000,2056657000,-1890585000,0.2225,0.12018,1.44233,0.50802,0.26247,-0.82852,1.48119,0.93551,0.23657,5.95974,5.91004,4.13201,-4.93776,0.34116,-0.28029,3.56582,3.71679
"16","2014_Q1",17.5273770491803,"Up",1655339000,-1249868000,405471000,-173081000,-149706000,-23375000,232390000,30000,3089000,232420000,232420000,-12366999.9999995,220053000,220053000,220053000,220053000,1580329000,1580329000,4040296000,360648000,360648000,5981273000,45323000,2683523000,136148000,460621000,2752870000,8734143000,1715344000,202736000,1512608000,3879176000,206015000,206015000,206015000,4085191000,4648952000,8734143000,220053000,8453000,29215000,68465000,326186000,-10554000,1057000,-18389000,-27886000,-489261000,-36859000,477220000,-67965000,230335000,230335000,230335000,240843000,2058168000,311121000,0.24495,0.14039,0.13294,0.04733,0.02519,1.41385,1.54189,0.87873,0.23565,0.57938,0.579300000000001,4.35836,0.81915,0.03459,0.045,1.98403,2.05619
"17","2014_Q2",17.0804761904762,"Down",1118894000,-833614000,285280000,-148209000,-144887000,-3322000,137071000,-7042000,-13831000,130029000,130029000,-55210000,74819000,74819000,74819000,74819000,1268162000,1268162000,4106825000,285517000,285517000,5660504000,40120000,2628587000,132873000,461046000,2690907000,8351411000,1631661000,205234000,1426427000,3481538000,205810000,205810000,205810000,3687348000,4664063000,8351411000,74819000,8942000,70420000,-62785000,91396000,-17842000,-9000,-1996000,-19847000,-69828000.0000001,-44810000,-250013000,-383716000,-312167000,-312167000,-312167000,146013000,1814041000,120596000,0.25497,0.12251,0.06687,0.01604,0.00896000000000001,1.61184,1.62586,0.79059,0.21721,0.19485,0.19293,2.91385,0.31406,0.01405,0.01804,3.73856,3.98245
"18","2014_Q3",16.7978125,"Down",1286187000,-959524000,326663000,-251882000,-229768000,-22114000,74781000,-7101000,-9324000,67680000,67680000,-25800000,41880000,41880000,41880000,41880000,1170934000,1170934000,4277449000,323214000,323214000,5771597000,40131000,2628314000,129598000,496990000,2695739000,8467336000,1762092000,253915000,1508177000,3636146000,193146000,193146000,193146000,3829292000,4638044000,8467336000,41880000,9962000,43487000,-112443000,-17114000,-15081000,3.72529029846191e-09,-25384000,-40465000,22670000,-53112000,9880000,-39649000,-97228000,-97228000,-97228000,84743000,1815548000,-16981000.0000001,0.25398,0.05814,0.03256,0.00903,0.00495,-0.40547,1.58728,0.82563,0.21442,0.11136,0.11031,3.42006,-0.04515,0.00917,-0.00255,7.60669,8.62002
"19","2014_Q4",17.848125,"Up",1594724000,-1198909000,395815000,-169758000,-147136000,-22622000,226057000,-1129000,-2406000,224928000,224928000,-84383000,140545000,140545000,140545000,140545000,1221817000,1221817000,4524963000,261375000,261375000,6008155000,40295000,2549378000,126340000,500744000,2606490000,8614645000,1819374000,299004000,1520370000,3708022000,196214000,196214000,196214000,3904236000,4710409000,8614645000,140545000,9960000,85290000,-108242000,127553000,-8965000,-77460000,77141000,-9284000,-237543000,-51184000,240133000,-67386000,50883000,50883000,50883000,236017000,1817054000,203193000,0.2482,0.14175,0.08813,0.02984,0.01631,1.44575,1.62031,0.82885,0.21093,0.37626,0.37251,4.26932,0.54398,0.0237,0.03022,2.52201,2.63313
"20","2015_Q1",19.5616393442623,"Up",1822558000,-1181375000,641183000,-362598000,-339599000,-22999000,278585000,-11464000,-1175000,267121000,267121000,-50027000,217094000,217094000,217094000,217094000,1292862000,1292862000,4493290000,355889000,355889000,6142041000,40368000,2387001000,123115000,543218000,2427369000,8569410000,1756932000,270516000,1486416000,3715734000,48722000,48722000,48722000,3764456000,4804954000,8569410000,217094000,1.1e+07,71050000,-193098000,106046000,-6902000,-4958999.99999999,-41156000,-53017000,68647000,-88286000,0,-38341000,14688000,14688000,14688000,289585000,1818561000,139612000,0.3518,0.15285,0.11912,0.04518,0.02533,0.64309,1.65298,0.78345,0.21222,0.62399,0.61737,5.23853,0.40128,0.03534,0.02092,1.81535,1.88703
"21","2015_Q2",18.2865079365079,"Down",1133298000,-854523000,278775000,-183853000,-161312000,-22541000,94922000,883000,883000,95805000,95805000,-40834000,54971000,54971000,54971000,54971000,1053927000,1053927000,4723579000,240626000,240626000,6018132000,41474000,2311418000,119890000,511665000,2415153000,8433285000,1756315000,271165000,1485150000,3643945000,47346000,47346000,47346000,3691291000,4741994000,8433285000,54971000,11062000,52209000,-143639000,-25397000,-14517000,0,4632000,-9885000,-72678000,-101359000,0,-203653000,-238935000,-238935000,-238935000,105984000,1820067000,-11338000,0.24599,0.08376,0.04851,0.01159,0.00652,-0.20625,1.65154,0.77843,0.21582,0.14989,0.14853,3.09013,-0.03091,0.0128,-0.00172,7.22883,8.07126
"22","2015_Q3",18.4140625,"Up",1280291000,-958593000,321698000,-150886000,-130119000,-20767000,170812000,-3186000,-3186000,167626000,167626000,-64302000,103324000,103324000,103324000,103324000,460361000,460361000,4977073000,286718000,286718000,5724152000,40232000,2295308000,116665000,561034000,2433804000,8157956000,1800072000,290436000,1509636000,3502923000,48774000,48774000,48774000,3551697000,4606259000,8157956000,103324000,10791000,70297000,-350118000,-165706000,-8598000,3.72529029846191e-09,10018000,1419999.99999999,-186286000,-213485000,-2.98023223876953e-08,-429280000,-593566000,-593566000,-593566000,181603000,1583580000,-112811000,0.25127,0.13342,0.0807,0.02243,0.01267,-1.09182,1.63411,0.77106,0.19411,0.28621,0.28367,3.54642,-0.31249,0.02129,-0.01808,6.18502,6.57576
"23","2015_Q4",16.95359375,"Down",1506747000,-1122175000,384572000,-183963000,-159362000,-24601000,200609000,-21335000,-21335000,179274000,179274000,-71507000,107767000,107767000,107767000,107767000,734153000,734153000,5326062000,296600000,296600000,6356815000,41509000,2300706000,113440000,637962000,2444763000,8801578000,2487455000,372498000,2114957000,4179067000,50906000,50906000,50906000,4229973000,4571605000,8801578000,107767000,11866000,67004000,-240433000,-53796000,-10934000,0,-981000,-11915000,-12289000,-117523000,498087000,339503000,273792000,273792000,273792000,212475000,1584104000,32615000,0.25523,0.13314,0.07152,0.02357,0.01224,0.30264,1.52111,0.92527,0.17998,0.30778,0.30497,4.30318,0.09315,0.022,0.00525,4.00024,4.23685
"24","2016_Q1",15.5881967213115,"Down",2061628000,-1336512000,725116000,-358073000,-343935000,-14138000,367043000,6275000,6275000,373318000,373318000,-145290000,228028000,228028000,228028000,228028000,754161000,754161000,5531550000,463989000,463989000,6749700000,41267000,2398439000,110215000,893345000,2439706000,9189406000,2529072000,327725000,2201347000,4373031000,57050000,57050000,57050000,4430081000,4759325000,9189406000,228028000,12503000,153543000,-486765000,-92691000,-11391000,-454000,-2339000,-14184000,657783000,163999.999999985,-498087000,131799000,24924000,24924000,24924000,379546000,1576082000,26680000,0.35172,0.17804,0.11061,0.04791,0.02481,0.117,1.54348,0.93082,0.17151,0.6545,0.64882,5.91742,0.07658,0.04006,0.00417,2.16554,2.2393
"25","2016_Q2",17.028125,"Up",1432578000,-1040056000,392522000,-268435000,-242316000,-26119000,124087000,-5874000,-5874000,118213000,118213000,-34913000,83300000,83300000,83300000,83300000,995696000,995696000,6287496000,312997000,312997000,7596189000,53090000,2194201000,163185000,686163000,2247291000,9843480000,2349333000,331932000,2017401000,5036493000,33460000,33460000,33460000,5069953000,4773527000,9843480000,83300000,13113000,63828000,-223158000,-62917000,-9460000,-443545000,1253000,-451752000,-149965000,-52693000,991575000,757349000,242680000,242680000,242680000,137200000,2568546000,-60505000,0.274,0.08662,0.05815,0.01745,0.00846,-0.72635,1.50823,1.0621,0.26094,0.2395,0.23768,4.11879,-0.17396,0.01557,-0.0082,11.46392,12.67538
"26","2016_Q3",19.116875,"Up",1799914000,-1314971000,484943000,-282452000,-256273000,-26179000,202491000,-12911000,-12911000,189580000,189580000,-71820000,117760000,117760000,117760000,117760000,229187000,229187000,6715245000,390488000,390488000,7334920000,52500000,2119636000,161372000,681168000,2172136000,9507056000,2361581000,340847000,2020734000,4654959000,33980000,33980000,33980000,4688939000,4818117000,9507056000,117760000,13592000,80651000,-469192000,-257189000,-11584000,-249000,4220000,-7613000.00000006,-413329000,-47371000,-5490999.99999976,-497642000,-762444000,-762444000,-762444000,216083000,2103821000,-192873000,0.26943,0.1125,0.06543,0.02444,0.01239,-1.63785,1.57572,0.97319,0.22129,0.3411,0.33839,5.21352,-0.55866,0.02145,-0.02773,8.67553,9.25786
"27","2016_Q4",17.5938095238095,"Down",1942905000,-1429134000,513771000,-277819000,-250913000,-26906000,235952000,-23617000,-23617000,212335000,212335000,-83865000,128470000,128470000,128470000,128470000,434205000,434205000,7007710000,375996000,375996000,7817911000,51768000,2001853000,158242000,647706000,2053621000,9871532000,1897078000,378423000,1518655000,5165938000,33562000,33562000,33562000,5199500000,4672032000,9871532000,128470000,13513000,91986000,-220369000,13600000,-9507000,-713000,0,-10220000,-531523000,-244937000,1009877000,202138000,205518000,205518000,205518000,249465000,3110066000,103454000,0.26443,0.12144,0.06612,0.0275,0.01301,0.80528,1.51336,1.1129,0.31505,0.37766,0.37518,5.71155,0.30412,0.02044,0.01324,10.7264,11.3407
"28","2017_Q1",20.0606451612903,"Up",2493079000,-1835928000,657151000,-237017000,-207648000,-29369000,420134000,-6412000,-6412000,413722000,413722000,-140549000,273173000,273173000,273173000,273173000,698882000,698882000,6802383000,563862000,563862000,8065127000,51447000,2061626000,154792000,857426000,2113073000,10178200000,5152356000,405455000,4746901000,5483977000,34860000,34860000,34860000,5518837000,4659363000,10178200000,273173000,13789000,142178000,-54364000,374776000,-8744000,-490000.000000015,7627000,-1607000.00000003,2167579000,-252360000,-1995961000,-111110000,262059000,262059000,262059000,433923000,0,511364000,0.26359,0.16852,0.10957,0.05863,0.02684,1.87194,1.47067,1.18446,0,0.83857,0.83387,7.65307,1.56975,0.06466,0.10893,-1.61061,-1.66347
"29","2017_Q2",21.8174603174603,"Up",1629878000,-1220906000,408972000,-264635000,-236268000,-28367000,144337000,-5072000,-5072000,139265000,139265000,-47747000,91518000,91518000,91518000,91518000,397758000,397758000,7076898000,371484000,371484000,7846140000,65293000,2009381000,151342000,829625000,2074674000,9920814000,1968343000,367180000,1601163000,5218728000,41941000,41941000,41941000,5260669000,4660145000,9920814000,91518000,13209000,57477000,-122401000,39803000,-9996000,-14802000,1423000,-23375000,-192307000,-94404000,-1830883521.63129,-315813000,-299385000,-299385000,-299385000,157546000,3110004000,72896000,0.25092,0.08856,0.05615,0.01964,0.00922,0.79652,1.50346,1.12886,0.31348,0.28801,0.28592,5.12934,0.22941,0.01544,0.00933,17.21558,18.79107
"30","2017_Q3",23.7320634920635,"Up",2021859000,-1637536000,384323000,-244690000,-216211000,-28479000,139633000,-17085000,-17085000,122548000,122548000,-21798000,100750000,100750000,100750000,100750000,208203000,208203000,7194816000,396591000,396591000,7799610000,59617000,1953651000,147892000,818972000,2013268000,9812878000,2105179000,407691000,1697488000,5368876000,43727705.057506,43727705.057506,43727705.057506,5368876000,4444002000,9812878000,100750000,12814000,171807000,-148848000,136523000,-6896000,-3030000,1720000,-8205999.99999999,12236000,-295449000,9.5367431640625e-07,-312325000,-184008000,-184008000,-184008000,152447000,3109994000,18501000.0000001,0.19008,0.06906,0.04983,0.02267,0.01027,0.18363,1.45275,1.20812,0.31693,0.32259,0.32098,6.47378,0.05924,0.01719,0.00245,19.03475,20.78156
"31","2017_Q4",29.2257142857143,"Up",2127957000,-1589729000,538228000,-266799000,-237495000,-29304000,271429000,-3180000,-3180000,268249000,268249000,-90710000,177539000,177539000,177539000,177539000,158237000,158237000,7466301000,403594000,403594000,8028132000,61497000,1881640000,144442000,797439000,1943137000,9971269000,2187376000,441481000,1745895000,5626184000,52336007.6560175,52336007.6560175,52336007.6560175,5626184000,4345085000,9971269000,177539000,12666000,54893000,-168945000,76153000,-6656000,-4175000,2645000,-8186000,170273000,-253194000,0,-110725000,-42758000,-42758000,-42758000,284095000,3109984000,199204000,0.25293,0.12755,0.08343,0.04086,0.01781,1.12203,1.42692,1.29484,0.31189,0.59469,0.59135,7.12793,0.66727,0.02754,0.02672,10.39,10.87484
"32","2018_Q1",29.2649180327869,"Up",2793556000,-2147430000,646126000,-234746000,-201607000,-33139000,411380000,-2614000,-2614000,408766000,408766000,-331352000,77414000,77414000,77414000,77414000,272683000,272683000,7215514000,604085000,604085000,8092282000,62957000,1531410000,140992000,745123000,1594367000,9686649000,5007894000,393815000,4614079000,5445698000,86925000,86925000,86925000,5532623000,4154026000,9686649000,77414000,12309000,361937000,-41062000,410598000,-8503000,-1030000,-942000,-10475000,-18766000,-245556000,-2.98023223876953e-08,-291052000,109071000,109071000,109071000,423689000,0,705476000,0.23129,0.14726,0.02771,0.01864,0.00799,9.11303,1.486,1.33187,0,0.26535,0.26415,9.57527,2.41811,0.02456,0.16635,-0.64359,-0.66285
"33","2018_Q2",28.48390625,"Down",1970093000,-1471488000,498605000,-273106000,-240893000,-32213000,225499000,-1308000,-1308000,224191000,224191000,-53440000,170751000,170751000,170751000,170751000,150821000,150821000,7534550000,419419000,419419000,8104790000,64810000,1536795000,137542000,784355000,1601605000,9706395000,5069119000,446304000,4622815000,5316071000,115667000,115667000,115667000,5431738000,4274657000,9706395000,170751000,11890000,34556000,-48184000,169013000,-15428000,-1e+06,452000,-15976000,-191303000,-56768000,20681444.5010132,-274418000,-121381000,-121381000,-121381000,237389000,0,227217000,0.25309,0.11446,0.08667,0.03994,0.01759,1.33069,1.52458,1.27068,0,0.59561,0.59283,6.87203,0.79257,0.04489,0.05175,-0.635329999999999,-0.668830000000001
