"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",24.2517741935484,"Down",1565500000,-6.57e+08,908500000,-748500000,-540200000,-208300000,1.6e+08,-9500000,7e+05,150500000,-3500000,1.47e+08,-27300000,119700000,119700000,119700000,119700000,4866100000,2420900000,2445200000,685400000,685400000,153800000,462400000,462400000,6167700000,1081800000,1572100000,905200000,257500000,409400000,2653900000,8821600000,489400000,220200000,269200000,3346500000,1236500000,197300000,197300000,1433800000,4780300000,2624600000,4600000,4041500000,4041500000,8821800000,119600000,73600000,92300000,-16300000,269200000,-91300000,-61600000,-2e+06,-154900000,49100000,49100000,0,-2500000.00000001,46600000,160900000,160900000,-9e+06,151900000,233600000,2545800000,153300000,0.58033,0.1022,0.07646,0.02962,0.01357,1.2807,1.84303,1.1828,0.28859,0.33232,0.32031,4.3462,11.22016,0.4256,0.01764,0.0226,-9.93279,-14.50188
"12","2013_Q1",27.232,"Up",1702500000,-707500000,9.95e+08,-771200000,-549600000,-221600000,223800000,-7e+06,2400000,216800000,-2400000,214400000,-33800000,180600000,180600000,180600000,180600000,5398500000,1549800000,3848700000,830900000,830900000,161500000,435600000,435600000,6826500000,1137200000,1568600000,905200000,2.36e+08,427400000,2705800000,9532300000,573400000,233100000,340300000,3519800000,1.512e+09,206900000,206900000,1718900000,5238700000,2805300000,4900000,4293600000,4293600000,9532300000,180700000,82600000,74900000,244400000,582600000,-124200000,-1403700000,1600000,-1526300000,41099999.9999999,41100000,0,30500000,71599999.9999999,-872100000,-872100000,1e+06,-871100000,306400000,4080800000,460400000,0.58443,0.13145,0.10608,0.04206,0.01895,2.54928,1.93946,1.22012,0.4281,0.4967,0.4729,4.68234,11.80858,1.26623,0.02105,0.05365,-4.30059,-5.88785
"13","2013_Q2",28.5615625,"Up",1444600000,-594500000,850100000,-769900000,-548500000,-221400000,80200000,-6e+06,3100000,74200000,0,74200000,-10400000,63800000,63800000,63800000,63800000,5441100000,1529400000,3911700000,584200000,584200000,203700000,511800000,511800000,6740800000,1139100000,1526100000,905200000,214600000,406300000,2665200000,9.406e+09,492800000,275600000,217200000,3459900000,1363100000,207300000,207300000,1570400000,5030300000,2765700000,5200000,4375700000,4375700000,9.406e+09,63800000,82400000,55800000,27200000,229200000,-61900000,-66100000,1300000,-126700000,-1.15e+08,3.5e+07,-1.5e+08,2900000,-112100000,-9600000,-9600000,-10800000,-20400000,162600000,2767500000,138300000,0.58847,0.05552,0.04416,0.01458,0.00678,2.16771,1.94826,1.1496,0.29423,0.17427,0.17188,3.94592,11.9522,0.37777,0.00868,0.01882,-16.4428,-33.33666
"14","2013_Q3",32.8953125,"Up",1541200000,-627300000,913900000,-778600000,-554800000,-223800000,135300000,-7600000,1200000,127700000,-4.65661287307739e-10,127700000,-18100000,109600000,109600000,109600000,109600000,5.571e+09,1816800000,3754200000,6.15e+08,6.15e+08,213200000,488500000,488500000,6887700000,1132400000,1533800000,905200000,193100000,435500000,2666200000,9553900000,557600000,246600000,3.11e+08,3573700000,1361700000,216300000,216300000,1.578e+09,5151700000,2.735e+09,8200000,4402200000,4402200000,9553900000,109600000,86700000,61800000,78300000,336400000,-67100000,159500000,1500000,93900000.0000001,-188200000,10100000,-198300000,40400000,-147800000,282500000,282500000,4900000,287400000,2.22e+08,2770200000,251300000,0.59298,0.08779,0.07111,0.0249,0.01147,2.29288,1.92733,1.17026,0.28995,0.30268,0.29766,4.25628,12.15742,0.69401,0.01483,0.03401,-12.61622,-20.70067
"15","2013_Q4",32.21578125,"Down",1630100000,-665200000,964900000,-775300000,-559700000,-215600000,189600000,-12100000,1600000,177500000,-1700000,175800000,-17700000,158100000,158100000,158100000,158100000,6723900000,3081700000,3642200000,633800000,633800000,172900000,5.18e+08,5.18e+08,8048600000,1189200000,1628100000,978100000,193800000,456200000,2817300000,10865900000,501500000,221200000,280300000,3.621e+09,2.393e+09,226900000,226900000,2619900000,6240900000,2849600000,8600000,4.625e+09,4.625e+09,10865900000,158100000,86400000,76600000,4.4e+07,365100000,-110700000,110700000,2e+05,-89200000,-11300000,50400000,-61700000,9e+06,9.85e+08,1260900000,1260900000,4e+06,1264900000,2.76e+08,5113600000,2.27e+08,0.59193,0.11631,0.09699,0.03418,0.01455,1.4358,2.22276,1.34938,0.47061,0.44002,0.43327,4.53688,12.87225,0.63178,0.01586,0.02278,-5.83442,-8.49314
"16","2014_Q1",32.2072131147541,"Down",1716500000,-684300000,1032200000,-827800000,-584400000,-243400000,204400000,-15500000,-47100000,188900000,-3.72529029846191e-09,188900000,-15100000,173800000,173800000,173800000,173800000,6952600000,3277100000,3675500000,800900000,800900000,139500000,525200000,525200000,8418200000,1170900000,1653300000,988100000,180600000,484600000,2824200000,11242400000,607700000,259700000,3.48e+08,3830600000,2440800000,253500000,253500000,2694300000,6524900000,2896800000,8700000,4717500000,4717500000,11242400000,173800000,89100000,63700000,1.29e+08,455600000,-63600000,-27100000,1200000,-106600000,-164900000,15100000,-1.8e+08,18700000,-146200000,202800000,202800000,-7400000,195400000,293500000,5261900000,3.74e+08,0.60134,0.11908,0.10125,0.03684,0.01546,2.1519,2.19762,1.38313,0.46804,0.4848,0.47267,4.78801,13.159,1.04324,0.01698,0.03655,-5.76048,-8.27153
"17","2014_Q2",28.665873015873,"Down",1516200000,-606600000,909600000,-764300000,-536200000,-228100000,145300000,-4600000,1900000,140700000,-48400000,92300000,-10700000,81600000,81600000,81600000,81600000,5.084e+09,1796800000,3287200000,533300000,533300000,116500000,467800000,467800000,6201600000,1163400000,1652900000,988100000,165700000,499100000,2816300000,9017900000,459100000,218700000,240400000,2330100000,2.407e+09,262800000,262800000,2669800000,4999900000,2313300000,-1300000,4.018e+09,4.018e+09,9017900000,81600000,85900000,3.9e+07,79300000,285800000,-65300000,3.9e+08,1200000,325900000,-7.78e+08,71500000,-849500000,9600000,-2084700000,-1.473e+09,-1.473e+09,-7300000,-1480300000,231200000,3936100000,255900000,0.59992,0.09583,0.05382,0.02031,0.00905,3.13603,2.66152,1.24438,0.43648,0.23254,0.22673,4.32089,11.45056,0.72927,0.01619,0.03114,-4.96497,-7.90021
"18","2014_Q3",32.18796875,"Up",1549900000,-584700000,965200000,-777200000,-5.49e+08,-228200000,1.88e+08,5300000,3300000,193300000,-1100000.00000001,192200000,-25400000,166800000,166800000,166800000,166800000,5272700000,2260500000,3012200000,590400000,590400000,115900000,4.41e+08,4.41e+08,6.42e+09,1142900000,1634500000,988100000,150900000,495500000,2777400000,9197400000,530500000,223800000,306700000,2408700000,2401100000,267200000,267200000,2668300000,5.077e+09,115500000,6300000,4120400000,4120400000,9197400000,166800000,82500000,69300000,43900000,362500000,-42200000,282100000,2200000,242100000,-98099999.9999999,52400000,-150500000,-5800000,-155200000,449400000,449400000,14300000,463700000,270500000,3926900000,297600000,0.62275,0.1213,0.10762,0.04048,0.01814,1.78417,2.66534,1.23216,0.42696,0.48958,0.4778,4.54916,12.09392,0.8735,0.02623,0.03579,-4.97523,-7.15851
"19","2014_Q4",33.50609375,"Up",1.61e+09,-607700000,1002300000,-775600000,-545300000,-230300000,226700000,2900000,1700000,229600000,0,229600000,-37500000,192100000,192100000,192100000,192100000,5069300000,2152700000,2916600000,584300000,584300000,118200000,457600000,457600000,6229400000,1128600000,1642600000,988100000,136100000,518400000,2771200000,9000600000,483500000,186600000,296900000,2423800000,2388200000,272700000,272700000,2660900000,5084700000,0,6700000,3915900000,3915900000,9000600000,192100000,83600000,41700000,14400000,331800000,-57900000,90600000,-8e+05,31900000,-439100000,67900000,-5.07e+08,22100000,-467400000,-103700000,-103700000,-4100000,-107800000,310300000,3954500000,304300000,0.62255,0.14081,0.11932,0.04906,0.02134,1.58407,2.5701,1.29848,0.43936,0.56583,0.55504,4.74227,11.53432,0.89632,0.02978,0.03737,-3.59265,-4.91751
"20","2015_Q1",30.963606557377,"Down",1648900000,-6.07e+08,1041900000,-779900000,-548500000,-231400000,2.62e+08,3400000,1e+05,265400000,-38500000,226900000,-29400000,197500000,197500000,197500000,197500000,5003300000,2.291e+09,2712300000,855900000,855900000,122400000,489700000,489700000,6471300000,1108800000,1633700000,988100000,121500000,524100000,2742500000,9213800000,1040800000,2.47e+08,793800000,2694600000,2436500000,296200000,296200000,2732700000,5427300000,1100000,9100000,3786500000,3786500000,9213800000,197500000,8.2e+07,2.2e+07,68400000,369900000,-55600000,211300000,4400000,160100000,-364800000,9200000,-3.74e+08,17100000,-396700000,133300000,133300000,5100000,138400000,3.44e+08,4090300000,386200000,0.63188,0.15889,0.11978,0.05216,0.02144,1.95544,2.40158,1.43333,0.44393,0.60049,0.58692,5.01338,11.51262,1.17422,0.03015,0.04725,-2.65407,-3.48473
"21","2015_Q2",28.2320634920635,"Down",1.489e+09,-5.51e+08,9.38e+08,-7.78e+08,-5.5e+08,-2.28e+08,1.6e+08,0,0,1.6e+08,0,1.6e+08,-7.2e+07,8.8e+07,8.8e+07,8.8e+07,8.8e+07,5564200000,3031600000,2532600000,585400000,585400000,104200000,494300000,494300000,6748100000,1.098e+09,1626300000,988100000,1.07e+08,531200000,2724300000,9472400000,426100000,183100000,2.43e+08,2400900000,2.914e+09,320800000,320800000,3234800000,5635700000,36100000,9100000,3836700000,3836700000,9472400000,8.8e+07,7.8e+07,6.5e+07,-1.5e+07,2.16e+08,-5.8e+07,1.91e+08,0,1.33e+08,-9.1e+07,2.8e+07,-1.19e+08,4.1e+07,3.92e+08,7.41e+08,7.41e+08,0,7.41e+08,2.38e+08,4570400000,2.37e+08,0.62995,0.10745,0.0591,0.02294,0.00929,2.69318,2.81065,1.46889,0.4825,0.27245,0.26748,4.60991,11.87833,0.73375,0.01616,0.02715,-4.17563,-6.21125
"22","2015_Q3",25.2546875,"Down",1.543e+09,-5.6e+08,9.83e+08,-7.9e+08,-5.61e+08,-2.29e+08,1.93e+08,-4e+06,-4e+06,1.89e+08,-3.72529029846191e-09,1.89e+08,-2.9e+07,1.6e+08,1.6e+08,1.6e+08,1.6e+08,5269400000,2905200000,2364200000,632700000,632700000,107600000,479400000,479400000,6489100000,1081700000,1606700000,988100000,92500000,526100000,2688400000,9177500000,525600000,210300000,315300000,2.491e+09,2909300000,315900000,315900000,3225200000,5716200000,0,6e+05,3461300000,3461300000,9177500000,1.6e+08,7.7e+07,6.6e+07,7.8e+07,3.81e+08,-5.1e+07,1.7e+08,-1e+06,1.18e+08,-5.57e+08,4.3e+07,-6e+08,4e+06,-6.05e+08,-1.06e+08,-1.06e+08,-2.1e+07,-1.27e+08,2.7e+08,4541400000,3.26e+08,0.63707,0.12508,0.10369,0.04623,0.01743,2.0375,2.60502,1.65146,0.49484,0.5022,0.49536,4.84306,10.86409,1.02323,0.02549,0.03919,-2.6963,-3.77202
"23","2015_Q4",25.7425,"Up",1.551e+09,-5.74e+08,9.77e+08,-7.75e+08,-5.45e+08,-2.3e+08,2.02e+08,-2e+06,-2e+06,2e+08,0,2e+08,-2.3e+07,1.77e+08,1.77e+08,1.77e+08,1.77e+08,5252500000,2539700000,2712800000,666300000,666300000,117800000,5.18e+08,5.18e+08,6554600000,1050700000,1629400000,1031300000,1.05e+08,493100000,2680100000,9234700000,476800000,194200000,282600000,2491300000,2.925e+09,310400000,310400000,3235400000,5726700000,69800000,-14300000,3.508e+09,3.508e+09,9234700000,1.77e+08,8e+07,4.1e+07,-2.3e+07,2.75e+08,-2.9e+07,-3.2e+08,4e+06,-4.3e+08,-1.25e+08,7.5e+07,-2e+08,1e+06,-1.76e+08,-3.31e+08,-3.31e+08,-3.4e+07,-3.65e+08,2.82e+08,4604400000,2.53e+08,0.62992,0.13024,0.11412,0.05046,0.01917,1.42938,2.631,1.63247,0.4986,0.56767,0.55836,4.97434,11.2508,0.81142,0.02719,0.03004,-2.29823,-3.20842
"24","2016_Q1",20.0926229508197,"Down",1.54e+09,-6.05e+08,9.35e+08,-7.74e+08,-5.41e+08,-2.33e+08,1.61e+08,3e+06,3e+06,1.64e+08,0,1.64e+08,-2.9e+07,1.35e+08,1.35e+08,1.35e+08,1.35e+08,5.326e+09,1.922e+09,3.404e+09,7.79e+08,7.79e+08,1.46e+08,5.22e+08,5.22e+08,6.773e+09,1.03e+09,1.598e+09,1.027e+09,9e+07,4.81e+08,2.628e+09,9.401e+09,9.85e+08,2.84e+08,7.01e+08,2.709e+09,2.96e+09,3.18e+08,3.18e+08,3.278e+09,5.987e+09,5.3e+07,-2.4e+07,3.414e+09,3.414e+09,9.401e+09,1.35e+08,7.2e+07,6.4e+07,1.25e+08,3.96e+08,-3.7e+07,-6.86e+08,-999999.999999999,-7.24e+08,-2.35e+08,1.1e+07,-2.46e+08,0,-2.86e+08,-6.14e+08,-6.14e+08,-4e+06,-6.18e+08,2.33e+08,4.684e+09,3.5e+08,0.60714,0.10455,0.08766,0.03954,0.01436,2.59259,2.50018,1.75366,0.49824,0.43746,0.43021,4.99028,11.06286,1.13415,0.0221,0.04159,-2.75536,-3.98758
"25","2016_Q2",20.55890625,"Up",1.335e+09,-5.19e+08,8.16e+08,-8.15e+08,-5.71e+08,-2.44e+08,1e+06,4e+06,4e+06,5e+06,-2.7e+07,-2.2e+07,-8e+06,-3e+07,-3e+07,-3e+07,-3e+07,4.95e+09,2.324e+09,2.626e+09,4.15e+08,4.15e+08,1.93e+08,5.61e+08,5.61e+08,6.119e+09,1.011e+09,1.567e+09,1.027e+09,6.4e+07,4.76e+08,2.578e+09,8.697e+09,8.41e+08,2.49e+08,5.92e+08,2.48e+09,2.915e+09,3.02e+08,3.02e+08,3.217e+09,5.697e+09,-3.1e+07,-3.4e+07,3e+09,3e+09,8.697e+09,-3e+07,6.9e+07,4.1e+07,4.9e+07,1.29e+08,-3.8e+07,7.78e+08,2e+06,7.42e+08,-4.11e+08,1.9e+07,-4.3e+08,1e+06,-4.64e+08,4.07e+08,4.07e+08,-5e+06,4.02e+08,7e+07,4.554e+09,8.9e+07,0.61124,0.00075,-0.02247,-0.01,-0.00345,-2.96667,2.46734,1.899,0.52363,-0.09868,-0.09868,4.39145,9.86842,0.29276,0.00305,0.01133,-5.65714,-396
