"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",4.01578125,"Up",35363000,-8384000,-4334000,-4050000,26979000,165000,165000,27144000,27185000,27185000,27185000,27185000,27185000,119680000,16823000,102857000,2335000,831000,1504000,122015000,183000,32004000,154019000,3549000,574000,2975000,2576000,2576000,6125000,0,0,0,6125000,1067870000,-919919000,-57000,147894000,147894000,154019000,27185000,17000,2644000,-34751000,-4905000,5769000,5720000,210000,210000,210000,1025000,1025000,1025000,26996000,0,0.76292,0.76874,0.18381,0.1765,19.92082,0.04141,0,0.17189,0.1583,0.2236,0.93514,0.18381,-4.43325,-4.43604
"22","2016_Q1",2.99426229508197,"Down",220000,-8864000,-4882000,-3982000,-8644000.00000001,176000,176000,-8468000,-8468000,-8468000,-8468000,-8468000,-8468000,113772000,21248000,92524000,2120000,647000,1473000,115892000,207000,32868000,148760000,4306000,160000,4146000,2328000,2328000,6634000,1.0842021724855e-19,1.0842021724855e-19,-8.67361737988404e-19,6634000,1070726000,-928387000,-213000,142126000,142126000,148760000,-8468000,17000,2475000,725000,-5251000,8908000,8866000,810000,810000,810000,4425000,4425000,4425000,-8627000.00000001,-8.67361737988404e-19,-39.29091,-38.49091,-0.05958,-0.05692,17.4694,0.04668,0,-0.0534700000000001,-0.05185,0.00138999999999997,0.89738,-0.05958,13.1879,13.16196
"23","2016_Q2",2.9096875,"Down",749000,-9826000,-4793000,-5033000,-9077000,235000,235000,-8842000,-8842000,-8842000,-8842000,-8842000,-8842000,109648000,12802000,96846000,1307000,416000,891000,110955000,212000,32188000,143143000,3086000,396000,2690000,3572000,3572000,6658000,0,0,0,6658000,1073674000,-937229000,40000,136485000,136485000,143143000,-8842000,21000,2406000,837000,-5578000,-3668000,-3694000,826000,826000,826000,-8446000,-8446000,-8446000,-9056000,0,-12.11883,-11.80507,-0.06478,-0.06177,16.66491,0.04878,0,-0.05565,-0.05565,0.00471,0.85896,-0.06478,12.10777,12.07976
"24","2016_Q3",2.59078125,"Down",211000,-9122000,-4547000,-4575000,-8911000,274000,274000,-8637000,-8637000,-8637000,-8637000,-8637000,-8637000,110601000,8199000,102402000,1101000,248000,853000,111702000,191000,25714000,137416000,3672000,235000,3437000,3439000,3439000,7111000,1.73472347597681e-18,1.73472347597681e-18,1.73472347597681e-18,7111000,1076081000,-945866000,90000,130305000,130305000,137416000,-8637000,21000,2321000,659000.000000002,-5636000,792000,792000.000000002,241000,241000,241000,-4603000,-4603000,-4603000,-8890000,0,-42.23223,-40.93365,-0.06628,-0.06285,15.70834,0.05457,1.61558713389263e-27,-0.05432,-0.05432,0.00133,0.81953,-0.06628,12.44106,12.41174
"25","2016_Q4",2.10968253968254,"Down",5108000,-8985000,-4666000,-4319000,-3877000,301000,301000,-3576000,-3576000,-3576000,-3576000,-3576000,-3576000,108538000,5883000,102655000,6518000,846000,5672000,115056000,170000,21175000,136231000,3908000,271000,3637000,3411000,3411000,7319000,0,0,0,7319000,1078329000,-949442000,25000,128912000,128912000,136231000,-3576000,21000,2210000,-5208000,-6553000,4132000,4147000,90000,90000,90000,-2316000,-2316000,-2316000,-3856000,0,-0.75901,-0.70008,-0.02774,-0.02625,15.72018,0.05678,0,-0.02247,-0.02247,0.0321,0.81005,-0.02774,28.14782,27.99536
"26","2017_Q1",2.13161290322581,"Up",94000,-8875000,-4755000,-4120000,-8781000,299000,299000,-8482000,-8482000,-8482000,-8482000,-8482000,-8482000,114845000,12810000,102035000,1267000,524000,743000,116112000,183000,14137000,130249000,4502000,225000,4277000,3367000,3367000,7869000,2.77555756156289e-17,2.77555756156289e-17,0,7869000,1080357000,-957924000,-53000,122380000,122380000,130249000,-8482000,18000,2061000,5801000,-602000.000000001,7548000,7518000,12000,12000,12000,6928000,6928000,6928000,-8763000,0,-93.41489,-90.23404,-0.06931,-0.06512,14.75562,0.0643,0,-0.0533,-0.0533,0.000590000000000007,0.76897,-0.06931,13.10567,13.07881
"27","2017_Q2",2.65666666666667,"Up",537000,-8031000,-4657000,-3374000,-7494000,311000,311000,-7183000,-7183000,-7183000,-7183000,-7183000,-7183000,99293000,14861000,84432000,7270000,405000,6865000,106563000,158000,22284000,128847000,2851000,308000,2543000,8745000,8745000,11596000,0,0,0,11596000,1082429000,-965107000,-71000,117251000,117251000,128847000,-7183000,20000,2132000,-2276000,-7307000,9358000,9358000,548390.998527334,548390.998527334,548394.503731215,2051000,2051000,2051000,-7474000,0,-13.95531,-13.37616,-0.06126,-0.05575,9.18963,0.0989,0,-0.04513,-0.04513,0.00337,0.73668,-0.06126,13.28512,13.24967
"28","2017_Q3",2.35888888888889,"Down",174000,-6905000,-4406000,-2499000,-6731000,326000,326000,-6405000,-6405000,-6405000,-6405000,-6405000,-6405000,94845000,6606000,88239000,7221000,496000,6725000,102066000,140000,22216000,124282000,3117000,205000,2912000,8157000,8157000,11274000,0,0,-2.22044604925031e-16,11274000,1084599000,-971512000,-79000,113008000,113008000,124282000,-6405000,18000,2222000,-272999.999999999,-4438000,-3854000,-3854000,37000,37000,37000.0000000002,-8255000,-8255000,-8255000,-6713000,1.11022302462516e-16,-38.68391,-36.81034,-0.05668,-0.05154,9.05322,0.09976,0,-0.04024,-0.04024,0.00109,0.70993,-0.05668,14.12856,14.09077
"29","2017_Q4",2.01952380952381,"Down",163000,-7407000,-4770000,-2637000,-7244000,345000,345000,-6899000,-6899000,-6899000,-6899000,-6899000,-6899000,96895000,9904000,86991000,1668000,886000,782000,98563000,121000,15681000,114244000,4024000,261000,3763000,1946000,1946000,5970000,0,0,0,5970000,1086737000,-978411000,-52000,108274000,108274000,114244000,-6899000,19000,2207000,249000,-4424000,7722000,7722000,0,0,0,3298000,3298000,3298000,-7225000,0,-44.44172,-42.32515,-0.06372,-0.06039,16.50972,0.05514,0,-0.04333,-0.04333,0.00102,0.68004,-0.06372,13.41107,13.3759
"30","2018_Q1",2.70196721311475,"Up",191000,-7977000,-5454000,-2523000,-7786000,357000,357000,-7429000,-7429000,-7429000,-7429000,-7429000,-7429000,94686000,16335000,78351000,1284000,580000,704000,95970000,102000,14343000,110313000,4814000,503000,4311000,1702000,1702000,6516000,-7.105427357601e-15,-7.105427357601e-15,-3.5527136788005e-15,6516000,1089844000,-985840000,-207000,103797000,103797000,110313000,-7429000,19000,2093000,930000,-4387000,9744000,9744000,1074000,1074000,1074000,6431000,6431000,6431000,-7767000,-1.77635683940025e-15,-40.7644,-38.89529,-0.07157,-0.06734,14.72836,0.06278,0,-0.04662,-0.04662,0.0012,0.65142,-0.07157,12.19081,12.16106
