"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",181.22625,"Up",42436000,-40122000,2314000,-9511000,-5436000,-4075000,-7197000,-397000,-574000,177000,-7594000,-7594000,-35000,-7629000,-7629000,-7365000,-8e+05,-8165000,56039000,56039000,29393000,29393000,49871000,18517000,18517000,153820000,21911000,31755000,17918000,53666000,207486000,39269000,19563000,19706000,4410000,61267000,60207000,1060000,104946000,31965000,20980000,10985000,45257000,150203000,59857000,753496000,-53000,-755876000,140000,57564000,57283000,207486000,-7629000,1049000,864000,-9075000,-14791000,-1156000,0,-1156000,-103000,0,0,1508000,1405000,-14542000,-14542000,-55000,-14597000,-6148000,17702000,-16344000,0.05453,-0.1696,-0.19241,-0.14254,-0.03935,2.00171,1.46571,2.62212,0.08532,-6.17913,-6.17913,32.11482,-1.7353,-12.36885,-0.07634,6.23569,5.3268
"12","2013_Q4",201.5640625,"Up",53707000,-49185000,4522000,-9116000,-5203000,-3913000,-4594000,-1240000,-1078000,-162000,-5834000,-5834000,20000,-5814000,-5814000,-5612000,-8e+05,-6412000,81359000,81359000,40350000,40350000,47233000,13335000,13335000,182277000,22466000,32974000,19327000,55440000,237717000,41350000,21952000,19398000,4403000,56892000,55846000,1046000,102645000,70479000,20443000,50036000,83789000,186434000,59857000,753319000,-53000,-761489000,132000,51766000,51283000,237717000,-5814000,983000,1381000,-10545000,-13995000,-1464000,-2.91038304567337e-11,-1464000,-119000,-20000,-20000,40926000,40787000,25328000,25328000,-8000.00000000001,25320000,-3611000,17713000,-15640000,0.0842,-0.08554,-0.11939,-0.12503,-0.02697,2.43918,1.7758,3.6354,0.07451,-4.81156,-4.81156,40.30167,-6.07148,-11.73624,-0.04597,17.62559,13.85416
"13","2014_Q1",289.392786885246,"Up",55157000,-52560000,2597000,-9549000,-5147000,-4402000,-6952000,-2696000,-1755000,-941000,-9648000,-9648000,-349000,-9997000,-9997000,-9700000,-8e+05,-10500000,67696000,67696000,49116000,49116000,56185000,16332000,16332000,189329000,24225000,24082000,10415000,48307000,237636000,46447000,24535000,21912000,6931000,52885000,51857000,1028000,106263000,71438000,18763000,52675000,84708000,190971000,59857000,758676000,53000,-771189000,48000,47445000,46665000,237636000,-9997000,1053000,2208000,-12033000,-18769000,-2534000,0,-2534000,-89000,5060000,5060000,2647000,7618000,-13685000,-13685000,22000,-13663000,-5899000,20201000,-20117000,0.04708,-0.12604,-0.19037,-0.22501,-0.04419,1.9159,1.7817,4.09238,0.08501,-8.58013,-8.58013,45.07184,-10.14253,-16.43872,-0.07592,8.05136,6.83185
"14","2014_Q2",329.874285714286,"Up",44434000,-42235000,2199000,-9769000,-4854000,-4915000,-7570000,-3135000,-1361000,-1774000,-10705000,-10705000,-110000,-10815000,-10815000,-10604000,-8e+05,-11404000,78468000,78468000,33831000,33831000,51852000,13065000,13065000,177216000,23947000,39561000,25894000,63508000,240724000,28996000,18397000,10599000,6914000,48592000,47630000,962000,84502000,57421000,20248000,37173000,70031000,154533000,59857000,809037000,-53000,-781793000,134000,87182000,86191000,240724000,-10815000,1068000,2614000,2059000,-5074000,-790000,-354641.737448037,-790000,-94999.9999999998,33755000,33755000,-17004000,16656000,10792000,10792000,-20000,10772000,-6502000,19524000,-5123000,0.04949,-0.17037,-0.25665,-0.13231,-0.04737,0.44923,2.09718,1.79291,0.08111,-8.19133,-8.19133,31.91631,19.62716,-3.67978,-0.0699,9.06552,7.78653
"15","2014_Q3",338.64296875,"Up",38274000,-36663000,1611000,-10384000,-5746000,-4638000,-8773000,-7198000,-891000,-6307000,-15971000,-15971000,-68000,-16039000,-16039000,-15843000,-8e+05,-16643000,64254000,64254000,34735000,34735000,55713000,13380000,13380000,168082000,24170000,36705000,23038000,60875000,228957000,26683000,14613000,12070000,1346000,52855000,51878000,977000,80884000,34234000,19733000,14501000,47245000,128129000,59857000,839583000,-95000,-797636000,306000,102015000,100828000,228957000,-16039000,1110000,7709000,-3384000,-10604000,-1128000,-837986.557978576,-1128000,-5670000,3099000,3099000,-41000,-2612000,-14344000,-14344000,130000,-14214000,-7663000,14357000,-12107000,0.04209,-0.22922,-0.43484,-0.16506,-0.07269,0.72745,2.07806,1.27077,0.06271,-9.85869,-9.85869,22.67208,24.97281,-7.17173,-0.11138,6.51142,5.68756
"16","2014_Q4",254.385,"Down",43176000,-39215000,3961000,-9961000,-5569000,-4392000,-6e+06,-1048000,-649000,-399000,-7048000,-7048000,-91000,-7139000,-7139000,-6978000,-8e+05,-7778000,107938000,107938000,39555000,39555000,55761000,13473000,13473000,216727000,25429000,37759000,24092000,63188000,279915000,27535000,15917000,11618000,1404000,45792000,44803000,989000,74731000,34973000,21524000,13449000,48346000,123077000,59857000,902775000,-95000,-804614000,263000,158186000,156838000,279915000,-7139000,1119000,1627000,-11531000,-15924000,-2202000,-1098338.09951983,-2202000,-93000.0000000009,63035000,63035000,-1089000,61853000,43727000,43727000,-43000,43684000,-4881000,14777000,-18523000,0.09174,-0.13897,-0.18015,-0.04959,-0.02779,2.38146,2.9001,0.78474,0.05279,-4.34168,-4.34168,24.10082,54.88719,-10.33953,-0.03765,19.08646,15.52683
"17","2015_Q1",184.886557377049,"Down",54409000,-48454000,5955000,-10923000,-6628000,-4295000,-4968000,297000,-660000,957000,-4671000,-4671000,-219000,-4890000,-4890000,-4700000,-8e+05,-5500000,83710000,83710000,64375000,64375000,55895000,13051000,13051000,217031000,25825000,37780000,24113000,63605000,280636000,35035000,22969000,12066000,1439000,38587000,37626000,961000,75061000,34072000,20705000,13367000,47269000,122330000,59857000,909460000,-95000,-809314000,-64000,159844000,158306000,280636000,-4890000,1087000,894000,-22957000,-25866000,-2175000,-784000,-2959000,-113000,6116000,6116000,14041000,20044000,-8781000,-8781000,-327000,-9108000,-3881000,14636000,-28794000,0.10945,-0.09131,-0.10109,-0.03474,-0.0196,5.23527,2.89139,0.77274,0.05215,-2.82041,-2.82041,27.90099,51.27343,-14.76559,-0.02657,17.79799,13.90378
"18","2015_Q2",172.078412698413,"Down",41670000,-37656000,4014000,-9144000,-5640000,-3504000,-5130000,1016000,-664000,1680000,-4114000,-4114000,-40000,-4154000,-4154000,-4066000,-8e+05,-4866000,84664000,84664000,60628000,60628000,56620000,21217000,21217000,223129000,26589000,38943000,25276000,65532000,288661000,34280000,22501000,11779000,1484000,43708000,42859000,849000,79472000,35463000,22190000,13273000,47320000,126792000,59857000,917465000,-56000,-813380000,-391000,163495000,161869000,288661000,-4154000,963000,-436000,1356000,-2271000,-1616000,0,-1616000,-121000,8488000,8488000,-3238000,5129000,1241999.99999999,1241999.99999999,-288000,954000,-4167000,13341000,-4387000,0.09633,-0.12311,-0.11677,-0.03006,-0.01686,0.90156,2.80764,0.7833,0.04622,-2.45456,-2.45456,21.0196,52.27812,-2.21293,-0.0231,17.11615,13.90312
"19","2015_Q3",121.090625,"Down",28600000,-26577000,2023000,-10816000,-6261000,-4555000,-8793000,-1149000,-626000,-523000,-9942000,-9942000,-55000,-9997000,-9997000,-9894000,-8e+05,-10694000,82985000,82985000,43521000,43521000,71877000,27449000,27449000,225832000,27313000,37514000,23847000,64827000,290659000,31997000,20236000,11761000,4497000,46562000,45668000,894000,83056000,34853000,21676000,13177000,47550000,130606000,59857000,924390000,-56000,-823274000,-443000,160474000,160053000,290659000,-9997000,981000,1916000,-2937000,-10037000,-1705000,0,-1705000,-119000,8285000,8285000,1949000,10115000,-1627000,-1627000,-52000,-1679000,-7812000,17194000,-12399000,0.07073,-0.30745,-0.37392,-0.06682,-0.03679,1.15944,2.71903,0.81602,0.05916,-5.29352,-5.29352,14.15697,49.8053,-6.13749,-0.05042,8.42179,7.4822
"20","2015_Q4",107.33453125,"Down",41356000,-37761000,3595000,-10698000,-6101000,-4597000,-7103000,559000,-905000,1464000,-6544000,-6544000,-84000,-6628000,-6628000,-6539000,-8e+05,-7339000,65520000,65520000,55315000,55315000,75571000,28740000,28740000,225146000,27015000,37724000,24057000,64739000,289885000,36485000,19207000,17278000,6908000,40290000,39462000,828000,83683000,36310000,23160000,13150000,48268000,131951000,59857000,928963000,-56000,-829813000,-507000,158444000,157934000,289885000,-6628000,1054000,204000,-17803000,-23173000,-519000,0,-519000,-1146000,5421000,5421000,2016000,6291000,-17401000,-17401000,-64000,-17465000,-6049000,18866000,-24287000,0.08693,-0.17175,-0.17746,-0.04647,-0.02532,3.30931,2.69046,0.83548,0.06508,-3.54054,-3.54054,19.95132,47.56118,-11.71674,-0.03444,7.71268,6.56821
"21","2016_Q1",69.6039344262295,"Down",51451000,-48307000,3144000,-11010000,-6224000,-4786000,-7866000,-944000,-765000,-179000,-8810000,-8810000,-95000,-8905000,-8905000,-8860000,-8e+05,-9660000,58852000,58852000,60790000,60790000,65754000,18502000,18502000,203898000,29002000,44331000,30664000,73333000,277231000,34920000,15745000,19175000,7358000,32610000,31787000,823000,74888000,35644000,22646000,12998000,47732000,122620000,59857000,934491000,-78000,-838673000,-431000,155166000,154611000,277231000,-8905000,1101000,1617000,-2606000,-8793000,-3090000,-2.91038304567337e-11,-3090000,-149000,4999000,4999000,1834000,6684000,-5199000,-5199000,296000,-4903000,-6765000,19446000,-12366000,0.06111,-0.15288,-0.18775,-0.06248,-0.03484,1.28012,2.72271,0.79309,0.07014,-4.61652,-4.61652,24.58844,45.54819,-5.90971,-0.04607,5.82498,5.00966
"22","2016_Q2",76.284375,"Up",33482000,-33648000,-166000,-11351000,-6040000,-5311000,-11517000,-157000,-845000,688000,-11674000,-11674000,-105000,-11779000,-11779000,-11712000,-8e+05,-12512000,76944000,76944000,45396000,45396000,60276000,22550000,22550000,205166000,29109000,60347000,46680000,89456000,294622000,43591000,14604000,28987000,1957000,29299000,28530000,769000,74847000,52222000,22582000,29640000,63716000,138563000,59857000,947936000,78000,-850385000,-805000,156681000,156059000,294622000,-11779000,1151000,562000,18662000,8596000,-1314000,-2044000,-3358000,-8916000,13306000,13306000,19069000,23459000,28697000,28697000,-218000,28479000,-10366000,13451000,7087000,-0.00496000000000001,-0.34398,-0.37369,-0.08017,-0.04247,-0.56642,2.74114,0.88789,0.04566,-5.72287,-5.72287,15.31436,44.2864,3.24153,-0.05643,6.12512,5.51298
"23","2016_Q3",64.00125,"Down",28581000,-28738000,-157000,-12551000,-7441000,-5110000,-12708000,-2529000,-982000,-1547000,-15237000,-15237000,-177000,-15414000,-15414000,-15373000,-8e+05,-16173000,81982000,81982000,43689000,43689000,66222000,30875000,30875000,222768000,29135000,58009000,44342000,87144000,309912000,40458000,14622000,25836000,11619000,24362000,23506000,856000,76439000,66423000,21616000,44807000,79450000,155889000,59857000,960894000,179000,-865758000,-486000,154686000,154023000,309912000,-15414000,1191000,3182000,-19053000,-30094000,-959000,-2680000,-3639000,-179000,13276000,13276000,22663000,35760000,2027000,2027000,420000,2447000,-11517000,24646000,-31352000,-0.00549,-0.44463,-0.56587,-0.105,-0.05219,1.93854,2.91432,1.01212,0.07953,-6.74565,-6.74565,11.92094,39.55252,-13.0767,-0.06599,4.97838,4.5118
"24","2016_Q4",38.8819047619048,"Down",21716000,-21282000,434000,-10757000,-5458000,-5299000,-10323000,-624000,-1373000,749000,-10947000,-10947000,-120000,-11067000,-11067000,-11010000,-8e+05,-11810000,94150000,94150000,29290000,29290000,78204000,32320000,32320000,233964000,30485000,65179000,51512000,95664000,329628000,35722000,16002000,19720000,13995000,18823000,17999000,824000,68540000,63704000,21101000,42603000,76467000,145007000,59857000,1002787000,-179000,-876768000,-356000,185341000,184621000,329628000,-11067000,1241000,1307000,-16494000,-25013000,-1689000,-1781000,-3470000,-454000,42380000,42380000,-1070000,40856000,12373000,12373000,-228000,12145000,-9082000,26758000,-27145000,0.01999,-0.47536,-0.54384,-0.06397,-0.03583,2.29848,3.41354,0.78543,0.08118,-4.57113,-4.57113,8.40531,48.56936,-10.50664,-0.04293,7.42039,6.52833
"25","2017_Q1",18.7983870967742,"Down",24473000,-24941000,-468000,-11337000,-6211000,-5126000,-11805000,-1026000,-1758000,732000,-12831000,-12831000,-117000,-12948000,-12948000,-12862000,-8e+05,-13662000,84187000,84187000,24593000,24593000,73806000,19618000,19618000,202204000,36640000,101885000,88218000,138525000,340729000,39375000,18475000,20900000,5010000,7613000,6811000,802000,51998000,101829000,20974000,80855000,114478000,166476000,59857000,1004570000,-179000,-889630000,-365000,174253000,174253000,340729000,-12948000,1366000,1694000,9804000,-84000,-3764000,-27221000,-30985000,-20903000,2144000,2144000,39342000,20583000,-10486000,-10486000,-9000,-10495000,-10439000,17659000,-4282000,-0.01912,-0.48237,-0.55825,-0.0784,-0.0401,0.31342,3.88869,0.95537,0.05183,-4.96235,-4.96235,8.88915,41.55122,-1.55532,-0.04651,6.37302,5.63558
"26","2017_Q2",14.7330158730159,"Down",17002000,-15189000,1813000,-11396000,-6004000,-5392000,-9583000,-2676000,-2267000,-409000,-12259000,-13604000,-81000,-13685000,-13685000,-13685000,-8e+05,-14485000,57646000,57646000,25619000,25619000,82268000,14948000,14948000,180481000,39315000,108428000,94761000,147743000,328224000,27896000,9508000,18388000,9428000,8923000,8101000,822000,46247000,103231000,20459000,82772000,116438000,162685000,59857000,1009611000,-179000,-903315000,-435000,165539000,165539000,328224000,-13685000,2057000,2992000,-16211000,-24847000,-6377000,-2420000,-8797000,-5071000,5026000,5026000,16739000,16694000,-16950000,-16950000,-70000,-17020000,-7526000,22635000,-30033000,0.10663,-0.56364,-0.85196,-0.0875,-0.04413,2.07339,3.90255,0.98276,0.06896,-4.6231,-4.6231,5.42643,33.72994,-9.58547,-0.04971,4.65201,3.65345
"27","2017_Q3",17.9961904761905,"Up",20417000,-20034000,383000,-11869000,-6483000,-5386000,-11486000,-1778000,-2310000,532000,-13264000,-13274000,36000,-13238000,-13238000,-13238000,-8e+05,-14038000,46454000,46454000,24836000,24836000,75585000,11179000,11179000,158054000,40895000,120594000,106927000,161489000,319543000,25218000,10215000,15003000,14564000,9175000,8388000,787000,48957000,97338000,19944000,77394000,110227000,159184000,59857000,1017637000,-280000,-916553000,-302000,160359000,160359000,319543000,-13238000,2239000,2199000,-4928000,-13728000,-1913000,-7101000,-9014000,-1228000,7809000,7809000,-1034000,5547000,-17195000,-17195000,32000,-17163000,-9247000,27453000,-16124000,0.01876,-0.56257,-0.68756,-0.08754,-0.04393,1.1486,3.22842,0.99267,0.08591,-3.95885,-3.95885,5.75778,28.3425,-4.54712,-0.04923,2.05483,1.65427
"28","2017_Q4",23.1419047619048,"Up",10358000,-12984000,-2626000,-11704000,-6310000,-5394000,-14330000,-2672000,-2279000,-393000,-17002000,-17002000,1000.00000000003,-17001000,-17001000,-17001000,-8e+05,-17801000,35683000,35683000,26316000,26316000,71984000,10616000,10616000,144599000,41876000,130793000,117126000,172669000,317268000,21879000,8757000,13122000,21738000,9833000,8971000,862000,53450000,89768000,19430000,70338000,104148000,157598000,59857000,1033750000,-280000,-933554000,-103000,159670000,159670000,317268000,-17001000,2206000,4159000,-8610000,-19246000,-2179000,-2642000,-4821000,-1168000,15706000,15706000,-1035000,13503000,-10564000,-10564000,199000,-10365000,-12124000,36118000,-22914000,-0.25352,-1.38347,-1.71858,-0.11149,-0.05611,1.28723,2.70531,0.98702,0.11384,-3.72165,-3.72165,2.16555,20.86789,-4.79063,-0.06234,-0.0358800000000001,-0.0303599999999999
