"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",15.19390625,"Up",360000,-25915000,-4324000,-20327000,-25555000,-419000,-453000,34000,-25974000,-25974000,-25974000,-25974000,-25974000,-25974000,197163000,34248000,162915000,863000,863000,8438000,8438000,206464000,42623000,98188000,44543000,88000,140811000,347275000,15146000,5442000,9704000,17381000,66229000,34079000,87686000,105067000,1169475000,-1503000,-925806000,42000,242208000,242208000,347275000,-25974000,793000,3373000,-2463000,-24271000,-782000,29889000,29107000,-387000,-624000,-873000,-1011000,3825000,3825000,3825000,-24762000,23064000,-70.98611,-72.15,-0.10724,-0.07479,11.87872,0.43379,0.06641,-0.35471,-0.35471,0.00492,3.30768,-0.07835,7.03089,6.81272
"12","2013_Q3",16.7696875,"Up",214000,-28838000,-4669000,-23692000,-28624000,-456000,-452000,-4000.00000000006,-29080000,-29080000,-29080000,-29080000,-29080000,-29080000,175378000,23254000,152124000,1014000,1014000,6684000,6684000,183076000,42152000,98165000,44543000,65000,140317000,323393000,17602000,6281000,11321000,40903000,67406000,35256000,67406000,108309000,1171442000,-1503000,-954886000,31000,215084000,215084000,323393000,-29080000,825000,2346000,4777000,-21132000,-354000,10780000,10426000,-386000,98000,0,-288000,-10994000,-10994000,-10994000,-27799000,22678000,-133.75701,-135.88785,-0.1352,-0.08992,4.47586,0.50357,0.07013,-0.39662,-0.39662,0.00292,2.93351,-0.09529,5.493,5.33468
"13","2013_Q4",15.906875,"Down",238000,-31454000,-4716000,-25400000,-31216000,-442000,-453000,11000,-31658000,-31658000,-31658000,-31658000,-31658000,-31658000,151210000,19581000,131629000,895000,895000,7257000,7257000,159362000,41838000,98258000,44543000,158000,140096000,299458000,21238000,9709000,11529000,23598000,69541000,37391000,90150000,113748000,1173719000,-1503000,-986544000,38000,185710000,185710000,299458000,-31658000,576000,3088000,4059000,-23935000,-262000,20502000,20240000,-394000,527000,0,22000,-3673000,-3673000,-3673000,-30640000,22284000,-131.15966,-133.01681,-0.17047,-0.10572,6.7532,0.6125,0.07441,-0.4315,-0.4315,0.00324,2.53123,-0.11407,4.20777,4.13013
"14","2014_Q1",12.777868852459,"Down",1410000,-18386000,-3412000,-20263000,-16976000,-438000,-613000,175000,-17414000,-17414000,-17414000,-17414000,-17414000,-17414000,129128000,37499000,91629000,790000,790000,4636000,4636000,134554000,41362000,98244000,44543000,144000,139606000,274160000,17389000,9715000,7674000,19294000,64536000,32386000,84703000,103997000,1175622000,-1503000,-1003958000,2000,170163000,170163000,274160000,-17414000,669000,-3596000,-1400000,-21741000,-193000,39964000,39771000,-407000,210000,-5.82076609134674e-11,-112000,17918000,17918000,17918000,-16307000,21877000,-12.03972,-12.35035,-0.10234,-0.06352,6.97388,0.61116,0.0798,-0.23759,-0.23759,0.01924,2.32162,-0.06787,6.57699,6.3178
"15","2014_Q2",10.7412698412698,"Down",277000,-30749000,-5654000,-23953000,-30472000,-363000,-457000,94000,-30835000,-30835000,-30835000,-30835000,-30835000,-30835000,98367000,46517000,51850000,471000,471000,6570000,6570000,105408000,39959000,98233000,44543000,133000,138192000,243600000,15024000,7072000,7952000,17673000,65441000,34017000,85152000,102825000,1177948000,-2390000,-1034793000,10000,140775000,140775000,243600000,-30835000,644000,3370000,-3498000,-30319000,781000,39787000,40568000,-420000,-811000,-887000,-1231000,9018000,9018000,9018000,-29828000,21457000,-110.00722,-111.31769,-0.21904,-0.12658,5.96435,0.73042,0.08808,-0.41997,-0.41997,0.00377,1.91734,-0.13544,2.57845,2.52396
"16","2014_Q3",10.67828125,"Down",676000,-26787000,-5152000,-21187000,-26111000,83000.0000000001,-455000,538000,-26028000,-26028000,-26028000,-26028000,-26028000,-26028000,79044000,27725000,51319000,281000,281000,7342000,7342000,86667000,39177000,98220000,44543000,120000,137397000,224064000,19236000,8350000,10886000,21896000,66245000,34821000,85500000,107396000,1179874000,-2390000,-1060821000,5000,116668000,116668000,224064000,-26028000,554000,1844000,3975000,-19655000,697000,526000,1223000.00000001,-419000.000000001,86000.0000000019,-1.16415321826935e-10,-360000,-18792000,-18792000,-18792000,-25557000,21038000,-38.62574,-38.50296,-0.22309,-0.11616,3.95812,0.92053,0.09389,-0.35404,-0.35404,0.0092,1.58693,-0.12762,2.26967,2.22152
"17","2014_Q4",8.06015625,"Down",419000,-40755000,-4617000,-24108000,-40336000,-162000,-449000,287000,-40498000,-40498000,-40498000,-40498000,-40498000,-40498000,57869000,26775000,31094000,165000,165000,29786000,5937000,87820000,1494000,98208000,44543000,108000,99702000,187522000,22875000,9741000,13134000,44269000,65429000,34005000,65429000,109698000,1181531000,-2390000,-1101319000,2000,77824000,77824000,187522000,-40498000,526000,13458000,5324000,-21190000,284000,20222000,20506000,-429000,163000,0,-266000,-950000,-950000,-950000,-39810000,20609000,-96.2673,-96.65394,-0.52038,-0.21596,1.98378,1.40957,0.1099,-0.55068,-0.55068,0.0057,1.05823,-0.24715,0.93595,0.92374
"18","2015_Q1",6.82803278688525,"Down",21482000,-24929000,-3988000,-20031000,-3447000,444000,-892000,1336000,-3003000,-3003000,-2933000.00000001,-2933000.00000001,-2933000.00000001,-2933000.00000001,339339000,137266000,202073000,1035000,1035000,28613000,4764000,368987000,1080000,101309000,44543000,3409000,102389000,471376000,23184000,13064000,10120000,44969000,54889000,23535000,142389000,187358000,1390723000,-2390000,-1104252000,-63000,284018000,284018000,471376000,-2933000.00000001,204000,1780000,-3509000,-4458000,328000,-171044000,-170716000,83693000,201945000,-5.82076609134674e-11,285665000,110491000,110491000,110491000,-3243000,107667000,-0.16046,-0.136529999999993,-0.0103299999999998,-0.00622000000000003,8.20536,0.65967,0.22841,-0.0345400000000001,-0.0345400000000001,0.25301,3.34509,-0.00656999999999996,71.43756,67.20975
"19","2015_Q2",7.34444444444444,"Up",1792000,-28319000,-5701000,-20865000,-26527000,-1549000,-1702000,153000,-28076000,-28076000,-28076000,-28076000,-28076000,-28076000,315097000,41960000,273137000,170000,170000,27043000,3194000,342310000,732000,101640000,44543000,3740000,102372000,444682000,23911000,12142000,11769000,45933000,53642000,23259000,141142000,187075000,1392659000,-2747000,-1132328000,23000,257607000,257607000,444682000,-28076000,355000,3774000,462000,-23485000,-13000,-70978000,-70991000,-456000,-357000,-357000,-830000,-95306000,-95306000,-95306000,-26172000,107211000,-14.80301,-15.66741,-0.10899,-0.06314,7.45238,0.7262,0.2411,-0.27122,-0.27122,0.01731,2.48857,-0.06709,7.94307,7.83677
"20","2015_Q3",10.92140625,"Up",376000,-27064000,-6307000,-20769000,-26688000,-1386000,-1655000,269000,-28074000,-28074000,-28074000,-28074000,-28074000,-28074000,282483000,9744000,272739000,316000,316000,3.1e+07,7151000,313799000,684000,101481000,44543000,3581000,102165000,415964000,22098000,11291000,10807000,43571000,53419000,23036000,140919000,184490000,1394525000,-2747000,-1160402000,98000,231474000,231474000,415964000,-28074000,246000,1890000,-6240000,-32178000,-133000,473000.000000015,339999.999999985,-456000.000000015,0,0,-378000,-32216000,-32216000,-32216000,-26442000,106755000,-70.97872,-74.66489,-0.12128,-0.06749,7.20202,0.79702,0.25664,-0.27096,-0.27096,0.00363,2.23413,-0.07168,6.64579,6.58453000000001
"21","2015_Q4",12.294375,"Up",566000,-34243000,-5379000,-23111000,-33677000,-1605000,-1687000,82000,-35282000,-35282000,-35282000,-35282000,-35282000,-35282000,256422000,61674000,194748000,72000,72000,32453000,10953000,288947000,795000,101398000,44543000,3498000,102193000,391140000,31268000,16355000,14913000,51799000,53903000,23520000,141403000,193202000,1396311000,-2747000,-1195684000,58000,197938000,197938000,391140000,-35282000,60000,7576000,2161000,-25485000,-183000,77951000,77768000,-467000,114000,0,-353000,51930000,51930000,51930000,-33617000,106288000,-59.5,-62.33569,-0.17825,-0.0902,5.57824,0.97607,0.27174,-0.34051,-0.34051,0.00546,1.9103,-0.09852,4.46601,4.45806
"22","2016_Q1",10.4840983606557,"Down",127280000,-38920000,-6448000,-30442000,88360000,-1610000,-1678000,68000,86750000,86750000,86750000,86750000,86750000,86750000,521352000,202989000,318363000,911000,911000,10137000,10137000,532400000,21227000,98333000,44543000,433000,119560000,651960000,44482000,19725000,24757000,122957000,142193000,14367000,243153000,366110000,1397750000,-2747000,-1108934000,-219000,285850000,285850000,651960000,86750000,66000,3600000,175508000,265924000,-246000,-123892000,-124138000,-480000,1.86264514923096e-09,0,-471000.000000002,141315000,141315000,141315000,88426000,102936000,0.694220000000001,0.681570000000001,0.30348,0.13306,4.32997,1.28078,0.15789,0.83716,0.83716,1.22829,2.75853,0.16338,-4.73182,-4.73536
"23","2016_Q2",13.5625,"Up",12494000,-46365000,-8398000,-37002000,-33871000,-1012000,-1649000,637000,-34883000,-34883000,-34883000,-34883000,-34883000,-34883000,477146000,24681000,452465000,741000,741000,14271000,14271000,492158000,20753000,98430000,44543000,530000,119183000,611341000,49159000,25544000,23615000,121943000,135967000,14593000,236517000,358460000,1399769000,-3368000,-1143817000,297000,252881000,252881000,611341000,-34883000,521000,2937000,-12315000,-43740000,-54000,-133586000,-133640000,-491000,-437000,-621000,-928000,-178308000,-178308000,-178308000,-33350000,102570000,-2.71098,-2.79198,-0.13794,-0.05706,4.03597,1.4175,0.16778,-0.33644,-0.33644,0.1205,2.43901,-0.07098,11.23166,11.0589
"24","2016_Q3",16.093125,"Up",20089000,-57110000,-8416000,-48216000,-37021000,-1091000,-1638000,547000,-38112000,-38112000,-38112000,-38112000,-38112000,-38112000,429365000,38410000,390955000,1018000,1018000,9071000,9071000,439454000,20350000,98330000,44543000,430000,118680000,558134000,52175000,28225000,23950000,130992000,124900000,14037000,209809000,340801000,1402294000,-3368000,-1181929000,336000,217333000,217333000,558134000,-38112000,516000,2560000,-12842000,-47878000,-13000,61549000,61536000,-497000,568000,0,71000,13729000,13729000,13729000,-36505000,102198000,-1.84285,-1.89716,-0.17536,-0.06828,3.35482,1.56811,0.18311,-0.36706,-0.36706,0.19348,2.09316,-0.08575,8.96225,8.83734
"25","2016_Q4",16.0447619047619,"Down",27717000,-62650000,-12263000,-52533000,-34933000,-1082000,-1646000,564000,-36015000,-36015000,-36015000,-36015000,-36015000,-36015000,395556000,38772000,356784000,738000,738000,2443000,2443000,398737000,19854000,98354000,44543000,454000,118208000,516945000,74451000,41545000,32906000,170113000,76613000,2500000,161651000,331764000,1406415000,-3368000,-1217944000,78000,185181000,185181000,516945000,-36015000,511000,-77000,362000,-35219000,-16000,33913000,33897000,-507000,2191000,0,1684000,362000,362000,362000,-34422000,101830000,-1.26035,-1.29938,-0.19449,-0.06967,2.34395,1.79157,0.19698,-0.34668,-0.34668,0.2668,1.78256,-0.09904,8.53309,8.40827
"26","2017_Q1",14.836935483871,"Down",18956000,-40302000,-14080000,-26222000,-21346000,-1089000,-1634000,545000,-22435000,-22435000,-22435000,-22435000,-22435000,-22435000,346504000,46600000,299904000,7492000,7492000,3878000,3878000,357874000,19390000,98361000,44543000,461000,117751000,475625000,84991000,52877000,32114000,164643000,68414000,805000.000000001,153581000,318224000,1411327000,-3368000,-1250363000,-195000,157401000,157401000,475625000,-22435000,508000,1872000,-28736000,-48791000,-148000,56607000,56459000,-521000,681000,1.16415321826935e-10,160000,7828000.00000001,7828000.00000001,7828000.00000001,-20838000,101447000,-1.12608,-1.18353,-0.14253,-0.04717,2.17364,2.02174,0.21329,-0.21561,-0.21561,0.18217,1.51267,-0.06855,11.7601,11.48023
"27","2017_Q2",15.4847619047619,"Up",18293000,-60553000,-14871000,-43581000,-42485000,-1058000,-1588000,530000,-43543000,-43543000,-34891000,-34891000,-34891000,-34891000,259743000,2455000,257288000,8733000,8733000,10376000,10376000,279088000,18995000,98181000,44543000,428000,117176000,396264000,52136000,41945000,10191000,137061000,39332000,559000,124600000,261661000,1424016000,-1904000,-1287245000,-264000,134603000,134603000,396264000,-34891000,634000,-4210000,-47029000,-85496000,-92000,42547000,42455000,-536000,-568000,-1679000,-1104000,-44145000,-44145000,-44145000,-41851000,101021000,-2.32247,-1.90734,-0.25921,-0.08805,2.03623,1.94395,0.25493,-0.33401,-0.33401,0.17512,1.28855,-0.1269,3.79255,3.73595
"28","2017_Q3",14.767619047619,"Down",12053000,-45409000,-18475000,-26934000,-33893000,-1166000,-1614000,448000,-35059000,-35059000,-35059000,-35059000,-35059000,-35059000,231187000,30706000,200481000,5014000,5014000,10174000,10174000,247186000,18588000,97739000,44543000,428000,116327000,363513000,54816000,43857000,10959000,133173000,38644000,313000,124027000,257200000,1430735000,-1904000,-1322304000,-214000,106313000,106313000,363513000,-35059000,918000,2549000,-633000,-32225000,-71000,56857000,56786000,-626000.000000002,4316000,0,3690000,28251000,28251000,28251000,-32975000,100539000,-2.812,-2.90874,-0.32977,-0.09644,1.85613,2.41927,0.27658,-0.33294,-0.33294,0.11446,1.00962,-0.14281,3.96203,3.85472
"29","2017_Q4",10.3901587301587,"Down",26942000,-55861000,-16723000,-39138000,-29518000,-1204000,-1619000,415000,-30722000,-30722000,-30722000,-30722000,-30722000,-30722000,196817000,83293000,113524000,10597000,10597000,4458000,4458000,214021000,18167000,97299000,44543000,429000,115466000,329487000,65357000,52628000,12729000,128728000,36871000,303000,122383000,251111000,1433369000,-1904000,-1353026000,-63000,78376000,78376000,329487000,-30722000,923000,2738000,-6901000,-33962000,-61000,87108000,87047000,-552000,54000,0,-498000,52587000,52587000,52587000,-28595000,100145000,-1.09561,-1.1403,-0.39198,-0.09324,1.66258,3.20393,0.30394,-0.29098,-0.29098,0.25518,0.74232,-0.14263,3.38073,3.27502
"30","2018_Q1",9.24754098360656,"Down",34401000,-58591000,-16021000,-42570000,-24728000,-1602000,-2163000,561000,-26330000,-26330000,-22321000,-22321000,-22321000,-22321000,310788000,61661000,249127000,4825000,4825000,4434000,4434000,321995000,17687000,96857000,44543000,429000,114544000,436539000,51044000,38762000,12282000,105489000,31209000,292000,262785000,368274000,1435632000,-1904000,-1365241000,-222000,68265000,68265000,436539000,-22321000,924000,-1563000,-10751000,-33711000,-4000,-135762000,-135766000,145339000,2506000,0,147845000,-21632000,-21632000,-21632000,-23804000,245670000,-0.71882,-0.64885,-0.32698,-0.05113,3.0524,5.39477,0.56277,-0.21136,-0.21136,0.32575,0.64642,-0.06467,2.73559,2.63337
"31","2018_Q2",10.22796875,"Up",25207000,-62640000,-14857000,-47783000,-37966000,-4109000,-5114000,1005000,-42075000,-42075000,-42075000,-42075000,-42075000,-42075000,262272000,20421000,241851000,4482000,4482000,4284000,4284000,273150000,17244000,96419000,44543000,432000,113663000,386813000,79416000,66553000,12863000,100370000,28370000,279000,260249000,360619000,1438731000,-2876000,-1409267000,-394000,26194000,26194000,386813000,-42075000,925000,3381000,-9006000,-46775000,-40000,7103000,7063000,-581000,-947000,-972000,-1528000,-41240000,-41240000,-41240000,-37041000,245396000,-1.50617,-1.66918,-1.60628,-0.10877,2.72143,13.76724,0.6344,-0.39818,-0.39818,0.23855,0.24789,-0.14027,0.4556,0.4445
"32","2018_Q3",11.4585714285714,"Up",13753000,-43344000,-16755000,-26589000,-30429000,-4277000,-5187000,910000,-34706000,-34706000,-34706000,-34706000,-34706000,-34706000,209689000,15044000,194645000,4406000,4406000,3954000,3954000,220191000,16772000,95974000,44543000,429000,112746000,332937000,63316000,50451000,12865000,81336000,24474000,265000,256672000,338008000,1441996000,-2876000,-1443973000,-218000,-5071000,-5071000,332937000,-34706000,928000,3183000,-21928000,-52523000,-15000,47382000,47367000,-587999.999999985,367000,-1.16415321826935e-10,-221000,-5377000,-5377000,-5377000,-29501000,245094000,-2.21254,-2.52352,6.84401,-0.10424,2.70718,-66.6551,0.73616,-0.32789,-0.32789,0.12993,-0.04791,-0.13122,-1.20013,-1.16353
"33","2018_Q4",8.10142857142857,"Down",6856000,-29348000,-15579000,-13769000,-23043000,-4469000,-5252000,783000,-27512000,-27512000,-27512000,-27512000,-27512000,-27512000,187297000,48902000,138395000,2913000,2913000,3395000,3395000,198360000,16299000,95533000,44543000,429000,111832000,310192000,65274000,51480000,13794000,68506000,27257000,252000,271087000,339593000,1445031000,-2876000,-1471485000,-71000,-29401000,-29401000,310192000,-27512000,918000,3242000,1171000,-22181000,-3000,56398000,56395000,-514000,158000,0,-356000,33858000,33858000,33858000,-22125000,244945000,-3.361,-4.01284,0.93575,-0.08869,2.89551,-11.55039,0.78966,-0.25984,-0.25984,0.06475,-0.27768,-0.11331,-2.60556,-2.50176
"34","2019_Q1",6.10131147540984,"Down",17393000,-28665000,-16563000,-12102000,-11841000,-4414000,-5224000,810000,-16255000,-16255000,-16255000,-16255000,-16255000,-16255000,160052000,80386000,79666000,5924000,5924000,2668000,2668000,173324000,15865000,94947000,44543000,285000,110812000,284136000,32241000,17759000,14482000,36751000,29903000,238000,273790000,310541000,1448060000,-2876000,-1471577000,-12000,-26405000,-26405000,284136000,-16255000,912000,3226000,-15011000,-27128000,-37000,58788000,58751000,-321000.000000002,182000,0,-138999.999999998,31484000,31484000,31484000,-10929000,245002000,-0.68079,-0.93457,0.615600000000001,-0.05721,4.71617,-11.76069,0.86227,-0.15346,-0.15346,0.1642,-0.24928,-0.06541,-7.7729,-7.17423
