"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",24.87109375,"Up",1344000,-34731000,-8315000,-33387000,-3973000,-2736000,-37360000,-37360000,-37360000,-37360000,-37360000,-37360000,459056000,266070000,5190000,5190000,474512000,9010000,8655000,8655000,117007000,591519000,11777000,3525000,8252000,29464000,470544000,464872000,470544000,500008000,1463281000,-1371862000,91511000,91511000,591519000,-37360000,1898000,7516000,-3685000,-31631000,-44372000,-45012000,2991000,2991000,284664000,208021000,208021000,208021000,-31489000,0,-24.84152,-27.79762,-0.40826,-0.06316,16.10481,5.46391,0,-0.38764,-0.38764,0.01394,0.94949,-0.06647,14.5783,13.74954
"12","2013_Q3",28.88984375,"Up",1300000.00000001,18416000,-3549000,19716000,5357000,-3025000,25073000,25073000,25073000,-36429000,-36429000,-36429000,443011000,199243000,3749000,3609000,457233000,8952000,38205000,8205000,137471000,594704000,18968000,4834000,14134000,38646000,470411000,464658000,470411000,509057000,1493953000,-1408291000,85647000,85647000,594704000,-36429000,138000,9014000,10591000,-16686000,-42842000,-73533000,23442000,23442000,-13407999.9999999,-103627000,-103627000,-103627000,19854000,2.98023223876953e-08,15.16615,-28.02231,-0.42534,-0.06126,11.83132,5.94366,0,-0.37344,-0.37344,0.01333,0.87799,-0.06551,-22.31344,-22.46962
"13","2013_Q4",27.1871875,"Down",415000,-8122000,-6018000,-7707000,-1745000,-1901000,-9452000,-9452000,-9452000,-46983000,-46983000,-46983000,506153000,171892000,7150000,4071000,522341000,8563000,46779000,6779000,143675000,666016000,25967000,5733000,20234000,38661000,9806000,4658000,297306000,335967000,1785121000,-1455274000,330049000,330049000,666016000,-46983000,-77000,8338000,-2589000,-41311000,-111973000,-59609000,113570000,113570000,73569000,-27351000,-27351000,-27351000,-7784000,287500000,-18.57108,-113.21205,-0.14235,-0.07054,13.5108,1.01793,0.43167,-0.43895,-0.43895,0.00388,3.08356,-0.07489,28.09006,28.3707
"14","2014_Q1",27.2090163934426,"Up",1473000,-8890000,-6407000,-7417000,-1477000,-1686000,-8893999.99999999,-8894000,-8894000,-49929000,-49929000,-49929000,465125000,143510000,4486000,4287000,483198000,10238000,132445000,132445000,198057000,681255000,75115000,7583000,64732000,84404000,10229000,4774000,297729000,382133000,1804163000,-1505203000,299122000,299122000,681255000,-49929000,1499000,7003000,1453000,-39974000,44641000,-41426000,13018000,13018000,89818000,8418000,8418000,8418000,-5918000,287500000,-5.0353,-33.89613,-0.16692,-0.07329,5.72482,1.27752,0.42202,-0.45917,-0.45917,0.01355,2.75088,-0.08365,30.01436,23.94836
"15","2014_Q2",22.2898412698413,"Down",-780000,-13943000,-11256000,-14723000,-1459000,-1644000,-16182000,-16182000,-16182000,-67703000,-67703000,-67703000,370923000,125275000,6394000,6391000,389196000,9734000,146273000,8796000,215838000,605034000,30538000,5546000,24992000,44144000,10138000,4891000,297638000,341782000,1835987000,-1572906000,263252000,263252000,605034000,-67703000,2638000,14295000,133000,-50637000,65750000,69130000,18272000,18272000,-36728000,-18235000,-18235000,-18235000,-12085000,287500000,18.87564,86.79872,-0.25718,-0.1119,8.81651,1.29831,0.47518,-0.61627,-0.61627,-0.0071,2.39627,-0.12071,6.90302,5.66617
"16","2014_Q3",21.431875,"Down",933999.999999999,-10728000,-8603000,-9794000,-10079000,-10327000,-19873000,-19873000,-20151000,-63564000,-63564000,-63564000,334476000,208052000,15214000,982000,353163000,0,218098000,23218000,252447000,605610000,44078000,1799000,31266000,49994000,455642000,451313000,743142000,793136000,1445238000,-1636470000,-187526000,-187526000,605610000,-63564000,3552000,8396000,-2789000,-54405000,32562000,-66234000,5513999.99999999,5514000,203416000,82777000,82777000,82777000,-6242000,287500000,-10.48608,-68.0556700000001,0.33896,-0.10496,7.06411,-4.22947,0.47473,-0.57276,-0.57276,0.00842,-1.68974,-0.1144,7.52579,4.79641000000001
"17","2014_Q4",14.21828125,"Down",999000,-10541000,-8632000,-9542000,-12007000,-12355000,-21549000,-21549000,-21271000,-21271000,-21271000,-21271000,263111000,119575000,6348000,748000,273471000,64000,232426000,20780000,280242000,553713000,35016000,573000,14976000,36098000,455642000,451584000,710751000,746849000,1468065000,-1657741000,-193136000,-193136000,553713000,-21271000,2530000,6409000,-8739000,-21071000,-34545000,-59545000,11843000,11843000,-7861000,-88477000,-88477000,-88477000,-7012000,255109000,-9.55155,-21.29229,0.11013,-0.03842,7.57579,-3.86696,0.46072,-0.18811,-0.18811,0.00883,-1.70796,-0.04109,1.14119,0.83861
"18","2015_Q1",14.5724590163934,"Up",7280000,-7150000,-6373000,130000,-16056000,-12566000,-15926000,-15926000,-15926000,-15926000,-15926000,-15926000,240498000,96800000,1134000,1134000,252182000,324000,226292000,226292000,269472000,521654000,12674000,-1.16415321826935e-10,5123000,13756000,5611000,1823000,731247000,745003000,1453668000,-1673667000,-223349000,-223349000,521654000,-15926000,3455000,26717000,-18856000,-4610000,-1322000,-8411000,18960000,18960000,-9754000.00000003,-22775000,-22775000,-22775000,3585000,725636000,0.0178600000000007,-2.18764,0.07131,-0.03053,18.33251,-3.3356,1.39103,-0.13931,-0.13931,0.06368,-1.95375,-0.03136,135.32441,3731.83077
"19","2015_Q2",16.6931746031746,"Up",6896000,-6151000,-5439000,745000,-11412000,-12706000,-10667000,-10667000,-10667000,-10667000,-10667000,-10667000,251140000,141186000,1013000,1013000,262392000,303000,222072000,222072000,226307000,488699000,10095000,1025000,2875000,10980000,5799000,2036000,737862000,748842000,1427466000,-1684334000,-260143000,-260143000,488699000,-10667000,3483000,8151000,-2583000,-1616000,16618000,73710000,1747000,1747000,-27708000,44386000,44386000,44386000,4228000,732063000,0.10803,-1.54684,0.041,-0.02183,23.89727,-2.87858,1.49798,-0.09303,-0.09303,0.06014,-2.26886,-0.02233,113.74716,645.53423
"20","2015_Q3",13.3884375,"Down",10655000,-5547000,-4909000,5108000,-12918000,-12987000,-7810000,-7810000,-7810000,-7810000,-7810000,-7810000,229263000,149579000,697000,697000,243957000,276000,217853000,217853000,218129000,462086000,11329000,462000,2942000,12214000,5391999.99999999,1850000,743864000,756078000,1401425000,-1692144000,-293992000,-293992000,462086000,-7810000,3483000,9153000,-2652000,2174000,34045000,34045000,2885000,2885000,-27826000,8392999.99999999,8392999.99999999,8392999.99999999,8591000,738472000,0.4794,-0.73299,0.02657,-0.0169,19.97355,-2.57176,1.59813,-0.0676,-0.0676,0.09222,-2.54464,-0.01736,59.27238,99.6885300000001
"21","2015_Q4",9.19609375,"Down",13562000,-5128000,-4581000,8434000,-13018000,-13063000,-4584000,-4584000,-4584000,-4584000,-4584000,-4584000,206192000,78746000,615000,615000,223754000,248000,213629000,213629000,213877000,437631000,10393000,154000,3849000,11278000,5267000,1947000,749352000,760630000,1376981000,-1696728000,-322999000,-322999000,437631000,-4584000,3483000,7984000,-4227000,2656000,-47875000,-47875000,3485000,3485000,-25614000,-70833000,-70833000,-70833000,11917000,744085000,0.62188,-0.338,0.01419,-0.01047,19.83987,-2.3549,1.70026,-0.03953,-0.03953,0.11696,-2.78565,-0.01075,45.13661,63.77674
"22","2016_Q1",10.9726229508197,"Up",22836000,-5543000,-4821000,17293000,-12992000,-13047000,4301000,4301000,4301000,4301000,4301000,4301000,187283000,159180000,814000,814000,214325000,221000,194386000,194386000,194607000,408932000,12606000,818000,3877000,13491000,487094000,483995000,738086000,751577000,1353047000,-1692427000,-342645000,-342645000,408932000,4301000,3484000,6523000,-7391000,6917000,48310000,99288000,-25513000,123000,-25771000,80434000,80434000,80434000,20777000,250992000,0.75727,0.18834,-0.01255,0.01052,15.88652,-2.19346,0.61377,0.03729,0.03729,0.19798,-2.97061,0.01088,3.06632,3.68409
"23","2016_Q2",11.83171875,"Up",24176000,-6644000,-6252000,17532000,-13097000,-13157000,4435000,4435000,4435000,4435000,4435000,4435000,168192000,151778000,975000,975000,196706000,193000,190930000,190930000,191123000,387829000,9738000,576000,2600000,10623000,4662000,1784000,739175000,749798000,1329287000,-1687992000,-361969000,-361969000,387829000,4435000,3483000,3243000,-3911000,7250000,11693000,11693000,-25184000,173000,-26345000,-7402000,-7402000,-7402000,21015000,734513000,0.72518,0.18345,-0.01225,0.01144,18.51699,-2.07144,1.89391,0.03943,0.03919,0.21493,-3.21802,0.01176,26.94842,32.30213
"24","2016_Q3",11.67015625,"Down",32472000,-6595000,-6225000,25877000,-11280000,-13156000,14597000,14597000,14597000,14597000,14597000,14597000,153866000,112945000,738000,738000,190421000,174000,187514000,187514000,187688000,378109000,10478000,137000,2518000,14629000,485174000,482518000,726582000,741211000,1313550000,-1673395000,-363102000,-363102000,378109000,14597000,3484000,1938000,-7559000,12460000,-27485000,-24498000,-18812000,162000,-26795000,-38833000,-38833000,-38833000,29361000,241408000,0.7969,0.44953,-0.0402,0.03861,13.01668,-2.04133,0.63846,0.13088,0.13047,0.29116,-3.2557,0.04016,2.98157,3.38300000000001
"25","2016_Q4",10.4957142857143,"Down",33309000,-5391000,-5105000,27918000,-12885000,-13103000,15033000,15033000,15033000,15033000,15033000,15033000,148966000,93194000,534000,534000,186121000,381000,184040000,184040000,184421000,370542000,10488000,528000,3354000,14924000,481947000,479512000,723482000,738406000,1293753000,-1658362000,-367864000,-367864000,370542000,15033000,3491000,2366000,-702000,20188000,-14853000,-15095000,-21228000,6000,-24844000,-19751000,-19751000,-19751000,31409000,241535000,0.83815,0.45132,-0.04087,0.04057,12.47125,-2.00728,0.65184,0.13745,0.13705,0.30454,-3.36336,0.04227,2.94721,3.31575
"26","2017_Q1",11.7714516129032,"Up",43612000,-5951000,-5606000,37661000,-12095000,-1.3e+07,25566000,25566000,25471000,25471000,25471000,25471000,150433000,118016000,766000,766000,198046000,368000,180582000,180582000,180950000,378996000,11412000,128000,3456000,20049000,3597000,1383000,711938000,731987000,1283162000,-1632891000,-352991000,-352991000,378996000,25471000,3496000,1911000,-9792000,21086000,23348000,23320000,-12485000,44000,-19584000,24822000,24822000,24822000,41157000,716093000,0.86355,0.58404,-0.07216,0.06721,9.8781,-2.07367,1.88945,0.23642,0.16102,0.4048,-3.27644,0.06946,13.74396,15.01978
"27","2017_Q2",12.5453968253968,"Up",40492000,-11149000,-10795000,29343000,-12498000,-12781000,16845000,16845000,16845000,16845000,16845000,16845000,169811000,159808000,880000,880000,214418000,328000,177126000,177126000,177454000,391872000,12885000,2304000,4181000,20473000,467861000,465868000,705585000,726058000,1285124000,-1616046000,-334186000,-334186000,391872000,16845000,3496000,3130000,4290000,27761000,22395000,22395000,8000,8000,-8364000,41792000,41792000,41792000,32839000,237724000,0.72466,0.41601,-0.05041,0.04299,10.47321,-2.17262,0.60664,0.15672,0.13998,0.37672,-3.10908,0.04536,2.06806,2.31445
"28","2017_Q3",13.2215873015873,"Up",58562000,-10732000,-10384000,47830000,-12684000,-12204000,35146000,35146000,35146000,35146000,35146000,35146000,135626000,127634000,642000,642000,198064000,289000,173670000,173670000,173959000,372023000,11043000,277000,3663000,27109000,403785000,402013000,641643000,668752000,1287434000,-1580900000,-296729000,-296729000,372023000,35146000,3495000,3879000,-19881000,22639000,2023000,2023000,177000.000000001,177000,-56836000,-32174000,-32174000,-32174000,51325000,237858000,0.81674,0.60015,-0.11844,0.09447,7.30621,-2.25375,0.63936,0.32709,0.29216,0.54502,-2.76158,0.1019,1.99186,2.1374
"29","2017_Q4",13.3366666666667,"Up",48643000,-8621000,-8310000,40022000,-16255000,-10262000,23767000,23767000,23767000,23767000,23767000,23767000,168192000,138417000,439000,439000,220509000,249000,170214000,170214000,170463000,390972000,6999000,629000,2804000,32884000,2600000,1049000,581049000,613933000,1337438000,-1557133000,-222961000,-222961000,390972000,23767000,3496000,10357000,5870000,43490000,-21774000,-21774000,-17497000,3000,-10933000,10783000,10783000,10783000,43518000,603449000,0.82277,0.4886,-0.1066,0.06079,6.70566,-2.75354,1.54346,0.2226,0.19851,0.45558,-2.0882,0.06204,10.00177,10.87544
"30","2018_Q1",15.434262295082,"Up",69520000,-3111000,-2769000,66409000,-7891000,-8354000,58518000,58518000,58514000,58514000,58385000,58385000,129075000,73336000,754000,754000,200369000,209000,166759000,166759000,166968000,367337000,9742000,601000,3221000,34742000,940000,940000,575302000,610044000,1259170000,-1498748000,-242859000,-242707000,367337000,58514000,3495000,4409000,-18559000,47859000,-25880000,-25880000,-79753000,247000,-87060000,-65081000,-65081000,-65081000,69904000,599362000,0.95525,0.83983,-0.24056,0.15894,5.76734,-2.5135,1.63164,0.55043,0.4902,0.6554,-2.28957,0.16327,6.72761,7.08168
"31","2018_Q2",14.9834375,"Down",52380000,-11685000,-11685000,40695000,-10365000,-7657000,30330000,30330000,30330000,30330000,29581000,29581000,56460000,27138000,950000,950000,113245000,197000,163303000,163303000,163500000,276745000,4066000,66000,1455000,4066000,835000,835000,485426000,489492000,1258894000,-1469167000,-213558000,-212747000,276745000,30330000,3468000,7217000,8899000,49914000,26513000,26513000,114000,114000,-122625000,-46198000,-46198000,-46198000,44163000,484591000,0.77692,0.56474,-0.13904,0.10689,27.8517,-2.30082,1.75104,0.29403,0.26047,0.52066,-2.12276,0.10848,9.69434,10.52048
"32","2018_Q3",14.3960317460317,"Down",67086000,-4411000,-4411000,62675000,-6059000,-6478000,56616000,56616000,56616000,56616000,54626000,54626000,107542000,87226000,576000,576000,178660000,185000,159847000,159847000,160032000,338692000,6777000,57999.9999999999,1604000,6777000,752000,752000,487279000,494056000,1260458000,-1414541000,-157356000,-155364000,338692000,56616000,3468000,3247000,-11606000,51725000,9077999.99999999,9078000,340000,340000,-715000,60088000,60088000,60088000,66143000,486527000,0.93425,0.81427,-0.3516,0.16129,26.3627,-3.17999,1.43649,0.54153,0.48171,0.66505,-1.55993,0.16458,5.72978,6.04683
"33","2018_Q4",16.2407936507937,"Up",61680000,-4019000,-4019000,57661000,-7494000,-5238000,50167000,50167000,50167000,50167000,47089000,47089000,55480000,48615000,513000,513000,121129000,173000,156391000,156391000,156564000,277693000,4299000,109000,2415000,4299000,668000,668000,381670000,385969000,1259361000,-1367452000,-111357000,-108276000,277693000,50167000,3468000,3456000,3024000,60115000,13522000,13522000,0,0,-112248000,-38611000,-38611000,-38611000,61129000,381002000,0.93484,0.76344,-0.4349,0.16957,28.17609,-3.56468,1.37203,0.4665,0.41537,0.61106,-1.1032,0.17224,5.32516,5.64544
"34","2019_Q1",16.1937704918033,"Down",79858000,-2638000,-2638000,77220000,-4078000,-2921000,73142000,73142000,269215000,269215000,263760000,263760000,114908000,62417000,849000,849000,199043000,160000,348990000,152936000,349150000,548193000,5700000,11000,1425000,5700000,586000,586000,383441000,389141000,1257278000,-1103692000,153583000,159052000,548193000,269215000,3468000,-193829000,-17077000,61777000,-45594000,-45594000,685000,685000,-2381000.00000003,13802000,13802000,13802000,80688000,382855000,0.96697,3.30286,1.65833,0.48114,34.91982,2.44663,0.69839,2.61205,2.32798,0.79085,1.52096,0.4862,3.32078,3.46992
"35","2019_Q2",14.1731746031746,"Down",55183000,-3015000,-3015000,52168000,-3641000,-4617000,48527000,48527000,40019000,40019000,33790000,33790000,192178000,65151000,702000,702000,251519000,148000,338447000,150901000,338595000,590114000,3502000,144000,1583000,3810000,1617000,1617000,386361000,390171000,1258137000,-1069902000,188245000,199943000,590114000,40019000,3539000,10565000,22532000,76655000,-74167000,-74167000,319000,319000,246000,2734000,2734000,2734000,55707000,384744000,0.94536,0.61233,0.169,0.05726,66.01549,1.95141,0.65198,0.33436,0.29803,0.54605,1.86272,0.05763,3.45676,3.69127
"36","2019_Q3",11.95828125,"Down",64107000,-4347000,-4347000,59760000,-3266000,-4661000,56494000,56494000,46061000,46061000,37740000,37740000,249663000,141952000,459000,459000,317685000,136000,324486000,147372000,324622000,642307000,7158000,1139000,1757000,7475000,1455000,1455000,388130000,395605000,1258812000,-1032162000,226683000,246702000,642307000,46061000,3541000,11988000,-5094000.00000001,56496000,20107000,20107000,210000,210000,198000,76801000,76801000,76801000,63301000,386675000,0.93219,0.5887,0.15298,0.05876,42.49967,1.60357,0.60201,0.37311,0.33283,0.63378,2.24104,0.05945,2.16445,2.2927
"37","2019_Q4",12.268125,"Up",65755000,-4962000,-4962000,60793000,-3184000,-4693000,57609000,57609000,47051000,47051000,39809000,39809000,297201000,172946000,383000,383000,366795000,24000,309134000,142579000,309158000,675953000,3329000,35000,1521000,3329000,217000,217000,388861000,392190000,1259383000,-992353000,267055000,283763000,675953000,47051000,3320000,12425000,-5394000,57402000,-15937000,-15937000,89000,89000,-10471000,30994000,30994000,30994000,64113000,388644000,0.92454,0.60541,0.14029,0.05889,110.18174,1.3821,0.57496,0.3934,0.35101,0.6498,2.63909,0.05918,1.42628,1.50417
"38","2020_Q1",13.2254838709677,"Up",75971000,-2332000,-2332000,73639000,-3374000,851000,70265000,70265000,57862000,57862000,45949000,45949000,350845000,278096000,962000,962000,431234000,33000,293559000,139388000,293592000,724826000,5371000,10000,1209000,5371000,219000,219000,377339000,382710000,1259872000,-946404000,313495000,342116000,724826000,57862000,3474000,14518000,-8949000,66905000,52006000,51994000,8999.99999999997,8999.99999999999,-13749000,105150000,105150000,105150000,77113000,377120000,0.9693,0.60482,0.13431,0.06339,80.28933,1.11866,0.52029,0.45405,0.405,0.75072,3.09784,0.06387,0.34073,0.35681
"39","2020_Q2",13.6020634920635,"Up",78678000,-2563000,-2563000,76115000,-3146000,-3214000,72969000,94884000,78952000,78952000,65437000,65437000,383951000,351981000,822000,822000,466907000,42000,274147000,135908000,321104000,788011000,2798000,122000,1008000,2798000,192000,192000,379344000,382142000,1260477000,-880967000,379543000,405869000,788011000,78952000,3463000,-3869000,-5065000,73481000,16057000,16044000,225000,225000,-15640000,73885000,73885000,73885000,79578000,379152000,0.96742,0.83171,0.16123,0.08304,166.87169,0.94154,0.48115,0.64639,0.57649,0.77718,3.74913,0.08334,-0.06031,-0.06305
"40","2020_Q3",12.7090625,"Down",78946000,-3155000,-2596000,75791000,-4373000,-4403000,71418000,118116000,98225000,98225000,76844000,76844000,417146000,413147000,644999.999999999,645000,500193000,37000,250776000,132428000,379426000,879619000,5414000,195000,1067000,5414000,163000,163000,381393000,386807000,1261032000,-804123000,456907000,492812000,879619000,98225000,3458000,-24466000,2577000,79794000,-6999999.99999999,-7000000.00000001,197000,197000,-11628000,61166000,61166000,61166000,79249000,381230000,0.96004,0.97337,0.15593,0.08736,92.38881,0.7849,0.4334,0.75839,0.67677,0.77914,4.50932,0.0879,-0.4532,-0.47388
