"","YQ","p","d","revenue","cost_of_revenue","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",449.73953125,"Up",9720000,-6685000,-5233000,-3682000,-2215000,-1456000,-2198000,-74000,-74000,-2272000,0,-2272000,-2271000,-2271000,-2271000,-2271000,25535000,25535000,1820000,1820000,6285000,304000,36118000,863000,1432000,37550000,11973000,11973000,39000,12012000,12012000,121455000,-95300000,25538000,25538000,37550000,-2271000,448000,882000,-175000,-1116000,-119000,-119000,0,-1235000,-1235000,-1228000,-1750000,0,-0.08893,-0.06048,3.00683,0.47036,0,-58.78501,-58.78501,251.60297,661.05315,-0.08893,14.59143,11.61738
"12","2013_Q4",422.4,"Down",3998000,-2763000,-4839000,-3397000,-2382000,-1352000,-3604000,-34000,-34000,-3638000,1.16415321826935e-10,-3638000,-3644000,-3644000,-3644000,-3644000,18830000,18830000,613000,613000,8806000,683000,30611000,871000,1440000,32051000,8652000,8652000,1162000,9814000,9814000,121807000,-98944000,22237000,22237000,32051000,-3644000,353000,575000,-3880000,-6596000,-98000,-97999.9999999999,0,-6694000,-6694000,-6705000,-3251000,0,-0.16387,-0.11369,3.11912,0.44134,0,-94.18455,-94.18455,103.3342,574.74805,-0.16387,5.79206,5.22475
"13","2014_Q1",389.540983606557,"Down",10077000,-9331000,-4708000,-3971000,-2328000,-652000,-3962000,-118000,-118000,-4080000,-5e+05,-4580000,-4586000,-4586000,-4586000,-4586000,13385000,13385000,1169000,1169000,13850000,2827000,33263000,817000,4386000,37649000,8994000,8994000,6838000,17596000,17596000,124194000,-103530000,20053000,20053000,37649000,-4586000,3593000,2855000,-7530000,-5668000,-31000,-3531000,3745000,-5454000,-5454000,-5445000,-369000,1764000,-0.22869,-0.12181,1.89037,0.87747,0.04685,-107.61143,-107.61143,236.45887,470.54775,-0.2102,31.49322,2.93311
"14","2014_Q2",255.709047619048,"Down",21934000,-18545000,-7490000,-6163000,-2107000,-1246000,-4101000,-162000,-162000,-4263000,-247000,-4510000,-4512000,-4512000,-4512000,-4512000,12349000,12349000,1485000,1485000,4126000,248000,20963000,1025000,4410000,25373000,9369000,9369000,30000,9399000,9399000,124567000,-108042000,15974000,15974000,25373000,-4512000,7307000,1185000,-2957000,1023000,-289000,-289000,-1767000,-1033000,-1033000,-1036000,3206000,-2.3283064365387e-10,-0.28246,-0.17783,2.23034,0.58839,0,-105.97579,-105.97579,515.17577,375.19001,-0.28246,-3.85184,3.01122
"15","2014_Q3",174.6475,"Down",3240000,-3179000,-3437000,-2911000,-1786000,-420000,-3376000,-43000,-43000,-3419000,-166000,-3585000,-3585000,-3585000,-3585000,-3585000,10947000,10947000,863000,863000,2152000,232000,16259000,960000,4220000,20479000,6919000,6919000,864000,7783000,7783000,124830000,-111627000,12696000,12696000,20479000,-3585000,1585000,2464000,-1824000,-1360000,-41000,-41000,-4000,-1405000,-1405000,-1402000,-1791000,0,-0.28237,-0.17506,2.08904,0.61303,0,-84.04015,-84.04015,75.9526,297.62168,-0.28237,6.11223,3.24259
"16","2014_Q4",92.9028125,"Down",2911000,-1770000,-3451000,-2957000,-2004000,-377000,-2310000,-79000,-79000,-2389000,-335000,-2724000,-2727000,-2727000,-2727000,-2727000,10937000,10937000,291000,291000,2878000,340000,15726000,650000,2355000,18081000,4349000,4349000,3470000,7819000,7819000,125116000,-114354000,10262000,10262000,18081000,-2727000,1066000,1689000,194000,222000,-1000,-231000,4.65661287307739e-10,-9000,-9000,-9999.99999999953,-1244000,-5.82076609134674e-11,-0.26574,-0.15082,2.01125,0.76194,0,-65.89197,-65.89197,70.33793,247.95871,-0.26574,8.7918,4.73463
"17","2015_Q1",119.391475409836,"Up",6283000,-5169000,-4337000,-3599000,-2469000,-297000,-3223000,-77000,-77000,-3300000,-2068000,-5368000,-5373000,-5373000,-5373000,-5373000,7196000,7196000,1597000,1597000,1173000,249000,11258000,198000,198000,11456000,4427000,4427000,1478000,5905000,5905000,125278000,-119727000,5551000,5551000,11456000,-5373000,1482000,5532000,-5035000,-3394000,-16000,-316000,-27000,-3737000,-3737000,-3741000,-1741000,0,-0.96793,-0.46901,1.90652,1.06377,0,-120.37626,-120.37626,140.76383,124.36416,-0.96793,4.13326,2.2327
"18","2015_Q2",136.637619047619,"Up",3471000,-2114000,-2250000,-2184000,-1744000,-26000,-893000,-60000,-60000,-953000,-202000,-1155000,-1156000,-1156000,-1156000,-1553000,10479000,10479000,826000,826000,574000,304000,12150000,66000,66000,12216000,3002000,3002000,4281000,7283000,7283000,125498000,-120883000,4933000,4933000,12216000,-1156000,444000,463000,2531000,2282000,2e+05,2e+05,801000,3283000,3283000,3283000,-449000,-3.63797880709171e-12,-0.31482,-0.12713,1.66827,1.47638,0,-35.72357,-35.72357,79.84323,106.1586,-0.31482,23.33853,11.7346
"19","2015_Q3",143.39265625,"Up",1091000,-367000,-1331000,-1287000,-1145000,-37000,-607000,4000,4000,-603000,338000,-265000,-265000,-265000,-265000,-282000,9084000,9084000,454000,454000,419000,142000,9991000,56000,56000,10047000,2666000,2666000,1740000,4406000,4454000,126349000,-122481000,5593000,5593000,10047000,-1598000,3000,540000,-345000,-1400000,17000,17000,-12000,-1395000,-1395000,-1395000,-604000,0,-0.05042,-0.02807,2.26759,0.79635,0,-5.43373,-5.43373,21.02199,74.53075,-0.04999,15.03974,14.9654
"20","2015_Q4",123.5290625,"Down",1705000,-908000,-1514000,-1475000,-1305000,-29000,-717000,1000,1000,-716000,-880000,-1596000,-1598000,-1598000,-1598000,-3436000,8584000,8584000,323000,323000,394000,136000,9301000,48000,48000,9349000,2133000,2133000,4e+05,2533000,2583000,129827000,-122746000,6766000,6766000,9349000,-265000,26000,-40000,-1459000,-1738000,3000,253000,985000,-5e+05,-5e+05,-5e+05,-691000,-2.27373675443232e-13,-0.50783,-0.36753,3.67193,0.38176,0,-77.74314,-77.74314,38.57743,160.21512,-0.50411,12.42258,11.97211
"21","2016_Q1",121.354098360656,"Down",426000,-34000,-1261000,-1175000,-1156000,-82000,-869000,10000,10000,-859000,69000,-790000,-790000,-790000,-790000,-790000,17053000,17053000,283000,283000,280000,101000,17616000,45000,45000,17661000,1686000,1686000,318000,2004000,2004000,128499000,-123536000,15657000,15657000,17661000,-790000,20000,562000,-550000,-758000,70000,70000,9157000,8469000,8469000,8469000,-849000,0,-0.05046,-0.04473,8.79042,0.12799,0,-13.86067,-13.86067,7.47424,87.07659,-0.05046,20.08598,19.62371
"22","2016_Q2",126.5834375,"Up",591000,-58000,-1187000,-1145000,-1122000,-35000,-654000,7000,7000,-647000,0,-647000,-647000,-647000,-647000,-6649000,6652000,6652000,510000,510000,393000,243000,7555000,38000,38000,7593000,1699000,1699000,207000,1906000,1906000,119349000,-124183000,5687000,5687000,7593000,-647000,65000,547000,-363000,-398000,-1.45519152283669e-11,0,-10003000,-10401000,-10401000,-10401000,-589000,0,-1.16916,-0.87567,3.9638,0.33515,0,-99.33632,-99.33632,8.82956,-72.22015,0.58924,11.29372,10.17125
"23","2016_Q3",98.2009375,"Down",412000,-125000,-1365000,-1338000,-1319000,-20000,-1078000,3000,3000,-1075000,-26000,-1101000,-1101000,-1101000,-1101000,-1101000,7346000,7346000,415000,415000,263000,178000,8024000,31000,31000,8055000,1496000,1496000,419000,1915000,1915000,121017000,-125284000,6140000,6140000,8055000,-1101000,34000,493000,-37000,-611000,0,0,1305000,694000,694000,694000,-1044000,0,-0.17932,-0.13669,4.19008,0.31189,0,-14.9449,-14.9449,5.59246,-57.91998,-0.17932,7.0364,6.81447
"24","2016_Q4",84.6812698412698,"Down",-1003000,183000,-979000,-1048000,-1090000,55000,-1799000,5000,5000,-1794000,159000,-1635000,-1635000,-2486000,-2486000,-2486000,6736000,6736000,176000,176000,171000,121000,7083000,24000,24000,7107000,1422000,1422000,185000,1607000,1607000,123117000,-127770000,5500000,5500000,7107000,-1635000,-99000,693000,334000,-544000,0,-2.91038304567337e-11,-66000,-610000,-610000.000000002,-610000.000000002,-1898000,0,-0.452,-0.3498,4.40759,0.29218,0,-26.25899,-26.25899,-10.59444,-49.14847,-0.452,3.549,3.7443
"25","2017_Q1",145.729838709677,"Up",-827353.686987901,166143.897031346,-568000,-568000,-568000,0,-568000,3000,3000,-565000,115000,-450000,-450000,-406000,-406000,-406000,6523000,6523000,0,0,210000,47000,6733000,18000,18000,6751000,474000,474000,880000,1354000,1354000,123420000,-128176000,5397000,5397000,6751000,-450000,0,82000,205000,-213000,0,0,0,-213000,-213000,-213000,-568000,0,-0.07523,-0.06014,4.97267,0.25088,0,-4.0565,-4.0565,-8.85816220888872,-47.51896,-0.07523,11.48415,11.48415
"26","2017_Q2",393.412698412698,"Up",0,0,-5225000,-5225000,-5225000,0,-5225000,4000,4000,-5221000,-8000.00000000373,-5229000,-5229000,-5661000,-5661000,-5661000,6902000,6902000,101000,101000,301000,251000,7304000,1473000,1473000,8777000,2268000,2268000,1.16415321826935e-10,2268000,2268000,131814000,-133837000,6509000,6509000,8777000,-5229000,0,3983000,490000,-361000,-1538000,-1538000,2278000,379000,379000,379000,-5225000,-5.6843418860808e-14,-0.86972,-0.644980000000001,3.22046,0.34844,-4.2351647362715e-22,-42.28681,-42.28681,1.77635683940025e-15,-15.1115,-0.86972,1.32096,1.32096
"27","2017_Q3",610.507936507937,"Up",0,0,-5686000,-5686000,-5686000,0,-5686000,3000,3000,-5683000,-104693000,-110376000,-110376000,-110360000,-110360000,-110360000,4777000,4777000,65000,65000,326000,326000,5168000,1878000,1878000,7046000,1409000,1409000,0,1409000,1409000,137886000,-244197000,5637000,5637000,7046000,-110376000,173000,108498000,-737000,-2290000,-423000,-423000,588000,-2125000,-2125000,-2125000,-5513000,0,-19.57779,-15.66279,3.66785,0.24996,0,-590.42337,-590.42337,0,-568.76132,-19.57779,0.8665,0.84013
"28","2017_Q4",637.261904761905,"Up",1.45519152283669e-11,7.27595761418343e-12,-5270000,-1846000,-1846000,-3424000,-5270000,3000,3000,-5267000,0,-5267000.00000001,-5267000.00000001,-5199999.99999999,-5199999.99999999,-5200000,3027000,3027000,60000,60000,411000,411000,3498000,2073000,2103000,5601000,1439000,1439000,-4.65661287307739e-10,1439000,1439000,142364000,-249397000,4162000,4162000,5601000,-5267000,122000,2916000,740000,-2003000,-292000,-282000,535000.000000001,-1750000,-1750000,-1750000,-5148000,9.09494701772928e-13,-1.2494,-0.928409999999998,2.43085,0.34575,6.7762635780344e-21,-23.27582,-23.27582,0,-479.09249,-1.2494,0.587999999999999,0.57438
"29","2018_Q1",505.569672131148,"Down",0,0,-9738000,-6055000,-6055000,-3683000,-9738000,13000,13000,-9725000,117000,-9608000,-9608000,-9608000,-9608000,-10101000,17667000,17667000,0,0,297000,297000,17964000,2173000,2188000,20152000,1939000,1939000,13502000,15441000,15441000,149180000,-259005000,170000,4711000,20152000,-9608000,137000,5814000,728000,-2929000,-291000,-276000,17845000,14640000,14640000,14640000,-9601000,0,-2.14413,-0.50124,1.1634,3.27765,0,-41.47637,-41.47637,0,-450.9595,-2.14413,1.84012,1.81423
"30","2018_Q2",594.4140625,"Up",13000,-1000,-17500000,-10898000,-10898000,-6602000,-17488000,25000,25000,-17463000,3374000,-14089000,-14089000,-14089000,-14089000,-15268000,9990000,9990000,60000,60000,626000,626000,10676000,4452000,4563000,15239000,3312000,3312000,10128000,13440000,13440000,160375000,-273094000,-3615000,1799000,15239000,-14089000,256000,7758000,1002000,-5073000,-2664000,-2649000,45000,-7677000,-7677000,-7676999.99999999,-17232000,0,-8.48694,-1.0019,0.79435,7.47082,-1.0842021724855e-19,-57.69914,-57.69914,0.04913,-425.97519,-8.48694,0.57974,0.57125
"31","2018_Q3",576.634920634921,"Down",3000,-1000,-11559000,-5938000,-5938000,-5621000,-11557000,18000,18000,-11539000,-80000,-11619000,-11619000,-11619000,-11619000,-19160000,37838000,37838000,45000,45000,294000,294000,38177000,6342000,6479000,44656000,3007000,3007000,0,3007000,3007000,326362000,-284713000,41649000,41649000,44656000,-11619000,350000,6700000,-386000,-4955000,-1853000,-1838000,34641000,27848000,27848000,27848000,-11207000,0,-0.46004,-0.42906,12.69604,0.0722,0,-36.99249,-36.99249,0.00579,80.41233,-0.46004,3.37628,3.27403
"32","2018_Q4",361.829365079365,"Down",416000,-229000,-17578000,-15238000,-15238000,-2340000,-17391000,146000,146000,-17245000,0,-17245000,-17245000,-17245000,-17245000,-17245000,84827000,84827000,329000,329000,745000,715000,86156000,10307000,11731000,97887000,3867000,3867000,268000,4668000,5462000,394383000,-301958000,92425000,92425000,97887000,-17245000,446000,9960000,-153000,-6992000,-1875000,-4118000,58099000,46989000,46989000,46989000,-16945000,1238000,-0.18658,-0.17617,18.45673,0.0591000000000012,0.01265,-21.33632,-21.33632,0.51469,114.35253,-0.183939999999999,4.93296,4.80645
"33","2019_Q1",370.110655737705,"Up",1131000,-771000,-23356000,-18543000,-16178000,-4813000,-22996000,206000,206000,-22790000,0,-22790000,-22488000,-22488000,-22488000,-22488000,61835000,55673000,712000,712000,1432000,1432000,64315000,13736000,15851000,80166000,6508000,6508000,486000,7523000,8133000,414861000,-342864000,72033000,72033000,80166000,-22488000,442000,11164000,-644000,-11526000,-2829000,-2814000,474000,-13866000,-13866000,-13866000,-22554000,1008000,-0.31219,-0.28052,8.54912,0.11291,0.01257,-26.43303,-26.43303,1.32941,84.66962,-0.30733,2.69695,2.64511
"34","2019_Q2",189.670634920635,"Down",1465000,-776000,-26500000,-21148000,-17195000,-5352000,-25811000,70000,219374.963296547,-25741000,168000,-25573000,-25573000,-25573000,-25573000,-25573000,44654000,34948000,788000,788000,1844000,1844000,47595000,16528000,23017000,70612000,5344000,5344000,2640000,8513000,14019000,424977000,-368437000,56593000,56593000,70612000,-25573000,676000,10368000,-2037000,-16566000,-1539000,-5059000,900000.000000007,-20725000,-20725000,-20725000,-25135000,1023000,-0.45188,-0.36216,5.59086,0.24772,0.01449,-29.60565,-29.60565,1.69602,65.51724,-0.40833,1.73587,1.6904
"35","2019_Q3",114.4375,"Down",1326000,-596000,-23805000,-19041000,-15060000,-4764000,-23075000,29000,197692.140542811,-23046000,254000,-22792000,-22792000,-22792000,-22792000,-22792000,58229000,45887000,1336000,1336000,1918000,1918000,61845000,16200000,23110000,84955000,5977000,5977000,2690000,9205000,14589000,461516000,-391229000,70366000,70366000,84955000,-22792000,770000,8648000,1151000,-12223000,-571000,-3218000,26380000,10939000,10939000,10939000,-22305000,774000,-0.32391,-0.26828,6.71863,0.20733,0.00911,-22.9888,-22.9888,1.33745,70.97357,-0.29876,2.57588,2.48992
"36","2019_Q4",72.10546875,"Down",1395000,-645000,-23988000,-21032000,-16044000,-2956000,-23238000,677000,126000,-22561000,-422000,-22983000,-22983000,-22983000,-22983000,-22983000,45948000,27273000,1593000,1593000,1306000,1306000,49193000,15662000,22099000,71292000,10233000,10233000,2716000,13487000,18900000,466541000,-414212000,52392000,52392000,71292000,-22983000,943000,5176000,5003000,-11861000,-276000,-6598000,-155000.000000004,-18614000,-18614000,-18614000,-22295000,785000,-0.43867,-0.32238,3.64744,0.36074,0.01101,-21.73076,-21.73076,1.31899,49.53739,-0.39393,2.0257,1.9435
"37","2020_Q1",54.2016129032258,"Down",1466000,-462000,-22273000,-18948000,-14890000,-3325000,-21269000,124000,25000,-21145000,3937288.26346985,-21145000,-21145000,-21145000,-21145000,-21145000,29240000,10218000,1731000,1731000,1264000,1264000,32487000,14911000,21112000,53599000,7095000,7095000,2436000,10059000,14683000,474201000,-435357000,38916000,38916000,53599000,-21145000,796000,8183000,-3832000,-15998000,-387000,-742000,-315000,-17055000,-17055000,-17055000,-20473000,528000,-0.54335,-0.3945,3.22965,0.3773,0.00985,-19.54678,-19.54678,1.35519,35.97458,-0.47983,1.40243,1.34995
"38","2020_Q2",26.5734920634921,"Down",933000,-516000,-17672000,-14299000,-10605000,-3373000,-17255000,135000,-12000,-17120000,4080000,-13040000,-13040000,-13040000,-13040000,-13040000,39514000,38517000,1186000,1186000,2807000,2807000,43740000,15022000,20723000,64463000,8026000,8026000,3246000,11808000,22810000,490047000,-448397000,41653000,41653000,64463000,-13040000,8e+05,-1319000,-295000,-13854000,-999000,16973000,25180000,28299000,28299000,28299000,-16455000,536000,-0.31306,-0.20229,3.70427,0.54762,0.00831,-9.87281,-9.87281,0.70639,31.5362,-0.24515,2.36876,2.25894
"39","2020_Q3",33.00765625,"Up",2266000,-882000,-10399000,-7235000,-5211000,-3164000,-9015000,13000,-65000,-9002000,-3675000,-12677000,-12677000,-12677000,-12677000,-12677000,30504000,30504000,2115000,2115000,2453000,2453000,35353000,12729000,17801000,53154000,5050000,5050000,2741000,9227000,23587000,490641000,-461074000,29567000,29567000,53154000,-12677000,844000,3683000,-3409000,-11559000,-171000,829000,2717000,-8013000,-8013000,-8013000,-8171000,3846000,-0.42876,-0.2385,3.83147,0.79775,0.07236,-8.24718,-8.24718,1.47417,19.23518,-0.27946,3.26251,2.95707
"40","2020_Q4",21.1425,"Down",3337000,-1352000,-10568000,-7870000,-6264000,-2698000,-8583000,-1000,-58000,-8584000,1503000,-7081000,-7081000,-7081000,-7081000,-7081000,23186000,23186000,3379000,3379000,1596000,1596000,29068000,11970000,16419000,45487000,4818000,4818000,2336000,9041000,20927000,492715000,-468155000,24560000,24560000,45487000,-7081000,835000,717000,-1228000,-6757000,-55000,-55000,-506000,-7318000,-7318000,-7318000,-7748000,3851000,-0.28831,-0.15567,3.21513,0.85208,0.08466,-4.56707,-4.56707,2.15228,15.84061,-0.18472,2.49548,2.25271
"41","2021_Q1",30.9552459016393,"Up",3590000,-1674000,-9169000,-6872000,-5477000,-2297000,-7253000,25000,-47000,-7228000,-2828000,-10056000,-10056000,-10056000,-10056000,-10056000,25522000,25522000,3819000,3819000,992000,992000,31216000,10550000,14294000,45510000,4148000,4148000,2274000,8481000,18172000,505549000,-478211000,27338000,27338000,45510000,-10056000,784000,4215000,-527000,-5584000,-114000,-114000,8034000,2336000,2336000,2336000,-6469000,3576000,-0.36784,-0.22096,3.6807,0.66472,0.07858,-10.06955,-10.06955,3.59484,27.37484,-0.25727,3.39249,3.02578
"42","2021_Q2",26.291746031746,"Down",4709000,-2165000,-10328000,-7897000,-6371000,-2431000,-7784000,23000,-38000,-7761000,-9649000,-17410000,-17410000,-17410000,-17410000,-17410000,37237000,37237000,4320000,4320000,2631000,2631000,44561000,9414000,12501000,57062000,4295000,4295000,3246000,10049000,28721000,523962000,-495621000,28341000,28341000,57062000,-17410000,748000,11795000,-1743000,-6610000,-2000.00000000001,-2000,18327000,11715000,11715000,11715000,-7036000,3576000,-0.6143,-0.30511,4.43437,1.01341,0.06267,-5.71507,-5.69728,1.54579,9.30332,-0.37233,4.78411,4.32438
