"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"15","2019_Q1",15.8326229508197,"Down",193104000,-112880000,80224000,-77556000,-62923000,-14633000,2668000,-4241000,-2401000,-1949000,-1573000,-15956000,-17529000,-11000,-17540000,-17540000,-16687000,-16687000,228320000,228320000,80208000,80208000,178297000,22618000,155679000,486825000,73628000,1145542000,335036000,768124000,42382000,1235456000,1722281000,221177000,146760000,74417000,48179000,20584000,269356000,42528000,25438000,17090000,263569000,532925000,1093997000,50009000,1143824000,1189356000,1722281000,-17540000,14633000,8125000,-30186000,-24968000,-10433000,-10433000,-10433000,-1724000,-111882000,-11403000,-135442000,1341000,1341000,113440000,281959000,121549000,121549000,121478000,17301000,221041000,-23307000,0.41544,0.01382,-0.08641,-0.01403,-0.00969,1.39672,1.80737,0.44808,0.12834,-0.21185,-0.21185,2.45152,14.52125,-0.29589,-0.01149,-0.01604,-0.42073,-2.72826
"16","2019_Q2",11.8396825396825,"Down",197756000,-117441000,80315000,-89104000,-74838000,-14266000,-8789000,-2926000,-2502000,-424000,-11715000,-37430000,-49145000,496000,-48649000,-48649000,-46739000,-46739000,170817000,170817000,65626000,65626000,83110000,30495000,52615000,319553000,77379000,1212465000,336231000,770334000,105900000,1309821000,1629374000,107897000,39007000,68890000,55778000,22320000,163675000,92253000,24566000,67687000,315573000,479248000,1096914000,3270000,1100026000,1150126000,1629374000,-48649000,14266000,-3823000,12497000,-25709000,-9462000,-9462000,-9462000,-4279000,-5999999.99999999,-5737000,-25478000,123000,123000,-109788000,-109665000,-160852000,-160852000,-160871000,5477000,223320000,8015999.99999999,0.40613,-0.04444,-0.23635,-0.04064,-0.02869,-0.17151,1.95236,0.41669,0.13706,-0.58913,-0.58913,2.49267,13.86558,0.10104,-0.03189,0.00546999999999999,9.58609,-5.97372
"17","2019_Q3",7.17625,"Down",191959000,-108383000,83576000,-82224000,-66932000,-15292000,1352000,-4682000,-2778000,-1904000,-3330000,-27172000,-30502000,-1398000,-31900000,-31900000,-31615000,-31615000,96869000,92821000,71379000,71379000,72616000,32810000,39806000,240864000,80217000,1258924000,326586000,772164000,160174000,1411392000,1652256000,108249000,28758000,79491000,64624000,26923000,172873000,106985000,25766000,81219000,332627000,505500000,1159170000,-28345000,1130678000,1146756000,1652256000,-31900000,15292000,-9773000,12848000,-13533000,-8277000,-8277000,-8277000,-3336000,0,-53725000,-65338000,825000,825000,-12231000,-11406000,-90277000,-90277000,-90287000,16644000,225642000,22613000,0.43538,0.00704,-0.1647,-0.02757,-0.01913,-0.71526,1.3933,0.44081,0.13657,-0.38412,-0.38412,2.33229,13.73766,0.27475,-0.02137,0.01529,7.7369,95.2463
"18","2019_Q4",8.12390625,"Up",220143000,-131763000,88380000,-74216000,-58808000,-15408000,14164000,-6365000,-2506000,-3859000,7799000,-34386000,-26587000,849000,-25738000,-25738000,-25521000,-25521000,100549000,96734000,74874000,74874000,132589000,29749000,102840000,308012000,83164000,1252102000,317200000,771887000,163015000,1405889000,1713901000,188687000,120024000,68663000,71164000,22701000,259851000,101706000,24593000,77113000,329702000,589553000,1162541000,-53866000,1108460000,1124348000,1713901000,-25738000,15408000,43675000,-49935000,-16590000,-8638000,-8638000,-8638000,-1780000,-2575000,1348999.99999999,-11644000,49000,49000,96723000,96772000,68538000,68538000,68586000,29572000,227996000,-29850000,0.40147,0.06434,-0.11593,-0.0227,-0.01489,1.16963,1.18534,0.52435,0.13303,-0.30435,-0.30435,2.62534,13.21909,-0.35598,-0.01755,-0.02053,4.30972,8.99795
"19","2020_Q1",8.93225806451613,"Up",77264000,-155446000,-78182000,-51227000,-35870000,-15357000,-129409000,-7130000,-3363000,-3278000,-136539000,-87215000,-223754000,22848000,-200906000,-199293000,-198096000,-198096000,102815000,101008000,75667000,75667000,50319000,28488000,21831000,228801000,85155000,1044690000,308459000,572064000,164167000,1269214000,1498015000,105522000,37488000,68034000,87247000,19828000,192769000,82532000,1942000,80590000,376199000,568968000,1174554000,-251962000,922358000,929047000,1498015000,-199293000,15947000,171876000,24657000,13187000,-9157000,-9157000,-9157000,845000,0,-70862000,-79174000,95000,95000,-73989000,-11246000,-77233000,-77233000,-77222000,-113462000,293667000,-120810000,-1.01188,-1.67489,-2.56388,-0.21322,-0.13224,0.60986,1.18692,0.61242,0.19604,-2.35932,-2.35932,0.92021,10.98529,-1.43885,-0.15177,-0.09256,-1.68208,-1.4748
"20","2020_Q2",6.69698412698413,"Down",221232000,-175629000,45603000,-68065000,-52087000,-15978000,-22462000,-5993000,-5511000,-412000,-28455000,-49762000,-78217000,-269999.999999996,-78487000,-78752000,-78752000,-78752000,69357000,67944000,107506000,107506000,81610000,25449000,56161000,258473000,85808000,1013533000,291627000,569797000,152109000,1192281000,1450754000,124433000,80035000,44398000,111818000,17023000,236251000,70755000,2130000,68625000,367431000,603682000,1181143000,-333684000,847072000,847072000,1450754000,-78752000,16138000,62858000,-20785000,-20541000,-7400000,-7400000,-7400000,-720000.000000002,710442.77734856,-2687000,-10807000,84000,84000,32490000,32574000,1226000.00000001,1226000.00000001,1267000,-6324000,296676000,-34239000,0.20613,-0.10153,-0.35597,-0.09297,-0.05428,0.43477,1.09406,0.71267,0.2045,-0.92876,-0.92876,2.60908,9.98988,-0.4038,-0.06484,-0.02819,-35.94545,-10.12016
"21","2020_Q3",11.75796875,"Up",217299000,-164358000,52941000,-62914000,-47296000,-15618000,-9973000,19912000,-5585000,25143000,9939000,-215856000,-205917000,3904000,-202013000,-203521000,-203521000,-203521000,99106000,98272000,95839000,95839000,79713000,30473000,49240000,274658000,88555000,790632000,282913000,354695000,153024000,995476000,1270134000,129992000,73691000,56301000,115130000,13247000,245122000,78402000,1326000,77076000,378148000,623270000,1184460000,-537205000,646864000,646864000,1270134000,-203521000,15778000,199383000,26026000,37666000,-10055000,-10055000,-10055000,2372000,734676.979479186,108000,-7575000,442000,442000,-7106000,-6664000,23427000,23427000,23412000,5805000,299746000,17872000,0.24363,-0.0459,-0.93659,-0.31463,-0.16024,-0.08781,1.1205,0.96353,0.236,-2.38984,-2.38984,2.55163,7.59578,0.20986,-0.19855,0.01744,34.56331,-20.11832
"22","2020_Q4",13.21734375,"Up",239572000,-181761000,57811000,-66900000,-52366000,-14534000,-9089000,-20084000,-6257000,-13717000,-29173000,-7359000.00000003,-36532000.0000001,-503000,-37035000,-38170000,-37348000,-37348000,375191000,370514000,95317000,95317000,78037000,55381000,22656000,548545000,88072000,735857000,275492000,354722000,105643000,843244000,1391789000,137286000,32177000,105109000,228210000,12459000,365496000,86335000,1390000,84945000,371548000,737044000,1225814000,-574553000,629818000,654745000,1391789000,-38170000,14694000,33566000,-30589000,-20499000,-6159000,-6159000,-6159000,128085000,316572.69187022,159753000,281679000,1448000,1448000,-28978000,-13856000,247324000,247324000,247341000,5605000,285213000,-30640000,0.24131,-0.0379399999999999,-0.15589,-0.0570399999999999,-0.02683,0.82039,1.50082,1.1257,0.20493,-0.47949,-0.47949,3.07573,8.08589,-0.39337,-0.0363900000000001,-0.02986,-16.05317,9.89966
"23","2021_Q1",19.0167213114754,"Up",246536000,-174833000,71703000,-73368000,-58663000,-14705000,-1665000,-9606000,-8339000,-975000,-11271000,1397000,-9874000,-763000,-10637000,-13803000,-14625000,-14625000,319002000,319002000,124064000,124064000,104583000,56295000,14374000,547649000,86240000,731313000,264992000,349029000,96913000,824051000,1371700000,152380000,31975000,120405000,224357000,10187000,403294000,85463000,679000,84607000,348806000,752100000,1230179000,-589178000,619600000,619600000,1371700000,-13803000,14865000,13314000,-27227000,-12851000,-5859000,-5859000,-5859000,2534000,-3e+05,1400000,-2225000,603000,603000,-24301000,-23916000,-38992000,-38992000,-38970000,13200000,289900000,-19123000,0.29084,-0.00675,-0.05932,-0.0236,-0.01066,1.30756,1.35794,1.21385,0.21134,-0.1592,-0.1592,2.68362,6.74453,-0.20816,-0.0147,-0.01922,-2.2047,17.47868
"24","2021_Q2",20.0288888888889,"Up",215071000,-157832000,57239000,-73778000,-58591000,-15187000,-16539000,1555000,-6214000,7783000,-14984000,4404999.99999999,-10579000,-611000,-11190000,-9807000,-9807000,-9807000,236032000,236032000,185103000,185103000,87175000,33696000,53479000,508310000,84439000,707926000,259420000,349022000,99484000,797274000,1305584000,159003000,78574000,80429000,228899000,13367000,414508000,71646000,1085000,70561000,273778000,688286000,1237715000,-598985000,617298000,617298000,1305584000,-9807000,15347000,-3020000,-50683000,-48163000,-5941000,-5941000,-5941000,-2493999.99999999,-1472000,55858000,45951000,6518000,6518000,36318000,-55584000,-57796000,-57796000,-57795000,-1192000,228738000,-57205000,0.26614,-0.0769,-0.0456,-0.01589,-0.00751,5.83308,1.2263,1.115,0.1752,-0.11583,-0.11583,2.54011,7.29063,-0.67562,-0.01069,-0.06234,6.11913,0.441020000000005
"25","2021_Q3",24.0075,"Up",222057000,-172113000,49944000,-57615000,-42699000,-14916000,-7671000,-1345000,-6206000,4879000,-9016000,0,-9016000,-91000,-9107000,-9107000,-9107000,-9107000,207273000,207273000,242505000,242505000,55774000,38032000,17742000,505552000,82996000,704819000,252045000,349009000,93977000,787815000,1293367000,118070000,39879000,78191000,258543000,13173000,403268000,69359000,957000,68402000,275909000,679177000,1243772000,-608092000,614190000,614190000,1293367000,-9107000,14916000,8288000,-38344000,-24247000,-5571000,-5571000,-5571000,0,0,0,-5571000,2858000,2858000,-38361000,-35503000,-65321000,-65321000,-65376000,7245000,233205000,-36579000,0.22492,-0.03455,-0.04101,-0.01483,-0.00704,4.01658,1.25364,1.10581,0.18031,-0.10756,-0.10756,2.62262,7.25393,-0.43202,-0.00993,-0.0399,3.5793,-3.38052
"26","2021_Q4",28.6871875,"Up",222471000,-163126000,59345000,-66151000,-51292000,-14859000,-6806000,-6225000,-6247000,63000,-13031000,225000,-12806000,-234000,-13040000,-13040000,-13040000,-13040000,252496000,252496000,175226000,175226000,50474000,33965000,16509000,478196000,81574000,693755000,245069000,349010000,94672000,775329000,1253525000,128101000,37785000,90316000,212393000,13785000,367198000,67780000,1023000,66757000,278843000,646041000,1250102000,-621132000,607484000,607484000,1253525000,-13040000,14859000,10266000,32416000,44501000,-6227000,-6076097.32616677,-6076097.32616677,0,-417000,4845999.99999999,-1798000.00000001,2190000,2190000,-1549000,641000,43344000,43344000,43345000,8053000,237767000,34476000,0.26675,-0.03059,-0.05861,-0.02147,-0.0104,-2.64387,1.30228,1.06347,0.18968,-0.15198,-0.15198,2.5929,7.08023,0.40182,-0.01428,0.03776,-1.82901,2.16412
"27","2022_Q1",26.1825806451613,"Down",248358000,-164480000,83878000,-81992000,-66917000,-15075000,1886000,-5970000,-6351000,454000,-4084000,6684000,2600000,453000,3053000,-5647000,-5647000,-5647000,266280000,266280000,130604000,130604000,127076000,51391000,75685000,523960000,81365000,808675000,279784000,426297000,102594000,895498000,1419458000,255186000,96084000,159102000,190307000,11944000,445493000,64656000,1403000,63253000,280332000,725825000,1341897000,-626779000,693633000,693633000,1419458000,-5647000,14915000,13707000,43681000,66656000,-7244000,-7258516.48028795,-7258516.48028795,-1000,-47123000,0,-54368000,1723000,1723000,59604000,60898000,73186000,73186000,73187000,16801000,215676000,52785000,0.33773,0.00759,-0.02274,-0.00814,-0.00398,-9.34744,1.17614,1.04641,0.15194,-0.06582,-0.06582,2.89462,8.0843,0.61521,-0.0058,0.0542,-3.01196,-26.83139
"28","2022_Q2",29.14,"Up",297057000,-219739000,77318000,-74038000,-58932000,-15106000,3280000,-1350000,-2124000,596000,1930000,-6078000,-4148000,-1202000,-5350000,-5350000,-5350000,-5350000,210158000,210158000,179270000,179270000,73960000,34313000,39647000,463388000,82877000,789205000,272213000,426274000,90718000,875761000,1339149000,198494000,64036000,134458000,183971000,13288000,382465000,62877000,1524000,61353000,345475000,727940000,1225166000,-592340000,611209000,611209000,1339149000,-5350000,15106000,22924000,-90122000,-57442000,-8508000,-8508000,-8508000,-1299145.31147145,-70000,25344000,16766000,309000,309000,-51685000,-51376000,-92052000,-92052000,-92156000,18386000,282598000,-79042000,0.26028,0.01104,-0.01801,-0.00875,-0.004,14.77421,1.21158,1.19098,0.21103,-0.06057,-0.06057,3.36319,6.91992,-0.89489,-0.00559,-0.08262,3.93995,22.08537
