"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",24.1824193548387,"Up",940300000,-759700000,180600000,-133700000,-142600000,8900000,46900000,-4e+06,-5500000,1500000,42900000,42900000,-15700000,27200000,-9e+06,-9e+06,18200000,-4700000,13500000,13500000,202700000,202700000,622800000,622800000,225500000,145700000,1.051e+09,762200000,750700000,242600000,59100000,376900000,72100000,1512900000,2563900000,698400000,152200000,546200000,6.2e+07,760400000,363200000,876900000,343800000,343800000,31800000,501300000,1240100000,2000500000,616100000,6.36e+08,-763600000,488500000,74900000,563400000,2563900000,27200000,40200000,-16100000,55500000,9.9e+07,-34800000,3200000,-4e+05,-21300000,-4800000,1.2e+07,-11200000,-3400000,74300000,74300000,1500000,75800000,87100000,425200000,123500000,0.19207,0.04988,0.01436,0.02396,0.00527,9.14815,1.38217,3.55076,0.16584,0.27835,0.27778,19.38763,10.07216,2.54639,0.09897,0.00981,0.0662,0.35556,2.55454,4.74414
"12","2013_Q1",25.0676666666667,"Up",766200000,-612900000,153300000,-1.17e+08,-118400000,1400000,36300000,-5200000,-5900000,7e+05,31100000,31100000,3e+05,31400000,4200000,4200000,35600000,-7700000,27900000,27900000,201700000,201700000,612300000,612300000,181500000,122100000,995500000,793800000,764600000,243800000,56100000,385300000,79400000,1558400000,2553900000,689300000,172800000,516500000,53700000,7.43e+08,335600000,898500000,397800000,397800000,18700000,4.82e+08,1234100000,1977100000,616100000,659100000,-773400000,501800000,7.5e+07,576800000,2553900000,31400000,2.7e+07,15200000,9e+06,121200000,-53200000,399999.999999998,-400000.000000002,-67700000,-4800000,-39100000,-10100000,-55300000,-1800000.00000001,-1800000.00000001,8e+05,-999999.99999997,63300000,389300000,18800000,0.20008,0.04738,0.03641,0.04837,0.01092,0.673840000000002,1.33984,3.4277,0.15243,0.57526,0.57055,15.79794,10.34639,0.38763,0.09897,0.01754,0.01008,0.17204,2.96367,5.16804
"13","2013_Q2",23.54203125,"Down",950500000,-792600000,157900000,-140600000,-131900000,-8700000,17300000,-5300000,-5900000,6e+05,1.2e+07,1.2e+07,-5400000,6600000,-19500000,-19500000,-12900000,-3700000,-16600000,-16600000,234800000,234800000,639800000,639800000,198200000,137300000,1072800000,785900000,792300000,253100000,69100000,386200000,83900000,1578200000,2.651e+09,711300000,177100000,534200000,99100000,810400000,410600000,884600000,3.9e+08,3.9e+08,19700000,474900000,1295200000,2105600000,603900000,637600000,-767900000,473600000,71800000,545400000,2.651e+09,6600000,42100000,11500000,-49400000,3300000,-33100000,9300000,-1.9e+07,-45300000,-4800000,117600000,-28400000,85500000,43500000,43500000,-10400000,33100000,59400000,509700000,-17700000,0.16612,0.0182,-0.01746,-0.03044,-0.00626,1.06627,1.32379,3.86065,0.19227,-0.34156,-0.33947,19.55761,9.74486,-0.3642,0.09877,-0.00608,-0.00912999999999999,-0.28916,4.62795,15.89017
"14","2013_Q3",24.40375,"Up",969900000,-792300000,177600000,-144800000,-144900000,1e+05,32800000,-5600000,-5900000,3e+05,27200000,27200000,-10700000,16500000,-4500000,-4500000,1.2e+07,-3300000,8699999.99999999,8699999.99999999,239800000,239800000,6.6e+08,6.6e+08,209300000,1.47e+08,1109100000,771600000,789800000,248500000,6.1e+07,392700000,87600000,1561400000,2670500000,729900000,179100000,550800000,1.2e+08,849900000,406900000,870400000,381700000,381700000,20200000,468500000,1277300000,2127200000,608800000,641400000,-779500000,470700000,72600000,543300000,2670500000,16500000,42200000,-1e+05,-21800000,37800000,-44600000,-399999.999999998,1e+06,-42800000,-4800000,22300000,-1900000,15800000,10800000,10800000,-5800000,5e+06,7.5e+07,526900000,19300000,0.18311,0.03382,0.00897,0.01601,0.00326,2.21839,1.30498,3.91533,0.1973,0.17901,0.17791,19.95679,9.68519,0.39712,0.09877,0.00696,0.00995,0.55172,3.828,8.75305
"15","2013_Q4",28.25828125,"Up",982400000,-783200000,199200000,-1.4e+08,-141200000,1200000,59200000,-6200000,-6500000,3e+05,5.3e+07,5.3e+07,-1.5e+07,3.8e+07,-6e+06,-6e+06,3.2e+07,-8200000,23800000,23800000,242300000,242300000,674100000,674100000,219900000,159500000,1136300000,776300000,786400000,2.53e+08,58700000,383200000,91500000,1562700000,2.699e+09,727100000,168100000,5.59e+08,102400000,829500000,419800000,860300000,372200000,372200000,19500000,468600000,1280100000,2109600000,609300000,660400000,-759300000,510400000,7.9e+07,589400000,2.699e+09,3.8e+07,42300000,9200000,-29100000,63300000,-33700000,-7700000,-1e+05,-43500000,-4800000,-3700000,-9100000,-18200000,1600000,1600000,9e+05,2500000,101500000,522200000,53700000,0.20277,0.06026,0.02423,0.04038,0.00882,2.2563,1.36986,3.57923,0.19348,0.48871,0.48571,20.17248,10.48049,1.10267,0.09856,0.0145,0.02723,0.20168,2.75764,4.72804
"16","2014_Q1",28.3391803278689,"Up",875800000,-691100000,184700000,-130800000,-128800000,-2e+06,53900000,-6500000,-6800000,3e+05,47400000,47400000,-18200000,29200000,20800000,20800000,5e+07,-9100000,40900000,40900000,255500000,255500000,622200000,622200000,2.25e+08,1.53e+08,1102700000,758700000,636600000,240200000,46300000,251700000,98400000,1395300000,2.498e+09,693100000,185600000,507500000,105500000,798600000,330500000,589400000,214800000,214800000,1.8e+07,356600000,919900000,1718500000,614800000,696400000,-617300000,693900000,85600000,779500000,2.498e+09,29200000,39200000,-5999999.99999999,14100000,97100000,-55600000,8700000,9.31322574615479e-10,8600000,-4800000,-85400000,-2400000,-89100000,16600000,16600000,-3400000,13200000,93100000,4.36e+08,69800000,0.21089,0.06154,0.0467,0.05247,0.01637,1.7066,1.38079,2.20462,0.17454,0.8364,0.8313,17.91002,14.19018,1.4274,0.09816,0.02532,0.03867,0.11736,1.93878,3.34879
"17","2014_Q2",24.2980952380952,"Down",949600000,-759700000,189900000,-263600000,-140500000,-123100000,-73700000,-5800000,-5800000,0,-79500000,-79500000,-8700000,-88200000,5e+05,5e+05,-87700000,29200000,-58500000,-58500000,201500000,201500000,562400000,562400000,215100000,150700000,9.79e+08,736900000,633500000,241200000,45500000,245400000,101400000,1370400000,2349400000,643500000,1.67e+08,476500000,94500000,7.38e+08,386400000,529300000,195500000,195500000,15100000,318700000,915700000,1653700000,620600000,6.33e+08,-613800000,639800000,55900000,695700000,2349400000,-88200000,41900000,1.16e+08,-41700000,30600000,-23400000,0,0,-28600000,-4800000,45400000,-4e+05,40200000,42200000,42200000,-96200000,-5.4e+07,-31800000,480900000,-88200000,0.19998,-0.07761,-0.0616,-0.08409,-0.0249,1.50769,1.32656,2.37703,0.20469,-1.19632,-1.19632,19.41922,13.08384,-1.80368,0.09816,-0.03148,-0.0517,-0.08205,-8.78616,-3.79104
"18","2014_Q3",24.360625,"Up",8.59e+08,-718900000,140100000,-131400000,-130800000,-6e+05,8700000,-5300000,-5900000,6e+05,3400000,3400000,-4100000,-7e+05,699999.999999996,699999.999999996,1.49011611938477e-08,1599999.99999999,1599999.99999999,1599999.99999999,224700000,224700000,590300000,590300000,2.06e+08,138700000,1.021e+09,730300000,648700000,242900000,44900000,248100000,112800000,1.379e+09,2.4e+09,663400000,181900000,481500000,114300000,777700000,413800000,503500000,169600000,169600000,16200000,317700000,917300000,1.695e+09,627900000,629700000,-6.02e+08,655600000,49400000,7.05e+08,2.4e+09,-7e+05,40900000,-20300000,-1899999.99999999,1.7e+07,-31100000,1300000,1.16415321826935e-10,-30200000,-4900000,46100000,-7e+06,34400000,21200000,21200000,2e+06,23200000,49600000,528100000,20700000,0.1631,0.01013,0.00185999999999999,0.00227,0.00067,12.9375,1.31285,2.40426,0.22004,0.0326500000000001,0.0323899999999999,17.53061,13.37959,0.42245,0.1,0.00374,0.01192,3.0625,6.11694,34.87356
"19","2014_Q4",20.43234375,"Down",872500000,-726600000,145900000,-84700000,-130600000,45900000,61200000,-6200000,-6600000,4e+05,5.5e+07,5.5e+07,-26800000,28200000,-8600000,-8600000,19600000,6e+05,20200000,20200000,2.23e+08,2.23e+08,558200000,558200000,197400000,137200000,978600000,687700000,601400000,2.29e+08,42900000,232400000,97100000,1289100000,2267700000,671400000,162400000,5.09e+08,93200000,764600000,400700000,426200000,100400000,100400000,1.4e+07,311800000,826900000,1591500000,632100000,6.45e+08,-645100000,6.32e+08,44200000,676200000,2267700000,28200000,39700000,-88600000,40200000,24900000,34700000,-6e+05,-2131555.95607694,28600000,-4800000,-32500000,-3400000,-40500000,1.3e+07,1.3e+07,-14700000,-1700000,100900000,493900000,202600000,0.16722,0.07014,0.02315,0.02987,0.00891,10.0297,1.27988,2.35359,0.2178,0.41141,0.40891,17.76986,12.87169,4.12627,0.09776,0.01566,0.12692,0.23762,2.68484,4.42647
"20","2015_Q1",23.5480327868852,"Up",881200000,-7.43e+08,138200000,-161900000,-158700000,-3200000,-23700000,-4200000,-5100000,9e+05,-27900000,-27900000,2900000,-2.5e+07,-21700000,-21700000,-46700000,-499999.999999999,-47200000,-47200000,176200000,176200000,530500000,530500000,200900000,1.29e+08,907600000,669500000,614900000,215700000,39800000,289500000,69900000,1284400000,2.192e+09,634900000,168600000,466300000,93500000,728400000,373100000,616700000,2.19e+08,2.19e+08,10800000,386900000,989800000,1718200000,633100000,592900000,-7.92e+08,4.34e+08,39800000,473800000,2.192e+09,-2.5e+07,39400000,46900000,9e+06,68800000,-53600000,2e+05,-4600000,-63800000,-4900000,-25300000,-6e+05,-30800000,-25800000,-25800000,-2.1e+07,-46800000,15700000,466600000,-31800000,0.15683,-0.0269,-0.05356,-0.09962,-0.02153,0.673730000000001,1.24602,3.62642,0.21286,-0.96327,-0.97723,17.98367,8.85714,-0.64898,0.1,-0.02717,-0.02042,-0.10381,18.49682,-12.25316
"21","2015_Q2",27.8039682539683,"Up",776100000,-629100000,1.47e+08,-134100000,-112300000,-21800000,12900000,-4500000,-4900000,4e+05,8400000,8400000,-15500000,-7100000,-2400000,-2400000,-9500000,6500000,-3e+06,-3e+06,168800000,168800000,491800000,491800000,197300000,131600000,857900000,614600000,579500000,1.96e+08,35400000,282300000,65800000,1194100000,2.052e+09,5.4e+08,127300000,412700000,85400000,625400000,422400000,5.83e+08,201300000,201300000,1e+07,371700000,1005400000,1630800000,638300000,5.85e+08,-833800000,389500000,31700000,421200000,2.052e+09,-7100000,36700000,22100000,-73100000,-23400000,-14100000,3400000,-4843186.13091938,-7400000,-4900000,47700000,-2300000,40600000,9800000,9800000,-17200000,-7400000,49600000,507800000,-22100000,0.18941,0.01662,-0.00387,-0.00712000000000002,-0.00146,7.36667,1.37176,3.87179,0.24747,-0.0611,-0.0611,15.80652,7.93279,-0.4501,0.0998,0.00126,-0.01462,-1.63333,6.83468,26.27907
"22","2015_Q3",26.51265625,"Down",760300000,-620900000,139400000,-1.54e+08,-1.2e+08,-3.4e+07,-14600000,-4300000,-4700000,4e+05,-18900000,-18900000,-7600000,-26500000,1e+05,1e+05,-26400000,13500000,-12900000,-12900000,181100000,181100000,508200000,508200000,208200000,143900000,897500000,571200000,578800000,201100000,34200000,2.79e+08,64500000,1.15e+09,2047500000,5.77e+08,146200000,430800000,78600000,655600000,411500000,572400000,197600000,197600000,9800000,3.65e+08,983900000,1639500000,644600000,567100000,-818500000,393200000,14800000,4.08e+08,2047500000,-26500000,36500000,47100000,8900000,6.6e+07,-20500000,-3e+06,-3335355.89006188,-25400000,-4800000,-23800000,-4200000,-29300000,11300000,11300000,1e+06,12300000,21900000,490100000,17900000,0.18335,-0.0192,-0.01697,-0.03162,-0.0063,-1.3876,1.36897,4.01838,0.23937,-0.26166,-0.26166,15.42191,7.97566,0.36308,0.09736,-0.00551,0.01217,-0.37209,14.10959,-21.16438
"23","2015_Q4",28.28875,"Up",759200000,-616400000,142800000,-117500000,-111100000,-6400000,25300000,-3900000,-4800000,9e+05,21400000,21400000,-14100000,7300000,-1e+05,-1e+05,7200000,4e+05,7600000,7600000,176100000,176100000,5.08e+08,5.08e+08,188600000,130100000,872700000,5.42e+08,562400000,190900000,29800000,2.75e+08,66700000,1104400000,1977100000,561300000,143200000,418100000,84400000,645700000,395600000,559200000,188300000,188300000,9100000,361800000,954800000,1600500000,643200000,569900000,-848100000,3.65e+08,11600000,376600000,1977100000,7300000,33100000,5900000,1900000,48200000,-25800000,-6100000,-1309847.70417344,-3.1e+07,-4900000,-5300000,-1600000,-11700000,5500000,5500000,-10500000,-5e+06,58400000,4.8e+08,48600000,0.18809,0.03332,0.01001,0.02018,0.00384,6.39474,1.35156,4.24987,0.24278,0.15385,0.1523,15.36842,7.38866,0.98381,0.09919,0.00883,0.03433,0.64474,5.20377,12.01186
"24","2016_Q1",27.3224590163934,"Down",765800000,-577300000,188500000,-115700000,-108500000,-7200000,72800000,-42600000,-4500000,-38100000,30200000,30200000,-29300000,899999.999999996,-4e+05,-4e+05,5e+05,-4100000,-3600000,-3600000,181900000,181900000,478100000,478100000,117700000,101300000,777700000,5.49e+08,6.2e+08,185300000,28500000,329800000,76400000,1.169e+09,1946700000,556500000,155300000,401200000,72400000,641800000,358100000,616200000,219400000,219400000,8100000,388700000,974300000,1616100000,648500000,561300000,-891900000,317900000,12700000,330600000,1946700000,899999.999999996,33600000,28300000,42300000,105100000,-53400000,12300000,1.86264514923096e-09,-39900000,-4900000,-61600000,14300000,-52100000,13100000,13100000,-7300000,5800000,106400000,430500000,124600000,0.24615,0.09506,-0.0047,-0.01089,-0.00185,-34.61111,1.21175,4.88838,0.22114,-0.07287,-0.0736199999999999,15.50202,6.43522,2.52227,0.09919,0.00094,0.09047,-1.36111,2.33647,3.41484
"25","2016_Q2",28.66546875,"Up",721800000,-588900000,132900000,-109400000,-108700000,-7e+05,23500000,-14600000,-4900000,-9700000,8900000,8900000,-9400000,-5e+05,0,0,-5e+05,-2600000,-3100000,-3100000,186800000,186800000,503100000,503100000,125300000,125300000,815200000,5.52e+08,622600000,192800000,29300000,327700000,72800000,1174600000,1989800000,530900000,1.33e+08,397900000,89700000,620600000,404900000,614300000,217500000,217500000,8100000,388700000,1019200000,1639800000,648200000,553400000,-867500000,334100000,15900000,3.5e+08,1989800000,-5e+05,32200000,11800000,-81300000,-37800000,-20600000,-3500000,0,-24100000,-4900000,56900000,-3600000,48500000,-13400000,-13400000,1900000,-11500000,55700000,494600000,-36800000,0.18412,0.03256,-0.00429,-0.00886,-0.00156,11.87097,1.31357,4.68514,0.24857,-0.06263,-0.06263,14.58182,6.74949,-0.74343,0.09899,0.00123,-0.02522,-1.58065,5.52603,13.09787
