"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital"
"11","2013_Q3",8.226875,"Up",28584000,-18807000,9777000,-9655000,-9655000,122000,122000,122000,-11000,111000,111000,111000,111000,10813000,10813000,21768000,1337000,781000,40350000,9456000,12649000,12649000,22105000,62455000,10767000,3870000,6897000,3406000,3406000,14173000,26786000,26786000,26786000,40959000,18125000,28122000,-24751000,21496000,21496000,62455000,111000,475000,-4000,308000,890000,-635000,-635000,-67000,188000,188000,188000,597000,0,281000,0.34204,0.00427,0.00388,0.00516,0.00178,2.53153,2.84696,1.90542,0,0.01212,0.01212,3.12189,2.34775,0.03069,0.0023
"12","2013_Q4",10.01953125,"Up",29294000,-19809000,9485000,-9480000,-9480000,5000,5000,5000,-24000,-18999.9999999998,-18999.9999999998,-18999.9999999998,-18999.9999999998,11611000,11611000,19681000,1095000,561000,38869000,10979000,12937000,12937000,23916000,62785000,10876000,4274000,6602000,3288000,3288000,14164000,27180000,27180000,27180000,41344000,18089000,28103000,-24751000,21441000,21441000,62785000,-19000,432000,743000,912000,2068000,-1946000,-1946000,-72000,50000,50000,50000,437000,2.64697796016969e-23,-573000,0.32379,0.000170000000000001,-0.000649999999999999,-0.00089,-0.000299999999999999,30.15789,2.74421,1.92827,1.97215226305253e-31,-0.00207999999999999,-0.00207999999999999,3.20013,2.34225,-0.0626,-0.000390000000000001
"13","2014_Q1",9.85950819672131,"Down",40354000,-26212000,14142000,-13078000,-13078000,1064000,1064000,1064000,38000,1102000,1102000,1102000,1102000,12146000,12146000,18919000,1016000,333000,40406000,11212000,13146000,13146000,24358000,64764000,12446000,4815000,7631000,3200000,3200000,15646000,15663000,15663000,15663000,31309000,17939000,29205000,-13689000,33455000,33455000,64764000,1102000,853000,-796000,1944000,3103000,-1042000,-1042000,-218000,1843000,1843000,1843000,1917000,0,2781000,0.35045,0.02637,0.02731,0.03294,0.01702,2.52359,2.58251,0.93585,0,0.12057,0.12057,4.41522,3.66038,0.30428,0.02244
"14","2014_Q2",9.44809523809524,"Down",32466000,-22198000,10268000,-10021000,-10021000,247000,247000,247000,-13000,234000,234000,234000,234000,9328000,9328000,16690000,1501000,854000,38982000,11113000,13295000,13295000,24408000,63390000,11889000,4635000,7254000,2833000,2833000,14722000,15025000,15025000,15025000,29747000,17893000,29439000,-13689000,33643000,33643000,63390000,234000,595000,424000,2474000,3727000,-490000,-490000,-99000,3138000,3138000,3138000,842000,-4.2351647362715e-22,2839000,0.31627,0.00761,0.00721,0.00696,0.00369,12.13248,2.64787,0.8842,6.3108872417681e-30,0.02562,0.02562,3.55519,3.68408,0.31088,0.00481
"15","2014_Q3",8.025625,"Down",31243000,-22308000,8935000,-10228000,-10228000,-1293000,-1293000,-1293000,13000,-1280000,-1280000,-1280000,-1280000,10033000,10033000,18866000,1060000,811000,35455000,12156000,13361000,13361000,25517000,60972000,11220000,4693000,6527000,3195000,3195000,14415000,14274000,14274000,14274000,28689000,17813000,28159000,-13689000,32283000,32283000,60972000,-1280000,615000,-2224000,-1349000,-4238000,-1596000,-1596000,-133000,-5967000,-5967000,-5967000,-678000,0,-3636000,0.28598,-0.04139,-0.04097,-0.03965,-0.02099,2.84062,2.45959,0.88867,0,-0.14024,-0.14024,3.42314,3.53709,-0.39838,-0.02749
"16","2014_Q4",7.90234375,"Down",27915000,-20486000,7429000,-9812000,-9812000,-2383000,-2383000,-2383000,0,-2383000,-2383000,-2383000,-2383000,10460000,10460000,20051000,742000,550000,32228000,12415000,13556000,13556000,25971000,58199000,10814000,4677000,6137000,3193000,3193000,14007000,14306000,14306000,14306000,28313000,17799000,25776000,-13689000,29886000,29886000,58199000,-2383000,562000,3236000,-5076000,-3661000,-810000,-810000,-50000,-4521000,-4521000,-4521000,-1821000,-6.7762635780344e-21,-7707000,0.26613,-0.08537,-0.08537,-0.07974,-0.04095,3.23416,2.30085,0.94737,0,-0.26127,-0.26127,3.06052,3.27661,-0.84497,-0.05392
"17","2015_Q1",7.78065573770492,"Down",41777000,-29752000,12025000,-13028000,-13028000,-1003000,-1003000,-1003000,88000,-915000,-915000,-915000,-915000,10302000,10302000,21292000,479000,346000,32265000,12251000,13660000,13660000,25911000,58176000,11809000,5780000,6029000,2596000,2596000,14405000,18521000,18521000,18521000,32926000,17755000,24861000,-17366000,25250000,25250000,58176000,-915000,1055000,-4242000,4253000,151000,-818000,-818000,-116000,-783000,-783000,-783000,52000,0,3399000,0.28784,-0.02401,-0.0219,-0.03624,-0.01573,-3.71475,2.23985,1.304,0,-0.10039,-0.10039,4.58364,2.77035,0.37293,-0.0209
"18","2015_Q2",8.5015873015873,"Up",34712000,-25095000,9617000,-9150000,-9150000,467000,467000,467000,0,467000,467000,467000,467000,11586000,11586000,14375000,804000,742000,31692000,11621000,13726000,13726000,25347000,57039000,11305000,4764000,6541000,1828000,1828000,13133000,18227000,18227000,18227000,31360000,17717000,25328000,-17366000,25679000,25679000,57039000,467000,722000,674999.999999999,3027000,4891000,-62999.9999999999,-63000,-93000,4735000,4735000,4735000,1189000,1.0842021724855e-19,4153000,0.27705,0.01345,0.01345,0.01819,0.00819,8.89293,2.41316,1.22123,-8.07793566946316e-28,0.05125,0.05125,3.80906,2.81784,0.45572,0.01064
"19","2015_Q3",9.2028125,"Up",26695000,-16418000,10277000,-8075000,-8075000,2202000,2202000,2202000,-1.16415321826935e-10,2202000,2202000,2202000,2202000,9654000,9654000,15697000,924000,864000,33874000,10725000,13795000,13795000,24520000,58394000,10522000,4643000,5879000,2479000,2479000,13001000,17593000,17593000,17593000,30594000,17636000,27530000,-17366000,27800000,27800000,58394000,2202000,740000,-413000,473000,3002000,-201000,-201000,-129000,2672000,2672000,2672000,2942000,0,3214000,0.38498,0.08249,0.08249,0.07921,0.03771,1.45958,2.60549,1.1005,0,0.24187,0.24187,2.93223,3.0536,0.35303,0.04851
"20","2015_Q4",9.32390625,"Up",26489000,-15869000,10620000,-8623000,-8623000,1997000,1997000,1997000,-142000,1855000,1855000,1855000,1855000,9320000,9320000,16323000,618000,526000,36117000,10335000,13825000,13825000,24160000,60277000,9880000,4781000,4933000,3488000,3488000,13368000,17339000,17339000,17339000,30707000,17551000,29385000,-17366000,29570000,29570000,60277000,1855000,633000,-299000,415000,2604000,-238000,-238000,-109000,2257000,2257000,2257000,2630000,8.67361737988404e-19,2949000,0.40092,0.07539,0.07003,0.06273,0.03077,1.58976,2.70175,1.03845,0,0.20396,0.20396,2.91248,3.25124,0.32424,0.03954
"21","2016_Q1",9.67934426229508,"Up",42552000,-26197000,16355000,-12903000,-12903000,3452000,3452000,3452000,7466000,10918000,10918000,10918000,10918000,14619000,14619000,19977000,319000,319000,40757000,10235000,24310000,13666000,34545000,75302000,11386000,6087000,5203000,2825000,2825000,14211000,25446000,25446000,25446000,39657000,17472000,40303000,-22130000,35645000,35645000,75302000,10918000,955000,-5018000,-9892000,-3037000,-850000,-850000,-127000,-4014000,-4014000,-4014000,4407000,0,-13801000,0.38435,0.08112,0.25658,0.3063,0.14499,-1.26406,2.86799,1.11255,0,1.20203,1.20203,4.68481,3.92438,-1.51944,0.17872
"22","2016_Q2",12.540625,"Up",36156000,-22377000,13779000,-10678000,-10678000,3101000,3101000,3101000,-1229000,1872000,1872000,1872000,1872000,12679000,12679000,16327000,1017000,1017000,42665000,10114000,23988000,23988000,34102000,76767000,10817000,5050000,4425000,2654000,2654000,13471000,25804000,25804000,25804000,39275000,17447000,42175000,-22130000,37492000,37492000,76767000,1872000,7e+05,642000,4224000,7438000,-577000,-577000,-61000,6800000,6800000,6800000,3801000,-1.38777878078145e-17,8677000,0.3811,0.08577,0.05178,0.04993,0.02439,4.63515,3.16717,1.04756,1.03397576569128e-25,0.20619,0.20619,3.98238,4.12953,0.95572,0.02958
"23","2016_Q3",14.01859375,"Up",31145000,-18914000,12231000,-9760000,-9760000,2471000,2471000,2471000,-979000,1492000,1492000,1492000,1492000,15095000,15095000,18577000,1027000,1027000,44965000,9811000,24226000,24226000,34037000,79002000,10558000,5101000,4593000,3230000,3230000,13788000,26245000,26245000,26245000,40033000,17432000,43667000,-22130000,38969000,38969000,79002000,1492000,734000,-878000,-3246000,-1898000,-426000,-426000,-52000,-2376000,-2376000,-2376000,3205000,0,512000,0.39271,0.07934,0.0479,0.03829,0.01889,0.34316,3.26117,1.0273,0,0.16437,0.16437,3.4312,4.29316,0.05641,0.02288
"24","2016_Q4",12.1679365079365,"Down",29892000,-17719000,12173000,-9862000,-9862000,2311000,2311000,2311000,-489000,1822000,1822000,1822000,1822000,14268000,14268000,21575000,1045000,1045000,49174000,10594000,24360000,24360000,34954000,84128000,12504000,6415000,4767000,3411000,3411000,15915000,27422000,27422000,27422000,43337000,17432000,45489000,-22130000,40791000,40791000,84128000,1822000,606000,606000,478000,3512000,-1468000,-1468000,-24000,2020000,2020000,2020000,2917000,-2.22044604925031e-16,2416000,0.40723,0.07731,0.06095,0.04467,0.02166,1.32602,3.08979,1.06242,-1.65436122510606e-24,0.20071,0.20071,3.2928,4.49339,0.26614,0.02671
"25","2017_Q1",11.6467741935484,"Down",42870000,-25840000,17030000,-14077000,-14077000,2953000,2953000,2953000,-369000,2584000,2584000,2584000,2584000,16582000,16582000,24081000,937000,937000,48585000,10362000,28307000,13775000,38669000,87254000,8304000,4085000,4089000,3918000,3918000,12222000,36123000,36123000,36123000,48345000,17432000,48073000,-26596000,38909000,38909000,87254000,2584000,1003000,-611000,-7501000,-4525000,-770000,-770000,-6000,-5301000,-5301000,-5301000,3956000,0,-3946000,0.39725,0.06888,0.06028,0.06641,0.02961,-1.52709,3.97521,1.24251,0,0.28469,0.28469,4.72323,4.28682,-0.43475,0.03444
"26","2017_Q2",13.1863492063492,"Up",40081000,-25166000,14915000,-11465000,-11465000,3450000,3450000,3450000,-976000,2474000,2474000,2474000,2474000,16868000,16868000,19168000,1525000,1525000,50058000,10719000,28586000,14054000,39305000,89363000,8538000,3968000,4440000,4444000,4444000,12982000,34998000,34998000,34998000,47980000,17432000,50547000,-26596000,41383000,41383000,89363000,2474000,687000,-258000,3682000,6585000,-1040000,-1040000,-33000,5512000,5512000,5512000,4137000,-3.5527136788005e-15,7755000,0.37212,0.08608,0.06173,0.05978,0.02768,3.1346,3.85595,1.15941,-5.29395592033938e-23,0.27256,0.27256,4.41567,4.55911,0.85436,0.03239
"27","2017_Q3",12.04,"Down",34097000,-21140000,12957000,-10956000,-10956000,2001000,2001000,2029000,-714000,1315000,1315000,1315000,1315000,13371000,13371000,18327000,2139000,2139000,47378000,16487000,28736000,14204000,45223000,92601000,9081000,4291000,4660000,4387000,4387000,13468000,36435000,36435000,36435000,49903000,17432000,51862000,-26596000,42698000,42698000,92601000,1315000,772000,57000,5451000,7595000,-6516000,-6516000,-35000,1044000,1044000,1044000,2773000,0,2422000,0.38,0.05869,0.03857,0.0308,0.0142,1.84183,3.51782,1.16874,0,0.14487,0.14487,3.75642,4.70398,0.26683,0.01662
"28","2017_Q4",12.7234920634921,"Up",36609000,-22590000,14019000,-10941000,-10941000,3078000,3078000,3102000,-1043000,2059000,2059000,2059000,2059000,18818000,18818000,20128000,924000,924000,50529000,17957000,29034000,14502000,46991000,97520000,9708000,4462000,5116000,4867000,4867000,14575000,38188000,38188000,38188000,52763000,17432000,53921000,-26596000,44757000,44757000,97520000,2059000,671000,-17000.0000000001,-3455000,-741999.999999999,-2117000,-2117000,-23000,-2882000,-2882000,-2882000,3749000,-2.8421709430404e-14,-780000,0.38294,0.08408,0.05624,0.046,0.02111,-0.37882,3.46683,1.17888,0,0.22684,0.22684,4.03316,4.93081,-0.08593,0.02482
"29","2018_Q1",16.7465573770492,"Up",56436000,-36741000,19695000,-15454000,-15454000,4241000,4241000,4247000,-1266000,2981000,2981000,2981000,2981000,19148000,19148000,23016000,1550000,1550000,55823000,18571000,23151000,13111000,41722000,97545000,10136000,5365000,4555000,6108000,6108000,16244000,25263000,25263000,25263000,41507000,17432000,56902000,-18296000,56038000,56038000,97545000,2981000,1236000,-673000,-213000,3331000,-1843000,-1843000,-38000,1450000,1450000,1450000,5477000,0,4687000,0.34898,0.07515,0.05282,0.0532,0.03056,1.57229,3.43653,0.74069,0,0.32844,0.32844,6.21793,6.17408,0.5164,0.03667
"30","2018_Q2",14.6640625,"Down",41192000,-27233000,13959000,-11864000,-11864000,2095000,2095000,2095000,-3722000,-1627000,-1627000,-1627000,-1627000,17745000,17745000,23770000,1559000,1559000,50295000,21313000,20479000,13639000,41792000,92087000,9718000,5123000,4379000,5689000,5689000,15407000,22269000,22269000,22269000,37676000,17432000,57804000,-20825000,54411000,54411000,92087000,-1627000,878000,3216000,-3707000,-1240000,-3613000,-3613000,-35000,-4888000,-4888000,-4888000,2973000,0,-625000,0.33888,0.05086,-0.0395,-0.0299,-0.01767,0.38414,3.26443,0.69243,-6.7762635780344e-21,-0.17924,-0.17924,4.53806,5.99438,-0.06886,-0.02122
"31","2018_Q3",14.3093650793651,"Down",37900000,-25840000,12060000,-11620000,-11620000,440000,440000,6442000,-1808000,4634000,4634000,4634000,4634000,16151000,16151000,24419000,823000,823000,55230000,21546000,20317000,13477000,41863000,97093000,9859000,4095000,4562000,5741000,5741000,15600000,22448000,22448000,22448000,38048000,17432000,62438000,-20825000,59045000,59045000,97093000,4634000,957000,-5878000,2134000,1847000,4804000,4804000,-35000,6616000,6616000,6616000,1397000,0,10143000,0.31821,0.01161,0.12227,0.07848,0.04773,2.18882,3.54038,0.64439,0,0.51052,0.51052,4.17539,6.5049,1.11744,0.05686
"32","2018_Q4",17.7553968253968,"Up",38468000,-26034000,12434000,-10730000,-10730000,1704000,1704000,1704000,-256000,1448000,1448000,1448000,1448000,17794000,17794000,24693000,112000,112000,55924000,25676000,18741000,11901000,44417000,100341000,12581000,6719000,4833000,5995000,5995000,18576000,21272000,21272000,21272000,39848000,17432000,63886000,-20825000,60493000,60493000,100341000,1448000,763000,359000,1823000,4393000,-4893000,-4893000,-12000.0000000001,-512000,-512000,-512000,2467000,-7.27595761418343e-12,-347000,0.32323,0.0443,0.03764,0.02394,0.01443,-0.23964,3.01055,0.65872,5.42101086242752e-20,0.15952,0.15952,4.23796,6.66443,-0.03823,0.01771
"33","2019_Q1",24.3009836065574,"Up",56697000,-38644000,18053000,-15715000,-15715000,2338000,2338000,2572000,-510000,2062000,2062000,2062000,2062000,20293000,20293000,23413000,1331000,1331000,53216000,32638000,15640000,11630000,48278000,101494000,12387000,7655000,4577000,5980000,5980000,18367000,17447000,17447000,17447000,35814000,17432000,65948000,-17700000,65680000,65680000,101494000,2062000,1342000,1101000,-1240000,3265000,-8410000,-8410000,-1000,-5146000,-5146000,-5146000,3680000,0,-5460000,0.31841,0.04124,0.03637,0.03139,0.02032,-2.64791,2.89737,0.54528,0,0.22718,0.22718,6.24669,7.23641,-0.60156,0.02481
"34","2019_Q2",27.4730158730159,"Up",45041000,-29387000,15654000,-13087000,-13087000,2567000,2567000,2567000,-691000,1876000,1876000,1876000,1876000,21324000,21324000,21764000,895000,895000,53184000,38869000,15630000,11620000,54499000,107683000,12373000,7176000,4319000,5091000,5091000,18408000,21719000,21719000,21719000,40127000,17432000,67824000,-17700000,67556000,67556000,107683000,1876000,959000,-432000,-1690000,713000,-7191000,-7191000,7500000,1022000,1022000,1022000,3526000,944000,-4664000,0.34755,0.05699,0.04165,0.02777,0.01742,-2.48614,2.88918,0.59398,0.00877,0.20668,0.20668,4.96219,7.44268,-0.51384,0.02079
"35","2019_Q3",34.63046875,"Up",41443000,-27042000,14401000,-11608000,-11608000,2793000,2793000,2793000,-573000,2220000,2220000,2220000,2220000,21433000,21433000,24592000,1333000,1333000,50156000,44811000,16068000,12058000,60879000,111035000,11117000,5468000,4626000,5399000,5399000,19228000,15475000,15475000,22031000,41259000,17432000,70044000,-17700000,69776000,69776000,111035000,2220000,986000,116000,-4566000,-1244000,-6927000,-6927000,1768000,-6403000,-6403000,-6403000,3779000,9268000,-7141000,0.34749,0.06739,0.05357,0.03182,0.01999,-3.21667,2.60849,0.59131,0.08347,0.24458,0.24458,4.5658,7.68726,-0.78673,0.02349
"36","2019_Q4",25.56171875,"Down",42837000,-29422000,13415000,-11819000,-11819000,1596000,1596000,1605000,-5e+05,1105000,1105000,1105000,1105000,21831000,21831000,24043000,545000,545000,54236000,49644000,16354000,12344000,65998000,120234000,13661000,7767000,4731000,5309000,5309000,20888000,16005000,16005000,28465000,49353000,17432000,71149000,-17700000,70881000,70881000,120234000,1105000,840000,342000,3286000,5573000,-5664000,-5664000,5110000,5019000,5019000,5019000,2436000,14378000,558000,0.31316,0.03726,0.0258,0.01559,0.00919,0.50498,2.59651,0.69628,0.11958,0.12174,0.12174,4.71938,7.809,0.06148,0.01091
"37","2020_Q1",21.0362903225806,"Down",59464000,-41270000,18194000,-16323000,-16323000,1871000,1871000,1572000,-289000,1283000,1283000,1283000,1283000,21875000,21875000,26367000,1048000,1048000,52768000,54346000,16342000,12295000,70688000,123456000,13563000,7993000,5480000,4434000,4434000,19940000,25228000,25228000,37032000,56972000,17432000,72432000,-23380000,66484000,66484000,123456000,1283000,1368000,1345000,-1789000,2207000,-5896000,-5896000,-648000,-4337000,-4337000,-4337000,3239000,13747000,-4157000,0.30597,0.03146,0.02158,0.0193,0.01039,-3.24006,2.64634,0.85693,0.11135,0.14135,0.14135,6.55118,7.32458,-0.45798,0.01217
"38","2020_Q2",17.365873015873,"Down",46642000,-31588000,15054000,-12618000,-12618000,2436000,2436000,2449000,-590000,1859000,1859000,1859000,1859000,24106000,24106000,26348000,1782000,1782000,53482000,59385000,16745000,12698000,76130000,129612000,13030000,7136000,5214000,2730000,2730000,22835000,23388000,23388000,38434000,61269000,17432000,74291000,-23380000,68343000,68343000,129612000,1859000,1134000,-789000,-6193000,-3989000,-6161000,-6161000,7918000,-2232000,-2232000,-2232000,3570000,22121000,-8194000,0.32276,0.05223,0.03986,0.0272,0.01434,-4.40775,2.34211,0.89649,0.17067,0.20481,0.20481,5.13858,7.52939,-0.90274,0.01633
