"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",6.75234375,"Up",17514000,-10170000,7344000,-6749000,-3891000,-2858000,595000,109000,117000,-8000,704000,704000,140000,844000,844000,844000,844000,67259000,41120000,26139000,10241000,10241000,13809000,4945000,4945000,96254000,10774000,35495000,3322000,3322000,49591000,145845000,7782000,3804000,3978000,10859000,2803000,0,2803000,13662000,54031000,78107000,45000,132183000,132183000,145845000,844000,576000,1054000,2271000,4745000,-166000,-6665000,-6831000,-175000,296000,-162000,-2248000,-2248000,-2248000,1171000,0,3136000,0.41932,0.03397,0.04819,0.00639,0.00579,3.71564,8.86398,0.10336,0,0.0313,0.03016,0.64956,4.90238,0.11631,0.00625,0.02323,-57.43723,-113.04034
"12","2014_Q1",6.80131147540984,"Up",15707000,-8432000,7275000,-6836000,-3932000,-2904000,439000,88000,107000,-19000,527000,527000,423000,950000,950000,950000,950000,67259000,41120000,26139000,10241000,10241000,13809000,4945000,4945000,96254000,10774000,35495000,3322000,3322000,49591000,145845000,7782000,3804000,3978000,10859000,2803000,0,2803000,13662000,54031000,78107000,45000,132183000,132183000,145845000,950000,528000,8e+05,3219000,5497000,-72000,2824000,2752000,203000,203000,275000,8524000,8524000,8524000,967000,0,3691000,0.46317,0.02795,0.06048,0.00719,0.00651,3.88526,8.86398,0.10336,0,0.03513,0.03342,0.58086,4.88824,0.1365,0.00704,0.02734,-69.55429,-153.20957
"13","2014_Q2",5.99190476190476,"Down",16412000,-8946000,7466000,-8007000,-5010000,-2997000,-541000,111000,105000,6000,-430000,-430000,-11000,-441000,-441000,-441000,-441000,71521734.7266204,46191314.7296438,25330419.9969766,10009310.6439935,10009310.6439935,13143501.7183672,5247537.77883619,5247537.77883619,99922084.8678173,10508615.8758039,34177731.0304539,3025359.91334415,3021385.29118415,47711706.819602,147633791.687419,8032246.40920769,4103565.41921145,3928680.98999624,10893554.2713642,2915223.93040319,2248.01699814599,2915223.93040319,13808778.2017673,55978534.4022347,77821520.3966391,24958.6867781032,133825013.485652,133825013.485652,147633791.687419,-441000,494000,1225000,644000,1922000,-34000,-1201000,-1235000,797000,797000,974000,1661000,1661000,1661000,-47000,0,574000,0.45491,-0.03296,-0.02687,0.00524048843232832,0.00479108180569449,-1.30159,9.16317576480492,0.103309154345083,0,-0.01623,-0.01623,0.60387,4.89371170300476,0.02112,0.00512206738509878,0.0315378566213807,-146.951467769616,-319.944776899388
"14","2014_Q3",5.80140625,"Down",15542000,-8140000,7402000,-7161000,-4210000,-2951000,241000,85000,94000,-9000,326000,326000,60000,386000,386000,386000,386000,74963000,48821000,26142000,9810000,9810000,11186000,4766000,4766000,100725000,9953000,34593000,3363000,3363000,47909000,148634000,7611000,3741000,3870000,10239000,2754000,-9.09494701772928e-13,2754000,12993000,57583000,78052000,5999.99999999999,135641000,135641000,148634000,386000,504000,553000,1647000,3090000,-104000,1604000,1500000,1224000,1224000,1450000,6040000,6040000,6040000,745000,0,2228000,0.47626,0.01551,0.02484,0.00285,0.0026,5.77202,9.83739,0.09579,0,0.01397,0.01397,0.56238,4.90813,0.08062,0.00279,0.0161,-100.62148,-311.04979
"15","2014_Q4",4.9815625,"Down",13778000,-8410000,5368000,-7270000,-4490000,-2780000,-1902000,62000,92000,-30000,-1840000,-1840000,1106000,-734000,-734000,-734000,-734000,74819000,42040000,32779000,9054000,9054000,9221000,4090000,4090000,97184000,9625000,34199000,3726000,3726000,47550000,144734000,6975000,3015000,3960000,9366000,1908000,0,1908000,11274000,56120000,77318000,22000,133460000,133460000,144734000,-734000,488000,1738000,239000,1731000,-115000,-6418000,-6533000,-1856000,680000,-1979000,-6781000,-6781000,-6781000,-1414000,0,-2396000,0.38961,-0.13805,-0.05327,-0.0055,-0.00507,3.26431,10.37625,0.08447,0,-0.02653,-0.02653,0.49792,4.8231,-0.08659,-0.00542,-0.0177,52.91301,39.33701
"16","2015_Q1",5.48622950819672,"Up",7766000,-2879000,4887000,-8726000,-5537000,-3189000,-3839000,130000,33000,97000,-3709000,-3709000,-480000,-4189000,-4189000,-4189000,-4189000,80932000,41520000,39412000,8238000,8238000,8185000,5152000,5152000,102507000,9683000,28819000,668000,668000,39170000,141677000,9314000,4870000,4444000,11837000,1462000,-3.63797880709171e-12,1462000,13299000,56427000,71918000,33000,128378000,128378000,141677000,-4189000,147000,213000,-1793000,-5622000,-228000,29705000,29477000,-29239000,-1749000,-29519000,-5664000,-5664000,-5664000,-3692000,0,-5233000,0.62928,-0.49433,-0.5394,-0.03263,-0.02957,1.24922,8.65988,0.10359,0,-0.15213,-0.15213,0.28204,4.66236,-0.19005,-0.03226,-0.0403,21.92091,21.08153
"17","2015_Q2",5.30349206349206,"Down",14025000,-6730000,7295000,-8303000,-5305000,-2998000,-1008000,116000,79000,37000,-892000,-892000,-25000,-917000,-917000,-917000,-917000,84006000,43346000,40660000,8958000,8958000,8363000,4890000,4890000,106217000,9242000,23045000,634000,634000,32921000,139138000,7090000,3627000,3463000,10748000,1477000,0,1477000,12225000,56403000,70472000,38000,126913000,126913000,139138000,-917000,333000,958000,-2831000,-2457000,-6000,7e+06,6994000,-2137000,316000,-2137000,2400000,2400000,2400000,-675000,0,-3487000,0.52014,-0.07187,-0.06538,-0.00723,-0.00659,3.80262,9.88249,0.09633,0,-0.03335,-0.03335,0.51009,4.61586,-0.12682,-0.00714,-0.02716,124.45333,83.33929
"18","2015_Q3",4.74890625,"Down",13577000,-6660000,6917000,-7214000,-4274000,-2940000,-297000,-21000,72000,-93000,-318000,-318000,-28999.9999999999,-347000,-347000,-347000,-347000,62731000,34760000,27971000,7830000,7830000,9240000,5471000,5471000,85272000,9006000,19011000,594000,594000,28611000,113883000,7968000,3724000,4244000,11068000,1492000,0,1492000,12560000,31804000,69522000,-3000,101323000,101323000,113883000,-347000,318000,816000,1535000,2322000,-25000,-1691000,-1716000,-361000.000000004,260000,-361000,245000,245000,245000,21000,0,1560000,0.50946,-0.02188,-0.02556,-0.00342,-0.00305,-4.49568,7.70437,0.12396,0,-0.01359,-0.01359,0.53183,3.96894,0.06111,-0.00337,0.01517,-2987.19048,211.21549
"19","2015_Q4",4.100625,"Down",12921000,-6535000,6386000,-7946000,-5164000,-2782000,-1560000,89000,78000,11000,-1471000,-1471000,652000,-819000,-819000,-819000,-819000,65831000,40853000,24978000,5522000,5522000,9059000,3377000,3377000,83789000,8972000,18652000,531000,531000,28155000,111944000,7530000,2920000,4610000,9791000,772000,0,772000,10563000,31759000,69670000,-48000,101381000,101381000,111944000,-819000,386000,701000,-3284000,-3016000,-1070000,3500000,-4913000,-767000,242000,-767000,-8696000,-8696000,-8696000,-1174000,0,-6180000,0.49423,-0.12073,-0.06339,-0.00808,-0.00732,7.54579,8.55776,0.10419,0,-0.03449,-0.03449,0.54407,4.26885,-0.26022,-0.00802,-0.0605,56.07411,42.19936
"20","2016_Q1",3.71655737704918,"Down",12213000,-6074000,6139000,-6295000,-2920000,-3375000,-156000,26000,78000,-52000,-130000,-130000,43000.0000000001,-87000.0000000001,-87000.0000000001,-87000.0000000001,-87000.0000000001,55112000,31963000,23149000,7478000,7478000,7174000,2198000,2198000,71962000,8653000,11148000,14767000,3086000,34568000,106530000,6912000,2514000,4398000,9242000,7419000,6492000,7419000,16661000,25072000,64770000,27000,89869000,89869000,106530000,-87000.0000000001,422000,753000,2523000,3611000,-57000.0000000001,627000,570000.000000001,-2943000,-2.91038304567337e-11,-2943000,1238000,1238000,1238000,266000,0,2689000,0.50266,-0.01277,-0.00712,-0.000970000000000001,-0.00082,-30.90805,7.78641,0.18539,0,-0.00373,-0.00373,0.5232,3.84993,0.1152,-0.00089,0.02764,-207.18797,353.28205
"21","2016_Q2",3.955,"Up",12946000,-6224000,6722000,-6333000,-2834000,-3499000,389000,142000,77000,65000,531000,531000,-271000,260000,260000,260000,260000,49964000,28237000,21727000,9180000,9180000,7583000,2392000,2392000,69119000,8464000,9404000,14820000,3239000,32688000,101807000,6478000,2067000,4411000,8454000,6407000,6156000,6407000,14861000,21882000,65030000,34000,86946000,86946000,101807000,260000,424000,554000,-4344000,-3106000,-135000,3148000,3013000,-3633000,273000,-3633000,-3726000,-3726000,-3726000,813000,0,-3395000,0.51923,0.03005,0.02008,0.00299,0.00255,-13.05769,8.17589,0.17092,0,0.01133,0.01133,0.56427,3.78965,-0.14798,0.00279,-0.03637,-61.45633,-128.44216
"22","2016_Q3",4.7471875,"Up",13358000,-6015000,7343000,-6963000,-2681000,-4282000,380000,92000,69000,23000,472000,472000,154000,626000,626000,626000,626000,47833000,28803000,19030000,8807000,8807000,8978000,2217000,2217000,67835000,8198000,12533000,14663000,3226000,35394000,103229000,9485000,3205000,6280000,11096000,6560000,6306000,6560000,17656000,19901000,65656000,16000,85573000,85573000,103229000,626000,397000,745000,1757000,3525000,-32999.9999999999,-458000,-491000,-2468000,244000,-2468000,566000.000000001,566000.000000001,566000.000000001,777000,0,2347000,0.54971,0.02845,0.04686,0.00732,0.00606,3.7492,6.11346,0.20633,0,0.02761,0.02761,0.58911,3.77389,0.10351,0.00679,0.02547,-61.56113,-125.87632
"23","2016_Q4",5.38920634920635,"Up",11484000,-4989000,6495000,-6261000,-2448000,-3813000,234000,61000,81000,-20000,295000,295000,53000,348000,348000,348000,348000,47005000,30495000,16510000,7059000,7059000,9243000,3160000,3160000,66467000,7929000,14122000,13820000,2461000,35871000,102338000,8506000,2127000,6379000,10717000,5378000,5136000,5378000,16095000,20287000,66004000,-48000,86243000,86243000,102338000,348000,368000,606000,-409000,913000,-26000,848000,822000,-43000,451000,-43000,1692000,1692000,1692000,602000,0,114000,0.56557,0.02038,0.0303,0.00404,0.0034,0.32759,6.20202,0.18662,0,0.01539,0.01539,0.50789,3.81421,0.00504,0.0038,0.00124,-78.0814,-200.87607
"24","2017_Q1",6.88483870967742,"Up",10392000,-4536000,5856000,-7386000,-3177000,-4209000,-1530000,183000,85000,98000,-1347000,-1347000,-2000,-1349000,-1349000,-1349000,-1349000,49935000,33736000,16199000,6349000,6349000,9211000,2777000,2777000,68272000,7689000,12898000,13736000,2456000,34323000,102595000,8678000,1627000,7051000,10474000,5677000,5418000,5677000,16151000,21851000,64655000,-62000,86444000,86444000,102595000,-1349000,343000,638000,1089000,721000,-25000,1499000,1474000,1046000,1046000,1046000,3241000,3241000,3241000,-1187000,0,-121000,0.56351,-0.14723,-0.12981,-0.01561,-0.01315,0.0896999999999998,6.51824,0.18684,0,-0.06092,-0.06092,0.46931,3.9039,-0.00546000000000001,-0.01464,-0.00130999999999999,42.06824,32.63725
"25","2017_Q2",7.97428571428571,"Up",10687000,-5083000,5604000,-7133000,-2798000,-4335000,-1529000,98000,97000,1000,-1431000,-1431000,-81000,-1512000,-1512000,-1512000,-1512000,49091000,31871000,17220000,6162000,6162000,8751000,2651000,2651000,66655000,7615000,14096000,13104000,1902000,34815000,101470000,7027000,1977000,5050000,9070000,5780000,5515000,5780000,14850000,24140000,62548000,-68000,86620000,86620000,101470000,-1512000,306000,948000,-1065000,-1323000,-105000,-2248000,-1874000,1811000,1811000,1332000,-1865000,-1865000,-1865000,-1223000,0,-2312000,0.52438,-0.14307,-0.14148,-0.01746,-0.0149,1.5291,7.34895,0.17144,0,-0.07267,-0.07267,0.51367,4.16342,-0.11113,-0.01636,-0.02502,40.13982,32.10661
"26","2017_Q3",7.13031746031746,"Down",9647000,-4789000,4858000,-6652000,-2492000,-4160000,-1794000,103000,99000,4000.00000000001,-1691000,-1691000,-49000,-1740000,-1740000,-1740000,-1740000,49641000,37438000,12203000,5352000,5352000,8474000,2410000,2410000,65877000,7595000,14596000,13024000,1900000,35215000,101092000,7402000,1924000,5478000,9559000,5886000,5615000,5886000,15445000,24900000,60808000,-61000,85647000,85647000,101092000,-1740000,319000,822000,1637000,1038000,-223000,4500000,4277000,252000,252000,252000,5567000,5567000,5567000,-1475000,0,-12000,0.50358,-0.18596,-0.18037,-0.02032,-0.01721,0.00689999999999946,6.89162,0.18033,0,-0.0827,-0.0827,0.45853,4.07087,-0.000570000000000015,-0.01901,-0.000130000000000005,33.65492,27.67057
"27","2017_Q4",7.59460317460317,"Up",11118000,-5443000,5675000,-6712000,-2481000,-4231000,-1037000,99000,113000,-14000,-938000,-938000,-590000,-1528000,-1528000,-1528000,-1528000,56770000,39740000,17030000,5545000,5545000,6795000,2073000,2073000,71183000,7667000,8199000,12274000,1229000,28140000,99323000,7014000,1764000,5250000,7520000,6339000,5454000,6339000,13859000,26293000,59280000,-109000,85464000,85464000,99323000,-1528000,323000,964000,-79000,-320000,-108000,1500000,2135000,858000,858000,487000,2302000,2302000,2302000,-714000,0,-311000,0.51043,-0.09327,-0.13743,-0.01788,-0.01538,0.20353,9.46582,0.16216,0,-0.07219,-0.07219,0.5253,4.03799,-0.01469,-0.01664,-0.00339,79.5098,54.74446
"28","2018_Q1",8.05934426229508,"Up",11191000,-4902000,6289000,-6400000,-2128000,-4272000,-111000,109000,112000,-3000,-2000,-2000,267000,265000,265000,265000,265000,58365000,40241000,18124000,5279000,5279000,5547000,2080000,2080000,71271000,8172000,7923000,12174000,1207000,28269000,99540000,7404000,1841000,5563000,7404000,5321000,4702000,5321000,12725000,27412000,59545000,-142000,86815000,86815000,99540000,265000,307000,929000,169000,1670000,-884000,-855000,-1727000,570000,570000,558000,501000,501000,501000,196000,0,-786000,0.56197,-0.00992,0.02368,0.00305,0.00266,-2.96604,9.62601,0.14658,0,0.01242,0.01242,0.52464,4.0699,-0.03685,0.00288,-0.00853,-297.78061,525.81081
"29","2018_Q2",7.5471875,"Down",11266000,-5478000,5788000,-7447000,-2597000,-4850000,-1659000,23000,138000,-115000,-1636000,-1636000,-10000,-1646000,-1646000,-1646000,-1646000,52592000,36426000,16166000,6847000,6847000,5141000,2114000,2114000,66694000,9332000,11921000,12090000,1201000,33343000,100037000,7454000,2267000,5187000,7454000,5379000,4760000,5379000,12833000,29457000,57899000,-152000,87204000,87204000,100037000,-1646000,329000,1246000,-1960000,-2031000,-1239000,-2048000,-3287000,1503000,1503000,1503000,-3815000,-3815000,-3815000,-1330000,0,-4519000,0.51376,-0.14726,-0.1461,-0.01888,-0.01645,2.74544,8.94741,0.14716,0,-0.07632,-0.07632,0.52237,4.0434,-0.20953,-0.01778,-0.04881,39.54286,31.70102
"30","2018_Q3",6.86460317460317,"Down",12832000,-4801000,8031000,-8425000,-2673000,-5752000,-394000,145000,154000,-9000,-249000,-249000,-102000,-351000,-351000,-351000,-351000,56552000,37890000,18662000,7839000,7839000,5212000,2454000,2454000,72057000,9312000,8960000,12017000,1200000,30289000,102346000,8782000,2545000,6237000,8782000,5443000,4824000,5443000,14225000,30699000,57548000,-126000,88121000,88121000,102346000,-351000,369000,675000,718000,1411000,-417000,5e+05,83000.0000000005,690000,690000,-29999.9999999998,1464000,1464000,1464000,-25000,0,378000,0.62586,-0.0307,-0.02735,-0.00398,-0.00343,-1.07692,8.20508,0.16143,0,-0.01607,-0.01607,0.58736,4.03355,0.0173,-0.00375,0.00404,2262.08,143.53299
"31","2018_Q4",5.85047619047619,"Down",14702000,-4663000,10039000,-7803000,-2632000,-5171000,2236000,96000,196000,-1e+05,2332000,2332000,-70000,2262000,2262000,2262000,2262000,57086000,40529000,16557000,8160000,8160000,5949000,2558000,2558000,73753000,9184000,10183000,10957000,198000,30324000,104077000,8213000,2348000,5865000,8213000,4657000,4026000,4657000,12870000,31505000,59810000,-108000,91207000,91207000,104077000,2262000,375000,654000,-1874000,1417000,-292000,914000,1372000,214000,316000,-150000,2639000,2639000,2639000,2611000,0,515000,0.68283,0.15209,0.15386,0.0248,0.02173,0.22767,8.98003,0.14111,0,0.10291,0.08699,0.66888,4.14955,0.02343,0.0236,0.00537,-21.86365,-25.53041
"32","2019_Q1",7.6744262295082,"Up",12686000,-4916000,7770000,-8135000,-2553000,-5582000,-365000,186000,183000,2999.99999999999,-179000,-179000,77000,-102000,-102000,-102000,-102000,61841000,42495000,19346000,7339000,7339000,5685000,2500000,2500000,77365000,9001000,8997000,10860000,160000,28858000,106223000,8733000,1864000,6869000,8733000,4335000,3713000,4335000,13068000,33484000,59708000,-37000,93155000,93155000,106223000,-102000,381000,889000,1041000,2209000,-142000,-19673000,-1642000,1399000,1400000,1399000,1966000,1966000,1966000,16000,0,838000,0.61249,-0.02877,-0.00804000000000002,-0.00109,-0.000959999999999999,-8.21569,8.85893,0.14028,0,-0.00460000000000002,-0.00424999999999998,0.57242,4.20337,0.03781,-0.00105,0.0086,-3865.0625,169.4274
