"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",44.56140625,"Up",952435000,-15527000,936908000,-924239000,-918710000,-5529000,12669000,36000,36000,12705000,12705000,-4632000,8073000,8015000,8015000,8015000,32503000,32503000,254398000,254398000,30532000,7833000,7042000,0,762000,325266000,88417000,4135000,4101000,92552000,417818000,254848000,244156000,951000,502000,255799000,18146000,16324000,1822000,18146000,273945000,12115000,131758000,143873000,143873000,417818000,8015000,5529000,881000,-25293000,-10868000,-3868000,35000,35000,-3903000,-3903000,-3868000,-14736000,-14736000,-14736000,18198000,0,-6331000,0.9837,0.0133,0.00842,0.05571,0.01918,-0.78989,1.27157,1.90408,0,1.90037,1.90037,225.82414,34.11256,-1.50109,0.04947,-0.03908,-1.78608,-2.56555
"12","2013_Q3",51.18984375,"Up",965098000,-15616000,949482000,-939024000,-933779000,-5245000,10458000,11000,11000,10469000,10469000,-3853000,6616000,6330000,6330000,6330000,34214000,34214000,259530000,259530000,22920000,10994000,8831000,2090000,68000.0000000001,327658000,95644000,3915000,3842000,99559000,427217000,258721000,248090000,694999.999999999,64000,259416000,18526000,16662000,1864000,18526000,277942000,12115000,137160000,149275000,149275000,427217000,6330000,5392000,770000,2363000,14855000,-12199000,196000,196000,-12395000,-12395000,-12216000,1711000,1711000,1711000,15850000,0,9867000,0.98382,0.01084,0.00656,0.0424,0.01482,1.55877,1.26306,1.86195,0,1.50085,1.50085,228.82656,35.39339,2.33948,0.04325,0.0588,-2.15861,-3.27155999999999
"13","2013_Q4",44.78625,"Down",1060340000,-15569000,1044771000,-1033625000,-1028252000,-5373000,11146000,32000,32000,11178000,11178000,-3940000,7238000,7156000,7156000,7156000,52044000,52044000,287853000,287853000,24095000,11005000,8584000,1866000,555000,374997000,95700000,3983000,3841000,99683000,474680000,298618000,286517000,542000,39000,299160000,20016000,18099000,1917000,20016000,319176000,12115000,143389000,155504000,155504000,474680000,7156000,5373000,1058000,11551000,25138000,-6219000,616000,616000,-6835000,-6835000,-6381000,17830000,17830000,17830000,16519000,0,25791000,0.98532,0.01051,0.00675,0.04602,0.01508,3.60411,1.2535,2.05253,0,1.6967,1.6967,251.40862,36.87029,6.11509,0.04605,0.14694,-3.15055,-4.6693
"14","2014_Q1",55.2486885245902,"Up",968096000,-18540000,949556000,-949453000,-943325000,-6128000,103000,95000,95000,198000,198000,-4000.00000000047,193999.999999999,109000,109000,109000,60733000,60733000,243930000,243930000,27616000,19451000,16779000,2097000,395000,351730000,91865000,4487000,4487000,96352000,448082000,271720000,266099000,449000,0,272169000,21228000,18664000,2564000,21228000,293397000,12115000,142570000,154685000,154685000,448082000,109000,5981000,2678000,6083000,14851000,-4234000,235000,235000,-4469000,-4469000,-5234000,8689000,8689000,8689000,6084000,4.33680868994202e-19,7937000,0.98085,0.000109999999999999,0.000110000000000001,0.000699999999999992,0.000240000000000001,72.81651,1.29232,1.89674,3.23117426778526e-27,0.0258399999999999,0.0258400000000001,229.5374,36.67611,1.88188,0.00589000000000001,0.04512,-9.98241,-589.64078
"15","2014_Q2",54.3868253968254,"Down",949189000,-16852000,932337000,-923925000,-917819000,-6106000,8412000,42000,42000,8454000,8454000,-3091000,5363000,5363000,5363000,5363000,87379000,87379000,227608000,227608000,39537000,13418000,9484000,3836000,98000,367942000,91908000,4762000,4762000,96670000,464612000,284416000,276897000,413000,19000,284829000,20663000,18072000,2591000,20663000,305492000,12115000,147005000,159120000,159120000,464612000,5363000,6106000,142000,23800000,35411000,-7715000,55000,55000,-7770000,-7770000,-7837000,26646000,26646000,26646000,14518000,0,33694000,0.98225,0.00886,0.00565,0.0337,0.01154,6.28268,1.2918,1.91988,0,1.27158,1.27158,225.05451,37.72765,7.98891,0.03499,0.18741,-6.01867,-10.38742
"16","2014_Q3",52.8565625,"Down",1159931000,-16658000,1143273000,-1137197000,-1131088000,-6109000,6076000,45000,45000,6121000,6121000,-2146000,3975000,3975000,3975000,3975000,47998000,47998000,279518000,279518000,36212000,24424000,21314000,2934000,176000,388152000,89818000,5174000,5174000,94992000,483144000,301469000,293646000,513000,112000,301982000,18995000,16416000,2579000,18995000,320977000,12115000,150052000,162167000,162167000,483144000,3975000,6109000,-1031000,-42864000,-33811000,-4319000,2.3283064365387e-10,2.3283064365387e-10,-4319000,-4319000,-4642000,-39381000,-39381000,-39381000,12185000,6.93889390390723e-18,-32852000,0.98564,0.00524,0.00343,0.02451,0.00823,-8.26465,1.28535,1.9793,0,0.94248,0.94248,275.02184,38.4501,-7.78927,0.02706,-0.18134,-3.93911,-7.89960999999998
"17","2014_Q4",35.93296875,"Down",1173970000,-16150000,1157820000,-1154286000,-1148058000,-6228000,3534000,116000,116000,3650000,5848000,-1993000,3855000,3855000,3855000,3855000,97435000,97435000,226300000,226300000,23324000,9394000,8433000,961000,0,356453000,93631000,5816000,5816000,99447000,455900000,271802000,261979000,488000,10000,272290000,18516000,16073000,2443000,18516000,290806000,12115000,152979000,165094000,165094000,455900000,3855000,6228000,-2584000,48360000,55859000,-5472000,5094000,5094000,-10566000,-10566000,-5494000,49437000,49437000,49437000,9762000,0,54643000,0.98624,0.00301,0.00328,0.02335,0.00846,14.17458,1.30909,1.76146,0,0.91403,0.91403,278.35051,39.1441,12.95596,0.02605,0.2976,-9.98105,-27.57074
"18","2015_Q1",49.6455737704918,"Up",849736000,-14959000,834777000,-837837000,-831665000,-6172000,-3060000,96000,96000,-2964000,-10643000,3669000,-6974000,-6670000,-6670000,-6670000,80184000,80184000,144434000,144434000,13481000,12846000,10940000,970000,936000,250945000,84871000,4998000,4998000,89869000,340814000,167002000,160743000,1601000,943000,168603000,14714000,12250000,2464000,14714000,183317000,12115000,145382000,157497000,157497000,340814000,-6670000,6172000,2736000,-12564000,-10326000,-5972000,1896000,1896000,-7868000,-7868000,-5998000,-17251000,-17251000,-17251000,3112000,-2.22044604925031e-16,-19093000,0.9824,-0.0036,-0.00785,-0.04235,-0.01957,2.86252,1.48838,1.16394,4.13590306276514e-25,-1.58147,-1.58147,201.47402,37.34284,-4.52699,-0.03335,-0.11087,-25.76607,26.20392
"19","2015_Q2",41.4087301587302,"Down",555573000,-15104000,540469000,-535552000,-529464000,-6088000,4917000,74000,74000,4991000,4991000,-1894000,3097000,3097000,3097000,3097000,88132000,88132000,118941000,118941000,14284000,11404000,10598000,0,806000,232761000,81635000,5128000,5128000,86763000,319524000,144555000,135238000,1499000,852000,146054000,13803000,11306000,2497000,13803000,159857000,12115000,147552000,159667000,159667000,319524000,3097000,6088000,-1219000,4165000,12131000,-3153000,512000,512000,-3665000,-3665000,-3256000,7948000,7948000,7948000,11005000,0,13911000,0.97281,0.00885,0.00557,0.0194,0.00969,4.49177,1.59366,1.00119,0,0.7343,0.7343,131.72741,37.85735,3.29832,0.0232,0.08019,-8.00836,-17.92394
"20","2015_Q3",35.95109375,"Down",600558000,-16681000,583877000,-576956000,-570926000,-6030000,6921000,95000,95000,7016000,7016000,-2676000,4340000,4340000,4340000,4340000,83980000,83980000,145707000,145707000,17077000,11558000,11155000,0,403000,258322000,75841000,5409000,5409000,81250000,339572000,160169000,149305000,1038000,360000,161207000,15287000,12803000,2484000,15287000,176494000,12115000,150963000,163078000,163078000,339572000,4340000,6030000,1942000,-14417000,-2105000,-1161000,7000,7000,-1168000,-1168000,-1118000,-4152000,-4152000,-4152000,12951000,0,49000,0.97222,0.01152,0.00723,0.02661,0.01278,0.0112900000000016,1.60242,1.08227,-6.61744490042422e-24,1.02902,1.02902,142.39344,38.6661,0.0116200000000002,0.02954,0.000270000000000006,-6.48444,-12.13408
"21","2015_Q4",34.29984375,"Down",439893000,-15684000,424209000,-424586000,-418618000,-5968000,-377000,63000,63000,-314000,-314000,6000,-308000,-308000,-308000,-308000,95235000,95235000,95637000,95637000,14815000,7342000,7150000,0,192000,213029000,69866000,5906000,5906000,75772000,288801000,112396000,101700000,968000,357000,113364000,13595000,11132000,2463000,13595000,126959000,12115000,149727000,161842000,161842000,288801000,-308000,5968000,-427000,8302000,13535000,-1373000,141000,141000,-1514000,-1514000,-1352000,11255000,11255000,11255000,5591000,0,12514000,0.96435,-0.00086,-7e-04,-0.0019,-0.00107,-40.62987,1.87916,0.78446,0,-0.07303,-0.07303,104.29946,38.37304,2.96709,0.00353,0.07133,-17.03363,252.61273
"22","2016_Q1",29.3619672131148,"Down",348255000,-11538000,336717000,-338455000,-332824000,-5631000,-1738000,82000,82000,-1656000,-13738000,5334000,-8404000,-8404000,-8404000,-8404000,91877000,91877000,71813000,71813000,7671000,5176000,2589000,2587000,0,176537000,59715000,6963000,6963000,66678000,243215000,80002000,74117000,195000,195000,80197000,10508000,8039000,2469000,10508000,90705000,12115000,140395000,152510000,152510000,243215000,-8404000,5631000,7440000,-2751000,1916000,-4668000,59000,59000,-4727000,-4727000,-4346000,-3358000,-3358000,-3358000,3893000,-2.8421709430404e-14,-8860000,0.96687,-0.00499,-0.02413,-0.0551,-0.03455,1.05426000000001,2.20129,0.59475,-1.05879118406788e-22,-1.9926,-1.9926,82.57192,36.16041,-2.10072,-0.04586,-0.05435,-23.60057,52.86364
"23","2016_Q2",31.8371875,"Up",250531000,-11820000,238711000,-236372000,-231257000,-5115000,2339000,103000,103000,2442000,2318000,-888000,1430000,1430000,1430000,1430000,83099000,83099000,73043000,73043000,13378000,2900000,2251000,629000,20000,172420000,56624000,6862000,6862000,65495000,237915000,75424000,69219000,373000,373000,75797000,9106000,6680000,2426000,9106000,84903000,12115000,140897000,153012000,153012000,237915000,1430000,5115000,-1252000,-7651000,-2358000,-3290000,920000,920000,-4210000,-4210000,-5492000,-8778000,-8778000,-8778000,7454000,0,-2599000,0.95282,0.00934,0.00571,0.00935,0.00601,-1.81748,2.27476,0.55488,0,0.33906,0.33906,59.40137,36.27944,-0.61623,0.01454,-0.01603,-11.14824,-35.52758
"24","2016_Q3",29.41953125,"Down",293163000,-12088000,281075000,-275474000,-270718000,-4756000,5601000,96000,96000,5697000,5421000,-2017000,3404000,3404000,3404000,3404000,90771000,90771000,81793000,81793000,12862000,4493000,4272000,0,221000,189919000,51617000,5690000,5690000,61607000,251526000,87248000,79856000,292000,292000,87540000,8498000,6062000,2436000,8498000,96038000,12115000,143373000,155488000,155488000,251526000,3404000,4756000,-1532000,1882000,8510000,1338000,1940000,1940000,-602000,-602000,90000.0000000009,7672000,7672000,7672000,10357000,0,15594000,0.95877,0.01911,0.01161,0.02189,0.01353,4.58108,2.16951,0.61766,-8.470329472543e-22,0.80709,0.80709,69.5095,36.8665,3.69737,0.02642,0.09509,-8.76422,-16.20621
"25","2016_Q4",33.0331746031746,"Up",256877000,-12050000,244827000,-246649000,-242135000,-4514000,-1822000,245000,245000,-1577000,-3377000,1224000,-2153000,-2153000,-2153000,-2153000,78485000,78485000,73561000,73561000,16066000,6786000,4159000,2474000,153000,174898000,49516000,5997000,5997000,58013000,232911000,71260000,64056000,43000,43000,71303000,9201000,6850000,2351000,9201000,80504000,12115000,140292000,152407000,152407000,232911000,-2153000,4514000,1667000,-13519000,-9491000,-1698000,676000,676000,-2374000,-2374000,-1867000,-12286000,-12286000,-12286000,2692000,0,-13749000,0.95309,-0.00709,-0.00838,-0.01413,-0.00924,6.38597,2.45288,0.52822,0,-0.51048,-0.51048,60.90602,36.13599,-3.25991,-0.00758,-0.08508,-29.1549,43.07629
"26","2017_Q1",32.5941935483871,"Down",298969000,-11280000,287689000,-287440000,-283033000,-4407000,248999.999999999,136000,136000,385000,842000,-1010000,-168000,-168000,-168000,-168000,87342000,87342000,87162000,87162000,13070000,4944000,2097000,2735000,112000,192518000,46325000,5529000,5529000,54354000,246872000,86010000,79897000,64000,64000,86074000,9486000,7157000,2329000,9486000,95560000,12115000,139197000,151312000,151312000,246872000,-168000,4407000,583000,5461000,10283000,-1128000,170000,170000,-1298000,-1298000,-499000,8857000,8857000,8857000,4656000,-3.63797880709171e-12,9999000,0.96227,0.000829999999999997,-0.00056,-0.00111,-0.00068,-59.51786,2.23666,0.63154,-2.71050543121376e-20,-0.03983,-0.0398299999999998,70.88612,35.87636,2.37078,0.00472,0.06218,-18.75902,-350.77108
"27","2017_Q2",34.1269841269841,"Up",303087000,-12912000,290175000,-291759000,-287790000,-3969000,-1584000,158000,158000,-1426000,-1426000,566000,-860000,-860000,-860000,-860000,98073000,98073000,89122000,89122000,20627000,5292000,1353000,3471000,468000,213114000,43809000,4740000,4740000,51049000,264163000,105337000,97978000,0,0,105337000,9302000,7212000,2090000,9302000,114639000,12115000,137409000,149524000,149524000,264163000,-860000,3969000,-350000,9391000,12150000,-967000,39000,39000,-1006000,-1006000,-491000,10731000,10731000,10731000,2385000,0,10243000,0.9574,-0.00523,-0.00284,-0.00575,-0.00326,-11.91047,2.02316,0.76669,0,-0.20391,-0.20391,71.8625,35.45242,2.42863,0.00043,0.06449,-41.12075,61.91477
"28","2017_Q3",32.2039682539683,"Down",315202000,-12052000,303150000,-302531000,-298968000,-3563000,619000,259000,259000,878000,-757000,475000,-282000,-282000,-282000,-282000,103687000,103687000,73340000,73340000,15957000,5061000,1208000,3071000,782000,198045000,33105000,5230000,5230000,45905000,243950000,88140000,83228000,34000,34000,88174000,7462000,6226000,1236000,7462000,95636000,12115000,136199000,148314000,148314000,243950000,-282000,3563000,225000,4116000,7622000,-951000,151000,151000,-1102000,-1102000,-1080000,5614000,5614000,5614000,4182000,-5.82076609134674e-11,6872000,0.96176,0.00196,-0.000889999999999999,-0.0019,-0.00116,-24.36879,2.24607,0.64482,-2.16840434497101e-19,-0.0668599999999999,-0.06686,74.72783,35.16216,1.62921,0.00415,0.04411,-24.79364,-167.50727
"29","2017_Q4",38.3028571428571,"Up",295311000,-12668000,282643000,-283933000,-280693000,-3240000,-1290000,362000,362000,-928000,-5298000,2265000,-3033000,-3033000,-3033000,-3033000,99449000,99449000,81277000,81277000,22398000,5315000,1168000,4147000,0,208439000,31958000,4932000,4932000,40090000,248529000,95199000,89339000,0,0,95505000,7206000,5943000,1263000,8671000,104176000,12115000,132238000,144353000,144353000,248529000,-3033000,3240000,4627000,-8119000,-3285000,-117000,240000,240000,-357000,-357000,-25000,-4238000,-4238000,-4238000,1950000,1771000,-8551000,0.9571,-0.00437,-0.01027,-0.02101,-0.0122,2.81932,2.18249,0.72168,0.00713,-0.71906,-0.71906,70.01209,34.22309,-2.02726,-0.01373,-0.05577,-50.09128,75.71938
"30","2018_Q1",37.5296721311475,"Down",408460000,-11854000,396606000,-392846000,-390019000,-2827000,3760000,297000,297000,4057000,4054000,-361000,3693000,3693000,3693000,3693000,109393000,109393000,121353000,121353000,12192000,2747000,1264000,1317000,166000,245685000,29362000,7232000,7232000,37019000,282704000,129115000,124706000,145000,145000,129598000,4636000,3363000,1273000,5987000,135585000,12115000,135004000,147119000,147119000,282704000,3693000,2827000,-2823000,5912000,9609000,111000,290000,290000,-179000,-179000,1380000,9944000,9944000,9944000,6587000,1689000,12971000,0.97098,0.00921,0.00904,0.0251,0.01306,3.51232,1.89575,0.9216,0.00597,0.87545,0.87545,96.82809,34.87551,3.07486,0.03011,0.0845299999999999,-16.35099,-28.64468
"31","2018_Q2",39.48875,"Up",387256000,-12301000,374955000,-373878000,-371466000,-2412000,1077000,368000,368000,1445000,1445000,-307000,1138000,1138000,1138000,1138000,111536000,111536000,117153000,117153000,19267000,1860000,1111000,437000,312000,249816000,27744000,6523000,6523000,34692000,284508000,131304000,126044000,289000,289000,131934000,3980000,2646000,1334000,5245000,137179000,12115000,135214000,147329000,147329000,284508000,1138000,2412000,-737000,472000,3285000,-734000,132000,132000,-866000,-866000,-131000,2143000,2143000,2143000,3489000,1606000,3534000,0.96824,0.00278,0.00294,0.00772,0.004,3.10545,1.89349,0.93111,0.00564,0.2698,0.2698,91.81034,34.92864,0.83784,0.01351,0.02311,-31.5076,-102.07057
