"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",56.7765625,"Down",60702000,-33315000,27387000,-31642000,-31642000,-4255000,-1033000,-1005000,-5288000,-5288000,3321000,-1967000,-1967000,-1967000,-1967000,21347000,21347000,21040000,21040000,34681000,10953000,10953000,88021000,43865000,270439000,108747000,63746000,314304000,402325000,50383000,33297000,17086000,50383000,52798000,157521000,140854000,210319000,260702000,1080057000,-938369000,-65000,141623000,141623000,402325000,-1967000,2083000,-2074000,-2641000,-4599000,-5607000,-5607000,10023000,9990000,-216000,-216000,-216000,-2172000,52798000,-13741000,0.45117,-0.0701,-0.0324,-0.01389,-0.00489,6.98577,1.74704,1.84082,0.13123,-0.40168,-0.40168,12.39607,28.92109,-2.80607,-0.00559,-0.03904,-14.4802,-7.39154
"12","2016_Q4",47.6634920634921,"Down",75973000,-38015000,37958000,-31895000,-31895000,6063000,-1214000,-1023000,4849000,4849000,-1469000,3379999.99999999,3380000.00000001,3380000.00000001,3380000.00000001,20705000,20705000,16613000,16613000,34420000,8736000,8736000,80474000,46097000,269772000,108597000,63746000,315869000,396343000,39754000,23790000,15964000,39754000,50736000,157638000,140843000,208374000,248128000,1083269000,-934989000,-65000,148215000,148215000,396343000,3379999.99999999,2218000,1868999.99999999,-5024000,2443000,-3361000,-3361000,-2223000,276000,-642000,-642000,-641999.999999998,8281000,50736000,1364999.99999999,0.49962,0.0798,0.0444900000000001,0.0228000000000006,0.00852999999999999,0.403850000000001,2.0243,1.67411,0.12801,0.68577,0.68311,15.41427,30.07156,0.276949999999998,0.00948000000000003,0.00383,3.62649,4.95316
"13","2017_Q1",23.9596774193548,"Down",63879000,-34663000,29216000,-39087000,-39087000,-9871000,-973000,-1023000,-10844000,-63905000,-98243000,-162148000,-162148000,-162148000,-162148000,20978000,20978000,10336000,10336000,38529000,4768000,4768000,74611000,42945000,121924000,77698000,41435000,164869000,239480000,50441000,37022000,13419000,50441000,48298000,154722000,137830000,203020000,253461000,1083221000,-1097137000,-65000,-13981000,-13981000,239480000,-162148000,2481000,153344000,10815000,4492000,-1610000,-1610000,-2600000,-2609000,273000,273000,273000,-7390000,48298000,100058000,0.45736,-0.15453,-2.53836,11.59774,-0.67708,-0.61708,1.47917,-18.12896,0.20168,-32.8081,-32.93636,12.92491,-2.82884,20.24517,-0.85775,0.5293,-3.69689,-2.7677
"14","2017_Q2",7.13968253968254,"Down",58045000,-32454000,25591000,-33784000,-33784000,-8193000,-1045000,-1044000,-9238000,-9238000,-52000,-9290000,-9289999.99999997,-9289999.99999997,-9289999.99999997,15391000,15391000,20292000,20292000,32213000,2868000,2868000,70764000,42017000,121501000,77548000,41435000,163518000,234282000,38426000,25016000,13410000,38426000,64395000,154500000,137830000,218895000,257321000,1083537000,-1106511000,-65000,-23039000,-23039000,234282000,-9290000,2415000,155999.99999997,-13001000,-19720000,-1785000,-1785000,15936000,15949000,-5556000,-5556000,-5556000,-5778000,64395000,-20512000,0.44088,-0.14115,-0.16005,0.403230000000001,-0.0396499999999999,2.20797,1.84157,-11.16893,0.27486,-1.87949,-1.87948999999999,11.74328,-4.6611,-4.14985,-0.04743,-0.10473,-8.48114,-5.9812
"15","2017_Q3",5.39698412698413,"Down",60822000,-35266000,25556000,-34416000,-34416000,-8860000,-1278000,-1276000,-10138000,-10138000,4000,-10134000,-10134000,-10134000,-10134000,3803000,3803000,18939000,18939000,41842000,6990000,6990000,71574000,40494000,121370000,77398000,41435000,161864000,233438000,40040000,24554000,15486000,40040000,72040000,154248000,137830000,226288000,266328000,1083820000,-1116645000,-65000,-32890000,-32890000,233438000,-10134000,2476000,289000,-10688000,-18057000,-931000,-931000,7380000,7384000,-11604000,-11604000,-11604000,-6384000,72040000,-18007000,0.42018,-0.14567,-0.16662,0.30812,-0.04341,1.77689,1.78756,-8.09754,0.3086,-2.04935,-2.04935,12.29977,-6.6512,-3.64148,-0.0524,-0.09311,-10.68875,-7.70169
"16","2017_Q4",4.63428571428571,"Down",79067000,-42400000,36667000,-31358000,-31358000,5309000,-1806000,-1693000,3503000,3503000,6000,3509000,3509000,3509000,3509000,5723000,5723000,31278000,31278000,51378000,4045000,4045000,92424000,38799000,121500000,77249000,41435000,160299000,252723000,32284000,15717000,16567000,41284000,57621000,153757000,137830000,211378000,252662000,1113262000,-1113136000,-65000,61000,61000,252723000,3509000,2507000,661000,-27531000,-20854000,-301000,-301000,-5440000,23075000,1920000,1920000,1920000,7816000,66621000,-20022000,0.46375,0.06715,0.04438,57.52459,0.01388,-5.7059,2.23874,4142,0.26361,0.407509999999998,0.407489999999998,9.18223,0.0070800000000002,-2.3252,0.01592,-0.09083,7.79145,11.47071
"17","2018_Q1",7.72590163934426,"Up",74648000,-40673000,33975000,-40548000,-40548000,-6573000,80471000,-1527000,73898000,73898000,614000,74512000,74512000,74512000,74512000,5372000,5372000,20760000,20760000,48921000,6521000,6521000,81574000,31608000,121352000,77099000,41435000,152960000,234534000,37177000,22556000,14621000,45177000,40682000,73906000,58273000,114588000,159765000,1113458000,-1038624000,-65000,74769000,74769000,234534000,74512000,2700000,-76457000,17489000,18244000,-362000,-362000,-18176000,-18248000,-366000,-366000,-366000,-3873000,48682000,12640000,0.45514,-0.08805,0.99818,0.99656,0.3177,0.16964,1.80565,2.13678,0.20757,6.24858,6.24336,6.25999,6.27014,1.05999,0.37755,0.06405,-11.18255,-6.58908
"18","2018_Q2",10.746875,"Up",54514000,-28978000,25536000,-29900000,-29900000,-4364000,-1224999.99999999,-1289000,-5588999.99999999,-5589000.00000001,-48000,-5637000,-5637000,-5637000,-5637000,5228000,5228000,12764000,12764000,49360000,7517000,7517000,74869000,29966000,121122000,76949000,41435000,151088000,225957000,33440000,20149000,13291000,41440000,41600000,73589000,58273000,115189000,156629000,1113654000,-1044261000,-65000,69328000,69328000,225957000,-5637000,2069000,172999.99999997,2877999.99999999,-517000,-250000,-250000,712000,622000,-145000,-145000,-145000,-2295000,49600000,381000.000000004,0.46843,-0.08005,-0.1034,-0.0813100000000043,-0.0249500000000001,-0.0675900000000003,1.80668,2.25925000000025,0.21951,-0.48526,-0.48526,4.69281,5.96806,0.0327999999999999,-0.0292799999999999,0.00198000000000001,-19.3342,-10.16774
"19","2018_Q3",18.8866666666667,"Up",63128000,-35409000,27719000,-30143000,-30143000,-2424000,-1370000,-1297000,-3794000,-3794000,-28000,-3822000,-3822000,-3822000,-3822000,5321000,5321000,22999000,22999000,61616000,6726000,6726000,96662000,29271000,120851000,76800000,41435000,150122000,246784000,43854000,30569000,13285000,43854000,63584000,73445000,58273000,137029000,180883000,1114049000,-1048083000,-65000,65901000,65901000,246784000,-3822000,2031000,615000,-11743000,-12919000,-776000,-776000,13788000,13788000,93000,93000,93000,-393000,63584000,-12884000,0.43909,-0.0384,-0.06054,-0.058,-0.01549,3.37101,2.20418,2.74477,0.25765,-0.32893,-0.32893,5.43286,5.67151,-1.10881,-0.01883,-0.06349,-148.25191,-24.03589
"20","2018_Q4",12.7561904761905,"Down",83526000,-42709000,40817000,-31850000,-31850000,8967000,-2232000,-2154000,6735000,6735000,30000,6765000,6765000,6765000,6765000,1050000,1050000,32323000,32323000,61515000,6369000,6369000,101257000,28158000,121507000,76650000,41435000,149665000,250922000,43040000,27053000,15987000,45790000,58730000,73384000,58273000,132114000,177904000,1114401000,-1041318000,-65000,73018000,73018000,250922000,6765000,2017000,1151000,-9232000,701000,-1277000,-1277000,-1400000,-3757000,-4333000,-4333000,-4333000,10984000,61480000,445000,0.48867,0.10736,0.08099,0.0926500000000002,0.02696,0.065780000000002,2.21133,2.43643999999999,0.24502,0.58214,0.571,7.1875,6.28327,0.0382899999999997,0.03254,0.00214,5.50163999999998,6.73915
"21","2019_Q1",12.5511475409836,"Down",77783000,-41130000,36653000,-34693000,-34693000,1960000,-1280000,-1142000,680000,680000,-8000,672000,672000,672000,672000,118000,118000,28896000,28896000,53271000,6317000,6317000,88602000,25156000,121173000,76501000,41435000,146329000,234931000,42832000,28787000,14045000,45582000,42340000,72909000,58273000,115249000,160831000,1114811000,-1040646000,-65000,74100000,74100000,234931000,672000,2021000,1739000,11878000,16310000,-767000,-767000,-16484000,-16474000,-931000,-931000,-931000,3981000,45090000,15100000,0.47122,0.0252,0.00864,0.00907,0.00286,22.47024,1.94379,2.17046,0.19193,0.05782,0.05897,6.69266,6.37576,1.29924,0.0035,0.07861,11.29666,22.9449
"22","2019_Q2",13.3888888888889,"Up",55122000,-26856000,28266000,-34015000,-34015000,-5749000,-1185000,-1077000,-6934000,-6934000,-42000,-6976000,-6976000,-6976000,-6976000,147000,147000,15767000,15767000,50311000,7808000,7808000,74033000,23826000,201550000,76351000,41435000,225376000,299409000,34841000,21612000,13229000,54115000,41529000,137103000,137103000,178632000,232747000,1114938000,-1048211000,-65000,66662000,66662000,299409000,-6976000,1889000,13698000,-6910000,1701000,-461000,-461000,-909999.999999996,-1211000,29000.0000000005,29000.0000000005,29000,-3860000,44279000,-11189000,0.51279,-0.1043,-0.12656,-0.10465,-0.0233,1.60393,1.36807,3.49145,0.14789,-0.59984,-0.59984,4.73971,5.73198,-0.96209,-0.02812,-0.04511,-11.43316,-7.67647
"23","2019_Q3",13.64296875,"Up",71351000,-36635000,34716000,-32752000,-32752000,1964000,-947000,-947000,1017000,1017000,-29000,988000,988000,988000,988000,227000,227000,28587000,28587000,59749000,6890000,6890000,95453000,23139000,206583000,76201000,41435000,229722000,325175000,47876000,34083000,13793000,67055000,48107000,141856000,141856000,189963000,257018000,1115445000,-1047223000,-65000,68157000,68157000,325175000,988000,1861000,-12153000,3932000,-5372000,-1009000,-1009000,6481000,6461000,80000,80000,80000,3825000,50857000,6777000,0.48655,0.02753,0.01385,0.0145,0.00304,6.85931,1.4235,3.77097,0.1564,0.08464,0.08464,6.11253,5.8389,0.58057,0.00379,0.02598,13.2366,25.77902
"24","2019_Q4",20.916875,"Up",144306000,-75045000,69261000,-62433000,-62433000,6828000,-1900000,-1882000,4928000,-15204000,-95999.9999999999,-15300000,-15300000,-15300000,-15300000,524000,524000,32246000,32246000,57749000,8161000,8161000,98680000,22905000,203337000,76052000,41435000,226242000,324922000,46863000,29057000,17806000,66329000,43469000,138430000,138430000,181899000,248228000,1116001000,-1039253000,-54000,76694000,76694000,324922000,-15300000,3710000,20280000,-2830000,5860000,-2093000,-2093000,-3283000,-3267000,5e+05,5e+05,509000,10538000,46219000,5711000,0.47996,0.0473200000000001,-0.10602,-0.19949,-0.04709,-0.37327,1.48774,3.2366,0.14225,-1.31,-1.23864,12.35562,6.56662,0.48898,-0.05854,0.02185,4.33621,6.6923
"25","2020_Q1",11.7740322580645,"Down",-50909000,7263000,-43646000,6397000,6397000,-37249000,1329000,-1101000,-35920000,-42662000,-1699000,-44361000,-44361000,-44361000,-44361000,466000,466000,40660000,40660000,66393000,6725000,6725000,114244000,25274000,222784000,81533000,41435000,248058000,362302000,66889000,43075000,23814000,90277000,48680000,92565000,92565000,141245000,231522000,1137264000,-1006381000,-103000,130780000,130780000,362302000,-44361000,-562000,8907000,8756000,-27260000,66000,66000,30388000,29804000,2610000,2610000,2594000,-37811000,51430000,-27290000,0.85733,0.73168,0.87138,-0.3392,-0.12244,0.61518,1.26548,1.77032,0.14195,-3.79802,-3.67769,-4.35863,11.19689,-2.33647,-0.16144,-0.09932,-1.34786,-1.3682
"26","2020_Q2",5.53603174603175,"Down",39018000,-23018000,1.6e+07,-38544000,-38544000,-22544000,1282000,-1025000,-21262000,-48136000,-42000.0000000002,-48178000,-48178000,-48178000,-48178000,26654000,26654000,16523000,16523000,67337000,4061000,4061000,114575000,19901000,196332000,76982000,31973000,216233000,330808000,54064000,31647000,22417000,77696000,84647000,85567000,85567000,170214000,247910000,1137601000,-1054559000,-144000,82898000,82898000,330808000,-48178000,1998000,26915000,10485000,-8780000,-695000,-695000,35877000,35673000,26198000,26198000,26186000,-20546000,87397000,-10714000,0.41007,-0.57778,-1.23476,-0.58117,-0.14564,0.22238,1.47466,2.99054,0.26419,-4.1199,-4.1199,3.33659,7.08896,-0.9162,-0.1883,-0.04187,-2.95644,-2.69442
"27","2020_Q3",5.20265625,"Down",37022000,-23682000,13340000,-27348000,-27348000,-14008000,-1026000,-1022000,-15034000,-15034000,-28000,-15062000,-15062000,-15062000,-15062000,782000,782000,18589000,18589000,92122000,3483000,3483000,114976000,18823000,202908000,76819000,31973000,221731000,336707000,78736000,58450000,20286000,99985000,72898000,95458000,95458000,168356000,268341000,1138132000,-1069621000,-145000,68366000,68366000,336707000,-15062000,1656000,1085000,-151000,-12472000,-902000,-902000,-12377000,-12596000,-25970000,-25970000,-25972000,-12352000,74961000,-13377000,0.36033,-0.37837,-0.40684,-0.22031,-0.04473,0.88813,1.14993,3.92507,0.22263,-1.27816,-1.27816,3.14167,5.80152,-1.13517,-0.06308,-0.05602,-6.00542,-5.29547
"28","2020_Q4",5.2921875,"Up",69022000,-37368000,31654000,-25390000,-25390000,6264000,-1258000,-1259000,5006000,5006000,-43000,4963000,4963000,4963000,4963000,703999.999999996,703999.999999996,32862000,32862000,88552000,4407000,4407000,126525000,18228000,209701000,76655000,31973000,227929000,354454000,65491000,43497000,21994000,85877000,92823000,102608000,102608000,195431000,281308000,1137947000,-1064658000,-143000,73146000,73146000,354454000,4963000,1655000,308000.000000004,-23809000,-16883000,-963000,-963000,17751000,17774000,-72000,-72000,-78000,7919000,92823000,-16810000,0.45861,0.09075,0.0719,0.06785,0.014,-3.38706,1.47333,3.84584,0.26188,0.42071,0.42071,5.85088,6.20046,-1.42496,0.01848,-0.06259,11.63266,14.7061
"29","2021_Q1",8.97213114754098,"Up",74808000,-47205000,27603000,-31521000,-31521000,-3918000,-1701000,-1701000,-5619000,-5619000,-1753000,-7372000,-7372000,-7372000,-7372000,3777000,3777000,31878000,31878000,68226000,6703000,6703000,110584000,17741000,204619000,76491000,31973000,222360000,332944000,60135000,40216000,19919000,82220000,84485000,100032000,98344000,184517000,266737000,1138365000,-1072030000,-128000,66207000,66207000,332944000,-7372000,1589000,2424000,16423000,13064000,-937000,-937000,-8575000,-9064000,3063000,3063000,3076000,-2329000,84485000,14910000,0.36898,-0.05237,-0.09855,-0.11135,-0.02214,-2.02252,1.34498,4.02883,0.25375,-0.62455,-0.62455,6.33763,5.60897,1.26316,-0.0294,0.05947,-34.6535,-20.59929
"30","2021_Q2",11.3274603174603,"Up",57533000,-32050000,25483000,-32584000,-32584000,-7101000,-1878000,-1878000,-8979000,-8979000,-2643000,-11622000,-11622000,-11622000,-11622000,1370000,1370000,26825000,26825000,71745000,5918000,5918000,105858000,16785000,203172000,76327000,31973000,219957000,325815000,61842000,42340000,19502000,85826000,85286000,99739000,95442000,185025000,270851000,1138737000,-1083652000,-121000,54964000,54964000,325815000,-11622000,1638000,3727000,3463000,-2794000,-476000,-476000,774000.000000004,815000,-2455000,-2455000,-2446000,-5463000,85973000,167000,0.44293,-0.12342,-0.20201,-0.21145,-0.03567,-0.0143700000000004,1.2334,4.92779,0.26387,-0.98745,-0.98745,4.88823,4.66996,0.0141899999999999,-0.04829,0.000689999999999975,-15.48655,-11.91424
"31","2021_Q3",8.07125,"Down",78673000,-43295000,35378000,-32743000,-32743000,2635000,-1927000,-1927000,708000,708000,-1298050,-590050,-590050,-590050,-590050,1524000,1524000,31158000,31158000,74336000,5614000,5614000,112632000,17687000,200873000,76163000,31973000,218560000,331192000,68508000,50789000,17719000,94114000,84759000,97416000,91855000,182175000,276289000,1139264000,-1084242000,-119000,54903000,54903000,331192000,-590000,1481000,2592000,-979000,2504000,-1443000,-1443000,-589000,-908000,153000,153000,144000,4116000,86134000,2992050,0.44968,0.03349,-0.0075,-0.01075,-0.00178,-5.07084,1.19676,5.03231,0.26007,-0.04977,-0.04977,6.63597,4.631,0.25238,-0.00247,0.01255,20.55637,32.11006
"32","2021_Q4",9.4040625,"Up",87450000,-45317000,42133000,-38999000,-38999000,3134000,-3037000,-3037000,97000,97000,2118000,2215000,2215000,2215000,2215000,1605000,1605000,32283000,32283000,82040000,5342000,5342000,121270000,18141000,209491000,75999000,31973000,227632000,348902000,69989000,46676000,23313000,94930000,92883000,103383000,100039000,196266000,291196000,1139857000,-1082027000,-124000,57706000,57706000,348902000,2215000,1525000,558000,-8256000,-3958000,-2205000,-2205000,8113000,6247000,83999.9999999995,83999.9999999995,84000,4659000,94633000,-7920000,0.4818,0.03584,0.02533,0.03838,0.00635,-3.57562,1.27747,5.0462,0.27123,0.18683,0.18683,7.3763,4.86743,-0.66804,0.00866,-0.03097,19.96737,29.68347
"33","2022_Q1",8.2591935483871,"Down",99027000,-55451000,43576000,-41761000,-41761000,1815000,-1764000,-1764000,51000,51000,-2757950,-2706950,-2706950,-2706950,-2706950,1056000,1056000,29948000,29948000,78564000,5804000,5804000,115372000,17117000,204738000,75835000,31973000,221855000,337227000,66192000,46722000,19470000,91517000,88869000,101061000,94994000,189930000,281447000,1140636000,-1084734000,-122000,55780000,55780000,337227000,-2707000,1852000,3946000,936000,4027000,-931000,-931000,-3823000,-3640000,-544000,-544000,-544000,3667000,91494000,6429950,0.44004,0.01833,-0.02734,-0.04853,-0.00803,-2.37535,1.26066,5.04566,0.27131,-0.22999,-0.22999,8.41373,4.73929,0.54631,-0.0109,0.02589,24.66267,49.8281
