"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",22.4496875,"Up",281487000,-252201000,29286000,-16181000,-12452000,-3729000,13105000,-1751000,-1751000,11354000,11354000,-4676000,6678000,6678000,6678000,6678000,83080000,83080000,89147000,89147000,22298000,14581000,6723000,194525000,29858000,183487000,47846000,113866000,21775000,213345000,407870000,117384000,4650000,112734000,9377000,141761000,26759000,11785000,14974000,139009000,280770000,183071000,-15478000,-46401000,120139000,127100000,407870000,6678000,3729000,1583000,17811000,29801000,-1438000,-1400000,-2753000,1494000,1878000,-384000,-1101000,27300000,27300000,27217000,16834000,127250000,37883000,0.10404,0.04656,0.02372,0.05254,0.01637,5.67281,1.3722,2.20905,0.31199,0.50788,0.46032,21.40794,9.13694,2.88112,0.02376,0.13476,2.62386,3.37047
"12","2013_Q3",28.1328125,"Up",287637000,-259227000,28410000,-16466000,-12731000,-3735000,11944000,-1688000,-1688000,10256000,9764000,-3888000,5876000,5876000,5876000,5876000,73974000,73974000,95412000,95412000,33019000,25199000,7820000,202405000,29908000,187930000,46036000,113298000,28596000,217838000,420243000,124817000,4513000,120304000,6755000,194072000,26598000,11642000,14956000,87598000,281670000,188993000,-15548000,-40525000,131612000,138573000,420243000,5876000,3735000,4424000,-13759000,275999.999999993,-2056000,-10660000,-3752000,4701000,4771000,-70000,1431000,-8953000.00000001,-8953000.00000001,-9106000,15679000,123500000,3752000,0.09877,0.04152,0.02043,0.0424,0.01398,0.638530000000001,1.04294,2.03265,0.29388,0.43838,0.4295,21.45907,9.81887,0.27992,0.02036,0.013,3.15875,4.14652
"13","2013_Q4",27.68171875,"Down",276713000,-253931000,22782000,-14806000,-11082000,-3724000,7976000,-1876000,-1876000,6100000,5575000,-2048000,3527000,3527000,3527000,3527000,91103000,91103000,91245000,91245000,27536000,19577000,7829000,209884000,30886000,184111000,44250000,113345000,26516000,214997000,424881000,122878000,4543000,118335000,5263000,175641000,27419000,11683000,15736000,103419000,279060000,192561000,-15548000,-36998000,138860000,145821000,424881000,3527000,3724000,1476000,6855000,15582000,-2919000,584000,-3000,2595000,2595000,0,868000,17034000,17034000,17129000,11700000,123500000,17684000,0.08233,0.02882,0.01275,0.02419,0.0083,5.01389,1.19496,1.91372,0.29067,0.25793,0.25104,20.23574,10.15469,1.29321,0.01189,0.05959,2.76897,4.06181
"14","2014_Q1",26.5647540983607,"Down",-47071000,28690000,-18381000,12532000,10675000,1857000,-5849000,-1606000,-1606000,-7455000,-6963000,3987000,-2976000,3357000,3357000,3357000,98995000,98995000,88315000,88315000,24362000,11831000,10379000,211672000,32709000,180377000,43476000,113263000,23638000,213086000,424758000,122128000,3904000,118224000,3687000,174065000,24806000,9447000,15359000,100056000,274121000,194377000,-15641000,-33641000,143676000,150637000,424758000,3357000,3684000,-3220000,5757000,9578000,-3770000,-2367000,-1000,732000,825000,-93000,852999.999999999,8064000,8064000,7892000,-2165000,123500000,-4165000.00000001,0.3905,0.12426,-0.07132,0.02229,0.0079,-1.24069,1.21605,1.81975,0.29075,0.24375,0.25819,-3.41778,10.43219,-0.30242,0.01123,-0.01393,-11.31871,-4.18961
"15","2014_Q2",39.4374603174603,"Up",289403000,-259937000,29466000,-17345000,-13617000,-3728000,12121000,-1585000,-1585000,10536000,10495000,-4208000,6287000,6287000,6287000,6287000,105840000,105840000,100275000,100275000,19999000,8560000,8507000,226114000,33321000,175287000,41831000,113154000,20302000,208608000,434722000,127788000,5314000,122474000,3818000,180606000,22207000,8894000,13313000,96707000,277313000,195596000,-16111000,-27354000,150448000,157409000,434722000,6287000,3728000,-442000,-1727000,7846000,-2723000,-1203000,83833881.2098447,36000,506000,-470000,357000,7e+06,7e+06,6845000,15849000,123500000,15607000,0.10182,0.04188,0.02172,0.03994,0.01446,2.48242,1.25197,1.76174,0.28409,0.45553,0.41206,20.96902,10.90088,1.13082,0.02074,0.05149,1.11427,1.45698
"16","2014_Q3",42.6828125,"Up",343953000,-309129000,34824000,-21301000,-16158000,-5143000,13523000,-1261000,-1261000,12262000,12202000,-5530000,6672000,6672000,6672000,6672000,1.23e+08,1.23e+08,134973000,134973000,40926000,29737000,10729000,298899000,45582000,318508000,112304000,175521000,30683000,364090000,662989000,203604000,39120000,164484000,14239000,220093000,76755000,10404000,66351000,266105000,486198000,214210000,-17663000,-20682000,176824000,176791000,662989000,6672000,5143000,1162000,-2548000,10429000,-5544000,-71483000,67500000,8613000,8644000,-31000,77430000,16376000,16376000,17160000,18666000,191600000,16104000,0.10125,0.03932,0.0194,0.03774,0.01006,2.41367,1.35806,2.75013,0.28899,0.47082,0.4616,24.27159,12.47787,1.1364,0.01499,0.03618,3.67513,5.07284
"17","2014_Q4",39.18671875,"Down",134546000,-121686000,12860000,-13598000,-10664000,-2934000,-738000,-593000,-593000,-1331000,-1167000,772000,-395000,265000,265000,265000,136898000,136898000,126916000,126916000,37863000,25073000,9562000,301677000,44496000,311594000,118753000,162561000,30280000,356090000,657767000,204992000,32164000,172828000,14338000,222330000,71103000,11765000,59338000,259703000,482033000,220404000,-17663000,-20417000,175723000,175734000,657767000,265000,8035000,-82000,7879000,16097000,-3356000,-2429000,0,1730000,1730000,0,2235000,15903000,15903000,13898000,7297000,191600000,11048000,0.09558,-0.00549,0.00197,0.00151,4e-04,41.69057,1.35689,2.74297,0.29129,0.01772,0.01746,8.99626,11.74951,0.73871,6e-04,0.0252,7.49651,-74.12195
"18","2015_Q1",42.6875409836066,"Up",324978000,-297848000,27130000,-9049000,-3641000,-5408000,18081000,-6785000,-6785000,11296000,11270000,677000,11947000,7051000,7051000,7051000,135258000,135258000,107565000,107565000,131823000,43134000,8548000,374646000,42648000,751640000,323904000,342412000,33576000,794288000,1168934000,212399000,46557000,165842000,36971000,339458000,123537000,96928000,25974000,608062000,947520000,261172000,-17686000,-13366000,221364000,221414000,1168934000,7051000,12582000,833000,357000.000000002,20823000,-11619000,-368240000,385148000,116000.000000004,139000.000000004,-23000,373074000,25657000,25657000,23508000,30663000,574613000,18724000,0.08348,0.05564,0.0217,0.03185,0.00603,2.65551,1.10366,4.2794,0.49157,0.43706,0.46429,20.14372,13.72122,1.1606,0.00767,0.02036,14.32851,24.29926
"19","2015_Q2",47.5033333333333,"Up",419829000,-366537000,53292000,-32519000,-19466000,-13053000,20773000,-7678000,-5195000,13095000,12776000,-6921000,5855000,6249000,6237000,6237000,170130000,170130000,198644000,198644000,51409000,36323000,9357000,420183000,58689000,719686000,328289000,353995000,37402000,778375000,1198558000,252510000,34626000,217884000,14678000,294313000,121525000,91386000,30139000,598423000,892736000,268455000,-18407000,-7129000,305762000,305822000,1198558000,6249000,14900000,3303000,-9062000,15390000,-6394000,-7370000,-78808000,82145000,82866000,-721000,4733000,12753000,12753000,9724000,35673000,504023000,27138000,0.12694,0.04948,0.01486,0.02039,0.0052,4.35113,1.42767,2.91914,0.42052,0.3904,0.38631,26.27865,14.32569,1.69867,0.00733,0.02914,9.35982,16.07341
"20","2015_Q3",45.8075,"Down",418238000,-371616000,46622000,-31485000,-18294000,-13191000,15137000,-4781000,-3722000,10356000,11070000,-6227000,4843000,6575000,6634000,6634000,145161000,145161000,211741000,211741000,61919000,42149000,18772000,418821000,62127000,736096000,321535000,358483000,56078000,798223000,1217044000,263538000,56441000,207097000,27733000,320934000,116636000,86432000,30204000,575303000,896237000,270044000,-18420000,-495000,320803000,320807000,1217044000,6575000,14957000,1458000,-14824000,8166000,-6728000,-21623000,-15813000,164999.999999985,178000,-13000,-16532000,-29989000,-29989000,-24969000,30094000,488330000,14769000,0.11147,0.03619,0.01586,0.02068,0.00545,2.22626,1.30501,2.7937,0.40124,0.41212,0.40847,25.98204,15.10101,0.91749,0.00836,0.01595,11.40324,22.67087
"21","2015_Q4",48.00046875,"Up",266732000,-266176000,556000,-10753000,-19238000,8485000,-10197000,1688000,6154000,-8509000,-7773000,230000,-7543000,-5411000,-5572000,-5572000,106724000,106724000,186038000,186038000,121897000,30045000,14139000,414659000,51349000,730545000,295602000,340854000,45266000,781894000,1196553000,232097000,31961000,200136000,52362000,315459000,117128000,88765000,27509000,568163000,883622000,273879000,-18424000,-6067000,312772000,312931000,1196553000,-5411000,14587000,6683000,-13610000,2249000,-10712000,-13525000,-5813000,2109000,2113000,-4000,-4954000,-16230000,-16230000,-18684000,4390000,482035000,-20162000,0.00208,-0.03823,-0.02089,-0.01781,-0.00466,3.61845,1.31446,2.8237,0.40285,-0.34543,-0.34543,16.53596,14.57203,-1.24994,-0.00489,-0.02211,85.49226,-36.80602
"22","2016_Q1",46.7960655737705,"Down",373211000,-376825000,-3614000,-20227000,-13988000,-6239000,-23841000,-2052000,910000.000000002,-25893000,-26167000,-1665000,-27832000,75781000,76397000,76397000,79756000,79756000,156932000,156932000,83036000,27624000,20310000,319724000,46158000,674996000,69564000,129958000,34032000,730478000,1050202000,219381000,28019000,191362000,44516000,295272000,118526000,8403000,22855000,387222000,682494000,293029000,-54823000,69209000,368160000,367708000,1050202000,75781000,13857000,-96563000,-5640000,-12565000,-11238000,185808000,-178187000,-35696000,404000,-36100000,-214502000,-41259000,-41259000,-41707000,-9984000,300071000,-25197000,-0.00967999999999999,-0.06388,0.2047,0.20777,0.07275,-0.32982,1.08281,1.85608,0.28573,4.88473,4.98443,23.86267,18.5796,-1.61107,0.09858,-0.03204,-22.06681,-9.24101
"23","2016_Q2",48.62859375,"Up",382036000,-348676000,33360000,-25056000,-18516000,-6540000,8304000,-3211000,-494000,5093000,5168000,-3792000,1376000,2129000,2235000,2235000,95217000,95217000,153940000,153940000,56330000,31111000,18703000,305487000,61419000,658945000,275728000,339227000,42160000,720364000,1025851000,221782000,28481000,193301000,28491000,283586000,119216000,91765000,27451000,393756000,677342000,293858000,-74402000,70345000,349054000,348509000,1025851000,2129000,14336000,358000,17852000,34675000,-9814000,-10534000,7250000,-19403000,176000,-19579000,-13252000,10889000,10889000,10447000,22640000,307853000,34470000,0.08732,0.02174,0.00585,0.00641,0.00218,15.42282,1.07723,1.94354,0.3001,0.14843,0.14718,25.37164,18.0293,2.28921,0.0043,0.04444,9.39205,25.60645
"24","2016_Q3",46.88578125,"Down",398118000,-367845000,30273000,-23560000,-16712000,-6848000,6713000,-1867000,-408000,4846000,5621000,-3997000,1624000,3994000,4623000,4623000,68824000,68824000,178295000,178295000,78260000,50071000,18362000,325379000,67324000,643562000,263918000,337158000,42486000,710886000,1036265000,248269000,52318000,195951000,27554000,311073000,118716000,88987000,29729000,391544000,702617000,295830000,-87357000,73870000,334745000,333648000,1036265000,3994000,14814000,-2144000,-13584000,3080000.00000001,-13822000,-15643000,-297000.000000045,-12344000,611000,-12955000,-13739000,-26302000,-26302000,-26393000,21527000,308078000,-1882000,0.07604,0.01686,0.01161,0.01386,0.00446,-0.407090000000004,1.04599,2.10586,0.2973,0.3104,0.3078,26.73082,17.26783,-0.12636,0.00752,-0.00246999999999999,11.11414,35.6404
"25","2016_Q4",40.5115873015873,"Down",412272000,-378490000,33782000,-23990000,-17320000,-6670000,9792000,-1854000,-337000,7938000,8420000,-4677000,3743000,952000,650000,650000,52362000,52362000,170723000,170723000,99950000,41245000,11804000,323035000,57451000,643571000,57204000,126167000,28124000,701022000,1024057000,232343000,22493000,209850000,38561000,593802000,116153000,6586000,27683000,116153000,709955000,299967000,-108037000,73408000,314932000,314102000,1024057000,952000,12029000,-2273000,-3206000,7502000,-10292000,-8973000,13250000,-17368000,3312000,-20680000,-5230000,-6701000,-6701000,-6207000,21821000,322898000,1.3e+07,0.08194,0.02375,0.00158,0.00207,0.00063,20,0.54401,2.26027,0.31531,0.04476,0.04442,28.38673,16.34375,0.89511,0.00234,0.01726,12.39797,27.62827
"26","2017_Q1",41.0624193548387,"Up",386463000,-357743000,28720000,-23909000,-17363000,-6546000,4811000,-4938000,-344000,-127000,-21087000,-4570000,-25657000,82771000,84420000,84420000,72262000,72262000,162115000,162115000,53726000,37895000,15831000,288103000,46220000,189593000,49124000,119624000,19335000,397176000,685279000,205553000,22177000,183376000,20522000,227796000,80353000,57973000,22380000,82243000,310039000,302027000,-125201000,156718000,377660000,375240000,685279000,82771000,6546000,-135330000,42239000,-3774000,-6249000,359055000,-326088000,-17155000,9000,-17164000,-344318000,10963000,10963000,9645000,11357000,3611000,51917000,0.07432,0.01245,0.21844,0.22498,0.12319,0.614980000000003,1.26474,0.82624,0.00527,5.94801,6.1049,27.22916,21.1439,3.65793,0.18626,0.11306,-6.04482,-14.26959
"27","2017_Q2",45.9947619047619,"Up",399494000,-369410000,30084000,-23296000,-17027000,-6269000,6788000,-2412000,-352000,4376000,4438000,-2523000,1915000,-3951000,-4325000,-4325000,82882000,82882000,161342000,161342000,55648000,41328000,14320000,299872000,47112000,191412000,47526000,119893000,20371000,397884000,697756000,234025000,24142000,209883000,22756000,258523000,82987000,57939000,25048000,84186000,342709000,305538000,-144192000,150453000,357116000,355047000,697756000,-3951000,6269000,1043000,32837000,36198000,-5738000,-5712000,-670000,-18654000,99000,-18753000,-20414000,10072000,10072000,10620000,13057000,2941000,42679000,0.07531,0.01699,-0.01083,-0.01218,-0.0062,-9.86798,1.15994,0.96525,0.00421,-0.3156,-0.31412,29.15106,20.39882,3.11428,-0.00734,0.09678,-6.12246,-11.77681
"28","2017_Q3",51.2449206349206,"Up",407983000,-377036000,30947000,-24949000,-18049000,-6900000,5998000,1201000,-329000,7199000,6737000,-2879000,3858000,3740000.00000001,3913999.99999999,3913999.99999999,56583000,56583000,172189000,172189000,57451000,47445000,10006000,286223000,47761000,188291000,46799000,120818000,16243000,396653000,682876000,212234000,18101000,194133000,24469000,238621000,79891000,55141000,24750000,81022000,319643000,307951000,-144193000,153266000,365566000,363233000,682876000,3739999.99999999,6900000,-2391000,-35184000,-26935000,-5007000,-5299000.00000006,-68000.0000000596,928000,929000,-1000,-337000,-32571000,-32571000,-32513000,12898000,3049000,-24414000,0.07585,0.0147,0.00958999999999999,0.01078,0.00573,-6.23761,1.19949,0.87999,0.00446,0.288780000000001,0.28763,30.10122,21.24888,-1.80128,0.01124,-0.05472,-4.15057,-8.92531
"29","2017_Q4",56.6374603174603,"Up",409517000,-378032000,31485000,-25176000,-18629000,-6547000,6309000,-763000,-302000,5546000,17952000,-2989000,14963000,14947000,14852000,14852000,92178000,92178000,175162000,175162000,45836000,39083000,6753000,313176000,48191000,190554000,45750000,121555000,18813000,395812000,708988000,229394000,19921000,209473000,17421000,248343000,78331000,54363000,23968000,78897000,327240000,310034000,-144201000,167004000,384055000,381748000,708988000,14947000,6547000,-10415000,16587000,27666000,-4548000,8541000,-973000,491000,5e+05,-9000,-1286000,34921000,34921000,34779000,12856000,2094000,27884000,0.07688,0.01541,0.03627,0.03891,0.02095,1.87746,1.26106,0.85721,0.00295,1.09353,1.08762,30.1522,22.56764,2.05306,0.03455,0.06033,-7.00716,-14.27865
"30","2018_Q1",65.2439344262295,"Up",406888000,-364566000,42322000,-25384000,-18631000,-6753000,16938000,18113000,-295000,35051000,35077000,3990000,39067000,39084000,38928000,38928000,95310000,95310000,158926000,158926000,42093000,35243000,6850000,296329000,50377000,187472000,43939000,121668000,17233000,407761000,704090000,207149000,15404000,191745000,17381000,226930000,63013000,41627000,21386000,63597000,290527000,313972000,-154803000,204818000,415728000,413563000,704090000,39084000,6753000,-25771000,-1951000,18115000,-4630000,2974000,1711000,-10208000,393000,-10601000,-11441000,9648000.00000001,9648000.00000001,10162000,23691000,2984000,13120000,0.10401,0.04163,0.09567,0.09413,0.05529,0.33703,1.30582,0.7025,0.00424,2.86891,2.84945,29.98676,24.92328,0.96692,0.0835,0.02736,-3.89709,-5.45082
