"","YQ","p","d","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","cash_for_acquisition_of_subsidiaries","net_cash_from_other_acquisitions","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2013_Q2",95.7925,"Up",572200000,-302700000,-283200000,-19500000,269500000,-20600000,-24500000,2e+05,4300000,-6e+05,248900000,-7500000,241400000,-93800000,147600000,147600000,-4e+05,147200000,147200000,185800000,185800000,793800000,793800000,1.24e+08,86400000,67400000,1.19e+09,634600000,4744800000,1627500000,2911600000,86800000,118900000,5379400000,6569400000,592600000,246600000,3.46e+08,147900000,740500000,2.175e+09,854700000,552500000,302200000,3029700000,3770200000,11200000,3667500000,53800000,2778300000,20900000,2799200000,6569400000,147600000,55500000,21800000,11300000,10300000,2e+05,-26700000,-75800000,-3200000,10100000,42200000,198200000,-41500000,2e+05,-41700000,-2e+07,-2300000,-17700000,-61500000,-332900000,-85100000,28800000,-113900000,5200000,-412800000,-276100000,-276100000,-4900000,-2.81e+08,3.25e+08,2322900000,350600000,0.05259,0.02241,2.38179,1.60702,1.34688,0.35359,1.5845,1.55767,29.90635,3.77395,0.02463,0.05866,6.57569,7.92987
"14","2013_Q3",97.1753125,"Up",577300000,-301400000,-280900000,-20500000,275900000,-19300000,-23100000,2e+05,4400000,-8e+05,256600000,-6600000,2.5e+08,-97600000,152400000,152400000,-4e+05,1.52e+08,1.52e+08,111300000,111300000,815700000,815700000,126400000,94600000,75300000,1.148e+09,646900000,4.797e+09,1606300000,2986600000,87500000,116600000,5443900000,6591900000,535200000,253400000,281800000,119900000,655100000,2.39e+09,8.63e+08,559100000,303900000,3.253e+09,3908100000,1.1e+07,3574600000,36700000,2663400000,20400000,2683800000,6591900000,152400000,56900000,26800000,10800000,1.8e+07,-2e+06,-98500000,-23900000,-2500000,6800000,-78900000,137600000,-48600000,2e+05,-48800000,-89500000,-1e+06,-88500000,-138100000,186600000,-2.63e+08,102300000,-365300000,2300000,-74100000,-74600000,-74600000,1e+05,-74500000,332800000,2509900000,283300000,0.05664,0.02306,1.86382,1.7524,1.45618,0.38076,1.65217,1.6222,28.95,3.07935,0.0251,0.04677,7.20733,8.69373
"15","2013_Q4",98.41375,"Up",547600000,-299300000,-2.79e+08,-20300000,248300000,-14600000,-24700000,1800000,3600000,4700000,233700000,-3700000,2.3e+08,-81300000,148700000,148700000,-4e+05,148300000,148300000,174100000,174100000,813200000,813200000,126500000,99100000,79900000,1212900000,672600000,4801200000,1601400000,2990900000,86800000,122100000,5473800000,6686700000,570200000,2.62e+08,308200000,110400000,680600000,2553500000,8.67e+08,563300000,303700000,3420500000,4101100000,10700000,3461700000,52100000,2565600000,2e+07,2585600000,6686700000,148700000,57900000,4400000,6800000,0,-2400000,23200000,4200000,1e+05,8300000,10600000,234200000,-51900000,2e+05,-52100000,4700000,0,-2800000,-47200000,1.47e+08,-268800000,17500000,-286300000,-5e+06,-126800000,60200000,60200000,2600000,62800000,306200000,2663900000,358800000,0.05736,0.02218,2.41942,1.7821,1.58613,0.39839,1.66069,1.63326,28.73012,4.01792,0.02425,0.05866,8.13129,10.02739
"16","2014_Q1",92.0131147540984,"Down",526100000,-307100000,-285700000,-21400000,2.19e+08,-20800000,-24200000,0,4600000,-1200000,198200000,-4e+06,194200000,-67500000,126700000,126700000,-4e+05,126300000,126300000,4.04e+08,4.04e+08,784700000,784700000,136500000,106900000,106900000,1432100000,707400000,4826400000,1.572e+09,3022800000,88500000,143100000,5533800000,6965900000,614500000,304500000,3.1e+08,111300000,735700000,2889100000,830400000,563900000,266500000,3719500000,4455200000,10500000,3373500000,66200000,2491300000,19400000,2510700000,6965900000,126700000,59800000,34700000,8400000,27900000,-1600000,27500000,2.8e+07,-9700000,35600000,-26400000,248700000,-59100000,5e+05,-59600000,-53700000,-3200000,-50500000,-112800000,327400000,-224700000,25400000,-250100000,-7300000,95400000,231300000,231300000,-1400000,229900000,278800000,3000400000,314700000,0.0503,0.01813,2.49169,1.94658,1.77449,0.43073,1.45843,1.43197,28.7679,3.63395,0.01992,0.04963,9.31277,11.85571
"17","2014_Q2",99.9490476190476,"Up",516800000,-305900000,-284900000,-2.1e+07,210900000,-15600000,-25700000,2e+05,3e+06,6900000,195300000,-7600000,187700000,-74200000,113500000,113500000,-4e+05,113100000,113100000,338900000,338900000,8.22e+08,8.22e+08,134800000,125200000,125200000,1420900000,733100000,4838400000,1538400000,3067100000,87300000,145600000,5571500000,6992400000,639900000,281900000,3.58e+08,105300000,753600000,2.903e+09,815900000,561900000,2.54e+08,3718900000,4472500000,10400000,3408900000,45500000,2501300000,18600000,2519900000,6992400000,113500000,60700000,13900000,11700000,10100000,-7900000,-45800000,-39200000,2900000,-27100000,17600000,142300000,-56300000,2e+05,-56500000,-51800000,-1100000,-65700000,-108100000,-6900000,-91300000,16400000,-107700000,2e+05,-9.8e+07,-63800000,-63800000,-1300000,-65100000,271600000,3008300000,243700000,0.04488,0.01617,2.15473,1.88548,1.77487,0.43022,1.32746,1.306,29.35798,2.86033,0.01783,0.03841,9.82842,12.65718
"18","2014_Q3",104.25265625,"Up",568600000,-319900000,-297900000,-2.2e+07,248700000,-14200000,-25800000,4e+05,3700000,7500000,234500000,-2e+06,232500000,-90800000,141700000,141700000,-4e+05,141300000,141300000,479500000,479500000,832600000,832600000,134500000,119300000,115200000,1565900000,741200000,4837700000,1545800000,3069200000,96500000,126200000,5578900000,7144800000,643200000,280600000,362600000,97600000,740800000,2909900000,818400000,568600000,249800000,3728300000,4469100000,10400000,3.553e+09,58500000,2656400000,19300000,2675700000,7144800000,141700000,62800000,-9700000,11900000,-11200000,-10400000,12600000,-8800000,500000.000000002,1400000.00000001,19500000,207400000,-4.8e+07,1e+05,-48100000,8900000,-7400000,0,-39100000,-9200000,-1.4e+07,42500000,-56500000,-2200000,-25400000,142900000,142900000,-2300000,140600000,311500000,3007500000,366900000,0.05281,0.01978,2.5966,2.1138,1.67025,0.42094,1.66824,1.63731,31.36246,4.33176,0.02173,0.05643,8.11557,10.16486
"19","2014_Q4",101.918125,"Down",571200000,-3.24e+08,-305700000,-18300000,247200000,-22400000,-25900000,3e+05,3700000,-5e+05,224800000,-5800000,2.19e+08,-81500000,137500000,137500000,-3e+05,137200000,137200000,575700000,575700000,841600000,841600000,138800000,131700000,126300000,1687800000,754700000,4789300000,1489400000,3066400000,94700000,138800000,5.544e+09,7231800000,651400000,286200000,365200000,97600000,7.49e+08,2917100000,776500000,552600000,223900000,3693600000,4442600000,10400000,3685600000,40300000,2770800000,18400000,2789200000,7231800000,137500000,58500000,9600000,11500000,-2400000,5e+05,-3e+07,-11700000,-4700000,9500000,-23100000,175600000,-5.2e+07,6e+05,-52600000,-3600000,-4400000,4e+05,-55600000,-1300000,-18400000,47300000,-65700000,1300000,-18400000,101600000,101600000,-5400000,96200000,305700000,3014700000,305200000,0.04919,0.01897,2.22449,2.2534,1.59279,0.41687,1.61602,1.58613,32.63604,3.59482,0.02085,0.04638,7.97841,9.8665
"20","2015_Q1",118.66,"Up",546500000,-325100000,-309700000,-15400000,221400000,-31500000,-32100000,2e+05,3900000,-3500000,189900000,-2400000,187500000,-67600000,119900000,119900000,-3e+05,119600000,119600000,5.8e+08,5.8e+08,815700000,815700000,139500000,157500000,157500000,1692700000,786500000,4822600000,1475800000,3099400000,92600000,154800000,5609100000,7301800000,623700000,282300000,341400000,347100000,976300000,2682700000,804600000,530400000,274200000,3487300000,4463600000,10400000.0000001,3786100000,-10500000,2820500000,17700000,2838200000,7301800000,119900000,63500000,43300000,10600000,31200000,1500000,-1.3e+07,28600000,1e+06,-5e+06,-37600000,213700000,-45800000,5e+05,-46300000,-101500000,-7300000,-94100000,-147300000,-2899999.99999988,-30500000,8600000,-39100000,-25400000,-58799999.9999999,7600000,7600000,-3300000,4299999.99999999,284900000,3029800000,293700000,0.04214,0.01638,2.45569,1.73379,1.57269,0.41494,1.41706,1.38747,33.41825,3.47986,0.01792,0.04402,8.59881,11.06504
"21","2015_Q2",120.107619047619,"Up",625100000,-473400000,-442300000,-31100000,151700000,-99900000,-104300000,6e+05,2700000,1100000,51800000,-19300000,32500000,-29100000,3400000,3400000,-3e+05,3100000,3100000,446400000,446400000,1.187e+09,1.187e+09,186500000,508600000,319800000,2328500000,1597200000,10224900000,3603300000,6282200000,88900000,250500000,11822100000,14150600000,909700000,420800000,488900000,348600000,1412200000,6597700000,1606900000,1268500000,338400000,8204600000,9616800000,1835200000,3786800000,-131100000,4517600000,16200000,4533800000,14150600000,3100000,102600000,56500000,26300000,17400000,12800000,-249100000,-40300000,4200000,-48900000,-164100000,-86900000,-33500000,3e+05,-33800000,-3617800000,-3600000,-3622200000,-3651300000,3633800000,30500000,30500000,-14519078.7070139,-34600000,3629700000,-108500000,-108500000,-25100000,-133600000,254300000,6946300000,8e+05,0.00068,0.00022,0.25806,1.64885,2.12113,0.49088,0.03373,0.03305,49.15778,0.00871,0.00024,6e-05,25.55997,42.84707
"22","2015_Q3",119.36265625,"Down",772700000,-435100000,-390500000,-44600000,337600000,-5.7e+07,-57900000,3e+05,2900000,-2300000,280600000,-14300000,266300000,-96200000,170100000,170100000,-3e+05,169800000,169800000,6.19e+08,6.19e+08,1201400000,1201400000,1.82e+08,583600000,387300000,2.586e+09,1831800000,10047400000,3644800000,6136600000,68600000,197400000,11879200000,14465200000,1006500000,438800000,567700000,674100000,1823100000,6113200000,1742700000,1372600000,370100000,7855900000,9.679e+09,1889600000,3955800000,-99800000,4769700000,16500000,4786200000,14465200000,170400000,117300000,5700000.00000001,27700000,-22300000,299999.999999998,103300000,-13500000,5300000,15100000,96400000,396700000,-68900000,2e+05,-69100000,-63400000.0000005,-1200000,-62200000,-132300000,-1.46e+08,25500000,25500000,-3091650.79716044,1900000,-118600000,145800000,145800000,2.7e+07,172800000,454900000,6787300000,585500000,0.03548,0.01174,3.44817,1.41846,2.02227,0.46922,1.6862,1.65659,47.36544,5.8143,0.01275,0.04397,13.55968,18.27103
"23","2015_Q4",119.03734375,"Down",764900000,-4.34e+08,-389100000,-44900000,330900000,-56600000,-55900000,5e+05,2e+06,-3200000,274300000,-26300000,2.48e+08,-9.3e+07,1.55e+08,1.55e+08,-3e+05,154700000,154700000,7.13e+08,7.13e+08,1235200000,1235200000,181600000,577300000,378300000,2707100000,1806800000,9908400000,3.561e+09,6068600000,61800000,2.17e+08,11715200000,14422300000,1.028e+09,4.45e+08,5.83e+08,674700000,1844400000,6006500000,1642400000,1291300000,351100000,7648900000,9493300000,1949600000,4108700000,-168500000,4913500000,15500000,4.929e+09,14422300000,1.55e+08,119600000,16900000,23700000,-11100000,4300000,-3500000,-36100000,1e+05,9500000,2.3e+07,2.88e+08,-67800000,0,-67800000,-14900000,-6600000,-8300000,-82700000,-126100000,33200000,33200000,106602.51127325,6200000,-86700000,118600000,118600000,-24600000,9.4e+07,450500000,6681200000,472200000,0.03139,0.01073,3.05236,1.46774,1.92601,0.46325,1.53017,1.5034,48.6004,4.67062,0.01167,0.03563,13.24795,18.03626
"24","2016_Q1",110.63,"Down",740600000,-450100000,-406200000,-43900000,290500000,-57300000,-56800000,5e+05,2400000,-3400000,233200000,-5.4e+07,179200000,-6.9e+07,110200000,110200000,-2e+05,1.1e+08,1.1e+08,716400000,716400000,1217900000,1217900000,1.91e+08,495900000,339300000,2621200000,1747400000,9736100000,3323500000,6202100000,58200000,1.5e+08,11483500000,14104700000,1130500000,497400000,633100000,423900000,1700500000,5940300000,1503900000,1180800000,323100000,7444200000,9144700000,1986500000,4223700000,-2.87e+08,4945100000,14900000,4.96e+09,14104700000,110200000,118300000,35300000,24400000,-18100000,2.9e+07,120800000,18100000,-9800000,5.5e+07,57500000,384600000,-8.5e+07,99999.9999999999,-85100000,-43600000,-300000.000000001,-43300000,-128600000,-252300000,9700000,9700000,1.49011611938477e-08,2800000,-239800000,16200000,16200000,-1.3e+07,3200000,408800000,6364200000,513600000,0.02218,0.0078,4.66909,1.54143,1.84369,0.45121,1.08374,1.06589,48.7202,5.0601,0.00857,0.04004,13.81556,19.44165
