"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","accrued_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",18.3188888888889,"Down",519300000,-258700000,260600000,-136100000,-72700000,-7500000,-65200000,-1.5e+07,-48400000,124500000,-7999999,-4099999,-3900000,116500001,13300000,129800001,-29900000,99900001,99900001,-5800000,94100001,94100001,1.308e+09,739900000,568100000,652700000,652700000,1960700000,72600000,4989800000,3125400000,1493600000,370800000,5062400000,7023100000,716300000,716300000,716300000,318400000,976300000,44600000,730700000,2.01e+08,1294700000,2.011e+09,4094800000,-165400000,1309900000,-386800000,4852500000,159600000,5012100000,7023100000,99900000,1.5e+07,6900000,-156500000,-34700000,-7200000,65400000,-6900000,51300000,-69700000,-3e+05,-6.8e+07,-6.8e+07,-60300000,-198300000,-181700000,-181700000,5e+06,-176700000,139500000,318400000,5700000,0.50183,0.23975,0.18121,0.01877,0.0134,0.06057,2.73726,0.40123,0.04534,0.48256,0.48035,2.66308,24.88462,0.02923,0.35744,0.02597,9e-04,0.7407,-7.09391,-7.94859
"12","2019_Q3",17.018125,"Down",535900000,-259100000,276800000,-140300000,-75800000,-8100000,-67700000,-15300000,-49200000,136500000,24299999,-4200001,28500000,160799999,-13200000,147599999,-35300000,112299999,112299999,-2900000,109399999,109399999,1288900000,7.31e+08,557900000,570900000,570900000,1859800000,72600000,4927700000,3089700000,1477400000,360600000,5000300000,6860100000,635400000,635400000,635400000,317700000,932900000,43100000,727600000,162200000,1250600000,1.886e+09,4089100000,-147800000,1280800000,-4.24e+08,4798100000,1.76e+08,4974100000,6860100000,112300000,15300000,2900000,-12800001,117699999,-6400000,-30100000,-3300000,-39800000,-68600000,-3e+05,-76200000,-76200000,67900000,-77200000,699998.99999994,699998.99999994,-9600000,-8900001,151800000,317700000,167899999,0.51651,0.25471,0.20414,0.02199,0.01595,1.53473,2.92698,0.37916,0.04631,0.57248,0.57098,2.80429,25.1078,0.8786,0.35897,0.0286,0.02697,0.62706,-6.39789,-7.11502
"13","2019_Q4",19.8503125,"Up",5.36e+08,-261900000,274100000,-130500000,-73100000,-5500000,-67600000,-15200000,-42200000,143600000,1200000,-3500000,4700000,144800000,4e+06,148800000,-35700000,113100000,113100000,-1e+06,112100000,112100000,1357900000,773700000,584200000,668400000,668400000,2026300000,74400000,4865200000,3063700000,1454700000,346800000,4939600000,6965900000,768600000,768600000,768600000,316900000,919600000,50300000,717700000,151600000,1236500000,2005100000,4.097e+09,-144100000,1250400000,-481200000,4722100000,238700000,4960800000,6965900000,113100000,15200000,6e+06,38900001,173200001,-9600000,-19399999,-7100000,-36099999,-67800000,-2e+05,-8.2e+07,-8.2e+07,42499999,-107500001,29600001,29600001,13100000,42700001,158800000,316900000,223800001,0.51138,0.26791,0.20914,0.0226,0.01609,1.99643,2.63635,0.40419,0.04549,0.60269,0.60107,2.88172,25.38763,1.20323,0.36452,0.02903,0.03611,0.60482,-6.55542,-7.2493
"14","2020_Q1",18.5538709677419,"Down",601200000,-3.15e+08,286200000,-131900000,-70300000,-1e+07,-60300000,-17100000,-44500000,154300000,-9100000,-3300000,-5800000,145200000,12100000,157300000,-36900000,120400000,120400000,-8400000,1.12e+08,1.12e+08,1974800000,796500000,1178300000,605999999,605999999,2580799999,84700000,4956200000,3088600000,1504300000,363300000,5040900000,7621699999,769700000,769700000,769700000,316200000,951700000,59400000,729100000,163200000,1267900000,2037600000,4.109e+09,-139500000,1284100000,-367100000,4886500000,697600000,5584100000,7621700000,120400000,17100000,12100000,57400001,207000001,-14600000,-335200001,-14900000,-364700001,-66300000,-3e+05,-12700000,-12700000,255300001,176000001,18300001,18300001,4500000,22800001,171400000,316200000,251100001,0.47605,0.25665,0.18629,0.02006,0.01469,2.24196,3.35299,0.36489,0.04149,0.60936,0.60639,3.27095,26.58596,1.36616,0.36072,0.02602,0.03665,0.59196,-9.67678,-10.74919
"15","2020_Q2",16.5793650793651,"Down",554900000,-279500000,275400000,-120500000,-71900000,-6700000,-65200000,-1.5e+07,-33600000,154900000,28900000,-3300000,32200000,183800000,-537800000,-3.54e+08,68800000,-285200000,-285200000,38200000,-2.47e+08,-2.47e+08,1601600000,802200000,799400000,642900000,642900000,2244500000,8.4e+07,4315400000,2651700000,1307100000,356600000,4399400000,6643900000,690700000,690700000,690700000,315500000,780299999,30900000,602700000,146699999,1095799999,1786499999,4081100000,-137900000,942800000,-5.11e+08,4.375e+09,482400000,4857400000,6643899999,-285200000,1.5e+07,405800000,-97700000,37900000,-8199999,-7e+06,18400000,41800001,-66200000,-2e+05,-7.1e+07,-7.1e+07,91400000,-4.6e+07,33700001,33700001,-2.8e+07,5700001,169900000,315500000,-4799999,0.49631,0.27915,-0.44513,-0.05085,-0.03718,0.01943,3.2496,0.36779,0.04749,-1.36163,-1.36163,3.05899,24.11797,-0.02646,0.36494,-0.03037,-0.00081,-0.26802,-7.56975,-8.30278
"16","2020_Q3",18.16515625,"Up",5.18e+08,-263100000,254900000,-121800000,-61700000,-3700000,-5.8e+07,-1.1e+07,-49100000,133100000,5400000,-3200000,8600000,138500000,23900000,162400000,-30100000,132300000,132300000,-29400000,102900000,102900000,1731700000,880400000,851300000,606900000,606900000,2338600000,82500000,4304100000,2638600000,1310400000,355100000,4386600000,6725200000,735600000,735600000,735600000,314800000,777200000,35100000,600500000,141600000,1.092e+09,1827600000,4067900000,-114600000,959200000,-501700000,4410800000,486800000,4897600000,6725200000,132300000,1.1e+07,-21200000,82500000,204600000,-4200001,-152900000,-9700000.00000001,-166800001,-66100000,-3e+05,-27900000,-27900000,131700000,37399999.9999999,75199999,75199999,3e+06,78199999,144100000,314800000,252499999,0.49208,0.25695,0.19865,0.02101,0.0153,2.45384,3.17917,0.37316,0.04681,0.56725,0.56725,2.85557,24.31533,1.39195,0.36439,0.02822,0.04216,0.64237,-9.83276,-10.64538
"17","2020_Q4",25.3928125,"Up",568500000,-286800000,281700000,-125200000,-70900000,-5300000,-65600000,-11600000,-42700000,156500000,-4100000,-3200000,-9e+05,152400000,25500000,177900000,-40800000,137100000,137100000,-18200000,118900000,118900000,1375700000,926500000,449200000,6.06e+08,6.06e+08,1981700000,81400000,4.364e+09,2657500000,1341900000,364600000,4445400000,6427100000,691600000,691600000,691600000,3.14e+08,802200000,4.5e+07,613300000,143900000,1116200000,1807800000,4076100000,-111200000,965800000,-415200000,4515500000,103800000,4619300000,6427100000,137100000,11600000,9100000,25200000,1.83e+08,-4100000,143900000,-4600000,1.35e+08,-65800000,2e+05,-5.3e+07,-52900000,-172600000,-291200000,26800000,26800000,19300000,46100000,168100000,3.14e+08,2.3e+08,0.49551,0.27529,0.20915,0.02574,0.0185,1.9344,2.86538,0.39136,0.04886,0.66648,0.66648,3.18666,25.3111,1.28924,0.36883,0.0322,0.0401,0.55341,-6.31588,-6.78403
"18","2021_Q1",28.2986885245902,"Up",657200000,-303600000,353600000,-126600000,-70300000,-3900000,-66400000,-11600000,-44700000,2.27e+08,-3400000,-3200000,-2e+05,223600000,32200000,255800000,-57400000,198400000,198400000,-11600000,186800000,186800000,1590800000,1108100000,482700000,602900000,602900000,2193700000,77900000,4419200000,2686300000,1383900000,3.49e+08,4497100000,6690800000,727800000,727800000,727800000,313300000,830100000,53700000,627400000,1.49e+08,1143400000,1871200000,4085600000,-107300000,1062099999,-3.24e+08,4716399999,103200000,4819599999,6690799999,198400000,11600000,-22700000,32900000,220200000,-1300000,130600000,-9900000,119400000,-64799999,-3e+05,-2.7e+07,-28100000,-99100000,-191199999,148400001,148400001,33200000,181600001,238600000,313300000,327600000,0.53804,0.3454,0.28424,0.03876,0.02792,1.75375,3.01415,0.38825,0.04683,1.03548,1.03548,3.64302,26.14412,1.81596,0.3592,0.04219,0.05494,0.3469,-5.35415,-5.62775
"19","2021_Q2",33.1103174603175,"Up",6.44e+08,-314600000,329400000,-133300000,-69200000,-6200000,-6.3e+07,-10600000,-53500000,196100000,-3300000,-3200000,-1e+05,192800000,-2e+06,190800000,-43100000,147700000,147700000,7800000,155500000,155500000,1279500000,836600000,442900000,719399999,719399999,1998899999,7.4e+07,4421800000,2681900000,1389800000,350100000,4495800000,6494699999,734200000,734200000,734200000,312600000,793400000,22200000,627200000,1.44e+08,1.106e+09,1840200000,4027500000,-104400000,937700000,-321400000,4539400000,115100000,4654500000,6494700000,147700000,10600000,17600000,-150100001,25799999,-1600000,51400000,-26400000,23400000,-61700000,-545901.871292543,-290900000,-291700000,30100000,-322500000,-273300001,-273300001,1800000,-271500001,206700000,312600000,98099999,0.51149,0.3045,0.24146,0.03341,0.02394,0.63087,2.72256,0.39536,0.04813,0.86197,0.86197,3.56984,25.16297,0.54379,0.34202,0.03771,0.01703,0.39678,-4.67779,-4.93065
"20","2021_Q3",38.20515625,"Up",738400000,-340300000,398100000,-28999999,-72399999,-6700000,-65699999,-10100000,53500000,369100001,-5900000,-3200000,-2700000,363200001,-142300000,220900001,-79700000,141200001,141200001,-3900000,137300001,137300001,1464300000,977300000,4.87e+08,722700000,722700000,2.187e+09,66400000,4377100000,2637300000,1389900000,349900000,4443500000,6630500000,733400000,733400000,733400000,311900000,818699999,32299999,648200000,138200000,1130599999,1863999999,4002100000,-67600000,1009700000,-318200000,4.626e+09,140500000,4766500000,6630499999,141200000,10100000,74500000,43200001,269000001,5e+05,-52900000,-13900001,-66300001,-6.5e+07,-3e+05,-5799999.99999994,-10499999.9999999,9100000,-6.2e+07,140700000,140700000,3.72529029846191e-09,140700000,379200001,311900000,502600002,0.53914,0.49986,0.18594,0.02881,0.02071,3.6606,2.982,0.39106,0.04704,0.82166,0.81824,4.41891,27.68402,3.00778,0.38899,0.0343,0.08523,0.47342,-3.03903,-3.12219
"21","2021_Q4",40.92859375,"Up",687400000,-166200000,521200000,-237900000,-228100000,-6705105.15200774,-69417167.9101738,-9800000,-61323806.2727939,283300000,4e+05,-3200000,3600000,283700000,-30300000,253400000,-53300000,200100000,200100000,-3300000,196800000,196800000,1635100000,944600000,690500000,664200000,664200000,2299300000,63700000,4340200000,2620900000,1370800000,348500000,4403900000,6703200000,772900000,772900000,772900000,311100000,811900000,36900000,644700000,130300000,1.123e+09,1895900000,4011300000,-58100000,1070300000,-376900000,4646600000,160700000,4807300000,6703200000,1.98e+08,9800000,10700000,88300000,306800000,-4800000,-1.95e+08,-10499999,-210299999,-64800000,0,-8500000,-3e+06,-39600000,-112900000,-16399999,-16399999,-16300000,-32699999,293100000,311100000,429900000,0.75822,0.41213,0.2863,0.04094,0.02936,2.18445,2.9749,0.39438,0.04641,1.17774,1.17282,4.1137,27.8073,2.57271,0.38779,0.04411,0.07249,0.32927,-4.51723,-4.67349
"22","2022_Q1",33.6929032258065,"Down",697200000,-475400000,221800000,-125000001,66199999,-6995066.91491402,-71995470.624656,-10200000,-1.81e+08,96799999,4800000,-3200000,8e+06,101599999,53500000,155099999,-29600000,125499999,125499999,7e+06,132499999,132499999,1820900000,1118600000,702300000,503900000,503900000,2409200000,63300000,4229900000,2542700000,1341500000,345700000,4293200000,6702400000,831300000,831300000,831300000,310400000,758400000,32552490.438894,619200000,134400000,1068800000,1900100000,4025400000,-55100000,1040200000,-3.87e+08,4623500000,178800000,4802300000,6702400000,127600000,10200000,77100000,78900000,293800000,-4500000,-7.8e+07,52400000,-30100000,-64500000,-2e+05,-126200000,-138700000,100200000,-90700000,1.73e+08,1.73e+08,1e+06,1.74e+08,106999999,310400000,210999999,0.31813,0.13884,0.19005,0.02759,0.01977,1.59245,2.89811,0.39566,0.04631,0.79294,0.78963,4.17235,27.66906,1.26272,0.386,0.03355,0.03594,0.48679,-14.11682,-15.60434
"23","2022_Q2",27.1961290322581,"Down",6.2e+08,-321200000,298800000,-141400000,-80500000,-7400000,-73100000,-9500000,-51400000,157400000,-1.1e+07,-3200000,-7800000,146400000,-64999999,81400001,-22800000,58600001,58600001,20100000,78700001,78700001,1477200000,813400000,663800000,728700000,728700000,2205900000,54600000,4162800000,2488900000,1316800000,357100000,4217400000,6423300000,694100000,694100000,694100000,309700000,764900000,2.2e+07,6.17e+08,125900000,1074600000,1768700000,3936600000,-40300000,1.048e+09,-443200000,4501100000,153500000,4654600000,6423300000,58600000,9500000,108099999,-233700000,-57500001,2100000,-34200000,15200000,-16900000,-64300000,-2e+05,-137300000,-137800000,-1.3e+07,-214800000,-289200001,-289200001,-1.6e+07,-305200001,166900000,309700000,-41900000,0.48194,0.25387,0.12694,0.01691,0.01225,-0.5324,3.17807,0.37999,0.04822,0.47524,0.47353,3.74396,27.18056,-0.25302,0.38829,0.02496,-0.00731,0.81703,-6.99521,-7.41741
"24","2022_Q3",23.28046875,"Down",555500000,-283100000,272400000,-36400000,-80100000,-7800000,-72300000,-7700000,51400000,2.36e+08,-4900000,-3200000,-1700000,231100000,-201500000,29600000,-36700000,-7100000,-7100000,1.01e+08,93900000,93900000,2190800000,873700000,1317100000,597800000,597800000,2788600000,52600000,4058400000,2455700000,1259700000,3.43e+08,4.111e+09,6899600000,604200000,604200000,604200000,308900000,717400000,3342526.68331803,606200000,111200000,1026300000,1630500000,3922100000,-5900000,1.024e+09,-5.95e+08,4345200000,923900000,5269100000,6899600000,-7100000,7700000,131400000,30900000,162900000,-4600000,37900000,42800000,76100000,-65500000,-6e+05,-56400000,-58100000,-13400000,-135900000,103100000,103100000,-42800000,60300000,243700000,308900000,306700000,0.49037,0.42484,0.16904,0.01782,0.01361,3.26624,4.61536,0.30945,0.04477,0.57999,0.57891,3.43113,26.83879,1.89438,0.40457,0.02532,0.04872,0.69755,-7.7222,-7.97415
