"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2019_Q3",56.1759375,"Up",78959000,-22181000,56778000,-68958000,-49332000,-38172000,-11160000,-19626000,-12180000,-1759000,-1730000,1582000,-29000,-13939000,-13939000,519000,-13420000,-13420000,-13420000,-13420000,245707000,126569000,69289000,69289000,29267000,15416000,344263000,51860000,221476000,29726000,97866000,93884000,292016000,636279000,46044000,12975000,33069000,205231000,199048000,6183000,251275000,117689000,44944000,72745000,297480000,548755000,-4764000,-489678000,581478000,87524000,87524000,636279000,-13420000,3944000,12553000,-593999.999999993,2483000,-9249000,32740000,3340000,3340000,-1860000,1480000,36703000,36703000,-2999.99999999997,36700000,-8236000,179791000,-18598000,0.71908,-0.15426,-0.16996,-0.15333,-0.02109,1.38584,1.37006,6.26977,0.28257,-0.27696,-0.27696,1.62953,1.80629,-0.38382,-0.03486,-0.04831,8.0034,5.41182
"17","2019_Q4",52.034375,"Down",83155000,-23630000,59525000,-71281000,-51127000,-39904000,-11223000,-20154000,-11756000,-2443000,-1951000,1448000,-492000,-14199000,-14199000,-207000,-14406000,-14406000,-14406000,-14406000,246740000,114925000,62422000,62422000,30732000,15827000,339894000,51519000,224184000,29183000,97866000,97135000,286700000,626594000,39723000,6549000,33174000,207059000,200314000,6745000,246782000,111166000,36620000,74546000,293637000,540419000,-4764000,-504084000,594530000,86175000,86175000,626594000,-14406000,4598000,13568000,-1921000,1839000,-9341000,-15652000,4753000,4753000,-2087000,2666000,-11147000,-11147000,-497000,-11644000,-7158000,182471000,-18213000,0.71583,-0.14137,-0.17324,-0.16717,-0.02299,1.26426,1.3773,6.27118,0.29121,-0.29382,-0.29382,1.696,1.75759,-0.37147,-0.03793,-0.04795,8.97863,5.46691
"18","2020_Q1",52.4503225806452,"Up",91648000,-25362000,66286000,-78601000,-56882000,-44508000,-12374000,-21719000,-12315000,-1902000,-2196000,1253000,294000,-14217000,-14217000,-129000,-14346000,-14346000,-14346000,-14346000,239571000,123413000,87927000,87927000,37098000,20051000,364596000,50670000,226760000,28561000,97866000,100333000,300317000,664913000,47857000,6836000,41021000,238816000,231518000,7298000,286673000,109872000,36226000,73646000,295072000,581745000,-4764000,-518430000,605863000,83168000,83168000,664913000,-14346000,4559000,13910000,3701000,7824000,-2375000,78000,2295000,2295000,-2026000,268999.999999998,8171000,8171000,317000,8488000,-7756000,185200000,-6301000,0.72327,-0.13437,-0.15653,-0.17249,-0.02158,0.43922,1.27182,6.99482,0.27853,-0.28915,-0.28915,1.84722,1.6763,-0.127,-0.03793,-0.01666,7.01019,4.41502
"19","2020_Q2",46.5555555555556,"Down",94340000,-27714000,66626000,-86446000,-62244000,-48145000,-14099000,-24202000,-19820000,-2861000,-2414000,1048000,-447000,-22681000,-22681000,-243000,-22924000,-22924000,-22924000,-22924000,240818000,204434000,64388000,64388000,37110000,19624000,342316000,50075000,228482000,27867000,97866000,102749000,291361000,633677000,36548000,10062000,26486000,228333000,219432000,8901000,264881000,104552000,31641000,72911000,292496000,557377000,-4764000,-541354000,621914000,76300000,76300000,633677000,-22924000,4843000,16926000,-6060000,-7215000,-2756000,85422000,4907000,4907000,-1533000,3374000,81581000,81581000,-560000,81021000,-14977000,187944000,-23550000,0.70623,-0.21009,-0.24299,-0.30045,-0.03618,1.02731,1.29234,7.30507,0.29659,-0.45732,-0.45732,1.88201,1.52212,-0.4698,-0.06216,-0.06386,3.53035,2.66771
"20","2020_Q3",59.42796875,"Up",98912000,-29081000,69831000,-85563000,-59443000,-44959000,-14484000,-26120000,-15732000,-5499000,-5709000,208000,210000,-21231000,-21231000,-235000,-21466000,-21466000,-21466000,-21466000,315656000,279343000,76823000,76823000,39147000,20708000,431626000,48904000,374516000,47706000,213686000,113124000,428785000,860411000,43243000,7078000,36165000,236754000,227318000,9436000,279997000,121565000,33280000,88285000,489726000,769723000,-4764000,-562820000,657763000,90688000,90688000,860411000,-21466000,5576000,20934000,-4602000,441999.999999998,-1199000,-120756000,2167000,2167000,-2165000,196247000,75933000,75933000,259000,76192000,-10156000,368161000,-15722000,0.70599,-0.15905,-0.21702,-0.2367,-0.02495,0.73241,1.54154,8.48759,0.42789,-0.42343,-0.42343,1.95109,1.78887,-0.31012,-0.03698,-0.02709,-5.16985,-3.33747
"21","2020_Q4",71.5215625,"Up",105075000,-31028000,74047000,-91963000,-63454000,-48448000,-15006000,-28509000,-17916000,-7098000,-7241000,87000,143000,-25014000,-25014000,-527000,-25541000,-25541000,-25541000,-25541000,320618000,239409000,73625000,73625000,39790000,20521000,434033000,50305000,371666000,45942000,213727000,111997000,432784000,866817000,57068000,9033000,48035000,241213000,231560000,9653000,298281000,109865000,30632000,79233000,483183000,781464000,-4764000,-588361000,677960000,85353000,85353000,866817000,-25541000,5928000,23255000,7436000,11078000,-3170000,-55135000,6227000,6227000,-2847000,2679000,-41378000,-41378000,461000,-40917000,-11988000,373318000,-7195000,0.70471,-0.17051,-0.24307,-0.29924,-0.02947,0.2817,1.45511,9.15567,0.43068,-0.49788,-0.49788,2.04826,1.66381,-0.14025,-0.04492,-0.01266,-4.39606,-2.9415
"22","2021_Q1",83.1070491803279,"Up",113159000,-33694000,79465000,-100096000,-70359000,-54429000,-15930000,-29737000,-20631000,-7306000,-7319000,111000,13000,-27937000,-27937000,-981000,-28918000,-28918000,-28918000,-28918000,312456000,173617000,111599000,111599000,49380000,27844000,473435000,53114000,376449000,44296000,213601000,118552000,439687000,913122000,65537000,3860000,61677000,288197000,278585000,9612000,353734000,109266000,31365000,77901000,487852000,841586000,-4764000,-617279000,693057000,71536000,71536000,913122000,-28918000,6284000,23456000,-240000.000000004,582000,-6677000,-65818000,1591000,1591000,-2966000,-1375000,-66611000,-66611000,519000,-66092000,-14347000,378586000,-20283000,0.70224,-0.18232,-0.25555,-0.40424,-0.03167,0.7014,1.33839,11.76451,0.41461,-0.55585,-0.55585,2.1751,1.36501,-0.38987,-0.0517,-0.03626,-4.60933,-3.20537
"23","2021_Q2",84.2196825396825,"Up",117451000,-36289000,81162000,-104278000,-71198000,-54978000,-16220000,-33080000,-23116000,-6366000,-5298000,96000,-1068000,-29482000,-29482000,-363000,-29845000,-29845000,-29845000,-29845000,605800000,503804000,76714000,76714000,51541000,28943000,734055000,51141000,426364000,52708000,253324000,120332000,488638000,1222693000,52102000,4296000,47806000,291633000,282245000,9388000,343735000,104474000,28833000,75641000,960183000,1303918000,-4764000,-619539000,542527000,-81225000,-81225000,1222693000,-29845000,6740000,22924000,20776000,20595000,-972000,-18444000,5894000,5894000,-5755000,328572000,330723000,330723000,-5e+05,330223000,-16376000,855709000,3791000,0.69103,-0.19681,-0.25411,0.36744,-0.02441,-0.12702,2.13553,-16.05316,0.69986,-0.56413,-0.56413,2.22004,-1.5353,0.07166,-0.03395,0.00431,-15.26069,-10.81108
"24","2021_Q3",113.298125,"Up",126421000,-39308000,87113000,-109039000,-73734000,-56246000,-17488000,-35305000,-21926000,-2788000,-2937000,122000,149000,-24714000,-24714000,-9450000,-34164000,-34164000,-34164000,-34164000,607852000,493568000,98483000,98483000,51515000,27555000,757850000,49431000,427651000,54179000,254418000,119054000,482459000,1240309000,57696000,2063000,55633000,311774000,302186000,9588000,414200000,111411000,30124000,81287000,921504000,1335704000,-4764000,-653703000,562515000,-95395000,-95395000,1240309000,-34164000,7028000,28913000,7409000,9186000,-1699000,-13722000,1103000,1103000,-3347000,-5906000.00000006,-10442000,-10442000,207000,-10235000.0000001,-14898000,854823000,262000,0.68907,-0.17344,-0.27024,0.35813,-0.02754,-0.00767000000000015,1.82967,-14.00182,0.6892,-0.6163,-0.6163,2.28057,-1.72087,0.00472999999999996,-0.03923,3e-04,-16.57746,-11.26384
"25","2021_Q4",123.3578125,"Up",139894000,-43470000,96424000,-130739000,-86859000,-61456153.5988305,-19244218.6156096,-43880000,-34315000,-3177000,-2878000,111562.237092756,-299000,-37492000,-37492000,-208000,-37700000,-37700000,-37700000,-37700000,304249000,227104000,96775000,96775000,52942000,27079000,453966000,49034000,752516000,115746000,515297000,121473000,806914000,1260880000,65489000,7514000,57975000,326249000,316045000,10204000,436542000,118273000,27905000,90368000,929341000,1365883000,-4764000,-691403000,590600000,-105003000,-105003000,1260880000,-37700000,9745000,30500000,16903000,19448000,-2164000,-275721000,5558000,5558000,-90408000,-9246000,-265519000,-265519000,-556000,-266075000,-24570000,855872000,-9623000,0.68926,-0.24529,-0.26949,0.35904,-0.0299,0.25525,1.03991,-13.00804,0.67879,-0.69596,-0.69596,2.58253,-1.94883,-0.17765,-0.04338,-0.01107,-22.45108,-16.07527
"26","2022_Q1",100.426935483871,"Down",151638000,-49881000,101757000,-142465000,-93951000,-68696061.381074,-20775866.3917515,-48514000,-40708000,-3517000,-2814000,87875.9690590266,-703000,-44225000,-44225000,-400000.000000001,-44625000,-44625000,-44625000,-44625000,223432000,164582000,146094000,146094000,63210000,33236000,432736000,50225000,778982000,111591000,515258000,152133000,863275000,1296011000,86141000,3521000,82620000,382539000,372067000,10472000,468680000,141263000,33056000,108207000,953326000,1422006000,-4764000,-736028000,-812000,-125995000,-125995000,1296011000,-44625000,9988000,26610000,12715000,4688000,-4175000,-17491000,1036000,1036000,71048000,-49287000,-62090000,-62090000,-423000,-62513000,-30720000,812063000,-21780000,0.67105,-0.26846,-0.29429,0.35418,-0.03443,0.48807,0.92331,-11.28621,0.62659,-0.79721,-0.79721,2.70895,-2.25085,-0.38909,-0.05394,-0.02633,-19.16117,-14.45984
"27","2022_Q2",82.6338709677419,"Down",157384000,-51289000,106095000,-146474000,-96662000,-75146000,-21516000,-49812000,-40379000,-3184000,-2581000,112000,-603000,-43563000,-43563000,-1436000,-44999000,-44999000,-44999000,-44999000,234520000,141365000,107320000,107320000,69035000,38051000,410875000,49804000,784896000,108246000,515333000,161317000,862995000,1273870000,68665000,12163000,56502000,390938000,378338000,12600000,459603000,137823000,30616000,107207000,950818000,1410421000,-4764000,-781027000,648658000,-136551000,-136551000,1273870000,-44999000,10169000,30427000,14806000,10403000,-3053000,-35911000,6669000,6669000,-3461000,3208000,-22300000,-22300000,-8e+05,-23100000,-30210000,812995000,-17021000,0.67412,-0.25656,-0.28592,0.32954,-0.03532,0.37825,0.89398,-10.3289,0.63821,-0.7929,-0.7929,2.77317,-2.41634,-0.29992,-0.05526,-0.0209,-19.14846,-14.32613
"28","2022_Q3",61.72921875,"Down",167455000,-54275000,113180000,-147831000,-98924000,-78034000,-20890000,-48907000,-34651000,-4918000,-2515000,243000,-2403000,-39569000,-39569000,-37000,-39606000,-39606000,-39606000,-39606000,239713000,163469000,124701000,124701000,65588000,34221000,430002000,50533000,790683000,105785000,515631000,169267000,855546000,1285548000,73180000,6832000,66348000,410490000,395208000,15282000,483670000,136083000,33098000,102985000,950033000,1433703000,-4764000,-820633000,676656000,-148155000,-148155000,1285548000,-39606000,10223000,35177000,1655000,7449000,-4171000,21461000,246000,246000,-2016000,-1782000,27128000,27128000,-2871000,24257000,-24428000,813950000,-26907000,0.67588,-0.20693,-0.23652,0.26733,-0.03081,0.67937,0.88904,-9.67705,0.63315,-0.68005,-0.68005,2.87526,-2.55393,-0.462,-0.04939,-0.03355,-23.50733,-16.57202
