"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",18.7627419354839,"Up",1.772e+09,-1.424e+09,3.48e+08,-1.46e+08,-1.56e+08,1.8e+07,2.02e+08,-7.2e+07,-7.2e+07,1.3e+08,1.3e+08,-1.3e+07,1.17e+08,1.17e+08,1.17e+08,1.17e+08,6.08e+08,6.08e+08,5.12e+08,3.33e+08,8.3e+07,1.33e+08,1.957e+09,7.928e+09,7.928e+09,2.453e+09,2.33e+08,1.972e+09,1.0381e+10,1.2338e+10,9.14e+08,3.56e+08,5.58e+08,1.254e+09,3.951e+09,2.78e+09,1.334e+09,6.731e+09,7.985e+09,5.368e+09,1.69e+08,-1.197e+09,4.34e+09,4.353e+09,1.2338e+10,1.17e+08,1.12e+08,2.5e+07,-1.32e+08,1.22e+08,-6.8e+07,-9.8e+07,-1.66e+08,-8.1e+07,-1.81e+08,6.6e+07,6.6e+07,-1.3e+07,-2.09e+08,-2.53e+08,-2.53e+08,-2.53e+08,3.14e+08,4.291e+09,1.27e+08,0.19639,0.114,0.06603,0.02688,0.00948,1.08547,1.56061,1.83437,0.34779,0.21703,0.21574,3.28694,8.05039,0.23558,0.15025,6,0.01733,0.01112,0.69231,11.7293,18.23267
"12","2013_Q1",21.1,"Up",9.3e+08,-7.63e+08,1.67e+08,-2.8e+07,-5e+07,3.1e+07,1.39e+08,-7.4e+07,-7.4e+07,6.5e+07,6.5e+07,5e+06,7e+07,1.42e+08,1.43e+08,1.43e+08,8.98e+08,8.98e+08,5.31e+08,9.78e+08,8.8e+07,8.02e+08,2.407e+09,7.854e+09,7.854e+09,2.331e+09,3.68e+08,1.71e+09,1.0185e+10,1.2592e+10,1.035e+09,3.73e+08,6.62e+08,1.605e+09,4.393e+09,2.481e+09,5.51e+08,6.874e+09,8.479e+09,5.409e+09,2.19e+08,-1.558e+09,4.07e+09,4.113e+09,1.2592e+10,1.42e+08,1.18e+08,7.9e+07,-1.8e+07,3.21e+08,-2.2e+07,4.2e+07,2e+07,-9.2e+07,2.98023223876953e-08,3.9e+07,3.9e+07,2e+06,-5.1e+07,2.9e+08,2.9e+08,2.9e+08,2.57e+08,4.963e+09,2.12e+08,0.17957,0.14946,0.15376,0.03477,0.01136,1.48252,1.49969,2.06151,0.39414,0.26378,0.26135,1.71548,7.50754,0.39106,0.1697,5,0.02033,0.01834,0.64336,15.81712,29.2446
"13","2013_Q2",21.1803125,"Up",1.951e+09,-1.533e+09,4.18e+08,-1.62e+08,-1.69e+08,1.4e+07,2.56e+08,-7.1e+07,-7.1e+07,1.85e+08,1.85e+08,-4.1e+07,1.44e+08,1.44e+08,1.44e+08,1.44e+08,6.39e+08,6.39e+08,5.96e+08,4.18e+08,8.9e+07,1.4e+08,2.281e+09,7.692e+09,7.692e+09,2.537e+09,2.74e+08,2.012e+09,1.0229e+10,1.251e+10,8.88e+08,3.57e+08,5.31e+08,1.072e+09,3.951e+09,3.211e+09,1.309e+09,7.162e+09,8.234e+09,5.51e+09,2.64e+08,-1.53e+09,4.244e+09,4.276e+09,1.251e+10,1.44e+08,1.12e+08,2.4e+07,-3.39e+08,-5.9e+07,-4.2e+07,65879635.1692588,-4.2e+07,-9.3e+07,-1.56e+08,8.1e+07,8.1e+07,1.2e+07,-1.56e+08,-2.57e+08,-2.57e+08,-2.57e+08,3.68e+08,4.135e+09,2.8e+07,0.21425,0.13121,0.07381,0.03368,0.01151,0.19444,2.1278,1.92563,0.33054,0.26411,0.26145,3.57828,7.78381,0.05135,0.17057,6,0.02039,0.00241,0.64583,9.5,13.65625
"14","2013_Q3",19.9425,"Down",1.678e+09,-1.292e+09,3.86e+08,-9.6e+07,-9.6e+07,8e+06,2.9e+08,-7.3e+07,-7.3e+07,2.17e+08,2.17e+08,-3.4e+07,1.83e+08,1.98e+08,1.98e+08,1.96e+08,9.12e+08,9.12e+08,5.61e+08,3.57e+08,9.6e+07,1.17e+08,2.419e+09,7.64e+09,7.64e+09,2.399e+09,2.65e+08,1.886e+09,1.1489e+10,1.3908e+10,9.14e+08,3.41e+08,5.73e+08,1.079e+09,4.466e+09,2.457e+09,6.34e+08,6.923e+09,8.002e+09,7.012e+09,3.5e+08,-1.508e+09,5.868e+09,5.906e+09,1.3908e+10,1.98e+08,1.11e+08,2e+07,43000000.0000001,3.72e+08,-4.7e+07,1.8e+07,-2.9e+07,-1.09e+08,6.48e+08,8.32e+08,8.32e+08,7e+06,1.378e+09,1.721e+09,1.721e+09,1.721e+09,4.01e+08,4.631e+09,4.31e+08,0.23004,0.17282,0.11681,0.03319,0.01409,2.19898,2.24189,1.35489,0.33297,0.35438,0.35151,3.0339,10.58429,0.77927,0.19708,7,0.02347,0.03317,0.55612,9.27431,12.82414
"15","2013_Q4",21.286875,"Up",1.857e+09,-1.479e+09,3.78e+08,-1.35e+08,-1.3e+08,3e+06,2.43e+08,-7.3e+07,-7.3e+07,1.7e+08,1.7e+08,-2.4e+07,1.46e+08,1.67e+08,1.67e+08,1.57e+08,9.03e+08,9.03e+08,5.33e+08,9.5e+08,1.14e+08,7.23e+08,2.972e+09,1.0345e+10,1.0345e+10,1.798e+09,2.61e+08,1.289e+09,1.2637e+10,1.5609e+10,9.85e+08,3.62e+08,6.23e+08,9.87e+08,6.084e+09,2.421e+09,6.5e+08,8.505e+09,9.492e+09,7.148e+09,3.79e+08,-1.463e+09,6.078e+09,6.117e+09,1.5609e+10,1.67e+08,1.2e+08,7e+06,4.9e+07,3.43e+08,-7.5e+07,9e+06,-1.647e+09,-1.28e+08,3.31e+08,1.25e+08,1.25e+08,1.1e+07,3.39e+08,-9.65e+08,-9.65e+08,-9.65e+08,3.63e+08,6.086e+09,3.61e+08,0.20355,0.13086,0.08454,0.02567,0.01006,2.29936,3.01114,1.55174,0.3899,0.26921,0.26738,3.18417,10.39786,0.619,0.21948,6,0.01949,0.02469,0.81529,14.27824,21.32922
"16","2014_Q1",21.5159016393443,"Up",1.768e+09,-1.412e+09,3.56e+08,-5.11e+08,-1.34e+08,-3.67e+08,-1.55e+08,-9.8e+07,-9.8e+07,-2.53e+08,-2.52e+08,2.7e+08,1.8e+07,5.4e+07,5.4e+07,4.3e+07,8.3e+08,8.3e+08,5.42e+08,9.54e+08,1.17e+08,6.19e+08,2.326e+09,9.381e+09,9.381e+09,2.87e+09,4999999.99999994,9.39e+08,1.2251e+10,1.4577e+10,9.72e+08,3.43e+08,6.29e+08,1.128e+09,5.402e+09,1.215e+09,3.82e+08,6.617e+09,7.745e+09,7.173e+09,2.94e+08,-6.86e+08,6.795e+09,6.832e+09,1.4577e+10,5.4e+07,1.29e+08,3.04e+08,-8.1e+07,4.06e+08,-1.09e+08,-6e+07,-1.69e+08,-1.51e+08,-6.77e+08,2.1e+07,2.1e+07,8e+06,-7.99e+08,-5.62e+08,-5.62e+08,-5.62e+08,-2.6e+07,5.404e+09,-4.86e+08,0.20136,-0.0876699999999999,0.02432,0.00629,0.00295,-11.30233,2.06206,1.13364,0.37072,0.07366,0.07296,3.02843,11.61526,-0.83248,0.25865,6,0.01442,-0.03613,3.51163,-175.92308,-29.50968
"17","2014_Q2",21.8152380952381,"Up",1.736e+09,-1.361e+09,3.75e+08,-6.7e+07,-1.16e+08,5.6e+07,3.08e+08,-7.4e+07,-7.4e+07,2.34e+08,2.34e+08,-5e+07,1.84e+08,1.94e+08,1.94e+08,1.83e+08,7.8e+08,7.8e+08,6.26e+08,9.09e+08,1.08e+08,5.94e+08,2.315e+09,9.937e+09,9.937e+09,2.253e+09,3.7e+07,1.971e+09,1.219e+10,1.4505e+10,1.07e+09,4.09e+08,6.61e+08,1.072e+09,5.407e+09,1.141e+09,3.64e+08,6.548e+09,7.62e+09,7.195e+09,3.44e+08,-7.01e+08,6.852e+09,6.885e+09,1.4505e+10,1.94e+08,1.26e+08,-4.6e+07,-1.65e+08,1.09e+08,-4.6e+07,0,-4.6e+07,-1.29e+08,111313798.371729,1.5e+07,1.5e+07,-4e+06,-1.18e+08,-5.5e+07,-5.5e+07,-5.5e+07,4.34e+08,5.409e+09,2.73e+08,0.21601,0.17742,0.10541,0.02658,0.01262,1.4918,2.15951,1.10675,0.37291,0.31287,0.31053,2.96795,11.69059,0.46673,0.22054,5,0.02322,0.02032,0.70492,10.6659,15.02922
"18","2014_Q3",23.79796875,"Up",1.964e+09,-1.499e+09,4.65e+08,-64999999.9999999,-1.15e+08,5.7e+07,4e+08,-7.2e+07,-7.2e+07,3.28e+08,3.28e+08,-5.9e+07,2.69e+08,2.91e+08,2.91e+08,2.8e+08,8.45e+08,8.45e+08,5.96e+08,1.259e+09,1.06e+08,3.7e+07,3.29e+09,9.327e+09,9.327e+09,3.089e+09,90855537.9304204,1.034e+09,1.2416e+10,1.5706e+10,9.32e+08,3.35e+08,5.97e+08,1.069e+09,5.402e+09,2.092e+09,3.34e+08,7.494e+09,8.563e+09,7.246e+09,4.95e+08,-6.63e+08,7.092e+09,7.143e+09,1.5706e+10,2.91e+08,1.26e+08,-6e+06,-8.9e+07,3.22e+08,-9.3e+07,-5.96046447753906e-08,-9.3e+07,-1.39e+08,8.87e+08,3.9e+07,3.9e+07,-8.88e+08,-1.01e+08,1.28e+08,1.28e+08,1.28e+08,5.26e+08,5.402e+09,4.03e+08,0.23676,0.20367,0.14257,0.0392,0.01783,1.43929,3.07764,1.1988,0.34394,0.47777,0.47476,3.35119,12.07724,0.68764,0.23718,7,0.02863,0.02753,0.49643,8.66350000000001,11.3925
"19","2014_Q4",25.21125,"Up",1.915e+09,-1.504e+09,4.11e+08,-9.3e+07,-1.01e+08,1.3e+07,3.18e+08,-8.1e+07,-8.1e+07,2.37e+08,2.37e+08,-3.9e+07,1.98e+08,1.164e+09,1.164e+09,1.153e+09,1.62e+09,1.62e+09,5.78e+08,2.31e+08,9.7e+07,2.3e+07,3.012e+09,9.295e+09,9.295e+09,1.133e+09,81111575.0858247,9.07e+08,1.0428e+10,1.344e+10,9.57e+08,3.51e+08,6.06e+08,9.57e+08,5.402e+09,1.225e+09,3.18e+08,6.627e+09,7.584e+09,5.205e+09,1.494e+09,-8.57e+08,5.856e+09,5.856e+09,1.344e+10,1.164e+09,1.23e+08,-9.7e+08,3.6e+07,3.53e+08,-1.08e+08,7.32e+08,6.24e+08,-1.65e+08,0,-9.3e+07,3e+07,-7e+06,-2.65e+08,7.12e+08,7.12e+08,7.12e+08,4.41e+08,5.402e+09,4.08e+08,0.21462,0.16606,0.60209,0.19689,0.08579,0.35386,3.14734,1.29508,0.40193,2.16765,2.15107,3.60021,10.983,0.76704,0.3102,6,0.10558,0.03268,0.1431,8.57596,11.89308
"20","2015_Q1",25.8552459016393,"Up",-1.26e+08,1.81e+08,5.5e+07,-9.4e+07,-7.1e+07,-2.2e+07,-39000000.0000001,-7.3e+07,-7.3e+07,-1.12e+08,-1.12e+08,7.7e+07,-3.5e+07,1.77e+08,1.77e+08,1.66e+08,1.58e+09,1.58e+09,5.95e+08,6.3e+08,8e+07,5.5e+08,2.805e+09,9.284e+09,9.284e+09,1.176e+09,4.4e+07,9.04e+08,1.046e+10,1.3265e+10,9.18e+08,3.31e+08,5.87e+08,9.18e+08,5.402e+09,1.641e+09,3.08e+08,7.043e+09,7.961e+09,5.175e+09,1.508e+09,-1.393e+09,5.304e+09,5.304e+09,1.3265e+10,1.77e+08,1.25e+08,9.83e+08,7999999.99999999,1.293e+09,-1.2e+08,-9.72e+08,-1.092e+09,-1.74e+08,0,-4.5e+07,3.5e+07,-21999999.9999999,-2.41e+08,-4e+07,-4e+07,-4e+07,85999999.9999999,5.402e+09,-1.03e+08,-0.43651,0.30952,-1.31746,0.0313,0.01251,-0.62048,3.05556,1.50094,0.40724,0.31684,0.31409,-0.240489999999999,10.09675,-0.19659,0.3321,6,0.02754,-0.00834,1.04819,44.44186,-98
