"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",3.703125,"Down",5000,-28289000,-14298000,-13991000,-28284000,641000,-33000,169000,-27643000,-27643000,124000,-27519000,-27519000,-27519000,-27519000,121789000,11196000,5013000,4958000,126802000,76826000,2626000,366000,103043000,229845000,15643000,3566000,12077000,3755000,3755000,19398000,8424000,8050000,10087000,29485000,726961000,-526046000,-555000,200360000,200360000,229845000,-27519000,1623000,9335000,1050000,-15511000,-4902000,7822000,2920000,-65000,23000,23000,-43000,-85000,-12676000,-12676000,-12676000,-26661000,1663000,-30637000,-5656.8,-5503.8,-0.13735,-0.11973,1.1133,6.53686,0.14716,0.00724,-0.34818,-0.34818,6e-05,2.53503,-0.38763,-0.13076,4.50568,4.24714
"12","2018_Q3",3.16142857142857,"Down",4000,-28282000,-13594000,-14688000,-28278000,423000,-106000,39000,-27855000,-27855000,123000,-27732000,-27732000,-27732000,-27732000,104944000,16122000,5149000,4734000,110093000,78211000,2049000,354000,101340000,211433000,17019000,5502000,11517000,3173000,3173000,20192000,3343000,3093000,9610000,29802000,735857000,-553778000,-448000,181631000,181631000,211433000,-27732000,2369000,8948000,149000,-16266000,-2492000,23885000,21393000,-133000,11999.9999999991,12000.0000000001,-80000,-201000,4926000,4926000,4926000,-25909000,6267000,-28375000,-7069.5,-6933,-0.15268,-0.13116,1.02319,5.45231,0.16408,0.02964,-0.35056,-0.35056,5e-05,2.29601,-0.35869,-0.14501,3.8086,3.48953
"13","2018_Q4",2.28777777777778,"Down",31000,-24139000,-9580000,-14559000,-24108000,345000,-149000,47000,-23763000,-23763000,128000,-23635000,-23635000,-23635000,-23635000,83308000,15310000,17262000,16432000,100570000,77273000,2713000,1583000,101071000,201641000,26310000,3525000,22785000,4094000,4094000,30404000,3043000,2921000,9151000,39555000,739847000,-577413000,-348000,162086000,162086000,201641000,-23635000,2776000,4155000,-867000,-17571000,-3643000,20517000,16874000,-137000,22000,22000,0,-115000,-812000,-812000,-812000,-21332000,6108000,-25970000,-777.67742,-762.41935,-0.14582,-0.11721,1.09879,3.30779,0.24404,0.03029,-0.2984,-0.2984,0.00039,2.04642,-0.32788,-0.13803,3.61898,3.20226
"14","2019_Q1",1.25540983606557,"Down",7000,-17726000,-5246000,-12480000,-17719000,251000,-145000,-19000,-17468000,-17468000,128000,-17340000,-17340000,-17340000,-17340000,74149000,16821000,14623000,13810000,88772000,76885000,2092000,1527000,93178000,181950000,23897000,2793000,21104000,3363000,3363000,27260000,2739000,2739000,8684000,35944000,741254000,-594981000,-267000,146006000,146006000,181950000,-17340000,2787000,1406000,-886000,-14033000,-1653000,17567000,15914000,392000,-285000.000000002,-57000,-477000,-370000.000000002,1511000,1511000,1511000,-14932000,5945000,-17599000,-2531.28571,-2477.14286,-0.11876,-0.0953,1.01494,3.25649,0.24618,0.03267,-0.21899,-0.21899,9e-05,1.84397,-0.22226,-0.1121,4.56764,3.8492
"15","2019_Q2",1.15349206349206,"Down",5000,-18340000,-5742000,-12598000,-18335000,414000,-3000,47000,-17921000,-17921000,36000,-17885000,-17885000,-17885000,-17885000,98549000,22279000,14881000,13595000,113430000,67921000,13469000,13469000,94831000,208261000,23046000,2804000,20242000,4655000,4655000,27701000,12752000,12752000,12752000,40453000,781800000,-613786000,-206000,167808000,167808000,208261000,-17885000,2395000,1921000,491000,-13078000,-2104000,-17355000,-19459000,0,39221000,39221000,-26000,39195000,6658000,6658000,6658000,-15940000,0,-17589000,-3667,-3577,-0.10658,-0.08588,0.98345,4.0948,0.24107,0,-0.22009,-0.22009,6e-05,2.06504,-0.21645,-0.09905,6.1825,5.37491
"16","2019_Q3",1.240625,"Up",17000,-17313000,-4182000,-13131000,-17296000,616000,5.82076609134674e-11,83000,-16680000,-16680000,-2000,-16682000,-16682000,-16682000,-16682000,84052000,17279000,2996000,2746000,87048000,65089000,12823000,12823000,88648000,175696000,8393000,1927000,6466000,4037000,4037000,12430000,11997000,11997000,11997000,24427000,782322000,-630969000,-84000,151269000,151269000,175696000,-16682000,2206000,1904000,-4255000,-16827000,-985000,12366000,11381000,9.31322574615479e-10,-503999.999999993,0,0,-504000,-5950000,-5950000,-5950000,-15090000,0,-20328000,-1017.41176,-981.29412,-0.11028,-0.09495,1.21856,7.00306,0.16148,-3.46944695195361e-18,-0.16903,-0.16903,0.00017,1.53277,-0.20598,-0.10218,5.57005,4.85962
"17","2019_Q4",1.7015625,"Up",12000,-16077000,-4025000,-12052000,-16065000,484000,-5000,56000,-15581000,-15581000,0,-15581000,-15581000,-15581000,-15581000,66057000,18291000,5556000,5556000,71613000,62157000,15691000,15691000,88594000,160207000,7366000,2115000,5251000,5153000,5153000,12519000,11732000,11732000,11732000,24251000,782559000,-646550000,-53000,135956000,135956000,160207000,-15581000,2202000,1286000,-4479000,-16572000,-413000,17787000,17374000,35151000,-35151000,-35151000,-40000,-40000,762000,762000,762000,-13863000,0,-18755000,-1338.75,-1298.41667,-0.1146,-0.09726,1.20371,5.72035,0.17837,0,-0.15831,-0.15831,0.00012,1.38134,-0.19055,-0.1055,4.76499,4.11186
"18","2020_Q1",5.00838709677419,"Up",2168000,-106723000,-32507000,-74216000,-104555000,-5526000,-3470000,-720000,-110081000,-110081000,71000,-110010000,-110010000,-107629000,-107629000,51652000,15508000,4105000,4105000,55757000,60501000,16115000,16115000,87366000,143123000,7092000,1749000,5343000,4467000,4467000,11559000,10885000,10885000,10885000,22444000,782975000,-662191000,-105000,120679000,120679000,143123000,-110010000,7239000,4532000,-7393000,-105632000,-585000,12341000,9256000,47670000,28019000,30016000,-61000,75628000,-20748000,-20748000,-20769000,-97316000,0,-105365000,-48.2264800000003,-49.64437,-0.89186,-0.752,0.97896,4.82369,0.18598,-8.67361737988404e-19,-1.09306,-1.09306,0.02202,1.2256,-1.07007,-0.81807,0.53077,0.494019999999999
"19","2020_Q2",5.64603174603175,"Up",165000,-36867000,-9493000,-27374000,-36702000,-707000,-1889000,1104000,-37409000,-37409000,-18000,-37427000,-37427000,-37038000,-37038000,40215000,16952000,3910000,3910000,44125000,58539000,15106000,15106000,82898000,127023000,9782000,3148000,6634000,4466000,4466000,14248000,10180000,10180000,10180000,24428000,783297000,-680574000,-128000,102595000,102595000,127023000,-37427000,3461000,2806000,53000,-31107000,-315000,14309000,13994000,73925400.8699395,96706267.3070238,98239586.3222619,-123000,-123000,-17236000,-17236000,-17147000,-33241000,0,-33485000,-222.43636,-224.47273,-0.36101,-0.29158,0.90407,3.09693,0.2381,0,-0.37612,-0.37612,0.00168,1.04186,-0.34004,-0.32842,1.2098,1.09572
"20","2020_Q3",9.97,"Up",436000,-51352000,-18347000,-33005000,-50916000,-1056000,-1059000,81000,-51972000,-51972000,-45000.0000000001,-52017000,-52017000,-51439000,-51439000,110623000,102698000,4664000,4664000,115287000,58615000,13009000,13009000,80877000,196164000,11420000,3971000,7449000,5629000,5629000,17049000,9462000,9462000,9462000,26511000,870419000,-700666000,-1e+05,169653000,169653000,196164000,-52017000,3498000,2131000,365999.999999998,-46022000,-8999.99999999988,15283000,15274000,93885674.0370863,87380000,87380000,-40000.0000000001,87340000,56592000,56592000,56508000,-47418000,-1.86264514923096e-09,-47016000,-116.77982,-117.97936,-0.3032,-0.26222,0.91401,6.7621,0.15627,-6.93889390390723e-18,-0.5208,-0.5208,0.00441,1.71766,-0.47602,-0.28718,2.33293,2.17266
"21","2020_Q4",9.6190625,"Down",151000,-66028000,-30256000,-35772000,-65877000,-1993000,-2077000,84000,-67870000,-67870000,1700000,-66170000,-66170000,-65603000,-65603000,89041000,27688000,8977000,8977000,98018000,55864000,16631000,16631000,82517000,180535000,11657000,6160000,5497000,9006000,9006000,20663000,11250000,11250000,11250000,31913000,871181000,-722442000,-117000,148622000,148622000,180535000,-66170000,3554000,12765000,12860000,-36991000,-2044000,-54581000,-56625000,63700000,-161000,-161000,-322000,63217000,-30399000,-30399000,-30477000,-62323000,0,-53207000,-436.27152,-434.45695,-0.44141,-0.36338,0.81105,4.74365,0.21473,0,-0.60566,-0.60566,0.00139,1.3721,-0.49122,-0.41035,1.4287,1.35162
"22","2021_Q1",25.9252459016393,"Up",-147000,-56578000,-13222000,-43356000,-56725000,-1397000,-1614000,217000,-58122000,-68782000,209000,-68573000,-68573000,-67771000,-67771000,96061000,34915000,15652000,13649000,111713000,72541000,28328000,26865000,109668000,221381000,48281000,11510000,36771000,19853000,19853000,68134000,17384000,17214000,271737000,339871000,1495201000,-1615131000,122000,-119808000,-118490000,221381000,-68573000,2226000,5662000,3081000,-57604000,699000,6846000,7545000,0,259000.000000007,259000,-18000.0000000002,241000,-49818000,-49818000,-49770000,-54499000,254353000,-50928000,385.88435,461.02721,0.57196,-0.30613,0.75147,1.63961,-2.86835,1.14894,-0.62379,-0.62379,-0.00135,-1.10275,-0.46876,-0.44223,-2.90449,-2.79052
"23","2021_Q2",16.5195238095238,"Down",139000,-86403000,-45275000,-41128000,-86264000,5789000,5776000,13000,-80475000,-80475000,-6000,-80481000,-80481000,-79614000,-79614000,83273000,44679000,16299000,14242000,99572000,80875000,27981000,26543000,109856000,209428000,56890000,20097000,36793000,22973000,22973000,79863000,17615000,17445000,314901000,394764000,1508996000,-1694745000,-38000,-185787000,-185336000,209428000,-80481000,2972000,11554000,5486000,-60469000,-7083000,38928000,31845000,4e+07,1121000,1121000,-2624000,38497000,9873000,9873000,9764000,-83292000,297286000,-84883000,-620.60432,-572.76259,0.42957,-0.38015,1.06618,1.24679,-2.12999,1.41951,-0.20801,-0.20801,0.00036,-0.48541,-0.22178,-0.61447,-2.56943,-2.48091
"24","2021_Q3",11.0034375,"Down",339000,-86245000,-32445000,-53800000,-85906000,-3477000,-3754000,277000,-89383000,-89383000,-1999.99999999997,-89385000,-89385000,-88288000,-88288000,103928000,83958000,9803000,7756000,113731000,89023000,42725000,41280000,132570000,246301000,55287000,19153000,36134000,19141000,19141000,74428000,30206000,30036000,330458000,404886000,1625057000,-1783033000,36999.9999999999,-157939000,-158585000,246301000,-89385000,3984000,21690000,-5884000,-69595000,-8045000,18534000,10489000,0,98337000,98337000,-4.65661287307739e-10,98337000,39231000,39231000,39279000,-81922000,300252000,-95849000,-253.41003,-260.43658,0.55672,-0.35846,1.08564,1.52807,-2.55312,1.21904,-0.23067,-0.23067,0.00089,-0.41265,-0.25043,-0.51368,-2.39647,-2.28534
"25","2021_Q4",7.51328125,"Down",66000,-78902000,-29625000,-49277000,-78836000,-9593000,-9555000,-38000,-88429000,-88429000,-497.137806412647,-88429000,-88429000,-87629000,-87629000,80372000,64524000,14080000,12776000,94452000,69878000,49289000,47857000,119969000,214421000,53639000,15120000,38519000,11769000,11769000,65408000,35717000,35547000,338957000,404365000,1682111000,-1870662000,53000,-188498000,-189944000,214421000,-88429000,3687000,23954000,-11928000,-72716000,12466000,-1884000,10582000,7.45058059692383e-09,42600000,42600000,56000,42656000,-19478000,-19478000,-19434000,-75149000,303240000,-93157416.6785927,-1194.48485,-1327.71212,0.46134,-0.40868,0.984834398897168,1.44404,-2.12886,1.41423,-0.22363,-0.22363,0.00017,-0.48104,-0.347190915840827,-0.58806,-2.96568,-2.82698
"26","2022_Q1",6.13516129032258,"Down",390000,-79664000,-27911000,-51753000,-79274000,-11475000,-11416000,-59000,-90749000,-91552000,-999.999999999985,-91553000,-91553000,-91259000,-91259000,317116000,181101000,17231000,15898000,334347000,82863000,50878000,49458000,134563000,468910000,62805000,11418000,51387000,306190000,306190000,368995000,37479000,37479000,343828000,712823000,1719704000,-1961921000,4000,-242173000,-243913000,468910000,-91553000,3595000,23105000,-6786000,-71639000,-10403000,-127399000,-137802000,298500000,27933000,27933000,-480000,325953000,116512000,116512000,116577000,-75679000,306349000,-92867000,-203.26667,-233.997440000001,0.37415,-0.19462,1.01762,0.9061,-2.92245,0.65332,-0.23289,-0.23289,0.001,-0.61812,-0.23699,-0.91337,0.142269999999999,0.135819999999999
"27","2022_Q2",4.01661290322581,"Down",14000,-95986000,-40608000,-55378000,-95972000,-6829000,-6825000,-4000,-102801000,-102998000,-169508.586580762,-102998000,-102998000,-102826000,-102826000,192332000,36385000,20009000,16116000,212341000,105217000,71164000,48815000,177246000,389587000,72300000,9832000,62468000,9102000,9102000,381014000,36701000,36539000,346129000,727143000,1729470000,-2064747000,-367000,-335644000,-337556000,389587000,-102998000,4090000,14366000,9612000,-74930000,-48576000,-19737000,-68313000,1155816238.6162,74000,74000,-1372000,-1298000,-144541000,-144541000,-144716000,-91882000,609040000,-105990999.964222,-6855.14286,-7344.71429,0.30462,-0.26394,1.3786993033085,0.5573,-2.15414,1.5633,-0.26241,-0.26241,4e-05,-0.85655,0.304580247522482,-0.33365,-4.53525,-4.34197
"28","2022_Q3",4.55703125,"Up",34999.9999999999,-79657000,-16575000,-63082000,-79622000,-11313000,-11498000,185000,-90935000,-94835000,-672022.897548699,-94835000,-94835000,-94588000,-94588000,82938000,61900000,32052000,30601000,114990000,119445000,82368000,60630000,202727000,317717000,70404000,18053000,52351000,5561999.99999994,5561999.99999994,376050000,51100000,50938000,363641000,739691000,1739630000,-2159335000,-110000,-419815000,-421974000,317717000,-94835000,4444000,21442000,-22303000,-91252000,-15949000,132621000,116672000,2830448715.84861,0,0,-15000,-15000,25405000,25405000,25659999.9999999,-75178000,612625000,-143542666.571258,-2274.91429,-2702.51429,0.22416,-0.29771,2.26277480882266,0.30578,-1.75293,1.92821,-0.23766,-0.23766,8.99999999999999e-05,-1.05483,1.50192732672662,-0.39126,-7.04577,-6.65252
