"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",48.8390625,"Up",89644000,-26856000,62788000,-80311000,-58109000,-12904000,-8253000,-17523000,-4873000,-4873000,-22396000,-23965000,103000,-23862000,-23862000,-23862000,-23862000,119734000,65179000,54555000,30701000,30701000,6497000,6497000,156932000,7995000,652597000,153493000,498277000,827000,660592000,817524000,37812000,3290000,34522000,37812000,210432000,18412000,12258000,6154000,228844000,266656000,882866000,-335439000,3441000,550868000,550868000,817524000,-23862000,8253000,11413000,-9675000,-13871000,-557000,2.5e+07,-471000,23972000,3555000,12198000,22299000,22299000,22362000,-9270000,210432000,-19605000,0.70041,-0.19547,-0.26619,-0.04332,-0.02919,0.8216,4.15032,0.48407,0.2574,-0.38613,-0.38613,1.4506,8.91401,-0.31724,-0.0306,-0.02514,-9.78403,-5.17594
"12","2018_Q3",71.2722222222222,"Up",94560000,-27684000,66876000,-83293000,-60260000,-14348000,-8046000,-16417000,-6910000,-6910000,-23327000,-25057000,-22000,-25079000,-25079000,-25079000,-25079000,132363000,105804000,26559000,38100000,38100000,8396000,8396000,178859000,10034000,1011016000,264677000,745280000,1059000,1021050000,1199909000,57019000,5545000,51474000,57019000,402755000,40754000,35175000,5579000,443509000,500528000,1062426000,-360517000,-2528000,699381000,699381000,1199909000,-25079000,8046000,11035000,2352000,-3646000,-1458000,30829000,4583000,-239581000,-3055000,284616000,41389000,41389000,40625000,-8371000,402755000,-7455000,0.70723,-0.17361,-0.26522,-0.03586,-0.0209,0.29726,3.13683,0.71567,0.33565,-0.39819,-0.39819,1.50139,11.10449,-0.11837,-0.02194,-0.00652,-32.30104,-16.47024
"13","2018_Q4",61.1901587301587,"Down",110962000,-34167000,76795000,-92415000,-68285000,-13577000,-9746000,-15620000,-7666000,-7666000,-23286000,-23444000,180000,-23264000,-23264000,-23264000,-23264000,472528000,457554000,14974000,39965000,39965000,10760000,10760000,523253000,9717000,1002212000,256834000,744062000,1316000,1011929000,1535182000,58193000,4821000,53372000,58193000,408653000,40565000,34964000,5601000,449218000,507411000,1415910000,-383782000,-4357000,1027771000,1027771000,1535182000,-23264000,9746000,16359000,7340000,10181000,-717000,11500000,-1370000,461000,38999.9999999991,341349000,351991000,351991000,351750000,-5874000,408653000,569000,0.69208,-0.14077,-0.20966,-0.02264,-0.01515,-0.02446,8.99168,0.4937,0.26619,-0.34055,-0.34055,1.62434,15.04524,0.00833,-0.01575,0.00039,10.87419,4.08931
"14","2019_Q1",61.0514754098361,"Down",122741000,-40028000,82713000,-99116000,-74525000,-13544000,-9557000,-16403000,-6663000,-6663000,-23066000,-24500000,-379000,-24879000,-24879000,-24879000,-24879000,478534000,423989000,54545000,43571000,43571000,10631000,10631000,532736000,10148000,985992000,247394000,737197000,1401000,996140000,1528876000,62439000,7769000,54670000,62439000,414683000,38635000,32444000,6191000,453318000,515757000,1434850000,-408661000,-13070000,1013119000,1013119000,1528876000,-24879000,9557000,18945000,-1147000,2476000,4251000,-39506000,-7138000,-42348000,1182000,7449000,-32423000.0000001,-32423000.0000001,-31481000,-6846000,414683000,-3363000,0.67388,-0.13364,-0.2027,-0.02456,-0.01627,0.13517,8.5321,0.50908,0.27123,-0.35396,-0.35396,1.74626,14.41387,-0.04785,-0.01697,-0.00229,9.32676,3.89264
"15","2019_Q2",58.2819047619048,"Down",128573000,-44677000,83896000,-105771000,-78598000,-15987000,-9600000,-21875000,-6521000,-6521000,-28396000,-29408000,-742000,-30150000,-30150000,-30150000,-30150000,479703000,433958000,45745000,50583000,50583000,10503000,10503000,540789000,9841000,1000995000,238314000,734459000,28222000,1010836000,1551625000,71702000,7738000,63964000,71702000,420893000,57472000,29748000,27724000,478365000,550067000,1457227000,-438811000,-16858000,1001558000,1001558000,1551625000,-30150000,11563000,17694000,-6999000,-7892000,-571000,9e+06,-1093000,7336000,1848000,10702000,10146000,10146000,9969000,-10312000,420893000,-17140000,0.65252,-0.17014,-0.2345,-0.0301,-0.01943,0.56849,7.54217,0.54921,0.27126,-0.42513,-0.42513,1.81294,14.12246,-0.24168,-0.02037,-0.01158,5.70306,2.68846
"16","2019_Q3",65.814375,"Up",130276000,-41634000,88642000,-109529000,-80997000,-16665000,-9848000,-20887000,-7211000,-7211000,-28098000,-29234000,-90000.0000000002,-29324000,-29324000,-29324000,-29324000,472604000,440443000,32161000,49778000,49778000,10227000,10227000,532609000,9722000,1023013000,239344000,748073000,35596000,1032735000,1565344000,70421000,6079000,64342000,70421000,427197000,65086000,31710000,33376000,492283000,562704000,1483317000,-468135000,-12542000,1002640000,1002640000,1565344000,-29324000,10880000,25086000,-493000.000000001,6149000,-677000,13695000,-6875000,-5064000,-3524000,5198000,6283000,6283000,6485000,-10007000,427197000,-11087000,0.68042,-0.16033,-0.22509,-0.02925,-0.01873,0.37809,7.56321,0.56122,0.27291,-0.40884,-0.40884,1.81631,13.97882,-0.15458,-0.01962,-0.00742,4.53752,2.17394
"17","2019_Q4",76.10015625,"Up",137969000,-42799000,95170000,-113119000,-86122000,-15746000,-9617000,-17949000,-7700000,-7700000,-25649000,-27644000,7298000,-20346000,-20346000,-20346000,-20346000,490875000,475242000,15633000,53669000,53669000,13416000,13416000,557960000,10021000,1000448000,228838000,737647000,33963000,1010469000,1568429000,85202000,6068000,79134000,85202000,433760000,55729000,22720000,33009000,489489000,574691000,1510277000,-488481000,-28058000,993738000,993738000,1568429000,-20346000,11417000,16316000,6103000,13490000,-1599000,16470000,-1680000,13194000,34000,9153000,35837000,35837000,35812000,-6532000,433760000,-9326000,0.68979,-0.13009,-0.14747,-0.02047,-0.01297,0.45837,6.54867,0.57831,0.27656,-0.28196,-0.28196,1.91198,13.77128,-0.12924,-0.01372,-0.00629,8.74388,3.18207
"18","2020_Q1",116.33935483871,"Up",156489000,-55355000,101134000,-49330000,-28436000,-16246000,-9887000,51804000,-7581000,-7923000,44223000,-23169000,4125000,-19044000,-19044000,-19044000,-19044000,517064000,514353000,2711000,56948000,56948000,13990000,13990000,588002000,10296000,1004529000,225453000,746079000,32997000,1014825000,1602827000,77716000,9075000,68641000,90181000,440410000,58211000,21678000,34233000,498621000,588802000,1538789000,-507525000,-17239000,1014025000,1014025000,1602827000,-19044000,5092000,32089000,-15000,18122000,-663000,7935000,2258000,9547000,73000,10041000,37710000,37710000,38098000,56896000,440410000,52093000,0.64627,0.33104,-0.1217,-0.01878,-0.01188,-2.7354,6.52024,0.58066,0.27477,-0.26241,-0.26241,2.1563,13.97253,0.7178,-0.01259,0.03444,-1.34727,-1.47969
"19","2020_Q2",175.24619047619,"Up",180799000,-72382000,108417000,-125764000,-96797000,-19257000,-9710000,-17347000,-9303000,-8618000,-26650000,-30314000,711000,-29603000,-29603000,-29603000,-29603000,510775000,507956000,2819000,70721000,70721000,14932000,14932000,596428000,10092000,996557000,214666000,734386000,47505000,1006649000,1603077000,97164000,8142000,89022000,97164000,447221000,58515000,18848000,39667000,505736000,602900000,1572098000,-537128000,-34793000,1000177000,1000177000,1603077000,-29603000,9710000,25224000,-11651000,-6320000,-962000,0,-1966000,-11928000,164000,15053000,-3195000,-3195000,-6397000,-7637000,447221000,-20961000,0.59965,-0.09595,-0.16373,-0.0296,-0.01847,0.70807,6.13836,0.60279,0.27898,-0.40398,-0.40398,2.46727,13.64892,-0.28604,-0.01966,-0.01392,8.32185,3.66369
"20","2020_Q3",211.7659375,"Up",241030000,-90780000,150250000,-119175000,-86253000,-23029000,-9893000,31075000,-13151000,-13262000,17924000,-28081000,2399000,-25682000,-25682000,-25682000,-25682000,1311775000,1308843000,2932000,76902000,76902000,14433000,14433000,1403110000,9606000,1006112000,213474000,742314000,50324000,1015718000,2418828000,123548000,10816000,112732000,123548000,948178000,52173000,18976000,33197000,1000351000,1123899000,1879652000,-562810000,-21913000,1294929000,1294929000,2418828000,-25682000,9893000,41445000,9894000,35550000,-679000,-4.65661287307739e-10,-4483000,-9662000,4328000,773225000,799113000,799113000,800887000,40968000,948178000,47784000,0.62337,0.12893,-0.10655,-0.01983,-0.01062,-1.8606,11.3568,0.86792,0.392,-0.33545,-0.33545,3.14827,16.91401,0.62414,-0.01119,0.02082,-8.87515,-11.70063
"21","2020_Q4",203.33640625,"Down",288812000,-104725000,184087000,-154934000,-112044000,-29958000,-12932000,29153000,-17222000,-16969000,11931000,-38174000,2290000,-35884000,-35884000,-35884000,-35884000,1190369000,1187299000,3070000,85803000,85803000,22293000,22293000,1310043000,20364000,2118978000,386573000,1691355000,41050000,2139342000,3449385000,140495000,21408000,119087000,200825000,963385000,54139000,17896000,31359000,1017524000,1218349000,2835358000,-598694000,-5628000,2231036000,2231036000,3449385000,-35884000,13783000,36002000,18294000,32195000,-1231000,0,-8066000,-155460000,-6669000,422000,-122843000,-122843000,-121544000,42936000,963385000,57709000,0.63739,0.10094,-0.12425,-0.01608,-0.0104,-1.60821,6.52331,0.54609,0.27929,-0.42911,-0.42911,3.45366,26.67911,0.69009,-0.01105,0.01776,-5.28657,-7.78596
"22","2021_Q1",231.94737704918,"Up",383321000,-122942000,260379000,-567393000,-437736000,-92697000,-36960000,-307014000,-20819000,-21101000,-327833000,-479424000,85457000,-393967000,-393967000,-393967000,-393967000,786569000,733324000,53245000,169281000,169281000,47259000,47259000,1059607000,28551000,16667123000,2020864000,14581255000,65004000,16695674000,17755281000,224280000,46030000,178250000,332649000,1389518000,149310000,102103000,44758000,1538828000,1871477000,16857797000,-992661000,18518000,15883804000,15883804000,17755281000,-393967000,37806000,348245000,-107020000,-114936000,-1152000,2496000,-7503000,-413925000,-37159000,70436000,-458425000,-458425000,-453975000,-269208000,1432078000,-462837000,0.67927,-0.80093,-1.02777,-0.0248,-0.02219,1.17481,3.18536,0.11782,0.08066,-3.06413,-3.06413,2.98133,123.53735,-3.59978,-0.02256,-0.0265,-2.39781,-2.10254
"23","2021_Q2",162.030476190476,"Down",453675000,-145959000,307716000,-321278000,-194611000,-78008000,-48659000,-13562000,-16473000,-22125000,-30035000,-112610000,-87039000,-199649000,-199649000,-199649000,-199649000,722634000,720104000,2530000,178341000,178341000,73065000,73065000,1032330000,28436000,16521592000,1997214000,14451975000,72403000,16550028000,17582358000,176213000,34377000,141836000,260364000,1363381000,129115000,84876000,41523000,1492496000,1752860000,17016782000,-1192310000,5026000,15829498000,15829498000,17582358000,-199649000,49483000,201800000,-69660000,-18026000,-2115000,5e+07,-7994000,-16030000,1749000,22175000,-11881000,-11881000,-13220000,35921000,1363381000,51185000,0.67827,-0.02989,-0.44007,-0.01261,-0.01136,-0.25637,3.96495,0.11073,0.07754,-1.31203,-1.31203,2.98142,104.02673,0.33637,-0.01153,0.00295,17.83767,-47.24576
"24","2021_Q3",145.58875,"Down",503139000,-160273000,342866000,-346537000,-214437000,-80759000,-51341000,-3671000,-20256000,-20473000,-23927000,-130623000,-3196000.00000003,-133819000,-133819000,-133819000,-133819000,786262000,783724000,2538000,179436000,179436000,82149000,82149000,1104837000,28184000,16478098000,1963172000,14454712000,60214000,16506282000,17611119000,193315000,42077000,151238000,276227000,1210600000,123222000,81882000,37839000,1333822000,1610049000,17314908000,-1326129000,12291000,16001070000,16001070000,17611119000,-133819000,52180000,131170000,2686000,52217000,-2290000,10901000,-10364000,-2168000,3114000,11363000,61412000,61412000,63619999.9999999,48509000,1210600000,52101000.0000001,0.68145,-0.0073,-0.26597,-0.00836,-0.0076,-0.38934,3.99974,0.10062,0.06874,-0.87942,-0.87942,3.30648,105.15425,0.34239,-0.00772,0.00301,8.74761,-115.59194
"25","2021_Q4",119.52265625,"Down",521658000,-169041000,352617000,-346251000,-214094000,-80250000,-51907000,6366000,-19271000,-18895000,-12905000,-80697000,-3643000,-84340000,-84340000,-84340000,-84340000,826366000,823828000,2538000,178072000,178072000,95941000,95941000,1157316000,27027000,16468236000,1932012000,14470399000,65825000,16495263000,17652579000,216798000,34655000,182143000,302105000,1220936000,141956000,93824000,44057000,1362892000,1664997000,17399023000,-1410469000,-1132000,15987582000,15987582000,17652579000,-84340000,52744000,100564000,7623000,76591000,-1206000,0,-13894000,-34708000,-7354000,784000,42667000,42667000,41798000,59110000,1220936000,69170000,0.67595,0.0122,-0.16168,-0.00528,-0.00478,-0.82013,3.83084,0.10414,0.06916,-0.52899,-0.52899,3.27191,100.27538,0.43384,-0.00486,0.00399,6.67518,61.98084
"26","2022_Q1",72.0412903225807,"Down",554235000,-174985000,379250000,-356790000,-231591000,-72867000,-52332000,22460000,-19277000,-18872000,3183000,-60726000.0000002,49741000,-10985000.0000002,-10985000.0000002,-10985000.0000002,-10985000.0000002,896017000,893480000,2537000,168956000,168956000,87387000,87387000,1225439000,27234000,16481935000,1910278000,14504174000,67483000,16509169000,17734608000,242131000,47257000,194874000,332505000,1234962000,121384000,75777000,41773000,1356346000,1688851000,17473496000,-1421454000,-6285000,16045757000,16045757000,17734608000,-10985000.0000002,53165000,32000999.9999998,9027000,83208000,-2923000,0,-14433000,-20075000,986000,6625000,69758000,69758000,67958000,75625000,1234962000,31988000,0.68428,0.04052,-0.0198200000000001,-0.000680000000000035,-0.000619999999999976,-2.91197,3.68548,0.10525,0.06964,-0.0689000000000016,-0.0689000000000016,3.47624,100.64127,0.20063,-0.000630000000000002,0.00184,4.48192,15.09105
"27","2022_Q2",42.4748387096774,"Down",565350000,-187025000,378325000,-384868000,-238523000,-87412000,-58933000,-6543000,-4756000,-5480000,-11299000,-6674135000,-388000,-6674523000,-6674523000,-6674523000,-6674523000,838988000,836444000,2544000,191528000,191528000,106875000,106875000,1208045000,28419000,9855873000,1883897000,7899795000,72181000,9884292000,11092337000,210176000,47412000,162764000,306687000,1541032000,102008000,57516000,41608000,1643040000,1949727000,17177313000,-8023279000,-11424000,9142610000,9142610000,11092337000,-6674523000,59703000,6666707000,-83634000,-31747000,-3913000,0,-23654000,-27567000,-4449000,2816000,-56498000,-56498000,-57036000,53160000,1541032000,-33999000,0.66919,-0.01157,-11.806,-0.73005,-0.60172,0.00509,3.93902,0.21326,0.13893,-41.73029,-41.73029,3.53467,57.1612,-0.21257,-0.61883,-0.00315,13.20625,-107.29696
"28","2022_Q3",35.08171875,"Down",592379000,-182470000,409909000,-415639000,-275442000,-80826000,-59371000,-5730000,-6097000,-4337000,-11827000,-3102649000,1188000,-3101461000,-3101461000,-3101461000,-3101461000,883700000,881161000,2539000,205434000,205434000,107875000,107875000,1257269000,27403000,6818103000,1872172000,4858196000,87735000,6845506000,8102775000,273152000,94371000,178781000,371479000,1541464000,105182000,55926000,45883000,1646646000,2018125000,17239254000,-11124740000,-29864000,6084650000,6084650000,8102775000,-3101461000,60087000,3086257000,47586000,92469000,-2542000,0,-42295000,-44837000,-1021000,-1334000,46298000,46298000,44717000,54357000,1541464000,98213000,0.69197,-0.00967,-5.2356,-0.50972,-0.38277,-0.0316700000000001,3.3845,0.33167,0.19024,-19.21865,-19.21865,3.67076,37.70441,0.60859,-0.40116,0.0127,12.10081,-114.79302
