"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",41.525,"Up",624854000,-555240000,69614000,-20704000,-20704000,48910000,-1991000,-1996000,5000,46919000,46919000,-18198000,28721000,28721000,28721000,28721000,26621000,26621000,88278000,88278000,233355000,34002000,31273000,382256000,499239000,3065000,3065000,502304000,884560000,124237000,124237000,135343000,60228000,56228000,4e+06,205665000,341008000,157169000,386383000,543552000,543552000,884560000,28721000,15010000,3759000,18229000,65719000,-10380000,-10380000,159000,159000,-36411000,18928000,18928000,18928000,63920000,156543000,89967000,0.11141,0.07827,0.04596,0.05284,0.03247,3.13245,2.82435,0.62737,0.17697,1.28846,1.28846,28.03167,24.38437,4.03602,0.04291,0.11833,2.03257,2.65635
"12","2013_Q1",45.8076666666667,"Up",648379000,-612547000,35832000,-20325000,-20325000,15507000,-1806000,-1806000,0,13701000,13701000,-4354000,9347000,9347000,9347000,9347000,27802000,27802000,98022000,98022000,235912000,36051000,27639000,397787000,495313000,3353000,3353000,498666000,896453000,124837000,42082000,135594000,60572000,56572000,4e+06,210784000,346378000,158252000,391823000,550075000,550075000,896453000,9347000,15208000,725000,-8822000,16458000,-11126000,-11126000,198000,198000,-4151000,1181000,1181000,1181000,30715000,160969000,15121000,0.05526,0.02392,0.01442,0.01699,0.01043,1.61774,2.93366,0.62969,0.17956,0.41913,0.41909,29.07399,24.66593,0.67804,0.02224,0.0196,4.33557,8.58754
"13","2013_Q2",56.24625,"Up",595760000,-584867000,10893000,-20565000,-20565000,-9672000,-1631000,-1802000,171000,-11303000,-11303000,4360000,-6943000,-6943000,-6943000,-6943000,23816000,23816000,100948000,100948000,235122000,38361000,28637000,398247000,491628000,3321000,3321000,494949000,893196000,128056000,128056000,138813000,64681000,55481000,9200000,214708000,353521000,158697000,380978000,539675000,539675000,893196000,-6943000,15174000,1756000,-1616000,8371000,-11306000,-11306000,194000,194000,-1051000,-3986000,-3986000,-3986000,5502000,160784000,-11780000,0.01828,-0.01623,-0.01165,-0.01287,-0.00777,1.69667,2.86895,0.65506,0.18001,-0.31114,-0.31114,26.69774,24.18441,-0.5279,-0.00907,-0.0154,24.89422,-14.16129
"14","2013_Q3",61.7125,"Up",621195000,-562233000,58962000,-19832000,-19832000,39130000,-1923000,-1803000,-120000,37207000,37207000,-12836000,24371000,24371000,24371000,24371000,24087000,24087000,113092000,113092000,226590000,29361000,27466000,393130000,493957000,3142000,3142000,497099000,890229000,114418000,40714000,125175000,64278000,54378000,9900000,204118000,329293000,159510000,401426000,560936000,560936000,890229000,24371000,15115000,604000,-7898000,32192000,-17443000,-17443000,236000,236000,-14478000,271000.000000001,271000.000000001,271000.000000001,54245000,150597000,41740000,0.09492,0.06299,0.03923,0.04345,0.02738,1.71269,3.14064,0.58704,0.16917,1.0894,1.0894,27.76787,25.07425,1.86581,0.03645,0.0538,2.3322,3.23307
"15","2013_Q4",59.64015625,"Down",738964000,-605018000,133946000,-29505000,-29505000,104441000,-1377000,-1360000,-17000,103064000,103064000,-35145000,67919000,67919000,67919000,67919000,62878000,62878000,118744000,118744000,241343000,32665000,32665000,455630000,489237000,2958000,2958000,492195000,947825000,167160000,51519000,178042000,64226000,53926000,10300000,141375000,319417000,162974000,465434000,628408000,628408000,947825000,67919000,15898000,5020000,27253000,116090000,-10810000,-10810000,195000,195000,-66489000,38791000,38791000,38791000,120339000,87906000,171927000,0.18126,0.14133,0.09191,0.10808,0.07166,2.53135,2.55912,0.5083,0.09274,3.03454,3.03454,33.01599,28.07649,7.68149,0.09203,0.22027,0.207979999999999,0.23964
"16","2014_Q1",66.8918032786885,"Up",727061000,-624937000,102124000,-30345000,-30345000,71779000,-634000,-1144000,510000,71145000,71145000,-25875000,45270000,45270000,45270000,45270000,85563000,85563000,108980000,108980000,205855000,30345000,29867000,430743000,488466000,5436000,5436000,493902000,924645000,150744000,58271000,161543000,62089000,53089000,9e+06,91503000,253046000,165498000,506101000,671599000,671599000,924645000,45270000,16038000,1275000,33773000,96356000,-14801000,-14801000,202000,202000,-58870000,22685000,22685000,22685000,87817000,40213000,132664000,0.14046,0.09872,0.06226,0.06741,0.04896,2.93051,2.66643,0.37678,0.04349,2.02243,2.02243,32.48128,30.00353,5.92673,0.0695,0.17142,-0.51641,-0.6318
"17","2014_Q2",77.7992063492063,"Up",584883000,-516085000,68798000,-23599000,-23599000,45199000,-883000,-899000,16000,44316000,44316000,-15445000,28871000,28871000,28871000,28871000,58822000,58822000,94114000,94114000,209169000,34549000,34549000,396654000,502723000,5164000,5164000,507887000,904541000,104637000,31960000,115633000,62865000,53365000,9500000,92083000,207716000,166465000,530360000,696825000,696825000,904541000,28871000,14737000,3497000,-43291000,3814000,-28781000,-28781000,233000,233000,-1774000,-26741000,-26741000,-26741000,59936000,40017000,3309000,0.11763,0.07728,0.04936,0.04143,0.03192,0.11461,3.43028,0.29809,0.04424,1.28756,1.28756,26.08407,31.07635,0.14757,0.0361,0.00414,-0.31375,-0.41605
"18","2014_Q3",85.08953125,"Up",660717000,-552311000,108406000,-29915000,-29915000,78491000,-699000,-731000,32000,77792000,77792000,-26804000,50988000,50988000,50988000,50988000,84412000,84412000,108585000,108585000,219017000,31671000,31068000,443685000,524690000,4950000,4950000,529640000,973325000,135673000,36634000,155492000,59653000,49453000,10200000,69653000,225145000,171447000,576733000,748180000,748180000,973325000,50988000,15117000,875000,10896000,77876000,-36869000,-36869000,229000,229000,-15417000,25590000,25590000,25590000,93608000,29819000,94439000,0.16407,0.1188,0.07717,0.06815,0.05239,1.85218,2.85343,0.30092,0.03064,2.27209,2.27209,29.4424,33.33987,4.20832,0.06638,0.11274,-0.58321,-0.69553
"19","2014_Q4",78.3203125,"Down",768395000,-607003000,161392000,-45687000,-45687000,115705000,-423000,-424000,1000,115282000,115282000,-39202000,76080000,76080000,76080000,76080000,139331000,139331000,115231000,115231000,217848000,35842000,35842000,508252000,555476000,4727000,4727000,560203000,1068455000,168525000,68537000,178908000,56993000,46093000,10900000,66993000,245901000,174355000,648199000,822554000,822554000,1068455000,76080000,16781000,446000,23310000,116617000,-47353000,-47353000,218000,218000,-14345000,54919000,54919000,54919000,132486000,2e+07,147645000,0.21004,0.15058,0.09901,0.09249,0.07121,1.94065,2.84086,0.29895,0.01872,3.38917,3.38917,34.23,36.64264,6.5772,0.08971,0.16413,-0.90071,-1.03134
"20","2015_Q1",73.9218032786885,"Down",760850000,-578499000,182351000,-39824000,-39824000,142527000,-451000,-463000,12000,142076000,142076000,-48967000,93109000,93109000,93109000,93109000,165610000,165610000,118296000,118296000,190823000,35977000,33052000,510706000,596125000,4421000,4421000,600546000,1111252000,137635000,67446000,147635000,55669000,45669000,1e+07,65669000,213304000,173252000,724696000,897948000,897948000,1111252000,93109000,17674000,-1273000,-334000,109176000,-58109000,-58109000,221000.000000001,221000,-24788000,26279000,26279000,26279000,160201000,2e+07,150725000,0.23967,0.18733,0.12237,0.10369,0.08379,1.6188,3.45925,0.23755,0.018,4.14702,4.14702,33.88785,39.99412,6.71321,0.11743,0.15481,-0.90892,-1.02163
"21","2015_Q2",72.464126984127,"Down",667363000,-526201000,141162000,-38105000,-38105000,103057000,-367000,-401000,34000,102690000,102690000,-36187000,66503000,66503000,66503000,66503000,173104000,173104000,117014000,117014000,213172000,40353000,37452000,543643000,636555000,3924000,3924000,640479000,1184122000,135678000,37706000,145678000,65352000,55752000,9600000,75352000,221030000,176988000,786104000,963092000,963092000,1184122000,66503000,16256000,17516000,-33852000,66423000,-56472000,-56472000,445000,445000,-2457000,7494000,7494000,7494000,119313000,2e+07,65176000,0.21152,0.15442,0.09965,0.06905,0.05616,0.98005,3.73181,0.2295,0.01689,2.94822,2.94822,29.58563,42.69593,2.88939,0.06343,0.06216,-1.28321,-1.48562
"22","2015_Q3",64.17125,"Down",716592000,-577567000,139025000,-29503000,-29503000,109522000,-644000,-673000,29000,108878000,108878000,-37632000,71246000,71246000,71246000,71246000,153625000,153625000,118927000,118927000,212306000,41976000,37254000,526834000,654508000,5531000,5531000,660039000,1186873000,141995000,45939000,151995000,61927000,53127000,8800000,61927000,213922000,134483000,838468000,972951000,972951000,1186873000,71246000,18751000,304000,2769000,93070000,-36490000,-36490000,-54908000,285000,-76059000,-19479000,-19479000,-19479000,128273000,1e+07,132184000,0.19401,0.15284,0.09942,0.07323,0.06003,1.85532,3.46613,0.21987,0.00843,3.19231,3.19231,32.10825,43.5949,5.92275,0.07306,0.12651,-1.11968,-1.31138
"23","2015_Q4",66.7096875,"Up",739933000,-612761000,127172000,-47339000,-47339000,79833000,-541000,-556000,15000,79292000,79292000,-28411000,50881000,50881000,50881000,50881000,180840000,180840000,111450000,111450000,203152000,50080000,37793000,545522000,682370000,6394000,6394000,688764000,1234286000,141265000,76467000,151265000,61463000,52663000,8800000,61463000,212728000,137140000,884418000,1021558000,1021558000,1234286000,50881000,19478000,3694000,7031000,81084000,-47090000,-47090000,237000,237000,-6779000,27215000,27215000,27215000,99311000,1e+07,87663000,0.17187,0.10789,0.06876,0.04981,0.04122,1.7229,3.6064,0.20824,0.0081,2.30784,2.30784,33.56162,46.33547,3.97619,0.05106,0.0802,-1.72025,-2.13997
"24","2016_Q1",77.9870491803279,"Up",679592000,-595839000,83753000,-40167000,-40167000,43586000,-355000,-4e+05,45000,43231000,43231000,-15860000,27371000,27371000,27371000,27371000,196659000,196659000,112924000,112924000,198753000,49745000,33331000,558081000,682334000,6337000,6337000,688671000,1246752000,151247000,88431000,161247000,55644000,47525000,8119000,55644000,216891000,134208000,895653000,1029861000,1029861000,1246752000,27371000,20176000,-365000,12677000,59859000,-17389000,-17389000,242000,242000,-26651000,15819000,15819000,15819000,63762000,1e+07,74910000,0.12324,0.06414,0.04028,0.02658,0.02195,2.73684,3.46103,0.2106,0.00802,1.24132,1.24132,30.8205,46.70571,3.39728,0.04422,0.06838,-2.92743,-4.28254
"25","2016_Q2",82.03171875,"Up",605166000,-555061000,50105000,-30294000,-30294000,19811000,-428000,-431000,3000,19383000,19383000,-8702000,10681000,10681000,10681000,10681000,155105000,155105000,119895000,119895000,209772000,81416000,35421000,566188000,688006000,6224000,6224000,694230000,1260418000,121380000,45311000,131380000,89868000,81768000,8100000,89868000,221248000,137802000,901368000,1039170000,1039170000,1260418000,10681000,19871000,36367000,-83321000,-16402000,-22950000,-22950000,484000,484000,-2202000,-41554000,-41554000,-41554000,39682000,1e+07,-57887000,0.0828,0.03274,0.01765,0.01028,0.00847,-5.41962,4.30954,0.21291,0.00793,0.481,0.481,27.25236,46.79681,-2.60682,0.00938000000000001,-0.05082,-3.6567,-7.32447
"26","2016_Q3",85.47640625,"Up",692089000,-578276000,113813000,-40039000,-40039000,73774000,-413000,-420000,6999.99999999999,73361000,73361000,-25759000,47602000,47602000,47602000,47602000,223122000,223122000,124113000,124113000,210922000,39838000,36877000,597995000,720302000,6003000,6003000,726305000,1324300000,146964000,51308000,146964000,87892000,79592000,8300000,87892000,234856000,145441000,944003000,1089444000,1089444000,1324300000,47602000,20976000,5454000,54004000,128036000,-43975000,-43975000,287000,287000,-16044000,68017000,68017000,68017000,94750000,0,130538000,0.16445,0.1066,0.06878,0.04369,0.03595,2.74228,4.06899,0.21557,0,2.14173,2.14173,31.13871,49.01665,5.87321,0.04465,0.11088,-2.35485,-3.0244
"27","2016_Q4",83.6361904761905,"Down",727991000,-598563000,129428000,-44565000,-44565000,84863000,-342000,-351000,9000,84521000,84521000,-29805000,54716000,54716000,54716000,54716000,242980000,242980000,118627000,118627000,227677000,41194000,37557000,630478000,748919000,5421000,5421000,754340000,1384818000,154801000,61531000,154801000,87734000,79334000,8400000,87734000,242535000,148531000,993752000,1142283000,1142283000,1384818000,54716000,21487000,2267000,4899000,83369000,-58691000,-58691000,249000,249000,-4820000,19858000,19858000,19858000,106350000,0,82363000,0.17779,0.11657,0.07516,0.0479,0.03951,1.50528,4.07283,0.21232,-8.67361737988404e-19,2.46114,2.46114,32.74519,51.38013,3.7047,0.04852,0.06696,-2.28472,-2.8632
"28","2017_Q1",89.4054838709677,"Up",790811000,-630156000,160655000,-44992000,-44992000,115663000,-251000,-262000,11000,115412000,115412000,-39450000,75962000,75962000,75962000,75962000,234111000,234111000,124348000,124348000,220306000,34559000,34559000,613324000,803991000,5385000,5385000,809376000,1422700000,148189000,57918000,148189000,84249000,75748000,8501000,84249000,232438000,148548000,1041714000,1190262000,1190262000,1422700000,75962000,22249000,97999.9999999991,3447000,101756000,-74788000,-74788000,259000,259000,-35837000,-8869000,-8869000,-8869000,137912000,-2.3283064365387e-10,106021000,0.20315,0.14626,0.09606,0.06382,0.05339,1.39571,4.1388,0.19528,0,3.41617,3.41617,35.56445,53.5286,4.76799,0.08547,0.08319,-1.69754,-2.02408
"29","2017_Q2",110.38,"Up",688346000,-606391000,81955000,-46070000,-46070000,35885000,-235000,-237000,2000,35650000,35650000,-11625000,24025000,24025000,24025000,24025000,225821000,225821000,115633000,115633000,236353000,41972000,37906000,619779000,826770000,4989000,4989000,831759000,1451538000,141565000,50248000,141565000,96338000,87675000,8663000,96338000,237903000,154206000,1059429000,1213635000,1213635000,1451538000,24025000,22641000,17612000,-24826000,39452000,-45963000,-45963000,187000,187000,-1779000,-8290000,-8290000,-8290000,58526000,0,-638000,0.11906,0.05213,0.0349,0.0198,0.01655,-0.02656,4.37805,0.19603,5.42101086242752e-20,1.07355,1.07355,30.75857,54.23098,-0.02851,0.01834,-0.000490000000000004,-3.85847,-6.29291
"30","2017_Q3",132.00873015873,"Up",802038000,-655283000,146755000,-43641000,-43641000,103114000,-124000,-127000,3000,102990000,102990000,-35975000,67015000,67015000,67015000,67015000,246281000,246281000,138532000,138532000,234796000,42048000,42048000,661657000,850066000,7238000,7238000,857304000,1518961000,133145000,50264000,133145000,106529000,97449000,9080000,106529000,239674000,158373000,1120914000,1279287000,1279287000,1518961000,67015000,24279000,13468000,-25261000,79501000,-50353000,-50353000,288000,288000,-8688000,20460000,20460000,20460000,127393000,1.45519152283669e-11,87754000,0.18298,0.12856,0.08356,0.05238,0.04412,1.30947,4.96945,0.18735,0,2.99228,2.99228,35.81166,57.12123,3.91829,0.0523,0.06332,-1.93324,-2.38843
"31","2017_Q4",147.280952380952,"Up",931901000,-692585000,239316000,-62036000,-62036000,177280000,-185000,-188000,3000,177095000,177095000,-61261000,115834000,115834000,115834000,115834000,398270000,398270000,151004000,151004000,256135000,41265000,41265000,846674000,860602000,7416000,7416000,868018000,1714692000,216370000,83278000,216370000,104813000,95333000,9480000,104813000,321183000,161296000,1232213000,1393509000,1393509000,1714692000,115834000,26135000,1997000,47212000,191178000,-33892000,-33892000,257000,257000,-5297000,151989000,151989000,151989000,203415000,0,277996000,0.2568,0.19023,0.1243,0.08312,0.06755,2.39995,3.91308,0.23049,0,5.17139,5.17139,41.60458,62.213,12.41109,0.08095,0.18554,-1.95792,-2.24656
"32","2018_Q1",121.572950819672,"Down",919941000,-746425000,173516000,-64556000,-64556000,108960000,-165000,-167000,2000,108795000,108795000,-35924000,72871000,72871000,72871000,72871000,419285000,419285000,138868000,138868000,252765000,38620000,38620000,849538000,876808000,6897000,6897000,883705000,1733243000,198721000,101168000,198721000,101660000,91898000,9762000,101660000,300381000,157802000,1275060000,1432862000,1432862000,1733243000,72871000,27282000,1059000,-2389999.99999999,98822000,-35707000,-35707000,251000,251000,-42100000,21015000,21015000,21015000,136242000,0,134069000,0.18862,0.11844,0.07921,0.05086,0.04204,1.83981,4.27503,0.20964,0,3.25346,3.25346,41.07246,63.97277,5.98576,0.07061,0.08737,-3.0775,-3.84806
"33","2018_Q2",103.9996875,"Down",771948000,-702101000,69847000,-52575000,-52575000,17272000,-102000,-104000,2000,17170000,17170000,34036000,51206000,51206000,51206000,51206000,388896000,388896000,134045000,134045000,253081000,43497000,43497000,819519000,895710000,6995000,6995000,902705000,1722224000,175550000,56606000,175550000,68343000,57862000,10481000,68343000,243893000,159370000,1318961000,1478331000,1478331000,1722224000,51206000,26630000,-27806000,-25062000,24968000,-51168000,-51168000,659000,659000,-4189000,-30389000,-30389000,-30389000,43902000,0,-66364000,0.09048,0.02237,0.06633,0.03464,0.02973,-1.29602,4.66829,0.16498,1.35525271560688e-20,2.27572,2.27572,34.30728,65.70068,-2.94938,0.03311,-0.04291,-8.85828,-22.51598
