"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_compensation","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",36.3659677419355,"Down",700488000,-259751000,440737000,-169959000,-48456000,-121503000,270778000,-90163000,-108355000,5509000,12683000,180615000,-71501000,109114000,-3015000,106099000,264156000,-22850000,241306000,-8913000,232393000,465884000,465884000,181242000,181242000,391794000,391794000,1038920000,13954039000,16988854000,-3034815000,1648449000,1031863000,3756408000,252683000,1319710000,2184015000,19358896000,20397816000,8295301000,442644000,7852657000,1341806000,465929000,875877000,9637107000,1957921000,1957921000,118435000,103003000,2076356000,11713463000,1237699000,7143505000,7415000,7136090000,-1319118000,-160107000,6901979000,1782374000,8684353000,20397816000,264156000,133390000,-101971000,-48793000,246782000,-48433000,-48433000,-56786000,-31663000,-136882000,-146692000,-15075000,291144000,0,-244756000,-115379000,-5479000,-5479000,-5479000,404168000,1957921000,309957000,0.62919,0.38656,0.33176,0.02676,0.01139,1.33376,0.1078,1.3488,0.09599,1.01045,1.0065,3.04573,24.62833,1.3477,0.63782,0.03523,0.0288,0.63122,3.69163,5.51019
"12","2013_Q1",39.5261666666667,"Up",602419000,-239670000,362749000,-148289000,-39531000,-108758000,214460000,-42429000,-349732000,26364000,280939000,172031000,-62473000,109558000,9187000,118745000,91893000,-5758000,86135000,-23502000,62633000,960319000,960319000,195718000,195718000,183256000,183256000,1339293000,15165949000,18238218000,-3072269000,1224333000,600786000,4335474000,415330000,1704297000,2215847000,20725756000,22065049000,9083968000,484746000,8599222000,1484272000,596067000,888205000,10568240000,2528008000,2528008000,120505000,105200000,2648513000,13216753000,1240278000,7202878000,7440000,7195438000,-1573275000,-18946000,6850935000,1997361000,8848296000,22065049000,91893000,138881000,-41050000,124679000,314403000,-50371000,-50371000,-764576000,138673000,-676274000,-334907000,1142601000,-307000,290837000,48919000,856306000,494435000,494435000,494435000,353341000,2528008000,418462000,0.60215,0.356,0.10397,0.00708,0.00284,6.68117,0.12673,1.49371,0.11457,0.27182,0.27088,2.61446,24.34986,1.8161,1.45347,0.03458,0.0364,5.34713,4.43676,7.30994
"13","2013_Q2",40.30859375,"Up",718713000,-265747000,452966000,-190697000,-51380000,-139317000,262269000,-130332000,-169421000,16564000,22525000,131937000,-48699000,83238000,-1073000,82165000,288927000,-26005000,262922000,-30932000,231990000,585823000,585823000,144204000,144204000,168379000,168379000,898406000,15211314000,18393074000,-3181760000,1179514000,571306000,3836893000,393771000,1672482000,1770640000,20227721000,21126127000,9489705000,426621000,9063084000,1137699000,586237000,551462000,10627404000,1358095000,1358095000,124936000,109483000,1483031000,12110435000,1277719000,7175406000,7447000,7167959000,-1479296000,120953000,7094782000,1920910000,9015692000,21126127000,288927000,148918000,-124136000,101218000,414927000,-35334000,-35334000,602209000,-39190000,527685000,-159503000,-1030461000,290403000,-307000,-417547000,-1317108000,-374496000,-374496000,-374496000,411187000,1358095000,478144000,0.63025,0.36491,0.32279,0.02573,0.01098,2.06105,0.08454,1.34326,0.06429,1.00423,1.00007,3.11115,25.18076,2.06978,0.69045,0.03729,0.04554,0.68754,1.87815,2.94458
"14","2013_Q3",40.74265625,"Up",671216000,-259168000,412048000,-183485000,-50305000,-133180000,228563000,-95161000,-94242000,34470000,-35389000,133402000,-17496000,115906000,-2877000,113029000,182321000,-24127000,158194000,-12268000,145926000,781655000,781655000,140938000,140938000,312071000,312071000,1234664000,14390155000,17636992000,-3246837000,1200758000,622124000,3507654000,289110000,1449408000,1769136000,19098567000,20333231000,8975935000,393362000,8582573000,926455000,486901000,439554000,9902390000,1442164000,1442164000,126462000,111093000,1568626000,11471016000,1277455000,7197786000,7450000,7190336000,-1471643000,132894000,7136492000,1725723000,8862215000,20333231000,182321000,140725000,-68247000,-224926000,29873000,-50216000,-50216000,39621000,313121000,5.43e+08,-155773000,-186623000,-198999.99999994,-25000,-34446000,-377041000,195832000,195832000,195832000,369288000,1442164000,97022999.9999999,0.61388,0.34052,0.21741,0.01647,0.00718,0.66488,0.12468,1.29437,0.07093,0.63107,0.62841,2.90275,25.33803,0.41959,0.67366,0.02892,0.0093,1.06748,1.7886,2.88983000000002
"15","2013_Q4",42.968125,"Up",668596000,-261077000,407519000,-166268000,-44186000,-122082000,241251000,-139794000,-129951000,22913000,-32756000,101457000,9081000,110538000,-2222000,108316000,132251000,-28877000,103374000,-20369000,83005000,872323000,872323000,131479000,131479000,320979000,320979000,1324781000,14430017000,17764937000,-3334920000,1401547000,1014605000,3118976000,275250000,1169728000,1673998000,18950540000,20275321000,9009205000,442623000,8566582000,925261000,472805000,452456000,9934466000,1434751000,1434751000,127172000,111752000,1561923000,11496389000,1277455000,7191100000,7440000,7183660000,-1527663000,83327000,7024219000,1754713000,8778932000,20275321000,132251000,129606000,-12991000,95926000,344792000,-63460000,-63460000,225770000,-212595000,-50285000,-156876000,-33979000,0,0,-12984000,-203839000,90668000,90668000,90668000,370857000,1434751000,405545000,0.60951,0.36083,0.12415,0.00946,0.00409,4.88579,0.13335,1.30954,0.07076,0.35889,0.35734,2.89081,24.84731,1.75346,0.67829,0.0232,0.03922,1.88996,1.51656,2.3313
"16","2014_Q1",46.2945901639344,"Up",240651000,-142573000,98078000,-98543000,-31495000,-67048000,-464999.99999997,-323366000,-57055000,28951000,-295262000,-323831000,2077000,-321754000,14889000,-306865000,-38759000,-9760000,-48519000,-20368000,-68887000,583290000,583290000,115862000,115862000,262440000,262440000,961592000,14122229000,17418946000,-3296717000,859627000,667710000,4153776000,307436000,1249667000,2596673000,19135632000,20097224000,8754269000,422276000,8331993000,980071000,529002000,451069000,9734340000,1646725000,1646725000,117795000,116515000,1764520000,11498860000,1277225000,7151309000,7469000,7143840000,-1734839000,71537000,6765232000,1833132000,8598364000,20097224000,-38759000,142749000,142896000,4311000.00000003,251197000,-320407000,-320407000,-145343000,167426000,-298324000,-156949000,-66792000,-341000.000000015,290195000,-17824000,-241906000,-289033000,-289033000,-289033000,142284000,1646725000,-188701000,0.40755,-0.00193000000000004,-0.28625,-0.00801,-0.00343,2.73928,0.09878,1.33733,0.08194,-0.29763,-0.29653,1.03974,23.71102,-0.81529,0.6781,0.0085,-0.01821,-2.27835,7.47403,-2286.95699
"17","2014_Q2",51.1828571428571,"Up",562381000,-236561000,325820000,-179294000,-47502000,-131792000,146526000,-64335000,-84462000,18148000,1979000,82191000,8350000,90541000,-851000,89690000,98156000,-15439000,82717000,-20368000,62349000,1156727000,1156727000,123486000,123486000,210184000,210184000,1490397000,14638919000,18080142000,-3441223000,1005725000,757934000,3234311000,299759000,1168996000,1765556000,18878955000,20369352000,9371216000,457858000,8913358000,893156000,514605000,378551000,10264372000,1431580000,1431580000,123242000,121970000,1554822000,11819194000,1277225000,7025085000,7474000,7017611000,-1809609000,77626000,6570327000,1979831000,8550158000,20369352000,98156000,153869000,-3491000,60597000,309131000,-90653000,-90653000,67167000,106247000,82761000,-157129000,366802000,-578000,-578000,-27550000,181545000,573437000,573437000,573437000,300395000,1431580000,271190000,0.57936,0.26055,0.11087,0.00729,0.00306,4.34955,0.1452,1.38234,0.07028,0.2691,0.26776,2.42721,22.84476,1.17044,0.67816,0.02172,0.02684,2.52015,0.91497,1.8758
"18","2014_Q3",52.30046875,"Up",574411000,-230398000,344013000,-153678000,-40478000,-113200000,190335000,-48149000,-94517000,100110000,-53742000,142186000,-162000,142024000,-3280000,138744000,165687000,-68679000,97008000,-20366000,76642000,1371226000,1371226000,118217000,118217000,160353000,160353000,1649796000,14726223000,18253595000,-3527372000,799734000,575400000,3561026000,289475000,1267370000,2004181000,19086983000,20736779000,9441484000,452641000,8988843000,884173000,501384000,382789000,10325657000,1879952000,1879952000,111858000,111858000,1991810000,12317467000,1277026000,6957147000,7484000,6949663000,-1872250000,92221000,6454144000,1965168000,8419312000,20736779000,165687000,134318000,39368000,-200861000,138512000,-123962000,-123962000,-56209000,30896000,-149275000,-157302000,718039000,-58999.9999999991,-59000.0000000298,-335416000,225262000,214499000,214499000,214499000,324653000,1879952000,3109999.99999994,0.5989,0.33136,0.13343,0.0091,0.0037,0.0405800000000003,0.15978,1.463,0.09066,0.33039,0.32848,2.47619,22.31773,0.0134099999999997,0.6781,0.02247,0.000300000000000002,2.05243,1.56698,2.67279000000005
"19","2014_Q4",54.74453125,"Up",578710000,-240088000,338622000,-155206000,-40384000,-114822000,183416000,-96002000,-93249000,24160000,-26913000,87414000,1388000,88802000,-2652000,86150000,169197000,-17673000,151524000,-20365000,131159000,1683142000,1683142000,118636000,118636000,160848000,160848000,1962626000,14942827000,18555925000,-3613098000,696631000,495392000,3398431000,280207000,1268066000,1850158000,19037889000,21000515000,9771777000,498565000,9273212000,870093000,489250000,380843000,10641870000,1880125000,1880125000,113549000,113549000,1993674000,12635544000,1277026000,7048025000,7487000,7040538000,-1878125000,69580000,6516506000,1848465000,8364971000,21000515000,169197000,135772000,-15120000,91077000,380926000,-153956000,-153956000,57325000,-33994000,-130625000,-157395000,285090000,0,0,-66080000,61615000,311916000,311916000,311916000,319188000,1880125000,258961000,0.58513,0.31694,0.22664,0.01568,0.00625,1.97441,0.18442,1.51053,0.08953,0.56497,0.56126,2.49281,22.56923,1.11548,0.67798,0.02786,0.025,1.20003,0.61714,1.07397
"20","2015_Q1",61.6965573770492,"Up",597010000,-246564000,350446000,-162395000,-40906000,-121489000,188051000,-62344000,-101775000,20616000,18815000,125707000,-14443000,111264000,-2498000,108766000,575986000,-42383000,533603000,-20365000,513238000,1198477000,1198477000,109998000,109998000,176204000,176204000,1484679000,13660725000,16822358000,-3161633000,720296000,513973000,5292280000,225155000,1240489000,3826636000,19673301000,21157980000,8635588000,447745000,8187843000,2235452000,358613000,1876839000,10871040000,1342494000,1342494000,117284000,117284000,1459778000,12330818000,1277026000,6880518000,7493000,6873025000,-1505385000,93267000,6745426000,2081736000,8827162000,21157980000,575986000,159449000,-385131000,-43562999.9999999,306741000,-175616000,-175616000,-290706000,88996000,-377326000,-157473000,-253904000,-3174000,-3174000,471000,-414080000,-484665000,-484665000,-484665000,347500000,1342494000,130819000,0.587,0.31499,0.85968,0.05814,0.02426,0.25489,0.13657,1.39692,0.06345,2.20954,2.19545,2.57019,23.54201,0.56319,0.67794,0.0652,0.01272,0.30682,0.41444,0.765839999999995
"21","2015_Q2",57.2919047619048,"Down",606802000,-254493000,352309000,-182614000,-58492000,-124122000,169695000,-59536000,-80882000,24089000,-2743000,110159000,-121000,110038000,-971000,109067000,125246000,-21169000,104077000,-19484000,84593000,1067568000,1067568000,110477000,110477000,198672000,198672000,1376717000,13832265000,17080343000,-3248078000,739417000,554426000,3312652000,229579000,1408214000,1674859000,17884334000,19261051000,8749763000,432970000,8316793000,793988000,346026000,447962000,9543751000,1247332000,1247332000,121530000,121530000,1368862000,10912613000,1277014000,6942714000,7509000,6935205000,-2006439000,72609000,6285898000,2062540000,8348438000,19261051000,125246000,131112000,10233000,-72075000,194516000,-88052000,-88052000,230381000,7542000,149871000,-137931000,-107431000,-2939000,-2939000,-226995000,-475296000,-130909000,-130909000,-130909000,300807000,1247332000,141651000,0.5806,0.27965,0.13941,0.01013,0.00439,1.6745,0.14425,1.30714,0.06476,0.36376,0.36119,2.60929,21.53851,0.60911,0.59311,0.0229,0.01458,1.63052,0.59761,1.05934
"22","2015_Q3",52.4328125,"Down",616288000,-242690000,373598000,-176146000,-39189000,-136957000,197452000,-65699000,-86426000,26368000,-5641000,131753000,-4061000,127692000,88072000,215764000,215400000,-29384000,186016000,-20365000,165651000,516337000,516337000,115049000,115049000,127857000,127857000,759243000,14326669000,17629683000,-3303014000,725967000,565976000,3774028000,245846000,1477090000,2051092000,18826664000,19585907000,9000127000,437813000,8562314000,821182000,390636000,430546000,9821309000,1247463000,1247463000,118931000,118931000,1366394000,11187703000,1277010000,7168667000,7517000,7161150000,-1958546000,50613000,6537744000,1860460000,8398204000,19585907000,215400000,141830000,-118387000,-248743000,-9900000,-112918000,-112918000,-414185000,-97370000,-624473000,-139078000,246317000,0,0,-24097000,83142000,-551231000,-551231000,-551231000,339282000,1247463000,-110451000,0.60621,0.32039,0.26879,0.01972,0.00846,-0.66677,0.07731,1.33215,0.06369,0.71093,0.70629,2.64493,22.57753,-0.47402,0.59688,0.03121,-0.01131,0.83958,2.15492,3.7028
"23","2015_Q4",55.1896875,"Up",627596000,-256561000,371035000,-178077000,-36157000,-141920000,192958000,-90844000,-92184000,1665000,-325000,102114000,101519000,203633000,-2856000,200777000,235240000,-16006000,219234000,-20364000,198870000,788137000,788137000,108106000,108106000,107965000,107965000,1004208000,14479784000,17844716000,-3364932000,708341000,555414000,3779593000,241814000,1460178000,2077601000,18967718000,19971926000,9624458000,465045000,9159413000,824451000,377951000,446500000,10448909000,847594000,847594000,117037000,117037000,964631000,11413540000,1276985000,7240285000,7519000,7232766000,-1878716000,43593000,6682147000,1876239000,8558386000,19971926000,235240000,147552000,-159304000,35421000,258909000,-138616000,-138616000,-36756000,169591000,-5781000,-139149000,197897000,-1961000,-1961000,-38115000,18672000,271800000,271800000,271800000,340510000,847594000,240171000,0.5912,0.30746,0.31688,0.02324,0.00996,1.20768,0.09611,1.33361,0.04244,0.85286,0.84423,2.69147,23.18027,1.02998,0.59675,0.03549,0.02522,0.6997,0.17461,0.30813
