"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2013_Q2",24.224375,"Up",38262000,-17118000,21144000,-17316000,-6070000,-11246000,3828000,-6390000,-4935000,-1455000,-2562000,56919000,54357000,56008000,56904000,-507000,56397000,53170000,6042000,6042000,7967000,5482000,5482000,19491000,829141000,829141000,247812000,128541000,119271000,1076953000,1096444000,26936000,26936000,344832000,34037000,11591000,405805000,405805000,796873000,-86840000,-211623000,668012000,690639000,1096444000,56904000,-44973000,-10161000,1770000,-145221000,-145240000,-7916000,-18973000,-491000,-27380000,-170850000,-170850000,-170850000,344832000,0.55261,0.10005,1.38963,0.07699,0.04849,0.04803,0.58758,0.3145,2.04266,2.04006,1.46993,19.14771,0.30411,0.05899,0.14888,88.50313
"12","2013_Q3",23.943125,"Down",42522000,-19229000,23293000,-19482000,-4552000,-14930000,3811000,-4972000,-4241000,-731000,-1161000,73000,-1087999.99999999,42999.9999999925,820999.999999993,-515000,305999.999999993,-5576999.99999999,4925000,4925000,8539000,54531000,54531000,67995000,882684000,882684000,250109000,127948000,122161000,1132793000,1200788000,34433000,34433000,340374000,52367000,25785000,427174000,427174000,950035000,-86840000,-206995000,750975000,773614000,1200788000,820999.999999993,14322000,4255000,19398000,-97091000,-97170000.0000001,-8658000,-79284000,164597000,76655000,-1117000,-1117000,-1117000,340374000,0.54779,0.08962,-0.13116,-0.00720999999999999,-0.00464,0.15917,0.55218,0.28346,-0.188,-0.188,1.43339,22.12016,0.29186,0.00277,-1.55245,88.02125
"13","2013_Q4",24.93375,"Up",50435000,-23130000,27305000,-25145000,-6635000,-18510000,2160000,-6221000,-5149000,-1072000,-4061000,-3578000,-7639000,55438000,65038000,-3879000,61159000,59382000,5408000,5408000,11669000,5647000,5647000,22724000,1896834000,1896834000,344208000,98183000,246025000,2241042000,2263766000,53095000,53095000,642834000,102607000,21781000,798536000,798536000,1614040000,-86840000,-158308000,1463667000,1465230000,2263766000,65038000,6690000,5780000,77508000,-1001971000,-1004012000,-10314000,300766000,636535000,926987000,483000,483000,483000,642834000,0.54139,0.04283,1.1774,0.04053,0.02623,0.02846,0.54499,0.28397,1.45343,1.45186,1.23444,33.50488,0.25244,0.03306,0.17369,295.10463
"14","2014_Q1",25.8311475409836,"Up",79522000,-36236000,43286000,-36794000,-5203000,-31591000,6492000,-7819000,-7384000,-435000,-1327000,390000,-937000,551999.999999993,4066000.00000001,-167000,3899000,2122000,974999.999999998,974999.999999998,11778000,27364000,27364000,40117000,1885171000,1885171000,347918000,107082000,69863000,2233089000,2273206000,76668000,76668000,630094000,107472000,25754000,814234000,814234000,1614187000,-86840000,-164721000,1457401000,1458972000,2273206000,4066000.00000001,27662000,6936000,38664000,-9988000,-19771000.0000001,-10312000,-12566000,-448000,-23325999.9999999,-4433000,-4433000,-4433000,630094000,0.54433,0.08164,0.02668,0.00145,0.000930000000000007,0.04927,0.55809,0.27718,0.0444799999999996,0.0444000000000004,1.66701,28.56449,0.21617,0.00595,4.85957,96.90681
"15","2014_Q2",28.0761904761905,"Up",81723000,-35789000,45934000,-39751000,-5611000,-34140000,6183000,-7661000,-7167000,-494000,-1478000,55000,-1423000,-125000,7132000,-155000,6977000,5200000,29080000,29080000,11456000,14941000,14941000,55477000,1891629000,1891629000,346905000,107106000,80599000,2238534000,2294011000,55493000,55493000,587442000,102918000,24781000,745853000,745853000,1712402000,-86840000,-173752000,1546585000,1548158000,2294011000,7132000,27642000,-27767000,7007000,-15974000,-18633000,-16008000,-42652000,98391000,39731000,28105000,28105000,28105000,587442000,0.56207,0.07566,0.06363,0.00336,0.00227,0.07438,0.48177,0.25608,0.10848,0.10836,1.70488,30.28721,0.33395,0.00993,3.07846,90.306
"16","2014_Q3",30.02640625,"Up",84505000,-36947000,47558000,-40889000,-5755000,-35134000,6669000,-7846000,-6970000,-876000,-1177000,1178000,1000,2037000,2616000,-129000,2487000,-2221000,6257000,6257000,10733000,15308000,15308000,32298000,1900989000,1900989000,346213000,111164000,87328000,2247202000,2279500000,72577000,72577000,665852000,100191000,23681000,838620000,838620000,1717003000,-86840000,-190857000,1439306000,1440880000,2279500000,2616000,33845000,6585000,43046000,-25020000,-30113000,-16062000,-19541000,-153000,-35756000,-22823000,-22823000,-22823000,665852000,0.56278,0.07892,-0.0262799999999999,-0.00154,-0.000969999999999999,0.03851,0.58202,0.2921,-0.0447700000000001,-0.04477,1.70339,29.01242,0.32377,0.00657,-7.23188,98.90463
"17","2014_Q4",28.9171875,"Down",89098000,-39468000,49630000,-37727000,-5022000,-32705000,11903000,-7383000,-6817000,-566000,4520000,-479000,4041000,6070000,19412000,-92000,19320000,19320000,7210000,7210000,12208000,185768000,185768000,205186000,1967045000,1967045000,361429000,111353000,108466000,2328474000,2533660000,87415000,87415000,671074000,107568000,24156000,866057000,866057000,1940638000,-86840000,-187773000,1666025000,1667603000,2533660000,19412000,20053000,5078000,44543000,-253055000,-255881000,-16236000,5222000,223305000,212291000,953000,953000,953000,671074000,0.55703,0.13359,0.21684,0.01159,0.00763,0.23692,0.51934,0.26486,0.36828,0.36781,1.69841,31.75816,0.30949,0.0152,0.84037,55.77283
"18","2015_Q1",26.3986885245902,"Down",-77765000,31589000,-46176000,36325000,-3396000,39721000,-9851000,-1822000,-29000.0000000009,-1793000,-11673000,10652000,-1021000,4904000,23848000,-628000,23220000,23220000,-1.86264514923096e-09,-1.86264514923096e-09,10732000,5041999.99999994,5041999.99999994,15774000,2294945000,2294945000,356611000,100498000,92869000,2651556000,2667330000,76240000,76240000,792344000,125288000,23277000,993872000,993872000,1941055000,-86840000,-180757000,1673458000,1673458000,2667330000,23848000,27588000,-3632000,47804000,-149224000,-156988000,-16204000,124446000,-6268000.00000006,101974000,-7210000,-7210000,-7210000,792344000,0.59379,0.12668,-0.29859,0.01388,0.00871,0.01587,0.5939,0.29706,0.42832,0.42735,-1.43447,30.86906,0.2989,0.01599,0.69785,-80.43285
"19","2015_Q2",24.777619047619,"Down",91976000,-39065000,52911000,-39742000,-3595000,-36147000,13169000,-8034000,-7677000,-357000,5135000,1022000,6157000,7768000,7203000,-870166.889767597,7203000,7203000,4388000,4388000,12109000,4773000,4773000,21270000,2303038000,2303038000,360353000,100821000,106813000,2663391000,2684661000,51102000,51102000,847948000,122676000,22822000,1021726000,1021726000,1940678000,-86840000,-190903000,1662935000,1662935000,2684661000,7203000,35839000,-40603000,2439000,-35867000,-36292000,-17349000,55604000,-14000,38241000,4388000,4388000,4388000,847948000,0.57527,0.14318,0.07831,0.00433,0.00268,0.02082,0.61441,0.31585,0.13304,0.13292,1.69879,30.71433,0.32044,0.00978,2.40858,64.0565
"20","2015_Q3",23.9609375,"Down",97903000,-42103000,55800000,-40817000,-5938000,-34879000,14983000,-8210000,-7869000,-341000,6773000,-577000,6196000,7957000,7952000,-735297.645490075,7952000,7952000,1972000,1972000,13299000,92205000,92205000,107476000,2231653000,2231653000,346337000,103665000,103115000,2577990000,2685466000,56700000,56700000,849772000,124297000,23290000,1030769000,1030769000,1941816000,-86840000,-200279000,1654697000,1654697000,2685466000,7952000,34563000,111000,42626000,-26544000,-29562000,-17328000,1824999.99999999,22999.9999999925,-15480000,-2416000,-2416000,-2416000,849772000,0.56995,0.15304,0.08122,0.00481,0.00296,0.10427,0.62294,0.31643,0.14683,0.14674,1.80775,30.55342,0.31996,0.01009,2.17907,56.58413
"21","2015_Q4",23.80171875,"Down",98146000,-42018000,56128000,-35410000,-2872000,-32538000,20718000,-7945000,-7673000,-272000,12773000,37125000,49898000,53614000,53619000,-417529.578467515,53619000,53619000,5331000,5331000,9513000,54977000,54977000,69821000,2231602000,2231602000,336184000,103470000,100856000,2567786000,2637607000,66049000,66049000,779570000,119401000,24132000,965020000,965020000,1942112000,-105531000,-163994000,1672587000,1672587000,2637607000,53619000,-3911000,8267000,57975000,55285000,51242000,-17334000,-70203000,-1000,-105858000,3359000,3359000,3359000,779570000,0.57188,0.21109,0.54632,0.03206,0.02033,0.07235,0.57696,0.29556,0.99175,0.99123,1.81533,30.93645,0.32061,0.02893,0.32328,37.37035
"22","2016_Q1",22.5054098360656,"Down",-83656000,37211000,-46445000,27426000,-4513000,31939000,-19019000,273000.000000001,483999.999999999,-211000,-18746000,42525000,23779000,24993000,56855000,-111000,56744000,56744000,2003000,2003000,10828000,11550000,11550000,24381000,2240500000,2240500000,330439000,102577000,103247000,2570939000,2595320000,71739000,71739000,718810000,121356000,29788000,911905000,911905000,1942480000,-134630000,-124435000,1683415000,1683415000,2595320000,56855000,-10872000,5279000,51262000,52214000,49715000,-17185000,-58277000,-111000,-105043000,-4066000,-4066000,-4066000,718810000,0.55519,0.22735,-0.6783,0.03371,0.02186,0.02674,0.5417,0.27696,1.06138,1.06053,-1.56477,31.48792,0.32144,0.03078,0.30285,-37.689
"23","2016_Q2",26.465,"Up",47942000,-18674000,29268000,-24784000,-8243000,-16541000,4484000,-5794000,-5439000,-355000,-1310000,14171000,12861000,14695000,22796000,0,22796000,22796000,5464000,5464000,12635000,4929000,4929000,23028000,2248619000,2248619000,338761000,111046000,109986000,2587380000,2610408000,48693000,48693000,767811000,117620000,29959000,934124000,934124000,1942456000,-148373000,-118557000,1675526000,1676284000,2610408000,22796000,17779000,-35067000,5508000,-4031000,-20255000,-16918000,48869000,0,18208000,3461000,3461000,3461000,767811000,0.61049,0.09353,0.47549,0.0136,0.00873,0.02465,0.55726,0.29413,0.43235,0.4322,0.90927,31.77798,0.32087,0.01625,0.74215,170.01494
"24","2016_Q3",27.103125,"Up",48305000,-20324000,27981000,-21332000,-4691000,-16641000,6649000,-5521000,-5369000,-152000,1128000,-2670000,-1542000,242000,7765000,1.45519152283669e-11,7765000,7765000,946000,946000,13656000,5180000,5180000,19782000,2267105000,2267105000,336108000,114455000,110387000,2603213000,2622995000,56971000,56971000,777485000,119409000,34158000,953865000,953865000,1943632000,-148373000,-127602000,1667657000,1669130000,2622995000,7765000,32627000,14194000,54586000,-47252000,-53309000,-16810000,9541999.99999997,1473000,-5794999.99999997,-4518000.00000001,-4518000.00000001,-4518000.00000001,777485000,0.57926,0.13765,0.16075,0.00465,0.00296,0.02074,0.57147,0.29641,0.14781,0.14765,0.919530000000001,31.74539,0.31999,0.01004,2.16484,116.79034
"25","2016_Q4",25.7019047619048,"Down",48673000,-18916000,29757000,-20989000,-4367000,-16622000,8768000,-5928000,-5754000,-174000,2840000,-1446000,1394000,2920000,11657000,0,11657000,11657000,97241000,97241000,12215000,210301000,210301000,319757000,2135985000,2135985000,304992000,116933000,83044000,2440977000,2760734000,84641000,84641000,789378000,221278000,34604000,1095297000,1095297000,1944051000,-148373000,-132766000,1662912000,1665437000,2760734000,11657000,31842000,15658000,59157000,-55202000,-57839000,-16821000,110746000,1052000,94977000,96295000,96295000,96295000,789378000,0.61137,0.18014,0.2395,0.007,0.00422,0.29194,0.65766,0.28593,0.22186,0.22169,0.92635,31.64889,0.32014,0.0116,1.443,78.93898
"26","2017_Q1",27.3433870967742,"Up",114291000,-42253000,72038000,-56435000,-8291000,-48144000,15603000,-15295000,-10088000,-5207000,308000,37358000,37666000,43084000,37886000,-995000,36891000,36891000,35687000,35687000,27683000,15634000,15634000,79004000,3599130000,3599130000,493473000,179397000,68547000,4092603000,4171607000,109278000,109278000,1380920000,167169000,33304000,1657367000,1657367000,3811177000,-148373000,-1214114000,2455557000,2514240000,4171607000,37886000,-8889000.00000001,-30546000,-1549000.00000001,622055000,597252000,1000,-357212000,-288716000,-645927000,-50224000,-50224000,-50224000,1380920000,0.6303,0.13652,0.32278,0.01467,0.00884,0.0476699999999999,0.65919,0.33103,0.3839,0.37603,1.18936,25.48217,-1.000000000001e-05,0.00947,-3.00000000001965e-05,86.2163
"27","2017_Q2",28.2490476190476,"Up",119879000,-42391000,77488000,-61066000,-6182000,-54884000,16422000,-10145000,-9741000,-404000,6277000,-2e+06,4277000,4858000,4858000,-107000,4751000,4751000,35755000,35755000,25426000,58138000,58138000,119319000,3645321000,3645321000,441649000,128589000,72290000,4086970000,4206289000,119803000,119803000,1113766000,290204000,35401000,1523773000,1523773000,4024807000,-148373000,-1257697000,2625604000,2682516000,4206289000,4858000,54954000,-34579000,25233000,-76736000,-78271000,-23603000,-137107000,211667000,50957000,-2081000,-2081000,-2081000,1113766000,0.64639,0.13699,0.03963,0.00177,0.00113,0.0783,0.56804,0.26479,0.04718,0.04622,1.19051,26.00656,0.2344,0.00747,4.96801,65.64432
"28","2017_Q3",30.1673015873016,"Up",119036000,-42407000,76629000,-58686000,-8646000,-50040000,17943000,-8731000,-8523000,-208000,9212000,121413000,130625000,170945000,170945000,-2856000,168089000,168089000,16420000,16420000,20530000,8139000,8139000,45089000,3687045000,3687045000,403912000,101532000,76520000,4090957000,4136046000,128772000,128772000,1019619000,157978000,34743000,1306369000,1306369000,4034333000,-148373000,-1114662000,2778165000,2829677000,4136046000,170945000,-71620000,-31914000,67411000,159015000,152284000,-25212000,-218649000,-515000,-244376000,-24681000,-24681000,-24681000,1019619000,0.64375,0.15074,1.41209,0.0594,0.04064,0.03451,0.46167,0.24652,1.60313,1.57394,1.13529,26.43095,0.24046,0.05022,0.14999,55.91033
"29","2017_Q4",30.7379365079365,"Up",113158000,-41584000,71574000,-54787000,-7165000,-47622000,16787000,-8038000,-7587000,-451000,8749000,1075000,9824000,12285000,12285000,-218000,12067000,12067000,62167000,62167000,16291000,437000,437000,78895000,3742644000,3742644000,402661000,109222000,81653000,4145305000,4224200000,160101000,160101000,1095177000,151602000,35918000,1406880000,1406880000,4034619000,-148373000,-1127813000,2765300000,2817320000,4224200000,12285000,47133000,9167000,68585000,-75812000,-81408000,-25135000,75934000,69000,50868000,38045000,38045000,38045000,1095177000,0.63251,0.14835,0.10664,0.00428,0.00286,0.05608,0.49937,0.25926,0.11492,0.11296,1.0777,26.27092,0.23938,0.00951,2.08295,61.53631
"30","2018_Q1",29.2427868852459,"Down",114112000,-41027000,73085000,-49729000,-5530000,-44199000,23356000,-8406000,-7673000,-733000,14950000,13168000,28118000,31871000,31871000,-503000,31368000,31368000,148929000,148929000,14420000,56816000,56816000,220165000,3617822000,3617822000,366632000,101414000,79012000,3984454000,4204619000,137909000,137909000,1093228000,148371000,37383000,1379508000,1379508000,4035126000,-148373000,-1121647000,2771973000,2825111000,4204619000,31871000,30961000,-12412000,50420000,125723000,119505000,-25201000,-2165000,582000,-26784000,143141000,143141000,143141000,1093228000,0.64047,0.20468,0.27489,0.0111,0.00746,0.1596,0.4883,0.26001,0.29856,0.29349,1.08611,26.31811,0.23986,0.01444,0.8034,40.43068
"31","2018_Q2",30.70828125,"Up",117202000,-41133000,76069000,-51902000,-6809000,-45093000,24167000,-10098000,-9778000,-320000,14069000,-548000,13521000,16406000,16406000,-363000,16043000,16043000,108152000,108152000,16668000,1185000,1185000,126005000,3614802000,3614802000,418503000,145465000,97879000,4033305000,4159310000,87964000,87964000,1091258000,144173000,37895000,1323395000,1323395000,4034909000,-148373000,-1110590000,2782813000,2835915000,4159310000,16406000,45550000,-41050000,20906000,-61200000,-82813000,-25169000,-8174000,-1158000,-34501000,-96408000,-96408000,-96408000,1091258000,0.64904,0.2062,0.13688,0.00566,0.00386,0.09521,0.46666,0.26237,0.15273,0.15004,1.1158,26.42789,0.23962,0.01049,1.56885,40.67969
"32","2018_Q3",31.6373015873016,"Up",116628000,-41591000,75037000,-53746000,-8071000,-45675000,21291000,-9758000,-9714000,-44000,11533000,5180000,16713000,21749000,21749000,-473000,21276000,21276000,110232000,110232000,12364000,327999.999999993,327999.999999993,122924000,3632582000,3632582000,410746000,143201000,102792000,4043328000,4166252000,98562000,98562000,1089264000,146082000,39884000,1333908000,1333908000,4035781000,-148473000,-1116640000,2777535000,2832344000,4166252000,21749000,40358000,21703000,83810000,-42753000,-51563000,-27349000,-2251000,-1424000,-31024000,1223000,1223000,1223000,1089264000,0.64339,0.18255,0.18243,0.00751,0.00511,0.09215,0.47096,0.26145,0.20249,0.19907,1.10997,26.36886,0.26028,0.0124,1.28544,45.98337
"33","2018_Q4",28.5571428571429,"Down",118706000,-42534000,76172000,-48981000,-3913000,-45068000,27191000,-9644000,-9551000,-93000,17547000,60000,17607000,19859000,19859000,-374000,19485000,19485000,82706000,82706000,10400000,419000,419000,93525000,3632542000,3632542000,417532000,154070000,108437000,4050074000,4143599000,114229000,114229000,1065012000,139903000,40035000,1319144000,1319144000,4036342000,-148473000,-1124518000,2770218000,2824455000,4143599000,19859000,45008000,8454000,73321000,-35173000,-48026000,-27324000,-24460000,-946000,-52730000,-27435000,-27435000,-27435000,1065012000,0.64169,0.22906,0.16415,0.0069,0.0047,0.0709,0.46704,0.25703,0.1854,0.18231,1.1295,26.29353,0.25999,0.01203,1.40231,36.12614
