"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2020_Q2",5.52412698412698,"Down",148094000,-40903000,107191000,-106369000,-69039000,-30961000,822000.000000004,-17027000,-7526000,-9501000,-16205000,-922090000,134656000,-787434000,-787434000,-787434000,-787434000,187344000,187344000,95069000,95069000,8874000,8092000,291287000,43782000,16634000,904221000,904221000,964637000,1255924000,66885000,17626000,49259000,98310000,46363000,46363000,809724000,908034000,347890000,347890000,1255924000,-787434000,30961000,786476000,-1111000,28892000,-5755000,-5755000,-904000,150658000,173795000,173795000,173795000,31783000,794786000,-109739000,0.7238,0.00554999999999997,-5.31712,-2.26346,-0.62698,0.13936,2.96294,2.61012,0.63283,-11.76363,-11.76363,2.21241,5.1972,-1.63941,-0.66224,-0.09229,19.11217,738.98054
"13","2020_Q3",7.75875,"Up",102009000,-34943000,67066000,-84290000,-48496000,-31193000,-17224000,-7367000,-7924000,557000,-24591000,-24591000,-53000,-24644000,-24644000,-24644000,-24644000,56945000,56945000,74553000,74553000,10024000,7065000,141522000,40674000,16503000,878943000,878943000,936120000,1077642000,65219000,14404000,50815000,94999000,44796000,44796000,653862000,748861000,328781000,328781000,1077642000,-24644000,31193000,6165000,16023000,28737000,-2970000,-2970000,-2729000,-156166000,-130399000,-130399000,-130399000,13969000,638846000,27075000,0.65745,-0.16885,-0.24159,-0.07496,-0.02287,-1.09864,1.48972,2.27769,0.59282,-0.36644,-0.36644,1.51682,4.88879,0.40259,-0.02434,0.02674,41.6566,-33.78431
"14","2020_Q4",10.0246875,"Up",144392000,-40889000,103503000,-84440000,-59065000,-25375000,19063000,-8822000,-10779000,1957000,10241000,10241000.0000002,-22502000,-12261000,-12261000,-12261000,-12261000,43769000,43769000,89094000,89094000,21186000,10615000,154049000,41072000,16274000,857055000,857055000,914401000,1068450000,80222000,19896000,60326000,112876000,74481000,43616000,633201000,746077000,322373000,322373000,1068450000,-12261000,25375000,36844000,-10721000,39237000,-3878000,-3878000,-98000,-48535000,-13176000,-13176000,-13176000,44438000,591374000,52341000,0.71682,0.13202,-0.0849099999999994,-0.0380300000000001,-0.01148,-4.2689,1.36476,2.31433,0.55349,-0.18219,-0.18219,2.14553,4.79016,0.77774,-0.01241,0.05296,12.3229,28.7260700000001
"15","2021_Q1",13.1081967213115,"Up",153008000,-45465000,107543000,-91646000,-65899000,-25747000,15897000,-15866000,-11627000,-4239000,31000,31000,7188000,7219000,7219000,7219000,7219000,67719000,67719000,93649000,93649000,16713000,6491000,178081000,41323000,21142000,835166000,835166000,897631000,1075712000,82612000,16512000,66100000,90368000,69025000,38225000,645168000,735536000,340176000,340176000,1075712000,7219000,25747000,15712000,-6928000,41750000,-4109000,-4109000,-13378000,-13691000,23950000,23950000,23950000,41644000,583899000,23419000,0.70286,0.1039,0.04718,0.02122,0.00671,3.24408,1.97062,2.16222,0.5428,0.10699,0.10699,2.26763,5.04151,0.34708,0.00727,0.02358,12.39506,32.47028
"16","2021_Q2",13.8896825396825,"Up",153295000,-44591000,108704000,-92157000,-66477000,-25680000,16547000,-9963000,-10001000,38000,6584000,6584000,-1306000,5278000.00000001,5278000.00000001,5278000.00000001,5278000.00000001,53724000,53724000,93238000,93238000,11276000,9952000,158238000,43479000,20582000,813507000,813507000,877568000,1035806000,90689000,22891000,67798000,98422000,67122000,36331000,591382000,689804000,346002000,346002000,1035806000,5278000.00000001,25680000,7098000.00000001,12306000,50362000,-6219000,-6219000,-5638000,-58138000,-13995000,-13995000,-13995000,42227000,531993000,49620000,0.70912,0.10794,0.03443,0.01525,0.00510000000000001,9.40129,1.60775,1.99364,0.5136,0.0778599999999999,0.07513,2.26142,5.10425,0.732,0.00558,0.0525,11.32614,28.90367
"17","2021_Q3",12.6540625,"Down",155530000,-47653000,107877000,-92222000,-66924000,-25298000,15655000,-9878000,-9839000,-39000,5777000,5777000,189000,5966000,5966000,5966000,5966000,52185000,52185000,100491000,100491000,9601000,8303000,162277000,46450000,19989000,792168000,792168000,858607000,1020884000,88245000,25394000,62851000,95972000,65113000,34321000,567470000,663442000,357442000,357442000,1020884000,5966000,25298000,7789000,-9796000,29257000,-6876000,-6876000,-1420000,-23920000,-1539000,-1539000,-1539000,40953000,510084000,24092000,0.69361,0.10066,0.03836,0.01669,0.00584,4.03822,1.69088,1.85608,0.49965,0.08801,0.08492,2.29439,5.27302,0.35541,0.0064,0.02583,11.18109,29.24938
"18","2021_Q4",14.2796875,"Up",156553000,-49060000,107493000,-95419000,-69867000,-25552000,12074000,-9503000,-9522000,19000,2571000,2571000,-140000,2431000,2431000,2431000,2431000,51507000,51507000,99233000,99233000,10970000,9961000,161710000,46194000,19394000,770829000,770829000,836417000,998127000,88700000,15738000,72962000,96387000,64660000,33868000,535180000,631567000,366560000,366560000,998127000,2431000,25552000,8447000,177000,36607000,-4784000,-4784000,-1000,-32501000,-677999.999999998,-677999.999999998,-677999.999999998,37626000,478207000,33159000,0.68662,0.07712,0.01553,0.00663,0.00244,13.64007,1.67772,1.72296,0.4791,0.03545,0.03421,2.28291,5.34531,0.48354,0.00267,0.03646,11.34056,35.3404
"19","2022_Q1",15.3654838709677,"Up",158305000,-50212000,108093000,-104031000,-78629000,-25402000,4062000,-9511000,-9367000,-144000,-5449000,-5449000,-507000,-5956000,-5956000,-5956000,-5956000,39069000,39069000,98893000,98893000,9475000,7810000,147437000,43005000,21112000,795651000,769424000,859768000,1007205000,85349000,15420000,69929000,94290000,57512000,57512000,514895000,609185000,398020000,398020000,1007205000,-5956000,25402000,6066000,-3735000,21777000,-1313000,-21571000,-144000,-12644000,-12438000,-12438000,-12438000,29464000,466324000,24923000,0.68281,0.02566,-0.03762,-0.01496,-0.00591,-4.18452,1.56365,1.53054,0.46299,-0.08443,-0.08438,2.24419,5.64247,0.35332,-0.00646,0.02704,14.50092,105.18341
"20","2022_Q2",10.8027419354839,"Down",158207000,-49059000,109148000,-98207000,-73654000,-24553000,10941000,-9122000,-9330000,208000,1819000,1819000,2521000,4340000,4340000,4340000,4340000,30453000,30453000,96013000,96013000,11937000,8509000,138403000,42949000,21538000,866327000,764564000,930814000,1069217000,85576000,16810000,68766000,95802000,78146000,78146000,577328000,673130000,396087000,396087000,1069217000,4340000,24553000,7194000,-5729000,30358000,-4008000,-68778000,-7696000,29804000,-8616000,-8616000,-8616000,35494000,509408000,23236000,0.68991,0.06916,0.02743,0.01096,0.00406,5.35392,1.44468,1.69945,0.47643,0.06274,0.06274,2.28702,5.72579,0.3359,0.00441,0.02362,13.49397,43.77616
"21","2022_Q3",11.80484375,"Up",162873000,-52621000,110252000,-94867000,-71866000,-23001000,15385000,-9101000,-9047000,-54000,6284000,6284000,-739000,5545000,5545000,5545000,5545000,18134000,18134000,104402000,104402000,15126000,11330000,137662000,43529000,21669000,848599000,745405000,913797000,1051459000,73303000,13212000,60091000,84825000,79278000,79278000,575246000,660071000,391388000,391388000,1051459000,5545000,23001000,8970000,-25594000,11922000,-4547000,-4547000,858000,-19694000,-12319000,-12319000,-12319000,38386000,507490000,8984000,0.67692,0.09446,0.03404,0.01417,0.00527,1.6202,1.62289,1.68649,0.48265,0.08014,0.07892,2.35386,5.65639,0.12984,0.00567,0.00918,12.74829,31.80734
