"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",64.22640625,"Up",290097000,-200990000,89107000,-66403000,-66403000,22704000,-1628000,-1627000,-1000,21076000,21076000,-7844000,13232000,13232000,13232000,-23000,13209000,7235000,7235000,189292000,189292000,99719000,10088000,3363000,306334000,58824000,210450000,147347000,58131000,4972000,269274000,575608000,98727000,78617000,15189000,22057000,22057000,19350000,19350000,140134000,198231000,213719000,353853000,16000,79790000,146797000,19000,221755000,221755000,575608000,13232000,4890000,-2469000,1279000,16932000,-2360000,-2360000,-23000,-18106000,373000,-17756000,-3184000,-3184000,-35999.9999999998,-3220000,27594000,220288000,34357000,0.30716,0.07826,0.04553,0.05957,0.02295,2.60103,2.18601,1.59569,0.3827,0.91761,0.86702,20.15262,15.40389,2.38673,0.0016,0.02892,0.07509,0.00174,7.72099,9.38394
"12","2013_Q3",70.59671875,"Up",307942000,-216427000,91515000,-68250000,-68250000,23265000,-1710000,-1689000,-21000,21555000,21555000,-7806000,13749000,13749000,13749000,-22000,13727000,12094000,12094000,188640000,188640000,108806000,10439000,3418000,319979000,60402000,253644000,177258000,71287000,5099000,314046000,634025000,97947000,80543000,17404000,22057000,22057000,28334000,28334000,148338000,225274000,247754000,396092000,16000,84191000,160526000,-1629000,237933000,237933000,634025000,13749000,5602000,-86000,2824000,22089000,-2145000,-43797000,-22000,27044000,167000,26885000,5177000,5177000,-318000,4859000,28867000,247331000,37352000,0.29718,0.07555,0.04458,0.05769,0.02165,2.72106,2.15709,1.66472,0.3901,0.94977,0.89772,21.30644,16.46143,2.58438,0.00152,0.02708,0.07356,0.0016,8.14899,10.1112
"13","2013_Q4",93.97390625,"Up",329719000,-232598000,97121000,-70223000,-70223000,26898000,-1576000,-1614000,38000,25322000,25322000,-8970000,16352000,16352000,16352000,-23000,16329000,8271000,8271000,196036000,196036000,110207000,10850000,3692000,325364000,60751000,265386000,186847000,73412000,5127000,326137000,651501000,123692000,91918000,23741000,23776000,23776000,12209000,12209000,159677000,212375000,234867000,394544000,16000,84517000,176855000,740000,256957000,256957000,651501000,16352000,5663000,167000,6468000,28650000,-1884000,-21721000,-23000,-10965000,32000,-10956000,-4027000,-4027000,204000,-3823000,32561000,236151000,46115000,0.29456,0.08158,0.04952,0.06355,0.02506,2.82412,2.03764,1.53545,0.36247,1.13066,1.06837,22.83056,17.79123,3.19312,0.00159,0.03171,0.08944,0.00141,6.99856,8.47201
"14","2014_Q1",100.61606557377,"Up",313752000,-219150000,94602000,-66545000,-66545000,28057000,-1293000,-1352000,59000,26764000,26764000,-9860000,16904000,16904000,16904000,-22000,16882000,5469000,5469000,186854000,186854000,105271000,16893000,2693000,314487000,58253000,263875000,188110000,69722000,6043000,322128000,636615000,100179000,78853000,20473000,26213000,26213000,23663000,23663000,150055000,168372000,190310000,340365000,16000,110036000,193737000,-2368000,296250000,296250000,636615000,16904000,5505000,7102000,-14984000,14527000,-1356000,-1129999.99999999,-22000,-41517000,386000,-16795000,-3398000,-3398000,596000,-2802000,33562000,194585000,27082000,0.30152,0.08942,0.05381,0.05699,0.02652,1.60419,2.09581,1.14891,0.30566,1.16701,1.10297,21.68893,20.47795,1.87211,0.00152,0.03297,0.05281,0.0013,5.63483,6.74042
"15","2014_Q2",87.2422222222222,"Down",348504000,-246797000,101707000,-80553000,-80553000,21154000,-3247000,-3397000,150000,17907000,17907000,-6944000,10963000,10963000,10963000,-23000,10940000,12131000,12131000,250319000,250319000,110703000,16938000,5178000,390091000,70657000,524782000,374089000,145317000,5376000,595439000,985530000,131676000,101807000,24952000,39142000,39142000,28018000,28018000,198836000,431356000,475399000,674235000,16000,114831000,205332000,-3713000,311295000,311295000,985530000,10963000,8561000,-2296000,3422000,20650000,-1684000,-290415000,-23000,275985000,637000,276599000,6834000,6834000,-172000,6662000,29715000,470498000,38397000,0.29184,0.0607,0.03139,0.03514,0.0111,3.50978,1.96187,2.1659,0.47741,0.743,0.7029,23.66911,21.14093,2.60778,0.00156,0.01328,0.04649,0.0021,15.42544,21.6681
"16","2014_Q3",75.98875,"Down",381603000,-270557000,111046000,-83654000,-83654000,27392000,-3317000,-3176000,-141000,24075000,24075000,-9191000,14884000,14884000,14884000,-22000,14862000,12093000,12093000,281872000,281872000,111858000,13497000,5180000,419320000,72021000,524802000,372829000,146928000,5045000,596823000,1016143000,135611000,109741000,23939000,39022000,39022000,28242000,28242000,202875000,452798000,492039000,694914000,16000,114525000,220849000,-3038000,321229000,321229000,1016143000,14884000,8753000,2917000,-27437000,-883000.000000004,-3016000,-13694000,-22000,21294000,105000,14606000.0000001,28999.9999999991,28999.9999999991,-67000,-38000,36145000,491820000,14883000,0.291,0.07178,0.03895,0.04627,0.01463,1.00141,2.06689,2.1633,0.48401,1.01047,0.95588,25.94527,21.83934,1.0119,0.0015,0.01746,0.01746,0.00148,13.27229,17.5134
"17","2014_Q4",59.9915625,"Down",387053000,-273644000,113409000,-82611000,-82611000,30798000,-3305000,-3295000,-10000,27493000,27493000,-10504000,16989000,16989000,16989000,-23000,16966000,9923000,9923000,269537000,269537000,117051000,13332000,4904000,409843000,71027000,518425000,373719000,139954000,4752000,589452000,999295000,137441000,104947000,30784000,38816000,38816000,33664000,33664000,209921000,410796000,450800000,660721000,16000,115226000,238469000,-4175000,338574000,338574000,999295000,16989000,5979000,6929000,13209000,43106000,-3372000,-3121000,-23000,-42182000,24000,-42181000,-2196000,-2196000,26000,-2170000,36777000,449612000,57118000,0.29301,0.07957,0.04383,0.05011,0.01698,3.36662,1.95237,1.95148,0.44993,1.15761,1.09486,26.40918,23.1003,3.89724,0.00157,0.02051,0.06897,0.00136,11.95554,14.27654
"18","2015_Q1",44.647868852459,"Down",382502000,-275824000,106678000,-81081000,-81081000,25597000,-3059000,-2929000,-130000,22538000,-95031000,6957000,-88074000,-88074000,-88074000,-22000,-88096000,47000,47000,239236000,239236000,115658000,31337000,3004000,386278000,69979000,385375000,253312000,130333000,1730000,455354000,841632000,135871000,100774000,26967000,38608000,38608000,32723000,32723000,207202000,370194000,391478000,598680000,16000,115751000,148409000,-5700000,242952000,242952000,841632000,-88074000,11785000,104019000,9892000,37622000,-3032000,-3030000.00000001,-22000,-38077000,-1629000,-44812000,-10220000,-10220000,344000,-9876000,37382000,408802000,37285000,0.2789,0.06692,-0.23032,-0.36261,-0.10467,-0.42323,1.86426,2.46419,0.48573,-6.08902,-7.37328,26.43779,16.79126,2.57707,0.00152,-0.13086,0.0554,-0.00025,10.93454,15.96886
"19","2015_Q2",44.2819047619048,"Down",341594000,-243545000,98049000,-79950000,-79950000,18099000,-2434000,-2683000,249000,15665000,15665000,-6014000,9651000,9651000,9651000,-23000,9628000,2409000,2409000,212017000,212017000,112659000,36236000,5075000,363321000,68985000,378136000,253312000,123088000,1736000,447121000,810442000,122568000,93730000,24757000,41603000,41603000,26739000,26739000,190910000,360797000,378533000,569443000,16000,116118000,158037000,-8740000,240999000,240999000,810442000,9651000,8259000,2925000,1146000,21981000,-3574000,-3574000,-23000,-6665000,-46000,-15642000,2765000,2765000,-403000,2362000,26358000,402400000,29944000,0.28703,0.05298,0.02819,0.03995,0.01188,3.1101,1.9031,2.36284,0.49652,0.66903,0.63213,23.73664,16.7454,2.08074,0.0016,0.0146,0.04529,0.00239,15.17532,22.10017
"20","2015_Q3",33.5,"Down",323688000,-232389000,91299000,-77304000,-77304000,13995000,-2447000,-2592000,145000,11548000,11548000,-4381000,7167000.00000001,7167000.00000001,7166999.99999999,-22000,7145000.00000001,1488000,1488000,194346000,194346000,109724000,38968000,4737000,344526000,69385000,379705000,256213000,120301000,3191000,449090000,793616000,113826000,84199000,22194000,44568000,44568000,36823000,36823000,195217000,332805000,351205000,546422000,16000,114676000,165182000,-10471000,247194000,247194000,793616000,7167000.00000001,8327000,150000,16179000,31823000,-2942000,-7942000,-22000,-25322000,35999.9999999998,-25308000,-1427000,-1427000,506000,-921000,22322000,377373000,39940000,0.28206,0.04324,0.02207,0.0289,0.00900000000000001,5.58992,1.76484,2.2105,0.47551,0.497249999999999,0.46979,22.52683,17.20217,2.77959,0.00153,0.01115,0.06212,0.00308,16.83922,26.85852
"21","2015_Q4",29.47125,"Down",303080000,-217374000,85706000,-75082000,-75082000,10624000,-2957000,-2630000,-327000,7667000,-58569000,5885000,-52684000,-52684000,-52435000,-23000,-52458000,8137000,8137000,187501000,187501000,108128000,33265000,4172000,337031000,70349000,326354000,206860000,117601000,1893000,396703000,733734000,112263000,82664000,24686000,47699000,47699000,35259000,35259000,195221000,328458000,336295000,531516000,16000,110522000,112724000,-10303000,199973000,202218000,733734000,-52684000,8329000,52229000,13125000,20999000,-5203000,-15704000,-23000,-969000,1928000,936000,6231000,6231000,418000,6649000,18953000,376157000,20990000,0.28278,0.03505,-0.17308,-0.25941,-0.07149,-0.40013,1.72641,2.62843,0.51266,-3.63736,-3.63736,21.01512,13.86472,1.45542,0.00159,-0.08945,0.03581,-0.00044,19.41751,34.64044
"22","2016_Q1",16.3783606557377,"Down",278681000,-201749000,76932000,-71483000,-71483000,5449000,-3166000,-3027000,-139000,2283000,-7564000,4360000,-3204000.00000001,-3204000.00000001,-2919000,-22000,-2941000,1693000,1693000,162925000,162925000,103819000,35524000,2644000,303961000,68503000,311516000,197362000,112297000,1857000,380019000,683980000,97972000,77108000,20864000,50829000,50829000,31317000,31317000,180118000,298680000,304992000,485110000,16000,110452000,109783000,-10616000,197058000,198870000,683980000,-3204000.00000001,8328000,10605000,8272000,24001000,-2273000,-2273000,-22000,-26973000,-930000,-27925000,-6197000,-6197000,-247000,-6444000,13777000,349509000,15416000,0.27606,0.01955,-0.01055,-0.01479,-0.00429999999999998,-5.24175,1.68757,2.43933,0.51099,-0.20269,-0.22923,19.20613,13.57974,1.06244,0.00152,-0.00526,0.02779,-0.00748,25.24613,63.83116
"23","2016_Q2",16.82578125,"Up",253561000,-184743000,68818000,-70820000,-70820000,-2002000,-3254000,-3409000,155000,-5256000,-5256000,8000,-5248000,-5248000,-5112000,-23000,-5135000,622000,622000,160671000,160671000,105872000,39327000,8405000,306492000,68185000,307990000,197211000,108957000,1822000,376175000,682667000,90439000,73914000,16525000,363521000,363521000,23389000,23389000,477349000,0,11315000,488664000,16000,110301000,104648000,-9978000,192410000,194003000,682667000,-5248000,7546000,5989000,-15877000,-7590000,-1690000,-5690000,-23000,13287000,-753000,12295000,-985000,-985000,-85999.9999999999,-1071000,5544000,363521000,-12031000,0.27141,-0.0079,-0.02025,-0.02647,-0.00752,2.34294,0.64207,2.51885,0.5325,-0.35448,-0.35448,17.50387,13.28138,-0.83053,0.00159,-0.00899,-0.02115,-0.00448,65.45797,-181.26823
"24","2016_Q3",23.04203125,"Up",256215000,-184612000,71603000,-62754000,-62754000,8849000,-3960000,-3951000,-9000.00000000006,4889000,4889000,197000,5086000,5086000,5170000,-22000,5148000,1087000,1087000,159147000,159147000,98397000,38892000,8050000,297523000,66430000,303328000,197211000,104441000,1676000,369758000,667281000,91418000,72494000,18924000,112091000,112091000,20638000,20638000,224147000,235041000,243962000,468109000,16000,104662000,109796000,-10230000,197716000,199172000,667281000,5086000,7489000,-1003000,7426000,18998000,-1240000,-1240000,-22000,-17108000,-151000,-17291000,466999.999999999,466999.999999999,-2000,464999.999999998,16338000,347132000,22327000,0.27946,0.03454,0.02009,0.02585,0.00771,4.33702,1.32736,2.35028,0.52022,0.35496,0.31813,17.66634,13.63166,1.53947,0.00152,0.00931000000000001,0.04021,0.00427,21.18038,39.10555
"25","2016_Q4",29.5812698412698,"Up",230025000,-166205000,63820000,-58887000,-58887000,4933000,-4087000,-4338000,251000,846000,846000,-664000,182000,182000,263000,-23000,240000,3429000,3429000,152952000,152952000,98189000,33479000,6707000,288049000,63100000,298542000,197211000,99662000,1669000,361642000,649691000,94439000,77028000,17411000,115222000,115222000,23315000,23315000,232976000,203043000,210629000,443605000,16000,104920000,110036000,-10211000,204761000,206086000,649691000,182000,7592000,572000,15962000,24308000,285000,1071000,-23000,-28447000,-755000,-23040000,2339000,2339000,3000,2342000,12525000,318265000,29436000,0.27745,0.02145,0.00104,0.00116,0.00037,122.65,1.23639,2.15252,0.48987,0.01644,0.01555,15.75514,14.02363,2.01616,0.00158,0.00049,0.05534,0.09583,25.13661,63.82242
"26","2017_Q1",35.691935483871,"Up",222291000,-161730000,60561000,-53009000,-53009000,7552000,1643000,-3866000,5509000,9195000,9195000,-2064000,7131000,7131000,7381000,-22000,7359000,1590000,1590000,148919000,148919000,83699000,23117000,2138000,257325000,60807000,283920000,187591000,94831000,1498000,344727000,602052000,95660000,78698000,16962000,51354000,51354000,19645000,19645000,166659000,173331000,182844000,349503000,16000,152486000,117395000,-18274000,251623000,252549000,602052000,7131000,7367000,-2271000,301000,12528000,-1017000,33673000,-22000,-93611000,-334000,-48037000,-1836000,-1836000,-3000,-1839000,14919000,224685000,16267000,0.27244,0.03397,0.03311,0.02914,0.01222,2.21048999999996,1.54402,1.3839,0.3732,0.44387,0.42242,13.40799,15.17625,0.98118,0.00133,0.01516,0.03342,0.00298999999999999,14.95375,29.54118
"27","2017_Q2",36.3280952380952,"Up",238527000,-174012000,64515000,-56279000,-56279000,8236000,-3425000,-3653000,228000,4811000,4811000,-1817000,2994000,2994000,3133000,-23000,3110000,995000,995000,156971000,156971000,84325000,24676000,3816000,266967000,58304000,280043000,187591000,90665000,1787000,338347000,605314000,93277000,79279000,13998000,224715000,224715000,20860000,20860000,338852000,2504000,12892000,351744000,16000,152942000,120505000,-20594000,252869000,253570000,605314000,2994000,7015000,2038000,-14237000,-2190000,-601000,-601000,-23000,2364000,-142000,2199000,-592000,-592000,-3000,-595000,15251000,227219000,2230000,0.27047,0.03453,0.01304,0.01226,0.00514,0.71704,0.78786,1.38717,0.37537,0.17864,0.17042,13.70136,14.52427,0.12809,0.00132,0.00638,0.00454,0.0074,14.83339,27.4677
"28","2017_Q3",29.7896825396825,"Down",250698000,-181762000,68936000,-58679000,-58679000,10257000,-4049000,-3992000,-56999.9999999995,6208000,6208000,-2239000,3969000,3969000,4135000,-22000,4113000,2479000,2479000,160370000,160370000,90697000,26291000,3875000,279837000,56610000,276032000,187591000,86707000,1734000,332642000,612479000,105101000,88953000,16148000,217974000,217974000,17527000,17527000,340602000,2284000,14049000,354651000,16000,152901000,124617000,-20139000,257395000,257828000,612479000,3969000,6747000,2599000,-3271000,10044000,-517000,-517000,-22000,-7039000.00000001,-1021000,-8082000.00000001,1445000,1445000,39000,1484000,17004000,220258000,15455000,0.27498,0.04091,0.01641,0.01595,0.00672,3.7576,0.8216,1.37553,0.35962,0.23634,0.22546,14.40545,14.78935,0.88807,0.00126,0.00844,0.03155,0.00535,12.80752,21.23223
"29","2017_Q4",29.1038095238095,"Down",251930000,-184967000,66963000,-60453000,-60453000,6510000,-4775000,-4928000,153000,1735000,1735000,1176000,2911000,2911000,2966000,-23000,2943000,19473000,19473000,165235000,165235000,87720000,34499000,4290000,306927000,55703000,272445000,187591000,83045000,1809000,328148000,635075000,96253000,81518000,14735000,3365000,3365000,22668000,22668000,122286000,239042000,251144000,373430000,16000,153031000,127560000,-19309000,261298000,261645000,635075000,2911000,6836000,1870000,-10944000,673000,-1039000,-1039000,-23000,31936000,-11092000,20821000,20455000,20455000,153000,20608000,13346000,242407000,187000,0.2658,0.02584,0.01168,0.01125,0.00463,0.06354,2.50991,1.42724,0.3817,0.1692,0.1614,14.48373,15.02139,0.01075,0.00132,0.00575,0.00036,0.00782,16.70418,34.24485
