"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",42.0038709677419,"Down",1108981000,-290914000,818067000,-480575000,-480575000,337492000,-1672000,257000,335820000,335820000,-110818000,225002000,225002000,225002000,225002000,929670000,929670000,169467000,169467000,475364000,185047000,1759548000,602685000,622637000,364691000,257946000,1225322000,2984870000,622386000,107394000,514992000,847000,623233000,22607000,400128000,400128000,422735000,1045968000,2278984000,2874000,2276110000,-384139000,44057000,1938902000,1938902000,2984870000,225002000,33651000,-31749000,27494000,-24965000,-34278000,-124107000,44575000,-48230000,-27698000,-92754000,102797000,-41391000,-41391000,-41391000,0,-90449000,-65014000,-516000,-119107000,52893000,23497000,-161140000,-148792000,-148792000,-7133000,-155925000,371143000,23454000,316463000,0.73767,0.30433,0.20289,0.11605,0.07538,1.40649,2.82326,0.53946,0.00786,0.78184,0.76606,3.85348,6.73728,1.09964,0.22591,0.12276,0.13395,0.28895,-2.44169,-2.68515
"12","2013_Q1",38.4873333333333,"Down",1155191000,-317044000,838147000,-486517000,-486517000,351630000,-1521000,365000,350109000,350109000,-98679000,251430000,251430000,251430000,251430000,917215000,917215000,174462000,174462000,504490000,208361000,1804528000,644449000,649344000,376035000,168298000,1299793000,3104321000,695785000,155387000,540398000,22375000,718160000,985000,392245000,392245000,393230000,1111390000,2329906000,2851000,2327055000,-387450000,50475000,1992931000,1992931000,3104321000,251430000,34176000,31658000,28425000,28320000,-25087000,-34442000,-321000.00000003,-7405000,47171000,-73887000.0000001,282822000,-72733000,-72733000,-72733000,0,-86634000,-64698000,-94000,-160833000,8166999.99999999,14355000,-211270000,-15081999.9999999,-15081999.9999999,2627000,-12454999.9999999,385806000,23360000,377310000,0.72555,0.30439,0.21765,0.12616,0.08099,1.50066,2.51271,0.55767,0.00752,0.87853,0.86207,4.03641,6.96359,1.31838,0.22606,0.13125,0.15666,0.25732,-2.31685,-2.54203
"13","2013_Q2",42.32609375,"Up",1161350000,-316182000,845168000,-513451000,-513451000,331717000,-2036000,36000,329681000,329681000,-108300000,221381000,221381000,221381000,221381000,760755000,760755000,178307000,178307000,598128000,231397000,1768587000,687475000,695316000,416455000,278861000,1382791000,3151378000,708624000,132997000,575627000,22279000,730903000,985000,425397000,425397000,426382000,1157285000,2361585000,2836000,2358749000,-426176000,58684000,1994093000,1994093000,3151378000,221381000,36104000,33287000,28533000,7858000,-3104000,-88598000,-4277000,-71523000,-22964000,10166000,202174000,-56290000,-56290000,-56290000,-57549585.0910396,-101734000,-85766000,-96000,-151697000,23303000,-20126000,-257685000,-157245000,-157245000,785000,-156460000,367821000,23264000,331233000,0.72775,0.28563,0.19062,0.11102,0.07025,1.49621,2.41973,0.58036,0.00738,0.77795,0.76736,4.08108,7.00741,1.16398,0.30139,0.12574,0.1356,0.38741,-2.00503,-2.22325
"14","2013_Q3",41.6790625,"Down",1503774000,-418392000,1085382000,-558805000,-558805000,526577000,-1239000,266000,525338000,525338000,-172574000,352764000,352764000,352764000,352764000,858657000,858657000,223041000,223041000,493659000,273010000,1848367000,701273000,630057000,386699000,243358000,1431062000,3279429000,746711000,152571000,594140000,22225000,768936000,485000,427676000,427676000,428161000,1197097000,2427989000,2806000,2425183000,-382891000,37234000,2082332000,2082332000,3279429000,352764000,40777000,23953000,30493000,-3196000,-3344000,210344000,-48896000,97798000,22241000,139201000,627838000,-60809000,-60809000,-60809000,-99425000,-166721000,-169687000,-554000,-193777000,31223000,4728000,-359290000,101827000,101827000,-3925000,97902000,567354000,22710000,889463000,0.72177,0.35017,0.23459,0.16941,0.10757,2.52141,2.4038,0.57488,0.00692,1.24788,1.2325,5.3195,7.36611,3.14641,0.60026,0.20628,0.35119,0.48102,-1.47341,-1.58751
"15","2013_Q4",41.16796875,"Down",1187578000,-307390000,880188000,-531695000,-531695000,348493000,-743000,1021000,347750000,347750000,-108818000,238932000,238932000,238932000,238932000,928495000,876359000,177139000,177139000,515915000,272642000,1894191000,686597000,587677000,359680000,227997000,1377929000,3272120000,592391000,137143000,455248000,22122000,614513000,485000,413157000,413157000,413642000,1028155000,2462069000,2809000,2459260000,-228230000,10126000,2243965000,2243965000,3272120000,238932000,38785000,30622000,30183000,-12067000,12506000,-98944000,42631000,-35642000,-13904000,-92029000,209395000,-42832000,-42832000,-42832000,-50769000,-106095000,-84271000,-103000,5006000,5006000,-1109000,-80477000,22823000,22823000,-5121000,17702000,387278000,22607000,354320000,0.74116,0.29345,0.20119,0.10648,0.07302,1.48293,3.08243,0.45819,0.00691,0.84982,0.83847,4.22393,7.98124,1.26023,0.29973,0.12061,0.13222,0.3527,-2.33912,-2.59944
"16","2014_Q1",38.1644262295082,"Down",1222698000,-335336000,887362000,-569649000,-569649000,317713000,18000,1077000,317731000,317731000,-96408000,221323000,221323000,221323000,221323000,1134891000,1062785000,175477000,175477000,524706000,235873000,2070947000,694771000,568839000,345039000,129167000,1460950000,3531897000,722010000,178857000,543153000,500000.000000004,722510000,485000,399744000,399744000,400229000,1122739000,2523288000,2819000,2520469000,-101884000,-12246000,2409158000,2409158000,3531897000,221323000,47334000,25738000,31291000,905000,-6458000,80197999.9999999,-3658000.00000001,-29233000,45027000,68062000,374593000,-81469000,-81469000,-81469000,-20606000,-195950000,24000,-21547000,20868000,20868000,9007000,8352000,186995000,186995000,-539000,186456000,365047000,985000,460184000,0.72574,0.25985,0.18101,0.09187,0.06266,2.07924,2.86632,0.46603,0.00028,0.78599,0.77515,4.3422,8.5557,1.63426,-8.9999999999979e-05,0.07876,0.16377,-0.000109999999999943,-3.10619,-3.56896
"17","2014_Q2",33.1436507936508,"Down",1150800000,-324200000,826600000,-5.05e+08,-5.05e+08,321600000,1700000,1700000,323300000,323300000,-105400000,217900000,217900000,217900000,217900000,854745000,714617000,177975000,177975000,637214000,202131000,1872065000,720891000,577792000,372876000,204916000,1615325000,3487390000,706928000,164844000,542084000,5e+05,707428000,485000,400906000,400906000,401391000,1108819000,2539094000,2804000,2536290000,-153758000,-6765000,2378571000,2378571000,3487390000,217900000,4.5e+07,30200000,17500000,16400000,-3700000,-1.29e+08,-6e+05,-104800000,-19900000,-3700000,164100000,-45900000,-45900000,-45900000,-165800000,-231400000,-9.5e+07,0,-150500000,24500000,-3.6e+07,-281500000,-348800000,-348800000,6e+05,-348200000,366600000,985000,297100000,0.71828,0.27946,0.18935,0.09161,0.06248,1.36347,2.6463,0.46617,0.00028,0.77434,0.76591,4.08955,8.45263,1.05579,0.3376,0.11254,0.10685,0.43598,-2.32886,-2.65473
"18","2014_Q3",27.90421875,"Down",1419600000,-436900000,982700000,-546700000,-546700000,4.36e+08,1900000,1900000,437900000,437900000,-140500000,297400000,297400000,297400000,297400000,798835000,568228000,228631000,228631000,553026000,207184000,1787676000,748336000,551636000,357853000,132079000,1756141000,3543817000,702410000,135128000,567282000,484999.999999985,702895000,-58664142.4670295,410195000,410195000,410195000,1113090000,2580114000,2776000,2577338000,-125160000,-24227000,2430727000,2430727000,3543817000,297400000,47900000,3.1e+07,25500000,10900000,-5400000,24099999.9999999,-54700000,83800000,-28100000,23100000,400400000,-60800000,-60800000,-60800000,-207700000,-291600000,-94800000,-499999.999999985,-160100000,14800000,8e+05,-254600000,-145800000,-145800000,-6e+05,-146400000,483900000,485000.000000007,587700000,0.69224,0.30713,0.2095,0.12235,0.08392,1.97613,2.5433,0.45792,0.000139999999999999,1.06557,1.05648,5.08635,8.70916,2.1057,0.33966,0.13803,0.20683,0.31876,-1.64982,-1.83108
"19","2014_Q4",27.73,"Down",1099600000,-318300000,781300000,-518600000,-518600000,262700000,-2e+06,-2e+06,260700000,260700000,-69900000,190800000,190800000,190800000,190800000,774904000,463463000,197744000,197744000,583743000,233698000,1790089000,742021000,569217000,363417000,205800000,1790533000,3580622000,577461000,109798000,467663000,210485000,787946000,-98649774.7081335,403397000,403397000,403397000,1191343000,2607730000,2742000,2604988000,-202148000,-16303000,2389279000,2389279000,3580622000,190800000,45200000,39500000,25800000,1e+06,12700000,-170700000,31400000,-34500000,-25800000,-141800000,104800000,-50900000,-50900000,-50900000,-77900000,-150900000,-93900000,2.1e+08,-169300000,5700000,-3900000,-57100000,-103200000,-103200000,-1500000,-104700000,307900000,210485000,156200000,0.71053,0.23891,0.17352,0.07986,0.05329,0.81866,2.27184,0.49862,0.05878,0.69105,0.68436,3.98261,8.65367,0.56574,0.34009,0.0948,0.05201,0.49214,-1.83312,-2.14853
"20","2015_Q1",31.585737704918,"Up",1136200000,-429800000,706400000,-606600000,-606600000,99800000,6e+05,599999.999999999,100400000,100400000,-25200000,75200000,75200000,75200000,75200000,868600000,591900000,198600000,198600000,526200000,261800000,1855200000,713900000,609500000,361400000,126700000,1807900000,3663100000,672600000,153900000,518700000,140500000,813100000,2.98023223876953e-08,429400000,429400000,429400000,1242500000,2648800000,2700000,2646100000,-219500000,-8700000,2420600000,2420600000,3663100000,75200000,51300000,76400000,26300000,-51100000,101200000,113200000,200000.000000015,-8599999.99999999,43600000,7.8e+07,316100000,-6.2e+07,-6.2e+07,-6.2e+07,54300000,-33800000,-92800000,-70000000.0000001,3600000,3600000,4300000,-154900000,127400000,127400000,1e+06,128400000,151100000,140500000,227500000,0.62172,0.08784,0.06619,0.03107,0.02053,3.02527,2.28164,0.5133,0.03836,0.27385,0.27168,4.13765,8.815,0.82848,0.33795,0.05618,0.07607,1.23404,-4.81866,-7.29559
"21","2015_Q2",30.6077777777778,"Down",1038800000,-323400000,715400000,-535600000,-535600000,179800000,7e+05,7e+05,180500000,180500000,-61400000,119100000,119100000,119100000,119100000,907500000,660900000,2.09e+08,2.09e+08,597400000,224900000,1938800000,701200000,563300000,339400000,223900000,1732200000,3.671e+09,647500000,173700000,473800000,1.7e+08,817500000,303672606.786129,413400000,413400000,413400000,1230900000,2.669e+09,2800000,2666200000,-193300000,-35600000,2440100000,2440100000,3.671e+09,119100000,43300000,59500000,21900000,2.2e+07,15600000,-8.3e+07,-14100000,-92700000,21600000,2200000,138900000,-40400000,-40400000,-40400000,75300000,6e+06,-92600000,29500000,9e+06,9e+06,-17400000,-71500000,73400000,73400000,-4400000,6.9e+07,223100000,1.7e+08,161100000,0.68868,0.17308,0.11465,0.04881,0.03244,1.35264,2.37162,0.50445,0.04631,0.43309,0.4309,3.77745,8.87309,0.58582,0.33673,0.07002,0.05328,0.7775,-3.30569,-4.10178
"22","2015_Q3",24.9746875,"Down",1219400000,-379400000,8.4e+08,-564600000,-564600000,275400000,4e+05,4e+05,275800000,275800000,-92300000,183500000,183500000,183500000,183500000,1064900000,836300000,228500000,228500000,447200000,206800000,1947400000,6.84e+08,521200000,315500000,205700000,1669800000,3617200000,695400000,160500000,534900000,2e+07,715400000,666417584.400799,383800000,383800000,383800000,1099200000,2691200000,2800000,2688400000,-102900000,-70300000,2.518e+09,2.518e+09,3617200000,183500000,46500000,25200000,22400000,-3399999.99999999,6200000,189500000,-2.8e+07,141400000,-10900000,8.7e+07,444700000,-39200000,-39200000,-39200000,5.6e+07,-19100000,-9.3e+07,-1.5e+08,3400000,3400000,-3600000,-243200000,182400000,182400000,-7e+06,175400000,321900000,2e+07,564500000,0.68886,0.22585,0.15048,0.07288,0.05073,3.07629,2.72211,0.43654,0.00553,0.66582,0.66365,4.42453,9.13643,2.04826,0.33745,0.09463,0.1932,0.50681,-3.24604,-3.79412
"23","2015_Q4",25.43953125,"Up",929300000,-263800000,665500000,-541500000,-541500000,1.24e+08,-1200000,-1200000,122800000,122800000,-34700000,88100000,88100000,88100000,88100000,2021200000,1.782e+09,196900000,196900000,456900000,2.23e+08,2.898e+09,668400000,546600000,315600000,2.31e+08,1614700000,4512700000,683500000,165300000,518200000,7500000,6.91e+08,889200000,392200000,392200000,1281400000,1972400000,2722500000,2800000,2719700000,-107900000,-74300000,2540300000,2540300000,4512700000,88100000,47400000,37700000,22700000,-1900000,16900000,-6e+06,32100000,-17300000,4200000,-2.5e+07,167200000,-44900000,-44900000,-44900000,8.4e+07,-5100000,-9.3e+07,876700000,9300000,9300000,-9e+06,7.84e+08,946100000,946100000,-4e+05,945700000,171400000,896700000,155200000,0.71613,0.13343,0.0948,0.03468,0.01952,1.76163,4.19392,0.77644,0.19871,0.31932,0.31759,3.36825,9.20732,0.56252,0.33708,0.04729,0.04053,1.05562,-6.56068,-9.06855
"24","2016_Q1",29.912131147541,"Up",1004100000,-316400000,687700000,-648900000,-648900000,38800000,-6300000,-6300000,32500000,32500000,-20800000,11700000,11700000,11700000,11700000,1525800000,1291800000,219500000,219500000,485100000,276100000,2506500000,732600000,1021800000,434200000,111900000,2160400000,4666900000,823400000,222800000,600600000,11300000,834700000,879100000,463200000,463200000,1342300000,2.177e+09,2757200000,2800000,2754400000,-189600000,-77700000,2489900000,2489900000,4666900000,11700000,54600000,51800000,21900000,4800000,25100000,68500000,10300000,-2200000.00000001,49500000,10900000,186600000,-74800000,-74800000,-74800000,40300000,-594700000,-93200000,1.19209289550781e-07,14800000,14800000,-1600000,-79999999.9999999,-488100000,-488100000,-2100000,-490200000,93400000,890400000,107900000,0.68489,0.03864,0.01165,0.0047,0.00251000000000001,9.22222,3.00288,0.87433,0.19079,0.04235,0.04201,3.63409,9.01158,0.39052,0.33731,0.02729,0.02807,7.96581,-6.803,-16.37629
"25","2016_Q2",32.828125,"Up",1030300000,-333800000,696500000,-555100000,-555100000,141400000,-6700000,-6700000,134700000,134700000,-38300000,96400000,96400000,96400000,96400000,1276200000,9.66e+08,246900000,246900000,574700000,253800000,2351600000,727400000,9.95e+08,436300000,204700000,2202800000,4554400000,7.36e+08,215700000,520300000,1.5e+07,7.51e+08,875600000,454300000,454300000,1329900000,2080900000,2763400000,2800000,2760600000,-186800000,-103100000,2473500000,2473500000,4554400000,96400000,54400000,51800000,22900000,20200000,8700000,-194600000,-29300000,-95500000,-7e+06,-62800000,8e+06,-69500000,-69500000,-69500000,-99500000,-220400000,-93300000,0,2900000,2900000,-20300000,-110700000,-323100000,-323100000,-2700000,-325800000,195800000,890600000,-3e+07,0.67602,0.13724,0.09356,0.03897,0.02117,-0.3112,3.13129,0.84128,0.19555,0.34789,0.34639,3.71815,8.92638,-0.10826,0.3367,0.04968,-0.00786,0.96784,-1.96936,-2.72702
