"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q1",20455667.5204918,"Up",307000,-27000,280000,-4042000,-2466000,-658000,-3762000,-2108000,-5870000,-5435000,-5481000,-5481000,-5481000,-5481000,17535000,17535000,1855000,1593000,621000,141000,480000,21604000,652000,1710000,1596000,2362000,23966000,4764000,179000,179000,6124000,610000,9203000,15327000,90955000,-82316000,8639000,8639000,23966000,-5481000,45000,2721000,188000,-2527000,-7000,-76000,-83000,1049000,-1561000,-1561000,90000,-1471000,-3717000,9774000,0.91205,-12.25407,-17.85342,-0.63445,-0.2287,3.52776,1.77416,0.40783,-18746015.17146,-18746015.17146,1049995.74122,29546948.56162,-0.28812,2.08797,2.063
"12","2014_Q2",17258968.75,"Down",1482000,-625000,857000,-6392000,-3815000,-2577000,-5535000,-352000,-5887000,-5948000,-5968000,-5968000,-5968000,-5968000,13706000,13706000,1494000,1343000,668000,110000,558000,17211000,624000,1670000,1585000,2294000,19505000,5219000,2289000,190000,7508000,636000,8384000,15892000,91897000,-88284000,3613000,3613000,19505000,-5968000,56000,1138000,1065000,-3709000,-13000,-21000,-34000,-77000,-3820000,-3820000,-9000,-3829000,-5479000,7748000,0.57827,-3.73482,-4.02698999999999,-1.65181,-0.30597,2.29235,4.39856,0.39723,-1148439.50581,-1148439.50581,285185.54752,695260.04264,-0.49746,1.08742,1.07642
"13","2014_Q3",15530371.5820312,"Down",193000,-584000,-391000,-6844000,-4396000,-2448000,-7235000,-386000,-7621000,-7560000,-7562000,-7562000,-7562000,-7562000,8988000,8988000,493000,1514000,635000,215000,420000,11630000,663000,1665000,1581000,2328000,13958000,5873000,214000,214000,9124000,745000,7631000,16755000,93049000,-95846000,-2797000,-2797000,13958000,-7562000,66000,1252000,1599000,-4645000,-80000,49000,-31000,-38000,-4714000,-4714000,-4000,-4718000,-7169000,9923000,-2.02591,-37.48705,-39.18135,2.70361,-0.54177,1.27466,-5.99035,0.71092,-1452427.83017,-1452427.83017,37069.36938,-537217.752049998,-0.96074,-0.13042,-0.12923
"14","2014_Q4",8539258.30078125,"Down",273000,-349000,-76000,-6405000,-3945000,-2460000,-6481000,-313000,-6794000,-6794000,-6775000,-6775000,-6775000,-6775000,4978000,4978000,397000,1682000,682000,138000,544000,7739000,636000,1516000,1436000,2152000,9891000,5661000,180000,180000,9551000,719000,6721000,16272000,96240000,-102621000,-6381000,-6381000,9891000,-6775000,59000,1164000,-366000,-5918000,-12000,10000,-2000,1939000,-3981000,-3981000,-29000,-4010000,-6422000,9712000,-0.27839,-23.73993,-24.81685,1.06175,-0.68497,0.81028,-2.55007,0.9819,-1283555.64865,-1283555.64865,51721.13536,-1208910.49358,-1.67284,-0.73715,-0.73044
"15","2015_Q1",3946289.44672131,"Down",870000,-476000,394000,-4841000,-3582000,-1259000,-4447000,-334000,-4781000,-4781000,-4790000,-4790000,-4790000,-4790000,6300000,6300000,635000,1924000,509000,150000,359000,9368000,622000,1469000,1403000,2091000,11459000,4485000,179000,179000,8473000,687000,5773000,14246000,104624000,-107411000,-2787000,-2787000,11459000,-4790000,82000,993000,-1375000,-5090000,-28000,9000,-19000,6448000,1339000,1339000,-17000,1322000,-4365000,8895000,0.45287,-5.11149,-5.50575,1.71869,-0.41801,1.10563,-5.11159,0.77625,-808539.95236,-808539.95236,146853.81181,-470438.59024,-0.70493,-0.5945,-0.58354
"16","2015_Q2",1765604.16666667,"Down",477000,-514000,-37000,-4339000,-2987000,-1352000,-4376000,-306000,-4682000,-5196000,-5212000,-5212000,-5212000,-5212000,13186000,13186000,719000,1750000,387000,109000,278000,16042000,584000,1098000,1040000,1682000,17724000,3431000,162000,162000,7502000,699000,4837000,12339000,118008000,-112623000,5385000,5385000,17724000,-5212000,75000,1463000,-948000,-4622000,-1000,-10000,-11000,11560000,6927000,6927000,-41000,6886000,-4301000,8047000,-0.07757,-9.174,-10.92662,-0.96787,-0.29406,2.13836,2.29136,0.45402,-684210.64144,-684210.64144,62618.66385,706921.39374,-0.36883,1.19484,1.17436
"17","2015_Q3",1385538.57421875,"Down",685000,-897000,-212000,-3329000,-2582000,-747000,-3541000,-322000,-3863000,-3895000,-3878000,-3878000,-3878000,-3878000,9768000,9768000,728000,1229000,269000,76000,193000,11994000,546000,1022000,992000,1568000,13562000,3145000,169000,169000,7329000,698000,3857000,11186000,118877000,-116501000,2376000,2376000,13562000,-3878000,60000,1013000,382000,-2423000,0,9000,9000,-1015000,-3429000,-3429000,11000,-3418000,-3481000,7174000,-0.30949,-5.16934,-5.66131,-1.63215,-0.28595,1.63651,4.70791,0.52898,-333394.67477,-333394.67477,58889.98252,204266.56711,-0.37842,0.74519,0.73256
"18","2015_Q4",659895.26453125,"Down",632000,-543000,89000,-3082000,-2301000,-781000,-2993000,-228000,-3221000,-3639000,-3641000,-3641000,-3641000,-3641000,5308296.63813898,5308296.63813898,521479.43597255,930663.276979082,199197.806715669,71333.7491079475,127864.057607722,6959637.15780628,509808.030338478,857248.263953443,848817.75865161,1367056.29429192,8326693.4520982,2874839.22258846,164680.236748412,168055.74467653,7086136.66358627,736569.753779217,2945514.22186538,10031650.8854516,118178355.89011,-119883312.082163,-1704957.43335344,-1704957.43335344,8326693.4520982,-3641000,60000,876000,371000,-2334000,-11000,22000,11000,-940000.000000002,-3263000,-3263000,3999.99999999999,-3259000,-2933000,9.31322574615479e-10,0.14082,-4.73576,-5.76108,-0.225530878612666,-0.403924845926808,0.972314801060103,0.751876003436053,0.775290270921558,-312054.52871,-312054.52871,54166.01542,-201337.183439883,-0.107540244655753,-0.300559451870831,-0.294900780307597
"19","2016_Q1",383478.07442623,"Down",516000,-652000,-136000,-2457000,-1695000,-762000,-2593000,-240000,-2833000,-2851000,-2854000,-2854000,-2854000,-2854000,3257000,3257000,405000,753000,217000,75000,142000,4632000,472000,589000,589000,1061000,5693000,2518000,167000,167000,6834000,706000,1805000,8639000,120050000,-122996000,-2946000,-2946000,5693000,-2854000,46000,616000,-25000,-2217000,-4000,-28000,-32000,-988000,-3237000,-3237000,-15000,-3252000,-2547000,5248000,-0.26357,-5.02519,-5.53101,0.96877,-0.50132,0.67779,-2.93245,0.92183,-244574.18478,-244574.18478,44218.73838,-252458.14589,-0.9488,-0.7817,-0.76784
"20","2016_Q2",295755.46953125,"Down",563000,-497000,66000.0000000001,-2096000,-1717000,-379000,-2030000,-221000,-2251000,-2251000,-2252000,-2252000,-2252000,-2252000,1999000,1999000,546000,511000,266000,62000,204000,3322000,436000,486000,486000,922000,4244000,2592000,169000,169000,7055000,584000,584000,7639000,122210000,-125605000,-3395000,-3395000,4244000,-2252000,48000,296000,43000,-1865000,-6835.0520528762,90000,90000,516000,-1259000,-1259000,999.999999999998,-1258000,-1982000,4294000,0.11723,-3.60568,-4,0.66333,-0.53063,0.47087,-2.25007,1.01178,-183492.38058,-183492.38058,45873.09515,-276623.7265,-1.51854,-1.15792,-1.13054
"21","2016_Q3",103618.800625,"Down",540000,-478000,62000,-1828000,-1550000,-278000,-1766000,-180000,-1946000,-1946000,-1946000,-1946000,-1946000,-1946000,885000,885000,432000,387000,171000,41000,130000,1875000,412000,733000,733000,1145000,3020000,3421000,111000,111000,7451000,662000,662000,8113000,122492000,-127585000,-5093000,-5093000,3020000,-1946000,47000,291000,814000,-794000,-11000,31000,20000,-336000,-1110000,-1110000,-4000,-1114000,-1719000,3919000,0.11481,-3.27037,-3.6037,0.38209,-0.64437,0.25164,-1.59297,1.29768,-119458.51234,-119458.51234,33148.81637,-312642.44777,3.80078,-1.76498,-1.71801
"22","2016_Q4",65669.7504761905,"Down",469000,-439000,30000,-1788000,-1499000,-289000,-1758000,-237000,-1995000,-1995000,-1995000,-1995000,-1995000,-1995000,10468000,10468000,542000,365000,246000,107000,139000,11621000,379000,457000,457000,836000,12457000,1935000,35000,35000,5625000,604000,604000,6229000,135821000,-129593000,6228000,6228000,12457000,-1995000,48000,342000,-1350000,-2955000,-2000,-27000,-29000,12576000,9592000,9592000,-9000,9583000,-1710000,3655000,0.06397,-3.7484,-4.25373,-0.32033,-0.16015,2.06596,1.00016,0.29341,-22192.92475,-22192.92475,5217.28406,69281.97261,-0.19024,3.98421,3.87543
"23","2017_Q1",53381.1111290322,"Down",322000,-378000,-56000,-2038000,-1693000,-345000,-2094000,-174000,-2268000,-2268000,-2268000,-2268000,-2268000,-2268000,7516000,7516000,356000,5e+05,260000,65000,195000,8632000,379000,399000,399000,778000,9410000,2065000,33000,33000,4778000,587000,587000,5365000,135959000,-131914000,4045000,4045000,9410000,-2268000,48000,136000,203000,-1881000,-36000,25000,-11000,-1053000,-2945000,-2945000,-7000,-2952000,-2046000,2680000,-0.17391,-6.50311,-7.04348,-0.56069,-0.24102,1.80661,1.32633,0.2848,-22884.55077,-22884.55077,3249.04116,40814.81828,-0.31018,2.36364,2.30946
"24","2017_Q2",16022.876031746,"Down",569000,-495000,74000,-2478000,-2128000,-350000,-2404000,-154000,-2558000,-2558000,-2559000,-2559000,-2559000,-2559000,8572000,8572000,471000,329000,210000,21000,189000,9582000,496000,434000,434000,930000,10512000,2235000,23000,23000,2258000,540000,540000,2798000,142187000,-134473000,7714000,7714000,10512000,-2559000,42000,-272000,31000.0000000002,-2758000,-153000,-3000.00000000001,-156000,3983000,1069000,1069000,-13000,1056000,-2362000,0,0.13005,-4.22496,-4.49736,-0.33173,-0.24344,4.24358,0.36272,0,-16995.87699,-16995.87699,3779.07542,51233.37049,-0.31003,3.62913,3.56572
"25","2017_Q3",10721.5657142857,"Down",640000,-493000,147000,-2441000,-2038000,-403000,-2294000,0,-2294000,-2294000,-2294000,-2294000,-2294000,-2294000,6879000,6879000,451000,429000,234000,73000,161000,7993000,459000,455000,455000,914000,8907000,2539000,54000,54000,2593000,572000,572000,3165000,142509000,-136767000,5742000,5742000,8907000,-2294000,42000,240000,422000,-1590000,-11000,-28000,-39000,-90000,-1719000,-1719000,26000,-1693000,-2252000,0,0.22969,-3.58438,-3.58438,-0.39951,-0.25755,3.08253,0.5512,0,-5455.02571,-5455.02571,1521.89035,13654.20995,-0.36332,3.05462,2.99869
"26","2017_Q4",8272.63841269841,"Down",718000,-565000,153000,-2238000,-1950000,-288000,-2085000,-1000,-2086000,-2086000,-2086000,-2086000,-2086000,-2086000,4765000,4765000,538000,576000,276000,109000,167000,6155000,495000,463000,463000,958000,7113000,2695000,28000,28000,2723000,610000,610000,3333000,142633000,-138853000,3780000,3780000,7113000,-2086000,43000,175000,-140000,-2008000,-73000,-14000,-87000,-10000,-2105000,-2105000,-9000,-2114000,-2042000,5.82076609134674e-11,0.21309,-2.9039,-2.90529,-0.55185,-0.29327,2.26037,0.88175,0,-4896.39735,-4896.39735,1685.33715,8872.66635,-0.47517,2.3335,2.28537
"27","2018_Q1",3450.77475409836,"Down",834000,-623000,211000,-1660000,-1425000,-235000,-1449000,-24000,-1473000,-1473000,-1499000,-1499000,-1499000,-6089000,3710000,3710000,643000,533000,269000,62000,207000,5155000,476000,476000,476000,952000,6107000,2462000,20000,20000,2482000,624000,624000,3106000,143079000,-140352000,3001000,3001000,6107000,-1499000,51000,46000,-373000,-1775000,-21000,-15000,-36000,750000,-1061000,-1061000,6000,-1055000,-1398000,0,0.253,-1.73741,-7.30096,-2.02899,-0.99705,2.07695,1.03499,0,-6148.49607,-6148.49607,842.14908,2753.64572,-1.67972,2.65379,2.56039
"28","2018_Q2",848.203125,"Down",1007000,-714000,293000,-2246000,-1994000,-252000,-1953000,-436000,-2389000,-2389000,-2389000,-2389000,-2389000,-2389000,4637000,4637000,754000,517000,291000,53000,238000,6199000,444000,642000,642000,1086000,7285000,2929000,26000,26000,2955000,1507000,1507000,4462000,143785000,-142741000,2823000,2823000,7285000,-2389000,41000,482000,86000,-1780000,-1000,-11000,-12000,2718000,926000,926000,1000,927000,-1912000,0,0.29096,-1.93942,-2.37239,-0.84626,-0.32793,2.0978,1.58059,0,-794.54227,-794.54227,334.91171,347.2173,-0.55173,2.42521,2.3743
"29","2018_Q3",159.039841269841,"Down",1003000,-726000,277000,-1750000,-1520000,-230000,-1473000,846000,-627000,-627000,-627000,-627000,-627000,-627000,6442000,6442000,916000,637000,246000,71000,175000,8241000,431000,799000,799000,1230000,9471000,2454000,26000,26000,2480000,629000,629000,3109000,147466000,-143368000,6362000,6362000,9471000,-627000,38000,-816000,-789000,-2194000,-27000,-2000,-29000,4062000,1839000,1839000,-34000,1805000,-1435000,0,0.27617,-1.46859,-0.62512,-0.0985500000000001,-0.0662,3.32298,0.48868,0,-69.43212,-69.43212,111.06925,453.80038,-0.08969,4.4892,4.37339
"30","2018_Q4",158.713968253968,"Down",769000,-571000,198000,-2177000,-1761000,-416000,-1979000,-32000,-2011000,-2011000,-2011000,-2011000,-2011000,-2011000,11247000,11247000,710000,816000,314000,145000,169000,13087000,4e+05,446000,446000,846000,13933000,2347000,26000,26000,2373000,608000,608000,2981000,156331000,-145379000,10952000,10952000,13933000,-2011000,36000,-43000,189000,-1829000,-2000,43000,41000,6571000,4783000,4783000,22000,4805000,-1943000,0,0.25748,-2.57347,-2.61508,-0.18362,-0.14433,5.51496,0.27219,0,-36.6219,-36.6219,14.0041,199.44457,-0.17396,5.78847,5.68317
"31","2019_Q1",129.318196721311,"Down",822000,-595000,227000,-2433000,-1796000,-637000,-2206000,-7000,-2213000,-2213000,-2213000,-2213000,-2213000,-2669000,9384000,9384000,716000,1134000,185000,81000,104000,11419000,421000,448000,448000,869000,12288000,2895000,25000,25000,2920000,605000,605000,3525000,156355000,-147592000,8763000,8763000,12288000,-2213000,37000,41000,332000,-1803000,-37000,-7000,-44000,19000,-1828000,-1828000,-35000,-1863000,-2169000,0,0.27616,-2.6837,-3.24696,-0.30458,-0.2172,3.91062,0.40226,0,-47.50048,-47.50048,14.62922,155.95605,-0.28491,4.32642,4.25385
"32","2019_Q2",61.9595238095238,"Down",415000,-488000,-73000,-3057000,-1932000,-1125000,-3130000,-77000.0000000001,-3207000,-3207000,-3207000,-3207000,-3207000,-3207000,5807000,5807000,464000,1447000,252000,66000,186000,7970000,452000,1635000,1635000,2087000,10057000,2612000,25000,25000,2637000,1780000,1780000,4417000,156439000,-150799000,5640000,5640000,10057000,-3207000,35000,115000,-428000,-3485000,-66000,-39000,-105000,16000,-3574000,-3574000,-3000,-3577000,-3095000,-2.8421709430404e-14,-0.1759,-7.54217,-7.72771,-0.56862,-0.31888,3.02237,0.78316,0,-57.27108,-57.27108,7.41113,100.71995,-0.43221,1.87625,1.85527
"33","2019_Q3",40.434375,"Down",1354000,-912000,442000,-2625000,-1760000,-865000,-2183000,-23000,-2206000,-2206000,-2206000,-2206000,-2206000,-2206000,4823000,4823000,861000,1218000,320000,44000,276000,7222000,513000,1549000,1549000,2062000,9284000,1925000,20000,20000,1945000,1765000,1765000,3710000,158579000,-153005000,5574000,5574000,9284000,-2206000,38000,129000,-858000,-2897000,-99000,-20000,-119000,2030000,-986000,-986000,2000,-984000,-2145000,0,0.32644,-1.61226,-1.62925,-0.39577,-0.23761,3.71311,0.66559,0,-23.85834,-23.85834,14.64379,60.28396,-0.30059,2.24848,2.20934
"34","2019_Q4",15.82265625,"Down",939000,-811000,128000,-2125000,-1683000,-442000,-1997000,-73000,-2070000,-2070000,-2070000,-2070000,-2070000,-2070000,7154000,7154000,796000,1283000,341000,155000,186000,9574000,538000,1510000,1510000,2048000,11622000,2304000,19000,19000,2323000,1403000,1403000,3726000,162971000,-155075000,7896000,7896000,11622000,-2070000,41000,139000,30000,-1860000,-66000,-28000,-94000,4285000,2331000,2331000,0,2331000,-1956000,-1.77635683940025e-15,0.13632,-2.12673,-2.20447,-0.26216,-0.17811,4.12139,0.47188,0,-18.76117,-18.76117,8.5105,71.56435,-0.2226,3.65746,3.58237
"35","2020_Q1",14.4459677419355,"Down",1013000,-754000,259000,-2765000,-2243000,-522000,-2506000,-27000,-2533000,-2533000,-2557000,-2557000,-2557000,-2557000,5514000,5514000,823000,1236000,237000,87000,150000,7810000,547000,1523000,1523000,2070000,9880000,646000,2469000,2469000,3115000,1382000,1382000,4497000,163015000,-157632000,5383000,5383000,9880000,-2557000,44000,39000,906000,-1568000,-53000,-16000,-69000,4000,-1633000,-1633000,-7000,-1640000,-2462000,0,0.25568,-2.47384,-2.52419,-0.47501,-0.25881,2.50722,0.83541,0,-8.55731,-8.55731,3.39013,18.01486,-0.37797,2.23964,2.20032
"36","2020_Q2",10.1463492063492,"Down",1034000,-739000,295000,-2316000,-1793000,-523000,-2021000,43000,-1978000,-1978000,-1978000,-1978000,-1978000,-1978000,3141000,3141000,856000,1202000,237000,63000,174000,5436000,496000,1453000,1453000,1949000,7385000,2586000,17000,17000,2603000,1305000,1305000,3908000,163087000,-159610000,3477000,3477000,7385000,-1978000,51000,120000,-547000,-2354000,-39653.6440428702,-3000,-3000,3000,-2354000,-2354000,-19000,-2373000,-1970000,0,0.2853,-1.95455,-1.91296,-0.56888,-0.26784,2.08836,1.12396,0,-6.41466,-6.41466,3.35326,11.27591,-0.41363,1.59442,1.55418
"37","2020_Q3",6.34171875,"Down",313000,-433000,-120000,-2326000,-1882000,-444000,-2446000,-34000,-2480000,-2480000,-2480000,-2480000,-2480000,-2480000,13861000,13861000,416000,1402000,192000,40000,152000,15871000,459000,1410000,1410000,1869000,17740000,2774000,475000,475000,3249000,1277000,1277000,4526000,175304000,-162090000,13214000,13214000,17740000,-2480000,37000,73000,887000,-1483000,-25348.4181064031,-31000,-31000,12234000,10720000,10720000,0,10720000,-2409000,0,-0.38339,-7.8147,-7.92332,-0.18768,-0.1398,4.88489,0.34252,6.61744490042422e-24,-2.93188,-2.93188,0.37003,15.62173,-0.17114,5.75384,5.6668
