"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",8.1208064516129,"Down",18412000,-7228000,11184000,-44084000,-10068000,-34016000,-32900000,-4939000,-37839000,-43325000,-222000,-43547000,-43547000,-43547000,-43547000,319277000,10338000,308939000,3911000,3911000,16754000,7003000,7003000,346945000,73256000,86229000,76501000,9728000,194507000,541452000,34961000,2624000,32337000,34509000,11870000,69470000,239236000,137474000,376650000,446120000,1612631000,-1517454000,155000,95332000,95332000,541452000,-43547000,3858000,5993000,6525000,-27171000,-2572000,22181000,-5391000,1840000,1840000,-93184000,-125746000,-125746000,-70000,-125816000,-29042000,137414000,-24867000,0.60743,-1.78688,-2.36514,-0.45679,-0.08043,0.57104,4.99417,4.67965,0.25379,-0.37894,-0.37894,0.16022,0.82957,-0.21639,-0.09226,-0.05269,6.26207,5.52775
"12","2013_Q1",9.2785,"Up",21146000,-7290000,13856000,-57237000,-10864000,-46373000,-43381000,-4162000,-47543000,-52959000,33000,-52926000,-52926000,-52926000,-52926000,277194000,25437000,251757000,5805000,5805000,18269000,38363000,38363000,339631000,72215000,85944000,76501000,9443000,158159000,497790000,44227000,2863000,34281000,34310000,12414000,78537000,235628000,139077000,372235000,450772000,1617755000,-1570380000,-357000,47018000,47018000,497790000,-52926000,3698000,5908000,-4056000,-47376000,-4839000,67066000,62227000,940000,940000,210000,15061000,15061000,38000,15099000,-39683000,136607000,-48611000,0.65525,-2.0515,-2.50288,-1.12565,-0.10632,0.91847,4.32447,9.58722,0.27443,-0.45949,-0.45949,0.18359,0.4082,-0.42203,-0.12624,-0.11595,3.54275,3.24075
"13","2013_Q2",10.225,"Up",23004000,-11661000,11343000,-56447000,-10829000,-45618000,-45104000,-4204000,-49308000,-54851000,-212000,-55063000,-55063000,-55063000,-55063000,236195000,28531000,207664000,3647000,3647000,18381000,33813000,33813000,292036000,70112000,85753000,76501000,9252000,155865000,447901000,47315000,4218000,39930000,35906000,12667000,83221000,231534000,133616000,367300000,450521000,1623218000,-1625443000,-395000,-2620000,-2620000,447901000,-55063000,3628000,5534000,7790000,-38111000,-316000,44002000,43686000,1218000,1218000,-2474000,3101000,3101000,-7000,3094000,-41476000,135766000,-33790000,0.49309,-1.9607,-2.39363,21.01641,-0.12294,0.61366,3.50916,-171.95458,0.30312,-0.47753,-0.47753,0.1995,-0.02272,-0.29304,-0.15099,-0.09266,2.42138,2.22661
"14","2013_Q3",12.3246875,"Up",33862000,-5011000,28851000,-61458000,-9228000,-52230000,-32607000,-4451000,-37058000,-42543000,-205000,-42748000,-42748000,-42748000,-42748000,201885000,41432000,160453000,6041000,6041000,20479000,31018000,31018000,259423000,67849000,85537000,76501000,9036000,153386000,412809000,51867000,5572000,39378000,38410000,16297000,90277000,228180000,134664000,363081000,453358000,1628978000,-1668191000,-1336000,-40549000,-40549000,412809000,-42748000,3653000,6033000,-1275000,-34337000,-478000,47075000,46597000,1403000,1403000,629000.000000007,12889000,12889000,12000,12901000,-28954000,134901000,-30502000,0.85202,-0.96294,-1.26242,1.05423,-0.10355,0.71353,2.87363,-11.1805,0.32679,-0.36997,-0.36997,0.29306,-0.35094,-0.26398,-0.13254,-0.09457,2.31346,2.05428
"15","2013_Q4",10.751875,"Down",60909000,-12877000,48032000,-54557000,-10643000,-43914000,-6525000,-4209000,-10734000,-16350000,-193000,-16543000,-16543000,-16543000,-16543000,183550000,65411000,118139000,4557000,4557000,15076000,29759000,29759000,232942000,65082000,85011000,76501000,8510000,150093000,383035000,46810000,3723000,39920000,34103000,12803000,80913000,218365000,136132000,352372000,433285000,1636173000,-1684734000,-1689000,-50250000,-50250000,383035000,-16543000,3601000,5830000,-12598000,-19710000,-588000,42365000,41777000,2632000,2632000,1897000,23964000,23964000,15000,23979000,-2924000,134007000,-15917000,0.78859,-0.10713,-0.2716,0.329209999999999,-0.04319,0.96216,2.87892,-8.62259000000001,0.34986,-0.14284,-0.14284,0.52591,-0.43387,-0.13743,-0.05476,-0.05268,16.94357,7.5928
"16","2014_Q1",13.1937704918033,"Up",31146000,-8960000,22186000,-58080000,-9832000,-48248000,-35894000,-4465000,-40359000,-46024000,-1635000,-47659000,-47659000,-47659000,-47659000,237026000,39067000,197959000,2229000,2229000,13452000,30175000,30175000,282882000,66974000,84671000,76501000,8170000,151645000,434527000,53434000,9115000,37402000,41251000,17587000,98221000,293160000,210776000,426209000,524430000,1643671000,-1732393000,-1181000,-89903000,-89903000,434527000,-47659000,3393000,1229000,96668000,53631000,-2709000,-79442000,-82151000,2955000,2955000,2164000,-26356000,-26356000,12000,-26344000,-32501000,136585000,63093000,0.71232,-1.15244,-1.53018,0.53012,-0.10968,-1.32384,2.88006,-5.83329,0.31433,-0.40995,-0.40995,0.26791,-0.77331,0.5427,-0.14024,0.18565,3.0904,2.79827
"17","2014_Q2",11.8138095238095,"Down",19771000,-7907000,11864000,-48266000,-9928000,-38338000,-36402000,-4221000,-40623000,-46010000,-191000,-46201000,-46201000,-46201000,-46201000,284071000,32443000,251628000,1855000,1855000,12872000,30972000,30972000,329770000,72968000,84275000,76501000,7774000,157243000,487013000,36205000,3064000,29974000,43108000,19566000,79313000,285459000,208910000,417509000,496822000,1769725000,-1778594000,-940000,-9809000,-9809000,487013000,-46201000,3264000,4752000,-24105000,-62290000,-4524000,-53689000,-58213000,121693000,121693000,113868000,-6635000,-6635000,11000,-6624000,-33138000,132050000,-61576000,0.60007,-1.84118,-2.33681,4.71006,-0.09487,1.33279,4.15783,-50.64961,0.27114,-0.37397,-0.37397,0.16003,-0.0794,-0.49842,-0.11332,-0.15103,4.58751,4.17617
"18","2014_Q3",12.758125,"Up",28513000,-5108000,23405000,-46321000,-9619000,-36702000,-22916000,-4392000,-27308000,-32442000,-195000,-32637000,-32637000,-32637000,-32637000,276436000,30699000,245737000,3047000,3047000,14111000,29629000,29629000,323223000,71070000,83844000,76501000,7343000,154914000,478137000,44762000,7437000,30408000,39593000,14827000,84355000,298117000,209199000,429142000,513497000,1776758000,-1811231000,-887000,-35360000,-35360000,478137000,-32637000,3255000,4549000,15748000,-9084999.99999999,-668000,5970000,5302000,2868999.99999997,2868999.99999997,2044000,-1739000,-1739000,-5000,-1744000,-19661000,131025000,-4386000,0.82085,-0.8037,-1.14464,0.92299,-0.06826,0.13439,3.8317,-14.52197,0.27403,-0.25686,-0.25686,0.22441,-0.2783,-0.03452,-0.08288,-0.01114,7.39591,6.34539
"19","2014_Q4",14.24859375,"Up",132871000,-9220000,123651000,-43330000,-9130000,-34200000,80321000,-4264000,76057000,70853000,-248000,70605000,70605000,70605000,70605000,236643000,32008000,204635000,46074000,46074000,11695000,29708000,29708000,324120000,69275000,83507000,76501000,7006000,152782000,476902000,39751000,5428000,31156000,40798000,16172000,80549000,218796000,135894000,349135000,429684000,1789022000,-1740626000,-1178000,47218000,47218000,476902000,70605000,3214000,2631000,-122454000,-46004000,-898000,41046000,40148000,8142000,8142000,7214000,1358000,1358000,-49000,1309000,83535000,130339000,-39569000,0.93061,0.6045,0.53138,1.4953,0.14805,-0.56043,4.02389,9.1,0.2733,0.55365,0.55365,1.0419,0.37026,-0.31028,0.17814,-0.09983,-1.27257,-1.32349
"20","2015_Q1",13.7016393442623,"Down",19552000,-6298000,13254000,-50742000,-12248000,-38494000,-37488000,-4178000,-41666000,-46829000,1146000,-45683000,-45683000,-45683000,-45683000,237824000,12365000,225459000,3607000,3607000,12952000,33817000,33817000,288200000,70368000,83053000,76501000,6552000,153421000,441621000,29495000,2703000,19875000,30040000,5567000,64047000,212103000,135192000,341242000,405289000,1824208000,-1786309000,-1567000,36332000,36332000,441621000,-45683000,3194000,3476000,14386000,-24627000,-3886000,-20922000,-24808000,30816000,30816000,29858000,-19577000,-19577000,-66000,-19643000,-34294000,133651000,-24940000,0.67788,-1.91735,-2.33649,-1.25738,-0.10344,0.54594,4.49982,11.15515,0.30264,-0.35314,-0.35314,0.15114,0.28085,-0.19279,-0.11956,-0.06527,3.03765,2.77884
"21","2015_Q2",11.4726984126984,"Down",108801000,-8444000,100357000,-57314000,-10303000,-47011000,43043000,-3960000,39083000,34033000,-213000,33820000,33820000,33820000,33820000,300805000,129452000,171353000,2884999.99999999,2884999.99999999,12511000,31092000,31092000,347293000,69267000,82652000,76501000,6151000,151919000,499212000,34539000,5024000,26348000,35493000,10534000,75444000,217077000,138659000,346463000,421907000,1831070000,-1752489000,-1276000,77305000,77305000,499212000,33820000,2973000,5327000,21192000,63312000,-1059000,54217000,53158000,1685000,1685000,587000,117057000,117057000,30000,117087000,46016000,134798000,66362000,0.92239,0.39561,0.31084,0.43749,0.06775,1.96221,4.60332,5.45769,0.27002,0.25746,0.24929,0.82827,0.5885,0.5052,0.0788,0.15463,-3.60759,-3.85677
"22","2015_Q3",11.7928125,"Up",22661000,-10534000,12127000,-55596000,-10184000,-45412000,-43469000,-3872000,-47341000,-52493000,-164000,-52657000,-52657000,-52657000,-52657000,254660000,20875000,233785000,3680000,3680000,10124000,33782000,33782000,302246000,72158000,82263000,76501000,5762000,154421000,456667000,39233000,2833000,29483000,36201000,13214000,81077000,212602000,138639000,340491000,421568000,1841743000,-1805146000,-1498000,35099000,35099000,456667000,-52657000,2860000,5289000,-2747000,-47255000,-3525000,-62469000,-65994000,6112999.99999999,6112999.99999999,4727000,-108522000,-108522000,-55000,-108577000,-40609000,133532000,-46717000,0.53515,-1.91823,-2.32368,-1.50024,-0.11531,0.88719,3.72789,12.01083,0.29241,-0.4,-0.4,0.17214,0.26662,-0.35488,-0.13812,-0.12254,2.98279,2.78654
"23","2015_Q4",13.70890625,"Up",59952000,-6760000,53192000,-52773000,-9544000,-43229000,419000,-3304000,-2885000,-8111000,-92000,-8203000,-8203000,-8203000,-8203000,267819000,18819000,2.49e+08,2966000,2966000,10352000,5214000,5214000,286351000,72532000,90363000,76501000,13862000,162895000,449246000,45914000,2279000,40468000,31301000,10690000,208098000,200760000,131819000,202095000,410193000,1854223000,-1813349000,-1821000,39053000,39053000,449246000,-8203000,3276000,3111000,-12215000,-14031000,-4138000,-15157000,5705000,7718000,7718000,6404000,-1922000,-1922000,-134000,-2056000,3695000,132218000,-12566000,0.88724,0.00699,-0.13683,-0.210050000000002,-0.01826,1.53188,1.37604,10.5035,0.29431,-0.06185,-0.06185,0.45202,0.29445,-0.09474,-0.02205,-0.03378,-36.69851,-323.63007
"24","2016_Q1",12.8055737704918,"Down",39370000,-8364000,31006000,-60370000,-13235000,-47135000,-29364000,-5466000,-34830000,-54100000,-37000,-54137000,-54137000,-54137000,-54137000,308944000,55570000,253374000,19947000,19947000,11346000,9814000,9814000,350051000,71336000,77255000,76501000,754000,148591000,498642000,24935000,2363000,18374000,31555000,10127000,61246000,188195000,125769000,430967000,492213000,1876085000,-1867486000,-2170000,6429000,6429000,498642000,-54137000,3746000,16217000,-40935000,-75109000,-2473000,-4732000.00000001,-7204999.99999999,16692000,16692000,119065000,36751000,36751000,0,36751000,-25618000,247528000,-68989000,0.78755,-0.74585,-1.37508,-8.42075,-0.10857,1.27434,5.71549,76.56136,0.4964,-0.40341,-0.41679,0.29337,0.04791,-0.51408,-0.12244,-0.15603,2.39738,2.09154
"25","2016_Q2",14.90109375,"Up",58882000,-8870000,50012000,-59496000,-10228000,-49268000,-9484000,-4802000,-14286000,-19331000,-167000,-19498000,-19498000,-19498000,-19498000,288325000,72549000,215776000,39677000,39677000,11250000,5593000,5593000,344845000,69852000,77182000,76501000,681000,147034000,491879000,33417000,2349000,26924000,27746000,10506000,65945000,180754000,121167000,426209000,492154000,1888544000,-1886984000,-1835000,-275000,-275000,491879000,-19498000,3715000,4256000,-12121000,-23648000,-1679000,37925000,36246000,6096000,6096000,4373000,16971000,16971000,8000,16979000,-5769000,250237000,-19402000,0.84936,-0.16107,-0.33114,70.90182,-0.03964,0.99508,5.22928,-1789.65091,0.50874,-0.14359,-0.14359,0.43362,-0.00202999999999998,-0.14288,-0.04527,-0.04505,6.60218,4.01602999999999
"26","2016_Q3",17.16546875,"Up",32767000,-7708000,25059000,-63384000,-11034000,-52350000,-38325000,-5169000,-43494000,-48476000,-127000,-48603000,-48603000,-48603000,-48603000,274854000,55676000,219178000,27777000,27777000,10262000,5427000,5427000,318320000,67774000,77005000,76501000,504000,144779000,463099000,39324000,2328000,32852000,36342000,20327000,79282000,177745000,117610000,423068000,502350000,1898355000,-1935587000,-2019000,-39251000,-39251000,463099000,-48603000,3919000,2488000,28592000,-13604000,-1555000,-3368000,-4922999.99999999,3547000,3547000,1753000.00000001,-16774000,-16774000,-99000,-16873000,-34406000,248939000,-7241999.99999999,0.76476,-1.16962,-1.48329,1.23826,-0.10495,0.149,4.01503,-12.7984,0.53755,-0.35646,-0.35646,0.24032,-0.28787,-0.05311,-0.12545,-0.01869,0.75321,0.67619
"27","2016_Q4",13.5546031746032,"Down",36335000,-7033000,29302000,-62204000,-10253000,-51951000,-32902000,-5281000,-38183000,-43085000,-139000,-43224000,-43224000,-43224000,-43224000,253511000,63295000,190216000,14249000,14249000,10754000,4008000,4008000,282522000,65553000,77020000,76501000,519000,142573000,425095000,44756000,7118000,33440000,29179000,15078000,76305000,171496000,114408000,416643000,492948000,1912920000,-1978811000,-1962000,-67853000,-67853000,425095000,-43224000,3868000,2447000,9548000,-27361000,-507000,28889000,28382000,8398000,8398000,6539000,7560000,7560000,59000,7619000,-29034000,247517000,-19854000,0.80644,-0.90552,-1.1896,0.637020000000003,-0.10168,0.45933,3.70254,-7.2649399999999,0.58226,-0.31529,-0.31529,0.26504,-0.49494,-0.14482,-0.12309,-0.05654,0.20645,0.182180000000001
"28","2017_Q1",14.9858064516129,"Up",37452000,-6604000,30848000,-62992000,-12760000,-50232000,-32144000,-4829000,-36973000,-41756000,-443000,-42199000,-42199000,-42199000,-42199000,389102000,59640000,329462000,15678000,15678000,11109000,10063000,10063000,425952000,65601000,77318000,76501000,817000,142919000,568871000,37963000,2816000,30949000,34259000,19907000,72222000,165060000,113173000,408524000,480746000,2111498000,-2021010000,-2363000,88125000,88125000,568871000,-42199000,3849000,4028000,-18089000,-52411000,-2651000,-139454000,-142105000,191522000,191522000,190953000,-3563000,-3563000,-92000,-3655000,-28295000,243464000,-48592000,0.82367,-0.85827,-1.12675,-0.47885,-0.07418,1.1515,5.89782,5.45527,0.42798,-0.28294,-0.28294,0.25111,0.59086,-0.3258,-0.08497,-0.09784,5.14713,4.5308
"29","2017_Q2",19.265873015873,"Up",24728000,-6131000,18597000,-73034000,-11976000,-61058000,-54437000,-4744000,-59181000,-63733000,-133000,-63866000,-63866000,-63866000,-63866000,358523000,23480000,335043000,1565000,1565000,13016000,7881000,7881000,380985000,66642000,77366000,76501000,865000,147501000,528486000,36523000,6951000,25482000,39083000,14891000,78515000,159713000,108047000,405222000,483737000,2131713000,-2085115000,-1849000,44749000,44749000,528486000,-63866000,4033000,5342000,19925000,-34566000,-4089000,-8981000,-13070000,11792000,11792000,11179000,-36457000,-36457000,297000,-36160000,-50404000,248418000,-34435000,0.75206,-2.20143,-2.58274,-1.42721,-0.12085,0.53918,4.85238,10.81001,0.47006,-0.41562,-0.41562,0.16092,0.29121,-0.22409,-0.14102,-0.07604,2.18445,2.02261
