"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","fixed_income_securities_htm","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_short_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",23.88234375,"Up",108165000,100711000,6701000,753000,583000,170000,-2964000,-31409000,73792000,73792000,73792000,-21534000,52258000,52258000,52258000,52258000,1435174000,129235000,1305939000,16172000,21125000,9030000,12239000,164467000,1658207000,237384000,22474000,214910000,172216000,409600000,1248607000,1248607000,1248607000,1658207000,52258000,1040000,19092000,-17797000,54593000,-63658000,-64496000,-33000,-33000,-2131000,-12034000,-12034000,-12034000,74832000,0,0.68222,0.48313,0.04185,0.03151,0.32805,0,0.57483,0.56716,1.18979,13.73439,0.03517,-0.21611,-0.21916
"12","2016_Q4",27.741746031746,"Up",121254000,110801000,6781000,3672000,435000,3237000,-4965000,-32792000,83497000,83441000,83441000,-23730000,59711000,59711000,59711000,59711000,1582156000,150483000,1431673000,16336000,20253000,8291000,13013000,177679000,1817728000,245727000,25731000,219996000,211786000,507513000,1310215000,1310215000,1310215000,1817728000,59711000,1048000,20542000,-4502000,76799000,-125912000,-126221000,-87000,-86999.9999999995,49586000,164000,164000,164000,84545000,5e+07,0.68861,0.49245,0.04557,0.03285,0.38735,0.02751,0.65644,0.64622,1.33302,14.40398,0.03718,0.39818,0.40318
"13","2017_Q1",32.7129032258064,"Up",126373000,116792000,8225000,1356000,445000,911000,-3865000,-34836000,87672000,87302000,87302000,-24616000,62686000,62686000,62686000,62686000,1615102000,132348000,1482754000,27531000,21632000,8119000,13400000,197214000,1882998000,247758000,28142000,219616000,191467000,539225000,1343773000,1343773000,1343773000,1882998000,62686000,976000,21070000,-10062000,74670000,-112741000,-113545000,-61000,-61000,50070000,11195000,11195000,11195000,88648000,1e+08,0.69376,0.49604,0.04665,0.03329,0.40128,0.05311,0.6889,0.67709,1.38881,14.76771,0.03706,0.81749,0.82659
"14","2017_Q2",34.6077777777778,"Up",127592000,117651000,8435000,1506000,655000,851000,-3693000,-36332000,87567000,86851000,86851000,-20253000,66598000,66598000,66598000,66598000,1724533000,112380000,1612153000,19713000,23479000,8205000,13493000,198277000,1987700000,250730000,29468000,221262000,199218000,574948000,1412752000,1412752000,1412752000,1987700000,66598000,1001000,24286000,-13997000,77888000,-102492000,-103579000,-7127000,-7127000,17873000,-7818000,-7818000,-7818000,88568000,1.25e+08,0.6863,0.52196,0.04714,0.03351,0.40697,0.06289,0.72978,0.71593,1.39815,15.48086,0.03724,1.18877,1.20236
"15","2017_Q3",36.4504761904762,"Up",137606000,126563000,9400000,1643000,544000,1099000,-1770000,-35686000,100150000,98961000,98961000,-26843000,72118000,72118000,72118000,72118000,1841041000,130984000,1710057000,27670000,26648000,7955000,14037000,235542000,2152893000,258560000,29798000,228762000,223244000,654996000,1497897000,1497897000,1497897000,2152893000,72118000,969000,21296000,-27868000,66515000,-105162000,-105881000,-112000,-112000,47323000,7957000,7957000,7957000,101119000,173192000,0.7278,0.52409,0.04815,0.0335,0.43728,0.08045,0.78919,0.77411,1.50583,16.3916,0.03737,1.43912,1.45304
"16","2017_Q4",41.0604761904762,"Up",150203000,137940000,10626000,1637000,564000,1073000,-4313000,-37035000,108855000,107399000,107399000,-29006000,78393000,78393000,78393000,78393000,2123314000,296513000,1826801000,57741000,29284000,7825000,14831000,252596000,2485591000,277456000,31579000,245877000,254076000,705021000,1780570000,1780570000,1780570000,2485591000,78393000,985000,22068000,6172000,107618000,-274783000,-275638000,198122000,-90000.0000000009,198091000,30071000,30071000,30071000,109840000,173489000,0.72472,0.52191,0.04403,0.03154,0.39595,0.0698,0.83206,0.81552,1.59426,18.89901,0.03513,1.05379,1.06332
"17","2018_Q1",42.7468852459016,"Up",161110000,147976000,11765000,1369000,252000,1117000,-17456000,-36480000,107174000,105357000,105357000,57281000,162638000,162638000,162638000,162638000,2305565000,312694000,1992371000,43524000,29752000,6979000,15354000,273194000,2674368000,306522000,46850000,259672000,178819000,733932000,1940436000,1940436000,1940436000,2674368000,162638000,968000,-61689000,14635000,116552000,-204922000,-205044000,-631000,-248000,74275000,-14217000,-14217000,-14217000,108142000,248591000,0.66522,1.00948,0.08382,0.06081,0.37823,0.09295,1.68598,1.65061,1.67014,20.11544,0.06517,1.89628,1.9134
"18","2018_Q2",34.13125,"Down",167463000,152558000,13714000,1191000,197000,994000,-5309000,-38124000,124030000,121580000,121580000,-10511000,111069000,111069000,111069000,111069000,2461127000,380762000,2080365000,32958000,45953000,6590000,15563000,179026000,2741217000,322305000,49966000,272339000,159925000,745927000,1995290000,1995290000,1995290000,2741217000,111069000,897000,15001000,94901000,221868000,-215856000,-216364000,-31070000,-31070000,-16070000,-10566000,-10566000,-10566000,124927000,263697000,0.74064,0.66325,0.05567,0.04052,0.37384,0.0962,1.14153,1.13392,1.72114,20.507,0.04303,1.84699,1.86035
"19","2018_Q3",38.6595238095238,"Up",173768000,156958000,15134000,1676000,439000,1237000,-1813000,-36428000,135527000,132909000,132909000,-21154000,111755000,111755000,111755000,111755000,2556013000,327011000,2229002000,24664000,35276000,7295000,15947000,210236000,2849431000,333801000,50016000,283785000,188718000,745860000,2103571000,2103571000,2103571000,2849431000,111755000,837000,22743000,-14547000,120788000,-86961000,-88503000,-55000,-55000,-40579000,-8294000,-8294000,-8294000,136364000,223341000,0.77993,0.64313,0.05313,0.03922,0.35457,0.07838,1.14708,1.14193,1.78359,21.59147,0.042,1.45696,1.46596
"20","2018_Q4",36.0401587301587,"Down",184998000,166675000,16646000,1677000,524000,1153000,-5452000,-36899000,142647000,140147000,140147000,-24136000,116011000,116011000,116011000,116011000,2690617000,191912000,2473840000,29797000,35597000,7387000,16159000,213866000,2993423000,345686000,53355000,292331000,209111000,778284000,2215139000,2215139000,2215139000,2993423000,116011000,805000,14424000,12058000,143298000,-112832000,-138094000,-78999.9999999981,-79000.0000000037,-71000,5133000,5133000,5133000,143452000,223487000,0.77107,0.62709,0.05237,0.03876,0.35135,0.07466,1.19059,1.18359,1.89858,22.73336,0.04167,1.35021,1.35783
"21","2019_Q1",38.8055737704918,"Up",193124000,173301000,18597000,1226000,158000,1068000,999000,-39449000,154674000,152063000,152063000,-23535000,128528000,128528000,128528000,128528000,2791018000,154400000,2605666000,64946000,36881000,7629000,16049000,233448000,3149971000,344931000,49464000,295467000,215659000,784254000,2365717000,2365717000,2365717000,3149971000,128528000,865000,21779000,-11805000,139367000,871080000,-103944000,-210000,-210000,-274000,35149000,35149000,35149000,155539000,223664000,0.80091,0.66552,0.05433,0.0408,0.33151,0.07101,1.31894,1.31065,1.98182,24.27671,0.0438,1.02044,1.02615
"22","2019_Q2",44.3630158730159,"Up",200526000,177791000,19880000,2855000,660000,2195000,-7107000,-41030000,152389000,149719000,149719000,-21999000,127720000,127720000,127720000,127720000,3008824000,210822000,2765267000,40489000,38194000,17940000,15657000,232141000,3353245000,348804000,53484000,295320000,252831000,825442000,2527803000,2527803000,2527803000,3353245000,127720000,901000,22048000,-11987000,138682000,-152224000,-155039000,-8100000,-8100000,-8100000,-24457000,-24457000,-24457000,153290000,223807000,0.75995,0.63692,0.05053,0.03809,0.32655,0.06674,1.30867,1.30188,2.05467,25.90095,0.04119,1.19589,1.20296
"23","2019_Q3",45.10828125,"Up",211892000,188490000,20581000,2821000,583000,2238000,-4960000,-41520000,165412000,162733000,162733000,-26328000,136405000,136405000,136405000,136405000,3170067000,251468000,2848746000,25255000,40395000,17324000,15830000,271028000,3539899000,350372000,55138000,295234000,261285000,835607000,2704292000,2704292000,2704292000,3539899000,136405000,925000,20990000,-31518000,126802000,-104084000,-141896000,-125000,-125000,-140000,-15234000,-15234000,-15234000,166337000,223950000,0.78064,0.64375,0.05044,0.03853,0.30899,0.06326,1.39475,1.38948,2.16661,27.65153,0.0416,1.19453,1.20121
"24","2019_Q4",49.34671875,"Up",226387000,203473000,21104000,1810000,1153000,657000,-9990000,-41588000,174809000,172225000,172225000,-27595000,144630000,144630000,144630000,144630000,3309886000,252604000,2982009000,49582000,40221000,16792000,16003000,289570000,3722054000,351501000,61436000,290065000,291289000,866884000,2855170000,2855170000,2855170000,3722054000,144630000,942000,23660000,-10137000,159095000,-114050000,-119479000,-615999.999999998,-616000,-15289000,24327000,24327000,24327000,175751000,224094000,0.77217,0.63886,0.05066,0.03886,0.30362,0.06021,1.47849,1.47191,2.31425,29.1871,0.04643,0.99295,0.9983
"25","2020_Q1",42.0803225806452,"Down",228762000,207671000,21977000,-886000,833000,-1719000,-10929000,-41231000,176602000,174384000,174384000,-27426000,146958000,146958000,146958000,146958000,3429620000,315362000,3035385000,71350000,40655000,17308000,15705000,298787000,3873425000,348249000,69362000,278887000,316094000,888580000,2984845000,2984845000,2984845000,3873425000,146958000,1001000,22727000,-5417000,165269000,-50835000,-128662000,-164000,-164000,-14839000,21768000,21768000,21768000,177603000,224237000,0.77199,0.64241,0.04923,0.03794,0.2977,0.05789,1.50216,1.49387,2.33834,30.51022,0.04544,0.86084,0.86571
"26","2020_Q2",29.2611111111111,"Down",228840000,206496000,20633000,1711000,3135000,-1424000,-8063000,-41947000,178830000,176698000,176698000,-27175000,149523000,149523000,149523000,149523000,3780907000,595165000,3110362000,31055000,41228000,16325000,15147000,302272000,4186934000,337475000,73341000,264134000,318005000,1079860000,3107074000,3107074000,3107074000,4186934000,149523000,878000,14156000,-1426000.00000001,163131000,-106147000,-381426000,-6306000,-6306000,1.78e+08,-40295000,-40295000,-40295000,179708000,424380000,0.78146,0.6534,0.04812,0.03571,0.34755,0.10136,1.52654,1.52069,2.33632,31.72134,0.0427,2.18869,2.19944
"27","2020_Q3",34.23609375,"Up",236077000,211471000,19866000,4740000,-1269000,6009000,-175877000,-38819000,21381000,18815000,18815000,-3435000,15380000,15380000,15380000,15380000,4430639000,1130954000,3221149000,72787000,39750000,15458000,15856000,325458000,4899948000,509457000,250890000,258567000,342639000,1276619000,3623329000,3623329000,3623329000,4899948000,15380000,857000,-2543000,168960000,182654000,-22680000,-563467000,440450000,-48000,422545000,41732000,41732000,41732000,22238000,424523000,0.09057,0.06515,0.00424,0.00314,0.35233,0.08664,0.15005,0.14989,2.30321,35.3499,0.0073,15.81689,16.45087
"28","2020_Q4",41.57859375,"Up",243038000,222258000,18639000,2141000,267000,1874000,-55280000,-37100000,150658000,148431000,148431000,-23895000,124536000,124536000,124536000,124536000,4585412000,952952000,3549397000,118691000,45434000,14596000,16704000,326251000,5107088000,566269000,307737000,258532000,369617000,1360544000,3746544000,3746544000,3746544000,5107088000,124536000,787000,36271000,41126999.9999999,202721000,-313211000,-138424000,-480000.00000006,9.31322574615479e-10,-18393000,45904000,45904000,45904000,151445000,424658000,0.61989,0.51241,0.03324,0.02438,0.36315,0.08315,1.112,1.10978,2.17012,33.45338,0.03007,2.02032,2.03087
"29","2021_Q1",42.8493442622951,"Up",247199000,222339000,20949000,3911000,564000,3347000,-62073000,-36825000,148301000,146152000,146152000,-22550000,123602000,123602000,123602000,123602000,4654277000,726860000,3838513000,102830000,50140000,15095000,17005000,363377000,5202724000,625377000,374941000,250436000,714714000,1340091000,3862633000,3862633000,3862633000,5202724000,123602000,806000,28706000,26311000,179425000,-293314000,-71100000,-56000,-1462490.30225365,-124186000,-15861000,-15861000,-15861000,149107000,0,0.59993,0.50001,0.032,0.02376,0.34694,0,1.10407,1.1001,2.2081,34.50289,0.03153,-0.68964,-0.69339
"30","2021_Q2",46.9819047619048,"Up",244797000,219067000,21788000,3942000,641000,3301000,-32322000,-42239000,170236000,168185000,168185000,-32537000,135648000,135648000,135648000,135648000,4801869000,449332000,4252144000,81022000,45618000,14258000,14723000,374356000,5331846000,646853000,411123000,235730000,764056000,1410909000,3920937000,3920937000,3920937000,5331846000,135648000,863000,34622000,16638000,187771000,166390000,-186259000,-5377000,-5377000,-23320000,-21808000,-21808000,-21808000,171099000,0,0.69542,0.55412,0.0346,0.02544,0.35984,0,1.21097,1.20707,2.18538,35.00337,0.03362,-0.47354,-0.47594
"31","2021_Q3",44.11796875,"Down",243261000,217437000,21743000,4081000,-253000,4334000,-9651000,-41114000,192496000,190423000,190423000,-30628000,159795000,159795000,159795000,159795000,4891638000,372320000,4374008000,142140000,53127000,12989000,14070000,407825000,5521789000,642452000,421872000,220580000,794509000,1436961000,4084828000,4084828000,4084828000,5521789000,159795000,860000,27075000,-35706000,152024000,-825645000,-53257000,-18576000,-18576000,-37649000,61118000,61118000,61118000,193356000,0,0.79131,0.65689,0.03912,0.02894,0.35178,0,1.42654,1.42194,2.17166,36.46647,0.03784,-0.73512,-0.7384
"32","2021_Q4",44.74875,"Up",283536000,218718000,21573000,43245000,221000,43024000,7483000,-42272000,248747000,246684000,246684000,-41331000,205353000,205353000,205353000,205353000,5031267000,309782000,4560235000,65825000,47760000,12485000,13307000,418872000,5589516000,617166000,412956000,204210000,804366000,1421532000,4167984000,4167984000,4167984000,5589516000,205353000,855000,922000,-28758000,178372000,-119374000,-163896000,-70861000,-48212237.786829,-90791000,-76315000,-76315000,-76315000,249602000,1.49011611938477e-08,0.8773,0.72426,0.04927,0.03674,0.34106,3.46944695195361e-18,1.8383,1.83236,2.53819,37.31142,0.04708,-0.26372,-0.26463
"33","2022_Q1",43.6241935483871,"Down",256916000,217321000,23661000,15934000,-191000,16125000,3433000,-41232000,219117000,217022000,217022000,-36035000,180987000,180987000,180987000,180987000,5133359000,313087000,4649800000,81491000,46157000,11921000,12178000,437068000,5722174000,592830000,407445000,185385000,473407000,1486060000,1430593000,4236114000,4236114000,5722174000,180987000,801000,43141000,-33840000,191089000,-157260000,-179755000,-69041000,-75665633.137073,4332000,15666000,15666000,15666000,219918000,419823000,0.85287,0.70446,0.04272,0.03163,0.35081,0.07337,1.66226,1.6553,2.35963,38.90626,0.03844,1.53845,1.54407
"34","2022_Q2",40.225,"Down",264611000,215330000,24680000,24601000,-7352000,31953000,106858000,-40796000,330673000,328447000,328447000,-54280000,274167000,274167000,274167000,274167000,4875426000,517363000,4145542000,203845000,45167000,20308000,11148000,430251000,5586145000,462858000,293072000,169786000,488146000,1371077000,4215068000,4215068000,4215068000,5586145000,274167000,755000,21191000,-115484000,180629000,493211000,38893000,-75422000,-75422000,-97168000,122354000,122354000,122354000,331428000,420073000,1.24966,1.03611,0.06504,0.04908,0.32528,0.0752,2.46995,2.46139,2.38386,37.97324,0.05801,0.65241,0.6539
"35","2022_Q3",39.70734375,"Down",244409000,212011000,29339000,3059000,-471000,3530000,76199000,-41898000,278710000,275823000,275823000,-44054000,231769000,231769000,231769000,231769000,4838097000,355625000,4264715000,77852000,51281000,20569000,10809000,522494000,5521102000,378090000,209973000,168117000,450681000,1249107000,4271995000,4271995000,4271995000,5521102000,231769000,735000,23824000,-193059000,63269000,-650447000,-144490000,-22330000,-22330000,-44772000,-125993000,-125993000,-125993000,279445000,420336000,1.14034,0.94828,0.05425,0.04198,0.29239,0.07613,2.14272,2.13435,2.25957,39.4948,0.05014,1.22559,1.22882
