"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",40.97984375,"Up",49548508,-27429567,22118941,-12009773,-12009773,10109168,136314,136314,10245482,10245482,-3301760,6943722,6943722,6943722,6943722,17495186,6805126,19654518,19654518,2219841,19134965,1291952,58504510,20168357,4762027,4762027,24930384,83434894,14943474,3128678,9866337,7749323,7749323,22692797,1875641,1875641,1875641,24568438,33225591,25609429,58866456,58866456,83434894,6943722,850214,34084,-2305609,5522411,-1988597,-1998068,-5631674,-2107331,-2107331,-2107331,10959382,0,9966936,0.44641,0.20403,0.14014,0.11796,0.08322,1.43539,2.57811,0.41736,0,0.62678,0.62678,4.47253,5.31362,0.89967,0.20732,0.16409,-1.59637,-1.73063
"12","2013_Q3",44.3971875,"Up",53261343,-27784750,25476593,-12328403,-12328403,13148190,136985,136985,13285175,13285175,-4799542,8485633,8485633,8485633,8485633,12269881,1583642,18783001,18783001,1795356,32228671,913342,65076909,20059548,1067272,1067272,21126820,86203729,12371834,2844443,9527391,9650245,9650245,22022079,2184037,2184037,2184037,24206116,33539464,28444230,61997613,61997613,86203729,8485633,867462,1881579,-9981115,1253559,-758653,-782663,-5692380,-5221484,-5221484,-5221484,14015652,0,8075426,0.47833,0.24686,0.15932,0.13687,0.09844,0.95166,2.95508,0.39044,2.64697796016969e-23,0.76585,0.76585,4.80695,5.59542,0.72882,0.22026,0.12582,-0.87544,-0.9332
"13","2013_Q4",48.92296875,"Up",46779645,-26125347,20654298,-9628430,-9628430,11025868,113428,113428,11139296,11139296,-3870058,7269238,7269238,7269238,7269238,13612826,2913561,21608740,21608740,1234425,32436033,1003558,68892024,19783772,769219,769219,20552991,89445015,12689353,2931759,9219968,10695093,10695093,23384446,2073696,2073696,2073696,25458142,33908934,30062637,63986873,63986873,89445015,7269238,844172,1135084,-1702138,7546356,-568396,-579656,-5636781,1329919,1329919,1329919,11870040,0,13469564,0.44152,0.2357,0.15539,0.11361,0.08127,1.85295,2.94606,0.39787,0,0.65576,0.65576,4.22002,5.7723,1.2151,0.19558,0.2039,-1.14682,-1.23463
"14","2014_Q1",53.072131147541,"Up",51273836,-25786810,25487026,-9526311,-9526311,15960715,79951,79951,16040666,16040666,-5996021,10044645,10044645,10044645,10044645,22431811,11729185,20076592,20076592,1588673,28655234,901228,72752310,19231372,550956,550956,19782328,92534638,11869657,3213714,7858842,9581357,9581357,21451014,2001077,2001077,2001077,23452091,34655059,34416120,69082547,69082547,92534638,10044645,867205,395261,3417777,14724888,-314805,-324413,-5584851,8815624,8815624,8815624,16827920,-2.27373675443232e-13,25926913,0.49708,0.31128,0.1959,0.1454,0.10855,2.58117,3.39156,0.33948,4.2351647362715e-22,0.93457,0.93457,4.77058,6.42752,2.41227,0.22137,0.36474,-1.33301,-1.40544
"15","2014_Q2",51.9588888888889,"Down",52094378,-27659079,24435299,-12448288,-12448288,11987011,-40910,-40910,11946101,11946101,-4231043,7715058,7715058,7715058,7715058,29253651,18549241,24447854,24447854,1476189,27858763,934902,83036457,18380952,593232,593232,18974184,102010641,18705200,2870783,9776406,10567386,10567386,29272586,1518655,1518655,1518655,30791241,35393959,35767726,71219400,71219400,102010641,7715058,929701,43288,4469472,13157519,-79281,-6310,-6331153,6820056,6820056,6820056,12916712,0,21537946,0.46906,0.2301,0.1481,0.10833,0.07563,2.79168,2.83666,0.43234,0,0.70102,0.70102,4.7335,6.47127,1.95702,0.19355,0.2961,-2.26479,-2.44045
"16","2014_Q3",51.88734375,"Down",53053276,-27874601,25178675,-11109420,-11109420,14069255,66630,66630,14135885,14135885,-5029499,9106386,9106386,9106386,9106386,24009779,13294472,24869413,24869413,1409902,28476666,1810924,78765760,17623399,412713,412713,18036112,96801872,11506477,3011610,8079601,8934160,8934160,20440637,1349126,1349126,1349126,21789763,36491466,38485051,75012109,75012109,96801872,9106386,934678,1377736,-10103169,1315631,-177125,-228770,-6341630,-5254769,-5254769,-5254769,15003933,1.81898940354586e-12,9753138,0.47459,0.26519,0.17165,0.1214,0.09407,1.07102,3.85339,0.29048,-6.7762635780344e-21,0.8262,0.8262,4.81337,6.80562,0.88487,0.20292,0.12772,-1.60023,-1.70654
"17","2014_Q4",51.00375,"Down",53327164,-28067296,25259868,-11084660,-11084660,14175208,68971,68971,14244179,14244179,-4889432,9354747,9354747,9354747,9354747,28691845,18007759,24461925,24461925,1877134,28736626,1275616,83767530,17257077,439664,439664,17696741,101464271,14072691,3917646,10155045,7072212,7072212,21144903,1010194,1010194,1010194,22155097,37870302,41450737,79309174,79309174,101464271,9354747,861142,1166872,213054,11595815,-494820,-534435,-6348093,4713287,4713287,4713287,15036350,0,19644016,0.47368,0.26582,0.17542,0.11795,0.0922,2.0999,3.96159,0.27935,0,0.84829,0.84829,4.83574,7.1918,1.78133,0.19602,0.24457,-1.90817,-2.02409
"18","2015_Q1",46.4991803278688,"Down",46267182,-7194024,39073158,-29717632,-15095632,9355526,57309,57309,9412835,9412835,-2669026,6743809,6743809,6743809,6743809,34494874,23791748,23101575,23101575,1431560,22488023,936915,81516032,17038619,770169,770169,17808788,99324820,12270353,3990368,8279985,5890431,5890431,18160784,383050,383050,383050,18543834,38994559,41805764,80780986,80780986,99324820,6743809,939479,447104,4750643,12881035,-721774,-753485,-6343124,5784426,5784426,5784426,10295005,-2.91038304567337e-11,16992900,0.84451,0.20221,0.14576,0.08348,0.0679,2.51978,4.48857,0.22956,0,0.61037,0.61037,4.18756,7.31133,1.538,0.16181,0.20936,-3.35064,-3.68711
"19","2015_Q2",46.1534920634921,"Down",46240000,-21794000,24446000,-16612000,-13030000,7834000,83000,83000,7917000,7917000,-2409000,5508000,5508000,5508000,5508000,40771756,29967280,21480122,21480122,1574120,19408788,1354780,83234786,16449991,1172466,914903,17622457,100857243,15229475,3832307,9476953,4992502,4992502,20221977,0,0,0,20221977,40496003,40071705,80635266,80635266,100857243,5508000,911000,936000,6282000,13637000,-323000,-284000,-7178000,6175000,6175000,6175000,8745000,0,17113000,0.52868,0.16942,0.11912,0.06831,0.05461,3.10694,4.11606,0.25078,0,0.49837,0.49837,4.18386,7.29599,1.54841,0.15812,0.21223,-4.66229,-5.20446
"20","2015_Q3",41.98109375,"Down",47086000,-22371000,24715000,-16329000,-12759000,8386000,115000,115000,8501000,8501000,-2598000,5903000,5903000,5903000,5903000,37037051,26248693,21981180,21981180,1352691,19812684,2016090,80183606,15659465,2008247,1827162,17667712,97851318,12797710,4867733,7929977,4687839,4687839,17485549,0,0,0,17485549,41617599,38741618,80365769,80365769,97851318,5903000,916000,838000,-3879000,3778000,-124000,-206000,-7290000,-3718000,-3718000,-3718000,9302000,4.65661287307739e-10,7897000,0.52489,0.1781,0.12537,0.07345,0.06033,1.33779,4.58571,0.21757,8.67361737988404e-19,0.53281,0.53281,4.25002,7.25388,0.71279,0.16347,0.09826,-3.98162,-4.41653
"21","2015_Q4",39.530625,"Down",44617000,-21890000,22727000,-18466000,-14911000,4261000,137000,137000,4398000,4398000,-858000,3540000,3540000,3540000,3540000,38465983,27632714,22341663,22341663,1488113,18149142,1625269,80444901,15019629,2379275,1922239,17398904,97843805,16147750,4814061,11333689,3878588,3878588,20026338,0,0,0,20026338,42781724,35046800,77817467,77817467,97843805,3540000,672000,1926000,2772000,8910000,0,-74000,-7452000,1384000,1384000,1384000,4933000,0,8563000,0.50938,0.0955,0.07934,0.04549,0.03618,2.41893,4.01696,0.25735,0,0.31918,0.31918,4.02281,7.01627,0.77207,0.13844,0.11004,-7.79769,-9.02745
"22","2016_Q1",47.4388524590164,"Up",44231000,-21661000,22570000,-17965000,-14443000,4605000,69999.9999999999,70000,4675000,4675000,-1283000,3392000,3392000,3392000,3392000,35775000,24951000,22594000,22594000,1495000,14693000,1355000,74557000,14351000,3880000.00000001,1569000,18231000,92788000,13601000,4591000,9010000,3821000,3821000,17422000,0,0,3.72529029846191e-09,17422000,44198000,31206000,75366000,75366000,92788000,3392000,675000,68000,416000,4551000,-1000,-33999.9999999925,-7198999.99999999,-2682000,-2682000,-2682000,5280000,0,6978000,0.51028,0.10411,0.07669,0.04501,0.03656,2.05719,4.27947,0.23117,0,0.30531,0.30531,3.98119,6.78362,0.62808,0.14099,0.09259,-6.77557,-7.76873
"23","2016_Q2",41.1584375,"Down",69643000,-33554000,36089000,-32958000,-25768000,3131000,-1469000,-1000,1662000,-693000,-970000,-1663000,-1663000,-1663000,-1663000,12838000,11694000,29279000,29279000,1154000,17519000,4512000,60790000,14795000,284691000,2701000,299486000,360276000,35806000,14800000,21006000,15233000,15233000,54260000,157076.312957339,157068.003976198,142728000,196988000,142338000,20956000,163288000,163288000,360276000,-1663000,852000,4719000,-3074000,834000,-32000,-152501000,138410000,-13257000,-13257000,-13257000,3983000,145949000,1847000,0.5182,0.04496,-0.02388,-0.01018,-0.00462,-1.11064,1.12035,1.20638,0.4051,-0.12768,-0.12768,5.34687,12.53651,0.1418,0.02239,0.00597,33.41978,42.51389
"24","2016_Q3",28.8278125,"Down",68415000,-33502000,34913000,-27026000,-18847000,7887000,-1573000,69000,6314000,3690000,-1694000,1996000,1996000,1996000,1996000,3824000,3824000,30620000,30620000,1721000,15083000,4342000,51248000,13911000,282747000,4038000,296658000,347906000,22822000,8169000,14457000,11446000,11446000,38270000,660676.67438895,660662.767010647,151337000,189607000,144004000,14295000,158299000,158299000,347906000,1996000,888000,5092000,-17292000,-9316000,-7000,712000,734000.00000003,-7870000,-7870000,-7870000,8775000,155339000,-6830000,0.51031,0.11528,0.02917,0.01261,0.00574,-3.42184,1.33912,1.19778,0.4465,0.14988,0.14935,5.13742,11.88699,-0.51288,0.03397,-0.02178,17.26667,19.21073
"25","2016_Q4",23.1563492063492,"Down",64663000,-31897000,32766000,-25922000,-17525000,6844000,-1665000,53000,5179000,2578000,-979000,1599000,1599000,1599000,1599000,3656000,3656000,29943000,29943000,1681000,12668000,3776000,47948000,14164000,280436000,4607000,294600000,342548000,20275000,7334000,12941000,8655000,8655000,34005000,1707000,1707000,152294000,186299000,144956000,11293000,156249000,156249000,342548000,1599000,682000,6199000,-2571000,5909000,0,0,-6077000,-168000,-168000,-168000,7526000,155662000,5934000,0.50672,0.10584,0.02473,0.01023,0.00467,3.71107,1.41003,1.19232,0.45442,0.11998,0.11998,4.85203,11.72424,0.44526,0.01977,0.01892,20.19745,22.21011
"26","2017_Q1",23.5077419354839,"Up",64551000,-34585000,29966000,-23271000,-17942000,6695000,-1682000,99000,5013000,2411000,-410000,2001000,2001000,2001000,2001000,2220000,2220000,31812000,31812000,1697000,8820000,2794000,44549000,13439000,281162000,5595000,294601000,339150000,19288000,6841000,12447000,5840000,5840000,30945000,3246000,3246000,150235000,181180000,147924000,10046000,157970000,157970000,339150000,2001000,640000,5259000,-3222000,4678000,7.27595761418343e-12,3.72529029846191e-09,-6114000,-1436000,-1436000,-1436000,7335000,152806000,4523000,0.46422,0.10372,0.031,0.01267,0.0059,2.26037,1.43962,1.14693,0.45056,0.14988,0.15042,4.83492,11.83207,0.33878,0.01671,0.0144,20.52979,22.49231
"27","2017_Q2",29.4147619047619,"Up",64075000,-31375000,32700000,-26865000,-18788000,5835000,-1737000,70000,4098000,1497000,-1251000,246000,246000,246000,246000,1888000,1888000,32909000,32909000,1217000,8589000,2948000,44603000,12721000,278991000,6025000,291712000,336315000,19736000,7768000,11968000,9743000,9743000,36082000,4370000,4370000,144120000,180202000,149205000,6908000,156113000,156113000,336315000,246000,718000,5180000,3543000,9687000,0,0,-10019000,-332000,-332000,-332000,6553000,146353000,11347000,0.51034,0.09107,0.00384,0.00158,0.00073,46.12602,1.23616,1.1543,0.43517,0.01839,0.01839,4.79101,11.67287,0.84844,0.01183,0.03698,22.04563,24.75835
"28","2017_Q3",28.5538095238095,"Down",67676000,-31685000,35991000,-28942000,-20527000,7049000,-1868000,70000,5181000,2579000,-992000,1587000,1587000,1587000,1587000,1741000,1741000,34655000,34655000,1075000,10465000,3808000,47936000,12485000,279457000,9093000,291942000,339878000,26112000,11429000,14683000,8564000,8564000,42065000,5166000,5166000,141177000,183242000,150892000,5744000,156636000,156636000,339878000,1587000,701000,5383000,-1467000,6204000,-465000,-465000,-5886000,-147000,-147000,-147000,7750000,143400000,6810000,0.53181,0.10416,0.02345,0.01013,0.00467,4.29112,1.13957,1.16986,0.42192,0.11826,0.11826,5.04292,11.67183,0.50745,0.01421,0.02231,18.27858,20.09633
"29","2017_Q4",28.524126984127,"Down",67113000,-32733000,34380000,-26157000,-17907000,8223000,-1960000,102000,6263000,3662000,-1374000,2288000,2288000,2288000,2288000,954000,954000,36159000,36159000,1129000,12474000,3155000,50716000,11959000,277861000,10098000,289820000,340536000,24130000,10611000,13519000,8587000,8587000,40892000,6472000,6472000,142792000,183684000,152946000,3906000,156852000,156852000,340536000,2288000,526000,6241000,-6629000,2426000,1000,1000,-3214000,-787000,-787000,-787000,8749000,144495000,3495000,0.51227,0.12252,0.03409,0.01459,0.00672,1.52753,1.24024,1.17107,0.42432,0.17035,0.17035,4.99687,11.67836,0.26022,0.02084,0.01135,16.40656,17.45604
"30","2018_Q1",28.7555737704918,"Up",78063000,-33861000,44202000,-31717000,-22722000,12485000,-1764000,165000,10721000,-21221000,-316000,-21537000,-21537000,-21537000,-21537000,520000,520000,38061000,38061000,1417000,17879000,2824000,57877000,11692000,248647000,11485000,260339000,318216000,26322000,7620000,17892000,8707000,8707000,40849000,4667000,4667000,141281000,182130000,155092000,-19006000,136086000,136086000,318216000,-21537000,528000,34950000,-8615000,5326000,-262000,-262000,-5498000,-434000,-434000,-434000,13013000,142434000,4452000,0.56623,0.15993,-0.27589,-0.15826,-0.06768,-0.20671,1.41685,1.33834,0.4476,-1.60114,-1.60114,5.80351,10.11717,0.33098,-0.0712,0.01572,10.90556,11.36676
"31","2018_Q2",30.318125,"Up",70882000,-31797000,39085000,-28835000,-20078000,10250000,-1780000,-1780000,8470000,5868000,-1901000,3967000,3967000,3967000,3967000,1727000,1727000,40664000,40664000,1358000,21417000,5935000,65166000,11223000,248996000,13245000,260219000,325385000,22105000,7738000,13960000,12637000,12637000,40567000,6019000,6019000,142250000,182817000,157031000,-14463000,142568000,142568000,325385000,3967000,529000,5964000,-7335000,3125000,-60000,-60000,-1858000,1207000,1207000,1207000,10779000,142056000,5285000,0.55141,0.14461,0.05597,0.02783,0.01219,1.33224,1.60638,1.28231,0.43658,0.2944,0.2944,5.26026,10.58019,0.39221,0.01845,0.01818,13.01874,13.69063
"32","2018_Q3",28.3330158730159,"Down",67906000,-33059000,34847000,-30020000,-20706000,4827000,-1613000,2172000,3214000,613000,-284000,329000,329000,329000,329000,1492000,1492000,41216000,41216000,1478000,21477000,6038000,65663000,11042000,246139000,13025000,257181000,322844000,20676000,5814000,14862000,12300000,12300000,38806000,6646000,6646000,139797000,178603000,159784000,-15543000,144241000,144241000,322844000,329000,538000,7030000,-3204000,4693000,-357000,-357000,-4571000,-235000,-235000,-235000,5365000,138981000,2088000,0.51317,0.07108,0.00483999999999999,0.00227999999999998,0.00102000000000001,6.3465,1.69208,1.23823,0.43049,0.0242599999999999,0.0242599999999999,5.00745,10.63646,0.15397,0.006,0.0072,25.62703,28.48332
"33","2018_Q4",25.3490476190476,"Down",69297000,-33173000,36124000,-28070000,-18766000,8054000,-1629000,201000,6425000,3733000,2015000,5748000,5748000,5748000,5748000,5175000,5175000,41591000,41591000,1198000,22192000,5641000,70156000,11094000,245642000,15371000,256736000,326892000,22049000,5979000,16070000,11115000,11115000,38971000,5011000,5011000,136729000,175700000,162395000,-11203000,151192000,151192000,326892000,5748000,349000,4339000,-3402000,7034000,-401000,-401000,-2950000,3683000,3683000,3683000,8403000,137525000,2585000,0.52129,0.11622,0.08295,0.03802,0.01758,0.44972,1.80021,1.1621,0.4207,0.42252,0.42252,5.09387,11.11379,0.19002,0.02436,0.0088,15.75033,16.43283
"34","2019_Q1",28.1767213114754,"Up",72326000,-32654000,39672000,-27434000,-18438000,12238000,-1752000,210000,10486000,7894000,-306000,7588000,7588000,7588000,7588000,5732000,5732000,40474000,40474000,1498000,22234000,5055000,69938000,10875000,246933000,19263000,257808000,327746000,21816000,5668000,16148000,10201000,10201000,38503000,4877000,4877000,129460000,167963000,164752668.239768,-5814933.16622647,158937824.890805,159783000,327746000,7588000,379000,6026000,-4916000,9077000,-160000,-160000,-8360000,557000,557000,557000,12617000,131069000,7847000,0.54852,0.16921,0.10491,0.04749,0.02315,1.03413,1.81643,1.05119,0.39991,0.55778,0.55663,5.31652,11.6842110760916,0.57682,0.03042,0.02653,9.93398,10.24162
"35","2019_Q2",27.3434920634921,"Down",69141000,-32026000,37115000,-28544000,-19316000,8571000,-1556000,-1556000,7015000,4492000,-1048000,3444000,3444000,3444000,3444000,4409000,4409000,39434000,39434000,1750000,22639000,5898000,68232000,10987000,250620000,25544000,261607000,329839000,20315000,6907000,13408000,10899000,10899000,39811000,10339000,5731000,125787000,165598000,167243000,-3002000,164241000,164241000,329839000,3444000,361000,7020000,-2937000,7888000,-473000,-473000,-8738000,-1323000,-1323000,-1323000,8932000,124045000,6570000,0.5368,0.12396,0.04981,0.02097,0.01044,1.90767,1.7139,1.00826,0.37608,0.2522,0.2522,5.06305,12.02702,0.48111,0.01629,0.022,13.39409,13.95823
