"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q3",3.994375,"Down",14675000,10464000,12307000,-1843000,4211000,708000,2775000,668000,1e+06,15675000,-11875000,-184000,-11691000,3800000,3800000,3800000,-1196000,2604000,2604000,2604000,2604000,27605000,173437000,990639000,-22248000,1012887000,53302000,3405000,73591000,1476828000,1199578000,880597000,318981000,101110000,1343576000,188080000,-86258000,31430000,133252000,133252000,1476828000,2604000,652000,-1e+06,36310000,-32270000,6296000,5330000,-9087000,37400000,33643000,0,-31812000,-31812000,8127000.00000001,8127000.00000001,8127000.00000001,4452000,42888000,-21292000,0.25894,0.17744,0.01954,0.00176,-8.17665,10.08297,0.02904,0.09588,0.0958800000000001,0.54033,4.90629,-0.78396,0.00176,-0.01442,3.43284,4.02184
"13","2013_Q4",3.99390625,"Down",14075000,10124000,11919000,-1795000,3951000,612000,2759000,580000,1500000,15575000,-12362000,-192000,-12170000,3213000,3213000,3213000,-975000,2238000,2238000,2238000,2238000,35592000,193013000,1007521000,-21272000,1028793000,52916000,3250000,67125000,1562680000,1288041000,935162000,352879000,97894000,1427173000,188112000,-84020000,31415000,135507000,135507000,1562680000,2238000,809000,-1500000,31371000,-29433000,3485000,2209000,-19641000,-15798000,-33230000,-2317000,88463000,86146000,56401000,56401000,56401000,4022000,41238000,-22227000,0.22828,0.15901,0.01652,0.00143,-9.93164,10.5321,0.02639,0.08209,0.08209,0.5163,4.97067,-0.81533,0.00143,-0.01422,1.40378,1.75724
"14","2014_Q1",4.1227868852459,"Up",14228000,10212000,11961000,-1749000,4016000,409000,2817000,750000,1e+06,15228000,-12037000,-115000,-11922000,3191000,3191000,3191000,-957000,2234000,2234000,2234000,-15341000,38714000,197660000,1021579000,-20798000,1042377000,53641000,3231000,59402000,1517405000,1249734000,905184000,344550000,3920000,1384883000,216263000,-81786000,-1955000,132522000,132522000,1517405000,2234000,806000,-1e+06,19136000,-20839000,337000,4636000,-5423000,-13427000,-14214000,0,-38307000,-43086000,-56963000,-56963000,-56963000,3997000,131229000,-11249000,0.22428,-1.07823,-0.11576,-0.01011,0.73326,10.45021,0.08648,-0.56787,-0.56787,0.52667,4.90546,-0.41639,-0.01011,-0.00741,23.14611,28.99248
"15","2014_Q2",3.97936507936508,"Down",13985000,10475000,11970000,-1495000,3510000,258000,2674000,568000,1e+06,14985000,-11169000,-205000,-10964000,3816000,3816000,3816000,-1177000,2639000,2639000,2639000,2639000,34615000,211409000,1009728000,-20383000,1030111000,53619000,3511000,52849000,1490899000,1216778000,874421000,342357000,97695000,1355711000,216230000,-79824000,-1218000,135188000,135188000,1490899000,2639000,774000,-1e+06,16731000,-12309000,6835000,2909000,-9198000,4797000,-1492000,-1217000,-32956000,-34952000,-29609000,-29609000,-29609000,4590000,41238000,-3633000,0.27286,0.1887,0.01952,0.00177,-1.37666,10.02834,0.02766,0.0781,0.0781,0.41387,4.00076,-0.10752,0.00222,-0.00244,1.44292,1.73559
"16","2014_Q3",3.9621875,"Down",14224000,10156000,11528000,-1372000,4068000,468000,2969000,590000,1e+06,15224000,-11239000,-238000,-11001000,3985000,3985000,3985000,-1231000,2754000,2754000,2754000,2754000,37533000,210431000,1023480000,-20049000,1043529000,53308000,3264000,50194000,1491142000,1215724000,832622000,383102000,96088000,1353050000,216308000,-77745000,-471000.000000001,138092000,138092000,1491142000,2754000,784000,-1e+06,12836000,-11361000,4013000,3543000,-673000,-14472000,-11602000,0,-1054000,-1729000,-9318000,-9318000,-9318000,4769000,41238000,-1818000,0.28016,0.19362,0.01994,0.00185,-0.66013,9.79818,0.02766,0.08151,0.0815100000000001,0.42097,4.08696,-0.05381,0.0023,-0.00122,0.776890000000004,0.929739999999997
"17","2014_Q4",4.12328125,"Up",14607000,10304000,11674000,-1370000,4303000,679000,3003000,621000,750000,15357000,-11389000,-196000,-11193000,3968000,3968000,3968000,-1206000,2762000,2762000,2762000,2762000,24731000,233102000,1035159000,-19629000,1054788000,53292000,3415000,45157000,1489664000,1216089000,830907000,385182000,91868000,1349195000,216394000,-75659000,-266000,140469000,140469000,1489664000,2762000,880000,-750000,26158000,-26788000,2262000,1987000,-22981000,1280000,-19714000,-667000,365000,-974000,-18426000,-18426000,-18426000,4848000,41238000,-18747000,0.27165,0.18909,0.01966,0.00185,-6.78747,9.60493,0.02768,0.08173,0.08173,0.43222,4.15646,-0.55472,0.00231,-0.01258,3.40491,4.16003
"18","2015_Q1",4.28377049180328,"Up",14790000,10457000,11816000,-1359000,4333000,534000,3043000,732000,6e+05,15390000,-12113000,-207000,-11906000,3277000,3277000,3277000,-959000,2318000,2318000,2318000,2318000,31503000,232892000,1099521000,-18962000,1118483000,52894000,3399000,45685000,1583846000,1306325000,902182000,404143000,5657000,1441327000,216460000,-74002000,61000,142519000,142519000,1583846000,2318000,701000,-6e+05,20855000,-19766000,3508000,2282000,-1668000,-63612000,-62998000,-4.65661287307739e-10,90236000,89406000,29916000,29916000,29916000,3978000,129345000,-12547000,0.22157,0.15673,0.01626,0.00146,-5.41286,10.11323,0.08167,0.0685,0.0685,0.43709,4.21183,-0.3708,0.00188,-0.00792,24.59578,29.85719
"19","2015_Q2",4.20333333333333,"Down",14947000,10652000,12011000,-1359000,4295000,723000,2845000,644000,1e+06,15947000,-11862000,-239000,-11623000,4085000,4085000,4085000,-1245000,2840000,2840000,2840000,2840000,27001000,238277000,1116631000,-18680000,1135311000,52506000,3670000,45046000,1610209000,1320516000,947301000,373215000,6038000,1464628000,216581000,-71839000,839000,145581000,145581000,1610209000,2840000,684000,-1e+06,24336000,-26133000,727000,1202000,-2739000,-16809000,-18346000,8729000,14191000,22243000,4624000,4624000,4624000,4769000,138074000,-18917000,0.2733,0.19,0.01951,0.00176,-6.66092,10.06057,0.08575,0.08386,0.08386,0.44135,4.29864,-0.55857,0.00218,-0.01175,23.29063,27.19045
"20","2015_Q3",4.2896875,"Up",15357000,10845000,12238000,-1393000,4512000,821000,3039000,652000,5e+05,15857000,-11222000,-192000,-11030000,4635000,4635000,4635000,-1420000,3215000,3215000,3215000,3215000,28853000,242181000,1111843000,-18181000,1130024000,52132000,3633000,46651000,1618014000,1327813000,937985000,389828000,5284000,1471171000,216422000,-69629000,49999.9999999999,146843000,146843000,1618014000,3215000,838000,-5e+05,25614000,-27688000,1479000,1231000,-6052000,4544999.99999999,-275999.999999993,0,7297000,6292000.00000001,7495000,7495000,7495000,5473000,138074000,-19564000,0.30182,0.20935,0.02189,0.00199,-6.08523,10.01867,0.08534,0.09493,0.09493,0.45345,4.3359,-0.57768,0.00261,-0.01209,19.95633,23.5644
"21","2015_Q4",4.52,"Up",15605000,11121000,12427000,-1306000,4484000,705000,3081000,662000,250000,15855000,-11254000,-230000,-11024000,4601000,4601000,4601000,-1400000,3201000,3201000,3201000,3201000,23468000,242204000,1174661000,-18217000,1192878000,51725000,3778000,43218000,1659339000,1366849000,924533000,442316000,5350000,1509606000,216544000,-67439000,628000,149733000,149733000,1659339000,3201000,645000,-250000,27199000,-25222000,5573000,405000,1270000,-62427000,-60752000,-667000,39036000,37358000,-17821000,-17821000,-17821000,5246000,137407000,-18171000,0.29484,0.20513,0.02138,0.00193,-5.67666,10.08199,0.08281,0.09452,0.09452,0.46078,4.42123,-0.53654,0.00254,-0.01095,21.71921,24.76396
"22","2016_Q1",4.91524590163934,"Up",15964000,11462000,12710000,-1248000,4502000,676000,3089000,727000,1750000,17714000,-12615000,-172000,-12443000,5099000,5099000,5099000,-1561000,3538000,3538000,3538000,3538000,29104000,259087000,1180851000,-17081000,1197932000,51456000,3622000,33151000,1729643000,1435512000,958480000,477032000,4747000,1577666000,216540000,-64910000,347000,151977000,151977000,1729643000,3538000,802000,-1750000,26820000,-23188000,6222000,7532000,-17802000,-5659000.00000001,-15929000,0,68663000,67430000,57723000,57723000,57723000,5901000,137407000,-8194000,0.31941,0.22162,0.02328,0.00205,-2.316,10.38095,0.07944,0.10439,0.10439,0.47104,4.4843,-0.24178,0.00263,-0.00474,18.35333,21.24005
"23","2016_Q2",5.715,"Up",16346000,11738000,13008000,-1270000,4608000,487000,2941000,1091000,1e+05,16446000,-11551000,-159000,-11392000,4895000,4895000,4895000,-1400000,3495000,3495000,3495000,3495000,22499000,259686000,1199055000,-17129000,1216184000,50944000,3929000,31768000,1639985000,1340834000,916478000,424356000,7832000,1484744000,216687000,-62427000,981000,155241000,155241000,1639985000,3495000,659000,-1e+05,18983000,-17934000,5103000,1321000,1410000,1794000,5043000,-1329000,-94678000,-97019000,-86873000,-86873000,-86873000,5554000,136078000,-9659000,0.29946,0.21381,0.02251,0.00213,-2.76366,9.56412,0.08298,0.10302,0.10302,0.48183,4.57599,-0.28472,0.00275,-0.00589,20.44995,23.20306
"24","2016_Q3",6.39328125,"Up",16144000,11608000,12873000,-1265000,4536000,573000,3157000,796000,750000,16894000,-11470000,-188000,-11282000,5424000,5424000,5424000,-1679000,3745000,3745000,3745000,3745000,30045000,263453000,1194885000,-16959000,1211844000,50639000,3657000,28980000,1666547000,1355078000,903434000,451644000,6929000,1508085000,216799000,-59695000,1358000,158462000,158462000,1666547000,3745000,744000,-750000,20271000,-19180000,4830000,1491000,-4123000,4920000,2288000,1e+07,14244000,23211999.9999999,30330000,30330000,30330000,6168000,146078000,-9842000,0.33598,0.23197,0.02363,0.00225,-2.62804,9.51701,0.08765,0.1104,0.1104,0.47591,4.67129,-0.29013,0.00286,-0.00591,18.81209,21.39251
"25","2016_Q4",7.44666666666667,"Up",16977000,11902000,13122000,-1220000,5075000,1175000,3215000,685000,250000,17227000,-11273000,-153000,-11120000,5954000,5954000,5954000,-1350000,4604000,4604000,4604000,4604000,31879000,293942000,1219548000,-16847000,1236395000,50174000,3823000,28448000,1653686000,1358627000,903463000,455164000,7403000,1491441000,216917000,-56108000,1436000,162245000,162245000,1653686000,4604000,746000,-250000,37408000,-38783000,3725000,669000,-29016000,-24413000,-52760000,-20667000,3549000,-18147000,-67182000,-67182000,-67182000,6700000,125411000,-30064000,0.35071,0.27119,0.02838,0.00278,-6.52997,9.19252,0.07584,0.13572,0.13572,0.50048,4.78294,-0.88628,0.0034,-0.01818,13.96,15.7091
"26","2017_Q1",8.33370967741936,"Up",17147000,12292000,13496000,-1204000,4855000,789000,3188000,853000,250000,17397000,-11488000,-363000,-11125000,5909000,5909000,5909000,-1802000,4107000,4107000,4107000,4107000,27690000,304643000,1263850000,-16962000,1280812000,50026000,4092000,28583000,1741013000,1448724000,947246000,501478000,4639000,1578774000,216731000,-53008000,-1484000,162239000,162239000,1741013000,4107000,656000,-250000,27938000,-29181000,3270000,670000,-16292000,-44289000,-59911000,-7.45058059692383e-09,90097000,88709000,32068000,32068000,32068000,6565000,125411000,-20144000,0.34461,0.23952,0.02531,0.00236,-4.9048,9.73116,0.07203,0.12108,0.12108,0.5055,4.78285,-0.59385,0.00294,-0.01157,14.88515,16.53765
"27","2017_Q2",8.01301587301587,"Down",16814000,12583000,13848000,-1265000,4231000,428000,3039000,761000,5e+05,17314000,-10888000,-225000,-10663000,6426000,6426000,6426000,-1966000,4460000,4460000,4460000,4460000,30631000,304160000,1249432000,-16696000,1266128000,49832000,4204000,27476000,1748853000,1433146000,966731000,466415000,5539000,1582708000,216845000,-49905000,-795000,166145000,166145000,1748853000,4460000,537000,-5e+05,16324000,-15427000,5394000,-142000,2139000,14862000,16859000,18612000,-15578000,1677000,23930000,23930000,23930000,6963000,144023000,-6640000,0.38218,0.26526,0.02684,0.00255,-1.48879,9.52606,0.08235,0.1314,0.13138,0.49539,4.89511,-0.19563,0.00333,-0.0038,16.28493,17.64581
"28","2017_Q3",7.99825396825397,"Down",17183000,12705000,14042000,-1337000,4478000,476000,-5e+05,4502000,5e+05,17683000,-10791000,-197000,-10594000,6892000,6892000,6892000,-2129000,4763000,4763000,4763000,4763000,31165000,304918000,1234785000,-16570000,1251355000,48626000,4084000,21381000,1759063000,1459990000,978221000,481769000,4875000,1588888000,216959000,-46491000,-293000,170175000,170175000,1759063000,4763000,436000,-5e+05,18161000,-17981000,4879000,5765000,238000,15143000,21146000,-2e+07,26844000,5494999.99999999,31520000,31520000,31520000,7328000,124023000,-2759000,0.40109,0.27719,0.02799,0.00271,-0.57926,9.33679,0.07051,0.14033,0.1403,0.50624,5.01365,-0.08128,0.00347,-0.00157,12.67167,13.4733
"29","2017_Q4",8.51253968253968,"Up",17438000,13138000,14626000,-1488000,4300000,369000,1324000,2607000,350000,17788000,-10755000,-199000,-10556000,7033000,7033000,7033000,-2158000,4875000,4875000,4875000,4875000,28318000,327709000,1243603000,-16434000,1260037000,46822000,4532000,20491000,1803046000,1506178000,1008868000,497310000,10048000,1629582000,217099000,-43307000,-328000,173464000,173464000,1803046000,4875000,462000,-350000,12035000,-8363000,8659000,1612000,-21042000,-8468000,-27898000,-10667000,46188000,33859000,14620000,14620000,14620000,7495000,113356000,2902000,0.40331,0.27956,0.0281,0.0027,0.59528,9.39435,0.06287,0.14363,0.14361,0.51376,5.11056,0.0855,0.00364,0.00161,11.34596,12.09128
"30","2018_Q1",8.6627868852459,"Up",17928000,13518000,15160000,-1642000,4410000,301000,1344000,2765000,0,17928000,-11254000,-191000,-11063000,6674000,6674000,6674000,-4480000,2194000,2194000,2194000,2194000,34945000,358348000,1303709000,-16600000,1320309000,46629000,4680000,15399000,1890232000,1579010000,1088427000,490583000,4880000,1717246000,217081000,-42526000,-1569000,172986000,172986000,1890232000,2194000,850000,0,15717000,-14914000,3847000,350000,-33450000,-60166000,-93266000,2e+07,72832000,90997000,1578000,1578000,1578000,7524000,133356000,-2560000,0.37227,0.12238,0.01268,0.00116,-1.16682,9.92708,0.07055,0.0646,0.06459,0.52791,5.09374,-0.07538,0.00206,-0.00135,13.07961,14.74543
"31","2018_Q2",9.7134375,"Up",18314000,14182000,16019000,-1837000,4132000,141000,3252000,739000,1e+05,18414000,-11434000,-202000,-11232000,6980000,6980000,6980000,-1225000,5755000,5755000,5755000,5755000,26954000,356834000,1308870000,-16675000,1325545000,46110000,5200000,15914000,1863780000,1560872000,1106879000,453993000,5627000,1688404000,217573000,-38836000,-3361000,175376000,175376000,1863780000,5755000,534000,-1e+05,6912000,-5513000,7588000,289000,-1889000,-5354000,-6954000,-11451000,-18138000,-31249000,-30615000,-30615000,-30615000,7514000,121905000,3515000,0.38113,0.31424,0.03282,0.00309,0.61077,9.62734,0.06541,0.16921,0.16921,0.53848,5.15654,0.10335,0.00418,0.00189,12.63655,13.6033
"32","2018_Q3",10.5731746031746,"Up",19121000,14654000,16836000,-2182000,4467000,222000,-560000,4805000,3e+05,19421000,-11259000,-215000,-11044000,8162000,8162000,8162000,-1434000,6728000,6728000,6728000,6728000,37105000,350641000,1310991000,-16695000,1327686000,45907000,5078000,15403000,1872541000,1580461000,1083856000,496605000,5461000,1692827000,217675000,-34149000,-3812000,179714000,179714000,1872541000,6728000,723000,-3e+05,8354000,-9236000,6269000,912000,5761000,-1821000,4852000,-1.5e+07,19589000,2548000,13669000,13669000,13669000,8885000,106905000,1995000,0.42686,0.35186,0.03744,0.00359,0.29652,9.41956,0.05709,0.19779,0.19779,0.56211,5.28311,0.05865,0.00468,0.00107,7.85594,8.55183
"33","2018_Q4",8.99238095238095,"Down",19661000,15162000,17687000,-2525000,4499000,270000,1425000,2804000,0,19661000,-11239000,-189000,-11050000,8422000,8422000,8422000,-1569000,6853000,6853000,6853000,6853000,30837000,342857000,1327880000,-16803000,1344683000,45631000,5524000,14205000,1919273000,1617743000,1117063000,500680000,6316000,1735297000,217785000,-29321000,-4488000,183976000,183976000,1919273000,6853000,637000,0,10193000,-9825000,7858000,51000,8045000,-16889000,-8793000,4333000,37282000,39590000,38655000,38655000,38655000,9059000,111238000,854000,0.42836,0.34856,0.03725,0.00357,0.12462,9.43219,0.05796,0.20147,0.20147,0.57802,5.40877,0.02511,0.00463,0.00044,8.87526,9.54654
