"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"18","2018_Q1",18.8280327868852,"Down",242801000,-105216000,137585000,-85429000,-7986000,-75831000,52156000,-25747000,-25747000,-25747000,26409000,4124000,30533000,30533000,30533000,4485000,35018000,-57012000,-21994000,46156000,46156000,166811000,166811000,212967000,8029177000,8968901000,-939724000,278883000,120279000,158604000,8395801000,8608768000,271726000,222867000,271726000,2427028000,2461218000,2732944000,5603123000,-453953000,5149629000,726195000,5875824000,8608768000,30533000,75831000,-1724000,-68054000,36586000,-344721000,-5862000,-350583000,-10999.9999999963,139752000,-440000.00000006,-440000,-5602000,133699000,-180298000,-180298000,-180298000,127987000,2427028000,0.56666,0.21481,-0.09058,-0.00374,-0.00255,0.78376,0.46512,0.28193,-0.07664,-0.08313,0.84612,17.94414,3.99999999999984e-05,-0.00264,-0.000499999999997058,18.60245,45.64905
"19","2018_Q2",19.37359375,"Up",258004000,-119974000,138030000,-90672000,-9231000,-79303000,47358000,-29301000,-29301000,-29301000,18057000,3468000,21525000,21525000,21525000,-1114000,20411000,-14597000,5814000,203883000,203883000,184387000,184387000,388270000,7967387000,8956863000,-989476000,400683000,120279000,280404000,8569763000,8958033000,310871000,262267000,310871000,2776253000,2806512000,3117383000,5568721000,-462504000,5116109000,724541000,5840650000,8958033000,21525000,79303000,2608000,9055000,112491000,-174189000,-47442000,-221631000,-14337000,356955000,-34969000,0,-21177000,286472000,177332000,177332000,177332000,126661000,2776253000,0.53499,0.18356,0.02253,0.001,0.00065,1.24897,0.53374,0.30992,0.02032,0.02028,0.90153,17.87569,0.0501,0.00233,2.46594,20.30909,54.31754
"20","2018_Q3",21.451746031746,"Up",264483000,-117459000,147024000,-90941000,-9677000,-78319000,56083000,-31978000,-31978000,-31978000,24105000,1793000,25898000,25898000,25898000,3150000,29048000,-44199000,-15151000,53504000,53504000,187059000,187059000,240563000,7899909000,8946820000,-1046911000,405964000,120279000,285685000,8589885000,8830448000,282734000,282734000,282734000,2674381000,2678952000,2961686000,5633281000,-494326000,5148530000,720232000,5868762000,8830448000,25898000,78319000,4782000,28475000,137474000,-69335000,-34661000,-103996000,-14365000,-149172000,1933000.00000001,1933000,-19515000,-181119000,-147641000,-147641000,-147641000,134402000,2674381000,0.55589,0.21205,-0.05729,-0.00258,-0.00172,0.85085,0.50465,0.30286,-0.05128,-0.05128,0.89515,17.42428,0.04862,-8.99999999999989e-05,-0.948119999999999,19.50028,46.73211
"21","2018_Q4",19.478253968254,"Down",280052000,-132465000,147587000,-91329000,-9265000,-79940000,56258000,-30930000,-30930000,-30930000,25328000,4953000,30281000,30281000,30281000,-2881000,27400000,-12223000,15177000,110138000,110138000,192104000,192104000,302242000,7959006000,9074594000,-1115588000,410627000,120279000,290348000,8669184000,8971426000,305935000,305935000,305935000,2671703000,2676487000,2982422000,5753274000,-493995000,5268659000,720345000,5989004000,8971426000,30281000,79940000,2104000,14173000,126498000,-132650000,-23634000,-156284000,-14822000,-3750000,121938000,121938000,-19930000,83436000,53650000,53650000,53650000,136198000,2671703000,0.527,0.20088,0.05419,0.00253,0.00169,0.98793,0.49798,0.2978,0.05124,0.05111,0.94544,17.78544,0.05004,0.00346,0.97661,18.80766,45.53246
"22","2019_Q1",20.9168852459016,"Up",270316000,295325000,565641000,-502488000,-8402000,-81123000,63153000,-30691000,-30691000,-30691000,32462000,2272000,34734000,34734000,34734000,-3320000,31414000,-13782000,17632000,30284000,30284000,173957000,173957000,204241000,8020597000,9197096000,-1176499000,304665000,120279000,184386000,8797240000,9001481000,219229000,219229000,219229000,2803543000,2808510000,3027739000,5735432000,-491214000,5251965000,721777000,5973742000,9001481000,34734000,81123000,765000,-82203000,34419000,-164012000,-28485000,-192497000,-14846000,212810000,-113164000,-113164000,-17672000,67128000.0000001,-90949999.9999999,-90949999.9999999,-90949999.9999999,144276000,2803543000,2.09252,0.23363,0.06523,0.00295,0.00196,0.93163,0.50684,0.31145,0.05943,0.05918,0.91107,17.69998,0.05004,0.0037,0.84199,19.2219,43.91334
"23","2019_Q2",22.9503174603175,"Up",279204000,-127393000,151811000,-92454000,-9435000,-81161000,59357000,-31915000,-31915000,-31915000,27442000,5649000,33091000,33091000,33091000,-3026000,30065000,-13782000,16283000,154584000,154584000,190976000,190976000,345560000,8040577000,9290900000,-1250323000,302538000,120279000,182259000,8845478000,9191038000,266797000,266797000,266797000,2943925000,2948869000,3215666000,5742134000,-489820000,5259870000,715502000,5975372000,9191038000,33091000,81161000,-589000,34273000,147936000,-68337000,-62532000,-130869000,-14832000,147944000,0,-116159571.633162,-12646000,120466000,137533000,137533000,137533000,140518000,2943925000,0.54373,0.21259,0.05832,0.00273,0.00177,1.29522,0.53815,0.3203,0.05486,0.05474,0.94061,17.71873,0.04997,0.00349,0.91089,19.85042,46.99262
"24","2019_Q3",24.04640625,"Up",281860000,-126241000,155619000,-95810000.0000001,-10486000,-82840000,59809000,-32571000,-32571000,-32571000,27238000,13066000,40304000,40304000,40304000,-4004000,36300000,-13782000,22518000,119176000,119176000,197722000,197722000,316898000,7977518000,9294438000,-1316920000,336118000,120279000,215839000,8825725000,9142623000,301219000,301219000,301219000,2841057000,2845881000,3147100000,5787402000,-482354000,5312464000,683059000,5995523000,9142623000,40304000,82840000,-7105000,23517000,139556000,-19735000,-19429000,-39164000,-14889000,-1e+08,10336000,10336000,-23676000,-128229000,-27837000,-27837000,-27837000,142649000,2841057000,0.55211,0.21219,0.07989,0.00376,0.00246,1.05205,0.52491,0.31075,0.07519,0.07508,0.94116,17.73772,0.04972,0.00423,0.6612,19.08097,45.50956
"25","2019_Q4",25.05890625,"Up",298304000,-142518000,155786000,-96441000,-11107000,-82073000,59345000,-31465000,-31465000,-31465000,27880000,13521000,41401000,41401000,41401000,-4099000,37302000,-13782000,23520000,171209000,171209000,163103000,163103000,334312000,7959526000,9348742000,-1389216000,336616000,120279000,216337000,8805809000,9140121000,295544000,295544000,295544000,2837115000,2837388000,3132932000,5791956000,-473893000,5325279000,681910000,6007189000,9140121000,41401000,82073000,-13133000,22582000,132923000,-13686000,-40377000,-54063000,-30111000,0,769000,769000,-36418000,-65760000,13100000,13100000,13100000,141418000,2837115000,0.52224,0.19894,0.07885,0.00392,0.00257,1.13118,0.52153,0.3104,0.07824,0.07812,0.99234,17.71387,0.10017,0.00606,1.28023,18.85125,44.92217
"26","2020_Q1",25.4264516129032,"Up",272769000,-124610000,148159000,-87794000,-12178000,-83219000,60365000,-22992000,-31163000,-31163000,37373000,4091000,41464000,41464000,41464000,-4092000,37372000,-13782000,23590000,37575000,37575000,156162000,156162000,193737000,7986276000,9448381000,-1462105000,564669000,120279000,376455000,8906372000,9100109000,243193000,243193000,243193000,2833497000,2838126000,3081319000,5793782000,-465368000,5335426000,683364000,6018790000,9100109000,41464000,83219000,-6968000,-80243000,37472000,-47783000,-91873000,-152770000,3.72529029846191e-09,-21517000,419000,419000,2505000,-18593000,-133891000,-133891000,-133891000,143584000,2833497000,0.54317,0.2213,0.08648,0.00392,0.00259,0.79664,0.51195,0.31137,0.07844,0.07831,0.907,17.73987,1.38777878078145e-17,0.00266,2.22044604925031e-16,19.47238,46.31694
"27","2020_Q2",24.042380952381,"Down",287342000,-107497000,179845000,-117363000,-11266000,-82821000,62482000,-29127000,-29715000,-29715000,33355000,4172000,37527000,37527000,37527000,-3501000,34026000,-13782000,20244000,33108000,33108000,158577000,158577000,191685000,8067375000,9599681000,-1532306000,534849000,120279000,349037000,9009680000,9201365000,241950000,241950000,241950000,2934660000,2934660000,3176610000,5795427000,-461706000,5340527000,684228000,6024755000,9201365000,37527000,82821000,-1431000,7579000,126496000,-101174000,-77040000,-179214000,-30114000,99565000,1449000,1449000,-20572000,50328000,-2390000,-2390000,-2390000,145303000,2934660000,0.62589,0.21745,0.07045,0.00336,0.0022,0.79225,0.52726,0.31894,0.0673,0.06719,0.95522,17.75246,0.10011,0.00562,1.48755,19.96898,46.43821
"28","2020_Q3",27.27671875,"Up",280689000,-110436000,170253000,-118589000,-11493000,-84836000,51664000,-27898000,-29558000,-29558000,23766000,8041000,31807000,31807000,31807000,-2656000,29151000,-13782000,15369000,32010000,32010000,161566000,161566000,193576000,8096223000,9699599000,-1603376000,528848000,120279000,338590000,9078198000,9271774000,287036000,287036000,287036000,2954929000,2954929000,3241965000,5800395000,-461435000,5345561000,684248000,6029809000,9271774000,31807000,84836000,-6200000,42265000,152708000,-40300000,-98797000,-143252000,-15107000,18672000,2892000.00000003,2892000,-16397000,-9940000,-484000,-484000,-484000,136500000,2954929000,0.60655,0.18406,0.05475,0.00255,0.00166,0.6744,0.53766,0.3187,0.05106,0.05099,0.93249,17.75748,0.05019,0.00339,0.98295,21.41333,56.57555
"29","2020_Q4",28.3928125,"Up",307932000,-193686000,114246000,-54030000,-12570000,-86996000,60216000,-30653000,-29267000,-29267000,29563000,10590000,40153000,40153000,40153000,-3819000,36334000,-13782000,22552000,315808000,315808000,173127000,173127000,488935000,8158937000,9836768000,-1677831000,502624000,120279000,307364000,9111428000,9600363000,324732000,324732000,324732000,2821192000,2821192000,3145924000,6217311000,-454697000,5769009000,685430000,6454439000,9600363000,40153000,86996000,-8296000,29354000,148207000,-37577000,-66537000,-114626000,-15814000,-135347000,415358000,415358000,-16996000,247201000,280782000,280782000,280782000,147212000,2821192000,0.37101,0.19555,0.07324,0.00349,0.00235,1.50566,0.4874,0.29386,0.07319,0.07308,0.99935,18.72134,0.05132,0.00414,0.70122,17.01888,41.60662
"30","2021_Q1",30.236393442623,"Up",296551000,-128540000,168011000,-101688000,-13188000,-88500000,66323000,-27653000,-28498000,-28498000,38670000,6672000,45342000,45342000,45342000,-4479000,40863000,-13782000,27081000,137060000,137060000,128017000,128017000,265077000,8245388000,9999821000,-1754433000,443769000,120279000,230381000,9328548000,9593625000,298949000,298949000,298949000,2817412000,2822246000,3121195000,6226422000,-443522000,5789094000,683336000,6472430000,9593625000,45342000,88500000,-4807000,-82346000,46689000,-107564000,-84102000,-205833000,-32000,-5390999.99999999,1412000,1412000,-13795000,-17806000,-176950000,-176950000,-176950000,154823000,2817412000,0.56655,0.22365,0.09132,0.00418,0.00282,0.8867,0.48223,0.29368,0.08557,0.08544,0.93698,18.29011,9.9999999999989e-05,0.00292,0.00117999999999996,17.31236,40.41361
"31","2021_Q2",36.0933333333333,"Up",312573000,-142393000,170180000,-105276000,-15205000,-90071000,64904000,-27206000,-28005000,-28005000,37698000,11223000,48921000,48921000,48921000,-4925000,43996000,-13782000,30214000,75237000,75237000,136867000,136867000,212104000,8330166000,10162676000,-1832510000,473672000,120279000,253316000,9474597000,9686701000,307644000,307644000,307644000,2892877000,2892877000,3200521000,6237628000,-445103000,5806455000,679725000,6486180000,9686701000,48921000,90071000,-6496000,19501000,151997000,-96528000,-103712000,-208230000,-47561000,73882000,1121000,1121000,-24182000,3260000,-52973000,-52973000,-52973000,154975000,2892877000,0.54445,0.20764,0.09666,0.00466,0.00312,0.68945,0.49344,0.29864,0.09532,0.09518,0.98609,18.31679,0.15004,0.00829,1.57414,18.18126,43.41242
