"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","other_adjustments_2","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2019_Q4",21.2359375,"Up",202961000,-99847000,103114000,-27566000,-12564000,-15002000,75548000,-1753000,-2760000,73795000,-18938000,54857000,7355000,62212000,62212000,-20956000,41256000,41256000,195735000,173297000,22438000,91313000,91313000,12794000,12165000,299842000,40963000,666111000,965953000,123150000,42561000,80589000,476571000,476571000,798778000,804274000,83689000,36752000,-2429000,118653000,43026000,161679000,965953000,62212000,62212000,1600000,1325000,16540000,13809000,78946000,-2394000,-2404000,-22061000,-61963000,14579000,14579000,14579000,77148000,199057000,81208000,0.50805,0.37223,0.20327,0.25517,0.04271,1.96839,0.37538,4.97451,0.20607,0.80188,0.80188,3.9449,2.29377,1.57842,0.20525,0.22174,0.04306,0.04397
"28","2020_Q1",22.6479032258065,"Up",208302000,-99841000,108461000,-29144000,-13933000,-15211000,79317000,-701000,-2692000,78616000,5076000,83692000,-14238000,69454000,69454000,-24901000,44553000,44553000,167504000,143626000,23878000,81868000,81868000,97373000,9589000,346745000,39495000,586874000,933619000,70241000,54082000,16159000,476478000,476478000,745822000,752008000,89285000,44455000,-1425000,132957000,48654000,181611000,933619000,69454000,69454000,1666000,2762000,-4812000,-42672000,31210000,-1124000,-835999.999999999,-23177000,-60045000,-29671000,-29671000,-29671000,80983000,199103000,51425000,0.52069,0.38078,0.21389,0.24532,0.04772,1.15424,0.46492,4.14076,0.21326,0.86334,0.66691,4.03644,2.56398,0.9965,0.21044,0.13292,0.39019,0.39839
"29","2020_Q2",21.6049206349206,"Down",202836000,-104717000,98119000,-27159000,-12765000,-14394000,70960000,-4942000,-2685000,66018000,-12924000,53094000,-9451000,43643000,43643000,-8818000,34825000,34825000,182260000,177395000,4865000,96712000,96712000,13586000,12957000,292558000,38782000,681436000,973994000,119250000,49204000,70046000,503970000,503970000,822368000,826023000,86344000,21294000,-2475000,105829000,42142000,147971000,973994000,43643000,43643000,1624000,32270000,25389000,42960000,120497000,-798000,3575000,-17864000,-90303000,33769000,33769000,33769000,72584000,199148000,124197000,0.48374,0.34984,0.17169,0.23535,0.03575,3.56632,0.35575,5.58233,0.20447,0.65338,0.59632,3.80555,1.97304,2.33015,0.30579,0.35407,0.23267,0.23799
"30","2020_Q3",29.115,"Up",202942000,-102204000,100738000,-24111000,-9216000,-14895000,76627000,-1541000,-2715000,75086000,12877000,87963000,-16256000,71707000,71707000,-25556000,46151000,46151000,200952000,195655000,5297000,94106000,94106000,11657000,11028000,306715000,37564000,695188000,1001903000,131140000,51880000,79260000,487060000,487060000,817394000,830070000,88214000,34562000,-2539000,120907000,50926000,171833000,1001903000,71707000,71707000,1638000,7818000,-1179000,2278000.00000001,83441000,-362000,13370000,-20980000,-78551000,18260000,18260000,18260000,78265000,199194000,96437000,0.49639,0.37758,0.22741,0.26858,0.04606,2.0896,0.37524,4.83068,0.19882,0.8256,0.75287,3.63045,2.15093,1.72517,0.21737,0.25133,-0.02246,-0.02294
"31","2020_Q4",36.75796875,"Up",232753000,-108657000,124096000,-26851000,-10841000,-16010000,97245000,-2140000,-2718000,95105000,8036000,103141000,-18448000,84693000,84693000,-26166000,58527000,58527000,237050000,230313000,6737000,98420000,98420000,15583000,14954000,351053000,36234000,731486000,1082539000,174007000,80094000,93913000,481528000,481528000,854774000,868617000,94861000,51715000,-1921000,145324000,68598000,213922000,1082539000,84693000,84693000,1705000,-17509000,-25329000,25894000,94783000,-582000,-718000,-11383000,-59407000,34658000,34658000,34658000,98950000,199239000,142710000,0.53317,0.4178,0.25146,0.27359,0.05406,2.43836,0.4107,4.06044,0.18405,1.03771,0.94704,4.12683,2.5648,2.53032,0.23402,0.33421,-0.38212,-0.38882
"32","2021_Q1",42.1890163934426,"Up",261036000,-120240000,140796000,-27304000,-12543000,-14761000,113492000,-1876000,-2686000,111616000,13484000,125100000,-16640000,108460000,108460000,-35346000,73114000,73114000,202477000,198821000,3656000,99888000,99888000,90753000,10820000,393118000,35874000,758844000,1151962000,147013000,134089000,12924000,505139000,505139000,851436000,867167000,107848000,72944000,-991000,180477000,104318000,284795000,1151962000,108460000,108460000,1658000,-33109000,-37401000,-57053000,19956000,-1357000,2525000,-2058000,-53973000,-31492000,-31492000,-31492000,115150000,199284000,73380000,0.53937,0.43478,0.28009,0.25673,0.06347,1.00364,0.46171,3.04488,0.173,1.28722,1.78763,4.5957,3.16551,1.2919,0.25015,0.14682,-0.02773,-0.02813
"33","2021_Q2",44.325873015873,"Up",290677000,-139465000,151212000,-29403000,-14355000,-15048000,121809000,-2489000,-2685000,119320000,6916000,126236000,-21618000,104618000,104618000,-27340000,77278000,77278000,317332000,281097000,36235000,115039000,115039000,16191000,15562000,448562000,37068000,836382000,1284944000,222135000,123593000,98542000,520548000,520548000,942013000,954954000,114863000,68960000,-868000,183641000,146349000,329990000,1284944000,104618000,104618000,1554000,-40203000,-49980000,126807000,192776000,-1722000,-22729000,28356000,-52948000,117099000,117099000,117099000,123363000,199330000,270066000,0.52021,0.41905,0.26586,0.23418,0.06014,3.49473,0.47617,2.89389,0.15513,1.31649,1.20559,4.95191,3.11678,4.60078,0.29245,0.49804,-0.95654,-0.96875
"34","2021_Q3",43.34625,"Down",304949000,-138013000,166936000,-29133000,-13204000,-15929000,137803000,1215000,-2720000,139018000,8328000,147346000,-28465000,118881000,118881000,-30674000,88207000,88207000,291083000,241193000,49890000,121654000,121654000,19193000,18564000,431930000,37367000,787884000,1219814000,184223000,74388000,109835000,495187000,495187000,878785000,888892000,119961000,100429000,-817000,220257000,110665000,330922000,1219814000,118881000,118881000,1694000,-9655000,-19823000,-44189000,66731000,-2343000,-26179000,-70607000,-80456000,-39904000,-39904000,-39904000,139497000,199375000,121430000,0.54742,0.45189,0.28925,0.26655,0.07231,1.37665,0.49151,2.68611,0.16345,1.47503,1.34873,5.09948,3.67179,2.0306,0.26829,0.2247,-0.65742,-0.6655
"35","2021_Q4",42.059375,"Down",316574000,-142235000,174339000,-31281000,-14848000,-16433000,143058000,-4820000,-2711000,138238000,3182000,141420000,-28054000,113366000,113366000,-26953000,86413000,86413000,337627000,289835000,47792000,122148000,122148000,21772000,21143000,481547000,36094000,777462000,1259009000,188282000,64847000,123435000,489799000,489799000,877502000,890665000,128723000,121497000,-1313000,249595000,118749000,368344000,1259009000,113366000,123019707.37662,1833000,23994000,14947959.5595106,5468000,144661000,-1064000,22772000,-22151000,-118791000,48642000,48642000,48642000,144891000,199421000,177349000,0.55071,0.45189,0.27296,0.2346,0.06864,2.05234,0.54877,2.41802,0.1584,1.44022,1.3213,5.27623,4.14845,2.95582,0.26131,0.30529,-0.95386,-0.96608
"36","2022_Q1",36.7788709677419,"Down",315036000,-143341000,171695000,-33874000,-16481000,-17393000,137821000,-2953000,-2687000,134868000,1680000,136548000,-28889000,107659000,107659000,-23041000,84618000,84618000,248020000,200142000,47878000,115850000,115850000,518813000,20282000,882683000,35313000,325364000,1208047000,56698000,49177000,7520999.99999999,119482000,119482000,176180000,801051000,142625000,134889000,-1310000,276204000,130792000,406996000,1208047000,107659000,109182131.96694,1852000,24189000,29889165.174234,-139317000,-5617000.00000003,-838000,-838000,34959000,-83238000,-89693000,-89693000,-89693000,139673000,199444000,28407000,0.545,0.43748,0.2686,0.20791,0.07005,0.33571,5.01012,1.9682,0.1651,1.29982,1.20367,4.83926,4.24276,0.43636,0.15107,0.02753,-0.34778,-0.35246
"37","2022_Q2",34.0082258064516,"Down",281598000,-139932000,141666000,-34675000,-16335000,-18340000,106991000,-7438000,-2686000,99553000,1670000,101223000,-18786000,82437000,82437000,-17004000,65433000,65433000,308716000,203041000,105675000,122494000,122494000,17772000,17143000,448982000,37620000,808244000,1257226000,138593000,41393000,97200000,560109000,560109000,698702000,898213000,146676000,82768000,-1782000,227784000,131229000,359013000,1257226000,82437000,82437000,1710000,19945000,11099000,87405000,191497000,-3977000,-56403000,-14599000,-132195000,2899000,2899000,2899000,108701000,199511000,210915000,0.50308,0.37994,0.23236,0.18226,0.05205,3.22337,0.64259,2.5019,0.15869,1.07443,0.98692,4.62394,3.73829,3.4633,0.3277,0.37763,-1.00464,-1.02069
