"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",9.19548387096774,"Up",1549302000,-1444050000,105252000,-71156000,-60965000,-9519000,34096000,-22597000,-15762000,-6835000,11499000,12797000,-3849000,8948000,8948000,8948000,8948000,394862000,394862000,1017355000,1017355000,826725000,95953000,95953000,2334895000,566339000,131687000,131687000,698026000,3032921000,1010929000,895859000,115070000,3e+07,1157454000,940016000,129699000,129699000,1069715000,2227169000,805752000,3032921000,8948000,24563000,7945000,6163000,47619000,-13225000,-16895000,-101868000,293000,293000,-101575000,-70851000,-70851000,1294000,-69557000,58659000,970016000,55446000,0.06794,0.02201,0.00578,0.01111,0.00295,6.19647,2.01727,2.76409,0.31983,0.10968,0.10343,18.99097,0.67964,0.0047,0.0291,9.80504,16.86866
"12","2013_Q1",10.827,"Up",1578584000,-1463427000,115157000,-82644000,-57817000,-24155000,32513000,-150000,-13053000,12903000,32363000,15113000,149037000,164150000,164150000,164150000,164150000,409618000,409618000,1001543000,1001543000,826539000,88599000,88599000,2326299000,569365000,272122000,272122000,841487000,3167786000,1054811000,937737000,117074000,59995000,1219547000,837364000,147094000,147094000,984458000,2204005000,963781000,3167786000,164150000,24403000,-141941000,74459000,121071000,-22440000,-20945000,-83826000,295000,6e+05,-83533000,16593000,16593000,-1837000,14756000,56916000,897359000,-40102000,0.07295,0.0206,0.10399,0.17032,0.05182,-0.2443,1.90751,2.28683,0.28328,2.01418,1.96415,19.36984,-0.49207,0.08174,-0.01997,8.56949,15.00141
"13","2013_Q2",12.85296875,"Up",1494945000,-1398017000,96928000,-69684000,-59868000,-9342000,27244000,-27808000,-12886000,-14922000,-564000,3654000,-3033000,621000,621000,621000,621000,490693000,490693000,897069000,897069000,779859000,81140000,81140000,2248761000,563065000,267526000,267526000,830591000,3079352000,948256000,834307000,113949000,162641000,1211283000,734929000,146794000,146794000,881723000,2093006000,986346000,3079352000,621000,24830000,485000,71148000,97084000,-18842000,-18842000,3945000,-577000,833000,3368000,81610000,81610000,-535000,81075000,52074000,897570000,107413000,0.06484,0.01822,0.00042,0.000629999999999992,0.000199999999999999,172.96779,1.85651,2.12198,0.29148,0.00758,0.00739,18.24884,1.31119,0.000309999999999977,0.05289,7.81344,14.93455
"14","2013_Q3",16.37296875,"Up",1427642000,-1327338000,100304000,-72373000,-58954000,-12945000,27931000,-11647000,-10170000,-1477000,16284000,34151000,-12960000,21191000,21191000,21191000,21191000,411942000,411942000,870905000,870905000,798820000,74680000,74680000,2156347000,547850000,260631000,260631000,808481000,2964828000,952751000,851767000,100984000,170216000,1232481000,574046000,143795000,143795000,717841000,1950322000,1014506000,2964828000,21191000,24131000,-13034000,32381000,64669000,4079000,4079000,-147875000,1028000,1143000,-146847000,-78099000,-78099000,-652000,-78751000,52062000,744262000,101482000,0.07026,0.01956,0.01484,0.02089,0.00715,4.78891999999999,1.7496,1.92244,0.25103,0.25676,0.25011,17.29804,1.22961,0.01114,0.05334,6.38316,11.89789
"15","2013_Q4",16.08625,"Down",1489214000,-1374963000,114251000,-78746000,-62120000,-16152000,35505000,-8591000,-8553000,-38000,26914000,27090000,-8352000,18738000,18738000,18738000,18738000,416394000,416394000,898625000,898625000,796759000,76880000,76880000,2188658000,543884000,246504000,246504000,790388000,2979046000,1016525000,899256000,117269000,113865000,1250570000,561155000,128141000,128141000,689296000,1939866000,1039180000,2979046000,18738000,23632000,5603000,18116000,66089000,-9808000,-9808000,-56341000,4713000,4713000,-51628000,4653000,4653000,-201000,4452000,59137000,675020000,75797000,0.07672,0.02384,0.01258,0.01803,0.00629,4.0451,1.75013,1.86673,0.22659,0.22551,0.2186,17.92226,0.91219,0.01017,0.04114,4.37334,7.28421
"16","2014_Q1",16.7568852459016,"Up",1505323000,-1389989000,115334000,-69646000,-57130000,-12042000,45688000,-4776000,-8381000,3605000,40912000,38511000,289999.999999998,38801000,38801000,38801000,38801000,402875000,402875000,944816000,944816000,781560000,75337000,75337000,2204588000,540151000,251109000,251109000,791260000,2995848000,1075060000,956488000,118572000,22301000,1206724000,562512000,135048000,135048000,697560000,1904284000,1091564000,2995848000,38801000,23428000,-3286000,31104000,90047000,-18299000,-18299000,-89074000,4922000,4922000,-84152000,-12404000,-12404000,-1115000,-13519000,69116000,584813000,81631000,0.07662,0.03035,0.02578,0.03555,0.01295,2.10384,1.82692,1.74455,0.19521,0.46307,0.4452,17.96521,0.97422,0.02142,0.04506,2.63236,3.98218
"17","2014_Q2",20.2549206349206,"Up",1447498000,-1336713000,110785000,-71265000,-59182000,-11609000,39520000,-5789000,-6667000,878000,33731000,33731000,-10630000,23101000,23101000,23101000,23101000,407051000,407051000,917211000,917211000,791979000,87702000,87702000,2203943000,562450000,263807000,263807000,826257000,3030200000,1042575000,925436000,117139000,83822000,1240212000,560616000,136137000,136137000,696753000,1936965000,1093235000,3030200000,23101000,23360000,4445000,-12663000,38243000,-13443000,-71103000,61521000,-24495000,1128000,37026000,4166000,4166000,10000,4176000,62880000,644438000,47404000,0.07654,0.0273,0.01596,0.02113,0.00762,2.05203,1.77707,1.77177,0.21267,0.27578,0.26474,17.28026,0.56591,0.01233,0.0253,3.77524,6.00676
"18","2014_Q3",23.265625,"Up",1476712000,-1357745000,118967000,-74200000,-62332000,-11394000,44767000,-6682000,-7308000,625999.999999999,38085000,38615000,-17775000,20840000,20840000,20840000,20840000,390622000,390622000,953347000,953347000,799663000,88218000,88218000,2231850000,546366000,241995000,241995000,788361000,3020211000,1031766000,917780000,113986000,85682000,1225893000,557241000,133560000,133560000,690801000,1916694000,1103517000,3020211000,20840000,25159000,12826000,-50316000,8509000,-16347000,-12748000,4759999.99999999,-16645000,2842000,-11885000,-16124000,-16124000,-305000,-16429000,69926000,642923000,21038000,0.08056,0.03032,0.01411,0.01889,0.0069,1.0095,1.82059,1.7369,0.21287,0.25191,0.24192,17.85021,0.2543,0.01109,0.01119,3.60811,5.63587
"19","2014_Q4",22.86953125,"Down",1604727000,-1477814000,126913000,-73585000,-63029000,-10131000,53328000,-14330000,-8229000,-6101000,38998000,38998000,-18277000,20721000,20721000,20721000,20721000,552013000,552013000,973051000,973051000,880267000,98970000,98970000,2504301000,564219000,221585000,221585000,785804000,3290105000,1213777000,1082986000,130791000,163732000,1488152000,536722000,133091000,133091000,669813000,2157965000,1132140000,3290105000,20721000,24541000,21232000,85247000,151741000,-11980000,-38780000,31251000,-519000,5636000,47224000,160185000,160185000,1206000,161391000,77869000,700454000,169413000,0.07909,0.03323,0.01291,0.0183,0.0063,8.17591,1.68283,1.90609,0.2129,0.25126,0.24029,19.45902,2.05431,0.01054,0.08619,1.90629,2.78355
"20","2015_Q1",22.9596721311475,"Up",1686169000,-1554551000,131618000,-70081000,-57745000,-11911000,61537000,635999.999999996,-7067000,7703000,62173000,50395000,82108000,132503000,132503000,132503000,132503000,466607000,466607000,979475000,979475000,893178000,111714000,111714000,2450974000,563016000,299099000,81454000,862115000,3313089000,1266386000,1139845000,126541000,157394000,1534137000,386681000,145516000,145516000,532197000,2066334000,1246755000,3313089000,132503000,24617000,-78558000,30327000,108889000,-21716000,-19259000,-157673000,-17719000,7253000,-175392000,-85762000,-85762000,356000,-85405999.9999999,86154000,544075000,12657000,0.07806,0.0365,0.07858,0.10628,0.03999,0.0955200000000005,1.59762,1.65737,0.16422,1.60557,1.51803,20.43173,0.15337,0.06843,0.00654,0.89918,1.25888
"21","2015_Q2",21.848253968254,"Down",1671162000,-1544816000,126346000,-70912000,-59418000,-11069000,55434000,-7676000,-6148000,-1528000,47758000,45804000,-23148000,22656000,22656000,22656000,22656000,391149000,391149000,972958000,972958000,907735000,109664000,109664000,2381506000,564557000,279669000,279669000,844226000,3225732000,1198902000,1080435000,118467000,63416000,1372318000,426866000,144936000,144936000,571802000,1944120000,1281612000,3225732000,22656000,24656000,16456000,-69937000,-6169000,-27776000,-27776000,-55471000,10690000,10690000,-41523000,-75468000,-75468000,10000,-75458000,80090000,490282000,5525000,0.0756,0.03317,0.01356,0.01768,0.00702,0.24386,1.73539,1.51693,0.15199,0.27446,0.26137,20.24473,0.06693,0.01182,0.00288,1.23777,1.78831
"22","2015_Q3",20.17046875,"Down",1527530000,-1412267000,115263000,-66747000,-57023000,-9299000,48516000,-6297000,-5932000,-364999.999999998,42219000,43355000,-28607000,14748000,14748000,14748000,14748000,407717000,407717000,921740000,921740000,858102000,102984000,102984000,2290543000,552602000,273308000,273308000,825910000,3116453000,1115481000,1014930000,100551000,43416000,1271596000,427051000,140956000,140956000,568007000,1839603000,1276850000,3116453000,14748000,24875000,14287000,15815000,69725000,-16717000,-16717000,-2e+07,-17314000,5668000,-37314000,15694000,15694000,874000,16568000,73391000,470467000,101096000,0.07546,0.03176,0.00965,0.01155,0.00473,6.8549,1.80131,1.44074,0.15096,0.17774,0.16972,18.40908,1.21836,0.00781,0.05354,0.85501,1.29339
"23","2015_Q4",22.245,"Up",1539271000,-1418709000,120562000,-76100000,-59736000,-16050000,44462000,-6992000,-5744000,-1248000,37470000,40291000,-15816000,24475000,24475000,24475000,24475000,416471000,416471000,934152000,934152000,874224000,100524000,100524000,2325371000,564662000,266812000,266812000,831474000,3156845000,1205942000,1090171000,115771000,8415999.99999999,1330264000,423798000,143531000,143531000,567329000,1897593000,1259252000,3156845000,24475000,24658000,9711000,53830000,112674000,-16684000,-16684000,-38416000,-46445000,1350000,-86627000,9363000,9363000,-609000,8754000,69120000,432214000,122082000,0.07832,0.02889,0.0159,0.01944,0.00775,4.98803,1.74805,1.50692,0.13691,0.29957,0.28628,18.84053,1.49427,0.01334,0.06653,0.22776,0.35408
"24","2016_Q1",20.0877049180328,"Down",1636578000,-1514893000,121685000,-66996000,-63111000,3335000,54689000,-2183000,-6091000,3908000,52506000,46743000,268639000,315382000,315382000,315382000,315382000,412253000,412253000,936952000,936952000,918728000,55047000,55047000,2322980000,590844000,579440000,81835000,1170284000,3493264000,1155725000,1035323000,120402000,113416000,1380557000,423949000,168287000,168287000,592236000,1972793000,1520471000,3493264000,315382000,26378000,-262075000,-81019000,-1334000,-27359000,-41246000,89672000,-50969000,1016000,38703000,-3877000,-3877000,-341000,-4218000,81067000,537365000,-295950000,0.07435,0.03342,0.19271,0.20742,0.09028,-0.93839,1.68264,1.29749,0.15383,3.93996,3.77739,20.44521,-3.6972,0.14167,-0.13294,1.54332,2.2877
"25","2016_Q2",25.0265625,"Up",1534714000,-1411076000,123638000,-69585000,-57693000,-9647000,54053000,-5948000,-5730000,-218000,48105000,48105000,-20967000,27138000,27138000,27138000,27138000,398447000,398447000,930460000,930460000,896123000,55409000,55409000,2280439000,585771000,565016000,80029000,1150787000,3431226000,1117337000,1014031000,103306000,89416000,1311871000,424100000,168001000,168001000,592101000,1903972000,1527254000,3431226000,27138000,25751000,16378000,-6607000,62660000,-28708000,-28708000,-2.4e+07,-24384000,4310000,-48384000,-14432000,-14432000,626000,-13806000,79804000,513516000,65456000,0.08056,0.03522,0.01768,0.01777,0.00791,2.41197,1.73831,1.24666,0.14966,0.34828,0.33419,19.69577,0.84003,0.01229,0.02963,1.4419,2.12882
"26","2016_Q3",27.07609375,"Up",1611174000,-1474462000,136712000,-75613000,-63494000,-9997000,61099000,-5705000,-6194000,489000,55394000,55394000,-25033000,30361000,30361000,30361000,30361000,407319000,407319000,998600000,998600000,922704000,64313000,64313000,2392936000,611799000,593599000,117590000,1205398000,3598334000,1224151000,1104187000,119964000,136430000,1495251000,437566000,170423000,170423000,607989000,2103240000,1495094000,3598334000,30361000,27692000,17783000,66813000,142649000,-28973000,-87851000,28034000,-73824000,1442000,-45790000,9008000,9008000,-136000,8872000,88791000,573996000,151664000,0.08485,0.03792,0.01884,0.02031,0.00844,4.99536,1.60036,1.40676,0.15952,0.40225,0.38664,21.34656,2.00941,0.01356,0.06772,1.87718,2.72798
"27","2016_Q4",31.6393650793651,"Up",1669474000,-1542813000,126661000,-72078000,-61982000,-9444000,54583000,-5095000,-6233000,1138000,49488000,49488000,-19954000,29534000,29534000,29534000,29534000,409620000,409620000,999838000,999838000,913110000,58388000,58388000,2380956000,616243000,581187000,115998000,1197430000,3578386000,1228239000,1111445000,116794000,83416000,1447931000,434129000,165709000,165709000,599838000,2047769000,1530617000,3578386000,29534000,28785000,16120000,7034000,81473000,-22606000,-22606000,-56430000,-1359000,9121000,-57789000,1078000,1078000,1223000,2301000,83368000,517545000,87750000,0.07587,0.03269,0.01769,0.0193,0.00825,2.97115,1.64438,1.33787,0.14463,0.40117,0.3836,22.67691,1.19193,0.01334,0.03964,1.29456,1.97726
"28","2017_Q1",38.6846774193548,"Up",1665819000,-1538548000,127271000,-72221000,-61435000,-8658000,55050000,-3420000,-6074000,2654000,51630000,51630000,49175000,100805000,100805000,100805000,100805000,398288000,398288000,973680000,973680000,946239000,57445000,57445000,2375652000,617524000,632046000,117732000,1249570000,3625222000,1248461000,1121135000,127326000,28416000,1401263000,434059000,180097000,180097000,614156000,2015419000,1609803000,3625222000,100805000,29682000,-40203000,13050000,103334000,-35373000,-35373000,-5.5e+07,-24458000,3348000,-79458000,-11497000,-11497000,165000,-11332000,84732000,462475000,13234000,0.0764,0.03305,0.06051,0.06262,0.02781,0.13128,1.69536,1.25197,0.12757,1.37415,1.28535,22.70808,0.1804,0.04475,0.00588,0.75753,1.16598
"29","2017_Q2",37.9960317460317,"Down",1719977000,-1587815000,132162000,-73506000,-65140000,-8171000,58656000,-3809000,-5066000,1257000,54847000,54847000,-9983000,44864000,44864000,44864000,44864000,405240000,405240000,993049000,993049000,963905000,55394000,55394000,2417588000,620911000,629488000,116468000,1250399000,3667987000,1276462000,1171230000,105232000,43416000,1435249000,393298000,176674000,176674000,569972000,2005221000,1662766000,3667987000,44864000,28972000,13454000,-33363000,53927000,-18085000,-18085000,-2.5e+07,-2980000,10643000,-30242000,5600000,5600000,1352000,6952000,87628000,436714000,46163000,0.07684,0.0341,0.02608,0.02698,0.01223,1.02895,1.68444,1.20596,0.11906,0.60995,0.58133,23.38387,0.62761,0.01971,0.02028,0.35918,0.53659
"30","2017_Q3",37.3226984126984,"Down",1682262000,-1549052000,133210000,-75044000,-62388000,-12466000,58166000,-1436000,-5248000,3812000,56730000,56730000,-25013000,31717000,31717000,31717000,31717000,432527000,432527000,971363000,971363000,1019155000,54362000,54362000,2477407000,623037000,619664000,118989000,1242701000,3720108000,1293061000,1174209000,118852000,3416000,1427201000,393762000,182442000,182442000,576204000,2003405000,1716703000,3720108000,31717000,29277000,19909000,7818000.00000001,88721000,-33370000,-33370000,-4e+07,12048000,12048000,-27952000,27399000,27399000,-112000,27287000,87443000,397178000,86904000,0.07919,0.03458,0.01885,0.01848,0.00853,2.73998,1.73585,1.16701,0.10677,0.42425,0.40734,22.50187,1.16242,0.01381,0.03784,-0.40425,-0.60773
"31","2017_Q4",34.9290476190476,"Down",1711377000,-1580689000,130688000,-64112000,-58708000,-4486000,66576000,-4332000,-5284000,952000,62244000,62244000,-25840000,36404000,36404000,36404000,36404000,435500000,435500000,1036049000,1036049000,1046842000,45940000,45940000,2564331000,642853000,601672000,117906000,1244525000,3808856000,1372259000,1256081000,116178000,3415999.99999999,1495654000,390957000,182698000,182698000,573655000,2069309000,1739547000,3808856000,36404000,29271000,24225000,-30879000,59021000,-31411000,-31411000,-3416000,-20910000,3060000,-24326000,3284000,3284000,-311000,2973000,95847000,394373000,59397000,0.07636,0.0389,0.02127,0.02093,0.00956,1.63161,1.71452,1.18957,0.10354,0.48325,0.46528,22.7178,0.78847,0.01571,0.02564,-0.42909,-0.61775
"32","2018_Q1",28.5868852459016,"Down",1755003000,-1631152000,123851000,-80782000,-65332000,-9932000,43069000,-3410000,-5071000,1661000,39659000,39659000,-13811000,25848000,25848000,25848000,25848000,406661000,406661000,1110334000,1110334000,1051669000,47586000,47586000,2616250000,640275000,590838000,114284000,1231113000,3847363000,1411045000,1280106000,130939000,88416000,1616043000,391447000,192189000,192189000,583636000,2199679000,1647684000,3847363000,25848000,31231000,18224000,-26011000,49292000,-25032000,-25032000,8.5e+07,-137973000,1378000,-52973000,-28713000,-28713000,-126000,-28839000,74300000,479863000,37068000,0.07057,0.02454,0.01473,0.01569,0.00672,1.43408,1.61892,1.33501,0.12473,0.34799,0.32623,23.62781,0.49905,0.01114,0.01598,0.98522,1.69964
