"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",23.0041935483871,"Down",2179895000,-1951772000,228123000,-173629000,-165319000,1781000,54494000,-3066000,-3066000,51428000,43597000,-1.9e+07,24597000,24597000,24597000,24597000,79667000,79667000,582994000,776898000,211967000,211967000,1651526000,176035000,394188000,44540000,285363000,64285000,570223000,2221749000,660156000,642123000,18033000,289113000,252131000,949269000,214795000,97623000,31311000,66312000,312418000,1261687000,312457000,651438000,-4963000,958932000,960062000,2221749000,24597000,10091000,2737000,-9840000,27585000,-6545000,-156455000,-13835000,-481000,-17713000,-146583000,-146583000,-145270000,64585000,214795000,67200000,0.10465,0.025,0.01128,0.02562,0.01107,2.73204,1.73979,1.31417,0.09668,0.39187,0.39141,34.7294,15.2774,1.07061,0.22041,0.0302,0.05281,0.56247,2.09225,2.47969
"12","2013_Q1",24.8915,"Up",2285103000,-2014329000,270774000,-224017000,-211416000,-181000,46757000,-3422000,-3422000,43335000,41619000,-16686000,24933000,24933000,24933000,24933000,97888000,97888000,537335000,763756000,231264000,231264000,1630243000,191841000,392314000,42313000,274884000,75117000,584155000,2214398000,628605000,603137000,25468000,297031000,254924000,925636000,215383000,99723000,36269000,63454000,315106000,1240742000,313938000,658994000,-406000,972526000,973656000,2214398000,24933000,12420000,1605000,9184000,48142000,-11078000,-16378000,-13890000,1804000,-14964000,16800000,16800000,18221000,59177000,215383000,73969000,0.1185,0.02046,0.01091,0.02561,0.01126,2.96671,1.76121,1.27431,0.09726,0.39802,0.39762,36.47877,15.52514,1.18082,0.22174,0.03012,0.0574,0.55709,1.98548,2.51289
"13","2013_Q2",27.0275,"Up",2246384000,-1967332000,279052000,-229158000,-217721000,1192000,49894000,-3199000,-3199000,46695000,44685000,-18587000,26098000,26098000,26098000,26098000,218563000,218563000,581121000,743247000,205342000,205342000,1748273000,187927000,384722000,39645000,272878000,72199000,572649000,2320922000,712439000,693616000,18823000,324429000,282974000,1036868000,214243000,92261000,28639000,63622000,306504000,1343372000,316676000,667782000,-8038000,976420000,977550000,2320922000,26098000,12629000,1496000,114388000,154611000,-14733000,-14733000,-15199000,-1751000,-17440000,122438000,122438000,120675000,62523000,214243000,180765000,0.12422,0.02221,0.01162,0.0267,0.01124,6.92639,1.68611,1.37422,0.09231,0.41632,0.41594,35.83493,15.57612,2.88361,0.24246,0.03216,0.14078,0.58238,-0.0690900000000001,-0.0865800000000001
"14","2013_Q3",28.6959375,"Up",2236077000,-1962647000,273430000,-222742000,-212548000,2082000,50688000,-3247000,-3247000,47441000,46803000,-17931000,28872000,28872000,28872000,28872000,207826000,207826000,550642000,794020000,248219000,248219000,1800707000,187512000,391275000,40050000,272597000,78628000,578787000,2379494000,818110000,791004000,27106000,272074000,225428000,1090184000,214682000,84807000,29501000,55306000,299489000,1389673000,318991000,675858000,-6158000,988691000,989821000,2379494000,28872000,12276000,5251000,-21831000,24568000,-16246000,-16246000,-15212000,-2866000,-21690000,-13368000,-13368000,-10737000,62964000,214682000,42818000,0.12228,0.02267,0.01291,0.02917,0.01213,1.48303,1.65175,1.40396,0.09022,0.46043,0.4601,35.65913,15.76684,0.68283,0.24259,0.03419,0.03321,0.52688,0.10889,0.13526
"15","2013_Q4",30.3015625,"Up",2270547000,-1997217000,273330000,-221367000,-211344000,2419000,51963000,-3389000,-3389000,48574000,45827000,-17856000,27971000,27971000,27971000,27971000,153789000,153789000,571458000,787803000,246242000,246242000,1759292000,192672000,395702000,40519000,274896000,80287000,588374000,2347666000,714347000,689554000,24793000,326557000,276697000,1040904000,214416000,86026000,30185000,55841000,300442000,1341346000,321088000,681711000,2391000,1005190000,1006320000,2347666000,27971000,12442000,5859000,-64285000,-18013000,-12506000,-12506000,-15176000,-1419000,-23373000,-53892000,-53892000,-54037000,64405000,214416000,5470000,0.12038,0.02289,0.01232,0.0278,0.01191,0.19556,1.69016,1.33292,0.09133,0.44679,0.4466,36.26782,16.05607,0.08737,0.24241,0.03302,0.00418999999999999,0.54256,0.94134,1.16673
"16","2014_Q1",29.3272131147541,"Down",2318524000,-2027261000,291263000,-233281000,-222043000,2001000,57982000,-3263000,-3263000,54719000,47670000,-19729000,27941000,27941000,27941000,27941000,101905000,101905000,572854000,771663000,279510000,279510000,1725932000,191961000,406149000,40406000,275439000,90304000,598110000,2324042000,667168000,643872000,23296000,323040000,281427000,990208000,212786000,96005000,43727000,52278000,308791000,1298999000,322798000,691547000,9568000,1023913000,1025043000,2324042000,27941000,13239000,-2848000,-58944000,-20612000,-13593000,-13593000,-15144000,-1689000,-19477000,-53682000,-53682000,-51884000,71221000,212786000,18413000,0.12562,0.02501,0.01205,0.02726,0.01202,0.659,1.743,1.26726,0.09156,0.44705,0.44694,37.09579,16.38235,0.2946,0.2423,0.0323,0.0138,0.542,1.55686,1.91233
"17","2014_Q2",28.6869841269841,"Down",2256380000,-1975185000,281195000,-231649000,-225610000,7825000,49546000,-3246000,-3246000,46300000,43038000,-17553000,25485000,25485000,25485000,25485000,182373000,182373000,543214000,768148000,275179000,275179000,1768914000,192245000,408041000,39437000,275562000,93042000,600286000,2369200000,681291000,659550000,21741000,344219000,302244000,1025510000,214826000,95697000,42779000,52918000,310523000,1336033000,325330000,696574000,10133000,1032037000,1033167000,2369200000,25485000,13864000,582000,53271000,93202000,-14124000,-12187000,-15785000,-1522000,-792000,80223000,80223000,80468000,63410000,214826000,120110000,0.12462,0.02196,0.01129,0.02467,0.01076,4.71297,1.72491,1.29314,0.09067,0.40904,0.40896,36.21565,16.56454,1.92781,0.25335,0.03071,0.08939,0.61938,0.5118,0.65501
"18","2014_Q3",28.701875,"Up",2305859000,-2023586000,282273000,-237577000,-225838000,2153000,44696000,-3343000,-3343000,41353000,33760000,-13883000,19877000,19877000,19877000,19877000,92027000,92027000,545179000,820882000,287844000,287844000,1745932000,207140000,410739000,38679000,275975000,96085000,617879000,2363811000,728339000,698648000,29691000,289966000,251015000,1018305000,219098000,95023000,42080000,52943000,314121000,1332426000,325152000,696543000,9690000,1031385000,1031385000,2363811000,19877000,13892000,-2287000,-51212000,-19730000,-24654000,-24654000,-15779000,-3975000,-44537000.0000001,-88920999.9999999,-88921000.0000001,-90346000,58588000,219098000,-3395000,0.12242,0.01938,0.00862,0.01927,0.00841,-0.170799999999998,1.71455,1.29188,0.09269,0.319,0.31897,37.00565,16.55221,-0.0544800000000001,0.25323,0.0265,-0.00252,0.79383,2.16889,2.84301
"19","2014_Q4",28.6103125,"Down",2386126000,-2093642000,292484000,-243150000,-231377000,2068000,49334000,-4304000,-4304000,45030000,16182000,-9028000,7154000,7154000,7154000,7154000,610147000,610147000,590140000,834476000,295441000,295441000,2330204000,203955000,409739000,36457000,274533000,98749000,613694000,2943898000,721325000,692616000,28709000,354987000,315581000,1278713000,563882000,93779000,41725000,52054000,657661000,1936374000,327120000,687511000,-7107000,1007524000,1007524000,2943898000,7154000,13841000,16310000,-29633000,7672000,-15228000,-15228000,-15771000,-5338000,526098000,518542000,518542000,518120000,63175000,766283000,27342000,0.12258,0.02068,0.003,0.0071,0.00243,3.82192,1.8223,1.92191,0.2603,0.11506,0.11505,38.37758,16.20465,0.43976,0.25366,0.01228,0.01464,2.2045,2.47148,3.16488
"20","2015_Q1",29.813606557377,"Up",2491817000,-2177803000,314014000,-255253000,-301277000,4427000,58761000,-7270000,-7270000,51491000,33503000,-19516000,13987000,13987000,13987000,13987000,56772000,56772000,626192000,872457000,314479000,314479000,1869900000,232979000,632527000,108593000,423276000,100658000,865506000,2735406000,640353000,608846000,31507000,326223000,326223000,966576000,608551000,169441000,101880000,67561000,777992000,1744568000,329074000,685765000,-24001000,990838000,990838000,2735406000,13987000,21810000,4832000,-125534000,-84905000,-16646000,-265182000,-15769000,-2788000,-202209000,-552296000,-552296000,-553375000,80571000,608551000,-42093000,0.12602,0.02358,0.00561,0.01412,0.00511,-3.00944,1.93456,1.7607,0.22247,0.22527,0.22526,40.13234,15.95809,-0.67794,0.25397,0.01682,-0.0238,1.1274,6.84836,9.39022
"21","2015_Q2",29.0487301587302,"Down",2391196000,-2093595000,297601000,-246710000,-249694000,2984000,50891000,-6880000,-6880000,44011000,34095000,-15155000,18940000,18940000,18940000,18940000,159056000,159056000,597235000,874738000,233318000,233318000,1864347000,221950000,613213000,102122000,419453000,91638000,835163000,2699510000,718690000,693699000,24991000,310924000,273104000,1029614000,574606000,127017000,63321000,63696000,701623000,1731237000,331106000,688813000,-51646000,968273000,968273000,2699510000,18940000,19123000,4648000,125992000,168703000,-11516000,-11516000,-15934000,-2084000,-50414000,106773000,106773000,102284000,70014000,574606000,199645000,0.12446,0.02128,0.00792,0.01956,0.00702,10.54092,1.81072,1.78796,0.21286,0.30419,0.30418,38.40415,15.55109,3.20643,0.25591,0.02088,0.11956,0.84129,5.93524,8.16549
"22","2015_Q3",29.57046875,"Up",2422167000,-2123830000,298337000,-244770000,-246958000,2188000,53567000,-6680000,-6680000,46887000,41180000,-16954000,24226000,24226000,24226000,24226000,200969000,200969000,580739000,903501000,275481000,275481000,1960690000,219372000,614844000,100904000,421760000,92180000,834216000,2794906000,788292000,753495000,34797000,329810000,288432000,1118102000,574623000,125054000,62282000,62772000,699677000,1817779000,331763000,690152000,-44788000,977127000,977127000,2794906000,24226000,17015000,4629000,32217000,78087000,-10472000,-10472000,-15933000,-2571000,-25718000,41897000.0000001,41897000.0000001,41913000,70582000,574623000,109281000,0.12317,0.02212,0.01,0.02479,0.00867,4.5109,1.75359,1.86033,0.2056,0.38932,0.38932,38.92532,15.70287,1.7562,0.25605,0.02395,0.06517,0.65768,5.2939,6.97545
"23","2015_Q4",31.6525,"Up",2471669000,-2165315000,306354000,-246647000,-246959000,312000,59707000,-6745000,-6745000,52962000,46828000,-18652000,28176000,28176000,28176000,28176000,125245000,125245000,640653000,896722000,265758000,265758000,1928378000,214561000,608721000,98084000,420772000,89865000,823282000,2751660000,728968000,690134000,38834000,338661000,296898000,1067629000,574033000,123897000,61037000,62860000,697930000,1765559000,334079000,694577000,-42555000,986101000,986101000,2751660000,28176000,15733000,3321000,-87982000,-40752000,-10090000,-10090000,-15913000,-1120000,-26944000,-77786000,-77786000,-75724000,75440000,574033000,-3980000,0.12395,0.02416,0.0114,0.02857,0.01024,-0.14125,1.80622,1.79044,0.20861,0.45447,0.45447,39.86692,15.90537,-0.0642,0.25667,0.02618,-0.00236,0.56477,5.94894,7.51651
"24","2016_Q1",32.8204918032787,"Up",2487914000,-2175633000,312281000,-247683000,-250172000,2489000,64598000,-6844000,-6844000,57754000,51107000,-19040000,32067000,32067000,32067000,32067000,161020000,161020000,587935000,940775000,284970000,284970000,1974700000,208930000,590146000,95250000,419619000,75277000,799076000,2773776000,756516000,710609000,45907000,307073000,307073000,1063589000,568495000,149102000,86326000,62776000,717597000,1781186000,337549000,706866000,-51825000,992590000,992590000,2773776000,32067000,14111000,-4540000,22567000,64205000,-4395000,-4395000,-15871000,-1753000,-21803000,38007000,38007000,35775000,78709000,568495000,115921000,0.12552,0.02596,0.01289,0.03231,0.01156,3.61496,1.85664,1.79448,0.20495,0.51741,0.51739,40.14318,16.01572,1.87042,0.25608,0.02803,0.06778,0.49493,5.17698,6.30786
"25","2016_Q2",33.32453125,"Up",2455793000,-2159157000,296636000,-241183000,-242725000,1542000,55453000,-6790000,-6790000,48663000,38180000,-14045000,24135000,24135000,24135000,24135000,190323000,190323000,615750000,925714000,269698000,269698000,2001485000,208033000,587323000,93347000,420071000,73905000,795356000,2796841000,788912000,758585000,30327000,278026000,278026000,1066938000,567711000,157271000,93275000,63996000,724982000,1791920000,338620000,709707000,-43406000,1004921000,1004921000,2796841000,24135000,14218000,9778000,-2986000,45145000,-2461000,-2461000,-16029000,-3016000,-16316000,26368000,26368000,29303000,69671000,567711000,78269000,0.12079,0.02258,0.00983,0.02402,0.00863,3.24297,1.87592,1.78315,0.20298,0.39119,0.39119,39.80474,16.28827,1.26862,0.25981,0.02322,0.04524,0.66414,5.41672,6.80555
"26","2016_Q3",31.2584375,"Down",2483676000,-2184256000,299420000,-240614000,-242914000,2300000,58806000,-6764000,-6764000,52042000,45290000,-17574000,27716000,27716000,27716000,27716000,138951000,138951000,609212000,957972000,268645000,268645000,1974780000,201519000,579765000,89599000,418366000,71800000,781284000,2756064000,804238000,775970000,28268000,239887000,239887000,1044125000,566955000,148687000,84500000,64187000,715642000,1759767000,339456000,707104000,-50263000,996297000,996297000,2756064000,27716000,14125000,-5164000,-38586000,-1909000,-6433000,-6433000,-15974000,-2952000,-42504000,-50846000,-50846000,-51372000,72931000,566955000,45486000,0.12056,0.02368,0.01116,0.02782,0.01006,1.64115,1.89133,1.76631,0.20571,0.45065,0.45065,40.38366,16.19942,0.73959,0.25973,0.02552,0.02657,0.57635,5.86862,7.27824
"27","2016_Q4",30.3998412698413,"Down",2415600000,-2119326000,296274000,-239968000,-241305000,1337000,56306000,-6770000,-6770000,49536000,46797000,-16966000,29831000,29831000,29831000,29831000,213096000,213096000,579031000,944897000,283753000,283753000,2020777000,198780000,575075000,86982000,418095000,69998000,773855000,2794632000,809994000,768570000,41424000,283831000,283831000,1093825000,566474000,147650000,83553000,64097000,714124000,1807949000,340264000,694981000,-48562000,986683000,986683000,2794632000,29831000,13839000,2237000,55368000,101275000,-7372000,-7372000,-15799000,-2150000,-24001000,69902000,69902000,74145000,70145000,566474000,135107000,0.12265,0.02331,0.01235,0.03023,0.01067,4.52908,1.84744,1.83235,0.2027,0.48891,0.48891,39.59026,16.17115,2.21432,0.25894,0.02683,0.07944,0.52962,5.03782,6.27603
"28","2017_Q1",32.3604838709677,"Up",2368362000,-2073382000,294980000,-241271000,-243480000,2209000,53709000,-6733000,-6733000,46976000,42275000,-15170000,27105000,27105000,27105000,27105000,185488000,185488000,606084000,916311000,254156000,254156000,1962039000,191718000,563995000,82511000,414936000,66548000,755713000,2717752000,795801000,750750000,45051000,238837000,238837000,1034638000,564583000,158493000,90383000,68110000,723076000,1757714000,342017000,685504000,-67483000,960038000,960038000,2717752000,27105000,13211000,13448000,-10580000,43184000,-8480000,-8480000,-15580000,-176000,-59883000,-25179000,-25179000,-27608000,66920000,564583000,63030000,0.12455,0.02268,0.01144,0.02823,0.00997,2.3254,1.89635,1.83088,0.20774,0.45056,0.45056,39.36837,15.95834,1.04772,0.25898,0.02536,0.03745,0.5748,5.6649,7.05831
"29","2017_Q2",29.9587301587302,"Down",2328573000,-2047393000,281180000,-236721000,-237693000,972000,44459000,-6744000,-6744000,37715000,28773000,-9988000,18785000,18785000,18785000,18785000,127167000,127167000,605249000,949346000,261232000,261232000,1942994000,195312000,562243000,80736000,416697000,64810000,757555000,2700549000,773790000,745165000,28625000,233905000,233905000,1007695000,564145000,158752000,90115000,68637000,722897000,1730592000,343011000,688591000,-61645000,969957000,969957000,2700549000,18785000,12558000,5826000,-63529000,-26360000,-14453000,-14453000,-15740000,-2759000,-18499000,-59312000,-59312000,-58321000,57017000,564145000,-10977000,0.12075,0.01909,0.00807,0.01937,0.00696,-0.58435,1.92816,1.78419,0.2089,0.31302,0.31302,38.80114,16.16245,-0.18291,0.26228,0.02039,-0.00648,0.8379,7.66399,9.82879
"30","2017_Q3",27.1703174603175,"Down",2265907000,-1992375000,273532000,-237803000,-236615000,-1188000,35729000,-6736000,-6736000,28993000,26100000,-5959000,20141000,20141000,20141000,20141000,57066000,57066000,655259000,1004076000,306452000,306452000,2022853000,198442000,573842000,80051000,423107000,70684000,772284000,2795137000,822273000,798454000,23819000,241091000,241091000,1063364000,579117000,159085000,89812000,69273000,738202000,1801566000,344134000,688363000,-38926000,993571000,993571000,2795137000,20141000,12648000,-589000,-88336000,-56136000,-9267000,-9266999.99999999,-15736000,-2899000,-8233000,-73636000,-73636000,-70101000,48377000,579117000,-43267000,0.12072,0.01577,0.00889,0.02027,0.00721,-2.14821,1.90231,1.81322,0.20719,0.33645,0.33645,37.85154,16.59741,-0.72277,0.26287,0.02072,-0.02498,0.78129,10.79131,14.61141
