"","YQ","p","d","revenue","net_premiums_earned","other_operating_income","total_realized_investment_gains","total_otti_realized","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"38","2020_Q1",2.18387096774194,"Up",52289000,46669000,5620000,5569000,7414000,51000,-35048000,-11482000,-3612000,2147000,-505999.999999999,-506000,1641000,1641000,-371000,1270000,1270000,1270000,-1e+05,1170000,268637000,12893000,13134000,38861000,44101000,377626000,201906000,57326000,259232000,55000,79440000,-7580000,36020000,10459000,118394000,118394000,377626000,1270000,408000,-8644000,12729000,5763000,-28467000,-28467000,3000,-416000,-23120000,-23120000,-23120000,2555000,0,0.04106,0.02238,0.00988,0.0031,2.18957,0,0.05714,0.05714,2.55355,5.77912,0.0049,-5.04618,-6.00512
"39","2020_Q2",1.85619047619048,"Down",39410000,45550000,-8179000,-8206000,249000,27000,-33583000,-12626000,-2952000,-9751000,-476000,-476000,-10227000,-10227000,2140000,-8087000,-8087000,-8087000,-99000,-8186000,241225000,8338000,10752000,38305000,49241000,347861000,192846000,53497000,246343000,55000,79594000,-7632000,27834000,1667000,101518000,101518000,347861000,-8087000,251000,7094000,-9770000,-10512000,5954000,5954000,3000,3000,-4555000,-4555000,-4555000,-9500000,0,-0.24742,-0.20771,-0.08064,-0.02353,2.42659,0,-0.3999,-0.3999,1.92526,4.95667,-0.02781,0.87768,0.85509
"40","2020_Q3",1.89078125,"Up",49737000,46499000,1388000,1355000,0,33000,-27076000,-10854000,-3112000,8695000,-414000,-414000,8281000,8281000,-1749000,6532000,6532000,6532000,-1e+05,6432000,266900000,16354000,23785000,39148000,39550000,385737000,204711000,57132000,261843000,55000,79370000,-7261000,34266000,17464000,123894000,123894000,385737000,6532000,252000,-1818000,6104000,11070000,-3046000.00000001,-3046000,2000,-8000,8016000,8016000,8016000,8947000,0,0.17482,0.12932,0.05192,0.01667,2.11344,0,0.31468,0.31468,2.43332,6.05866,0.01957,-1.82788,-1.88085
"41","2020_Q4",2.1090625,"Up",46269000,44978000,-537000,-548000,183000,11000,-29219000,-11202000,-3052000,2796000,-363000,-363000,2433000,2433000,-557000,1876000,1876000,1876000,-1e+05,1776000,274657000,8940000,20039000,39769000,41547000,384952000,201064000,55873000,256937000,55000,79487000,-7341000,36042000,19772000,128015000,128015000,384952000,1876000,269000,52000,-3659000,-1462000,-5873000,-5873000,2000,-79000,-7414000,-7414000,-7414000,3065000,0,0.06043,0.03838,0.01387,0.00461,2.00709,0,0.08689,0.08689,2.26365,6.26027,0.0054,-2.9168,-3.19742
"42","2021_Q1",3.73934426229508,"Up",59932000,46512000,11393000,11388000,6988000,5000,-29998000,-12129000,-2432000,15373000,-357000,-357000,15016000,15016000,-3168000,11848000,11848000,11848000,-1e+05,11748000,279311000,19319000,27512000,39611000,39434000,405187000,198676000,61451000,260127000,55000,79554000,-7339000,47790000,2.5e+07,145060000,145060000,405187000,11848000,208000,-9949000,7768000,9875000,901000,901000,2000,-397000,10379000,10379000,10379000,15581000,0,0.25651,0.19602,0.08099,0.02899,1.79324,0,0.57549,0.45314,2.93583,7.10321,0.03534,-1.23991,-1.25668
"43","2021_Q2",4.09349206349206,"Up",49075000,46090000,872000,865000,121000,7000,-33272000,-12564000,-3440000,-201000,-346000,-346000,-547000,-547000,116000,-431000,-431000,-431000,-99000,-530000,271123000,20446000,9850000,38098000,43610000,383127000,191983000,57909000,249892000,55000,79622000,-7338000,46852000,14044000,133235000,133235000,383127000,-431000,264000,-1493000,-4384000,-6044000,7169000,7169000,2000,2000,1127000,1127000,1127000,63000,0,-0.0041,-0.0108,-0.00398,-0.00138,1.87557,0,-0.02596,-0.02596,2.40387,6.52363,-0.00163,-324.53968,101.72139
"44","2021_Q3",4.0196875,"Down",51457000,45133000,4058000,4053000,50000,5000,-31703000,-12179000,-3474000,4101000,-347000,-347000,3754000,3754000,-792000,2962000,2962000,2962000,-1e+05,2862000,286024000,9532000,29505000,38462000,40963000,404486000,205873000,56238000,262111000,55000,79690000,-7361000,49714000,20277000,142375000,142375000,404486000,2962000,246000,-3785000,-7265000,-7842000,-2642000,-2642000,2000,-430000,-10914000,-10914000,-10914000,4347000,0,0.0797,0.05562,0.0201,0.00708,1.84099,0,0.14019,0.14019,2.52055,6.97134,0.00939000000000001,-2.19278000000008,-2.32431
"45","2021_Q4",3.91359375,"Down",49290000,46092000,1061000,1060000,1084673.26470235,1000,-35045000,-11927000,-3264000,-946000,-347000,-347000,-1293000,-1293000,378000,-915000,-915000,-915000,-1e+05,-1015000,285970000,14327000,22479000,38495000,42806000,404077000,205757000,58325000,264082000,55000,79742000,-7490000,48699000,18989000,139995000,139995000,404077000,-915000,243000,-1904000,6908000,4332000,-18582000,590000,2000,-127000,4795000,4795000,4795000,-703000,0,-0.01919,-0.02059,-0.00725,-0.00251,1.88637,0,-0.04973,-0.04973,2.41499,6.85644,-0.00294,20.3798,15.14482
"46","2022_Q1",2.59951612903226,"Down",49732000,46901000,819000,819000,686219.350265133,0,-31674000,-10826000,-3497000,3735000,-347000,-347000,3388000,3388000,-723000,2665000,2665000,2665000,-1e+05,2565000,283442000,24753000,7356295.36393073,38698000,55393000,402286000,201797000,59203000,260927000,55000,79842000,-7490000,51264000,17688000,141359000,141359000,402286000,2665000,250000,-733000,8460000,10642000,19355000,183000.000000001,0,-399000,10426000,10426000,10426000,3985000,0,0.0751,0.05158,0.01815,0.00638,1.84585,0,0.12512,0.1155,2.42595,6.89288,0.00864,-6.21154,-6.62731
"47","2022_Q2",3.00483870967742,"Up",51608000,47081000,2187000,2183000,-10000,4000,-31169000,-12836000,-3453000,4150000,-354000,-354000,3796000,3796000,-954000,2842000,2842000,2842000,-99000,2743000,264864000,15612000,11550000,39875000,43130000,375031000,191571000,57037000,248608000,55000,79727000,-7421000,53599000,463000,126423000,126423000,375031000,2842000,240000,-1976000,-9113000,-8007000,-1134000,-1134000,-6117.44805340968,-489702.869821806,-9141000,-9141000,-9141000,4390000,0,0.08041,0.05315,0.0217,0.00731,1.96648,0,0.1338,0.12351,2.51746,6.16429,0.00863,-3.55626,-3.76193
"48","2022_Q3",2.943125,"Down",44669000,47065000,-4925000,-4928000,-62000,3000,-32753000,-10215000,-3402000,-1701000,-414000,-414000,-2115000,-2115000,436000,-1679000,-1679000,-1679000,-1e+05,-1779000,243935000,15910000,55851613.9082078,42244000,77185000,379274000,211874000,58299000,270094000,55000,79844000,-7436000,51820000,-15103000,109180000,109180000,379274000,-1679000,225000,688000,4357000,3591000,-3870000,-3870000,-18352.344160229,577000,298000,298000,298000,-1476000,0,-0.03808,-0.03983,-0.01629,-0.00469,2.47384,0,-0.08729,-0.08176,2.19181,5.35451,-0.00427,10.77913,9.35332
