"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",1.2596875,"Down",4105368,-2970642,1134726,-3376060,-2663108,-712952,-2241334,39975,-58179,98154,-2201359,-2201359,882427,-1318932,2785597,2785597,2761968,10266998,10266998,5625212,5625212,3521920,717168,646960,20131298,2268109,458048,358963,99085,2726157,22857455,4366286,1562304,2803982,573395,573395,6619587,0,0,1864881,8484468,61714577,-47342912,14372987,14372987,22857455,2785597,228267,-4576766,1290550,-272352,-62032,-62032,-50255,-11777,4460428,-263221,1682,1682,-261539,3926537,3926537,3926537,-2013067,3544787,-1666976,0.2764,-0.54595,0.67277,0.19216,0.12083,-0.60355,3.04117,0.59031,0.15508,0.19712,0.19712,0.29299,1.02568,-0.11897,0.15415,-0.09303,3.33929,2.9992
"12","2013_Q3",1.33390625,"Up",4830964,-3006560,1824404,-3564290,-2875461,-688829,-1739886,45209,-49781,94990,-1694677,-1694677,659341,-1035336,-952082,-952082,-978448.000000001,8742869,8742869,6702987,6702987,3646133,630482,560275,19722471,2141390,457931,377638,80293,2599321,22321792,4770016,2238501,2531515,611269,611269,7062019,0,0,1475633,8537652,62104178,-48321360,13784140,13784140,22321792,-952081.999999999,260977,430007.999999999,-780345,-1041442,-152934,-152934,-18853,-134081,-152934,-388420,58667,58667,-329753,-1524129,-1524129,-1524129,-1478909,3156367,-3071529,0.37765,-0.36015,-0.20254,-0.07098,-0.04383,3.13918,2.79275,0.61938,0.1414,-0.06813,-0.06813,0.33636,0.95964,-0.21386,-0.0577600000000001,-0.18131,3.77745,3.21084
"13","2013_Q4",1.33421875,"Up",4698852,-3021707,1677145,-2979157,-2447972,-531185,-1302012,35508,-42654,78162,-1266504,-1266504,491926,-774578,-613912,-613912,-640078,8184665,8184665,5656564,5656564,3775508,562904,492696,18179641,2155032,388794,327293,61501,2543826,20723467,3987750,1270190,2717560,558076,558076,6111453,0,0,1127337,7238790,62444793,-48961438,13484677,13484677,20723467,-613912,222131,271592,174838,54649,-134481,-134481,-92411,-42070,-134481,-514352,35980,35980,-478372,-558204,-558204,-558204,-1079881,2692964,-1531450,0.35693,-0.27709,-0.13622,-0.04747,-0.03089,2.3926,2.97468,0.53682,0.12995,-0.04432,-0.04432,0.32537,0.93364,-0.10604,-0.03957,-0.09466,5.08547,4.21786
"14","2014_Q1",1.52934426229508,"Up",4698391,-3286044,1412347,-4164461,-3539095,-625366,-2752114,18832,-56924,75756,-2733282,-2733282,353728,-2379554,-2022753,-2022753,-2048919,7778541,7778541,5408281,5408281,3346177,779182,708974,17312181,2060709,331185,288475,42710,2391894,19704075,4948349,1401764,3546585,691424,691424,7206390,-9.09494701772928e-13,-9.09494701772928e-13,735307,7941697,62771413,-51010357,11762378,11762378,19704075,-2022753,224102,291926,978578,-528147,-90960,-90960,-25437,-65523,497435,-391040,15628,15628,-375412,-406124,-406124,-406124,-2528012,2301924,-1994122,0.3006,-0.58576,-0.43609,-0.17419,-0.10398,0.97326,2.40234,0.67518,0.11682,-0.14103,-0.14103,0.32339,0.80951,-0.13726,-0.14568,-0.14179,2.16637,1.98997
"15","2014_Q2",1.43428571428571,"Down",4471881,-2919795,1552086,-3504232,-2755078,-749154,-1952146,49741,-32365,82106,-1902405,-1902405,769190,-1133215,8540224,8540224,8510688,10886015,10886015,10512087,10512087,3294498,612996,542788,25305596,1960095,247284,223366,23918,2207379,27512975,4318817,1257633,3061184,552831,552831,6439269,0,0,343021,6782290,63229032,-42499669,20730685,20730685,27512975,8540224,202305,-10257894,80230,-1435135,-194035,-194035,-67944,-126091,4764856,-391282,169035,169035,-222247,3107474,3107474,3107474,-1749841,1910642,-2632836,0.34708,-0.43654,1.90316,0.41054,0.30933,-0.30936,3.92989,0.32716,0.06945,0.58081,0.58081,0.30518,1.41466,-0.17968,0.37589,-0.11628,5.12925,4.5977
"16","2014_Q3",1.37984375,"Down",5228297,-3240291,1988006,-2951135,-2466626,-484509,-963129,2023,-27302,29325,-961106,-961106,375983,-585123,-915839,-915839,-943173,14674973,14674973,5481642,5481642,3314608,653141,582934,24124364,1939607,193942,188816,5126,2133549,26257913,4302024,1520093,2781931,391712,391712,6137376,0,0,75474,6212850,63518804,-43442842,20045063,20045063,26257913,-915839.000000002,134259,212387,-1112019,-1681212,-79219,-79219,-67192,-12027,5889158,-391528,-27460,4761,-418988,3788958,3788958,3788958,-828870,1519114,-2396091,0.38024,-0.18421,-0.1804,-0.04705,-0.0359200000000001,2.54046,3.93073,0.30994,0.05785,-0.06365,-0.06365,0.35286,1.35275,-0.16171,-0.04374,-0.11111,15.87204,13.6595
"17","2014_Q4",1.39046875,"Up",5370530,-3287280,2083250,-2803335,-2329808,-473527,-720085,-21275,-21275,0,-741360,-741360,274709,-466651,-744233,-744233,-770993,14430156,14430156,5267953,5267953,3400132,896140,675933,23994381,1917164,182713,180718,1995,2099877,26094258,4967246,1508790,3458456,404487,404487,6441408,0,0,57662,6499070,63839922,-44213835,19595188,19595188,26094258,-744233,154502,253083,563420,226772,-123961,-123961,-64396,-59565,-123961,-391777,44149,44149,-347628,-244817,-244817,-244817,-565583,1127337,-400833,0.3879,-0.13408,-0.14356,-0.03935,-0.02955,0.51989,3.72502,0.33167,0.0432,-0.05134,-0.05134,0.35764,1.30483,-0.02669,-0.03721,-0.01934,23.52054,18.47396
"18","2015_Q1",1.47180327868852,"Up",6189282,-3976004,2213278,-3083019,-2702335,-380684,-869741,-15266,-15287,21.0000000000018,-885007,-885007,-282654,-1167661,-885345,-885345,-913912,14116969,14116969,5689615,5689615,3364233,715302,715302,23886119,3497057,201272,199277,1995,3698329,27584448,6916026,1447177,5468849,861081,861081,8472832,1570377,1570377,1609959,10082791,64163207,-46630651,17501657,17501657,27584448,-885345,116627,280980,662594,174856,-110110,-110110,-55710,-54400,-110110,-392030,14097,14097,-377933,-313187,-313187,-313187,-753114,735307,82024.0000000002,0.3576,-0.14052,-0.14766,-0.05222,-0.03313,-0.08975,2.81914,0.5761,0.02666,-0.06078,-0.06078,0.41163,1.16389,0.00546,-0.04614,0.00413999999999999,17.76844,15.3858
"19","2015_Q2",1.2252380952381,"Down",5339102,-3050313,2288789,-4903998,-4569107,-334891,-2615209,-9137,-9137,0,-2624346,-2624346,-2808,-2627154,-2627154,-2627154,-2653714,13296415,13296415,4817836,4817836,3807294,646544,425133,22568089,3379214,183486,181491,1995,3562700,26130789,6788783,2266437,4522346,811918,811918,7917193,1536067,1536067,1562596,9479789,64463360,-47781461,16651000,16651000,26130789,-2627154,165081,271077,1789665,-401331,-29452,-29452,-18321,-11131,-29452,-392286,2515,2515,-389771,-820554,-820554,-820554,-2450128,343021,-687107,0.42868,-0.48982,-0.49703,-0.15937,-0.10156,0.25892,2.85052,0.56932,0.01313,-0.17554,-0.17554,0.35317,1.10134,-0.04545,-0.14321,-0.03708,5.28682,4.9531
"20","2015_Q3",1.08015625,"Down",10025746,-5828773,4196973,-6319722,-5518502,-801220,-2122749,-45857,-49966,4109,-2168606,-2168606,5.82076609134674e-11,-2168606,-2168606,-2168606,-2188627,7512513,7512513,9330045,9330045,9955920,1933984,1933984,28732462,6719424,12231394,11528262,88948,18950818,47683280,10254707,4074732,6179975,706892,706892,12523151,1507814,1507814,5928736,18451887,80762358,-51466953,29231393,29231393,47683280,-2168606,659170,310737,-5255832,-6454531,-144301,-144301,-31854,-112447,230216,393525,46888,80001,440413,-5783902,-5783902,-5783902,-1463579,5982474,-6863712,0.41862,-0.21173,-0.2183,-0.07487,-0.0459,3.13608,2.29435,0.63124,0.12546,-0.09949,-0.09949,0.45576,1.32877,-0.31202,-0.0596,-0.18691,1.04541,0.72078
"21","2015_Q4",1.0434375,"Down",13205232,-8226228,4979004,-5675276,-3828936,-1846340,-696272,-89128,-77417,-11711,-785400,-785400,-16296,-801696,-801696,-801696,-819913,7090036,7090036,9322295,9322295,10037202,1672120,1672120,28121653,6672507,12304454,11301624,88948,18976961,47098614,10709474,3999036,6710438,788974,788974,13045064,1427572,1427572,5468207,18513271,81061859,-52292904,28585343,28585343,47098614,-801696,724557,275288,345197,543346,-451000,-451000,-337333,-113667,-451000,-395223,-119600,0,-514823,-422477,-422477,-422477,28285,5587251,-61222,0.37705,-0.05273,-0.06209,-0.02868,-0.01741,0.07467,2.15573,0.64765,0.11863,-0.02993,-0.02993,0.48206,1.04346,-0.00223,-0.02303,-0.00172,-53.1301,2.15833
"22","2016_Q1",0.960327868852459,"Down",15450278,-10414381,5035897,-5851262,-4564725,-1286537,-815365,-86248,-83883,-2365,-901613,-901613,489709,-411904,7914482,7914482,7893450,17464040,17464040,11034557,11034557,8863167,1388439,1388439,38750203,6614238,12767372,10404312,88948,19381610,58131813,12359111,4054425,8304686,1109759,1109759,15333662,1564229,1564229,5891133,21224795,81490085,-44399455,36907018,36907018,58131813,7914482,908224,-8559506,961408.999999999,1224609,-452645,-452645,-322840,-129805,8544950,604445,2.91038304567337e-11,0,604445,10374004,10374004,10374004,92859,6191696,111914,0.32594,-0.05277,0.51089,0.21387,0.13579,0.0141799999999998,2.52713,0.57509,0.10651,0.28602,0.28602,0.55985,1.3373,0.00406000000000002,0.17673,0.00251000000000001,-121.39205,13.82491
"23","2016_Q2",1.098125,"Up",13987015,-9143408,4843607,-6195773,-4645282,-1550491,-1352166,-82233,-86173,3940,-1434399,-1434399,-25175,-1459574,-1459574,-1459574,-1480784,15201456,15201456,11332866,11332866,8842792,1765081,1765081,37142195,6560430,12278193,9915133,88948,18838623,55980818,11681994,4222445,7459549,1202018,1202018,14766520,1520057,1520057,5508051,20274571,81770098,-45880239,35706247,35706247,55980818,-1459574,939799,258803,-1283606,-1544578,-239566,-239566,-138099,-101467,-239566,-478440,0,0,-478440,-2262584,-2262584,-2262584,-412367,5870502,-1910364,0.34629,-0.09667,-0.10587,-0.04147,-0.02645,1.2901,2.5153,0.56782,0.10487,-0.05389,-0.05389,0.50904,1.29944,-0.06953,-0.03436,-0.04433,22.62779,6.90075
"24","2016_Q3",1.31171875,"Up",14646902,-9476054,5170848,-5822433,-4581778,-1240655,-651585,-118391,-78906,-39485,-769976,-769976,-1000,-770976,-770976.000000001,-770976.000000001,-795555.999999999,13807799,13807799,11151791,11151791,8389095,1694810,1694810,35043495,7362464,11927981,9490702,88948.0000000001,19290445,54333940,11413952,3889383,7524569,1027929,1027929,14325549,1481824,1481824,4998281,19323830,82025903,-46675795,35010110,35010110,54333940,-770976,921804,256740.000000001,124944,532511.999999999,-1299407,-1299407,-1156676,-142731,-1299407,-470376,-156386,-9.09494701772928e-13,-626762,-1393657,-1393657,-1393657,270219,5400125,-903244,0.35303,-0.04449,-0.0543199999999999,-0.02272,-0.01464,1.13536,2.44622,0.55195,0.09939,-0.02887,-0.02887,0.53149,1.27037,-0.03278,-0.01899,-0.02156,-31.1143,12.90342
"25","2016_Q4",1.36936507936508,"Up",1440445,-321837,1118608,-2067984,-2069329,1345,-949376,-38361,-72002,33641,-987737,-987737,199976,-787761,-445076,-445076,-474017,13183151,13183151,11976920,11976920,7898724,1770071,1770071,34828866,7112535,11491210,9053931,88948,18603745,53432611,11477353,3257014,8220339,988888,988888,14350500,1440146,1440146,4485425,18835925,82255171,-47149813,34596686,34596686,53432611,-445076,898274,405333,-632343,226188,-211574,-211574,-138485,-73089,-211574,-470588,-168674,0,-639262,-624648,-624648,-624648,-51102,4929538,-1094995,0.77657,-0.65909,-0.32908,-0.0137,-0.00887,2.31003,2.42701,0.54444,0.09226,-0.01717,-0.01717,0.05218,1.25323,-0.03967,-0.01157,-0.02673,161.51252,8.69372
"26","2017_Q1",1.82516129032258,"Up",11793407,-7121770,4671637,-4217746,-3467320,-750426,453891,-67278,-82253,14975,386613,386613,-38234,348379,306134,306134,275607,12802458,12802458,10269012,10269012,6848835,7177288,1375659,37097593,3482687,14416693,3367217,10547476,17899380,54996973,10868286,2954742,7913544,3214609,3214609,15968356,1403957,1403957,3938929,19907285,82480558,-46874205,35089688,35089688,54996973,306134,954002,244932,-1119027,386041,-249637,-249637,-76724,-172913,-249637,-509104,-7993,-5.6843418860808e-14,-517097,-380693,-380693,-380693,1407893,4420433,77463,0.39612,0.03849,0.02337,0.00785,0.00501,0.28106,2.32319,0.56733,0.08038,0.01,0.01,0.42809,1.27369,0.00281,0.00674,0.00189,-5.95360000000002,-18.46704
"27","2017_Q2",1.53888888888889,"Down",10086897,-6210512,3876385,-4650942,-3722170,-928772,-774557,-64023,-64374,351,-838580,-838580,-26690,-865270,-1355987,-1355987,-1390083,12105934,12105934,12256152,12256152,8722670,1536003,1536003,34620759,6575200,10698012,8280903,68778,17273212,51893971,11820185,3147754,8672431,843345,843345,14549906,1372356,1372356,3439460,17989366,82685558,-48264288,33904605,33904605,51893971,-1355987,956687,199755,263592,64047,-290362,-290362,-157308,-133054,-290362,-471030,820,820,-470210,-696525,-696525,-696525,182130,3953480,182050,0.3843,-0.07679,-0.13781,-0.041,-0.02679,-0.13096,2.37945,0.53059,0.07618,-0.05047,-0.05047,0.36625,1.231,0.00661,-0.03543,0.00464,-44.76173,10.52531
"28","2017_Q3",1.46222222222222,"Down",11293032,-6926824,4366208,-4186609,-3367719,-818890,179599,-61606,-60386,-1220,117993,117993,-40937,77055.9999999998,-221761,-221761,-251297.000000001,10291255,10291255,13150291,13150291,9540754,1266090,1266090,34248390,6882576,10420118,8003009,68778.0000000009,17302694,51551084,12089460,3958144,8131316,946146,946146,14921343,1337893,1337893,2938467,17859810,82866766,-48515561,33691274,33691274,51551084,-221761,797061,162084,-1115752,-378368,-821797,-824797,-638909,-185888,-821796.999999998,-471247,-143266,0,-614513,-1814678,-1814678,-1814678,976660,3486311,-919952,0.38663,0.0158999999999999,-0.0222500000000001,-0.00745999999999999,-0.00487,3.66082,2.29526,0.5301,0.06763,-0.00910000000000001,-0.00771000000000004,0.40917,1.22064,-0.03333,-0.00652,-0.02389,-6.96757,-37.88965
"29","2017_Q4",1.95904761904762,"Up",1839712,-901969,937743,-2107235,-1893127,-214108,-1169492,-26964,-54119,27155,-1196456,-1196456,729676,-466780,15757324,15757324,15723625,38514437,38514437,8940405,8940405,7300035,4924196,924196,59679073,3145769,3784309,3264285,18024,6930078,66609151,11775330,2188776,9586554,897023,897023,14554756,1221170,1221170,2357679,16912435,83233337,-32791936,49696716,49696716,66609151,15757324,488119,-14937684,-412052,895707,-171024,-171024,-97481,-73543,27855504,-471475,-56554,28200,-528029,28223182,28223182,28223182,-681373,3018912,-1994125,0.50972,-0.63569,8.54679,0.31639,0.23606,-0.12682,4.10031,0.34031,0.04532,0.56779,0.48063,0.06643,1.79454,-0.07201,0.29152,-0.03697,52.09412,30.35123
"30","2018_Q1",2.50786885245902,"Up",9862224,-5673530,4188694,-4632392,-3940825,-691567,-443698,-38653,-38473,-180,-482351,-482351,486530,4179,435329,435329,385771.000000004,36981533,36981533,5929042,5929042,4634781,11256222,1140999,58801578,2854641,4566417,1727390,2839027,7421058,66222636,8658307,2111077,6547230,4290830,4290830,14826135,1184438,1184438,1858720,16684855,83592394,-32406189,49537781,49537781,66222636,435329.000000002,284742,-276560.999999998,-109854,333656,-561945,-561945,-458833,-103112,-561945.000000007,-471709,-832906,70833,-1304615,-1532904,-1532904,-1532904,-158956,2551280,-1317285,0.42472,-0.04499,0.0391199999999987,0.00779000000000007,0.00582999999999995,-3.41468,3.96608,0.33681,0.03853,0.0140400000000002,0.0220600000000001,0.35881,1.80225,-0.04793,0.00724000000000002,-0.02473,216.60241,77.5984
"31","2018_Q2",3.215,"Up",12193172,-7167054,5026118,-4911105,-3809617,-1101488,115013,35059,-40738,-115,150072,150072,-1396,148676,148676,148676,84251,33442674,33442674,8098703,8098703,6534899,7497263,1086837,55573539,3425544,3988589,3204843,281746,7414133,62987672,8100426,2357649,5742777,1804125,1804125,11692696,1148370,1148370,1443638,13136334,83773713,-31967910,49851338,49851338,62987672,148676,307852,94606,-3091468,-2540334,-242828,-242828,-129720,-113108,-242828,-471944,-283753,22288,-755697,-3538859,-3538859,-3538859,422865,2083413,-2910035,0.41221,0.00943,0.00691,0.00169,0.00134,-34.54006,4.75284,0.26351,0.03308,0.0031,0.0027,0.4482,1.83239,-0.10697,0.00159,-0.05482,-74.15904,-272.6584
