"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q2",49.68890625,"Down",-52466000,-14696000,-37770000,-36745000,476000,446000,30000,-36269000,-36269000,-36301000,-36301000,-36301000,-36301000,292926000,183822000,38858000,2299000,331784000,3350000,5e+05,5e+05,67061000,398845000,29014000,7287000,21727000,34226000,365622000,475059000,33223000,33223000,398845000,-36301000,178000,31641000,-32258000,-36740000,768000,768000,768000,-38039000,-38039000,-38039000,-36567000,0,-1.09265,-0.09102,9.69392,11.00509,0,-1.02964,-1.02964,0.94234,-0.09956,8.01067,7.97186
"12","2016_Q3",56.3934375,"Up",-58751000,-10489000,-48262000,-30553000,348000,446000,-98000,-30205000,-30205000,-29945000,-29945000,-29945000,-29945000,298712000,194054000,56376000,1896000,355088000,3263000,491999.999999998,492000,30766000,385854000,32920000,7769000,25151000,39696000,371349000,486408000,14505000,14505000,385854000,-29945000,174000,8184000,-11636000,-33223000,3040000,3040000,3040000,10232000,10232000,10232000,-30379000,0,-2.06446,-0.07761,8.94518,25.60145,0,-0.8461,-0.8461,0.40984,-0.08651,9.83285,9.77685
"13","2016_Q4",29.684126984127,"Down",-62878000,-12024000,-50854000,-61210000,389000,409000,-20000,-60821000,-60821000,-60891000,-60891000,-60891000,-60891000,321156000,165604000,25785000,1514000,346941000,3174000,470000,470000,3644000,350585000,50406000,10389000,40017000,57182000,387174000,496246000,-36589000,-36589000,350585000,-60891000,187000,8434000,46448000,-5822000,1590000,1590000,1590000,-28450000,-28450000,-28450000,-61023000,0,1.66419,-0.17368,6.06731,-10.5817,0,-1.71071,-1.71071,-1.02795,-0.20753,5.26287,5.24679
"14","2017_Q1",4.22596774193548,"Down",-72378000,-12969000,-59409000,-67056000,525000,403000,122000,-66531000,-66531000,-66283000,-66283000,-66283000,-66283000,289278000,133930000,6609000,3078000,295887000,3281000,462000,462000,3743000,299630000,59272000,12032000,47240000,65918000,394248000,504553000,-94618000,-94618000,299630000,-66283000,218000,6950000,26304000,-32811000,1536000,1536000,1536000,-31674000,-31674000,-31674000,-66838000,0,0.70053,-0.22122,4.48871,-4.16673,0,-1.85656,-1.85656,-2.65022,-0.28361,4.32805,4.31398
"15","2017_Q2",2.72412698412698,"Down",-45138000,-13159000,-31979000,-43476000,357000,378000,-21000,-43119000,-43119000,-43122000,-43122000,-43122000,-43122000,227615000,92554000,8181000,4650000,235796000,2473000,3000,3000,2476000,238272000,36612000,8657000,27955000,43258000,369927000,510648000,-131655000,-131655000,238272000,-43122000,808000,6162000,-25360000,-61512000,31000,31000,31000,-41376000,-41376000,-41376000,-42668000,0,0.32754,-0.18098,5.45092,-2.80982,0,-1.20439,-1.20439,-3.6771,-0.22112,5.33456,5.23542
"16","2017_Q3",2.70015873015873,"Down",-24209000,-8552000,-15657000,-22548000,343000,344000,-999.999999999985,-22205000,-22205000,-22204000,-22204000,-22204000,-22204000,196442000,140917000,3412000,2738000,199854000,1888000,46000.0000000001,46000,1934000,201788000,18955000,6268000,12687000,25601000,350608000,515651000,-148820000,-148820000,201788000,-22204000,585000,5019000,-14392000,-30992000,15000,15000,14999.9999999998,48363000,48363000,48363000,-21963000,0,0.1492,-0.11004,7.80649,-2.35592,0,-0.61922,-0.61922,-4.15026,-0.12603,8.94422,8.71217
"17","2017_Q4",2.81111111111111,"Up",-17766000,-7059000,-10707000,188888000,379000,391000,-12000,189267000,189267000,189073000,189073000,189073000,189073000,180217000,180217000,1436000,1436000,181653000,1302000,27000,27000,1329000,182982000,14107000,7895000,6212000,14107000,139107000,519087000,43875000,43875000,182982000,189073000,586000,3585000,-209316000,-16072000,25000,25000,25000,39300000,39300000,39300000,189474000,0,4.30936,1.03329,12.8768,3.17053,0,5.25626,5.24518,1.21973,1.1196,-0.95114,-0.95409
"18","2018_Q1",2.89868852459016,"Up",-14859000,-6913000,-7946000,-14859000,409000,409000,0,-14450000,-14450000,-9542000,-9542000,-9542000,-9542000,166972000,166972000,4533000,3146000,171505000,518000,3553000,24000,4071000,175576000,12535000,7551000,4984000,12535000,137535000,522795000,38041000,38041000,175576000,-9542000,784000,179000,-4666000,-13245000,0,0,-7.27595761418343e-12,-13245000,-13245000,-13245000,-14075000,0,-0.25083,-0.0543500000000001,13.68209,3.61544,0,-0.26474,-0.26273,1.05543,-0.0585299999999997,11.86302,11.2371
"19","2018_Q2",2.75859375,"Down",-13331000,-5645000,-7686000,-13331000,457000,473000,-16000,-12874000,-12874000,-13073000,-13073000,-13073000,-13073000,154911000,154911000,2836000,2836000,157747000,468000,3336000,40000,3804000,161551000,8474000,3278000,5196000,8474000,133474000,525904000,28077000,28077000,161551000,-13073000,50000,3315000,-2380000,-12088000,27000,27000,27000,-12061000,-12061000,-12061000,-13281000,0,-0.46561,-0.08092,18.61541,4.75386,0,-0.3616,-0.3616,0.77662,-0.0854,11.66411,11.62036
"20","2018_Q3",2.49222222222222,"Down",-14848000,-6332000,-8516000,-14848000,602000,602000,0,-14246000,-14246000,-13209000,-13209000,-13209000,-13209000,145991000,145991000,1919000,1919000,147910000,424000,3327000,31000,3751000,151661000,9131000,3994000,5137000,9131000,134131000,528566000,17530000,17530000,151661000,-13209000,43999.9999999999,2662000,1583000.00000001,-8920000,0,0,-5.82076609134674e-11,-8920000,-8920000,-8920000,-14804000,0,-0.75351,-0.0871,16.19866,7.65151,0,-0.36501,-0.36501,0.48441,-0.09268,9.86159,9.83237
"21","2018_Q4",1.93777777777778,"Down",-15375000,-5968000,-9407000,-15375000,635000,636000,-1000,-14740000,-14740000,-14745000,-14745000,-14745000,-14745000,135208000,135208000,2055000,2055000,137263000,379000,3315000,19000,3694000,140957000,10530000,4614000,5916000,10530000,135530000,531208000,5427000,5427000,140957000,-14745000,45000,2604000,1275000,-10821000,38000.0000000002,38000.0000000002,38000,-10783000,-10783000,-10783000,-15330000,0,-2.71697,-0.10461,13.03542,24.97328,0,-0.4073,-0.4073,0.14991,-0.11305,8.81983,8.79402
"22","2019_Q1",1.39852459016393,"Down",-21795000,-5667000,-16128000,-21795000,679000,678000,1000,-21116000,103884000,104114000,104114000,104114000,104114000,131201000,131201000,2086000,2086000,133287000,335000,3543000,3543000,3878000,137165000,13206000,5869000,7337000,13206000,13206000,545626000,123959000,123959000,137165000,104114000,44000,-116890000,2650000,-10082000,6075000,6075000,6075000,-4007000,-4007000,-4007000,-21751000,0,0.83991,0.75904,10.09291,0.106539999999999,0,2.62245,2.61534,3.12231,0.83991,6.03195,6.01978
"23","2019_Q2",1.37174603174603,"Down",-13166000,-5481000,-7685000,-13166000,670000,670000,0,-12496000,-12496000,-12501000,-12501000,-12501000,-12501000,116639000,116639000,2395000,2395000,119034000,292000,4770000,4770000,5062000,124096000,8897000,2987000,5910000,9882000,10127000,548137000,113969000,113969000,124096000,-12501000,43000,2470000,-4615000,-14603000,41000,41000,41000,-14562000,-14562000,-14562000,-13123000,0,-0.10969,-0.10074,12.04554,0.08886,0,-0.30176,-0.30176,2.75108,-0.10945,8.88814,8.85911
"24","2019_Q3",1.1634375,"Down",-15207000,-5198000,-10009000,-15207000,768000,617000,151000,-14439000,-14439000,-14443000,-14443000,-14443000,-14443000,106889000,106889000,3702000,1937000,110591000,252000,2765000,2765000,3017000,113608000,10886000,3241000,7645000,11875000,11875000,550344000,101733000,101733000,113608000,-14443000,40000,2056999.99999999,2596000,-9750000,0,0,-9.31322574615479e-10,-9750000,-9750000,-9750000,-15167000,0,-0.14197,-0.12713,9.31293,0.116729999999999,0,-0.34822,-0.348220000000001,2.45276,-0.14197,7.04747,7.02893
"25","2019_Q4",3.571875,"Up",-15057000,-4674000,-10383000,-15057000,495000,495000,0,-14562000,-14562000,-14437000,-14437000,-14437000,-14437000,94851000,94851000,2122000,1110000,96973000,212000,1638000,1638000,1850000,98823000,8616000,3666000,4950000,9361000,9361000,552510000,89462000,89462000,98823000,-14437000,40000,2126000,43000,-12228000,40000,40000,40000,-12038000,-12038000,-12038000,-15017000,0,-0.16138,-0.14609,10.35926,0.10464,0,-0.34743,-0.34743,2.15291,-0.16138,6.31624,6.29946
"26","2020_Q1",5.84387096774194,"Up",-17842000,-6275000,-11567000,-17842000,369000,369000,0,-17473000,-17473000,-17478000,-17478000,-17478000,-17478000,125699000,125699000,2925000,2043000,128624000,173000,1390000,1390000,1563000,130187000,12489000,5629000,6860000,12984000,12984000,597729000,117203000,117203000,130187000,-17478000,39000,2462000,3068000,-11909000,192000,192000,42757000,30848000,30848000,30848000,-17803000,0,-0.14913,-0.13425,9.90635,0.11078,0,-0.39331,-0.39331,2.63745,-0.14913,7.06055,7.04512
"27","2020_Q2",4.16650793650794,"Down",-18748000,-4998000,-13750000,-18748000,363000,358000,5000,-18385000,-18385000,-15076000,-15076000,-15076000,-15076000,108352000,108352000,6889000,2183000,115241000,135000,338000,338000,473000,115714000,10759000,2375000,8384000,10978000,11084000,600232000,104630000,104630000,115714000,-15076000,38000,2324000,-4812000,-17526000,179000,179000,179000,-17347000,-17347000,-17347000,-18710000,0,-0.14409,-0.13029,10.49745,0.10594,0,-0.28218,-0.28218,1.95841,-0.14394,5.79113,5.77939
"28","2020_Q3",4.76828125,"Up",-19009000,-6289000,-12720000,-19009000,34000,46000,-12000,-18975000,-18975000,-18589000,-18589000,-18589000,-18589000,245735000,245735000,3962000,2198000,249697000,97000,156000,156000,253000,249950000,11765000,4634000,7131000,11818000,11909000,752232000,238041000,238041000,249950000,-18589000,39000,1873000,3933000,-12744000,7000,7000,150127000,137383000,137383000,137383000,-18970000,0,-0.07809,-0.07437,21.12853,0.05003,0,-0.32373,-0.32373,4.14547,-0.07806,12.95387,12.9273
"29","2020_Q4",6.3984375,"Up",-25484000,-6643000,-18841000,-25484000,34000,33000,1000,-25450000,-25450000,-25450000,-25450000,-25450000,-25450000,231122000,122819000,3277000,1513000,234399000,62000,134000,134000,196000,234595000,19879000,7012000,12867000,19933000,20009000,754226000,214586000,214586000,234595000,-25450000,31000,1962000,8699000,-14758000,146999.999999998,146999.999999998,147000,-122916000,-122916000,-122916000,-25453000,0,-0.1186,-0.10848,11.75934,0.09324,0,-0.27382,-0.27382,2.30874,-0.11856,9.08034,9.0693
"30","2021_Q1",6.06918032786885,"Down",-25495000,-8022000,-17473000,-25495000,63000,63000,0,-25432000,-25432000,-25432000,-25432000,-25432000,-25432000,210047000,66373000,6556000,4791000,216603000,26000,125000,125000,151000,216754000,25076000,12792000,12284000,25130000,25191000,756633000,191563000,191563000,216754000,-25432000,35000,2626000,1702000,-21069000,33365000,33365000,128000,-56446000,-56446000,-56446000,-25460000,0,-0.13276,-0.11733,8.6193,0.1315,0,-0.27362,-0.27362,2.06099,-0.13272,8.25008,8.23875
"31","2021_Q2",6.45095238095238,"Up",-26871000,-8322000,-18549000,-26871000,76000,77000,-1000,-26795000,-26795000,-26795000,-26795000,-26795000,-26795000,180201000,29335000,7075000,5310000,187276000,17000,109000,109000,126000,187402000,20108000,6976000,13132000,20163000,20214000,759054000,167188000,167188000,187402000,-26795000,13000,2687000,-5362000,-29457000,129000.000000004,129000.000000004,129000,-37038000,-37038000,-37038000,-26858000,0,-0.16027,-0.14298,9.2881,0.12091,0,-0.28716,-0.28716,1.79173,-0.16022,6.7094,6.70615
"32","2021_Q3",10.88296875,"Up",-30206000,-6718000,-23488000,-30206000,63000,65000,-2000,-30143000,-30143000,-30143000,-30143000,-30143000,-30143000,159882000,50363000,3806000,3806000,163688000,8000,1971000,1971000,1979000,165667000,24055000,8643000,15412000,24992000,26094000,761581000,139573000,139573000,165667000,-30143000,5000,2426000,7261000,-20451000,448000,448000,448000,21028000,21028000,21028000,-30201000,0,-0.21597,-0.18195,6.54962,0.18696,0,-0.32304,-0.32304,1.49578,-0.21427,5.29393,5.29305
"33","2021_Q4",16.390625,"Up",-24583000,-6648000,-17935000,-24583000,32000,42000,-10000,-24551000,-24551000,-24551000,-24551000,-24551000,-24551000,241970000,179879000,4070000,4070000,246040000,2000,1748000,1748000,1750000,247790000,19498000,8130000,11368000,20443000,21304000,873059000,226486000,226486000,247790000,-24551000,6000,2802000,-4474000,-26217000,1095000,1095000,108852000,129516000,129516000,129516000,-24577000,0,-0.1084,-0.09908,12.03542,0.09406,0,-0.25214,-0.25214,2.32603,-0.10799,9.84538,9.84298
"34","2022_Q1",14.7795161290323,"Down",-33097000,-8001000,-25096000,-33097000,64000,61000,3000,-33033000,-33033000,-33033000,-33033000,-33033000,-33033000,381749000,261447000,5739000,5739000,387488000,348000,1522000,1522000,1870000,389358000,27259000,12856000,14403000,28211000,28830000,1040213000,360528000,360528000,389358000,-33033000,15000,4512000,6072000,-22434000,344000,344000,162906000,81568000,81568000,81568000,-33082000,0,-0.09162,-0.08484,13.73535,0.07997,0,-0.25655,-0.25655,2.80004,-0.09147,11.53948,11.53425
"35","2022_Q2",12.551935483871,"Down",-34670000,-12113000,-22557000,-34670000,134000,133000,1000,-34536000,-34536000,-34536000,-34536000,-34536000,-34536000,345663000,191867000,5304000,5304000,350967000,443000,1295000,1295000,1738000,352705000,18211000,5294000,12917000,19166000,19551000,1047679000,333154000,333154000,352705000,-34536000,21000,5686000,-8683000,-37512000,2080000,2080000,2080000,-69580000,-69580000,-69580000,-34649000,0,-0.10366,-0.09792,18.31196,0.05868,0,-0.32824,-0.32824,3.16635,-0.10354,9.97613,9.97009
"36","2022_Q3",13.12578125,"Up",-49753000,-16106000,-33647000,-49753000,490000,482000,8000,-49263000,-49263000,-49263000,-49263000,-49263000,-49263000,311963000,141113000,5259000,5259000,317222000,514000,2020000,2020000,2534000,319756000,24755000,8178000,16577000,26479000,26810000,1056868000,292946000,292946000,319756000,-49263000,24000,6628000,6702000,-35909000,2801000,2801000,2801000,-50754000,-50754000,-50754000,-49729000,0,-0.16816,-0.15406,11.98014,0.09152,0,-0.4116,-0.4116,2.4476,-0.16797,6.27326,6.27023
