"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",33.8571428571429,"Down",268233000,-180906000,87327000,-16892000,-16892000,70435000,-11264000,-9356000,59171000,58153000,-12005000,46148000,46148000,46148000,46148000,125719000,125719000,43322000,43322000,63384000,18025000,18025000,250450000,339704000,1806995000,1712073000,2146699000,2397149000,71852000,71852000,77940000,798566000,159717000,132677000,958283000,1036223000,1360926000,2397149000,46148000,21605000,-6255000,60441000,-1.2e+07,-1.2e+07,-1.2e+07,299000,-11864000,-25101000,-97000,-25198000,23379000,23379000,23379000,92040000,798566000,0.32556,0.26259,0.17204,0.03391,0.01925,3.21337,0.76141,0.33313,0.73189,0.72709,4.25409,0.39809,6,0.03072,0.54392,7.31038,9.55274
"35","2018_Q4",27.8539682539683,"Down",289199000,-195584000,93615000,-14901000,-14901000,78714000,-12051000,-10109000,66663000,65691000,-5355000,60336000,60336000,60336000,60336000,137535000,137535000,39029000,39029000,73864000,18988000,18988000,269416000,340146000,1803509000,1707745000,2143655000,2413071000,80258000,80258000,308346000,798046000,127610000,89035000,925656000,1234002000,1179069000,2413071000,60336000,19445000,-25352000,53013000,-12457000,-12468000,-12468000,113000,-12347000,-25102000,-40000,-25142000,15524000,15524000,15524000,98159000,798046000,0.3237,0.27218,0.20863,0.05117,0.025,0.87375,1.04659,0.33072,0.96049,0.93732,4.60375,0.3996,3,0.04059,0.41604,6.72899,8.39128
"36","2019_Q1",28.2281967213115,"Up",217250000,-1.92e+08,25250000,-14412000,-14412000,10838000,-12043000,-10102000,-1205000,-2079000,3878000,1798999.99999999,1798999.99999999,1798999.99999999,1798999.99999999,76639000,76639000,21405000,21405000,60805000,103349000,22675000,262198000,272193000,1791461000,1694096000,2063654000,2325852000,60993000,60993000,136284000,732121000,142668000,110659000,874789000,1011073000,1314779000,2325852000,1798999.99999999,19476000,18024000,30526000,-16264000,-16298000,-16298000,118000,-20857000,-71463000,-8000,-71471000,-61802000,-61802000,-61802000,30314000,772094000,0.11623,0.04989,0.00828000000000004,0.00137,0.00077,1.92391,0.76901,0.33196,0.02732,0.02621,3.29967,1.08541,4,0.03286,39.72374,22.94171,64.1682
"37","2019_Q2",30.0457142857143,"Up",181716000,-154215000,27501000,-16570000,-16570000,10931000,-6444000,-5464000,4487000,8151000,-1591000,6560000,6560000,6560000,6560000,104787000,104787000,18009000,18009000,62408000,18625000,18625000,203829000,273118000,1796267000,1697958000,2069385000,2273214000,72565000,72565000,118543000,749853000,126432000,110476000,876285000,994828000,1278386000,2273214000,6560000,16274000,-2001000,19067000,52043000,-8002000,-8002000,130000,52173000,-27065000,-5078000,-42301000,28939000,28939000,28939000,27205000,789834000,0.15134,0.06015,0.0361,0.00513,0.00289,1.71945,0.77819,0.34745,0.09667,0.09659,2.67781,0.39884,4,0.01532,4.12576,25.18092,62.67011
"38","2019_Q3",31.3525,"Up",215581000,-175673000,39908000,-14952000,-14952000,24956000,-8771000,-7882000,16185000,16185000,952000.000000001,17137000,17137000,17137000,17137000,97970000,97970000,24479000,24479000,54121000,19890000,19890000,196460000,276592000,1785889000,1689212000,2062481000,2258941000,78492000,78492000,124477000,763266000,125148000,110525000,888414000,1012891000,1246050000,2258941000,17137000,17137000,16895000,48454000,-16942000,-15690000,-15690000,303000,-16917000,-26881000,-51000.0000000009,-41947000,-10410000,-10410000,-10410000,42093000,803254000,0.18512,0.11576,0.07949,0.01375,0.00759,1.57828,0.81288,0.35559,0.25318,0.2527,3.18492,0.39713,3,0.02024,1.56859,16.75538,28.2611
"39","2019_Q4",34.82328125,"Up",226302000,-182634000,43668000,-12472000,-12472000,31196000,-9410000,-8475000,21786000,21786000,-1221000,20565000,20565000,20565000,20565000,94747000,94747000,27214000,27214000,54202000,23492000,23492000,199655000,278587000,1778812000,1684644000,2057399000,2257054000,78274000,78274000,124266000,771598000,125461000,110548000,897059000,1021325000,1235729000,2257054000,20565000,19178000,-580000,37906000,-13156000,-15173000,-15173000,87000,-13069000,-26888000,-129000,-27017000,-2180000,-2180000,-2180000,50374000,811593000,0.19296,0.13785,0.09087,0.01664,0.00911,1.60667,0.8265,0.35958,0.30334,0.30326,3.33803,0.39661,4,0.02184,1.30746,14.23048,22.97878
"40","2020_Q1",31.9141935483871,"Down",203499000,-169544000,33955000,-13931000,-13931000,20024000,-5736000,-8540000,14288000,10549000,850000,11399000,11399000,11399000,11399000,83310000,83310000,14167000,14167000,65781000,20183000,20183000,183441000,286383000,1765235000,1673953000,2051618000,2235059000,60577000,60577000,113252000,759348000,135628000,115463000,894976000,1008228000,1226831000,2235059000,11399000,19516000,8356000,33641000,-2e+07,-17983000,-17983000,2678000,-17670000,-26888000,-619000,-27507000,-11536000,-11536000,-11536000,39540000,805322000,0.16686,0.0984,0.05602,0.00929,0.0051,1.61976,0.82181,0.36031,0.16991,0.16905,3.03327,0.40078,6,0.01766,2.3588,18.26029,36.05733
"41","2020_Q2",28.1695238095238,"Down",208880000,-172046000,36834000,-14207000,-14207000,22627000,-3698000,-3698000,18929000,-27694000,10862000,-16832000,-16832000,-16832000,-16832000,79484000,79484000,23356000,23356000,55707000,15626000,15626000,174173000,286881000,1751828000,1662392000,2038709000,2212882000,61395000,61395000,114077000,795825000,153366000,141921000,949191000,1063268000,1149614000,2212882000,-16832000,19044000,46304000,48138000,-8349000,-9349000,-9349000,1505000,-11034000,-26941000,-242000,-39538000,-2434000,-2434000,-2434000,41671000,841806000,0.17634,0.10833,-0.08058,-0.01464,-0.00761,1.5268,0.92489,0.38041,-0.24944,-0.24944,3.09553,0.39926,5,0.00471,-1.60058,18.29383,33.69081
"42","2020_Q3",35.93921875,"Up",181555000,-149836000,31719000,-16811000,-16811000,14908000,-8339000,-8339000,6568999.99999999,3091000,-453000,2638000,2638000,2638000,2638000,80987000,80987000,24588000,24588000,52215000,22107000,22107000,179897000,286169000,1739104000,1648903000,2025273000,2205170000,75937000,75937000,128626000,797418000,153650000,142708000,951068000,1079694000,1125476000,2205170000,2638000,18171000,21105000,39805000,-8722000,-8722000,-8722000,608000,-8654000,-26744000,-284000,-30037000,1114000,1114000,1114000,33079000,843406000,0.17471,0.08211,0.01453,0.00234,0.0012,1.39861,0.95932,0.38247,0.03928,0.03928,2.70316,0.39819,4,0.01384,10.13798,23.04843,51.1416
"43","2020_Q4",39.04859375,"Up",313046000,-182039000,131007000,-21046000,-21046000,109961000,-8557000,-8557000,101404000,97847000,-16840000,81007000,81007000,81007000,81007000,148919000,148919000,50084000,50084000,58572000,21090000,21090000,278665000,289305000,1729943000,1639262000,2019248000,2297913000,108425000,108425000,161121000,789491000,151224000,139022000,940715000,1101836000,1196077000,2297913000,81007000,20594000,3014000,102902000,-9940000,-8940000,-8940000,1371000,-8577000,-26749000,-506000,-27255000,67070000,67070000,67070000,130555000,835486000,0.41849,0.35126,0.25877,0.06773,0.03525,1.72954,0.92121,0.36358,1.20641,1.19193,4.6621,0.39836,7,0.04937,0.33021,5.25883,6.24373
"44","2021_Q1",44.2147540983607,"Up",337449000,-183860000,153589000,-20455000,-20455000,133134000,-8869000,-8869000,124265000,120709000,-20692000,100017000,100017000,100017000,100017000,252340000,252340000,26606000,26606000,62036000,16136000,16136000,357118000,288544000,1735403000,1646778000,2023947000,2381065000,93279000,93279000,139834000,717366000,218912000,128807000,936278000,1076112000,1304953000,2381065000,100017000,20076000,13763000,144418000,-11916000,-10112135.0484145,-10112135.0484145,109000,-13927000,-27419000,-736000,-28155000,102336000,102336000,102336000,153210000,757347000,0.45515,0.39453,0.29639,0.07664,0.04201,2.55387,0.82464,0.31807,1.48926,1.47808,5.02463,0.40827,8,0.05586,0.274139999999998,3.29618,3.79322
"45","2021_Q2",49.7446031746032,"Up",354193000,-169302000,184891000,-16758000,-16758000,168133000,-3574000,-3574000,164559000,161145000,-30039000,131106000,131106000,131106000,131106000,382032000,382032000,41920000,41920000,62663000,20959000,20959000,507574000,291483000,1695515000,1679440000,2056055000,2563629000,114849000,114849000,164408000,714619000,207053000,129025000,921672000,1086080000,1477549000,2563629000,131106000,18399000,22775000,169965000,-11718000,-11718000,-11718000,189000,-11529000,-27484000,-591000,-28075000,130361000,130361000,130361000,186532000,757604000,0.52201,0.47469,0.37015,0.08873,0.05114,3.08728,0.73506,0.29552,1.95078,1.93924,5.27018,0.40895,8,0.06494,0.20963,2.01345,2.23378
