"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",0.02609375,"Down",1328207,-144076,1184131,-767557,-703734,-63823,416574,-66151,-67407,1256,350423,348087,-46348,301739,301739,301739,301739,220258,220258,145700,21572,21572,387530,6281859,189308,180808,8500,6471167,6858697,331957,87477,226932,558889,3569851,3569851,4128740,4868112,-3250,-2134905,2729957,2729957,6858697,301739,63695,2463.99999999999,150941,518839,-98011,-98011,-358179.000000001,-360019,60809,60809,60809,480269,3796783,579547,0.89153,0.31364,0.22718,0.11053,0.04399,1.92069,0.69339,1.51238,0.55357,0.00407,0.00407,0.01792,0.03684,0.00782,0.04623,0.0888,7.44692,8.58557
"12","2014_Q1",0.0236065573770492,"Down",1300983,-154673,1146310,-848613,-751881,-96732,297697,-45394,-47785,2391,252303,249602,-4204.00000000001,245398,245398,245398,245398,313529,313529,146972,68995,68995,540371,6246672,188053,179553,8500,6434725,6975096,112532,112532,106757,390840,3608901,3608901,3999741,4868112,-3250,-1889507,2975355,2975355,6975096,245398,101029,-1596,-107444,237387,-67240,-67240,-81126,-76876,93271,93271,93271,398726,3715658,228246,0.88111,0.22882,0.18863,0.08248,0.03518,0.93011,1.38259,1.34429,0.5327,0.00332,0.00332,0.01759,0.04022,0.00309,0.03668,0.03411,8.53250000000001,11.42816
"13","2014_Q2",0.0293650793650794,"Up",560642,-85299,475343,-648516,-571206,-77310,-173173,-52195,-56073,3878,-225368,-227970,0,-227970,-227970,-227970,-227970,103430,103430,157522,105389,105389,390316,6192966,185451,176951,8500,6378417,6768733,150601,24098,281570,432171,3586052,3586052,4018223,4871237,-3250,-2117477,2750510,2750510,6768733,-227970,77310,5727,-193526,-338459,-23604,-23604,151964,151964,-210099,-210099,-210099,-95863,3867622,-312993,0.84785,-0.30888,-0.40662,-0.08288,-0.03368,1.37296,0.90315,1.4609,0.5714,-0.00308,-0.00308,0.00756,0.03711,-0.00422,-0.03445,-0.04729,-39.26637,-21.7366
"14","2014_Q3",0.0596875,"Up",557148,-95075,462073,-661752,-587611,-74141,-199679,-54073,-55452,1379,-253752,-256354,0,-256354,-256354,-256354,-256354,193725,193725,172872,74475,74475,441072,6211253,182849,174349,8500,6394102,6835174,278675,116819,508357,787032,3553986,3553986,4341018,4871237,-3250,-2373831,2494156,2494156,6835174,-256354,78105,-1362,167613,-11998,-92428,-92428,194721,194721,90295,90295,90295,-121574,4062343,-46389,0.82935,-0.35839,-0.46012,-0.10278,-0.03751,0.18096,0.56042,1.74048,0.59433,-0.00345,-0.00345,0.00751,0.0336,-0.00062,-0.0391,-0.00708000000000002,-31.8211,-19.37419
"15","2014_Q4",0.04140625,"Down",1465626,-159207,1306419,-836342,-758237,-78105,470077,-45723,-47802,2079,424354,421752,-7455,414297,414297,414297,414297,305190,305190,160552,56574,56574,522316,6175286,180248,171748,8500,6355534,6877850,337126,84177,110133,447259,3522138,3522138,3969397,4871237,-3250,-1959534,2908453,2908453,6877850,414297,78105,2602,88672.0000000001,583676,-42139,-42139,-430072,-430072,111465,111465,111465,548182,3632271,602170,0.89137,0.32073,0.28268,0.14245,0.06024,1.45347,1.16782,1.36478,0.52811,0.00558,0.00558,0.01974,0.03918,0.00811,0.06334,0.09206,6.0693,7.07774
"16","2015_Q1",0.0470491803278689,"Up",1426421,-161169,1265252,-840375,-742809,-97566,424877,-50207,-50637,430,374670,67739.9999999999,-5295,62444.9999999999,62444.9999999999,62444.9999999999,62444.9999999999,661842,661842,136334,87899,87899,886075,6117869,177570,169070,8500,6295439,7181514,422851,118523,102739,718632,3491984,3491984,4210616,4871237,-3250,-1897089,2970898,2970898,7181514,62445,85435,14733,271660,434273,-40073,-40073,-37548,-37548,356652,356652,356652,510312,3594723,747194,0.88701,0.29786,0.04378,0.02102,0.00870000000000001,11.96563,1.233,1.41729,0.50055,0.000840000000000001,0.000840000000000001,0.01921,0.04002,0.01007,0.00950999999999998,0.1138,5.74723,6.90289
"17","2015_Q2",0.0579365079365079,"Up",646042,-70847,575195,-646854,-565604,-81250,-71659,-50894,-52960,2066,-122553,-125155,0,-125155,-125155,-125155,-125155,326086,326086,151784,121020,121020,620540,6100175,174967,166467,8500,6275142,6895682,356263,51935,104258,582949,3462340,3462340,4045289,4875887,-3250,-2022244,2850393,2850393,6895682,-125155,81250,7252,-207423,-244076,-63555,-63555,-28125,-28125.0000000001,-335756,-335756,-335756,9591,3566598,-261387,0.89034,-0.11092,-0.19373,-0.04391,-0.01815,2.08851,1.06448,1.4192,0.51722,-0.00169,-0.00169,0.0087,0.03839,-0.00352,-0.0195,-0.04073,337.87009,-45.22128
"18","2015_Q3",0.05421875,"Down",583000,-95187,487813,-656584,-575334,-81250,-168771,-55656,-57027,1371,-224427,-227029,0,-227029,-227029,-227029,-227029,283236,283236,160994,541670,85178,985900,6125631,172365,163865,8500,6297996,7283896,373352,69024,655679,1225949,3434583,3434583,4660532,4875887,-3250,-2249273,2623364,2623364,7283896,-227029,81250,2602,139861,-3316,-106706,-563198,523664,523664,-42850,-42850,-42850,-87521,4090262,-54366,0.83673,-0.28949,-0.38942,-0.08654,-0.03117,0.23947,0.80419,1.77655,0.56155,-0.00305,-0.00305,0.00784,0.03527,-0.00073,-0.03382,-0.0081,-43.4984299999999,-22.55735
"19","2015_Q4",0.04921875,"Down",1619751,-157121,1462630,-832198,-758292,-73906,630432,-53555,-56096,2541,576877,574275,-22000,552275,552275,552275,552275,251495,251495,178634,509315,52823,939444,6293885,169763,161263,8500,6463648,7403092,408715,104387,140477,816877,3410576,3410576,4227453,4875887,-3250,-1696998,3175639,3175639,7403092,552275,81250,-4742,120845,749628,-242160,-242160,-539209,-539209,-31741,-31741,-31741,711682,3551053,612367,0.903,0.38922,0.34096,0.17391,0.0746,1.10881,1.15004,1.33121,0.47967,0.00742,0.00742,0.02177,0.04269,0.00823,0.0821,0.09104,4.63628,5.2338
"20","2016_Q1",0.0780327868852459,"Up",1530363,-208330,1322033,-818613,-718059,-100554,503420,-47810,-50267,2457,455610,453008,-28500,424508,424508,424508,424508,563096,563096,139324,544125,87633,1246545,6362790,167161,158661,8500,6529951,7776496,445732,141404,108762,801943,3374406,3374406,4176349,4875887,-3250,-1272490,3600147,3600147,7776496,424508,82649,20507,21281,548945,-169459,-169459,-67885,-67885,311601,311601,311601,586069,3483168,466391,0.86387,0.32895,0.27739,0.11791,0.05459,1.09866,1.55441,1.16005,0.44791,0.00571,0.00571,0.02058,0.0484,0.00627,0.05993,0.06584,4.98246999999975,5.80047
"21","2016_Q2",0.079375,"Up",772612,-99621,672991,-757648,-672248,-85400,-84657,-52507,-54603,2096,-137164,-137164,0,-137164,-137164,-137164,-137164,151829,151829,148723,566101,109609,866653,6413504,168159,159659,8500,6581663,7448316,371460,67132,110221,631164,3345919,3345919,3977083,4884137,-3250,-1409654,3471233,3471233,7448316,-137164,85400,10852,-203613,-244525,-139714,-139714,-27028,-27028,-411267,-411267,-411267,743,3456140,-342584,0.87106,-0.10957,-0.17753,-0.03951,-0.01842,2.49762,1.3731,1.14573,0.46402,-0.00184,-0.00184,0.01038,0.04665,-0.0046,-0.0198,-0.04945,4447.25572,-39.03175
"22","2016_Q3",0.09328125,"Up",883852,-108316,775536,-656086,-570886,-85200,119450,-54702,-56628,1926,64748.0000000001,64748,-5400,59348,59348,59348,59348,387378,387378,138474,523103,66611,1048955,6403891,165356,156856,8500,6569247,7618202,375579,71251,232587,774223,3313398,3313398,4087621,4884137,-3250,-1350306,3530581,3530581,7618202,59348,85200,2602,73940,221090,-75386,-75386,89845,89845,235549,235549,235549,204650,3545985,208604,0.87745,0.13515,0.06715,0.01681,0.00779,3.51493,1.35485,1.15778,0.46546,8e-04,8e-04,0.01186,0.04737,0.0028,0.00839000000000001,0.02948,15.4341899999981,26.44292
"23","2016_Q4",0.0995238095238095,"Up",1819140,-182141,1636999,-805084,-717261,-87823,831915,-50166,-52144,1978,781749,781749,-50100,731649,731649,731649,731649,1191745,1191745,135424,498247,41755,1825416,6378210,162554,154054,8500,6540764,8366180,413638,109310,113588,823754,3280196,3280196,4103950,4884137,-3250,-618657,4262230,4262230,8366180,731649,85200,5225,196436,1018510,-61942,-61942,-152201,-152201,804367,804367,804367,917115,3393784,1101709,0.89988,0.45731,0.40219,0.17166,0.08745,1.50579,2.21597,0.96286,0.40566,0.00982,0.00982,0.02441,0.05719,0.01478,0.09557,0.1439,2.40105,2.64695
"24","2017_Q1",0.123387096774194,"Up",1550831,-152858,1397973,-780615,-685153,-95462,617358,-47770,-51120,3350,569588,501500,746224,1247724,1247724,1247724,1247724,1482777,1482777,107573,544252,87760,2134602,6432897,788624,3000,8500,7221521,9356123,396522,24106,104652,732566,3113603,3113603,3846169,4884137,-3250,629067,5509954,5509954,9356123,1247724,86208,11856,-877530,468258,-149949,-149949,-27277,-27277,291032,291032,291032,703566,3218255,-1070137,0.90143,0.39808,0.80455,0.22645,0.13336,-0.85767,2.91387,0.69804,0.34397,0.01674,0.01674,0.02081,0.07393,-0.01436,0.14295,-0.12261,2.46668999999992,2.81114
"25","2017_Q2",0.163968253968254,"Up",999430,-106344,893086,-836166,-746766,-89400,56920,-48393,-50224,1831,8527,8527,-3300,5227,5227,5227,5227,1394449,1394449,124173,165841,165841,1684463,6484550,789123,2800,9199,7273673,8958136,21221,21221,106319,343086,3083669,3083669,3426755,4900337,-3250,634294,5531381,5531381,8958136,5227,89400,18802,-485828,-372399,-141552,314940,-30869,-30869,-88328,-88328,-88328,146320,3189988,-477760,0.8936,0.05695,0.00523,0.00094,0.00058,-91.40233,4.90974,0.61951,0.3561,7e-05,7e-05,0.01341,0.07419,-0.00641,6e-04,-0.05478,12.27132,31.54496
"26","2017_Q3",0.228412698412698,"Up",1219858,-144750,1075108,-760924,-671733,-89191,314184,-47968,-50796,2828,266216,266216,-100700,165516,165516,165516,165516,1539742,1539742,129323,101560,101560,1770625,6589991,713423,2600,9199,7303414,9074039,9376.99999999997,9377,118363,333215,3043927,3043927,3377142,4900337,-3250,799810,5696897,5696897,9074039,165516,89500,2293,112716,370025,-194432,-194432,-30300,-30300,145293,145293,145293,403684,3162290,422668,0.88134,0.25756,0.13568,0.02905,0.01824,2.55364,5.31376,0.5928,0.3485,0.00222,0.00222,0.01633,0.07628,0.00566,0.01868,0.04771,4.01934999999999,5.16432
"27","2017_Q4",0.233225806451613,"Up",2114503,-189151,1925352,-897813,-808363,-89450,1027539,32673,-49799,82472,1060212,1060212,-406000,654212,654212,654212,654212,2785664,2785664,133573,34066,34066,2953303,6555394,387004,2400,9199,6942398,9895701,42330,42330,120113,518208,3026384,3026384,3544592,4900337,-3250,1454022,6351109,6351109,9895701,654212,89450,2602,572706,1318970,-54653,-54653,-18395,-18395,1245922,1245922,1245922,1116989,3146497,2041042,0.91055,0.48595,0.30939,0.10301,0.06611,3.11985,5.69907,0.55811,0.31797,0.00876,0.00876,0.02832,0.08507,0.02734,0.06888,0.2149,0.32304,0.35116
"28","2018_Q1",0.228524590163934,"Down",1904473,-167742,1736731,-990535,-854766,-135769,746196,-45197,-49439,4242,700999,700999,-265300,435699,435699,435699,435699,3204043,3204043,157320,309626,309626,3670989,6464850,171754,2200,9199,6636604,10307593,137717,137717,111496,530368,2990417,2990417,3520785,4900337,-3250,1889721,6786808,6786808,10307593,435699,117715,20657,-63480,510591,-45025,-45025,-47187,-47187,418379,418379,418379,863911,3101913,1020706,0.91192,0.39181,0.22878,0.0642,0.04227,2.34269,6.92159,0.51877,0.30093,0.00583,0.00583,0.0255,0.09087,0.01367,0.04406,0.10322,-0.11822,-0.13687
"29","2018_Q2",0.17953125,"Down",996351,-111085,885266,-916763,-820032,-96731,-31497,-43930,-47860,3930,-75427,-87922,-46955,-134877,-134877,-134877,-134877,2692281,2692281,236069,259621,259621,3187971,6506588,104699,2000,9199,6611287,9799258,66864,66864,91791,454685,2692642,2692642,3147327,4900337,-3250,1754844,6651931,6651931,9799258,-134877,97450,14213,-17866.9999999999,-41081,-138269,-138269,-332412,-332412,-511762,-511762,-511762,65953,2784433,-43228,0.88851,-0.03161,-0.13537,-0.02028,-0.01376,0.3205,7.01138,0.47314,0.28415,-0.00181,-0.00181,0.01334,0.08908,-0.000579999999999999,-0.01429,-0.00458,1.39724,-2.92574
"30","2018_Q3",0.152063492063492,"Down",944098,-122638,821460,-815145,-695173,-119972,6315,-46732,-51656,4924,-40417,-40416.9999999999,5757,-34660,-34660,-34660,-34660,2377929,2377929,235870,216405,216405,2830204,6704625,105726,1800,10426,6810351,9640555,38871,38871,92373,347499,2664285,2664285,3011784,4911837,-3250,1720184,6628771,6628771,9640555,-34660,93950,39959,-64353,34896,-319036,-319036,-30212,-30212,-314352,-314352,-314352,100265,2756658,-288881,0.8701,0.00669,-0.03671,-0.00523,-0.0036,8.33471,8.1445,0.45435,0.28594,-0.00046,-0.00046,0.01264,0.08872,-0.00387,-0.00369,-0.03078,3.77728,59.97292
"31","2018_Q4",0.1505,"Down",2042964,-213506,1829458,-936477,-839027,-97450,892981,-47559,-52497,4938,845422,845422,-215823,629599,629599,629599,629599,3186874,3186874,222058,156771,156771,3565703,6694802,13650,1600,12050,6708452,10274155,21240,21240,94287,379944,2635841,2635841,3015785,4911837,-3250,2349783,7258370,7258370,10274155,629599,97450,2437,197477,926963,-89051.0000000001,-89051,-28966.9999999999,-28967,808945,808945,808945,990431,2730128,1314680,0.89549,0.4371,0.30818,0.08674,0.06128,2.08812,9.38481,0.41549,0.26573,0.00843,0.00843,0.02734,0.09714,0.01759,0.06303,0.13162,-0.46116,-0.51148
"32","2019_Q1",0.169298245614035,"Up",2063345,-225548,1837797,-994848,-851102,-143746,842949,-19403,-25815,6412,823546,705509,-154379,551130,551130,551130,551130,2674260,2674260,240004,131856,131856,3046120,6614835,13450,1400,12050,6628285,9674405,92237,92237,195198,506878,1358027,1358027,1864905,4911837,-3250,2900913,7809500,7809500,9674405,551130,136797,125546,32992,846465,-63579,-63579,-1279820,-1295500,-512614,-512614,-512614,979746,1553225,1103538,0.89069,0.40854,0.26711,0.07057,0.05697,2.00232,6.00957,0.2388,0.16055,0.00738,0.00738,0.02761,0.10452,0.01477,0.05886,0.11787,-1.14421,-1.3299
"33","2019_Q2",0.145166666666667,"Down",1016699,-117333,899366,-897731,-782532,-115199,1635,-12618,-19598,6980,-10983,-10983,-4500,-15483,-15483,-15483,-15483,2418860,2418860,273904,150697,150697,2843461,6689898,13250,1200,12050,6703148,9546609,16309,16309,198378,445576,1307016,1307016,1752592,4911837,-3250,2885430,7794017,7794017,9546609,-15483,115199,560,-117223,-16947,-190062,-190062,-48391.0000000005,-48391,-255400,-255400,-255400,116834,1505394,-185951,0.88459,0.00161,-0.01523,-0.00199,-0.00162,12.01001,6.38154,0.22486,0.15769,-0.00021,-0.00021,0.01361,0.10431,-0.00249,-0.00166,-0.02,-7.81849,-558.6948
"34","2019_Q3",0.15703125,"Up",1004022,-132629,871393,-896715,-781516,-115199,-25322,-10685,-19223,8538,-36007,-36007,1800,-34207,-34207,-34207,-34207,2372250,2372250,278684,233655,233655,2884589,6683429,13050,1000,12050,6696479,9581068,26875,26875,199078,545093,1257665,1257665,1802758,4930337,-3250,2851223,7778310,7778310,9581068,-34207,115199,19060,11079,111131,-108530,-108530,-49211,-49211,-46610,-46610,-46610,89877,1456743,-9374,0.8679,-0.02522,-0.03407,-0.0044,-0.00357,0.27404,5.29192,0.23177,0.15204,-0.00046,-0.00046,0.01342,0.10398,-0.00013,-0.00370000000000001,-0.00102,-10.18622,36.15461
"35","2019_Q4",0.180625,"Up",2136461,-198006,1938455,-1087992,-886002,-201990,850463,-12968,-18811,5843,837495,837495,-218800,618695,618695,618695,618695,3246201,3246201,263604,124687,124687,3634492,6631447,12850,800,12050,6644297,10278789,57315,57315,201906,675815,1205969,1205969,1881784,4930337,-3250,3469918,8397005,8397005,10278789,618695,115199,68128,251942,1053964,-130585,-130585,-49427.9999999999,-49428,873951,873951,873951,965662,1407875,1305819,0.90732,0.39807,0.28959,0.07368,0.06019,2.1106,5.37794,0.2241,0.13697,0.00827,0.00827,0.02855,0.11223,0.01745,0.0631,0.13318,-1.9037,-2.16156
"36","2020_Q1",0.193064516129032,"Up",2027072,-225699,1801373,-1083812,-949095,-134717,717561,-12628,-18371,5743,704933,704933,-177400,527533,527533,527533,527533,3787815,3787815,195201,147529,147529,4130545,6620405,12386,600,11786,6632791,10763336,96270,96270,204355,684785,1154013,1154013,1838798,4930337,-3250,3997451,8924538,8924538,10763336,527533,108371,22024,52082,710010,-118329,-118329,-50067,-50067,541614,541614,541614,825932,1358368,937085,0.88866,0.35399,0.26024,0.05911,0.04901,1.77635,6.03189,0.20604,0.1262,0.00705,0.00705,0.02709,0.11928,0.01252,0.0513,0.09113,-2.94145999999999,-3.38570000000003
"37","2020_Q2",0.167936507936508,"Down",995485,-126860,868625,-968717,-851217,-117500,-100092,-9759,-17721,7962,-109851,-109851,20700,-89151,-89151,-89151,-89151,3547549,3547549,223201,222352,222352,3993102,6645420,12186,400,11786,6657606,10650708,41353,41353,207055,714343,1100978,1100978,1815321,4930337,-3250,3908300,8835387,8835387,10650708,-89151,117500,560,-75965,-47056,-142315,-142315,-50895.0000000001,-50894.9999999999,-240266,-240266,-240266,17408,1308033,-221572,0.87256,-0.10055,-0.08956,-0.01009,-0.00837,2.48536,5.58989,0.20546,0.12281,-0.00119,-0.00119,0.0133,0.11809,-0.00296,-0.00879,-0.02184,-128.64867,22.37458
