"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q2",1.06174603174603,"Down",11584000,-5384000,6200000,-13007000,-9724000,-3283000,-6807000,-1476000,-790000,-686000,-8283000,2391000,-5892000,283000,-5609000,-5609000,-5562000,-5562000,12187000,12187000,3378000,3378000,6048000,1463000,1463000,23076000,2768000,54478000,32920000,12005000,9553000,57246000,80322000,12605000,3475000,9130000,46540000,18922000,12228000,18922000,65462000,236143000,-218115000,14633000,14860000,80322000,-5609000,934000,-1341000,-725000,-6741000,-68000,-68000,-68000,11087000,44000,44000,11131000,4322000,4322000,4339000,-5873000,32386000,-6949000,0.53522,-0.58762,-0.48015,-0.37429,-0.06925,1.24937,0.49583,4.40525,0.4032,-0.26059,-0.26059,0.54273,0.68559,-0.32557,-0.08406,-0.10502,-3.4393,-2.96739
"12","2017_Q3",2.10031746031746,"Up",12046000,-5189000,6857000,-10520000,-7402000,-3118000,-3663000,-1879000,-1691000,-188000,-5542000,1131000,-4411000,376000,-4035000,-4035000,-3968000,-3968000,9104000,9104000,3005000,3005000,6343000,1457000,1457000,19909000,2528000,55301000,33743000,12005000,9553000,57829000,77738000,12303000,3599000,8704000,47232000,18520000,11876000,18520000,65752000,236638000,-222083000,11831000,11986000,77738000,-4035000,887000,644000,-692000,-3196000,-26000,-26000,-26000,220000,-2.3283064365387e-10,-2.3283064365387e-10,219999.999999998,-3002000,-3002000,-3083000,-2776000,33890000,-3870000,0.56923,-0.30408,-0.3294,-0.331049999999999,-0.05104,0.9753,0.42152,5.48573000000001,0.43595,-0.18531,-0.18531,0.56257,0.55253,-0.18074,-0.06162,-0.0601,-8.92867,-6.76658
"13","2017_Q4",6.23444444444444,"Up",12191000,-5209000,6982000,-10252000,-7293000,-2959000,-3270000,-2002000,-1685000,-317000,-5272000,-9193000,-14465000,178000,-14287000,-14287000,-14268000,-14268000,5976000,5976000,3270000,3270000,6170000,1530000,1530000,16946000,2281000,55866000,34307000,12005000,9554000,58147000,75093000,12038000,3396000,8642000,28447000,25647000,18957000,46821000,75268000,238238000,-236351000,-311000,-175000,75093000,-14287000,919000,10785000,363000,-2220000,-6000,-6000,-975000,24000,49000,49000,108000,-3087000,-3087000,-3127000,-2351000,36174000,-2172000,0.57272,-0.26823,-1.17037,81.53143,-0.19,0.15223,0.5957,-430.10286,0.48172,-0.63338,-0.63338,0.54118,-0.01381,-0.09642,-0.23145,-0.03523,-12.84475,-9.23486
"14","2018_Q1",6.16377049180328,"Down",12503000,-5589000,6914000,-10330000,-7302000,-3028000,-3416000,-1996000,-1697000,-299000,-5412000,-27089000,-32501000,872000,-31629000,-31629000,-31671000,-31671000,16895000,16895000,2991000,2991000,5529000,1352000,1352000,26767000,2075000,54723000,33139000,12005000,9579000,56798000,83565000,12139000,3391000,8748000,42499000,28682000,23019000,47020000,89519000,264233000,-268022000,-6134000,-5954000,83565000,-31629000,987000,28570000,-78000,-2150000,-86000,-86000.0000000001,-5036000,-1625000,18591000,18591000,17920000,10734000,10734000,10944000,-2429000,34059000,-3465000,0.55299,-0.27321,-2.53307,5.31928000000001,-0.379,0.10941,0.62983,-15.0351,0.40757,-1.12921,-1.12921,0.44579,-0.2187,-0.12354,-0.55772,-0.06102,-7.06628,-5.02459
"15","2018_Q2",11.4671875,"Up",14053000,-6384000,7669000,-12760000,-9392000,-3368000,-5091000,-5504000,-2695000,-2809000,-10595000,1177000,-9418000,424000,-8994000,-8994000,-8969000,-8969000,18695000,18695000,6536000,6536000,5011000,2455000,2455000,32697000,2055000,44200000,31989000,12005000,206000,46255000,78952000,12368000,4269000,8099000,12868000,22962000,17826000,32691000,45559000,309933000,-274058000,33393000,33393000,78952000,-8994000,1039000,4583000,-1146000,-4518000,-62000,-62000,-754000,-1858000,112000,112000,-2318000,-7590000,-7590000,-7573000,-4052000,10190000,-5684000,0.54572,-0.36227,-0.63823,-0.26859,-0.1136,0.63374,2.54095,1.36433,0.12907,-0.30285,-0.30285,0.47452,1.12755,-0.19193,-0.13478,-0.08542,2.09896,1.6706
"16","2018_Q3",18.7128571428571,"Up",17823000,-7207000,10616000,-14952000,-11456000,-3496000,-4336000,-466000,-424000,-42000,-4802000,-9641000,-14443000,381000,-14062000,-14062000,-14062000,-14062000,16246000,16246000,8072000,8072000,4666000,1593000,1593000,30577000,2360000,46942000,34760000,12005000,177000.000000001,49302000,79879000,13759000,3480000,10279000,13798000,23792000,19388000,37129000,50927000,321180000,-288120000,28952000,28952000,79879000,-14062000,986000,12225000,-1035000,-1886000,-5601000,-5601000,-5601000,4114000,98999.9999999981,98999.9999999981,5076000,-2411000,-2411000,-2478000,-3350000,13337000,-10367000,0.59563,-0.24328,-0.78898,-0.485700000000002,-0.17604,0.73724,2.21605,1.75900999999999,0.16697,-0.39556,-0.39556,0.50135,0.81441,-0.29162,-0.2128,-0.15688,0.868359999999999,0.67089
"17","2018_Q4",25.6926984126984,"Up",21184000,-8887000,12297000,-15016000,-11148000,-3868000,-2719000,-448000,-408000,-40000,-3167000,-17093000,-20260000,290000,-19970000,-19970000,-19970000,-19970000,26202000,26202000,9641000,9641000,4621000,1479000,1479000,41943000,3022000,46481000,34284000,12005000,192000,49503000,91446000,15411000,2676000,12735000,15450000,18224000,14076000,31608000,47058000,356466000,-308090000,44388000,44388000,91446000,-19970000,1014000,19045000,310000,399000,-614000,-614000,-614000,-48000,410000,410000,10198000,9983000,9983000,9971000,-1705000,13384000,-2299000,0.58049,-0.12835,-0.94269,-0.4499,-0.21838,0.11512,2.71476,1.06015,0.14636,-0.53749,-0.53749,0.57016,1.19469,-0.06188,-0.26278,-0.03025,7.51789,4.71423
"18","2019_Q1",29.1339344262295,"Up",23509000,-10509000,1.3e+07,-16432000,-12650000,-3782000,-3432000,2539000,-174000,2713000,-893000,-3201000,-4094000,339000,-3755000,-3755000,-3755000,-3755000,64616000,64616000,9760000,9760000,4943000,1795000,1795000,81114000,4134000,45449000,33252000,12005000,192000,49583000,130697000,19504000,4711000,14793000,19504000,15265000,12297000,15265000,34769000,412051000,-311845000,95928000,95928000,130697000,-3755000,1176000,3577000,1e+06,1998000,-960000,-960000,-960000,-16692000,54056000,54056000,37312000,38350000,38350000,38414000,-2256000,0,-2555000,0.55298,-0.14599,-0.15973,-0.0391400000000002,-0.02873,0.68043,4.15884,0.36245,0,-0.0933200000000001,-0.09332,0.58427,2.38412,-0.0635,-0.03377,-0.02298,28.64184,18.82751
"19","2019_Q2",32.008253968254,"Up",25982000,-9733000,16249000,-21645000,-16031000,-5614000,-5396000,268000,342000,-74000,-5128000,-3009000,-8137000,606000,-7531000,-7531000,-7531000,-7531000,57432000,57432000,12525000,12525000,5177000,2444000,2444000,77578000,3820000,46461000,31759000,12005000,2697000,50281000,127859000,16370000,3859000,12511000,16370000,15867000,13296000,15867000,32237000,4.2e+08,-319376000,95622000,95622000,127859000,-7531000,1161000,9434000,-8931000,-5867000,-543000,-543000,-543000,-42000,1706000,1706000,-688000,-7098000,-7098000,-7185000,-4235000,0,-14315000,0.62539,-0.20768,-0.28985,-0.07876,-0.0589,1.90081,4.73903,0.33713,0,-0.18098,-0.18098,0.6244,2.29798,-0.34402,-0.06755,-0.1284,13.56128,10.64344
"20","2019_Q3",27.6915625,"Down",31454000,-11512000,19942000,-26786000,-19156000,-7630000,-6844000,128000,3e+05,-172000,-6716000,-1351000,-8067000,220000,-7847000,-7847000,-7847000,-7847000,43469000,43469000,17052000,17052000,5341000,2462000,2462000,68324000,3508000,71075000,45604000,22559000,2912000,74583000,142907000,28620000,7380000,21240000,28620000,21121000,18811000,21121000,49741000,425460000,-327223000,93166000,93166000,142907000,-7847000,1219000,6322000,3882000,3576000,-1142000,-1142000,-17179000,-41999.9999999981,1404000,1404000,-272000,-13875000,-13875000,-13899000,-5625000,4.65661287307739e-10,-3105000,0.63401,-0.21759,-0.24948,-0.08423,-0.05491,0.39569,2.38728,0.5339,-3.46944695195361e-18,-0.18623,-0.18623,0.7465,2.21112,-0.07369,-0.06866,-0.02717,7.72782,6.3514
"21","2019_Q4",22.94140625,"Down",33811000,-11494000,22317000,-29064000,-20543000,-8521000,-6747000,-361000,37000,-398000,-7108000,4346000,-2762000,949000,-1813000,-1813000,-1813000,-1813000,40927000,40927000,19169000,19169000,5902000,2126000,2126000,68124000,3656000,73053000,45781000,23777000,3495000,76709000,144833000,30971000,5691000,25280000,30971000,16319000,14306000,16319000,47290000,432513000,-329036000,97543000,97543000,144833000,-1813000,1460000,2557000,-1599000,605000,-433000,-433000,-3515000,-44000,895000,895000,746000,-2164000,-2164000,-2546000,-5287000,0,-8268000,0.66005,-0.19955,-0.05362,-0.01859,-0.01252,4.5604,2.19961,0.48481,0,-0.04276,-0.04276,0.79744,2.30058,-0.195,-0.01592,-0.07261,7.74106,6.06596
"22","2020_Q1",22.4059677419355,"Down",35821000,-12716000,23105000,-28650000,-19704000,-8946000,-5545000,231000,306000,-74999.9999999999,-5314000,333000,-4981000,204000,-4777000,-4777000,-4777000,-4777000,38223000,38223000,24057000,24057000,6014000,3628000,3628000,71922000,4430000,75384000,45541000,23857000,5986000,79814000,151736000,34828000,5506000,29322000,34828000,17908000,15935000,17908000,52736000,438018000,-333813000,9.9e+07,9.9e+07,151736000,-4777000,1683000,5776000,-3765000,-1083000,-83000,-83000,-1342000,-43999.9999999999,413000.000000002,413000.000000002,81999.9999999981,-2343000,-2343000,-2699000,-3862000,2.91038304567337e-11,-7914000,0.64501,-0.1548,-0.13336,-0.04825,-0.03148,1.65669,2.06506,0.53269,0,-0.1125,-0.1125,0.84363,2.33158,-0.18638,-0.04086,-0.06769,9.8972,6.89324
"23","2020_Q2",28.4585714285714,"Up",38380000,-12392000,25988000,-31739000,-21726000,-10013000,-5751000,33000,96000,-63000,-5718000,-405000,-6123000,3e+05,-5823000,-5823000,-5823000,-5823000,32191000,32191000,22841000,22841000,6947000,4089000,4089000,66068000,5501000,85215000,43112000,23857000,18246000,90716000,156784000,28324000,6621000,21703000,28324000,27076000,25574000,27076000,55400000,447930000,-339636000,101384000,101384000,156784000,-5823000,1619000,5466000,-4317000,-3055000,-1704000,-1704000,-1704000,-45000,817000,817000,-735000,-5494000,-5494000,-6046000,-4132000,0,-10453000,0.67712,-0.14984,-0.15172,-0.05744,-0.03714,1.79512,2.33258,0.54644,0,-0.13598,-0.13598,0.89624,2.36749,-0.2441,-0.04533,-0.08137,7.79066,5.59746
"24","2020_Q3",33.76171875,"Up",41801000,-15025000,26776000,-37579000,-24450000,-13129000,-10803000,-234000,21000,-255000,-11037000,4149000,-6888000,330000,-6558000,-6558000,-6558000,-6558000,211409000,211409000,27111000,27111000,8741000,4286000,4286000,251547000,7313000,85882000,44356000,23857000,17669000,93195000,344742000,36446000,8675000,27771000,56942000,27033000,25720000,27033000,83975000,612275000,-346194000,260767000,260767000,344742000,-6558000,1630000,7801000,21225000,24098000,-3980000,-3980000,-3980000,-45000,160771000,160771000,158696000,178814000,178814000,179229000,-9173000,-1.81898940354586e-12,7742000,0.64056,-0.25844,-0.15689,-0.02515,-0.01902,-1.18054,4.4176,0.32203,0,-0.14669,-0.14669,0.93498,5.83266,0.17317,-0.02279,0.0269,23.04688,19.56947
"25","2020_Q4",57.9415625,"Up",53369000,-16815000,36554000,-39461000,-26987000,-12474000,-2907000,-225000,29000,-254000,-3132000,79000,-3053000,235000,-2818000,-2818000,-2818000,-2818000,213798000,213798000,30610000,30610000,9906000,4345000,4345000,258659000,10144000,84749000,43830000,23857000,17062000,94893000,353552000,41927000,9519000,32408000,62423000,22485000,21298000,22485000,84908000,622008000,-349012000,268644000,268644000,353552000,-2818000,1803000,7344000,-1122000,5207000,-986000,-986000,-4236000,90000,1736000,1736000,1224000,2195000,2195000,2396000,-1104000,0,-3447000,0.68493,-0.05447,-0.0528,-0.01049,-0.00797,1.22321,4.14365,0.31606,0,-0.05745,-0.05745,1.08808,5.47706,-0.07028,-0.00968,-0.01184,193.65761,73.54592
"26","2021_Q1",77.6444262295082,"Up",58644000,-18885000,39759000,-42826000,-29501000,-13325000,-3067000,-114000,125000,-239000,-3181000,-505000,-3686000,171000,-3515000,-3515000,-3515000,-3515000,224703000,134669000,34624000,34624000,10012000,3758000,3758000,273097000,10704000,84710000,44355000,23857000,16498000,95414000,368511000,48721000,9653000,39068000,69217000,21615000,20316000,21615000,90832000,632302000,-352527000,277679000,277679000,368511000,-3515000,1954000,7132000,1610000,7181000,-440000,-440000,-90474000,-183000,4537000,4537000,3964000,-79329000,-79329000,-79119000,-1113000,0,-113999.999999996,0.67797,-0.0523,-0.05994,-0.01266,-0.00954,0.0324300000000033,3.94552,0.32711,-1.6940658945086e-21,-0.07123,-0.07123,1.18841,5.62711,-0.00230999999999995,-0.01174,-0.000380000000000002,201.88949,73.26475
"27","2021_Q2",79.4887301587302,"Up",67400000,-21579000,45821000,-46679000,-30675000,-16004000,-858000,-119000,126000,-245000,-977000,27000,-950000,263000,-687000,-687000,-687000,-687000,374287000,309324000,43361000,43361000,13721000,7332000,7332000,438701000,11398000,91124000,45457000,26109000,19558000,102522000,541223000,45730000,11597000,34133000,45730000,23947000,23947000,23947000,69677000,828308000,-353214000,471546000,471546000,541223000,-687000,1950000,7153000,-42046000,-33630000,-1250000,-1250000,19079000,-34000,191575000,191575000,189228000,174677000,174677000,174654000,1092000,0,-42467000,0.67984,-0.01273,-0.01019,-0.00146,-0.00127,61.81514,9.59329,0.14776,0,-0.01342,-0.01342,1.31689,9.21228,-0.82974,-0.00139,-0.08571,-342.75366,436.23193
"28","2021_Q3",76.15109375,"Down",74188000,-23973000,50215000,-54957000,-35921000,-19036000,-4742000,2780000,1000,2779000,-1962000,-65000.0000000001,-2027000,1e+05,-1927000,-1927000,-1927000,-1927000,369942000,335625000,48066000,48066000,15060000,7928000,7928000,440996000,14219000,102200000,48432000,26051000,27717000,116419000,557415000,56255000,12563000,43692000,56255000,21317000,21317000,21317000,77572000,838140000,-355141000,479843000,479843000,557415000,-1927000,2152000,7552000,2011000.00000001,9788000,-2838000,-2838000,16213000,-29000,7048000,7048000,381000,26382000.0000001,26382000.0000001,26299999.9999999,-2590000,-7.105427357601e-15,-3517000,0.67686,-0.06392,-0.02597,-0.00402,-0.00346,1.82512,7.83923,0.16166,0,-0.03765,-0.03765,1.44952,9.37538,-0.06872,-0.00385,-0.00701999999999997,142.83475,78.01392
"29","2021_Q4",52.19703125,"Down",75589000,-24836000,50753000,-59480000,-40041000,-19439000,-8727000,-3420000,20000,-3440000,-12147000,88000,-12059000,162000,-11897000,-11897000,-11897000,-11897000,363281000,353082000,56181000,56181000,18800000,6413000,6413000,444675000,18719000,99778000,48367000,26051000,25360000,118497000,563172000,69736000,14894000,54842000,69736000,21289000,20611000,21289000,91025000,843226000,-367038000,472147000,472147000,563172000,-11897000,2199000,15077000,-4997000,382000,-3623000,-5621049.91048191,20202000,-3000,3295000,3295000,-3133000,17451000,17451000,17399000,-6528000,0,-15310000,0.67143,-0.11545,-0.15739,-0.0252,-0.02112,1.28688,6.37655,0.19279,0,-0.22864,-0.22864,1.45267,9.07274,-0.29423,-0.02411,-0.03103,55.64966,41.62725
"30","2022_Q1",38.9725806451613,"Down",79220000,-27001000,52219000,-67618000,-45572000,-22046000,-15399000,-1709000,13000,-1722000,-17108000,56000,-17052000,901000,-16151000,-16151000,-16151000,-16151000,348485000,348485000,59761000,59761000,17186000,7928000,7928000,433360000,22044000,111217000,50195000,36983000,24039000,133261000,566621000,77301000,13337000,63964000,77716000,23029000,23029000,23029000,100745000,853735000,-383189000,465876000,465876000,566621000,-16151000,2496000,13759000,4062000,4166000,-5848000,-8146059.03394303,-7782000.00000001,0,1855000,1855000,-834000.000000007,-4450000,-4450000,-4596000.00000001,-12903000,8.88178419700125e-16,-15590000,0.65916,-0.19438,-0.20388,-0.03467,-0.0285,0.965270000000002,5.5762,0.21625,-6.61744490042422e-24,-0.29568,-0.29568,1.45032,8.52902,-0.28541,-0.03304,-0.03189,27.00806,22.63037
