"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",12.1667741935484,"Up",155709000,-143638000,12071000,-8544000,-8544000,3527000,402000,402000,3929000,3929000,12000,3941000,3941000,3941000,3941000,81081000,80831000,18476000,18476000,69604000,6566000,4289000,175727000,20382000,38724000,36835000,68197000,243924000,38867000,24635000,14232000,18181000,18181000,57048000,72011000,4853000,72011000,129059000,54488000,-377411000,436582000,1206000,114865000,114865000,243924000,3941000,1196000,-117000,-4669000,351000,-350000,138000,-212000,-108000,-108000,0,-108000,31000,31000,31000,4723000,0,-308000,0.07752,0.02265,0.02531,0.03431,0.01616,-0.07815,3.08034,1.12357,0,0.13486,0.13466,5.3283,3.93064,-0.01054,5,0.02109,-0.00165,-17.16727,-22.98866
"12","2013_Q1",17.5048333333333,"Up",162533000,-146266000,16267000,-9681000,-9681000,6586000,32000.0000000002,32000,6618000,6568000,34340000,40908000,40908000,40908000,40908000,62683000,62683000,22726000,22726000,87094000,14565000,4509000,187068000,19978000,69952000,37563000,99004000,286072000,41933000,24920000,16665000,19085000,19085000,61018000,80363000,5228000,80363000,141381000,54384000,-383497000,477490000,-3686000,144691000,144691000,286072000,40908000,1086000,-35279000,-18349000,-11634000,-685000,182000,-203000,-6261000,-6261000,-50000.0000000001,-6311000,-18148000,-18148000,-18148000,7672000,9.09494701772928e-13,-45702000,0.10008,0.04052,0.25169,0.28273,0.143,-1.11719,3.06578,0.97712,0,1.40737,1.40582,5.59167,4.97784,-1.5723,5,0.18177,-0.20307,-8.17036000000016,-9.51760999999999
"13","2013_Q2",17.5478125,"Up",193554000,-172807000,20747000,-10773000,-10773000,9974000,614000,614000,10588000,10560000,-3169000,7391000,7391000,7391000,7391000,44325000,44075000,24643000,24643000,106363000,17903000,7818000,193234000,20127000,69587000,37208000,98537000,291771000,48458000,28536000,16520000,18263000,18263000,66721000,79502000,5076000,79502000,146223000,54853000,-390018000,484881000,-4168000,145548000,145548000,291771000,7391000,1147000,107000,-18968000,-10323000,-707000,1103000,396000,-7177000,-7177000,-1504000,-8681000,-18608000,-18608000,-18608000,11121000,0,-5385000,0.10719,0.05153,0.03819,0.05078,0.02533,-0.72859,2.89615,1.00464,0,0.26116,0.2606,6.83912,5.14286,-0.19028,5,0.03284,-0.02393,-3.9857,-4.44405
"14","2013_Q3",21.1403125,"Up",177166000,-159975000,17191000,-8319000,-8319000,8872000,-18999.9999999999,-19000,8853000,8853000,-2568000,6285000,6285000,6285000,6285000,26235000,26235000,26906000,26906000,123944000,17386000,6689000,194471000,20260000,68691000,37346000,97686000,292157000,44995000,26083000,17760000,19007000,19007000,64002000,75123000,5096000,75123000,139125000,55030000,-391081000,491166000,-2083000,153032000,153032000,292157000,6285000,1031000,-1186000,-21949000,-15819000,-1122000,22000,-850000,-1190000,-1190000,19000,-1171000,-17840000,-17840000,-17840000,9903000,0,-10600000,0.09703,0.05008,0.03548,0.04107,0.02151,-1.68656,3.03851,0.90912,0,0.22374,0.22288,6.30686,5.44772,-0.37735,5,0.02755,-0.04646,-2.6492,-2.95706
"15","2013_Q4",26.02140625,"Up",218199000,-197002000,21197000,-10949000,-10949000,10248000,144000,144000,10392000,10392000,-2731000,7661000,7661000,7661000,7661000,47027000,42422000,31421000,31421000,112951000,19649000,6718000,211048000,20158000,67280000,37363000,91823000,302871000,49609000,28398000,21211000,19877000,19877000,69486000,75285000,4931000,75285000,144771000,54848000,-393302000,498827000,-2273000,158100000,158100000,302871000,7661000,1012000,171000,10364000,19208000,-856000,571000,-285000,-2756000,-2756000,20000,-2736000,16187000,16187000,16187000,11260000,0,23499000,0.09715,0.04697,0.03511,0.04846,0.02529,3.06735,3.03727,0.91569,0,0.27369,0.27269,7.79505,5.64804,0.83949,7,0.03283,0.10069,-4.17647,-4.5889
"16","2014_Q1",23.5177049180328,"Down",214246000,-188750000,25496000,-10164000,-10164000,15332000,-43000,-42999.9999999999,15289000,15289000,-4673000,10616000,10616000,10616000,10616000,64277000,64277000,29145000,29145000,112541000,17887000,8277000,223850000,20266000,62921000,36044000,85295000,309145000,51530000,28142000,23388000,18824000,18824000,70354000,68062000,3988000,68062000,138416000,55222000,-394785000,509443000,849000,170729000,170729000,309145000,10616000,1574000,2936000,2046000,17172000,-1003000,130000,6177000,-1520000,-1595000,25999.9999999999,-1494000,21855000,21855000,21855000,16906000,-3.5527136788005e-15,22622000,0.119,0.07156,0.04955,0.06218,0.03434,2.13093,3.18177,0.81074,0,0.38028,0.37879,7.67467,6.11581,0.81036,7,0.04446,0.09474,-3.80202,-4.19234
"17","2014_Q2",21.9988888888889,"Down",222670000,-196708000,25962000,-9956000,-9956000,16006000,91000,91000,16097000,16097000,-4951000,11146000,11146000,11146000,11146000,49737000,49737000,42944000,42944000,122478000,16643000,8356000,231802000,21057000,62054000,35819000,83111000,314913000,46756000,27316000,16817000,20253000,20253000,67009000,67315000,3830000,67315000,134324000,56959000,-397323000,520589000,364000,180589000,180589000,314913000,11146000,984000,1471000,-25496000,-11895000,-1692000,153000,811000,-3481000,-5561000,25000,-3456000,-14540000,-14540000,-14540000,16990000,0,-5247000,0.11659,0.07188,0.05006,0.06172,0.03539,-0.47075,3.45927,0.74381,0,0.4002,0.39848,7.99505,6.48411,-0.1884,5,0.04496,-0.02117,-2.92743,-3.1074
"18","2014_Q3",21.89765625,"Down",228811000,-205966000,22845000,-9438000,-9438000,13407000,-73999.9999999999,-73999.9999999999,13333000,13962000,-4369000,9593000,9593000,9593000,9593000,16258000,16258000,69628000,69628000,124289000,17354000,8029000,227529000,20411000,61186000,35871000,81597000,309126000,48587000,28867000,19720000,21049000,21049000,69636000,63252000,3641000,63252000,132888000,57333000,-413167000,530182000,1890000,176238000,176238000,309126000,9593000,982000,-770000,-27440000,-17635000,312000,-258000,54000,-15923000,-15923000,25000,-15898000,-33479000,-33479000,-33479000,14389000,2.8421709430404e-14,-8370000,0.09984,0.05859,0.04193,0.05443,0.03103,-0.87251,3.2674,0.75403,-2.64697796016969e-23,0.34764,0.34602,8.29176,6.38659,-0.30332,6,0.04006,-0.03495,-1.12989,-1.21265
"19","2014_Q4",20.55765625,"Down",247747000,-221266000,26481000,-10892000,-10892000,15589000,735000,735000,16324000,16324000,-4939000,11385000,11385000,11385000,11385000,50490000,50490000,56333000,56333000,117735000,31333000,7121000,255891000,22665000,61778000,36010000,84443000,340334000,51716000,31229000,20487000,41681000,41681000,93397000,62447000,3228000,62447000,155844000,57298000,-415513000,541567000,1138000,184490000,184490000,340334000,11385000,996000,303000,27035000,39719000,-3222000,719000,-2503000,-2840000,-2840000,-144000,-2984000,34232000,34232000,34232000,16585000,0,45337000,0.10689,0.06292,0.04595,0.06171,0.03345,3.98217,2.73982,0.84473,0,0.41843,0.41674,9.10533,6.78048,1.66625,6,0.0461,0.1836,-3.04432,-3.23882
"20","2015_Q1",19.4483606557377,"Down",245935000,-217226000,28709000,-10431000,-10431000,18278000,15999.9999999998,16000.0000000001,18294000,18294000,-5365000,12929000,12929000,12929000,12929000,57804000,57804000,69699000,69699000,112848000,31342000,5723000,271693000,25135000,61474000,36217000,86609000,358302000,59013000,33111000,22975000,40706000,40706000,99719000,65835000,3024000,65835000,165554000,57560000,-417500000,554496000,-1808000,192748000,192748000,358302000,12929000,1035000,1549000,-2466000,13047000,-3451000,-279000,-3730000,-2016000,-2016000,13000,-2003000,7314000.00000001,7314000.00000001,7314000.00000001,19313000,2.27373675443232e-13,18761000,0.11673,0.07432,0.05257,0.06708,0.03608,1.45108,2.72459,0.85891,-4.2351647362715e-22,0.4777,0.47593,9.08683,7.12167,0.69318,6,0.05,0.07255,-2.99301,-3.16249
"21","2015_Q2",19.2966666666667,"Down",224403000,-200017000,24386000,-9944000,-9944000,14442000,7000,7000,14449000,14449000,-4554000,9895000,9895000,9895000,9895000,27803000,27803000,62801000,62801000,150753000,26272000,6520000,267629000,26295000,60643000,35324000,86938000,354567000,60549000,40298000,15780000,33745000,33745000,94294000,64542000,2905000,64542000,158836000,57372000,-421181000,561949000,-2409000,195731000,195731000,354567000,9895000,1061000,626000,-31204000,-19622000,-2293000,293000,-2e+06,-5950000,-5950000,13000,-8379000,-30001000,-30001000,-30001000,15503000,0,-13440000,0.10867,0.06436,0.04409,0.05055,0.02791,-1.35826,2.83824,0.8115,0,0.3669,0.36543,8.32078,7.25763,-0.49835,2,0.0474,-0.05164,-1.79339,-1.92515
"22","2015_Q3",19.26765625,"Down",234543000,-210285000,24258000,-12310000,-12310000,11948000,28000,28000,11976000,11976000,-3880000,8096000,8096000,8096000,8096000,7938000,7938000,75636000,75636000,149841000,18998000,8215000,252413000,28370000,60148000,35158000,88518000,340931000,52043000,34215000,17828000,24513000,24513000,76556000,62386000,2756000,62386000,138942000,57326000,-420874000,567604000,-2067000,201989000,201989000,340931000,8096000,1064000,7980000,-31570000,-14430000,-2818000,1000,-2817000,-190999.999999999,-191000,14000,-2618000,-19865000,-19865000,-19865000,13012000,0,-17496000,0.10343,0.05094,0.03452,0.04008,0.02375,-2.16107,3.2971,0.68787,0,0.3007,0.29965,8.7113,7.50219,-0.64983,4,0.03986,-0.06618,-0.61005,-0.66438
"23","2015_Q4",18.9459375,"Down",266510000,-238327000,28183000,-11603000,-11603000,16580000,0,0,16580000,16118000,-4616000,11502000,11502000,11502000,11502000,49215000,49215000,65198000,65198000,122575000,14547000,8450000,251535000,34646000,60564000,35172000,95210000,346745000,48701000,29547000,19154000,25452000,25452000,74153000,61830000,2619000,61830000,135983000,57653000,-420835000,576665000,-2721000,210762000,210762000,346745000,11502000,1159000,-3248000,43196000,52609000,-9020000,141000,-8879000,-25000,-25000,13000,-2453000,41277000,41277000,41277000,17739000,0,56531000,0.10575,0.06221,0.04316,0.05457,0.03317,4.91488,3.39211,0.6452,0,0.42708,0.42553,9.89566,7.82571,2.09903,6,0.05115,0.20738,-2.7744,-2.96834
"24","2016_Q1",17.3580327868852,"Down",251049000,-222996000,28053000,-11142000,-15215000,16911000,80000,80000,16991000,16991000,-5274000,11717000,11717000,11717000,11717000,70239000,70239000,66936000,66936000,112165000,16877000,6882000,266217000,37250000,58707000,35485000,95957000,362174000,55147000,33158000,19675000,26463000,26463000,81610000,59601000,2511000,59601000,141211000,57906000,-420610000,585941000,-2274000,220963000,220963000,362174000,11717000,1229000,-1249000,14929000,26626000,-2377000,-444000,-2821000,-353000,-353000,13000,-2781000,21024000,21024000,21024000,18140000,5.82076609134674e-11,35966000,0.11174,0.06736,0.04667,0.05303,0.03235,3.06956,3.26206,0.63907,0,0.43495,0.43271,9.31917,8.20235,1.33509,5,0.05046,0.12819,-3.87205,-4.15345
"25","2016_Q2",19.87796875,"Up",214223000,-188974000,25249000,-12490000,-13835000,12759000,135000,135000,12894000,12894000,-4336000,8558000,8558000,8558000,8558000,55721000,55721000,59312000,59312000,136364000,7083000,7083000,258480000,39094000,56758000,36358000,95852000,354332000,54815000,34949000,16707000,25427000,25427000,80242000,30279000,2410000,30279000,110521000,57315000,-419871000,591769000,14598000,243811000,243811000,354332000,8558000,1370000,620000,-18611000,-8063000,-3104000,75000,-3029000,-705000,-705000,9000,-3426000,-14518000,-14518000,-14518000,14129000,0,-3250000,0.11786,0.05956,0.03995,0.0351,0.02415,-0.37976,3.22126,0.45331,0,0.31724,0.31618,7.94124,9.03807,-0.12048,4,0.04118,-0.01186,-3.94373,-4.36719
"26","2016_Q3",21.6121875,"Up",225672000,-200396000,25276000,-11773000,-13366000,13503000,-18000,-18000,13485000,13485000,-4131000,9354000,9354000,9354000,9354000,36872000,36872000,70060000,70060000,134169000,13038000,13038000,254139000,50719000,55484000,35640000,106203000,360342000,56834000,41461000,15373000,27055000,27055000,83889000,28820000,2248000,28820000,112709000,57537000,-421919000,598399000,13616000,247633000,247633000,360342000,9354000,1393000,1551000,-13047000,-749000,-13243000,217000,-13026000,-2349000,-2349000,-2.91038304567337e-11,-5074000,-18849000,-18849000,-18849000,14896000,-9.31322574615479e-10,-7263000,0.112,0.05983,0.04145,0.03777,0.02596,-0.77646,3.02947,0.45515,0,0.34727,0.34625,8.37808,9.19338,-0.26964,4,0.04369,-0.02627,-2.4753,-2.73065
"27","2016_Q4",28.9895238095238,"Up",272077000,-241821000,30256000,-9663000,-11256000,20593000,77000,77000,20670000,20670000,-6232000,14438000,14438000,14438000,14438000,71253000,71253000,65474000,65474000,130136000,6670000,6670000,273533000,52799000,53705000,35759000,106504000,380037000,65374000,47748000,17626000,27424000,27424000,92798000,28321000,2333000,28321000,121119000,58061000,-421894000,610118000,12633000,258918000,258918000,380037000,14438000,1480000,2964000,21671000,40553000,-3560000,79000,-3481000,-4000,-4000,31000,-2691000,34381000,34381000,34381000,22073000,0,46416000,0.1112,0.07569,0.05307,0.05576,0.03799,3.21485,2.94762,0.46779,0,0.53689,0.53466,10.1174,9.62807,1.72602,6,0.05973,0.16159,-3.22806,-3.46006
"28","2017_Q1",29.8083870967742,"Up",263254000,-231386000,31868000,-12982000,-14575000,18886000,263000,263000,19149000,19149000,-6003000,13146000,13146000,13146000,13146000,85583000,85583000,66184000,66184000,122522000,6300000,6300000,280589000,55931000,54198000,34217000,110129000,390718000,63852000,44134000,19699000,29097000,29097000,92949000,29410000,2461000,29410000,122359000,58605000,-421767000,620546000,10975000,268359000,268359000,390718000,13146000,1502000,609000,5748000,21005000,-4626000,770000,-3856000,-7999.99999999977,-8000,-93000.0000000005,-2819000.00000001,14330000,14330000,14330000,20388000,0,27513000,0.12105,0.07174,0.04994,0.04899,0.03365,2.09288,3.01874,0.45595,-1.38777878078145e-17,0.48877,0.48606,9.78785,9.97765,1.02294,7,0.05328,0.0924,-4.19771,-4.53156
"29","2017_Q2",26.277619047619,"Down",245308000,-216433000,28875000,-5014000,-15776000,23861000,-1041000,87000,22820000,17358000,-5620000,11738000,11738000,11738000,11738000,25584000,25584000,81762000,81762000,155446000,10561000,10561000,273353000,66703000,542639000,32674000,609342000,882695000,76304000,50971000,21792000,44585000,44585000,128467000,22027000,2066000,356769000,485236000,104829000,-343421000,629099000,6952000,397459000,397459000,882695000,11738000,3631000,-686000,-14833000,-150000,-3562000,901000,-397496000,-1318000,-1318000,-10850000,337647000,-59999000,-59999000,-59999000,27492000,342320000,14717000,0.11771,0.09727,0.04785,0.02953,0.0133,1.25379,2.12781,1.22085,0.38781,0.42168,0.41968,8.81262,14.2786,0.5287,1,0.01959,0.01932,11.52102,13.27421
"30","2017_Q3",34.5807936507937,"Up",370510000,-321194000,49316000,-20477000,-22093000,28839000,-5182000,-4000,23657000,23194000,-7916000,15278000,15278000,15278000,15278000,10931000,10931000,120498000,120498000,148456000,13943000,13943000,293828000,67858000,533035000,32757000,600893000,894721000,90653000,66873000,23780000,49733000,49733000,151687000,22255000,2885000,340419000,492106000,105093000,-342770000,641192000,-9e+05,402615000,402615000,894721000,15278000,12215000,9713000,-31914000,5292000,-3311000,-281000,-3451000.00000006,-46999.9999999998,-46999.9999999998,-262000,-16494000.0000001,-14653000,-14653000,-14653000,41054000,329465000,13745000,0.1331,0.07784,0.04124,0.03795,0.01708,0.89966,1.93707,1.22227,0.36823,0.48383,0.48217,11.73354,12.75026,0.43529,3,0.02448,0.01822,7.7589,11.04525
"31","2017_Q4",47.3069841269841,"Up",476365000,-405561000,70804000,-35495000,-25335000,35309000,-5211000,54000,30098000,29649000,-10258000,19391000,19391000,19391000,19391000,24369000,24369000,120998000,120998000,144422000,8500000,8500000,298289000,68656000,523406000,32796000,592062000,890351000,115225000,79599000,26319000,50218000,50218000,177494000,21789000,2807000,296607000,474101000,105732000,-342745000,654215000,-952000,416250000,416250000,890351000,19391000,12019000,415000,30383000,62208000,-2648000,64000,-2584000,-2000,-2000,0,-46186000,13438000,13438000,13438000,47328000,286869000,85321000,0.14863,0.07412,0.04071,0.04658,0.02178,4.40003,1.68056,1.13898,0.3222,0.61389,0.61188,15.08105,13.17789,2.70114,5,0.03114,0.1177,5.5464,7.43437
"32","2018_Q1",43.5224590163934,"Down",454936000,-381354000,73582000,-29893000,-27811000,43689000,-5073000,193000,38616000,38398000,-13475000,24923000,24923000,24923000,24923000,35945000,35945000,124539000,124539000,142265000,11388000,11388000,314137000,71560000,516815000,32911000,588375000,902512000,114318000,79194000,24546000,49990000,49990000,167158000,21954000,2684000,293680000,460838000,106289000,-342730000,679138000,-1023000,441674000,441674000,902512000,24923000,4110000,3956000,-3211999.99999999,29777000,-4249000,174000,-1854000,-163000,-163000,4.65661287307739e-10,-16347000,11576000,11576000,11576000,47799000,274576000,53813000,0.16174,0.09603,0.05478,0.05643,0.02762,2.15917,1.87928,1.04339,0.30424,0.7889,0.78577,14.40035,13.98056,1.70337,5,0.03807,0.0729,4.99238,5.46204
