"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",15.50046875,"Down",69010000,-50302000,18708000,-25094000,-6297000,-18818000,-6386000,-8589000,-17443000,8015000,839000,-14975000,-1548000,-16523000,-16523000,-16523000,-16523000,-16523000,91662000,91662000,4110000,86982000,6916000,80036000,182754000,1291862000,1291862000,390593000,265959000,124634000,1682455000,1865209000,34427000,34427000,57680000,105500000,755856000,8515000,8515000,764371000,869871000,1310731000,-275111000,-40282000,995338000,995338000,1865209000,-16523000,18818000,1242000,16250000,19787000,6685000,-2487000,-2487000,-44000,6463000,-12888000,-225000,-13113000,13137000,13137000,13137000,12432000,813536000,0.27109,-0.09254,-0.23943,-0.0166,-0.00886,1.73227,0.87395,0.43616,-0.56546,-0.56627,2.36169,34.06293,-0.00909,58.0658,-113.04009
"12","2019_Q4",22.846875,"Up",71278000,-50201000,21077000,-25392000,-6449000,-18961000,-4315000,-8252000,-17010000,8474000,284000,-12567000,1472000,-11095000,-11095000,-11095000,-11095000,-11095000,68383000,68383000,3428000,84832000,5266000,79566000,156643000,1284758000,1284758000,387148000,271655000,115493000,1671906000,1828549000,29951000,29951000,51013000,97715000,737266000,11446000,11446000,748712000,846427000,1311812000,-286206000,-43484000,982122000,982122000,1828549000,-11095000,18961000,-2379000,-5909000,-422000,2126000,-4546000,-4546000,1670000,3360000,-28879000,-129000,-29008000,-26070000,-26070000,-26070000,14646000,788279000,0.2957,-0.06054,-0.15566,-0.0113,-0.00607,1.60306,0.86183,0.4311,-0.37932,-0.37932,2.43687,33.57708,-0.00623,49.15308,-166.83569
"13","2020_Q1",19.9633870967742,"Down",124022000,6601000,130623000,-82477000,-7279000,-18945000,48146000,-30729000,-14281000,-13346000,-3102000,17417000,-1525000,15892000,15891000,15891000,15891000,15891000,89671000,89671000,3896000,93777000,5994000,87783000,187344000,1292516000,1292516000,273641000,153292000,120349000,1566157000,1753501000,27554000,27554000,70350000,114476000,608698000,8034000,8034000,616732000,731208000,1313178000,-270315000,-20570000,1022293000,1022293000,1753501000,15891000,18945000,24266000,-14972000,44130000,-26973000,-26978000,-26978000,122989000,95375000,-113572000,88000,-113484000,26021000,26021000,26021000,67091000,679048000,1.05322,0.38821,0.12813,0.01554,0.00906,1.63654,0.71526,0.38725,0.54328,0.54328,4.24002,34.94975,0.0093,8.78474,12.24145
"14","2020_Q2",19.1485714285714,"Down",125337000,-38566000,86771000,-35932000,-7434000,-18267000,50839000,-20330000,-12009000,5111000,-13432000,30509000,2510000,33019000,33019000,33019000,33019000,33019000,93298000,93298000,3559000,118739000,8592000,110147000,215596000,1297339000,1297339000,227793000,151400000,76393000,1525132000,1740728000,32864000,32864000,81483000,132629000,558829000,19590000,19590000,578419000,711048000,1301938000,-237296000,-34962000,1029680000,1029680000,1740728000,33019000,18267000,13841000,-26809000,38318000,-15521000,-29122000,-29122000,364000,-15157000,-50605000,-731000,-63077000,-39916000,-39916000,-39916000,69106000,640312000,0.6923,0.40562,0.26344,0.03207,0.01897,1.62556,0.69055,0.36784,1.13255,1.12507,4.29904,35.31788,0.02057,7.91558,10.75973
"15","2020_Q3",14.74625,"Down",139725000,-34714000,105011000,-33047000,-6694000,-18880000,71964000,-3533000,-8881000,5205000,143000,68431000,-4072000,64359000,64358000,64358000,64358000,64358000,128063000,128063000,1878000,112291000,6412000,105879000,242232000,1287478000,1287478000,229246000,155191000,74055000,1516724000,1758956000,29424000,29424000,81483000,130545000,536918000,19440000,19440000,556358000,686903000,1281072000,-172938000,-36081000,1072053000,1072053000,1758956000,64358000,18880000,768000,5366000,89372000,-12198000,-12175000,-12175000,-410000,-12608000,-20371000,-469000,-42630000,34134000,34134000,34134000,90844000,618401000,0.75155,0.51504,0.4606,0.06003,0.03659,1.85554,0.64074,0.35157,2.26056,2.24793,4.9078,37.65559,0.03862,5.39758,6.81366
"16","2020_Q4",14.24,"Down",99883000,-37352000,62531000,-32945000,-7422000,-19014000,29586000,-2851000,-7999000,5356000,-208000,26735000,-12754000,13981000,13981000,13981000,13981000,13981000,137340000,137340000,1400000,81505000,5372000,76133000,220245000,1262469000,1262469000,229599000,156589000,73010000,1492068000,1712313000,27355000,27355000,61483000,102822000,500787000,22186000,22186000,522973000,625795000,1280811000,-158957000,-35336000,1086518000,1086518000,1712313000,13981000,19014000,13992000,24114000,71101000,-5659000,-5645000,-5645000,2393000,-3266000,-55370000,-1715000,-58642000,9192999.99999999,9192999.99999999,9192999.99999999,48600000,562270000,0.62604,0.29621,0.13997,0.01287,0.00816,2.142,0.57596,0.32837,0.50064,0.49897,3.57664,38.90633,0.00937,8.74342,14.36254
"17","2021_Q1",16.4883606557377,"Up",56703000,-37384000,19319000,-31580000,-7497000,-18182000,-12261000,-18696000,-7823000,-11553000,680000,-30957000,-85932000,-116889000,-116889000,-116889000,-116889000,-116889000,199390000,199390000,3601000,70130000,6002000,64128000,273121000,1108214000,1108214000,205204000,141924000,61151000,1313418000,1586539000,34425000,34425000,61483000,108896000,474332000,31269000,25114000,505601000,614497000,1280501000,-275846000,-32613000,972042000,972042000,1586539000,-116889000,18182000,96663000,19393000,17349000,55943000,-3614000,-3614000,0,63399000,-15576000,-1470000,-18725000,62023000,62023000,62023000,5921000,535815000,0.34071,-0.21623,-2.06143,-0.12025,-0.07368,2.50809,0.63217,0.33773,-4.18381,-4.25181,2.02957,34.79234,-0.07485,56.81895,-27.43863
"18","2021_Q2",17.3353968253968,"Up",46756000,-27914000,18842000,-30676000,-8181000,-16754000,-11834000,-1520000,-7280000,5468000,292000,-13354000,-11000,-13365000,-13365000,-13365000,-13365000,-13365000,156178000,156178000,2271000,62951000,9380000,53571000,221400000,1097853000,1097853000,232799000,144770000,88029000,1330652000,1552052000,24547000,24547000,61483000,97727000,459451000,27111000,27111000,486562000,584289000,1279368000,-289211000,-22394000,967763000,967763000,1552052000,-13365000,16754000,64000,-24459000,-21006000,-3471000,-3460000,-3460000,54000,-3416999.99999999,-15371000,-1801000,-18853000,-43276000,-43276000,-43276000,4920000,520934000,0.40299,-0.2531,-0.28585,-0.01381,-0.00861000000000001,2.26549,0.60375,0.33564,-0.47692,-0.47692,1.66844,34.53359,-0.00771,74.1374,-30.82271
"19","2021_Q3",16.125,"Down",46304000,-29463000,16841000,-29773000,-6831000,-17079000,-12932000,-1364000,-7006000,5375000,267000,-14296000,-4486000,-18782000,-18783000,-18783000,-18783000,-18783000,117391000,117391000,2103000,92816000,6365000,86451000,212310000,1070353000,1070353000,236202000,149580000,80096000,1306555000,1518865000,29453000,29453000,61483000,102112000,444566000,24733000,24733000,469299000,571411000,1278365000,-307994000,-22917000,947454000,947454000,1518865000,-18783000,17079000,1599000,-1407000,-1512000,-17499000,-20941000,-20941000,-149000,-17648000,-15420000,-2569000,-19677000,-38837000,-38837000,-38837000,4147000,506049000,0.36371,-0.27928,-0.40565,-0.01982,-0.01237,2.07919,0.6031,0.33318,-0.67025,-0.67025,1.65231,33.80889,-0.01156,93.72028,-30.05397
"20","2021_Q4",15.8375,"Down",84816000,-70022000,14794000,-39614000,-8129000,-25806000,-24820000,-5022000,-10639000,5730000,-113000,-29842000,-38001000,-67843000,-67878000,-67878000,-67352000,-67352000,108897000,108897000,2578000,117306000,9611000,107695000,228781000,1938303000,1938303000,274749000,177402000,86904000,2213052000,2441833000,49087000,49087000,220805000,280937000,887673000,28492000,28492000,916165000,1197102000,1609602000,-375346000,-19477000,1214779000,1244731000,2441833000,-67878000,25806000,28628000,-13071000,-26515000,89816000,-37470810.6362811,-37470810.6362811,47389000,137205000,90260000,-167372000,-111663000,-973000,-973000,-973000,986000,1108478000,0.17442,-0.29263,-0.7941,-0.05411,-0.02758,0.81435,0.96174,0.45395,-1.43596,-1.43596,1.80829,25.89929,-0.01377,1013.77383,-40.27321
"21","2022_Q1",15.5608064516129,"Down",94670000,-72344000,22326000,-43801000,-10115000,-27035000,-21475000,-12999000,-11871000,5265000,-6393000,-34474000,1422000,-33052000,-34634000,-34634000,-33992000,-33992000,97883000,97883000,2110000,124506000,11759000,112747000,224499000,1852141000,1852141000,270140000,180331000,88513000,2122281000,2346780000,44964000,59718036.5467472,178715000,234611000,926270000,15567000,14810000,941837000,1176448000,1591446000,-409338000,-12360000,1169748000,1170332000,2346780000,-34634000,27035000,3823000,-23383000,-27159000,17949000,-44373797.6776335,-44373797.6776335,-801000,17148000,-600708000,602006000,-23647000,-33658000,-33658000,-33658000,5560000,1104985000,0.23583,-0.22684,-0.35906,-0.02904,-0.01448,0.9569,1.00523,0.47085,-0.72472,-0.72472,2.01838,24.93922,-0.01122,181.13345,-46.89648
"22","2022_Q2",21.1512903225806,"Up",101482000,-63824000,37658000,-44475000,-10166000,-2.7e+07,-6817000,-7369000,-12740000,5597000,-226000,-14186000,1189000,-12997000,-13001000,-13001000,-13001000,-13001000,74553000,74553000,2335000,169600000,16558000,150981000,246488000,1833298000,1833298000,286807000,183361000,96985000,2120105000,2366593000,56116000,56116000,178391000,245274000,943032000,12837000,12837000,955869000,1201143000,1588606000,-422339000,-1401000,1164866000,1165450000,2366593000,-13001000,2.7e+07,-1707000,-32073000,-19781000,-14122000,-38379000,-38379000,-526999.999999993,-14649000,3734999.99999988,10346000,11101000,-23329000,-23329000,-23329000,20183000,1121423000,0.37108,-0.06717,-0.12811,-0.01116,-0.00549,1.00495,1.03063,0.47386,-0.25842,-0.25842,2.01713,23.15375,-0.00436,51.8689,-153.56755
"23","2022_Q3",26.80578125,"Up",188197000,-62221000,125976000,-45796000,-10847000,-27256000,80180000,-18294000,-12558000,-5162000,-574000,61886000,7202000,69088000,69036000,69036000,69036000,69036000,230666000,230666000,804000,203533000,14086000,188684000,435003000,1794778000,1794778000,134460000,39832000,94469000,1929238000,2364241000,38237000,38237000,160790000,208902000,912900000,11291000,11291000,924191000,1133093000,1583740000,-353303000,127000,1230564000,1231148000,2364241000,69036000,27256000,-725000,-60941000,34626000,39426000,-15931000,-15931000,139758000,179184000,-81154000,29421000,-57694000,156116000,156116000,156116000,107436000,1073690000,0.66938,0.42604,0.36683,0.05607,0.0292,2.08233,0.92035,0.45414,1.39179,1.38408,3.79413,24.80867,0.03238,7.84676,10.51414
