"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2018_Q4",5.08714285714286,"Down",-37028000,-25426000,-11571000,-21569000,-99000,-99000,-21668000,-21668000,-21668000,-21668000,-21668000,-21668000,145639000,130727000,2397000,2397000,158729000,1210000,23216000,1247000,24426000,183155000,49913000,11249000,38664000,53441000,566000,566000,22101000,75542000,471838000,-364227000,107613000,107613000,183155000,-21668000,131000,2198000,-3221000,-22560000,-14912000,-15479000,74000,-37965000,-37965000,-37965000,-21438000,25063000,-0.20135,-0.1183,2.97017,0.70198,0.13684,-0.29346,-0.29346,1.45744,-0.16262,5.62441,5.59025
"28","2019_Q1",3.29245901639344,"Down",-34930000,-26199000,-8762000,-34259000,22910000,-2646000,-11349000,-11349000,-11349000,-11349000,-11349000,-11349000,249653000,129867000,2973000,2973000,253259000,1369000,22608000,1031000,23977000,277236000,31361000,10253000,21108000,37077000,1123000,1123000,115860000,152937000,499748000,-375576000,124299000,124299000,277236000,-11349000,496000,-22314000,13979000,-19188000,-104540000,-126803000,145469000,-522000,-522000,-522000,-33763000,120453000,-0.0913,-0.04094,6.83062,1.2304,0.43448,-0.15365,-0.12431,1.68283,-0.04616,3.82667,3.77127
"29","2019_Q2",1.88761904761905,"Down",-36183000,-26033000,-9758000,-34670000,-3432000,-3432000,-38102000,-38102000,-38102000,-38102000,-38102000,-38102000,211659000,91525000,4073000,4073000,216596000,1256000,25513000,4328000,26769000,243365000,28421000,8593000,19828000,28624000,4308000,4308000,126281000,154905000,502028000,-413678000,88460000,88460000,243365000,-38102000,505000,3913000,-5096000,-38780000,363000,363000,75000,-38342000,-38342000,-38342000,-34165000,121973000,-0.43073,-0.15656,7.56694,1.75113,0.50119,-0.51591,-0.51591,1.19777,-0.17743,2.62508,2.58685
"30","2019_Q3",1.35375,"Down",-41036000,-29298000,-11345000,-38276000,-3918000,-3918000,-42194000,-42194000,-42194000,-42194000,-42194000,-42194000,187253000,113080000,3410000,3410000,192346000,1149000,25046000,4253000,26195000,218541000,30910000,11538000,19372000,31204000,4194000,4194000,138030000,169234000,505093000,-455872000,49307000,49307000,218541000,-42194000,507000,4327000,2691000,-34669000,46530000,46530000,9693999.99999999,21555000,21555000,21555000,-37769000,133836000,-0.85574,-0.19307,6.16415,3.43225,0.61241,-0.57115,-0.57115,0.66743,-0.22523,1.41431,1.39557
"31","2019_Q4",1.1978125,"Down",-34764000,-22153000,-12219000,-26103000,-4036000,-4036000,-30139000,-30139000,-30139000,-30139000,-30139000,-30139000,160228000,103320000,4049000,4049000,166958000,1041000,24601000,4201000,25642000,192600000,30131000,8842000,21289000,30510000,4442000,4442000,140573000,171083000,507501000,-486011000,21517000,21517000,192600000,-30139000,5e+05,3568000,-1777000,-27848000,17601000,17594000,494000,-9760000,-9760000,-9760000,-25603000,136131000,-1.40071,-0.15648,5.47224,7.95106,0.70681,-0.406,-0.406,0.28985,-0.18594,0.94118,0.92315
"32","2020_Q1",2.08983870967742,"Up",-35007000,-23728000,-12456000,-33292000,-5482000,-4841000,-38774000,-38774000,-38774000,-38774000,-38774000,-38774000,75506000,43514000,3835000,3835000,84961000,947000,59138000,39130000,60085000,145046000,29020000,9655000,19365000,29890000,4359000,4359000,107982000,137872000,531945000,-524785000,7174000.00000001,7174000.00000001,145046000,-38774000,486000,4684000,-3617000,-37221000,25126000,25126000,-12704000,-24799000,-24799000,-24799000,-32806000,103623000,-5.4048,-0.26732,2.84246,19.21829,0.71441,-0.50786,-0.50786,0.09396,-0.33671,-0.85707,-0.84456
"33","2020_Q2",2.20428571428571,"Up",-30528000,-19604000,-10924000,-26359000,-11631000,-10318000,-37990000,-37990000,-37990000,-37990000,-37990000,-37990000,135061000,135061000,5887000,5887000,148646000,866000,58642000,39026000,59508000,208154000,25243000,7233000,18010000,25728000,4229000,4229000,59443000,85171000,685749000,-562775000,122983000,122983000,208154000,-37990000,486000,11479000,-7978000,-34003000,32050000,32050000,93421000,91468000,91468000,91468000,-25873000,55214000,-0.3089,-0.18251,5.7776,0.69254,0.26526,-0.35126,-0.35126,1.13712,-0.20825,3.08611,3.02921
"34","2020_Q3",1.3790625,"Down",-24786000,-15442000,-9344000,-21264000,-1746000,-1746000,-23010000,-23010000,-23010000,-23010000,-23010000,-23010000,125328000,125328000,11448000,6558000,144592000,791000,53149000,33926000,53940000,198532000,23690000,2241000,21449000,28784000,4095000,4095000,55375000,84159000,700158000,-585785000,114373000,114373000,198532000,-23010000,488000,2114000,-2139000,-22547000,-3.72529029846191e-09,-26999.9999999963,12678000,-9895999.99999997,-9895999.99999997,-9895999.99999997,-20776000,55866000,-0.20118,-0.1159,5.02335,0.735830000000001,0.2814,-0.13912,-0.13912,0.69151,-0.13199,3.34338,3.26665
"35","2020_Q4",1.67421875,"Up",-31569000,-20614000,-10955000,15017000,-1879000,-1879000,13138000,13138000,13138000,13138000,13138000,13138000,170470000,170470000,12400000,3033000,188555000,497000,28718000,28718000,29215000,217770000,27845000,4681000,23164000,37678000,3081000,3081000,50319000,87997000,702420000,-572647000,129773000,129773000,217770000,13138000,269000,2632000,28708000,44747000,0,-6000,137000,44878000,44878000,44878000,15286000,56538000,0.10124,0.06033,5.00438,0.67808,0.25962,0.0774,0.0774,0.7645,0.06937,-7.45336,-7.58687
"36","2021_Q1",2.3344262295082,"Up",-17248000,-7095000,-10153000,-16754000,-1336000,-1336000,-18090000,-19670000,-19864000,-19864000,-19864000,-19864000,141226000,67782000,3473000,3473000,144938000,416000,3e+06,3e+06,9411000,154349000,16535000,1875000,14660000,17093000,2931000,2931000,21982000,39075000,707732000,-592511000,115274000,115274000,154349000,-19864000,81000,5036000,-6955999.99999999,-21703000,-79380000,-79380000,-36606000,-137689000,-137689000,-137689000,-16673000,19051000,-0.17232,-0.1287,8.47938,0.33897,0.12343,-0.11683,-0.11683,0.67799,-0.14472,7.32772,7.29229
"37","2021_Q2",3.47396825396825,"Up",-15114000,-6218000,-8896000,-14108000,-923000,-923000,-15031000,-15031000,-15031000,-15031000,-15031000,-15031000,121097000,35514000,5456000,5456000,127678000,335000,2890000,2890000,9223000,136901000,11261000,2453000,8808000,11844000,2776000,2776000,22448000,34292000,710117000,-607542000,102609000,102609000,136901000,-15031000,81000,2584000,-6952000,-19318000,-12176000,-12372000,-578000,-32268000,-32268000,-32268000,-14027000,19672000,-0.14649,-0.10979,10.77997,0.3342,0.1437,-0.0876,-0.0876,0.598,-0.12019,7.2307,7.18918
"38","2021_Q3",3.0615625,"Down",-16444000,-6714000,-9730000,-15944000,-958000,-958000,-16902000,-16902000,-16902000,-16902000,-16902000,-16902000,108135000,24972000,6149000,6149000,114760000,270000,2868000,2868000,9130000,123890000,12134000,1395000,10739000,12744000,2615000,2615000,22941000,35685000,712610000,-624444000,88205000,88205000,123890000,-16902000,65000,2832000,581000.000000001,-13424000,2393000,2393000,488999.999999996,-10542000,-10542000,-10542000,-15879000,20326000,-0.19162,-0.13643,9.00502,0.40457,0.16406,-0.09825,-0.09825,0.51271,-0.15207,5.52988,5.50734
"39","2021_Q4",2.63,"Down",-14848000,-5523000,-9325000,-14846000,-7940000,-7940000,-22786000,-22786000,-22786000,-22786000,-22786000,-22786000,103416000,24314000,5236000,5236000,108757000,240000,2880000,2880000,3120000,111877000,12898000,641000,12257000,13536000,2443000,2443000,2686000,16222000,742858000,-647230000,95655000,95655000,111877000,-22786000,30000,9910000,2019000,-10827000,1e+07,1e+07,169000,-658000,-658000,-658000,-14816000,243000,-0.23821,-0.20367,8.03465,0.16959,0.00217,-0.13262,-0.13262,0.55675,-0.2317,6.96362,6.94955
"40","2022_Q1",1.43483870967742,"Down",-17056000,-5660000,-11396000,-16511000,30000,30000.0000000019,-16481000,-16481000,-16481000,-16481000,-16481000,-16481000,100256000,21252000,4968000,4968000,105740000,210000,2712000,2712000,2922000,108662000,17923000,2302000,15621000,18590000,2264000,2264000,2513000,21103000,751236000,-663711000,87559000,87559000,108662000,-16481000,30000,1582000,4936000,-9933000,66000.0000000019,66000,6805000,-3062000,-3062000,-3062000,-16481000,249000,-0.18823,-0.15167,5.688,0.24101,0.00229000000000001,-0.10749,-0.10749,0.57105,-0.18298,6.06802,6.05699
"41","2022_Q2",1.32693548387097,"Down",-19576000,-5934000,-13642000,-16980000,18000,-10000,-16962000,-16962000,-16962000,-16962000,-16962000,-16962000,106278000,46687000,4517000,4517000,113439000,180000,2529000,2529000,2709000,116148000,16190000,2896000,13294000,16886000,2079000,2079000,26491000,43377000,753557000,-680673000,72771000,72771000,116148000,-16962000,30000,1626000,-3975000,-19281000,19264000,19264000,25452000,25435000,25435000,25435000,-16950000,24412000,-0.23309,-0.14604,6.71793,0.59608,0.21018,-0.09285,-0.09285,0.39837,-0.17088,4.82985,4.82132
"42","2022_Q3",1.16234375,"Down",-21402000,-6514000,-14888000,-21402000,-550000,-556000,-21952000,-21952000,-21952000,-21952000,-21952000,-21952000,94307000,63950000,3437000,3437000,97875000,151000,2383000,2383000,2534000,100409000,19364000,1706000,17658000,20092000,1887000,1887000,26425000,46517000,756647000,-702625000,53892000,53892000,100409000,-21952000,29000,1817000,7412000,-12694000,29249000,29249000,708000,17263000,17263000,17263000,-21373000,24538000,-0.40733,-0.21863,4.87134,0.86315,0.24438,-0.11773,-0.11773,0.28902,-0.27332,3.26435,3.25993
