"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",21.94421875,"Up",10243000,-2134000,8109000,-6465000,-3740000,-2725000,1644000,29000,1673000,1673000,-702000,971000,971000,971000,971000,33250000,9630000,23620000,4444000,4444000,1088000,1088000,38782000,1381000,11635000,6683000,165000,20403000,59185000,1681000,937000,3347000,3347000,5028000,507000,507000,507000,5535000,50000,40353000,13247000,53650000,53650000,59185000,971000,457000,790000,1126000,3344000,-314000,1183000,869000,-648000,-648000,-1449000,2764000,2764000,2764000,2101000,0,3615000,0.79166,0.1605,0.0948,0.0181,0.01641,3.72297,7.71321,0.10317,0,0.142,0.13757,1.49795,7.83855,0.52866,0.03272,0.06675,-15.8258,-20.22506
"12","2013_Q3",20.56484375,"Down",10470000,-2120000,8350000,-6994000,-4172000,-2822000,1356000,19000,1375000,1375000,-773000,602000,602000,602000,602000,34497000,8305000,26192000,4519000,4519000,1306000,1306000,40322000,1408000,10203000,6689000,212000,19195000,59517000,1405000,1405000,3155000,3155000,4560000,491000,491000,491000,5051000,50000,41367000,13049000,54466000,54466000,59517000,602000,465000,2595000,-857000,2805000,-467000,-2769000,-3236000,-94000,-94000,-894000,-1325000,-1325000,-1325000,1821000,-5.16987882845642e-26,1270000,0.79752,0.12951,0.0575,0.01105,0.01011,2.10963,8.84254,0.09274,0,0.08788,0.08491,1.52847,7.94394,0.1854,0.02551,0.02311,-18.94399,-25.44027
"13","2013_Q4",19.07328125,"Down",7425000,-1955000,5470000,-7493000,-4216000,-3277000,-2023000,33000,-1990000,-1990000,1195000,-795000,-795000,-795000,-795000,33014000,5079000,27935000,5117000,5117000,1507000,1507000,39638000,2472000,11296000,6700000,265000,18865000,58503000,1482000,1482000,2784000,2784000,4266000,405000,405000,405000,4671000,50000,42327000,11455000,53832000,53832000,58503000,-795000,522000,20000,-1231000,-1484000,-1575000,744000,-831000,-112000,-112000,-911000,-3226000,-3226000,-3226000,-1501000,0,-5502000,0.7367,-0.27246,-0.10707,-0.01477,-0.01359,6.92075,9.29161,0.08677,0,-0.11589,-0.11589,1.08236,7.83994,-0.80204,7e-05,-0.10144,21.99467,16.31933
"14","2014_Q1",29.4237704918033,"Up",6826000,-1996000,4830000,-8219000,-4769000,-3450000,-3389000,28000,-3361000,-3361000,2076000,-1285000,-1285000,-1285000,-1285000,29662000,3811000,25851000,5838000,5838000,1658000,1658000,37158000,2395000,12342000,6709000,570000,20039000,57197000,1560000,1560000,4218000,4218000,5778000,496000,496000,496000,6274000,50000,41505000,9368000,50923000,50923000,57197000,-1285000,545000,-819000,367000,-1192000,-386000,1879000,1493000,-968000,-968000,-1569000,-1268000,-1268000,-1268000,-2844000,0,-4939000,0.70759,-0.49648,-0.18825,-0.02523,-0.02247,3.84358,6.43094,0.12321,0,-0.1858,-0.19904,0.98699,7.35584,-0.71414,-0.00939,-0.09605,10.42968,8.75243
"15","2014_Q2",32.5479365079365,"Up",7205000,-2146000,5059000,-8380000,-4834000,-3546000,-3321000,27000,-3294000,-3294000,1308000,-1986000,-1986000,-1986000,-1986000,31175000,3055000,28120000,4036000,4036000,2368000,2368000,37579000,2326000,12859000,6740000,486000,16292000,53871000,1325000,1325000,2690000,2690000,4015000,505000,505000,505000,4520000,50000,42743000,6558000,49351000,49351000,53871000,-1986000,539000,671000,-604000,-1380000,-412000,1926000,1514000,-138000,-850000,-890000,-756000,-756000,-756000,-2782000,0,-5106000,0.70215,-0.46093,-0.27564,-0.04024,-0.03687,2.571,9.35965,0.09159,0,-0.28371,-0.28371,1.02929,7.043,-0.72943,-0.02331,-0.10241,11.20597,9.38723
"16","2014_Q3",25.33234375,"Down",5663000,-1952000,3711000,-8169000,-4765000,-3404000,-4458000,21000,-4437000,-4437000,1757000,-2680000,-2680000,-2680000,-2680000,24115000,3272000,20843000,3691000,3691000,3089000,3089000,30895000,2658000,13292000,6750000,486000,19694000,50589000,1653000,1653000,2210000,2210000,3863000,278000,278000,278000,4141000,50000,43350000,3048000,46448000,46448000,50589000,-2680000,526000,322000,-835000,-2667000,-728000,4640000,3912000,-126000,-590000,-1028000,217000,217000,217000,-3932000,0,-7252000,0.65531,-0.78722,-0.47325,-0.0577,-0.05298,2.70597,7.99767,0.08915,0,-0.37677,-0.37677,0.79615,6.52299,-1.01954,-0.03959,-0.1552,6.13301,5.40938
"17","2014_Q4",26.7828125,"Up",6927000,-2119000,4808000,-8046000,-4547000,-3499000,-3238000,2000,-3236000,-3236000,1251000,-1985000,-1985000,-1985000,-1985000,21785000,2704000,19081000,3851000,3851000,3541000,3541000,29177000,2904000,13807000,6836000,410000,19662000,48839000,1868000,1868000,1853000,1853000,3721000,241000,241000,241000,3962000,50000,43764000,1063000,44877000,44877000,48839000,-1985000,559000,205000,-638000,-1859000,-792000,2555000,1763000,-348000,-491000,-472000,-568000,-568000,-568000,-2679000,0,-5360000,0.6941,-0.46745,-0.28656,-0.04423,-0.04064,2.70025,7.84117,0.08829,0,-0.27662,-0.27662,0.9653,6.24679,-0.74693,-0.044,-0.1188,8.13177,6.72792
"18","2015_Q1",25.4988524590164,"Down",5863000,-2214000,3649000,-7855000,-4593000,-3262000,-4206000,5000,-4201000,-4201000,-4968000,-9169000,-9169000,-9169000,-9169000,38323000,6122000,32201000,4545000,4545000,2611000,2611000,45479000,2976000,8212000,6720000,378000,11937000,57416000,1379000,1379000,3660000,3660000,5039000,203000,203000,203000,5242000,50000,60230000,-8106000,52174000,52174000,57416000,-9169000,690000,6267000,1385000,-827000,-657000,-10918000,-11575000,-293000,-461000,15820000,3418000,3418000,3418000,-3516000,0,2180000,0.62238,-0.71738,-1.56388,-0.17574,-0.15969,-0.23776,9.0254,0.10047,-3.15544362088405e-30,-1.22925,-1.22925,0.78603,6.98807,0.29226,-0.17506,0.04162,10.8996,9.11151
"19","2015_Q2",28.1225396825397,"Up",5989000,-2416000,3573000,-7747000,-4663000,-3084000,-4174000,23000,-4151000,-4151000,1000,-4150000,-4150000,-4150000,-4150000,37095000,5064000,32031000,3620000,3620000,2518000,2518000,43233000,2895000,8143000,6692000,337000,11038000,54271000,1473000,1473000,2984000,2984000,4457000,158000,158000,158000,4615000,50000,61862000,-12256000,49656000,49656000,54271000,-4150000,605000,1227000,282000,-2036000,-319000,919000,6e+05,378000,-496000,378000,-1058000,-1058000,-1058000,-3569000,0,-3607000,0.59659,-0.69694,-0.69294,-0.08357,-0.07647,0.86916,9.70002,0.09294,0,-0.52136,-0.52136,0.75239,6.23191,-0.45314,-0.08331,-0.07241,10.39367,8.88716
"20","2015_Q3",37.3365625,"Up",5798000,-2449000,3349000,-7394000,-4369000,-3025000,-4045000,32000,-4013000,-4013000,1000,-4012000,-4012000,-4012000,-4012000,34046000,4047000,29999000,3020000,3020000,2575000,2575000,39641000,2786000,8146000,6728000,304000,10932000,50573000,1387000,1387000,2290000,2290000,3677000,219000,219000,219000,3896000,50000,62895000,-16268000,46677000,46677000,50573000,-4012000,519000,1269000,-108000,-2332000,-433000,2032000,1599000,-284000,-539000,-284000.000000002,-1017000,-1017000,-1017000,-3526000,3.3881317890172e-21,-4068000,0.57761,-0.69765,-0.69196,-0.08595,-0.07933,1.01396,10.7808,0.08347,0,-0.49969,-0.49969,0.72213,5.80732,-0.50666,-0.08555,-0.08675,9.6557,8.41681
"21","2015_Q4",32.06765625,"Down",5386000,-2098000,3288000,-7759000,-4523000,-3236000,-4471000,29000,-4442000,-4442000,-27000,-4469000,-4469000,-4469000,-4469000,43037000,11452000,31585000,2687000,2687000,2862000,2862000,48586000,2852000,8149000,6723000,312000,11001000,59587000,1814000,1814000,1642000,1642000,3456000,210000,210000,210000,3666000,50000,76608000,-20737000,55921000,55921000,59587000,-4469000,6e+05,1377000,-166000,-2658000,-641000,-1586000,-2227000,-606000,-798000,12290000,7405000,7405000,7405000,-3871000,0,-4651000,0.61047,-0.83012,-0.82974,-0.07992,-0.075,1.04072,14.05845,0.06556,0,-0.53785,-0.53785,0.64821,6.72415,-0.55975,-0.07962,-0.08286,11.1178,9.62581
"22","2016_Q1",31.8801639344262,"Down",5016000,-1984000,3032000,-8319000,-5199000,-3120000,-5287000,25000,-5262000,-5262000,-41000,-5303000,-5303000,-5303000,-5303000,36187000,3160000,33027000,4616000,4616000,1487000,1487000,42290000,3010000,8065000,6613000,338000,14074000,56364000,1657000,1657000,3023000,3023000,4680000,226000,226000,226000,4906000,50000,77448000,-26040000,51458000,51458000,56364000,-5303000,709000,1197000,683000,-2714000,-720000,-4441000,-5161000,-417000,-610000,-417000,-8292000,-8292000,-8292000,-4578000,5.42101086242752e-20,-4574000,0.60447,-1.05403,-1.05722,-0.10305,-0.09408,0.86253,9.03632,0.09534,-8.07793566946316e-28,-0.62432,-0.62432,0.59053,6.05227,-0.5385,-0.1026,-0.0885,7.90454,6.84452
"23","2016_Q2",28.58015625,"Down",5580000,-2190000,3390000,-8864000,-5559000,-3305000,-5474000,46000,-5428000,-5428000,-7000,-5435000,-5435000,-5435000,-5435000,33850000,8066000,25784000,2296000,2296000,1396000,1396000,37542000,2987000,7991000,6563000,314000,13024000,50566000,775000,775000,2609000,2609000,3384000,219000,219000,219000,3603000,50000,78388000,-31475000,46963000,46963000,50566000,-5435000,629000,1283000,1315000,-2208000,-707000,8196000,7489000,-375000,-520000,-375000,4906000,4906000,4906000,-4845000,0,-4230000,0.60753,-0.981,-0.97401,-0.11573,-0.10748,0.77829,11.09397,0.07672,0,-0.63694,-0.63694,0.65393,5.49783,-0.49572,-0.11519,-0.08965,6.98658,6.18378
"24","2016_Q3",35.7071875,"Up",5457000,-2094000,3363000,-8673000,-5294000,-3379000,-5310000,42000,-5268000,-5268000,-15000,-5283000,-5283000,-5283000,-5283000,31935000,9557000,22378000,2477000,2477000,1435000,1435000,35847000,3154000,7885000,6469000,302000,11039000,46886000,1490000,1490000,2158000,2158000,3648000,511000,511000,511000,4159000,50000,79435000,-36758000,42727000,42727000,46886000,-5283000,698000,1424000,104000,-3057000,-484000,5452000,4968000,-420000,-584000,-420000.000000002,1491000,1491000,1491000,-4612000,4.33680868994202e-19,-4977000,0.61627,-0.97306,-0.96811,-0.12365,-0.11268,0.94208,9.82648,0.09734,-1.29246970711411e-26,-0.61523,-0.61523,0.6355,4.96995,-0.5796,-0.12218,-0.11511,6.92433,6.01412
"25","2016_Q4",31.1907936507937,"Down",5576000,-2162000,3414000,-8669000,-5378000,-3291000,-5255000,69000,-5186000,-5186000,-12000,-5198000,-5198000,-5198000,-5198000,54466000,24647000,29819000,2521000,2521000,1924000,1924000,58911000,3443000,7967000,6459000,394000,23252000,82163000,1487000,1487000,1605000,1605000,3092000,949000,949000,949000,4041000,50000,120028000,-41956000,78122000,78122000,82163000,-5198000,565000,1455000,-544000,-3722000,-997000,-19283000,-20280000,-608000,-775000,39092000,15090000,15090000,15090000,-4690000,0,-6219000,0.61227,-0.94243,-0.93221,-0.06654,-0.06326,1.19642,19.05272,0.05173,0,-0.54681,-0.54681,0.58658,8.21292,-0.65422,-0.06574,-0.07865,11.61322,10.36461
"26","2017_Q1",26.1814516129032,"Down",5180000,-2051000,3129000,-9010000,-5591000,-3419000,-5881000,101000,-5780000,-5780000,24000,-5756000,-5756000,-5756000,-5756000,56134000,11638000,44496000,5078000,5078000,1695000,1695000,62907000,3570000,7867000,6422000,331000,15829000,78736000,1523000,1523000,2923000,2923000,4446000,956000,956000,956000,5402000,50000,120996000,-47712000,73334000,73334000,78736000,-5756000,565000,1391000,-1077000,-4877000,-439000,-7227000,-7666000,-466000,-658000,-466000,-13009000,-13009000,-13009000,-5316000,-6.93889390390723e-18,-6856000,0.60405,-1.13533,-1.1112,-0.07849,-0.07311,1.1911,14.14912,0.07366,-1.03397576569128e-25,-0.56844,-0.56844,0.51155,7.23721,-0.67707,-0.07748,-0.09229,10.55944,9.54498
"27","2017_Q2",32.3507936507936,"Up",6091000,-2309000,3782000,-10228000,-6769000,-3459000,-6446000,118000,-6328000,-6328000,110000,-6218000,-6218000,-6218000,-6218000,56185000,13135000,43050000,3804000,3804000,1625000,1625000,61614000,3767000,7789000,6399000,276000,11556000,73170000,1398000,1398000,2448000,2448000,3846000,1066000,1066000,1066000,4912000,50000,122163000,-53955000,68258000,68258000,73170000,-6218000,556000,1503000,1029000,-3130000,-805000,5838000,5033000,-406000,-583000,-406000,1497000,1497000,1497000,-5890000,0,-5776000,0.62092,-1.05828,-1.02085,-0.0911,-0.08498,0.92892,16.02028,0.07196,0,-0.61195,-0.61195,0.59945,6.71273,-0.56845,-0.08969,-0.08332,9.53905,8.71626
"28","2017_Q3",31.231746031746,"Down",5587000,-2120000,3467000,-10517000,-6581000,-3936000,-7050000,116000,-6934000,-6934000,-9000,-6943000,-6943000,-6943000,-6943000,67755000,34242000,33513000,3897000,3897000,1858000,1858000,73510000,3846000,7811000,6416000,281000,11657000,85167000,1731000,1731000,2121000,2121000,3852000,1029000,1029000,1029000,4881000,50000,141134000,-60898000,80286000,80286000,85167000,-6943000,594000,1590000,-460000,-5219000,-539000,9537000,8998000,-374000,-765000,17328000,21107000,21107000,21107000,-6456000,0,-7446000,0.62055,-1.26186,-1.24271,-0.08648,-0.08152,1.07245,19.08359,0.0608,-1.65436122510606e-24,-0.67631,-0.67631,0.54422,7.8157,-0.72531,-0.08538,-0.09157,10.49489,9.61064
"29","2017_Q4",36.3444444444444,"Up",8677000,-2072000,6605000,-11012000,-6904000,-4108000,-4407000,174000,-4233000,-4233000,-7000,-4240000,-4240000,-4240000,-4240000,60887000,25599000,35288000,7030000,7030000,2177000,2177000,70094000,4273000,7794000,6369000,311000,12067000,82161000,2071000,2071000,1717000,1717000,3788000,989000,989000,989000,4777000,50000,142472000,-65138000,77384000,77384000,82161000,-4240000,649000,1779000,-3857000,-5669000,-705000,-1775000,-2480000,-490000,-715000,-494000,-8643000,-8643000,-8643000,-3758000,0,-8313000,0.76121,-0.50789,-0.48865,-0.05479,-0.05161,1.96061,18.50422,0.06173,0,-0.3927,-0.3927,0.80365,7.16255,-0.76994,-0.0541,-0.10607,16.20197,13.81597
"30","2018_Q1",30.6245901639344,"Down",4858000,-2057000,2801000,-11463000,-7531000,-3932000,-8662000,180000,-8482000,-8482000,112000,-8370000,-8370000,-8370000,-8370000,67738000,40823000,26915000,6404000,6404000,2171000,2171000,76313000,4236000,7821000,6381000,326000,12057000,88370000,1914000,1914000,3124000,3124000,5038000,985000,985000,985000,6023000,50000,155805000,-73508000,82347000,82347000,88370000,-8370000,627000,1885000,2265000,-3593000,-958000,8373000,7415000,-577000,-967000,11402000,15224000,15224000,15224000,-8035000,0,-6840000,0.57657,-1.78304,-1.72293,-0.10164,-0.09472,0.8172,15.14748,0.07314,0,-0.75678,-0.75678,0.43924,7.44096,-0.61844,-0.10044,-0.08208,8.43037,7.82013
"31","2018_Q2",28.240625,"Down",5613000,-2185000,3428000,-11781000,-7834000,-3947000,-8353000,252000,-8101000,-8101000,-11000,-8112000,-8112000,-8112000,-8112000,63668000,48449000,15219000,3790000,3790000,1888000,1888000,69346000,4103000,7916000,6478000,324000,12019000,81365000,1464000,1464000,2839000,2839000,4303000,941000,941000,941000,5244000,50000,157552000,-81481000,76121000,76121000,81365000,-8112000,526000,1671000,2323000,-3592000,-510000,11696000,11186000,32000,-528000,32000,7626000,7626000,7626000,-7827000,0,-6003000,0.61073,-1.48815,-1.44522,-0.10657,-0.0997,0.74001,16.11573,0.06889,0,-0.72004,-0.72004,0.49822,6.75226,-0.53284,-0.10527,-0.0779,8.13441,7.62217
"32","2018_Q3",29.3846031746032,"Up",5438000,-2205000,3233000,-11536000,-7478000,-4058000,-8303000,274000,-8029000,-8029000,-9000,-8038000,-8038000,-8038000,-8038000,56784000,35071000,21713000,3843000,3843000,1982000,1982000,62609000,4068000,8075000,6558000,403000,12143000,74752000,1695000,1695000,2410000,2410000,4105000,944000,944000,944000,5049000,50000,159172000,-89519000,69703000,69703000,74752000,-8038000,525000,1809000,-493000,-6197000,-449000,-6494000,-6943000,-238000,-592000,-238000,-13378000,-13378000,-13378000,-7778000,2.8421709430404e-14,-8711000,0.59452,-1.52685,-1.47812,-0.11532,-0.10753,1.08373,15.25189,0.07244,4.2351647362715e-22,-0.70901,-0.70901,0.47967,6.14387,-0.76837,-0.11378,-0.1233,7.30059,6.83897
