"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",7.79016129032258,"Down",72667000,-21126000,51541000,-46720000,-33786000,-18449000,-15337000,-12934000,4821000,899000,132000,601000,5720000,-21069000,-121000,-21190000,-21190000,-21190000,-21190000,189973000,149423000,192064000,192064000,9540000,391577000,36246000,91952000,6804000,19443000,128198000,519775000,214903000,214903000,3534000,3534000,218437000,1825000,1783000,1825000,220262000,398787000,-99001000,-273000,299513000,299513000,519775000,-21190000,13401000,29106000,-10007000,11310000,-12086000,-12086000,-12086000,-2396000,-16096000,1202000,1202000,30000,-4756000,-4756000,-86000,-4842000,18222000,0,-3750000,0.70928,0.06634,-0.2916,-0.07075,-0.04077,0.17697,1.79263,0.7354,0,-0.44089,-0.53998,1.51194,6.2318,-0.07802,-0.07032,-0.01244,-10.42547,-39.40531
"12","2017_Q2",5.49555555555556,"Down",46015000,-14688000,31327000,-42461000,-29708000,-14628000,-15080000,-12753000,-11134000,7000,167000,-372000,-11127000,-15465000,-375000.000000001,-15840000,-15840000,-15840000,-15840000,187971000,149367000,133575000,133575000,11516000,333062000,33208000,87982000,5219000,17058000,121190000,454252000,158837000,158837000,3156000,3156000,161993000,1720000,1678000,1720000,163713000,405560000,-114841000,-180000,290539000,290539000,454252000,-15840000,10121000,6768000,1832000,2881000,-3084000,-3084000,-3084000,-2285000,-3367000,368000,368000,368000,-117999.999999998,-117999.999999998,62000,-56000.0000000019,-1013000,1.77635683940025e-15,-1890000,0.6808,-0.24196,-0.34424,-0.05452,-0.03487,0.11932,2.05603,0.56348,0,-0.32773,-0.32773,0.95206,6.01132,-0.0391,-0.0542,-0.00647,185.55874,16.88261
"13","2017_Q3",4.25714285714286,"Down",42922000,-13698000,29224000,-38928000,-26884000,-12529000,-14355000,-12044000,-9704000,-84000,228000,-479000,-9788000,-11409000,-146000,-11555000,-11555000,-11555000,-11555000,192606000,165241000,138963000,138963000,10757000,342326000,34107000,85530000,4440000,15385000,119637000,461963000,174031000,174031000,3193000,3193000,177224000,1778000,1736000,1778000,179002000,409360000,-126396000,-3000,282961000,282961000,461963000,-11555000,8855000,6665000,5959000,9924000,-1755000,-1755000,-1755000,-2042000,7462000,460000,460000,-1588000,15798000,15798000,78000,15876000,-849000,0,3501000,0.68086,-0.22608,-0.26921,-0.04084,-0.02501,-0.30299,1.9316,0.6326,0,-0.23685,-0.23685,0.8798,5.80005,0.07176,-0.04058,0.0123,226.86219,19.8481
"14","2017_Q4",2.49984126984127,"Down",35211000,-12985000,22226000,-37727000,-26147000,-12503000,-13644000,-11580000,-15501000,150000,269000,-242000,-15351000,-105602000,2031000,-103571000,-103571000,-103571000,-103571000,139005000,99525000,132958000,132958000,10500000,282463000,37448000,34978000,18122000,16856000,72426000,354889000,165783000,165783000,3046000,3046000,168829000,1859000,1817000,1859000,170688000,414081000,-229967000,87000,184201000,184201000,354889000,-103571000,8178000,93966000,-2165000,-3592000,-9715000,-9715000,-9715000,-1800000,-62155000,6999.99999999994,6999.99999999988,-12000,-65759000,-65759000,46000,-65713000,-7323000,4.44089209850063e-16,-21234000,0.63122,-0.44023,-2.94144,-0.56227,-0.29184,0.20502,1.67307,0.92664,8.27180612553028e-25,-2.11111,-2.11111,0.71771,3.75461,-0.43282,-0.55665,-0.11412,18.98197,8.96749
"15","2018_Q1",1.89426229508197,"Down",31397000,-15465000,15932000,-35774000,-24651000,-12134000,-12517000,-11123000,-19842000,358000,244000,-72000,-19484000,-24069000,252000,-23817000,-23817000,-23817000,-23817000,129146000,76642000,165890000,165890000,9620000,304656000,47393000,31586000,13359000,18227000,78979000,383635000,214103000,214103000,3141000,3141000,217244000,1780000,1780000,1780000,219024000,418354000,-253784000,41000,164611000,164611000,383635000,-23817000,9071000,9410000,17658000,12322000,-17884000,-17884000,-17884000,-1861000,-35150000,188000,188000,-148000,-22976000,-22976000,13000,-22963000,-10771000,0,-11249000,0.50744,-0.63197,-0.75858,-0.14469,-0.06208,0.47231,1.40237,1.33056,0,-0.48312,-0.48312,0.63688,3.3391,-0.22818,-0.14314,-0.06761,11.99016,6.50872
"16","2018_Q2",2.380625,"Up",24876000,-14783000,10093000,-35295000,-24801000,-12257000,-12544000,-10494000,-25202000,-73000.0000000001,271000,-554000,-25275000,-27741000,-74999.9999999998,-27816000,-27816000,-27816000,-27816000,119307000,67516000,137534000,137534000,10421000,267262000,41334000,28818000,12563000,16255000,70152000,337414000,191239000,191239000,2975000,2975000,194214000,1546000,1546000,1546000,195760000,423009000,-281600000,245000,141654000,141654000,337414000,-27816000,8710000,4833000,4509000,-9764000,-238999.999999996,-239000,-239000,-2573000,550000,5999.99999999994,6000,-34000.0000000001,-9248000,-9248000,122000,-9126000,-16492000,7.105427357601e-15,-12147000,0.40573,-1.01311,-1.11819,-0.19637,-0.08244,0.43669,1.37612,1.38196,6.61744490042422e-24,-0.55357,-0.55357,0.49506,2.8191,-0.24174,-0.19425,-0.08483,7.23423,4.73403
"17","2018_Q3",3.5347619047619,"Up",28648000,-15044000,13604000,-31821000,-22576000,-11135000,-11441000,-9245000,-18217000,1281000,274000,797000,-16936000,-17910000,-74000,-17984000,-17984000,-17984000,-17984000,104319000,72247000,153163000,153163000,9041000,266523000,36571000,27304000,11767000,15537000,63875000,330398000,198504000,198504000,2899000,2899000,201403000,1331000,1331000,1331000,202734000,427325000,-299584000,-77000,127664000,127664000,330398000,-17984000,8878000,3574000,-5794000,-11326000,-977000,-977000,-977000,-2244000,16662000,182000,182000,-436000,4900000,4900000,-169000,4731000,-9339000,0,-16036000,0.47487,-0.63589,-0.62776,-0.14087,-0.05443,0.89168,1.32333,1.58803,0,-0.35651,-0.35651,0.56792,2.53081,-0.3179,-0.13942,-0.12431,11.17025,5.72646
"18","2018_Q4",3.81936507936508,"Up",29729000,-14687000,15042000,-29308000,-20009000,-10654000,-9355000,-9299000,-14266000,558000,232000,120000,-13708000,-13708000,-84000,-13792000,-13792000,-13792000,-13792000,96840000,82354000,155328000,155328000,8781000,260949000,33884000,26282000,10971000,15311000,60166000,321115000,199385000,199385000,2806000,2806000,202191000,1172000,1172000,1172000,203363000,431295000,-313376000,-167000,117752000,117752000,321115000,-13792000,8767000,4395000,-832000,-1462000,-4258000,-4258000,-4258000,-1752000,11632000,-2.91038304567337e-11,-2.91038304567337e-11,0,10170000,10170000,-63000,10107000,-5499000,5.6843418860808e-14,-10505000,0.50597,-0.47987,-0.46392,-0.11713,-0.04295,0.76167,1.29061,1.72704,0,-0.27174,-0.27174,0.58575,2.32005,-0.20698,-0.11597,-0.08833,17.61047,6.78817
"19","2019_Q1",5.14786885245902,"Up",41432000,-15489000,25943000,-28426000,-19601000,-10510000,-9091000,-8825000,-2483000,377000,211000,26000,-2106000,-2106000,-124000,-2230000,-2230000,-2230000,-2230000,87976000,80452000,205683000,205683000,6882000,300541000,33487000,25984000,10174000,15810000,59471000,360012000,239678000,239678000,1304000,1304000,240982000,1017000,1017000,1017000,241999000,433878000,-315606000,-259000,118013000,118013000,360012000,-2230000,8983000,3130000,-10017000,-134000,-5959000,-5959000,-5959000,-1938000,-897000,171000,171000,-809000,-1840000,-1840000,-62000,-1902000,6500000,0,-9352000,0.62616,-0.05993,-0.05382,-0.0189,-0.00619,4.19372,1.24715,2.05061,0,-0.04497,-0.04497,0.83549,2.37977,-0.18859,-0.01873,-0.07857,-13.53477,35.43133
"20","2019_Q2",6.14142857142857,"Up",32416000,-15116000,17300000,-30588000,-20872000,-10592000,-10280000,-9716000,-13288000,34000,193000,-301000,-13254000,-13254000,708000,-12546000,-12546000,-12546000,-12546000,80714000,80714000,155888000,155888000,7448000,244050000,28307000,39040000,9382000,29658000,67347000,311397000,187891000,187891000,7601000,7601000,195492000,7414000,7414000,7414000,202906000,436808000,-328152000,-165000,108491000,108491000,311397000,-12546000,8640000,4989000,-4535000,-3452000,-142000,-142000,-142000,-2098000,5260000,251000,251000,-1584000,224000,224000,38000,261999.999999998,-4648000,9.09494701772928e-13,-10033000,0.53369,-0.40992,-0.38703,-0.11564,-0.04029,0.7997,1.24839,1.87026,-8.470329472543e-22,-0.24297,-0.24297,0.62779,2.10111,-0.19431,-0.10824,-0.08656,17.36532,6.0742
"21","2019_Q3",8.76578125,"Up",37870000,-15085000,22785000,-31385000,-21546000,-11519000,-10027000,-9839000,-8600000,403000,214000,143000,-8197000,-8197000,-84000,-8281000,-8281000,-8281000,-8281000,86111000,86111000,178025000,178025000,5901000,270037000,24340000,40460000,8589000,31871000,64800000,334837000,213157000,213157000,7357000,7357000,220514000,8695000,8695000,8695000,229209000,442354000,-336433000,-293000,105628000,105628000,334837000,-8281000,8174000,5579000,3513000,8985000,-2070000,-2070000,-2070000,-2062000,-4132000,609000,609000,597000,5450000,5450000,-53000,5397000,-426000,0,1101000,0.60166,-0.22709,-0.21867,-0.0784,-0.02473,-0.13295,1.22458,2.16996,0,-0.15812,-0.15812,0.72308,2.01684,0.02102,-0.07244,0.00963,202.1385,10.01291
"22","2019_Q4",8.22046875,"Down",37642000,-13869000,23773000,-30454000,-20161000,-11040000,-9121000,-10293000,-6681000,562000,218000,296000,-6119000,-6119000,-54999.9999999999,-6174000,-6174000,-6174000,-6174000,85122000,85122000,172284000,172284000,5773000,263179000,24238000,47904000,7870000,40034000,72142000,335321000,207033000,207033000,7491000,7491000,214524000,16674000,16674000,16674000,231198000,447315000,-342607000,-585000,104123000,104123000,335321000,-6174000,8027000,3462000,-1040000,4275000,-3393000,-3393000,-3393000,-1840000,-5233000,146000,146000,146000,-812000.000000001,-812000.000000001,-177000,-989000.000000001,1346000,0,-3032000,0.63156,-0.17749,-0.16402,-0.0593,-0.01841,0.49109,1.2268,2.22043,-1.35525271560688e-20,-0.11657,-0.11657,0.71071,1.96592,-0.05725,-0.05111,-0.0251,-63.24071,12.74091
"23","2020_Q1",9.19096774193548,"Up",48486000,-13321000,35165000,-32138000,-21736000,-11414000,-10322000,-10402000,3027000,-406000,164000,-619000,2621000,580000,943000,1523000,1523000,1523000,1523000,88888000,88888000,217571000,217571000,6591000,313050000,23667000,58403000,11386000,39647000,82070000,395120000,259439000,259439000,8060000,8060000,267499000,15685000,15685000,15685000,283184000,453065000,-341084000,-45000,111936000,111936000,395120000,1523000,7285000,5366000,8001000,22175000,-5820000,-5820000,-5820000,-2463000,-19283000,636000,636000,636000,3528000,3528000,238000,3766000,10312000,0,11550000,0.72526,0.06243,0.03141,0.01361,0.00385,7.58372,1.17028,2.52987,0,0.02848,0.01871,0.90655,2.09289,0.21595,0.01193,0.0905,-8.61986,-29.36505
"24","2020_Q2",6.24793650793651,"Down",36295000,-14003000,22292000,-31089000,-20396000,-11269000,-9127000,-10693000,-8797000,851000,144000,698000,-7946000,-9876000,201000,-9675000,-9675000,-9675000,-9675000,71283000,71283000,158248000,158248000,7323000,236854000,21589000,55775000,10325000,38080000,77364000,314218000,194036000,194036000,8087000,8087000,202123000,13867000,13867000,13867000,215990000,449821000,-350759000,-834000,98228000,98228000,314218000,-9675000,7524000,3154000,-6236000,-5233000,-2274000,-2274000,-2274000,-2337000,-4611000,22999.9999999998,22999.9999999995,-7462000,-17306000,-17306000,-299000,-17605000,-1273000,2.3283064365387e-10,-9984000,0.61419,-0.24237,-0.26657,-0.0985,-0.03079,1.03194,1.17183,2.19886,2.16840434497101e-19,-0.17634,-0.17634,0.66152,1.79033,-0.18197,-0.08631,-0.08907,55.99607,8.1031
"25","2020_Q3",6.6821875,"Up",42348000,-21545000,20803000,-48872000,-35809000,-20029000,-15780000,-13063000,-28069000,1722000,-2000,440000,-26347000,-38840000,-288000,-39128000,-39128000,-39128000,-39128000,107490000,107490000,292433000,292433000,10265000,410188000,19704000,327230000,104953000,64473000,346934000,757122000,347432000,347432000,14911000,14911000,362343000,37308000,37308000,37308000,399651000,749961000,-389887000,-2603000,357471000,357471000,757122000,-39128000,14557000,8659000,-351000,-16263000,-1146000,-1146000,-1146000,-2381000,51068000,2969000,2969000,2620000,37425000,37425000,34000,37459000,-13512000,0,-14721000,0.49124,-0.66282,-0.92396,-0.10946,-0.05168,0.37623,1.13204,1.118,0,-0.36053,-0.36053,0.3902,3.29375,-0.13564,-0.09911,-0.03729,7.95515,3.82949
"26","2020_Q4",15.133125,"Up",60982000,-21031000,39951000,-48637000,-35075000,-21761000,-13314000,-13562000,-8686000,871000,-30000,-293000,-7815000,-10069000,-446000,-10515000,-10515000,-10515000,-10515000,103797000,103797000,412435000,412435000,13367000,529599000,18876000,317999000,97131000,63064000,336875000,866474000,457428000,457428000,16195000,16195000,473623000,36720000,36720000,36720000,510343000,759118000,-400402000,-2585000,356131000,356131000,866474000,-10515000,14076000,7627000,-13730000,-2542000,-791000,-791000,-791000,-2176000,-2966999.99999999,1569000,1569000,1562000,-3947000,-3947000,306000,-3641000,5390000,-3.72529029846191e-09,-8685000,0.65513,-0.14244,-0.17243,-0.02953,-0.01214,0.82596,1.11819,1.43302,-3.46944695195361e-18,-0.09497,-0.09497,0.55079,3.21659,-0.07844,-0.02677,-0.02211,-19.25733,11.94992
"27","2021_Q1",43.3183606557377,"Up",82003000,-21168000,60835000,-51965000,-37737000,-22971000,-14766000,-14228000,8870000,-1949000,-62000,-3065000,6921000,6046000,-160000,5886000,5886000,5886000,5886000,117676000,117676000,471666000,471666000,17729000,607071000,23681000,308208000,89884000,60199000,331889000,938960000,509315000,509315000,12883000,12883000,522198000,35149000,34950000,35149000,557347000,777086000,-394516000,-957000,381613000,381613000,938960000,5886000,13091000,7735000,-14739000,11973000,-10081000,-10081000,-10081000,-773000,-10854000,10647000,10647000,10634000,11753000,11753000,877000,12630000,21961000,0,-2699000,0.74186,0.10817,0.07178,0.01542,0.00627,-0.45855,1.16253,1.4605,0,0.05223,0.05223,0.72771,3.38649,-0.02395,0.01412,-0.00648,-5.35841,-13.26674
"28","2021_Q2",33.8828571428571,"Down",60715000,-20756000,39959000,-51013000,-36747000,-22589000,-14158000,-14266000,-11054000,1065000,-143000,-15000.0000000005,-9989000,-12711000,-166000.000000004,-12877000,-12877000,-12877000,-12877000,468550000,468550000,401836000,401836000,17368000,887754000,28209000,298755000,82293000,58337000,326964000,1214718000,436590000,436590000,12369000,12369000,448959000,34759000,34529000,423403000,872362000,751019000,-407393000,-1270000,342356000,342356000,1214718000,-12877000,12485000,6018000,-6852000,-1226000,-1317000,-1317000,-1317000,-1955000,-3271999.99999997,5785000,5785000,355627000,351129000,351129000,-256000,350873000,1431000,388644000,-6572000,0.65814,-0.18206,-0.21209,-0.03761,-0.0106,0.51037,1.97736,2.54811,0.31995,-0.11169,-0.11169,0.5266,2.96937,-0.057,-0.01682,-0.00858,-55.83927,7.2287
"29","2021_Q3",30.09328125,"Down",114541000,-50526000,64015000,-78364000,-60253000,-43273000,-16980000,-18111000,-14349000,-3906000,-5172000,127000,-18255000,-50887000,87695000,36808000,36808000,36808000,36808000,192970000,192970000,780502000,780502000,30560000,1004032000,34427000,1502816000,483854000,73231000,1537243000,2541275000,844045000,844045000,26033000,26033000,873678000,61270000,42527000,779911000,1653589000,1259172000,-370585000,-901000,887686000,887686000,2541275000,36808000,35897000,-73911000,29843000,28637000,-9622000,-9622000,-9622000,-3223000,-636819000,2634000,2634000,332654000,-275528000,-275528000,147000,-275381000,21548000,722241000,-45926000,0.55888,-0.12527,0.32135,0.04147,0.01448,-1.24772,1.1492,1.86281,0.2842,0.31925,0.31925,0.99345,7.69919,-0.39833,0.02202,-0.02748,24.56242,-36.88557
"30","2021_Q4",22.54078125,"Down",131871000,-63541000,68330000,-89854000,-68795000,-52260000,-16535000,-21059000,-21524000,-5079000,-7280000,1246000,-26603000,-29027000,4708000.00000001,-24319000,-24319000,-24319000,-24319000,188182000,188182000,765076000,765076000,20992000,974250000,32759000,1526101000,463571000,89783000,1558860000,2533110000,828501000,828501000,26806000,26806000,858907000,78105000,58617000,797438000,1656345000,1273095000,-394904000,-1426000,876765000,876765000,2533110000,-24319000,48702000,7639000,-1433000,30589000,-3046000,-15215521.2554392,-15215521.2554392,-3347000,-35479000,1482000,1482000,582000.00000006,-4308000,-4308000,-482000,-4789999.99999988,27178000,722933000,17991000,0.51816,-0.16322,-0.18442,-0.02774,-0.0096,-0.739789999999998,1.13429,1.88916,0.28539,-0.19561,-0.19561,1.0607,7.0522,0.14471,-0.01449,0.01072,19.67588,-24.84441
