"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q4",132.607301587302,"Down",54202000,-196598000,-48820000,-147590000,-151102000,6138000,4553000,1585000,-144964000,-144964000,472000,-144492000,-144492000,-144031000,-144031000,2033761000,643485000,1390276000,89363000,69925000,2180195000,122891000,105541000,81659000,228432000,2408627000,162983000,85552000,77431000,188424000,40824000,195948000,195948000,236772000,425196000,2710130000,-738960000,-724000,1970446000,1983431000,2408627000,-144492000,2445000,23669000,-13807000,-132185000,-26941000,-455749000,-7946000,-490636000,-8736000,10277000,10277000,871250000,248429000,248429000,-7644000,240785000,-148657000,49560000,-189877000,-2.78776,-2.6573,-0.07262,-0.0598,1.31831,11.57069,0.21437,0.02058,-2.5311,-2.5311,0.95251,34.62719,-3.33676,-0.06462,-0.08519,13.34751,13.13153
"12","2019_Q1",134.918524590164,"Up",58670000,-330285000,-72490000,-257464000,-280808000,5554000,5950000,-396000,-275254000,-275254000,8544000,-266710000,-266710000,-268255000,-268255000,1781446000,712937000,1068509000,105098000,81942000,1943842000,202119000,103723000,66900000,305842000,2249684000,219585000,113283000,106302000,246452000,40785000,208800000,197661000,249585000,496037000,2744891000,-1007215000,1526000,1739202000,1753647000,2249684000,-266710000,3363000,70070000,-616999.999999993,-193894000,-23586000,327181000,-51640000,213657000,1627296000,-749198000,-749198000,8388999.99999976,28152000,28152000,1765000,29916999.9999999,-277445000,49512000,-310192000,-4.78623,-4.57227,-0.15297,-0.11924,1.15633,7.8873,0.28286,0.02201,-4.50544,-4.50544,0.98538,29.21054,-5.20979,-0.13333,-0.15417,6.24244,6.16768
"13","2019_Q2",126.922857142857,"Down",77833000,-236327000,-57645000,-178351000,-173755000,6205000,4477000,1728000,-167550000,-167550000,-519000,-168069000,-168069000,-167640000,-167640000,1613659000,764492000,849167000,110955000,89941000,1796730000,197806000,177696000,140220000,375502000,2172232000,202914000,105320000,97594000,238809000,77480000,233264000,221931000,310744000,549553000,2777552000,-1174855000,6072000,1608769000,1622679000,2172232000,-168069000,3416000,53049000,-60371000,-171975000,-21828000,223244000,-2.9e+07,172416000,36695000,6269000,6269000,42964000,43405000,43405000,4265000,47670000,-170339000,86420000,-252019000,-2.23241,-2.15384,-0.10331,-0.07717,1.50333,7.52371,0.33867,0.03978,-2.81304,-2.81304,1.30606,26.99558,-4.22895,-0.08631,-0.12975,8.96588,8.78961
"14","2019_Q3",132.82515625,"Up",243346000,-311340000,-82248000,-228760000,-85833000,2008000,2886000,-878000,-83825000,-83825000,-2129000,-85954000,-85954000,-85570000,-85570000,1537751000,918948000,618803000,110773000,96206000,1755680000,212672000,181966000,143959000,394638000,2150318000,253772000,148536000,105236000,271679000,84489000,222886000,211084000,307375000,579054000,2814527000,-1260425000,-225000,1553877000,1571264000,2150318000,-85954000,3695000,51790000,-15632000,-46101000,-21447000,233456000,-2e+07,192009000,7009000,4373000,4373000,15382000,161290000,161290000,-6997000,154293000,-82138000,93229000,-117088000,-0.35272,-0.35164,-0.05446,-0.03979,1.36833,6.46233,0.36853,0.04336,-1.43076,-1.43076,4.06884,25.98145,-1.95776,-0.04534,-0.06204,17.58653,16.82945
"15","2019_Q4",166.14734375,"Up",50141000,-342301000,-105002000,-236968000,-312266000,389000,2206000,-1817000,-311877000,-311877000,3217000,-308660000,-308660000,-307357000,-307357000,1231919000,856151000,375768000,110207000,95936000,1435550000,226499000,219021000,170588000,445520000,1881070000,254363000,112282000,142081000,265734000,104233000,216866000,206185000,321099000,586833000,2861090000,-1567782000,-14830000,1278478000,1294237000,1881070000,-308660000,4022000,23906000,15720000,-265012000,-30873000,244503000,0,213630000,15391000,9745000,9745000,25136000,-26246000,-26246000,-15607000,-41853000,-308244000,104933000,-326614000,-6.22776,-6.12985,-0.23748,-0.16339,1.06265,5.40221,0.45342,0.05578,-5.11272,-5.11272,0.83407,21.2668,-5.43305,-0.19019,-0.20211,3.65615,3.60906
"16","2020_Q1",156.386451612903,"Down",56892000,-426945000,-143354000,-283259000,-388037000,7703000,-438000,8141000,-380334000,-380334000,-7561000,-387895000,-387895000,-388061000,-388061000,982739000,618011000,364728000,90526000,90238000,1172696000,242402000,197191000,153451000,439593000,1612289000,299498000,122488000,177010000,310312000,83311000,240311000,229779000,323622000,633934000,2926049000,-1955843000,-8001000,962205000,978355000,1612289000,-387895000,7484000,63780000,49450000,-267181000,-15464000,-1870503000,1862075000,-23892000,-24419000,26617000,26617000,2198000,-288875000,-288875000,8827000,-280048000,-380553000,83311000,-339006000,-6.82059,-6.82101,-0.39665,-0.24069,0.87359,3.77909,0.64796,0.05167,-6.39425,-6.39425,0.93743,15.85467,-5.58595,-0.29806,-0.26038,2.36348,2.31789
"17","2020_Q2",162.773650793651,"Up",52059000,-411666000,-107081000,-304302000,-373756000,10371000,6690000,3681000,-363385000,-363385000,-1554000,-364939000,-364939000,-363735000,-363735000,3374198000,1957101000,1417097000,126594000,126312000,3595187000,240331000,231694000,188194000,472025000,4067212000,297230000,98364000,198866000,451797000,81913000,706446000,696078000,788359000,1240156000,5138340000,-2319578000,-6548000,2812214000,2827056000,4067212000,-364939000,7750000,49940000,-34695000,-341944000,-21533000,-1050436000,-4.3e+07,-1114969000,628132000,2174036000,2174036000,2802168000,1345255000,1345255000,-6212000,1339043000,-366006000,93211000,-420680000,-7.17947,-6.98698,-0.12866,-0.08943,1.15656,7.95753,0.43867,0.02292,-4.70359,-4.70359,0.67319,36.36578,-5.43997,-0.10029,-0.11599,8.9643,8.77842
"18","2020_Q3",235.03875,"Up",65635000,-410205000,-124049000,-285968000,-358877000,21084000,1108000,19976000,-337793000,-337793000,1475000,-336318000,-336318000,-335202000,-335202000,3152758000,1345014000,1807744000,144749000,144466000,3392404000,258106000,252780000,207604000,510886000,3903290000,375542000,157173000,218369000,551195000,131491000,674112000,662733000,805603000,1356798000,5200377000,-2654780000,-9299000,2536298000,2546492000,3903290000,-336318000,7867000,2155000,63354000,-262942000,-32605000,-395265000,-2024999.99999976,-429895000,64424000,16569000,16569000,80993000,-611844000,-611844000,1925000,-609919000,-351010000,157552000,-321736000,-5.46777,-5.10706,-0.13163,-0.08588,0.95983,6.15463,0.53281,0.04036,-4.31214,-4.31214,0.84435,32.62772,-4.13891,-0.09923,-0.09524,8.53311,8.34605
"19","2020_Q4",275.3165625,"Up",91080000,-510094000,-160837000,-349070000,-440137000,5097000,-614000,5711000,-435040000,-435040000,8423000,-426617000,-426617000,-425224000,-425224000,4718770000,1464470000,3254300000,151175000,150880000,4965736000,291218000,309436000,256239000,600654000,5566390000,434832000,146265000,288567000,645721000,151551000,472604000,460720000,624155000,1269876000,7367917000,-3080004000,-419000,4287494000,4296514000,5566390000,-426617000,8344000,57230000,14802000,-346241000,-28681000,-1461396000,-46500000,-1536577000,-123235000,2117242000,2117242000,1994007000,111189000,111189000,8627000,119816000,-431793000,201773000,-454095000,-4.83242,-4.66869,-0.09897,-0.07639,1.0679,7.69022,0.29556,0.03625,-4.83699,-4.83699,1.03605,48.77097,-5.16541,-0.08554,-0.09135,10.46102,10.26271
"20","2021_Q1",331.13606557377,"Up",100100000,-563934000,-208209000,-355537000,-484912000,2936000,-5186000,8122000,-481976000,-481976000,9327000,-472649000,-472649000,-472745000,-472745000,4650675000,1381950000,3268725000,160319000,160012000,4960690000,357686000,282381000,211419000,640067000,5600757000,598481000,231957000,366524000,1075199000,183637000,472678000,461886000,656315000,1731514000,7415050000,-3552749000,6942000,3869243000,3869243000,5600757000,-472649000,7828000,25364000,107123000,-332334000,-34689000,-2783311000,2731075000,-86925000.0000002,4569127000,-4214746000,-4214746000,325658000,-93600999.9999999,-93600999.9999999,13891000,-79710000,-477084000,518652000,-413977000,-4.84428,-4.72273,-0.12218,-0.08441,0.87569,4.61374,0.44751,0.0926,-5.2009,-5.2009,1.10125,42.56744,-4.55436,-0.09726,-0.08517,8.661,8.52118
"21","2021_Q2",331.230317460317,"Up",605872000,-503020000,-182106000,-320726000,70167000,-8302000,-4179000,-4123000,61865000,61865000,4630000,66495000,66495000,66495000,66495000,4812291000,1901819000,2910472000,171704000,171399000,5140979000,373949000,306076000,223048000,680025000,5821004000,486520000,146923000,339597000,1112542000,193017000,511858000,501064000,704875000,1817417000,7486637000,-3486254000,3204000,4003587000,4003587000,5821004000,66495000,9632000,23742000,25226000,125095000,-42389000,342837000,-8500000,291948000,81665000,25754000,25754000,107419000,524462000,524462000,-4061000,520401000,79799000,598062000,58006000,0.11581,0.10975,0.01661,0.01142,0.87234,4.62093,0.45395,0.10274,0.72709,0.68746,6.62491,43.77727,0.63427,0.013,0.01134,-52.81055,-60.05999
"22","2021_Q3",326.951875,"Down",149992000,-588567000,-232289000,-356091000,-474838000,-5733000,-4866000,-867000,-480571000,-480571000,230000,-480341000,-480341000,-480341000,-480341000,4381900000,1776448000,2605452000,225765000,225455000,4799039000,395167000,329910000,238151000,725077000,5524116000,581537000,168826000,412711000,1242314000,194856000,480171000,467901000,675027000,1917341000,7561275000,-3966595000,12095000,3606775000,3606775000,5524116000,-480341000,11527000,91414000,-42866000,-420266000,-38531000,297627000,-7500000,251596000,25784000,9847000.00000048,9847000.00000048,35630999.9999999,-133039000,-133039000,9318000,-123721000,-463311000,629658000,-544938000,-3.16576,-3.20244,-0.13318,-0.08695,1.13448,3.86298,0.53159,0.11398,-5.25229,-4.96599,1.64009,39.43833,-5.95863,-0.10184,-0.11554,8.09875000000002,7.90215000000001
"23","2021_Q4",337.6384375,"Up",206440000,-621352000,-269227000,-351937000,-462325000,29247000,-2230000,31477000,-433078000,-433078000,-5036000,-438114000,-438114000,-438114000,-438114000,3916927000,1383310000,2533617000,235345000,235015000,4432835000,450788000,402711000,281763000,853499000,5286334000,616955000,206203000,410752000,1304435000,200906000,423920000,410654000,624826000,1929261000,7724943000,-4380450000,12580000,3357073000,3357073000,5286334000,-453292000,12177000,36226000,-90824000,-495713000,-67043000,105048000,0,38005000,12616000,46591000,46591000,59207000,-398501000,-398501000,1512000,-396989000,-450148000,643278000,-602979000,-2.23951,-2.12223,-0.1305,-0.08288,1.37631,3.39828,0.57469,0.12169,-61.398,-61.398,28.93083,470.46562,-84.50245,-0.09903,-0.13629,7.27238,7.08084
"24","2022_Q1",212.594516129032,"Down",213979000,-737173000,-306501000,-430485000,-571739000,-15065000,-4482000,-10583000,-586804000,-586804000,25410000,-561394000,-561394000,-561394000,-561394000,6617640000,4375678000,2241962000,270501000,270173000,7613880000,587605000,334040000,287361000,921645000,8535525000,841850000,262400000,579450000,1599555000,202113000,601294000,366836000,803407000,2402962000,11191140000,-5076527000,17950000,6132563000,6132563000,8535525000,-546216000,13121000,35137000,-9881000,-507839000,-158388000,-2936893000,3154391000,59110000,3424084000,10569999.9999999,10569999.9999999,3434654000,2985925000,2985925000,7266000,2993191000,-558618000,629678000,-752297000,-2.67194,-2.62359,-0.09154,-0.06577,1.34005,4.76,0.39184,0.07377,-78.67466,-78.67466,29.98736,859.42727,-105.42811,-0.07624,-0.10217,10.71924,10.47324
"25","2022_Q2",156.207419354839,"Down",306626000,-684676000,-294573000,-389915000,-443287000,22038000,10071000,11967000,-421249000,-421249000,-13025000,-434274000,-434274000,-434274000,-434274000,6244945000,4347162000,1897783000,266766000,266436000,6948139000,624673000,448576000,287009000,1073249000,8021388000,661396000,236915000,424481000,1376306000,201605000,557977000,543758000,759582000,2135888000,11268423000,-5400377000,17454000,5885500000,5885500000,8021388000,-434274000,16600000,58968000,122143000,-236563000,-45131000,330524000,-7.5e+07,210393000,-23147000,11880000,11880000,-11267000,-37437000,-37437000,9e+06,-28437000,-426687000,608992000,-336650000,-1.44569,-1.4163,-0.07379,-0.05414,0.7752,5.0484,0.36291,0.07592,-59.41268,-59.41268,41.94926,805.19058,-46.05682,-0.06158,-0.04774,13.20864,12.714
"26","2022_Q3",171.735,"Up",341572000,-709798000,-331403000,-378207000,-439399000,-118186000,11431000,-129617000,-557585000,-557585000,-13864000,-571449000,-571449000,-571449000,-571449000,5703691000,4531137000,1172554000,207716000,207383000,6345876000,633100000,399231000,252477000,1032331000,7378207000,704102000,234355000,469747000,1398409000,185207000,492047000,477308000,677254000,2075663000,11356820000,-5971826000,-82450000,5302544000,5302544000,7378207000,-571449000,15461000,79748000,96281000,-379959000,-50290000,7.09e+08,-4.76837158203125e-07,658710000,-24671999.9999995,7092000,7092000,-17580000.0000005,261171000,261171000,-80212000,180959000,-423938000,565936000,-364083000,-1.2864,-1.673,-0.10777,-0.07745,0.63712,4.53793,0.39145,0.0767,-72.50563,-72.50563,43.33876,672.78842,-46.19496,-0.08984,-0.05724,12.11912,11.69269
